propertyCode,thumbnail,externalReference,numPhotos,floor,price,propertyType,operation,size,exterior,rooms,bathrooms,address,province,municipality,district,country,neighborhood,latitude,longitude,showAddress,url,description,hasVideo,status,newDevelopment,hasLift,priceByArea,hasPlan,has3DTour,has360,hasStaging,notes,topNewDevelopment,topPlus,priceInfo.price.amount,priceInfo.price.currencySuffix,parkingSpace.hasParkingSpace,parkingSpace.isParkingSpaceIncludedInPrice,detailedType.typology,suggestedTexts.subtitle,suggestedTexts.title,highlight.groupDescription,detailedType.subTypology,priceInfo.price.priceDropInfo.formerPrice,priceInfo.price.priceDropInfo.priceDropValue,priceInfo.price.priceDropInfo.priceDropPercentage
108631256,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/9b/2b/a9/1351062871.webp,AR 208856,30,2,1850000.0,flat,sale,244.0,True,4,3,Barrio Nueva España,Madrid,Madrid,Chamartín,es,Nueva España,40.4635652,-3.6794781,False,https://www.idealista.com/inmueble/108631256/,"Oportunidad de inversión en una de las zonas más demandadas de Chamartín. En una de las calles más tranquilas del prestigioso barrio de Nueva España, presentamos este espacioso piso de 244 m² construidos, ideal para quienes buscan una vivienda con amplias posibilidades de reforma, en una ubicación privilegiada y con excelentes prestaciones. La propiedad destaca por sus vistas completamente despejadas en toda la vivienda y una fantástica entrada de luz natural gracias a su excelente orientación. Su distribución generosa incluye cuatro dormitorios, tres baños, un espectacular salón de 48 m² y una agradable terraza exterior de 15 m², perfecta para disfrutar del aire libre sin salir de casa. Además de su trastero situado en la planta de garaje, la propiedad ofrece una habitación adicional de 24 m² en la cuarta planta, con ventana tipo velux, un baño completo y un pequeño trastero abuhardillado justo enfrente, ideal como zona de invitados, estudio independiente o espacio de almacenaje adicional. El edificio, representativo de 1975 y en buen estado de conservación, cuenta con portero físico y automático, jardín, piscina comunitaria, ascensor y calefacción central. La vivienda incluye también aire acondicionado y una plaza de garaje rotativa (el sistema permite el uso de una plaza durante tres años consecutivos y un año sin plaza, ya que hay tres plazas para cuatro vecinos). Es una excelente oportunidad para personalizar el espacio a tu gusto y obtener una alta revalorización en una de las zonas con mayor estabilidad y proyección de Madrid. Ubicación inmejorable. Nueva España es una zona residencial consolidada, segura y muy bien comunicada. A escasos minutos se encuentran colegios de gran prestigio, como el Nuestra Señora del Recuerdo, el Colegio San Agustín y el Wisdom School | Colegio Bilingüe Chamartín, ideal para familias que valoran una educación de calidad cerca de casa. La vivienda está también muy próxima al Alcampo de Pío XII, una referencia en la zona para hacer la compra diaria con comodidad. En cuanto a transporte, la propiedad ofrece excelentes conexiones: línea de metro cercana, varias líneas de autobús y proximidad a la estación de tren de Chamartín, con conexiones tanto locales como de largo recorrido. Esta vivienda es perfecta tanto para familias como para inversores que quieran reformar a medida en una zona con alta demanda, gran calidad de vida y excelentes servicios. GILMAR lleva más de 40 años acompañando a sus clientes a encontrar la casa perfecta. Si estás buscando una propiedad con potencial en el norte de Madrid, esta es tu oportunidad. Contacta con nuestra oficina de Viso-Chamartín (Paseo de la Castellana, 164), llama al o escríbenos a indicando la referencia 208856.",True,renew,False,True,7582.0,True,True,False,True,[],False,False,1850000.0,€,True,True,flat,"Nueva España, Madrid",Piso,Top,,,,
108437155,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/e8/fe/32/1344841288.webp,LM209959,39,,1550000.0,chalet,sale,558.0,,6,5,Barrio Molino de la Hoz,Madrid,Las Rozas de Madrid,Molino de la Hoz,es,Molino de la Hoz,40.5422666,-3.9294213,False,https://www.idealista.com/inmueble/108437155/,"GILMAR vende una joya arquitectónica en el corazón de Molino de la Hoz, una de las urbanizaciones más exclusivas de Las Rozas, Madrid. Este espectacular chalet independiente, reformado hace sólo 1 año, se alza sobre una parcela de 1862 m² con una privacidad inigualable y vistas privilegiadas a una zona protegida. Diseñado para los amantes del lujo y el confort, este inmueble combina un diseño arquitectónico imponente con materiales de la más alta calidad, ofreciendo 558 m² construidos distribuidos en tres plantas. La planta baja te recibe con un elegante hall de entrada presidido por una gran escalera de madera. Desde aquí, accedes a un salón amplio con varios ambientes y chimenea, ideal para disfrutar de momentos únicos en familia. El salón conecta con una terraza que bordea la propiedad, permitiéndote disfrutar de las vistas y el entorno natural. La cocina, moderna y equipada con electrodomésticos de primeras marcas, es el sueño de cualquier chef. Además, esta planta cuenta con un muy espacioso office, un cuarto de lavandería y un baño completo, añadiendo funcionalidad y versatilidad. En la primera planta, distribuida en dos niveles, encontrarás un dormitorio con baño completo en suite, otro dormitorio y una espectacular suite principal con vestidor y baño completo. Todos ellos con acceso a grandes terrazas privadas y vistas espectaculares. Un segundo nivel ofrece dos dormitorios adicionales y un baño que les da servicio, proporcionando espacio más que suficiente para toda la familia. La propiedad incluye un garaje con capacidad para tres coches, cargador de coche eléctrico y almacenamiento adicional, además de otro cuarto multifunción con baño completo y un cuarto de calderas. La vivienda dispone de una instalación fotovoltaica de 9 kW con baterías de 4 kWh, que subraya su eficiencia energética. El exterior es sencillamente impresionante. Los jardines, diseñados a varias alturas, enmarcan una gran piscina privada reformada con clorador salino y calentador/enfriador de agua y terrazas alrededor de la casa, desde donde se pueden admirar vistas panorámicas, ofreciendo un escenario idílico para relajarse o entretener a invitados. La carpintería interior de madera, la exterior de PVC, persianas motorizadas, aire acondicionado frío/calor, el suelo radiante con termostato digital en cada habitación y la alarma son solo algunas de las características que elevan esta vivienda a un nivel de exclusividad único. Molino de la Hoz es una urbanización cerrada con vigilancia 24 horas, rodeada de naturaleza y tranquilidad, ideal para familias que buscan calidad de vida. Dentro de la urbanización se encuentran dos prestigiosos colegios bilingües: el Logos International School (privado) y el colegio Bérriz (concertado), conocidos por su excelencia educativa. A tan solo 15 minutos en coche, está el Centro Comercial Heron City Las Rozas que ofrece una variada oferta de ocio, restaurantes y tiendas. En cuanto al transporte público, a solo 200m de la vivienda está la parada del autobús interno que circula por la urbanización y se encuentran las paradas de las líneas de autobús 625 y 629 que conectan Molino de la Hoz con el centro de Las Rozas y con Madrid, mientras que la estación de Cercanías de Las Rozas (líneas C-3 y C-10) se encuentra a unos 8 kilómetros.  La Urbanización cuenta a su entrada con el Pantano Molino de la Hoz navegable a vela para embarcaciones de hasta 4 metros de eslora. Adyacente al pantano se encuentra el Club Social de la urbanización, con uso gratuito de todas las instalaciones para los propietarios de viviendas. El Club cuenta con dos piscinas, 3 pistas de tenis, 2 pistas de pádel, canchas de baloncesto, balonmano, fútbol además de un moderno gimnasio y sala multifunción. También hay un magnífico restaurante del Club con amplias terrazas para disfrutar junto al lago. La urbanización tiene vigilancia privada con barreras y seguridad 24h fantásticamente ate.",True,good,False,,2778.0,True,True,False,True,[],False,False,1550000.0,€,True,True,chalet,"Molino de la Hoz, Las Rozas de Madrid",Casa independiente,Top,independantHouse,,,
109113412,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/be/18/ba/1364733276.webp,FTA ,28,1,679900.0,flat,sale,195.0,True,4,2,calle Fragata,Madrid,Majadahonda,Golf - El Carralero,es,,40.4611974,-3.87762,False,https://www.idealista.com/inmueble/109113412/,"HOGARES MAJADAHONDA VENDE EN EXCLUSIVA PISO DE CUATRO DORMITORIOS EN URBANIZACIÓN CON PISCINA, DOS PISTAS DE PADEL Y PARQUE INFANTIL, EN UNA DE LAS MEJORES ZONAS RESIDENCIALES DE MAJADAHONDA.  La vivienda con amplio hall y armario gabanero que da paso al salón comedor con terraza, cocina y a la zona de descanso. Cuenta con una magnífica cocina totalmente equipada, después el salón comedor, muy bien diferenciado los dos ambientes, destaca por su luminosidad y con acceso a una increíble terraza, con unas vistas inmejorables. La zona de descanso se distribuye de la siguiente manera; Cuatros dormitorios, tres de ellos equipados con sus armarios correspondientes, siendo estos empotrados, el principal, con gran capacidad, sumándole la zona de vestidor la cual destaca por su gran capacidad de almacenaje, cuarto de baño en suite con bañera. Por último un cuarto de baño completo con bañera para dar servicio al resto de los dormitorios. La vivienda se encuentra en una urbanización con zonas comunes, una gran piscina para adultos y otra para niños pequeños, pista de pádel, zonas ajardinadas y además zona infantil. La vivienda dispone de plaza de garaje, trastero, gran calidad en aislamientos y materiales. ¡ No dude en venir a visitarlo! ¡ POSIBILIDAD DE HIPOTECA AL 100%!",True,good,False,True,3487.0,True,True,False,True,[],False,False,679900.0,€,True,True,flat,"Golf - El Carralero, Majadahonda",Piso en calle Fragata,Top,,,,
103883825,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/e7/e7/8b/1354754070.webp,AS192516,35,6,4950000.0,flat,sale,383.0,True,5,3,Barrio Castellana,Madrid,Madrid,Barrio de Salamanca,es,Castellana,40.4344829,-3.6835341,False,https://www.idealista.com/inmueble/103883825/,"En el corazón del prestigioso barrio de Salamanca, en la emblemática calle Velázquez, se encuentra este majestuoso piso de 383 m², diseñado para ofrecer el máximo confort y lujo. Situado en una planta alta, esta vivienda destaca por su luminosidad y sus vistas despejadas, que aportan una sensación de amplitud y exclusividad. Con una distribución impecable, este inmueble cuenta con 4 amplios dormitorios, 5 baños perfectamente diseñados y una terraza de 12 m² que invita a disfrutar de momentos inolvidables al aire libre. Las calidades del piso son excepcionales, con un gusto refinado en los acabados y una luminotecnia que realza cada rincón de la vivienda. Suelos de tarima, un salón de 75 m² que se convierte en el epicentro social de la vivienda y detalles como la calefacción central, el aire acondicionado y un trastero de 14 m² completan esta propuesta única. Además, el edificio dispone de ascensor y portero físico, y existe la posibilidad de adquirir plazas de garaje en las inmediaciones. El barrio de Salamanca es sinónimo de elegancia y exclusividad. La zona de Castellana, donde se ubica esta vivienda, es una de las más codiciadas de Madrid, rodeada de boutiques de lujo, restaurantes de alta cocina y servicios de primer nivel. A menos de 10 kilómetros, encontramos el prestigioso Colegio Nuestra Señora del Pilar, una referencia en educación. Para las compras y el ocio, el Centro Comercial ABC Serrano está a pocos minutos, ofreciendo una amplia variedad de tiendas y restaurantes.  Desde 1983, GILMAR se ha dedicado a ayudar a sus clientes a encontrar la casa de sus sueños. Con un equipo de expertos y una cartera de propiedades exclusivas, somos líderes en el sector inmobiliario, ofreciendo un servicio personalizado y de calidad. Para más información sobre esta propiedad, no dudes en contactar con nuestro equipo en la oficina de Salamanca, situada en C/ Diego de León, 15. Llámanos al o escríbenos a. Por favor, facilita la referencia 199940 para que podamos atenderte de forma más eficiente.",True,renew,False,True,12924.0,True,True,False,True,[],False,False,4950000.0,€,,,flat,"Castellana, Madrid",Piso,Top,,,,
108961468,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/c1/7e/18/1360185422.webp,,41,,845000.0,chalet,sale,237.0,,3,3,avenida de la Condesa de Chinchón,Madrid,Boadilla del Monte,Sector B,es,,40.4079196,-3.9039553,False,https://www.idealista.com/inmueble/108961468/,"AGENCIA INMOBILIARIA HOGARES BOADILLA DEL MONTE ofrece este espectacular chalet adosado de 4 plantas y 237 m² construidos en SECTOR B. Ubicado en una de las zonas más consolidadas y demandadas de Boadilla del Monte, este precioso chalet combina amplitud, luz natural y un diseño funcional que se adapta a las necesidades de cualquier familia. Forma parte de una exclusiva urbanización privada que cuenta con piscina, zonas ajardinadas y pista de pádel, ofreciendo un entorno tranquilo, seguro y familiar. La vivienda se distribuye en cuatro cómodas plantas: En la planta principal nos encontramos con una amplia cocina totalmente reformada, moderna y funcional, equipada con una práctica zona de office y acceso a un tendedero independiente. El salón-comedor, muy luminoso gracias a sus grandes ventanales, conecta directamente con el jardín privado, creando un espacio perfecto. Completa esta planta un aseo de cortesía. La primera planta dispone de tres dormitorios, todos con armarios empotrados. La habitación principal incluye un baño en suite, mientras que las otras dos habitaciones comparten un baño completo. Estancias amplias, confortables y con gran luminosidad. La buhardilla una estancia diáfana, muy espaciosa y luminosa, ideal como sala de juegos, despacho, zona de ocio o dormitorio adicional. Ofrece múltiples posibilidades según las necesidades de cada familia. En el sótano cuenta con un gran salón, perfecto como segunda sala de estar, gimnasio o zona de juegos, que conecta directamente con el acceso al garaje privado con capacidad para dos vehículos. También ofrece espacio adicional de almacenaje. La vivienda ha sido reformada, incluyendo paredes lisas, renovación de cocina y baños, instalación de ventanas. Incluye placas solares, aire por conductos y calefacción de gas natural. Excelentes calidades y estado de conservación.  Una vivienda pensada para disfrutar en familia, con todas las comodidades y ubicada en una urbanización tranquila y muy bien comunicada, cerca de colegios, comercios, zonas verdes y transporte público.",True,good,False,,3565.0,True,True,False,False,[],False,False,845000.0,€,True,True,chalet,"Sector B, Boadilla del Monte",Chalet adosado en avenida de la Condesa de Chinchón,Top,terracedHouse,,,
39452261,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/15/40/f7/1115957960.webp,VC9163,87,,2480000.0,chalet,sale,1080.0,,7,5,Paseo del Embajador,Madrid,Ciudalcampo,,es,,40.6158473,-3.6044145,False,https://www.idealista.com/inmueble/39452261/,"Ambassador ofrece esta gran casa independiente en urbanización privada con seguridad 24 horas en fantástica parcela con estupendas vistas en todas direcciones. Construida en 1.997 con buenas calidades, está en buen estado de conservación. Tiene piscina, pista de paddle. Parcela muy trabajada con terrazas, viales y muretes de contención de piedra. Las fachadas son de piedra de Salamanca. Distribución: Planta principal: hall de entrada con aseo de invitados, gabanero en closet y dos despachos, uno de ellos de gran tamaño con vistas a la sierra. El hall da paso a un gran patio cubierto por un lucernario alrededor del cual se distribuyen todas las dependencias principales de la vivienda. El lucernario tiene cubierta a cuatro aguas y está provisto de un toldo motorizado. Gran salón con chimenea y techos en doble altura con la biblioteca en una galería elevada. El salón tiene salida a una estupenda terraza con vistas que está acristalada en parte. Comedor independiente para una gran mesa redonda. Cocina con zona de office y salida a un porche junto a la piscina con vistas a una gran finca protegida colindante. Distribuidor para dormitorios: Dormitorio principal con vestidor, baño y amplio salón de estar privado. Dos dormitorios con techos en doble altura en los que se ha creado un espacio superior al que se accede por escaleras independientes dentro de cada dormitorio. Cada uno tiene su baño incorporado. Existe además un cuarto dormitorio también con su vestidor y su baño. Planta superior: una balaustrada cuelga sobre el patio interior, dando acceso bajo la cubierta a la biblioteca sobre el salón principal, a un chill out de inspiración oriental y a una terraza con subida al mirador que circunda el lucernario. Planta baja: la zona principal está a nivel del jardín con grandes cristaleras a un enorme porche frente al que se ha construido una barbacoa y horno de lea. Consta de un salón de 135 m2 con chimenea y cocina. Gran sala de jacuzzi de 1.400 l, gimnasio sauna, baño turco y aseo. También en esta planta está la bodega, despensa, estancia de 60 m2 aprox. para diversos usos, cuarto de calderas y descalcificadora, sala de lavado y plancha, dormitorio de servicio con baño y garaje para cuatro coches con cuarto de herramientas. Calefacción por gasoil, persianas y toldos motorizados. La urbanización de Ciudalcampo es una de las mejores zonas residenciales de Madrid. Ubicada entre los municipios de San Sebastián de los Reyes y Colmenar Viejo. Es una zona con importantes vistas a la Sierra Norte de Madrid. Acceso en el km 28 de la A-1. Próximo al aeropuerto. A 10 km del Hospital Infanta Sofía. (De reciente construcción) Dotado de buenos colegios dentro de la urbanización; Colegio Internacional SEK (privado) La ausencia de bares y comercios dentro de la misma urbanización garantizan la tranquilidad de ésta, aunque dentro está el conocido club social RACE; con todos los servicios de, piscinas, hípica, golf, tenis, grandes jardines... Asimismo esta zona es una de las más seguras y tranquilas de Madrid debido al servicio de vigilancia presente durante las 24 horas del día y a la garita de seguridad en la entrada de la urbanización. La urbanización tiene línea de autobuses que va a Plaza de Castilla y hace paradas en el metro de San Sebastián de los Reyes. También dispone de una línea de minibuses internos que recorren toda la urbanización.",True,good,False,,2296.0,True,True,True,False,[],False,False,2480000.0,€,True,True,chalet,Ciudalcampo,Chalet en Paseo del Embajador,Top,,,,
108686364,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/f0/2c/c7/1353388500.webp,FR211404,49,,2300000.0,chalet,sale,332.0,,5,4,AV MONTE ALINA,Madrid,Pozuelo de Alarcón,Urbanizaciones,es,Montealina,40.4353587,-3.849594,False,https://www.idealista.com/inmueble/108686364/,"**Chalet independiente en Montealina: Exclusividad, privacidad y confort en un entorno privilegiado**  Ubicado en la prestigiosa urbanización de Montealina, en Pozuelo de Alarcón, este chalet independiente se erige como un auténtico oasis de tranquilidad y sofisticación. Con una superficie construida de 400 m² sobre una generosa parcela de más de1.800 m², esta propiedad combina elegancia arquitectónica con funcionalidad y comodidad. Distribuido en dos plantas, el inmueble destaca por su diseño pensado para ofrecer independencia y espacios amplios, ideales para la vida familiar.  En la planta baja, se encuentra un acogedor hall de entrada que da paso a un amplio salón-comedor con chimenea y varios ambientes, perfecto para recepciones y reuniones. La cocina, equipada para satisfacer las necesidades más exigentes, se complementa con un comedor de diario y una habitación de servicio con baño propio. Además, cuenta con un espectacular porche acristalado con barbacoa, ideal para disfrutar de momentos al aire libre durante todo el año. En esta planta también se encuentra una construcción independiente que alberga dos garajes y una despensa, mientras que en la planta superior de esta edificación encontramos un espacio multifuncional como sala de juegos o gimnasio.  En la primera planta, la habitación principal con baño en suite y terraza ofrece un refugio privado con vistas excepcionales. Tres habitaciones adicionales comparten una terraza y dos cuartos de baño, asegurando espacio y comodidad para todos los miembros de la familia.  El chalet está equipado con carpintería interior de madera y exterior de aluminio, calefacción individual por gas natural, alarma, y seguridad 24 horas para garantizar la máxima tranquilidad. Además, cuenta con piscina y pistas de tenis/pádel, lo que añade un toque deportivo y recreativo a la propiedad.  Montealina es una exclusiva urbanización cerrada que destaca por su seguridad, privacidad y cercanía a servicios de alta calidad. Situada en Pozuelo de Alarcón, una de las zonas más codiciadas de Madrid, el barrio cuenta con excelentes conexiones con la capital y las áreas circundantes. A menos de 10 kilómetros encontramos el prestigioso Colegio Retamar, conocido por su excelencia académica y valores educativos. En términos de ocio y compras, el Centro Comercial Zielo Shopping Pozuelo se encuentra a poca distancia, ofreciendo una amplia variedad de tiendas, restaurantes y servicios.  En cuanto a transporte, las líneas de autobús más cercanas incluyen la 656 y 657, que conectan la zona con Madrid y otras áreas de Pozuelo. También se puede acceder a las estaciones de Cercanías como Pozuelo (líneas C7 y C10) y Aravaca, que facilitan los desplazamientos hacia el centro de la ciudad.  Desde 1983, **GILMAR** ha sido un referente en el sector inmobiliario, ayudando a sus clientes a encontrar la casa de sus sueños con un compromiso inquebrantable con la calidad y el servicio. Si deseas más información sobre este espectacular chalet independiente, no dudes en contactar con nuestro equipo en la oficina de Pozuelo-Aravaca, situada en la Avenida de Europa 14. Llámanos al teléfono o escríbenos a **** indicando la referencia 211404. ¡Estaremos encantados de atenderte!",True,good,False,,6928.0,True,True,False,False,[],False,False,2300000.0,€,True,True,chalet,"Montealina, Pozuelo de Alarcón",Casa independiente en Av Monte Alina,Top,independantHouse,,,
107848982,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/5e/91/6c/1327109308.webp,IV208453,42,2,715000.0,flat,sale,94.0,True,2,2,"calle del Doctor Zamenhof, 22",Madrid,Madrid,San Blas,es,Salvador,40.4466777,-3.6273987,True,https://www.idealista.com/inmueble/107848982/,"Gilmar Consulting Inmobiliario presenta una luminosa vivienda, a estrenar, en segunda planta, ubicada en una urbanización de lujo junto al reconocido Parque de la Quinta de los Molinos, en Madrid. Esta propiedad combina diseño moderno, calidad de materiales y una localización inmejorable en una de las zonas más deseadas de la capital. Diseñada por el prestigioso estudio Morph y la firma Amenabar, este hogar combina elegancia, confort y sostenibilidad en un entorno privilegiado dentro de Madrid. La vivienda de 82 m2 cuenta con dos dormitorios espaciosos y dos baños completos, con un diseño actual y funcional que maximiza el confort. Desde el amplio salón, bañado por la luz natural que entra a través de grandes ventanales, se accede a una terraza de 12 m², ideal para desayunar al aire libre, disfrutar de una lectura tranquila o simplemente desconectar con vistas despejadas. La cocina, equipada con electrodomésticos de alta gama, se integra perfectamente con el espacio, ofreciendo una experiencia de vida cómoda y sofisticada. La calidad de los acabados, la distribución y los detalles han sido pensados para crear un hogar elegante, eficiente y acogedor. Todo ello dentro de una urbanización de alto nivel, donde las zonas comunes son un auténtico lujo: una piscina infinity en la azotea con vistas espectaculares, solárium, zona chill out, y un gimnasio completamente equipado, todo diseñado para ofrecer una experiencia de vida exclusiva, sin salir de casa. Un piso ideal para quienes buscan confort, estilo y una ubicación privilegiada con excelente conexión al centro de Madrid y rodeado de naturaleza. El Barrio de Arturo Soria es uno de los más prestigiosos y lujosos de Madrid con una estupenda localización próxima al centro urbano y a todos los servicios, por lo que es perfecto para disfrutar de la tranquilidad sin renunciar a la cercanía de una gran ciudad.  Este entorno privilegiado es sede de múltiples embajadas y algunos de los mejores centros educativos nacionales e internacionales tanto privados como públicos con una amplia oferta (Colegio Arturo Soria, Liceo Francés [Lycee Francais], Centro Bilingüe Concertado Nuestra Señora del Buen Consejo, Colegio San José del Parque (Maristas), Colegio Ramón y Cajal, Colegio Nuestra Señora de Santa María, Colegio Parque Conde Orgaz, International School of Madrid, Escuela de negocios ESIC, Colegio Stella Maris, Colegio Mater Inmaculada, Colegio Brains, etc.).  La cobertura hospitalaria es un factor añadido de la zona (Nuestra Señora de América, la Clínica Belén, Hospital Ramón y Cajal, Hospital de la Paz y la M.D Anderson). En sus inmediaciones encontramos el recinto Ferial IFEMA, el Centro Comercial Arturo Soria Plaza, Palacio de Hielo, Hipercor, Corte Inglés, y Centro Comercial Gran Vía de Hortaleza. Además disponemos de centros deportivos como Club de natación, Club de tenis Chamartín, Clubs de golf como el “Golf Olivar de la Hinojosa” y preciosos parques de los cuales destacamos Juan Carlos I y Juan Pablo II. La cercanía al metro Arturo Soria-Línea 4 y a diversas líneas de autobús como 9, 11, 70, 122 o N3 nos garantizan un rápido acceso al centro. La incorporación a las autovías M30, M40, M11 y NII es inmediata. La proximidad al Aeropuerto Internacional Adolfo Suarez Madrid Barajas y a la Estación de Chamartín es un valor añadido. Una oportunidad única para vivir en uno de los enclaves residenciales más privilegiados de Madrid.",True,good,False,True,7606.0,True,True,False,False,[],False,False,715000.0,€,True,True,flat,"Salvador, Madrid","Piso en calle del Doctor Zamenhof, 22",Top,,,,
95583011,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/2a/53/51/1115954475.webp,VC20754,56,,1990000.0,chalet,sale,784.0,,5,7,paseo CERRO DEL TORO,Madrid,Ciudalcampo,,es,,40.6180228,-3.6232301,False,https://www.idealista.com/inmueble/95583011/,"AMBASSADOR Espectacular casa independiente de estilo vanguardista en Ciudalcampo, diseñada por el prestigioso estudio de arquitectura BMB, compuesto por Josep Martorell, Oriol Bohigas y David Mackay. Perfectamente integrada con el entorno natural y con preciosas vistas a la sierra. Su fantástica parcela de 3.600m2 cuenta con un bonito jardín consolidado de especies vegetales que armonizan con el entorno natural, huerto, un bonito estanque y diversas zonas de plantación perfectamente integradas. La proyección de la casa permite disfrutar de unas inmejorables vistas e integrar el jardín al interior de la casa, consiguiendo a la vez una gran privacidad. Se accede a la propiedad una bonita pasarela suspendida de madera de teka birmana, que conduce hacia un amplio hall donde se desarrolla la casa en dos alas principales: Ala Norte/Sur, de estructura tradicional: Encontramos la cocina de gran capacidad, con muebles Bulthaup y electrodomésticos Gaggenau, con isla central y office. Aseo de visitas y armario gabanero. Zona de dormitorios compuesta por el dormitorio principal en suite con vestidor, y tres dormitorios con dos baños (uno de ellos en suite) Ala Este/Oeste, de planta rectangular y un nivel de altura sobrevolando la parcela de tal manera que se genera un porche abierto en su totalidad. Estructura forjada tipo Deck y cubierta curva de zinc: Comedor, dos Salones con chimenea suspendida estilo Gyrofocus de Dominique Imbert, y una enorme terraza de más de 40m2 entre ambos salones con impresionantes vistas a la sierra. Planta baja, sobre nivel de parcela: Zona de aguas acristalada con Piscina interior de 20m, jacuzzi, gimnasio, baño turco y aseo. Dormitorio en suite con baño incorporado y sala de usos varios. Acceso a la zona de aparcamiento. Existe una planta sótano, destinado a instalaciones y maquinaria, tanto de la casa como de la piscina. La instalación de calefacción funciona mediante suelo radiante, con agua caliente producida por una caldera de gasy placas solares. Caldera independiente para calentar el agua de la piscina. Las ventanas del salón tienen un sistema de calefacción para garantizar la eficiencia en la temperatura. Además de por su diseño, la propiedad destaca por la calidad y eficiencia de la construcción, y los materiales utilizados: Sistema de domótica, ventanas Technal, persianas de aluminio motorizadas, música integrada en toda la casa, Suelos de basalto sudafricano, epoxi y teka birmana, aspiración centralizada. Ascensor para todas las plantas. Sistema de Alarma. Iluminación LED, con encendido está automatizado tanto en interior como en exterior por sensores de presencia. Aljibe para recogida de aguas pluviales (utilizadas para el agua de riego).",True,good,False,,2538.0,True,True,False,False,[],False,False,1990000.0,€,True,True,chalet,Ciudalcampo,Casa independiente en paseo Cerro Del Toro,Top,independantHouse,,,
108802820,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/2f/ca/dc/1356758526.webp,CG206014,40,,1250000.0,chalet,sale,334.0,,8,5,calle María Curie,Madrid,San Sebastián de los Reyes,Vega de la Moraleja,es,,40.5431669,-3.6208105,False,https://www.idealista.com/inmueble/108802820/,"GILMAR Zona Norte presenta un extraordinario chalet adosado de lujo que se caracteriza por sus espacios amplios y la luz que inunda todas sus estancias. Cuenta con un precioso porche y jardín privado que permite disfrutar al máximo el exterior de la vivienda y desde el que se accede a las sensacionales zonas comunes de la Urbanización con dos piscinas y pista de pádel. La vivienda dispone de 3 plazas de garaje y se distribuye a lo largo de cuatro plantas. La planta principal cuenta con un amplio salón comedor con salida directa a la terraza. La cocina con office dispone de zona de lavado. En esta planta se ubica también el aseo de cortesía.  En la primera planta se ubican del dormitorio principal con baño en suite y tres habitaciones que comparten un cuarto de baño La planta más alta tiene tres habitaciones adicionales lo que permite destinar cada uno de los espacios al trabajo o al ocio dentro de la vivienda. En el sótano se sitúa un dormitorio para el servicio, un cuarto de baño y el garaje y trastero.  La vivienda dispone de preinstalación para aire acondicionado por conductos. La Vega de la Moraleja en una zona exclusiva y de máximo lujo dentro de San Sebastián de los Reyes, un municipio madrileño situado a 10 minutos del centro de la capital, que a su vez permite disfrutar de un entorno tranquilo, junto al Parque Natural Dehesa Boyal, un espacio protegido que se ha convertido en el auténtico pulmón verde del municipio, además, ofrece una magnifica dotación de parques públicos, amplias zonas verdes, colegios, institutos y universidades tanto públicas como privadas, instalaciones deportivas, centros de salud entre los que destaca el Hospital Público Infanta Sofía, numerosos centros comerciales y grandes superficies como Megapark –con su estrella, El Plaza Norte 2 Allegra, Viñas o el propio Corte Inglés. También hay que mencionar que cuenta con cercanos Clubs deportivos, Campos de golf, Escuelas de equitación, Club de tenis, de Pádel y de Automovilismo, la Ciudad Deportiva de Valdelasfuentes, además de varios centros culturales e iglesias. Sin olvidarnos de la magnífica comunicación por las vías de acceso de la autovía A-1, M-607, M-616 y M603, id, carretera M-100 y Radial 2. En cuanto al transporte público, ofrece múltiples líneas de autobuses interurbanos y urbanos, así como la C-4 de cercanías, la línea 10 de metro, muy cerca de la estación de Renfe y a 10 minutos del aeropuerto Adolfo Suarez de Madrid. En Gilmar trabajamos para ofrecer a nuestros clientes las mejores propiedades, con equipos especializados en cada zona para proporcionarles la mejor opción para cubrir sus necesidades de inversión o vivienda, con todas las excelencias y cuidando al máximo los detalles.",True,good,False,,3743.0,True,True,False,False,[],False,False,1250000.0,€,True,True,chalet,"Vega de la Moraleja, San Sebastián de los Reyes",Chalet adosado en calle María Curie,Top,terracedHouse,,,
