propertyCode,thumbnail,externalReference,numPhotos,floor,price,propertyType,operation,size,exterior,rooms,bathrooms,address,province,municipality,district,country,neighborhood,latitude,longitude,showAddress,url,description,hasVideo,status,newDevelopment,hasLift,priceByArea,hasPlan,has3DTour,has360,hasStaging,notes,topNewDevelopment,topPlus,priceInfo.price.amount,priceInfo.price.currencySuffix,detailedType.typology,suggestedTexts.subtitle,suggestedTexts.title,highlight.groupDescription,parkingSpace.hasParkingSpace,parkingSpace.isParkingSpaceIncludedInPrice,detailedType.subTypology,parkingSpace.parkingSpacePrice,priceInfo.price.priceDropInfo.formerPrice,priceInfo.price.priceDropInfo.priceDropValue,priceInfo.price.priceDropInfo.priceDropPercentage
108947491,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/84/c2/db/1359747235.webp,RP1282025140592,24,5,489000.0,flat,sale,71.0,True,2,1,calle de Cartagena,Madrid,Madrid,Chamartín,es,Prosperidad,40.4412211,-3.6740618,False,https://www.idealista.com/inmueble/108947491/,"Estupenda vivienda exterior situada en una quinta planta con ascensor, en la reconocida Calle Cartagena, a escasos metros del Intercambiador de Avenida de América y la estación de metro Cartagena. Destaca por su gran luminosidad gracias a su altura y orientación, así como por su excelente conectividad y entorno residencial tranquilo. Cuenta con dos habitaciones muy luminosas, un baño completo, cocina independiente moderna y equipada, y un amplio salón-comedor de concepto abierto, perfecto para el día a día o para recibir visitas. La vivienda presenta una distribución eficiente, buena ventilación cruzada y acabados en buen estado, lo que la convierte en una opción cómoda y lista para entrar a vivir. Rodeada de todos los servicios: supermercados, farmacias, centros de salud, zonas verdes y comercios. Ideal tanto como primera vivienda como inversión con alto potencial de revalorización en una ubicación estratégica del distrito de Salamanca.",False,good,False,True,6887.0,False,False,False,False,[],False,False,489000.0,€,flat,"Prosperidad, Madrid",Piso en calle de Cartagena,Destacado,,,,,,,
109150765,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/27/c5/35/1365906575.webp,RP1572025141225,22,4,223000.0,flat,sale,64.0,True,3,1,Venecia - Nueva Alcalá,Madrid,Alcalá de Henares,Venecia - Nueva Alcalá,es,,40.479736,-3.3646212,False,https://www.idealista.com/inmueble/109150765/,"Redpiso comercializa en exclusiva esta magnífica vivienda reformada de 64 m² construidos,  situada en una zona tranquila y con todos los servicios a mano, zonaBarrio Venecia"" -Alcala de Henares, Madrid. La vivienda se distribuye en: •Luminoso salón comedor con salida a balcón, perfecto para disfrutar de la luz natural. •3 dormitorios, siendo el principal amplio y confortable. •1 cuarto de baño completo, reformado con plato de ducha y acabados modernos. •Cocina independiente, equipada con electrodomésticos. •Además, dispone de aire acondicionado, suelos renovados y ventanas de doble acristalamiento que garantizan aislamiento y confort. El piso se encuentra en buen estado para entrar a vivir, ideal para residencia habitual. Su excelente ubicación ofrece proximidad a transporte público, colegios, comercios, zonas verdes y todo lo necesario para el día a día. ¡No dejes pasar esta oportunidad y ven a visitarlo con nosotros!",True,good,False,True,3484.0,False,False,False,False,[],False,False,223000.0,€,flat,"Venecia - Nueva Alcalá, Alcalá de Henares",Piso,Destacado,,,,,,,
108522379,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/0e/b8/42/1347412543.webp,RP1802025138990,34,1,1250000.0,flat,sale,107.0,True,3,2,calle de Vaquerías,Madrid,Madrid,Retiro,es,Estrella,40.417958,-3.6675673,False,https://www.idealista.com/inmueble/108522379/,"En una de las zonas residenciales más codiciadas de Madrid, presentamos esta magnífica propiedad exterior, orientada al suroeste, con terraza, dos piscinas comunitarias, portero físico y ascensor. Combinando lo exclusivo con la tranquilidad, privacidad y el potencial de revalorización en una de las áreas con mayor demanda del distrito Retiro.  Una vivienda pensada para quienes valoran el espacio, la luz y la discreción:  - Tres habitaciones amplias, luminosas con armarios empotrados - Dos baños completos: uno con plato de ducha y otro con bañera.  - Salón comedor exterior con salida directa a la terraza, ideal para crear un ambiente elegante y acogedor.  - Cocina reformada, funcional y cuidada, lista para su uso.  - Terraza exterior, perfecta para desayunos, reuniones íntimas o simplemente desconectar.  Todo ello en una vivienda exterior, con una preciada orientación suroeste, que garantiza luz natural durante todo el día y una temperatura confortable todo el año.  Finca representativa con servicios de alto nivel:  - Dos piscinas comunitarias, con zona de solárium.  - Portero físico y servicio de mantenimiento.  - Ascensor y zonas comunes cuidadas.  - Comunidad consolidada y tranquila, con propietarios de perfil alto.  - Plaza de garaje incluida en el precio, una ventaja clave en esta zona.  Perfecta tanto para residencia habitual como para inversión de alto rendimiento en una de las zonas más cotizadas de Madrid.  Ubicación inmejorable: O'Donnell y Sainz de Baranda  - A escasos minutos del Parque del Retiro, Hospital Gregorio Marañón y zonas comerciales.  - Excelentes conexiones con Metro y líneas de autobús.  - Próximo a colegios, centros médicos, zonas verdes y principales vías de salida de la ciudad (M-30, Atocha).  Venta confidencial: Por expreso deseo del propietario, no se muestran fotografías del interior del inmueble. Las visitas y la información detallada se facilitan únicamente bajo contacto directo y confidencial.  Una vivienda reservada para quienes saben reconocer el valor de la privacidad, la ubicación y el potencial  De acuerdo con el RD 515/1989, del 21 de Abril, se informa al cliente que los gastos notariales, registrales, I. T. P. o equivalente, gastos financieros, honorarios de la agencia y otros gastos inherentes a la compraventa no están incluidos en el precio de venta de la vivienda.",False,good,False,True,11682.0,False,False,False,False,[],False,False,1250000.0,€,flat,"Estrella, Madrid",Piso en calle de Vaquerías,Destacado,True,True,,,,,
108356373,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/0f/c5/f5/1341669096.webp,RP2582025136473,19,1,224900.0,flat,sale,75.0,True,3,1,calle de Elizondo,Madrid,Madrid,Usera,es,San Fermín,40.3757668,-3.690265,False,https://www.idealista.com/inmueble/108356373/,"Ponemos a tu disposición este estupendo piso, en una 1ª planta sin ascensor.  Sus 71 m2 útiles se distribuyen en 3 dormitorios, salón con balcón, cocina, un baño con plato de ducha y columna de hidromasaje.  Aire acondicionado en el salón y el dormitorio principal.  Calefacción de gas natural.  Electricidad y fontanería cambiadas.  Suelo de tarima y ventanas de aluminio.  Cuenta con plaza de garaje compartida.  El barrio de San Fermín es un barrio perteneciente al distrito de Usera. El barrio está delimitado por el río Manzanares al este, la M-30 y el nudo sur al norte, al oeste la avenida de Andalucía y el barrio de Orcasitas y al sur con la autopista M-40 y el nudo super-sur. El barrio de San Fermín está comunicado con la Línea 3 de la red Metro de Madrid, por las estaciones son San Fermín-Orcasur, estación compartida con el barrio de Orcasur, ubicada en la avenida de Andalucía en la confluencia con la avenida de los Fueros. La otra estación que da servicio a los vecinos es Hospital 12 de Octubre, situada en la Glorieta de Málaga. Estas dos estaciones dan acce so directo a la Puerta del Sol (Estación de Sol) en 10/12 minutos. También dispone en sus inmediaciones de una estación de Cercanías, Doce de Octubre (C-5), en el barrio de Almendrales. San Fermín tiene servicio de autobuses de la EMT de Madrid, pasan por el barrio las líneas 23, 78 y 123 y por la lindante avenida de Andalucía las líneas 18, 22, 59, 76, 79, 81, 85 y 86. Estas líneas dan al barrio comunicación con la plaza Mayor, Legazpi, Atocha, Embajadores y Oporto.  *En el precio de venta no están incluidos los gastos de compra (Impuestos de transmisiones patrimoniales / Notaría - Gestoría / Registro / Intermediación inmobiliaria y / o Financiera). *.",False,good,False,False,2999.0,False,False,False,False,[],False,False,224900.0,€,flat,"San Fermín, Madrid",Piso en calle de Elizondo,Destacado,,,,,,,
107627651,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/86/8b/ef/1344200144.webp,RP1242025135675,17,3,485000.0,flat,sale,75.0,True,2,1,calle de José Celestino Mutis,Madrid,Madrid,Barrio de Salamanca,es,Fuente del Berro,40.4247296,-3.6636346,False,https://www.idealista.com/inmueble/107627651/,"Redpiso Fuente del Berro ofrece: Piso de oportunidad a un paso del parque Fuente del Berro. Ubicado en uno de los 6 barrios que constituye el barrio Salamanca. Luminoso piso exterior, orientación norte-sur con 75 metros cuadrados. Distribuido en 2 dormitorios, amplio salón con posibilidad de incluir un balcón exterior, cocina independiente, un baño y un trastero. Finca con un piso por planta, ascensor y acceso para personas de movilidad reducida. Suelos de gres, ventanas de aluminio y calefacción individual. Se encuentra ubicado en una zona que cuenta con todos los servicios necesarios, amplia variedad de colegios, zonas verdes (Parque de Fuente del Berro), ocio, restauración y todo tipo de comercio especializado. Muy bien comunicado por metro y autobús, fácil y rápida incorporación a la M-30. En Redpiso disponemos de financiera propia Dcredit, con asesoramientos gratuitos y financiación de hasta el 100. OPCIONAL PLAZA DE GARAJE EN VENTA POR 18.000 EUROS.",False,renew,False,True,6467.0,False,False,False,False,[],False,False,485000.0,€,flat,"Fuente del Berro, Madrid",Piso en calle de José Celestino Mutis,Destacado,True,True,,,,,
107888512,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/24/29/b7/1362373196.webp,PIS0440,21,3,182000.0,flat,sale,95.0,True,3,2,Centro,Madrid,Arganda,Centro,es,,40.3009932,-3.4387713,False,https://www.idealista.com/inmueble/107888512/,"INMOBILIARIA TAGONIA PONE A LA VENTA estupendo piso de 3 dormitorios, salón-comedor, cocina con terraza acristalada y 1 cuarto de baño con cabina de ducha. Accedemos a la vivienda y encontramos un distribuidor que nos lleva por un lado a la cocina, totalmente amueblada, con gran capacidad de almacenaje y con salida a una terraza grande acristalada. Al otro lado el salón-comedor, independiente y amplio, con mucha luz natural ya que dispone de grandes ventanales con acceso a otra terraza. La zona de descanso se encuentra independiente del resto de estancias, con tres dormitorios, amplios, uno de ellos con armario empotrado. Puerta de entrada acorazada. Zona muy demandada en Arganda del Rey ya que tiene una ubicación inmejorable, a escasos diez minutos a pie del metro de Arganda del Rey, línea 9 y cerca a un centro comercial y a todos los servicios de uso del dia a dia. No dudes en llamarnos. [IW].",False,good,False,False,1916.0,False,False,False,False,[],False,False,182000.0,€,flat,"Centro, Arganda",Piso,Destacado,,,,,,,
108857155,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/f8/e3/7b/1357158028.webp,RP1282025140248,29,4,749000.0,flat,sale,89.0,True,2,1,calle del Príncipe de Vergara,Madrid,Madrid,Chamartín,es,Ciudad Jardín,40.4435148,-3.6793286,False,https://www.idealista.com/inmueble/108857155/,"REDPISO PROSPERIDAD VENDE – EXTERIOR, 4ª PLANTA EN PRÍNCIPE DE VERGARA Redpiso Prosperidad presenta esta excelente vivienda exterior situada en una cuarta planta de finca representativa con portero físico y doble ascensor. La vivienda, completamente exterior y en esquina, destaca por su gran luminosidad y óptima distribución. Dispone de un amplio salón-comedor con acceso directo a una agradable terraza, dos dormitorios, cocina independiente con salida a una segunda terraza, y un baño completo. Ubicada en una de las zonas más exclusivas del distrito de Chamartín, a pocos metros del Auditorio Nacional, con inmejorables comunicaciones (metro, autobuses y fácil acceso a M-30) y todos los servicios a su alcance: colegios, supermercados, centros médicos y oferta cultural y gastronómica. Una oportunidad única para vivir o invertir en una de las mejores ubicaciones de Madrid.",False,good,False,True,8416.0,False,False,False,False,[],False,False,749000.0,€,flat,"Ciudad Jardín, Madrid",Piso en calle del Príncipe de Vergara,Destacado,,,,,,,
108470475,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/e9/11/70/1345880122.webp,,81,,895000.0,chalet,sale,238.0,,5,5,CL GRANADA,Madrid,Las Rozas de Madrid,El Burgo,es,El Burgo,40.4869438,-3.8871547,False,https://www.idealista.com/inmueble/108470475/,"Hesta Inmobiliaria boutique presenta en exclusiva el hogar de tus sueños en la exclusiva urbanización Las Cabañas III.  Este impresionante chalet adosado de esquina cuenta con una amplia superficie de 238 m² distribuidos en cuatro plantas, ideal para disfrutar de la comodidad y el espacio que siempre has deseado. En la planta baja, un acogedor hall de entrada te recibe, dando paso a un luminoso salón-comedor con una agradable chimenea para disfrutar de los dias de invierno y que se abre a un hermoso porche y jardín exterior. Además, tendrás acceso a las refrescantes piscinas, tanto infantil como para adultos, perfectas para esos días de verano. La cocina moderna con la posibilidad de unirla al salon y un baño de cortesía completan esta planta, brindando comodidad y estilo. Subiendo a la planta superior, te esperan cuatro habitaciones, donde la principal ha sido reformada para incluir una de ellas y hacer un gran vestidor, un baño en suite con bañera de hidromasaje y con ducha y con salida a una terraza para disfrutar de tus dias de verano. Las otras dos habitaciones comparten un baño completo con ducha, ideal para familias.  La buhardilla es un espacio versátil que incluye un gran salón, una habitación adicional y otro baño completo, todo con ventanales Velux que aportan luz natural. En el sótano, encontrarás una habitación de servicio, un baño completo, un área de lavadero, un garaje y un tratero que te ofrece toda la funcionalidad que necesitas. Este chalet ha sido reformado recientemente y cuenta con calefacción por gasoil y aire acondicionado con bomba de calor inverter, además de placas solares con batería física, lo que garantiza eficiencia energética. La urbanización ofrece amplias zonas verdes, tres piscinas para adultos y tres infantiles, saunas, así como pistas de tenis y squash. Ubicado en una zona estratégica, estarás cerca de colegios, institutos, centros de salud, bibliotecas y supermercados. Con fácil acceso a la A-6, M-50 y estación de Renfe, este chalet es perfecto para quienes buscan calidad de vida. ¡No dejes pasar esta oportunidad única!",False,good,False,,3761.0,False,False,False,False,[],False,False,895000.0,€,chalet,"El Burgo, Las Rozas de Madrid",Chalet adosado en CL Granada,Destacado,True,True,terracedHouse,,,,
108119693,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/f8/b2/23/1334431423.webp,RP102025137392,20,2,380000.0,flat,sale,83.0,True,2,2,calle del Castillo de Uclés,Madrid,Madrid,San Blas,es,Simancas,40.4252392,-3.627281,False,https://www.idealista.com/inmueble/108119693/,"¡Fantástico piso en la calle Castillo de Uclés, construido en 2006! Este luminoso segundo piso, con orientación suroeste, de 83 m², recibe luz natural durante todo el día, creando un ambiente cálido y acogedor. La vivienda cuenta con dos habitaciones espaciosas, dos baños completos, un amplio salón-comedor ideal para disfrutar en familia y una cocina funcional. Destacan detalles como suelo de tarima, calefacción de gas natural individual y ventanas de aluminio muy amplias que aportan luminosidad y aislamiento. La puerta blindada ofrece mayor seguridad, y la finca dispone de ascensor para mayor comodidad. Incluye además una plaza de garaje de 10 m², perfecta para mayor comodidad. La zona está rodeada de todos los servicios necesarios: colegios, centros de salud, supermercados, parques y farmacias, todo a poca distancia. Además, cuenta con excelentes conexiones de transporte: línea de Metro García Noblejas (L7), varias líneas de EMT (4, 38, 48, 70, 109, N6, N7 y N203), y fácil acceso a las principales vías M30 y M40. ¡Una oportunidad perfecta para vivir en una zona bien comunicada y con todos los servicios a tu alcance!",False,good,False,True,4578.0,False,False,False,False,[],False,False,380000.0,€,flat,"Simancas, Madrid",Piso en calle del Castillo de Uclés,Destacado,True,True,,,,,
108626163,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/b8/c9/46/1350332555.webp,RP242025139481,19,1,336000.0,flat,sale,73.0,False,3,2,calle de la Encomienda de Palacios,Madrid,Madrid,Moratalaz,es,Fontarrón,40.4000821,-3.6391842,False,https://www.idealista.com/inmueble/108626163/,"1º planta alta con ascensor, totalmente reformado, excelentes calidades, luminoso, 3 dormitorios, baño y aseo(ambos con ducha), cocina con terraza integrada, salon independiente, aire acondicionado, suelo de parquet, paredes lisas, doble cerramiento de aluminio con cristal climalit, en pasillos comunes vigilancia por camaras, comunidad 70 euros incluye agua y limpieza, finca con administrador, 2 habitaciones cableadas con internet, trastero individual de 12 metros. Existe la posibilidad de una plaza de garaje grande de residente en primera planta aparte del precio de la vivienda por el importe de 6000 euros. Excelente ubicacion, a 5 min. Andando del metro pavones linea 9 e intecambiador de autobuses, en la zona muy cerca ayuntamiento, centro de salud y especialidades, supermercado, mercado, polideportivo, colegios, y amplias zonas verdes.",False,good,False,True,4603.0,False,False,False,False,[],False,False,336000.0,€,flat,"Fontarrón, Madrid",Piso en calle de la Encomienda de Palacios,Destacado,,,,,,,
