propertyCode,thumbnail,externalReference,numPhotos,price,propertyType,operation,size,rooms,bathrooms,address,province,municipality,country,latitude,longitude,showAddress,url,description,hasVideo,status,newDevelopment,priceByArea,hasPlan,has3DTour,has360,hasStaging,notes,topNewDevelopment,topPlus,priceInfo.price.amount,priceInfo.price.currencySuffix,parkingSpace.hasParkingSpace,parkingSpace.isParkingSpaceIncludedInPrice,detailedType.typology,detailedType.subTypology,suggestedTexts.subtitle,suggestedTexts.title,highlight.groupDescription,floor,exterior,hasLift,district,neighborhood,priceInfo.price.priceDropInfo.formerPrice,priceInfo.price.priceDropInfo.priceDropValue,priceInfo.price.priceDropInfo.priceDropPercentage
108951983,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/2e/69/77/1360748707.webp,FE,16,595000.0,countryHouse,sale,354.0,3,2,camino de Navahonda,Madrid,Fresnedillas de la Oliva,es,40.479934,-4.1752708,False,https://www.idealista.com/inmueble/108951983/,"NO COBRAMOS HONORARIOS AL COMPRADOR  Finca Ecuestre Exclusiva en Venta. Vivienda reformada, instalaciones profesionales y entorno natural privilegiado Spacio4 Luxury Homes presenta en exclusiva esta espectacular finca ecuestre en venta, completamente legalizada como Centro de Recuperación Equino y con vivienda principal. Ubicada en un entorno protegido, a tan solo 45 minutos de Madrid, combina naturaleza, funcionalidad profesional y confort residencial. Instalaciones Ecuestres Profesionales La finca, con una superficie de 5,6 hectáreas, está equipada para la gestión profesional de caballos y actividades ecuestres: 7 boxes perfectamente acondicionados. 12 paddocks con refugios. Pista de entrenamiento 40×60 con drenaje. Pista redonda y lavadero para 4 caballos. Cercados desmontables y bebederos automáticos que garantizan versatilidad y operatividad durante todo el año. Vivienda Principal Reformada con Encanto La casa, de una planta, fue reformada íntegramente en 2015 para ofrecer comodidad y eficiencia: 3 dormitorios y 2 baños completos. Salón diáfano con cocina americana, ideal para la vida familiar. Climatización por aire acondicionado y estufas de leña Hergom. Jardín privado que rodea la vivienda. Dos cabañas de madera independientes, perfectas como casas de invitados, oficinas o espacios de ocio. Autonomía y Confort Todo el Año Energía solar con baterías de litio (2024) y generador auxiliar. Agua garantizada durante todo el año gracias a pozos propios. Cobertura móvil y conexión a internet 5G de alta calidad. Entorno Natural Protegido Situada en zona ZEPA, rodeada de praderas, encinas y robles centenarios, la finca cuenta con: Arroyo propio y vistas panorámicas a la Sierra de la Almenara. Localización estratégica a solo 1 km del pueblo, con todos los servicios esenciales y excelente conexión con Madrid. Seguridad y Privacidad Perímetro vallado con muro de piedra original y cancelas de hierro. Vigilancia privada del Canal de Isabel II. Sistema de alarma ADT para máxima seguridad. Una Propiedad Única para Amantes de la Naturaleza y el Mundo Ecuestre Esta finca ecuestre combina naturaleza, instalaciones de alto nivel y vivienda confortable, convirtiéndose en una opción ideal para uso particular o profesional. Una oportunidad excepcional para quienes buscan un entorno único a poca distancia de Madrid. AVISO LEGAL: Este anuncio no incluye los gastos de impuestos, notario, registro de la propiedad, entre otros. Este anuncio es meramente informativo y no constituye una oferta vinculante ni contractual. Las fotografías y datos incluidos están sujetos a posibles modificaciones por razones comerciales, técnicas o jurídicas.",True,good,False,1681.0,False,False,False,False,[],False,False,595000.0,€,True,True,countryHouse,countryHouse,Fresnedillas de la Oliva,Finca rústica en camino de Navahonda,Destacado,,,,,,,,
108921120,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/8b/1f/74/1358978740.webp,KB-02795-0001,14,235000.0,flat,sale,82.0,2,2,calle Taberna,Madrid,Los Molinos,es,40.7166602,-4.074033,False,https://www.idealista.com/inmueble/108921120/,"Piso de 82,1 m2 a la venta situado en Los Molinos, en la provincia de Madrid. Situado en una buena zona de la población, junto a la Plaza de España y todos sus servicios (restaurantes, comercios, supermercados, parques, farmacias, etc. ). Además, cuenta con excelentes comunicaciones, tanto por transporte público (autobuses de las líneas 680, 684 y 688) como privado. Tiene fácil acceso a la M-614. La vivienda fue construida en 2005 y se distribuye en dos habitaciones con armarios empotrados, dos cuartos de baño, uno de ellos en suite, amplio salón-comedor, cocina independiente y zona diáfana bajo cubierta. Dispone de trastero y una plaza de aparcamiento anejas e incluidas en el precio de venta. Dispone de calefacción individual de gas natural, suelos de gres y armarios empotrados equipados. Por todo ello, esta residencia le ofrece muchas posibilidades como inversión. Con nuestros servicios podrá encontrar la vivienda que necesita y asegurar su inversión con el mejor de los asesoramientos especializados. Empiece ahora mismo pidiendo más información. Un responsable cercano a usted le atenderá personalmente.",False,good,False,2866.0,False,False,False,False,[],False,False,235000.0,€,True,True,flat,,Los Molinos,Piso en calle Taberna,Destacado,bj,True,False,,,,,
108789335,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/4e/07/f8/1355169497.webp,1016,8,125000.0,flat,sale,36.0,1,1,calle de Alfredo Castro Camba,Madrid,Madrid,es,40.3870266,-3.6716413,False,https://www.idealista.com/inmueble/108789335/,"Descubre este acogedor piso ideal para quienes buscan un espacio funcional y bien cuidado. Este inmueble se encuentra en un excelente estado de conservación y cuenta con una distribución interior que maximiza cada rincón. Dispone de un dormitorio y un baño completo, perfecto para una persona o una pareja. La vivienda está equipada con calefacción eléctrica que garantiza confort durante todo el año, y ventanas Climalit que aportan aislamiento y tranquilidad. La cocina, equipada, invita a preparar deliciosas comidas en un entorno práctico Además, cuenta con una puerta blindada que proporciona seguridad adicional y un trastero para almacenamiento extra. Una oportunidad única para vivir en un piso funcional, seguro y listo para entrar a vivir. Cuando el detalle realmente importa.",False,good,False,3472.0,False,False,False,False,[],False,False,125000.0,€,,,flat,,"San Diego, Madrid",Piso en calle de Alfredo Castro Camba,Destacado,bj,False,False,Puente de Vallecas,San Diego,,,
107665633,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/12/fe/fb/1319182373.webp,RP1692025135792,26,280000.0,flat,sale,81.0,3,1,Barrio Valderas - Los Castillos,Madrid,Alcorcón,es,40.3555071,-3.8108985,False,https://www.idealista.com/inmueble/107665633/,"Descubre tu nuevo hogar! Te presentamos una encantadora vivienda de 81 m² que tiene un gran potencial para convertirse en el espacio que siempre has soñado. Esta propiedad cuenta con tres acogedores dormitorios, un amplio salón, una cocina con tendedero, un baño y una terraza que te sorprenderá. La terraza es ideal para disfrutar de impresionantes vistas a la sierra, un lugar perfecto para relajarte al final del día. Ubicada en edificio con ascensor y portero físico, esta vivienda te ofrece comodidad y seguridad en tu día a día. Su ubicación es inmejorable, a pocos metros de la estación de Renfe San José de Valderas y con fácil acceso a las principales vías y paradas de autobús cercanas, lo que te permitirá moverte con total facilidad. Además, la vivienda cuenta con calefacción individual y es muy luminosa, lo que la convierte en un espacio cálido y acogedor. Si buscas un lugar con gran potencial y una ubicación excelente, ¡esta es tu oportunidad! Contáctanos para más información y para agendar una visita. ¡No dejes pasar esta ocasión única! Financiamos hasta el 100%. Redpiso ""tu hogar, nuestro compromiso"". *El precio no incluye el Impuesto de Transmisiones Patrimoniales (Max. 6% sobre el precio de venta o del valor del inmueble que marque la Comunidad de Madrid), ni el 3% más IVA (21%) sobre el precio final del inmueble equivalente a los honorarios del comprador por la intermediación inmobiliaria, ni los gastos notariales y/o registrales (según el caso). Ubicación aproximada. ¡No dejes pasar esta oportunidad! Ven a visitarlo y enamórate de tu futuro hogar.",True,good,False,3457.0,False,False,False,False,[],False,False,280000.0,€,,,flat,,"Valderas - Los Castillos, Alcorcón",Piso,Destacado,6,True,True,Valderas - Los Castillos,Valderas - Los Castillos,290000.0,10000.0,3.0
108610931,https://img4.idealista.com/blur/480_360_mq/90/id.pro.es.image.master/63/e5/13/1349897411.webp,VPA2870786616,46,1250000.0,chalet,sale,479.0,6,6,paseo del Embajador,Madrid,Ciudalcampo,es,40.6165495,-3.6100028,False,https://www.idealista.com/inmueble/108610931/,"Descubre la elegancia y el confort en este impresionante chalet situado en el prestigiosa urbanización Ciudalcampo en el Paseo del Embajador, en San Sebastián de los Reyes, Madrid. Con una generosa extensión de 479 m² de vivienda en una parcela de algo más de 3.000 m², esta propiedad residencial ofrece un espacio amplio y versátil para satisfacer todas tus necesidades. El chalet destaca por su diseño arquitectónico que combina funcionalidad y estilo, proporcionando un ambiente acogedor y sofisticado. Los armarios empotrados ofrecen soluciones de almacenamiento prácticas y discretas, integrándose perfectamente en el diseño de las habitaciones. La joya de este inmueble es su magnífica piscina privada, ideal para disfrutar de momentos de relax y diversión en los días soleados. El entorno del chalet permite disfrutar de la tranquilidad y privacidad, creando un oasis personal en el corazón de la ciudad. Ubicado en una zona privilegiada de San Sebastián de los Reyes, este chalet ofrece fácil acceso a todos los servicios y comodidades que la ciudad tiene para ofrecer, mientras que su ubicación estratégica garantiza una excelente conexión con el centro de Madrid. Este chalet es la elección perfecta para quienes buscan un hogar espacioso y exclusivo, donde cada detalle ha sido cuidadosamente pensado para ofrecer una experiencia de vida inigualable. Ven y descubre el lugar donde tus sueños pueden hacerse realidad.",False,good,False,2610.0,False,False,True,False,[],False,False,1250000.0,€,True,True,chalet,,Ciudalcampo,Chalet en paseo del Embajador,Destacado,,,,,,,,
108980289,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/e8/9f/72/1360753186.webp,RP2212025140695,11,886000.0,flat,sale,185.0,4,2,Norte,Madrid,Alcobendas,es,40.5471608,-3.6581953,False,https://www.idealista.com/inmueble/108980289/,"REDPISO ALCOBENDAS NORTE VENDE UNA EXCLUSIVA vivienda en urbanización cerrada con vigilancia 24 horas Ubicada en una exclusiva urbanización privada con conserje 24h y acceso controlado por una única puerta de entrada y salida, esta excelente vivienda destaca por su amplitud, luminosidad y calidad de acabados.  Distribución y características: •Gran salón-comedor con acceso directo a una amplia terraza •4 dormitorios muy espaciosos, todos con armarios empotrados •2 baños completos. •Cocina independiente con office y tendedero cubierto •Aire acondicionado en toda la vivienda •Sensores antihumedad instalados •Vivienda muy tranquila y sin ruidos •Suelos de parquet en excelente estado •Ventanas Climalit con rotura de puente térmico.  La vivienda también cuenta con trastero y una plaza de garaje.  Zonas comunes: •Piscina comunitaria •Pistas de pádel •Parque infantil Si necesitas más información o deseas programar una visita no dudes en contactarnos, descubre todo lo que puede ofrecerte. por privacidad de los vendedores no se pondrán fotos del interior de la vivienda, De conformidad con el Artículo 6 del RD 515/1989, de 21 de abril, informamos a los clientes que los gastos notariales, registrales, Impuesto de Transmisiones Patrimoniales (I. T. P. ) gastos financieros y otros gastos inherentes a la compraventa no están incluidos en el precio de venta de la vivienda. ""Se cumplen todos los requisitos y derechos referidos en la Ley 12/2023 por el Derecho a la Vivienda"". Asesórate con nuestro departamento financiero DCREDIT para conseguir las mejores condiciones hipotecarias, financiamos hasta el 100%. En REDPISO ALCOBENDAS NORTE trabajamos para ofrecer a nuestros clientes los mejores inmuebles de Alcobendas, con un gran equipo especializado en la zona, para proporcionarles la mejor opción a cada necesidad, cuidando al máximo los detalles.",True,good,False,4789.0,True,False,False,False,[],False,False,886000.0,€,True,True,flat,,"Norte, Alcobendas",Piso,Destacado,1,True,True,Norte,,,,
108663037,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/e6/d7/0d/1351463421.webp,,15,475000.0,flat,sale,84.0,2,1,"CL MANCHESTER, 4",Madrid,Madrid,es,40.4292562,-3.6065413,True,https://www.idealista.com/inmueble/108663037/,"**Piso en Venta en Urbanización Cerrada - Ideal para Vivir y Disfrutar** ¡Descubre este estupendo piso muy luminoso en una urbanización cerrada que ofrece todo lo que necesitas para vivir cómodamente! Con 84 m² construidos, esta vivienda cuenta con un acogedor salón individual y una cocina equipada que se conecta a una terraza tendedero, perfecta para disfrutar del aire libre. Tiene dos dormitorios amplios con armarios empotrados y un baño completo, ideal para familias o parejas. La urbanización destaca por sus jardines bien cuidados y una refrescante piscina, donde podrás relajarte en los días soleados. Además, cuenta con portero físico y accesos adaptados para personas con movilidad reducida, garantizando comodidad y seguridad para todos. La ubicación es inmejorable, cerca del aeropuerto y con fácil acceso a las principales vías M-30 y M-40. En la zona encontrarás todos los servicios necesarios: colegios, centro de salud, farmacias y comercios de cercanía. También hay líneas de metro 2 y 7 que facilitan el transporte por la ciudad. La plaza de garaje está incluida en el precio. No pierdas la oportunidad de vivir en este magnífico hogar que combina confort y excelente ubicación. ¡Ven a visitarlo y enamórate de tu nuevo hogar!",False,good,False,5655.0,False,False,False,False,[],False,False,475000.0,€,True,True,flat,,"Rosas, Madrid","Piso en CL Manchester, 4",Destacado,4,True,True,San Blas,Rosas,,,
108069849,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/79/6f/6d/1332905947.webp,VPA0200312780,25,569000.0,chalet,sale,415.0,5,4,paseo del Carraperal,Madrid,Griñón,es,40.2090704,-3.8393111,False,https://www.idealista.com/inmueble/108069849/,"? Magnífico chalet en Griñón – Espacio, confort y exclusividad Descubre esta espectacular propiedad de 415 m², ideal para quienes buscan amplitud y calidad de vida en una de las zonas más tranquilas y cotizadas de Griñón. ? Características destacadas: ? 5 habitaciones muy luminosas, perfectas para familias grandes o para quienes buscan versatilidad. ? 4 baños completos, con acabados de calidad. ? Jardín privado y piscina, para disfrutar del aire libre en tu propio hogar. ? Terraza y balcón, ideales para relajarte o compartir momentos al aire libre. ? Garaje y trastero, con amplio espacio de almacenaje y comodidad. ? Calefacción y aire acondicionado, para el máximo confort durante todo el año. Esta propiedad reúne todo lo que necesitas: espacio, privacidad y equipamiento de alto nivel. ¡Ven a verla y enamórate? Contáctanos para más información o para agendar tu visita.",False,good,False,1371.0,False,False,False,False,[],False,False,569000.0,€,,,chalet,,Griñón,Chalet en paseo del Carraperal,Destacado,,,,,,,,
108955445,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/19/ee/2d/1359995918.webp,Erick,16,330000.0,flat,sale,90.0,4,2,calle del General Ricardos,Madrid,Madrid,es,40.3890105,-3.7327311,False,https://www.idealista.com/inmueble/108955445/,"TEMPOCASA MADRID SAN ISIDRO Ofrece piso en venta en la calle General Ricardos, a tan solo unos minutos de las estaciones de metro Urgel y Marqués de Vadillo. Se trata de una segunda planta con ascensor, situada en una de las zonas más consolidadas de Carabanchel. A su alrededor encontrarás todo tipo de servicios: supermercados Mercadona, farmacias, colegios, comercios de proximidad y excelente conexión con el centro de Madrid. La vivienda se distribuye en cuatro dormitorios (dos dobles y dos individuales), un baño completo con plato de ducha y otro como servicio para las visitas, salón luminoso, cocina independiente y dos espacios que te servirán como almacenaje.  ¡No pierdas la oportunidad de convertir este espacio en un hogar perfecto, contáctanos para más información y para programar una visita!",False,renew,False,3667.0,False,False,False,False,[],False,False,330000.0,€,,,flat,,"San Isidro, Madrid",Piso en calle del General Ricardos,Destacado,2,True,True,Carabanchel,San Isidro,,,
108563784,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/a3/0e/40/1348564778.webp,,25,290000.0,flat,sale,88.0,3,2,calle de Aguilar del Río,Madrid,Madrid,es,40.3706097,-3.7590363,False,https://www.idealista.com/inmueble/108563784/,"AMPLIO Y LUMINOSO PISO DE 3 HABITACIONES CON TERRAZA Y EXCELENTES POSIBILIDADES DE INVERSIÓN Ponemos a la venta esta vivienda de 88 m², lista para entrar a vivir, ubicada en una zona tranquila y bien comunicada de Madrid. La propiedad se distribuye en tres amplias habitaciones, una de ellas con armario empotrado, dos baños (uno completo y un aseo), salón con acceso a terraza, y cocina equipada con horno, vitrocerámica y frigorífico. Además, cuenta con un práctico armario adicional en el pasillo. El piso destaca por su luminosidad natural, con todas las estancias exteriores, y por sus recientes mejoras: suelo acuchillado y paredes recién pintadas. Dispone de calefacción central en todas las estancias y aire acondicionado en el salón, lo que garantiza confort durante todo el año. Ideal para inversión: dada la alta demanda y escasa oferta de alquiler en la zona, es una excelente oportunidad tanto para alquiler familiar como para alquilar por habitaciones, ya que permite fácilmente reformar el salón y obtener una cuarta habitación. Ubicación inmejorable, rodeado de colegios, parques, farmacias y supermercados a pocos minutos a pie. Excelente comunicación con distintas líneas de autobús directas al centro de Madrid y Atocha, y acceso rápido a la M-40. El barrio es residencial, tranquilo y con facilidad de aparcamiento en zona blanca. Una vivienda con infinitas posibilidades en una de las zonas más demandadas de Madrid. ¡Solicita tu visita sin compromiso! Toda la informacion brindada en esta publicacion es compartida por terceros y puede contener errores, el precio no incluye gastos de impuestos, notaria, agencia, etc.",False,good,False,3295.0,False,False,False,False,[],False,False,290000.0,€,,,flat,,"Buena Vista, Madrid",Piso en calle de Aguilar del Río,Destacado,6,True,True,Carabanchel,Buena Vista,,,
