propertyCode,thumbnail,externalReference,numPhotos,price,propertyType,operation,size,rooms,bathrooms,address,province,municipality,country,latitude,longitude,showAddress,url,description,hasVideo,status,newDevelopment,priceByArea,hasPlan,has3DTour,has360,hasStaging,notes,topNewDevelopment,topPlus,priceInfo.price.amount,priceInfo.price.currencySuffix,parkingSpace.hasParkingSpace,parkingSpace.isParkingSpaceIncludedInPrice,detailedType.typology,detailedType.subTypology,suggestedTexts.subtitle,suggestedTexts.title,highlight.groupDescription,floor,exterior,district,neighborhood,hasLift,priceInfo.price.priceDropInfo.formerPrice,priceInfo.price.priceDropInfo.priceDropValue,priceInfo.price.priceDropInfo.priceDropPercentage,parkingSpace.parkingSpacePrice
108728971,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/1d/b4/4c/1353398018.webp,CAScan0000198246,3,295000.0,chalet,sale,393.0,4,3,"CL Francisca y Fco Fausto, 44",Madrid,Chinchón,es,40.1402665,-3.4221687,True,https://www.idealista.com/inmueble/108728971/,"Activo adjudicado en subasta sin posesión Actualmente, no es posible realizar visitas al interior del inmueble. Las fotografías pueden no reflejar el estado actual de la propiedad. El precio del inmueble ha sido fijado en atención a que el inmueble se adquiera por el comprador en estado de ocupado por lo que no aplicaría dicho precio si en el momento de formalización de la escritura pública el inmueble se encontrara libre de ocupantes. Chalet en venta ubicado en CALLE DOÑA FRANCISCA Y DON FRANCISCO FAUSTO, CHINCHÓN, Madrid. Dispone de una superficie de 393 m2.",False,renew,False,751.0,False,False,False,False,[],False,False,295000.0,€,True,True,chalet,independantHouse,Chinchón,"Casa independiente en CL Francisca y Fco Fausto, 44",Destacado,,,,,,,,,
108260664,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/12/7f/7a/1338795341.webp,RP2582025138085,38,370000.0,flat,sale,130.0,4,2,Barrio San Fermín,Madrid,Madrid,es,40.3677139,-3.6856499,False,https://www.idealista.com/inmueble/108260664/,"Te ofrecemos este magnífico piso en una 5ª planta con ascensor.  Sus 110 m2 útiles se distribuyen en 4 dormitorios, salón con mirador con vistas a la piscina, cocina equipada con terraza, 2 baños, uno con bañera y otro en suite con plato de ducha.  Calefacción de gas natural y aire acondicionado en salón y habitaciones.  Suelo de tarima. Domótica.  Cuenta con plaza de garaje y amplio trastero.  Además la finca tiene piscina, para que este verano combatáis el intenso calor madrileño.  Los más pequeños podrán disfrutar de su propia piscina y de su parque infantil.  También cuenta con conserje 24 horas.  Su cercanía con la Caja Mágica hará que puedan disfrutar de unas estupendas zonas verdes en el parque lineal del Manzanares.  ¡NO DEJES PASAR ESTA INCREIBLE OPORTUNIDAD!  El barrio de San Fermín es un barrio perteneciente al distrito de Usera. El barrio está delimitado por el río Manzanares al este, la M-30 y el nudo sur al norte, al oeste la avenida de Andalucía y el barrio de Orcasitas y al sur con la autopista M-40 y el nudo super-sur. El barrio de San Fermín está comunicado con la Línea 3 de la red Metro de Madrid, por las estaciones son San Fermín-Orcasur, estación compartida con el barrio de Orcasur, ubicada en la avenida de Andalucía en la confluencia con la avenida de los Fueros. La otra estación que da servicio a los vecinos es Hospital 12 de Octubre, situada en la Glorieta de Málaga. Estas dos estaciones dan acceso directo a la Puerta del Sol (Estación de Sol) en 10/12 minutos. También dispone en sus inmediaciones de una estación de Cercanías, Doce de Octubre (C-5), en el barrio de Almendrales. San Fermín tiene servicio de autobuses de la EMT de Madrid, pasan por el barrio las líneas 23, 78 y 123 y por la lindante avenida de Andalucía las líneas 18, 22, 59, 76, 79, 81, 85 y 86. Estas líneas dan al barrio comunicación con la plaza Mayor, Legazpi, Atocha, Embajadores y Oporto.  *En el precio de venta no están incluidos los gastos de compra (Impuestos de transmisiones patrimoniales / Notaría - Gestoría / Registro / Intermediación inmobiliaria y / o Financiera). *.",False,good,False,2846.0,False,False,False,False,[],False,False,370000.0,€,True,True,flat,,"San Fermín, Madrid",Piso,Destacado,5,False,Usera,San Fermín,True,380000.0,10000.0,3.0,
108443816,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/fe/6e/b4/1345034731.webp,,33,210000.0,flat,sale,57.0,3,1,CL SAN FILEMON,Madrid,Madrid,es,40.4058893,-3.6134725,False,https://www.idealista.com/inmueble/108443816/,"Descubre este encantador piso de 3 dormitorios ubicado en una primera planta sin ascensor, ideal para quienes buscan un hogar luminoso y bien conectado en Madrid.  Características del Inmueble:  Superficie: 60 m2  Dormitorios: 3 amplios dormitorios con excelente iluminación natural  Baño: 1 baño completo  Cocina: Cocina funcional con acceso a una terraza-tendedero.  Orientación: Totalmente exterior, con vistas a un boulevard peatonal y a la calle San Filemón, lo que garantiza luz natural durante todo el día  � Excelente Conectividad: Metro: A solo 12 minutos a pie de la estación Vicálvaro (Línea 9) Autobuses: Paradas cercanas con líneas 100, 130, 287, 4, E3, E5, facilitando el acceso a diferentes puntos de la ciudad Cercanías: Estaciones de tren C2 y C7 en las proximidades, ampliando las opciones de transporte  � Servicios y Entorno: Educación: Cercano a colegios y centros educativos de calidad, ideales para familias con niños Parques: Zonas verdes y parques en las inmediaciones, perfectos para el ocio y el deporte al aire libre  Comercios: Supermercados, tiendas y restaurantes a pocos minutos, cubriendo todas las necesidades diarias Salud: Centros de salud y farmacias en el entorno, brindando tranquilidad y seguridad  � Edificio: Edificio de construcción sólida con solo 2 vecinos por planta, lo que proporciona un ambiente tranquilo y familiar Sin ascensor, lo que se traduce en gastos comunitarios más bajos. IBI: 190€/año Este piso es una oportunidad única para quienes buscan un hogar acogedor, bien ubicado y con todas las comodidades necesarias. ¡No dejes pasar esta oportunidad!",True,renew,False,3684.0,False,False,False,False,[],False,False,210000.0,€,,,flat,,"Ambroz, Madrid",Piso en CL San Filemon,Destacado,1,True,Vicálvaro,Ambroz,False,,,,
109076184,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/5c/22/a0/1363691756.webp,E-0156,13,168000.0,flat,sale,51.0,2,1,calle Camelias,Madrid,Getafe,es,40.316251,-3.7250071,False,https://www.idealista.com/inmueble/109076184/,"LINKCASA EMBAJADORES vende piso para reformar ideal para inversor, el piso cuenta con 51 m² según catastro y está dotada con dos habitaciones, un baño completo, un salón comedor. Se encuentra situada en una quinta planta en la privilegiada zona de Getafe, a pocos minutos andando de las cercanías, centro comercial, comercios, colegios, farmacias y zonas infantiles. La vivienda se distribuye en: • Una habitación doble, una habitación simple • Un baño completo • salón comedor  DESTACAMOS la propiedad por su excelente conexión con el centro de Madrid y su tranquilidad, lo que la convierte en un lugar ideal para invertir o vivir, disfrutando de lo mejor de la ciudad sin renunciar al confort y la paz. TRANSPORTE: La vivienda goza de excelentes conexiones. Las paradas de autobús más cercanas permiten un acceso rápido al centro de la ciudad, mientras que las cercanías, a pocos minutos andando, facilita la conexión con otras zonas de Madrid. ENTORNO NATURAL: Uno de los grandes atractivos de esta vivienda es su proximidad a amplias zonas verdes como el parque de Castilla la Mancha ideal para los amantes del deporte al aire libre o para quienes buscan un espacio para relajarse en la naturaleza, además del polideportivo municipal Juan de la Cierva.  Si estás interesado en ver esta propiedad, contacta con nosotros y pondremos a tu disposición nuestro equipo de especialistas en el sector inmobiliario, así como nuestro DEPARTAMENTO FINANCIERO para obtener la hipoteca. También te ofreceremos asesoría legal y fiscal en la operación. 买卖二手房认准马德里恋家房产 资深的二手房产团队 专业的贷款部门 中西合并的企业文化 欢迎大家联系我们 我们为您量身打造一个方案帮您实现您筑家的梦 添加我们的微信号: pisosventa 关注更多房源.",False,renew,False,3294.0,False,False,False,False,[],False,False,168000.0,€,,,flat,,"Universidad, Getafe",Piso en calle Camelias,Destacado,5,True,Universidad,,False,,,,
109095638,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/85/0c/05/1364230750.webp,RP1852025141073,7,699000.0,flat,sale,100.0,4,1,calle del Acuerdo,Madrid,Madrid,es,40.4269097,-3.7069963,False,https://www.idealista.com/inmueble/109095638/,"Se vende maravilloso piso de 100 m², en una tercera planta exterior con ascensor de la tranquila y bien ubicada Calle del Acuerdo, ideal para quienes buscan un espacio amplio para personalizar a su gusto. La vivienda cuenta con 4 dormitorios, 1 baño completo, un amplio salón-comedor y cocina independiente. El piso está en buen estado general, aunque admite una actualización para adaptarlo a tus necesidades y estilo. Gracias a su excelente distribución y sus estancias exteriores, es una casa muy luminosa y acogedora, perfecta para convertirla en el hogar que siempre has soñado. Situado en una finca cuidada, ideal para quienes prefieren vivir en una zona relajada, la ubicación es tranquila, pero con acceso cercano a comercios, transporte público y otros servicios esenciales. Excelente comunicación de transporte público en autobús: 144, 7,3, 21 y C03 en Metro: San Bernardo (L2 y L4) y Bilbao (L1 y L4). Visite sin compromiso. Solicite más información y/o cita previa a los teléfonos: – Vea más inmuebles en.",False,renew,False,6990.0,False,False,False,False,[],False,False,699000.0,€,,,flat,,"Malasaña-Universidad, Madrid",Piso en calle del Acuerdo,Destacado,3,True,Centro,Malasaña-Universidad,True,720000.0,21000.0,3.0,
108373020,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/7b/99/21/1364742988.webp,M-303,27,279000.0,flat,sale,65.0,3,1,Barrio Opañel,Madrid,Madrid,es,40.3884988,-3.719027,False,https://www.idealista.com/inmueble/108373020/,"MASTERPISO vende piso en Opañel, Carabanchel, Madrid, 1ª planta con ascensor, 65 m2 construidos, 3 habitaciones, baño completo, cocina americana, salón. VISITAS A PARTIR DEL 15 DE SEPTIEMBRE Vivienda totalmente reformada en el año 2024, suelo tarima, puerta de acceso blindada, ventanas aluminio climalit toda la casa, calefacción y agua caliente gas natural con caldera individual y contador. Zona tranquila y con todos los servicios cerca, comercios de barrio, parques, colegios, centro de salud, gimasios, centros deportivos etc. ¡Contáctanos para más información y visitas! Si quiere cambiar de vivienda, si quiere vender su inmueble, vender para compra o quiere saber el precio de mercado, hacemos valoraciones totalmente gratuitas y sin compromiso. VALORACIÓN GRATUITA ONLINE EN 2 MINUTOS EN NUESTRA PAGINA WEB Asesoramiento financiero gratuito a nuestros Clientes. El presente anuncio es a título informativo, no siendo vinculante, ya que puede contener errores, no siendo por tanto contractual en ningún caso.",True,good,False,4292.0,False,False,False,False,[],False,False,279000.0,€,,,flat,,"Opañel, Madrid",Piso,Destacado,1,True,Carabanchel,Opañel,True,,,,
108802426,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/5f/7d/dd/1367825139.webp,VPV415325,38,1295000.0,chalet,sale,250.0,4,4,El Soto de la Moraleja,Madrid,La Moraleja,es,40.5200102,-3.6515847,False,https://www.idealista.com/inmueble/108802426/,"Exclusivo chalet adosado de esquina en urbanización privada, ubicado junto a una de las principales arterias del Soto de La Moraleja, con acceso rápido a centros comerciales, colegios, bancos y todo tipo de servicios. Una propiedad muy cuidada, con excelente orientación y múltiples espacios tanto para el disfrute familiar como para el descanso. Distribuido en cuatro plantas, este chalet destaca por su amplitud, funcionalidad y luminosidad en todas sus estancias. Planta principal: Amplio salón-comedor con salida a una elegante terraza acristalada, perfecta como zona de estar durante todo el año. Encantador jardín privado con orientación noreste. Cocina independiente totalmente amueblada, con zona de office ideal para comidas informales. Aseo de cortesía para invitados. En la primera planta encontramos tres dormitorios dobles muy espaciosos con armarios empotrados lacados en blanco y dos baños completos, uno de ellos en suite.  La carpintería exterior es de aluminio y las puertas están lacadas en blanco. En la buhardilla está la magnífica suite principal, con techos abuhardillados, múltiples armarios a medida bajo cubierta, baño privado y salida a una soleada terraza donde disfrutar de vistas despejadas y espectaculares puestas de sol. En la planta sótano se puede disfrutar de una gran sala de juegos polivalente con luz natural, una práctica zona de despensa, una sala de lavandería, un trastero y un baño completo adicional. Una plaza de garaje interior incluida en el precio. La calefacción y agua caliente es por caldera individual de Gas Natural. Aire acondicionado con splits frío/calor en dormitorios. La urbanización privada tiene seguridad 24 horas, dos piscinas comunitarias (una de ellas de agua salada), una pista de fútbol y baloncesto, parque infantil y pista de pádel. Zonas comunes muy amplias para que tanto pequeños como adultos puedan disfrutar dentro del propio recinto. Excelente ubicación y comunicación a través de diferentes líneas de autobús y a pocos minutos de carreteras principales como la A1, M-30 y M-40.  Muy cerca de restaurantes, zonas comerciales y de ocio y colegios internacionales de La Moraleja.  Una oportunidad única para vivir en una de las zonas más exclusivas de La Moraleja, con la privacidad y comodidad de una urbanización tranquila, y todos los servicios al alcance de la mano.",True,good,False,5180.0,False,False,False,False,[],False,False,1295000.0,€,True,True,chalet,terracedHouse,"El Soto de la Moraleja, La Moraleja",Chalet adosado,Destacado,,,El Soto de la Moraleja,,,,,,
108939115,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/59/04/69/1359491594.webp,OM113 - SORAYA,12,2200000.0,flat,sale,114.0,3,2,calle de Juan de Mena,Madrid,Madrid,es,40.4169225,-3.6916089,False,https://www.idealista.com/inmueble/108939115/,"Consta de 114 m² Con grandes ventanales, totalmente equipado, una ubicación excelente, EN JERÓNIMOS. A. 1 MINUTO DEL PARQUE DEL RETIRO. Se distribuye en un amplio hall recibidor con armarios empotrados, un gran salón con comedor, un aseo, una cocina con electrodomésticos de bajo consumo triple A, una zona de servicio, lavandería y despensa. Tiene 3 dormitorios 2 baños completos, 2 de ellos en suite también consta de un ASEO DE CORTESÍA. Desde el salón se pueden disfrutar de unas vistas privilegiadas a UNA DE LAS CALLES MÁS BONITAS DE MADRID. Todos los dormitorios tienen VESTIDOR. Una gran oportunidad, con todos los servicios en la puerta. Listo para entrar a vivir. Es exterior, muy luminosa, con techos altos, molduras, frisos, paredes lisas y puertas anchas. La fachada del edificio está muy cuidada. El portal tiene ascensor y está reformado y tiene PORTERO. La calefacción es CENTRAL Y TIENE AIRE ACONDICIONADO TIPO AIR ZONE. Biblioteca pública municipal del RETIRO se puede ir andando. Es una casa preciosa y decorada con mucho gusto. Sin duda, es una oportunidad para vivir y disfrutar en un barrio residencial, familiar y muy tranquilo cerca del centro de Madrid. Disponemos de las llaves de la propiedad. Puedes ponerte en contacto para consultar la disponibilidad de las visitas. Negociación flexible y con la propiedad. Utande Real Estate es una sociedad de inversión inmobiliaria nacional e internacional. Colaboramos con más de 1.500 agencias inmobiliarias en todo el mundo. Te asesoramos jurídicamente y te ofrecemos la mayor rentabilidad financiero-fiscal. Este anuncio es solo orientativo y no está sujeto a ningún compromiso establecido. Te ayudamos a conseguir tu HIPOTECA hasta un 100% de la financiación. Te ayudamos a REFORMAR tu vivienda y te enviamos presupuesto en 48h.  Este piso esta alquilado actualmente y aún no esta a la venta. Atendemos también vía WhatsApp.",False,good,False,19298.0,False,False,False,False,[],False,False,2200000.0,€,True,False,flat,,"Jerónimos, Madrid",Piso en calle de Juan de Mena,Destacado,1,True,Retiro,Jerónimos,True,,,,350.0
108564133,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/56/f0/1a/1348575619.webp,RP1572025139273,17,179900.0,flat,sale,80.0,3,1,Reyes Católicos,Madrid,Alcalá de Henares,es,40.4761513,-3.3878528,False,https://www.idealista.com/inmueble/108564133/,"Redpiso vende piso en alcalá de henares, zona tranquila, cerca de la casa romana de hippolytus y a diez minutos andando de la estación de trenla garena"". La vivienda es una primera planta sin ascensor y se distribuye en: hall de entrada, salón amplio y luminoso con aire acondicionado, terraza abierta con toldo, cocina amueblada con terraza acristalada, 3 dormitorios completos, 1 baño con plato de ducha y ventana. Suelos de gres. Informese sin compromiso y reciba asesoramiento gratuito y personalizado por parte de nuestro departamento financiero dcredit. ¡solicite su cita!",True,good,False,2249.0,False,False,False,False,[],False,False,179900.0,€,,,flat,,"Reyes Católicos, Alcalá de Henares",Piso,Destacado,1,True,Reyes Católicos,,False,,,,
107813398,https://img4.idealista.com/blur/480_360_mq/180/id.pro.es.image.master/27/95/66/1324577897.webp,,27,232000.0,duplex,sale,95.0,2,2,calle del Olivar,Madrid,Cobeña,es,40.5680677,-3.5015367,False,https://www.idealista.com/inmueble/107813398/,"**Dúplex en Venta en el Corazón de Cobeña** ¡Descubre este espectacular dúplex de esquina totalmente reformado en el centro de Cobeña! Con 95 m² construidos, este inmueble ofrece un diseño moderno y funcional, ideal para disfrutar de la vida urbana sin renunciar a la comodidad. En la primera planta, te recibe un acogedor distribuidor que da paso a un luminoso salón comedor, perfecto para compartir momentos inolvidables. La cocina, equipada con encimera de silestone, es un sueño para los amantes de la gastronomía. Además, cuenta con un baño completo y un dormitorio que ofrece tranquilidad y confort. Subiendo por una amplia escalera de mármol, se encuentra el segundo dormitorio, también con baño completo, lo que garantiza privacidad y comodidad para todos. Las ventanas oscilobatientes con rotura de puente térmico aseguran un excelente aislamiento, mientras que el aire acondicionado y la calefacción a gas natural mantienen el hogar a la temperatura ideal durante todo el año.  La joya de este dúplex es su balcón con vista a la fuente del parque, un espacio perfecto para relajarse y disfrutar del entorno. Con armarios empotrados y una pintura lisa que aporta elegancia, este hogar está listo para entrar a vivir sin gastos adicionales. No dejes pasar la oportunidad de vivir en un lugar que combina modernidad y ubicación privilegiada. ¡Ven a verlo y enamórate!",False,good,False,2442.0,False,False,False,False,[],False,False,232000.0,€,,,flat,duplex,Cobeña,Dúplex en calle del Olivar,Destacado,1,True,,,False,,,,
