propertyCode,thumbnail,externalReference,numPhotos,price,propertyType,operation,size,rooms,bathrooms,address,province,municipality,district,country,latitude,longitude,showAddress,url,description,hasVideo,status,newDevelopment,priceByArea,hasPlan,has3DTour,has360,hasStaging,notes,topNewDevelopment,topPlus,priceInfo.price.amount,priceInfo.price.currencySuffix,parkingSpace.hasParkingSpace,parkingSpace.isParkingSpaceIncludedInPrice,detailedType.typology,detailedType.subTypology,suggestedTexts.subtitle,suggestedTexts.title,highlight.groupDescription,floor,exterior,neighborhood,hasLift,parkingSpace.parkingSpacePrice,priceInfo.price.priceDropInfo.formerPrice,priceInfo.price.priceDropInfo.priceDropValue,priceInfo.price.priceDropInfo.priceDropPercentage
105522263,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/7b/d1/35/1286884476.webp,010724-6,51,368000.0,chalet,sale,196.0,4,2,Centro,Madrid,Arganda,Centro,es,40.2991566,-3.4339011,False,https://www.idealista.com/inmueble/105522263/,"¡Tu OASIS URBANO: casa en venta con todas las comodidades a tu alcance! SE VENDE casa en una zona muy tranquila de nuestra localidad, donde te despreocuparás de los problemas de espacio debido a su AMPLITUD. Al entrar, nos da la bienvenida un amplio hall-distribuidor, el cual nos da acceso al luminoso salón comedor, aseo y espaciosa cocina independiente donde podrás comer plácidamente con toda tu familia. Y si quieres tomar un poco de aire, podrás hacerlo con un buen café en el acogedor patio privado que cuenta la vivienda; en la planta superior disponemos de 4 dormitorios, ( tres de ellos son dobles), y el cuarto de baño completo con ducha hidromasaje. Si todo ésto te parece poco, tenemos un segundo salón en la planta semisótano donde podremos celebrar cualquier festejo! Imagina despertar cada día en una casa que combina comodidad, estilo y un toque rústico en el corazón de Arganda del Rey. La vivienda dispone de garaje para dos vehículos. Ésta es tu oportunidad de hacer tu sueño realidad! ***NO COBRAMOS HONORARIOS AL COMPRADOR**** ¿Necesitas ayuda con la gestión del préstamo hipotecario? ¡ Pregúntanos porque podemos ayudarte! *La información que se detalla en este anuncio se muestra a título informativo, NO es contractual ni vinculante*.",True,good,False,1878.0,False,False,False,False,[],False,False,368000.0,€,True,True,chalet,independantHouse,"Centro, Arganda",Casa independiente,Destacado,,,,,,,,
108711104,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/83/e3/0b/1352853133.webp,RP2372025139850,14,197500.0,flat,sale,68.0,3,1,Barrio Los Rosales,Madrid,Madrid,Villaverde,es,40.3471689,-3.6859121,False,https://www.idealista.com/inmueble/108711104/,"REDPISO VILLAVERDE BAJO - SAN CRISTOBAL inscrito en el RAIN Nº 000517/20.  Este piso situado en una 1º planta dispone de 61M2 diseñados para aportante toda la comodidad que necesites.  -3 Dormitorios -Salón  -Cocina  -Baño 3 piezas con bañera -Ventanas climalit  -Tendedero cubierto  -Suelos de gres -Calefacción individual  Está situado en una zona tranquila y bien comunicada. El distrito de Villaverde limita al oeste con el término municipal de Leganés, al sur con el de Getafe, al este con el distrito de Villa de Vallecas a través del límite del río Manzanares, y al norte con el distrito de Usera, separándose de este a través de la autovía de circunvalación de Madrid M-40. La avenida de Andalucía es la comunicación más directa con el centro de Madrid y con las autopistas de circunvalación M-30, M-40 y M-45. También cerca una salida a la M-40. La estación de referencia es Villaverde Bajo, en el este del barrio. Por ella pasan las líneas C-3 y C-4 con frecuencias en días laborables de unos 6 minutos. Unen el barrio con los municipios del sur de la CAM y con el centro de Madrid (Sol, Atocha-Cercanías,... ) además de con San Sebastián de los Reyes, Alcobendas, Tres Cantos y Colmenar Viejo. La estación de referencia en cuanto al metro es Villaverde Bajo Cruce, en la línea 3. Conecta todo el distrito de Villaverde con el centro y el eje Callao-Plaza España-Moncloa, además de unir el barrio con su hospital de referencia, el Hospital 12 de Octubre. En cuanto a autobuses, se encuentra el intercambiador de superficie de Villaverde Bajo, que está situado en la zona de ""El Cruce"" (intersección de la carretera de Villaverde a Vallecas), con ocho dársenas que se comunican mediante ascensores con la estación de Metro de la línea 3.  *En el precio de venta no están incluidos los gastos de compra (Impuestos de transmisiones patrimoniales / Notaría - Gestoría / Registro / Intermediación inmobiliaria y / o Financiera). *.",False,good,False,2904.0,True,False,False,False,[],False,False,197500.0,€,,,flat,,"Los Rosales, Madrid",Piso,Destacado,1,True,Los Rosales,False,,,,
109022723,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/a9/87/fd/1361951445.webp,,3,190000.0,flat,sale,57.0,3,1,calle de Isabelita Usera,Madrid,Madrid,Usera,es,40.3836496,-3.7075079,False,https://www.idealista.com/inmueble/109022723/,"¡GRAN OPORTUNIDAD EN USERA! Tenemos a la venta esta vivienda ubicada en la calle Isabelita Usera, una zona tranquila y bien comunicada de Madrid. La vivienda cuenta con 57 m² construidos y se distribuye actualmente en tres dormitorios, un baño, salón, cocina independiente y una terraza. Se trata de una tercera planta exterior sin ascensor que destaca por su luminosidad natural, gracias a su orientación y altura. La vivienda se encuentra para reformar, lo que ofrece una excelente oportunidad para redistribuir los espacios y actualizarla completamente al gusto del comprador. Es una opción ideal tanto para quienes buscan una primera vivienda asequible para personalizar, como para inversores que deseen reformar y revalorizar el inmueble para alquiler o venta. La zona cuenta con todo tipo de servicios a pocos minutos: supermercados, centros educativos, transporte público, zonas verdes, centros de salud y una excelente conexión con las principales vías de acceso a la ciudad. No dejes pasar esta oportunidad de adquirir una vivienda con gran potencial en una ubicación con demanda constante.",False,renew,False,3333.0,False,False,False,False,[],False,False,190000.0,€,,,flat,,"Pradolongo, Madrid",Piso en calle de Isabelita Usera,Destacado,3,True,Pradolongo,False,,,,
109027650,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/a7/9a/63/1362095830.webp,RP1142025140875,25,225000.0,flat,sale,107.0,2,2,Sur,Madrid,Móstoles,Sur,es,40.3113981,-3.8611321,False,https://www.idealista.com/inmueble/109027650/,"Redpiso Móstoles Sur vende en exclusiva fantástico piso seminuevo en la zona del Pau de Móstoles. Cuenta con 107 m2 construidos de los cuales 72 m2 cuadrados corresponden a la vivienda y el resto a una plaza de garaje y trastero de 8 m2 incluidos en el precio de venta. Esta acogedora vivienda cuenta con salón comedor luminoso, con regulador de termostato, cocina con muebles altos y bajos lacados en tonos amarillo mostaza y blanco, vitroceramica, campana extractora, horno y fregadero en acero inoxidable y además dispone de acceso a tendedero cubierto, 2 dormitorios luminosos con armarios empotrados y revestidos, 2 baños en pasillo, uno de ellos con bañera y el otro con plato de ducha, pasillo distribuidor y hall de entrada. La vivienda cuenta con excelentes calidades ya que dispone de suelos porcelánicos, paredes lisas, ventanas de aluminio climalit, techos altos lo que le proporciona a la vivienda una mayor sensación de amplitud, puertas de roble, calefacción individual de gas natural, puerta principal blindada para una mayor seguridad y ascensor. Además dispone de una plaza de garaje y cuarto trastero incluidos en el precio de venta. Ubicada en tranquilo entorno residencial, la vivienda se encuentra en urbanización cerrada que dispone de placas solares, portero físico y cuenta con zonas comunes y acceso a personas con movilidad reducida. Excelente comunicación con líneas de autobuses, diversidad de servicios comerciales, sanitarios, centros educativos, y a tan solo pocos minutos de la parada de Metro Manuela Malasaña. No dude en visitarla. Disfrute de las posibilidades que le ofrece nuestro departamento financiero DCredit a la hora de tramitar su hipoteca. Puede realizar visita virtual del inmueble en nuestra página oficial.",True,good,False,2103.0,False,False,True,False,[],False,False,225000.0,€,True,True,flat,,"Sur, Móstoles",Piso,Destacado,2,True,,True,,,,
108910836,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/60/ca/c0/1358675528.webp,Alex,21,189900.0,flat,sale,70.0,3,1,Barrio Casco Antiguo,Madrid,Leganés,Centro,es,40.3309504,-3.7621775,False,https://www.idealista.com/inmueble/108910836/,"HOGARES LEGANES CENTRO VENDE EN EXCLUSIVA MARAVILLOSO PISO EN LEGANES La vivienda se encuentra en muy buen estado para entrar a vivir y consta de; Hall de entrada, una increíble y espaciosa cocina totalmente equipada con tendedero incorporado y reformada. 3 habitaciones de las cuales, dos habitaciones son individuales y una gran habitación principal, un salón amplio e iluminado con la terraza incorporada al mismo y un baño con plato de ducha, mampara y ventana reformado. La vivienda tiene dos orientaciones (Suroeste) Dispone de Aire Acondicionado con bomba de calor en el dormitorio principal y en el salon, también dispone de calefacción individual a gas natural en todas las estancias y ventanas de climalit. Fácil conexión con las principales carreteras de Madrid. Comunidad muy tranquila y familiar. Increíble oportunidad para entrar a vivir directamente ya que la vivienda se encuentra en perfectas condiciones. También destacar la ubicación de la vivienda ya que disponemos en sus proximidades de; supermercados, colegios, farmacias, parques infantiles, hostelería, universidad y todos los transportes públicos ( Autobús, Taxi, Renfe, Metro, etc.. . ) FINANCIACION AL 100% PARA MAS CONSULTAS, NO DUDEIS EN LLAMARNOS Y CONCERTAR UNA CITA PARA VISITARLO SIN COMPROMISO.",False,good,False,2713.0,False,False,False,False,[],False,False,189900.0,€,,,flat,,"Casco Antiguo, Leganés",Piso,Destacado,4,True,Casco Antiguo,False,,,,
108435753,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/d6/72/cd/1344800777.webp,,5,650000.0,flat,sale,70.0,3,1,calle de San Lorenzo,Madrid,Madrid,Centro,es,40.423408,-3.6990768,False,https://www.idealista.com/inmueble/108435753/,"Si deseas vivir en una de las zonas mas vibrante de Madrid, aqui tienes tu casa. Piso de 3 dormitorios, 1 baño completo y otro de cortesia, salon y habitaciones muy luminosas, cocina independiente con tendedero a patio de manzana. Posibilidad de reforma integral para crear un piso a tu medida con areas diafanas, luz y espacio. Pide cita para visitarlo y descubrir sus posibilidades. Comunicacion excelente, al lado de una de las mejores zonas de moda y ocio con gran variedad en restauracion y con locales emblematicos de Madrid.",False,renew,False,9286.0,False,False,False,False,[],False,False,650000.0,€,True,False,flat,,"Chueca-Justicia, Madrid",Piso en calle de San Lorenzo,Destacado,4,True,Chueca-Justicia,False,40000.0,,,
108515377,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/56/d5/7b/1347202863.webp,RP1532025138898,12,279000.0,flat,sale,61.0,1,1,Pol. Industrial sur,Madrid,San Sebastián de los Reyes,Pol. Industrial sur,es,40.5480247,-3.6152838,False,https://www.idealista.com/inmueble/108515377/,"REDPISO gestiona en exclusiva este magnífico loft con terraza, garaje y trastero. Este inmueble actualmente está alquilado, lo que lo convierte en una excelente oportunidad para inversores que buscan una propiedad con rentabilidad asegurada desde el primer momento. Este loft de diseño moderno, es ideal para quienes buscan un espacio único, luminoso y funcional. Situado en una ubicación estratégica, reúne comodidad y estilo. El inmueble cuenta con un amplio salón con grandes ventanales, con luz natural en todo el espacio. Cocina elevada en una original estructura tipo altillo, perfecta para separar ambientes sin perder amplitud. Cuenta con un amplio baño con plato de ducha y una magnífica terraza privada de 32 m², ideal para disfrutar del aire libre, organizar reuniones o simplemente relajarte. Plaza de garaje incluida, para mayor comodidad y seguridad. Trastero privado, perfecto para almacenamiento extra. Este loft es perfecto tanto para vivienda habitual como para inversión. Su diseño, luz y ubicación lo convierten en una oportunidad única. ¿Te imaginas viviendo aquí o generando ingresos con esta inversión? Ven a verlo. ¡Te encantará! ¡Diseño moderno, amplitud y una ubicación inmejorable! El precio no incluye el impuesto de transmisiones patrimoniales, honorarios del comprador por la intermediación inmobiliaria, gastos notariales y/o registrales (según el caso).",False,good,False,4574.0,False,False,False,False,[],False,False,279000.0,€,True,True,flat,,"Pol. Industrial sur, San Sebastián de los Reyes",Piso,Destacado,2,True,,True,,299000.0,20000.0,7.0
108650869,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/ed/a5/96/1351068465.webp,Fejc,3,340000.0,flat,sale,49.0,1,1,Barrio Trafalgar,Madrid,Madrid,Chamberí,es,40.4349018,-3.7026231,False,https://www.idealista.com/inmueble/108650869/,"Una oportunidad EXCEPCIONAL en el corazón de Chamberí Ubicada en la calle Feijoó, en pleno barrio de Arapiles, esta vivienda ofrece la posibilidad de crear el hogar que siempre ha soñado o realizar una inversión con gran potencial en una de las zonas más demandadas de Madrid. A solo dos minutos caminando del metro Quevedo (línea 2) y con varias líneas de autobús a escasos pasos (3, 37, 149, N23), la comunicación con cualquier punto de la ciudad es excelente. Además, se trata de un barrio completamente consolidado, con todos los servicios a pie de calle: colegios, centros de salud, mercados, tiendas tradicionales, supermercados y una amplia oferta gastronómica y cultural que hace la vida diaria más cómoda y agradable. La vivienda tiene una superficie de 49 m² y actualmente se encuentra completamente en bruto, lo que la convierte en un auténtico lienzo en blanco. Es el lugar perfecto para dar forma a un proyecto personalizado desde cero, adaptado a tus gustos, necesidades o expectativas de rentabilidad. El proyecto de reforma que proponemos contempla una distribución moderna y funcional: 1 dormitorio, 1 baño, cocina americana abierta y un amplio salón comedor. Además, cuenta con acceso directo a un patio de uso privativo dentro de la comunidad, lo que añade un espacio exterior versátil. Aunque es una vivienda interior, la tranquilidad y el potencial de reforma la convierten en una oportunidad muy especial, tanto para quien busca su primera residencia en el centro como para quien desea invertir en una de las mejores zonas de Madrid, con alta demanda y revalorización constante. Si te interesa visitarla o conocer más detalles del posible proyecto, no dudes en contactar con Kason Asesores. Estaremos encantados de acompañarte y ayudarte en todo lo que necesitas para hacer realidad tu próxima vivienda o inversión. [IW].",False,good,False,6939.0,True,False,False,False,[],False,False,340000.0,€,,,flat,,"Trafalgar, Madrid",Piso,Destacado,-1,False,Trafalgar,False,,,,
108031809,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/c5/59/24/1331751900.webp,RP1222025137088,12,169900.0,studio,sale,27.0,0,1,Barrio Lavapiés-Embajadores,Madrid,Madrid,Centro,es,40.4080111,-3.70262,False,https://www.idealista.com/inmueble/108031809/,"Consulting inmobiliario lavapies ofrece en exclusiva, inmueble en buen estado, ¡ideal para inversión con excelente margen de rentabilidad, o como primera vivienda!  la vivienda se encuentra ubicada en el último piso de un edificio de tres alturas, con orientación sureste e interior a amplio patio de manzana. Distribuida en 25 m2, consta de un amplio espacio diáfano y luminoso, lo que te brinda la posibilidad de reformar y adecuar a tu gusto.  cercana a la glorieta de embajadores y al metro de lavapies, está excelentemente comunicada mediante transporte público, con 14 líneas de autobuses y tren de cercanías. Rodeada de las mejores zonas de ocio y gastronómicos del centro de madrid  ubicada a 10 minutos de la emblemática plaza mayor de madrid, tirso de molina y sol. ///su hogar es nuestro compromiso/// disponemos de nuestro propio departamento financiero dcredit que le ayudará a gestionar cualquier crédito. ¡asesoramiento financiero gratuito! ***. Más inmuebles en nuestra página oficial redpiso. Es***  ***el precio no incluye los gastos notariales, registrales, ni impuesto de transmisiones patrimoniales (6%)*** para mayor información no dude en contactarnos, o para agendar una visita sin ningún compromiso.",False,good,False,6293.0,True,False,False,False,[],False,False,169900.0,€,,,flat,studio,"Lavapiés-Embajadores, Madrid",Estudio,Destacado,3,False,Lavapiés-Embajadores,False,,,,
107778294,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/2e/48/be/1323504065.webp,010325-7,24,189900.0,flat,sale,76.0,3,1,Centro,Madrid,Arganda,Centro,es,40.2990979,-3.4453257,False,https://www.idealista.com/inmueble/107778294/,"¡ POR MENOS DE LO QUE CUESTA UN ALQUILER PODRÁS TENER TU PROPIA CASA! Con una ubicación inmejorable, la vivienda se encuentra situada en el corazón de Arganda, en una calle tranquila sin tráfico rodado, con acceso directo a la A-3, a un paso de las paradas de bus (urbano a interurbano) y 5 minutos a pie de la estación de metro (línea 9) Rodeada de todo tipo de servicios: supermercados, farmacias, entidades bancarias, colegios, parques, hospital, centros médicos, comercios y cafeterías, etc. La vivienda cuenta con dos dormitorios dobles y uno simple y además dispone de terraza de 8 m2 con vistas a la calle. ¡ Llámanos y te la mostramos sin compromiso! ***NO COBRAMOS HONORARIOS AL COMPRADOR***¿Necesitas financiación para la compra? ¡ Nosotros podemos ayudarte a conseguir el préstamo hipotecario! La información que se detalla en este anuncio se muestra a título informativo, NO es contractual ni vinculante***(tendrán preferencia las llamadas telefónicas y citas presenciales con respecto a los e-mails).",True,good,False,2499.0,False,False,False,False,[],False,False,189900.0,€,,,flat,,"Centro, Arganda",Piso,Destacado,3,True,,True,,,,
