propertyCode,thumbnail,externalReference,numPhotos,floor,price,propertyType,operation,size,exterior,rooms,bathrooms,address,province,municipality,district,country,neighborhood,latitude,longitude,showAddress,url,description,hasVideo,status,newDevelopment,hasLift,priceByArea,hasPlan,has3DTour,has360,hasStaging,notes,topNewDevelopment,topPlus,priceInfo.price.amount,priceInfo.price.currencySuffix,parkingSpace.hasParkingSpace,parkingSpace.isParkingSpaceIncludedInPrice,detailedType.typology,detailedType.subTypology,suggestedTexts.subtitle,suggestedTexts.title,highlight.groupDescription,priceInfo.price.priceDropInfo.formerPrice,priceInfo.price.priceDropInfo.priceDropValue,priceInfo.price.priceDropInfo.priceDropPercentage,parkingSpace.parkingSpacePrice
107093524,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/8b/82/ea/1302771450.webp,DS-P22707,30,9,986210.0,penthouse,sale,133.0,True,2,3,paseo Walkway de San Francisco de Sales,Madrid,Madrid,Chamberí,es,Vallehermoso,40.440927,-3.717716,False,https://www.idealista.com/inmueble/107093524/,"DIZA Consultores presenta atico triplex en el mejor edificio de Chamberi. Descubre este espectacular ático tríplex ubicado en el prestigioso Edificio Mindanao, diseñado para quienes buscan exclusividad, confort y las mejores vistas de la ciudad. Con una superficie distribuida en tres plantas, este ático cuenta con 2 habitaciones y 3 baños, destacando el dormitorio principal con baño en suite. El salón-comedor, amplio y luminoso, se conecta con una cocina moderna completamente equipada con electrodomésticos de alta gama. En la planta más alta, disfrutarás de una magnífica terraza privada con piscina, ideal para relajarte y disfrutar del aire libre. El precio incluye 2 plazas de garaje y un trastero, proporcionando comodidad adicional. El edificio ofrece servicios de lujo, como seguridad 24 horas, spa, gimnasio, piscina climatizada y una espectacular azotea con solárium y piscina exterior. Su ubicación privilegiada y sus excepcionales instalaciones lo convierten en un lugar único para vivir. DIZA Consultores: Convertimos Sueños en Hogares.",True,good,False,True,7415.0,True,True,False,False,[],False,False,986210.0,€,True,True,flat,penthouse,"Vallehermoso, Madrid",Ático en paseo Walkway de San Francisco de Sales,Top,,,,
108517112,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/dc/47/de/1347610621.webp,M20825V,52,5,1300000.0,flat,sale,143.0,True,3,4,calle de Hilarión Eslava,Madrid,Madrid,Chamberí,es,Gaztambide,40.4371618,-3.7165641,False,https://www.idealista.com/inmueble/108517112/,"Ubicado en una finca emblemática del prestigioso barrio de Gaztambide, este magnífico piso a estrenar ofrece una experiencia residencial única. Con una superficie optimizada para la comodidad y el diseño, la vivienda destaca por su terraza de 14 m², que proporciona un espacio perfecto para disfrutar del aire libre. La finca cuenta con portero físico, y tres ascensores. El interior se distribuye de manera funcional y elegante. Desde el hall principal, encontramos tres habitaciones con baño en suite, la principal con vestidor y espejos con conexión WiFi. La vivienda incluye un aseo de cortesía, un espacioso salón con áreas diferenciadas de salón y comedor, y una cocina semiintegrada con una isla central equipada con vitrocerámica de absorción por filtro de carbono y vinoteca. Todas las estancias son exteriores, aportando luminosidad y ventilación natural. La vivienda se encuentra en el corazón de Gaztambide, un barrio residencial de alto nivel conocido por su tranquilidad y su excelente conexión con el resto de Madrid. Rodeada de servicios exclusivos, zonas verdes y una variada oferta gastronómica. En Walter Haus le ayudamos a encontrar el hogar perfecto, contáctenos. Walter Haus Real Estate es un grupo inmobiliario con sede en las principales capitales de España, en las principales ubicaciones de Madrid, Barcelona y Costa Brava. Contamos con una experiencia de más de 20 años, con un dinámico equipo de profesionales con experiencia en el asesoramiento personal en constante formación y con una especialización muy concreta en cada zona de actuación lo que nos permite encontrar soluciones a las necesidades de cada cliente.",True,good,False,True,9091.0,True,True,False,False,[],False,False,1300000.0,€,,,flat,,"Gaztambide, Madrid",Piso en calle de Hilarión Eslava,Top,,,,
96385454,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/74/13/4f/946659982.webp,CG209186,59,,1690000.0,chalet,sale,732.0,,7,7,paseo DEL EMBAJADOR,Madrid,Ciudalcampo,,es,,40.617873,-3.6013694,False,https://www.idealista.com/inmueble/96385454/,"GILMAR Zona Norte presenta una villa de más de 700 m2 con 7 dormitorios y 7 cuartos de baño, en una parcela de 2.768 m2 en una calle muy tranquila con doble entrada ubicada en una parcela llana. El chalet destaca por sus amplias terrazas, su cuidado jardín, su preciosa piscina y el impecable estado de conservación.  La distribución de la casa es muy cómoda.  La planta principal dispone del hall de entrada que da acceso al salón, comedor con salida al porche y directa al jardín, piscina con construcción independiente para eventos sociales con baño completo. Habitación de estar, aseo de cortesía, cocina muy amplia con office y despensas con gran capacidad, cuarto de lavadora y plancha, cuarto de caldera, dormitorio y baño de servicio (con baño turco). Garaje cubierto con capacidad para al menos 3 coches y zona de parqueo exterior. La primera planta, con una entrada secundaria, alberga un distribuidor, aseo de cortesía, dormitorio principal con amplio vestidor, cuarto de baño con bañera y ducha, terraza con salida desde el dormitorio principal, cuarto de estar con terraza, dormitorio con baño. La segunda planta dispone de cuatro dormitorios que comparten un baño. El garaje cubierto tiene capacidad para al menos 3 coches y dispone también de zona de aparcamiento en el exterior. La urbanización de Ciudalcampo está considerada como una de las mejores zonas residenciales de Madrid, situada junto al Parque Regional de la Cuenca Alta del Manzanares, en los municipios de San Sebastián de los Reyes y Colmenar Viejo, en un entorno privilegiado, con impresionantes vistas a la sierra norte de Madrid con rápido acceso en el Km 28 de la N-1 y muy próxima al aeropuerto de Madrid Barajas, IFEMA y a parques empresariales con múltiples empresas multinacionales. Dispone de excepcionales dotaciones y servicios dentro de la propia urbanización: Colegio internacional SEK, Club deportivo RACE (Golf, Pádel, Tenis, Piscina, Gimnasio, Hípica, Fútbol), Servicio regular de autobuses a Madrid e interno dentro de la propia urbanización, Oficina de correos y Centro Comercial Santo Domingo. Además de 6,5Km de circuito físico para la práctica de deporte al aire libre y 41km de viales con tráfico limitado a la propia urbanización, ideales para los amantes de paseos en plena naturaleza. Cuenta, además, con un sistema de cámaras y vallado perimetral con servicio de seguridad 24 horas, patrullas de vigilancia y control de barrera a la entrada. En GILMAR trabajamos para ofrecer a nuestros clientes las mejores propiedades para cubrir sus necesidades de vivienda o inversión cuidando al máximo los detalles y buscando siempre la excelencia.",True,good,False,,2309.0,True,True,False,False,[],False,False,1690000.0,€,True,True,chalet,independantHouse,Ciudalcampo,Casa independiente en paseo Del Embajador,Top,,,,
107191884,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/f1/7f/9b/1305736888.webp,M11595V ,63,2,1520000.0,flat,sale,150.0,True,3,3,calle de la Fuente del Berro,Madrid,Madrid,Barrio de Salamanca,es,Goya,40.42618,-3.6694098,False,https://www.idealista.com/inmueble/107191884/,"Descubre esta espectacular vivienda exterior de 150 m², diseñada para ofrecer el máximo confort y luminosidad gracias a su orientación este. Su distribución fluida y moderna incluye un elegante salón con cocina integrada, tres amplios dormitorios con baño en suite, aseo de cortesía y una práctica zona de lavado. Su diseño contemporáneo y los muebles incluidos permiten disfrutar de esta residencia desde el primer día. Cada estancia ha sido cuidadosamente diseñada para ofrecer una experiencia de vida sofisticada. El salón-comedor, amplio y diáfano, se abre a dos encantadoras terrazas ideales para momentos de relax al aire libre. La cocina, completamente equipada, destaca por su estética armoniosa y su perfecta integración con el espacio. Los dormitorios en suite, todos con terraza privada, garantizan privacidad y comodidad. Además, la vivienda cuenta con aire acondicionado por conductos y calefacción central. Ubicada en una zona tranquila del prestigioso barrio de Goya, esta propiedad goza de un entorno exclusivo rodeado de servicios de primer nivel. Vivir aquí significa tener acceso a boutiques de lujo, reconocidos restaurantes, zonas verdes y excelentes conexiones de transporte, en el corazón del distinguido barrio de Salamanca. Invertir en esta propiedad es asegurar calidad de vida y una apuesta segura en el mercado inmobiliario.  En Walter Haus, te ofrecemos la oportunidad de disfrutar de un hogar único, diseñado para quienes buscan exclusividad y confort en una de las mejores zonas de Madrid.  Contáctanos y agenda tu visita. Walter Haus Real Estate es un grupo inmobiliario con sede en las principales capitales de España, en las principales ubicaciones de Madrid, Barcelona y Costa Brava. Contamos con una experiencia de más de 20 años, con un dinámico equipo de profesionales con experiencia en el asesoramiento personal en constante formación y con una especialización muy concreta en cada zona de actuación lo que nos permite encontrar soluciones a las necesidades de cada cliente.",True,good,False,True,10133.0,True,True,False,False,[],False,False,1520000.0,€,,,flat,,"Goya, Madrid",Piso en calle de la Fuente del Berro,Top,,,,
108194870,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/43/89/e3/1363435794.webp,M20765V,32,1,1309000.0,flat,sale,143.0,True,3,3,calle Mayor,Madrid,Madrid,Centro,es,Sol,40.4175199,-3.7068461,False,https://www.idealista.com/inmueble/108194870/,"Esta magnífica propiedad, ubicada en una finca de 1900 en el corazón de Madrid, conjuga el encanto de la arquitectura histórica con las prestaciones de la vida moderna. Con una generosa superficie catastral de 170 m², y construidos 143 m², este piso ofrece un espacio ideal para familias o para quienes valoran la amplitud y la funcionalidad en una ubicación inmejorable. Su diseño inteligente optimiza cada metro cuadrado, garantizando una luminosidad excepcional en todas sus estancias, lo que lo convierte en un hogar acogedor y práctico. El interior de la vivienda ha sido cuidadosamente diseñado para resaltar sus elementos originales, como los imponentes techos altos, que se combinan armoniosamente con acabados contemporáneos. La propiedad consta de tres amplios dormitorios y tres baños, lo que proporciona comodidad y privacidad para todos los residentes. La distribución de los espacios ha sido pensada para crear un ambiente único y agradable, donde cada detalle contribuye a una experiencia de vida superior, fusionando la elegancia del pasado con la funcionalidad del presente. Situado en la icónica calle Mayor, el piso goza de una ubicación verdaderamente privilegiada. A solo unos pasos, se encuentran algunos de los puntos más emblemáticos de la capital, como la Plaza Mayor, el Palacio Real y la Puerta del Sol. Sus residentes pueden sumergirse en la rica oferta cultural y la vibrante vida gastronómica que caracteriza a la zona, con acceso a una amplia variedad de restaurantes, teatros y museos. Además, la excelente red de transporte público facilita el desplazamiento a cualquier punto de la ciudad, consolidando su atractivo. Adquirir esta propiedad es más que una inversión en bienes raíces; es la oportunidad de vivir la esencia del Madrid más auténtico. La combinación de su ubicación estratégica, la belleza de una finca histórica y la funcionalidad de sus interiores modernos la convierte en un hogar excepcional. Le invitamos a experimentar la calidad y el confort que ofrece esta vivienda. Para más información o para concertar una visita, no dude en contactar con nosotros. Confiamos en que superará sus expectativas. Saludos cordiales, el equipo de Walter Haus.",True,good,False,True,9154.0,True,True,False,False,[],False,False,1309000.0,€,,,flat,,"Sol, Madrid",Piso en calle Mayor,Top,,,,
107615440,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/f5/51/87/1317687705.webp,M11629V,61,3,850000.0,flat,sale,99.0,True,3,2,calle del General Pardiñas,Madrid,Madrid,Barrio de Salamanca,es,Lista,40.4372768,-3.6797216,False,https://www.idealista.com/inmueble/107615440/,"Este espacioso apartamento de lujo ofrece 99 metros cuadrados de confort y diseño. La propiedad cuenta con dos habitaciones dobles exteriores, una habitación individual interior y dos baños con acabados de alta gama, diseñados para el máximo confort. El salón, de generosas dimensiones, incluye un sofá cama, ideal para visitas o como espacio adicional de descanso. La cocina, completamente equipada con electrodomésticos de última generación, invita a la preparación de comidas gourmet. Cada detalle de este apartamento ha sido cuidadosamente seleccionado para crear un ambiente sofisticado y funcional. Los suelos de madera noble, la iluminación empotrada y las ventanas de doble cristal son solo algunas de las características que realzan su elegancia. Los armarios empotrados en todas las habitaciones maximizan el espacio de almacenamiento, mientras que el sistema de climatización garantiza una temperatura agradable durante todo el año. Ubicado en el corazón de Lista, uno de los barrios más exclusivos de Madrid, este apartamento ofrece acceso a una amplia gama de servicios y comodidades. Tiendas de diseño, restaurantes de alta cocina y parques frondosos se encuentran a pocos pasos de distancia. La excelente conexión con el transporte público facilita el acceso a cualquier punto de la ciudad. Adquirir este apartamento representa una oportunidad única para disfrutar de un estilo de vida exclusivo en una de las mejores zonas de Madrid. La calidad de los acabados, la amplitud de los espacios y la ubicación privilegiada hacen de esta propiedad una inversión segura y un hogar de ensueño. En Walter Haus, estamos a su disposición para brindarle más información y concertar una visita. Walter Haus Real Estate es un grupo inmobiliario con sede en las principales capitales de España, en las principales ubicaciones de Madrid, Barcelona y Costa Brava. Contamos con una experiencia de más de 20 años, con un dinámico equipo de profesionales con experiencia en el asesoramiento personal en constante formación y con una especialización muy concreta en cada zona de actuación lo que nos permite encontrar soluciones a las necesidades de cada cliente.",True,good,False,True,8586.0,True,True,False,False,[],False,False,850000.0,€,,,flat,,"Lista, Madrid",Piso en calle del General Pardiñas,Top,,,,
108394581,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/2f/da/bc/1347168139.webp,IG209248,49,,1650000.0,chalet,sale,592.0,,6,6,CL BOSQUE,Madrid,Santo Domingo,,es,,40.6343099,-3.5832686,False,https://www.idealista.com/inmueble/108394581/,"GILMAR zona Norte, presenta esta imponente propiedad ubicada en la exclusiva Urbanización Santo Domingo (zona norte de Madrid). Se trata de un chalet independiente construido sobre una espectacular parcela, diseñado para quienes valoran la privacidad, el confort y los espacios amplios. La vivienda destaca por su cuidado jardín de 800 m² con su piscina privada, que convierten este hogar en un oasis de tranquilidad. La vivienda se distribuye según sus plantas, en la planta principal encontramos un elegante salón principal, comedor y sala de estar, gimnasio privado, cuarto de juegos o zona infantil, aseo de cortesía y una cocina independiente con acceso directo al jardín, en a planta superior se ubica el dormitorio principal en suite con baño, cuatro dormitorios dobles y dos cuartos de baño completos, la planta inferior incluye un garaje con capacidad para tres coches, trastero con armario empotrado, aseo y un práctico zapatero. Santo Domingo es una lujosa urbanización de Algete que cuenta con los mejores y más amplios servicios de las urbanizaciones de la zona al disponer del único centro comercial propio con servicios tales como: consultorio médico de la Seguridad Social, oficina de Correos, bancos, farmacia, oficina de Gilmar, restauración, veterinario, gimnasio, tiendas diversas además de Club Social con campo de entrenamiento de golf, piscina, escuela de tenis y zona de ocio para niños y adultos, residencia para la tercera edad e iglesia. Su nivel de seguridad es excelente, pues Santo Domingo está dotada con seguridad privada y policía local, así como sistema de cámaras perimetral con control las 24 horas. La oficina de tenencia de alcaldía se encuentra dentro y facilita todos los trámites burocráticos a los residentes, sin necesidad de desplazarse. Remarcar que es la única urbanización en la actualidad que dispone en su totalidad de servicios de gas natural y doble canalización de agua procedente del Canal de Isabel II y de los pozos propios para riego de jardines y piscinas.  Además, la comunicación es inmejorable, en las proximidades de esta lujosa urbanización situada en la autovía A-1, en el kilómetro 28 sentido Burgos, se encuentra el Aeropuerto de Madrid (Adolfo Suarez) y a tan sólo 15 minutos del centro. Cuenta con los mejores y más amplios servicios con un Centro Comercial que cuenta con consultorio médico (Público y privado), oficina de Correos, bancos, farmacia, diversa restauración, veterinario, gimnasio, etc… además de Club Social con campo de entrenamiento de golf, piscina, escuela de tenis, zona de ocio para niños y adultos, etc...  Dispone también de colegios públicos (CEIPS) y privados e internacionales (SEK, Trinity College...), residencia para la tercera edad e iglesia y situada escasos minutos del Hospital Público Infanta Sofía. Cuenta con parada de autobús de línea regular (171) directo a Plaza Castilla y San Sebastián de los Reyes. Desde 1983, GILMAR se ha dedicado a ayudar a sus clientes a encontrar la casa de sus sueños, ofreciendo un servicio personalizado y profesional que garantiza la satisfacción en cada proceso de compra, venta o alquiler. Con una amplia experiencia en el sector inmobiliario, GILMAR es sinónimo de confianza y excelencia. Para más información sobre este magnífico chalet, no dude en ponerse en contacto con nuestro equipo en la oficina de Santo Domingo. Puede visitarnos en el Centro Comercial Santo Domingo, Local 11, Avenida de Guadalix, 37, 28120 Santo Domingo (Madrid), llamar al o escribirnos al correo. Para agilizar tu consulta, por favor, facilite la referencia 209248.",True,good,False,,2787.0,True,True,False,False,[],False,False,1650000.0,€,True,True,chalet,independantHouse,Santo Domingo,Casa independiente en CL Bosque,Top,,,,
107668416,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/22/81/23/1319256290.webp,33a5c0da-fffb-4d09-83ff-3de9074906e4,67,,1190000.0,chalet,sale,485.0,,7,7,plaza Vientos,Madrid,Majadahonda,Zona Carretera del Plantío,es,,40.4776379,-3.859365,False,https://www.idealista.com/inmueble/107668416/,"Exclusivo chalet independiente en la Colonia Airesol, Majadahonda Descubre esta magnífica vivienda en una de las mejores zonas residenciales de Majadahonda. Un chalet independiente de 485 m² sobre una parcela de 1.000 m², diseñado para ofrecer amplitud, comodidad y exclusividad. Distribución perfecta para disfrutar en familia    •   Planta baja: Un amplio y luminoso salón, ideal para reuniones; un gran despacho para trabajar con tranquilidad; dos acogedoras salas de estar y dos cocinas totalmente equipadas, perfectas para los amantes de la gastronomía. Además, cuenta con dos aseos.    •   Primera planta: Siete dormitorios, dos de ellos en suite, y otros dos baños adicionales para garantizar la máxima comodidad.    •   Última planta: Dos buhardillas amplias y versátiles, ideales como zona de ocio, gimnasio o estudio.    •   Sótano: Garaje con capacidad para tres coches, una espectacular sala de juegos, un taller, lavandería y dos trasteros. La parcela de 1.000 m² ofrece un entorno único con una estupenda piscina, ideal para los días de verano, y amplias zonas ajardinadas para disfrutar de la tranquilidad y privacidad que brinda esta exclusiva ubicación. La Colonia Airesol es una de las zonas residenciales más codiciadas de Majadahonda, destacando por su entorno tranquilo y su excelente ubicación. Rodeada de zonas verdes y calles arboladas, ofrece un ambiente ideal para familias y quienes buscan calidad de vida. Su proximidad al centro de Majadahonda permite disfrutar de todos los servicios, comercios y restaurantes, además de una excelente conexión con Madrid a través de la M-503 y A-6. Airesol se caracteriza por chalets y viviendas espaciosas con amplios jardines, en un entorno seguro y exclusivo. Es una opción perfecta para quienes buscan un equilibrio entre naturaleza, confort y cercanía a la ciudad. Si buscas una vivienda espaciosa, con todas las comodidades y en una de las mejores zonas de Majadahonda, este chalet es para ti. ¡No pierdas la oportunidad de visitarlo!",True,good,False,,2454.0,True,True,False,False,[],False,False,1190000.0,€,,,chalet,independantHouse,"Zona Carretera del Plantío, Majadahonda",Casa independiente en plaza Vientos,Top,,,,
108631202,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/d4/fb/95/1350477345.webp,M30633V,85,6,990000.0,flat,sale,161.0,True,4,2,calle de Prieto Ureña,Madrid,Madrid,Chamartín,es,Nueva España,40.4653808,-3.6677313,False,https://www.idealista.com/inmueble/108631202/,"En el prestigioso barrio de Nueva España, presentamos una notable oportunidad para adquirir un piso exterior de amplias dimensiones, ideal para ser transformado a su gusto. Ubicado en una finca con servicio de portería, este inmueble de 161 metros cuadrados construidos ofrece un diseño adaptable para una familia. Actualmente, la propiedad cuenta con cuatro dormitorios y dos baños completos, distribuidos para optimizar el espacio y la funcionalidad, proporcionando una base sólida para un proyecto de reforma integral que se adapte a sus necesidades y preferencias personales. Los detalles de esta propiedad realzan su atractivo y potencial. Todas sus estancias disfrutan de una excelente orientación exterior, asegurando una abundante entrada de luz natural durante todo el día. Dispone de cuatro habitaciones espaciosas, todas ellas exteriores, que brindan privacidad y luminosidad. Los dos cuartos de baño completos están listos para ser actualizados. Además, el piso incluye una agradable terraza, perfecta para disfrutar del aire libre. La urbanización complementa la vivienda con zonas comunes que incluyen una piscina bien cuidada y un jardín, ideales para el esparcimiento. Para mayor comodidad, el inmueble cuenta con una plaza de garaje con acceso directo y un trastero, proporcionando un valioso espacio adicional de almacenamiento. La ubicación de esta propiedad es inmejorable, situándose en una de las áreas más consolidadas del distrito de Nueva España. Este entorno privilegiado ofrece fácil acceso a una amplia gama de servicios esenciales, incluyendo reconocidos centros educativos, supermercados, diversas opciones de transporte público y extensas zonas verdes. La conexión con las principales vías de comunicación, como la M-30 y la M-40, es excelente, facilitando los desplazamientos tanto dentro como fuera de la ciudad, lo que añade un valor significativo a la vida diaria. Adquirir esta propiedad representa una inversión inteligente en calidad de vida y futuro. La posibilidad de diseñar y personalizar cada rincón permite crear el hogar soñado, adaptado completamente a sus deseos. La combinación de una ubicación deseable, amplios espacios y comodidades como el garaje, el trastero y las zonas comunes con piscina, garantizan un estilo de vida cómodo y práctico. El servicio de portería físico continuo en la finca asegura una tranquilidad y confort adicionales. Permita que Walter Haus le acompañe en el proceso de transformar esta prometedora propiedad en su residencia ideal.",True,renew,False,True,6149.0,True,True,False,False,[],False,False,990000.0,€,True,True,flat,,"Nueva España, Madrid",Piso en calle de Prieto Ureña,Top,,,,
108503523,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/a0/12/55/1347282439.webp,VP209982,33,2,350000.0,flat,sale,56.0,True,2,1,calle del Mesón de Paredes,Madrid,Madrid,Centro,es,Lavapiés-Embajadores,40.4068182,-3.7028712,False,https://www.idealista.com/inmueble/108503523/,"Gilmar Consulting Inmobiliario presenta para sus clientes de distrito Centro de Madrid una gran oportunidad para vivir o invertir en Lavapies. En una de las zonas con más carácter de Madrid, entre la calle Mesón de Paredes y Ronda de Valencia, te presentamos esta vivienda de 56 m² llena de luz, diseño y buen aprovechamiento del espacio. Situada en una segunda planta exterior con ascensor, la vivienda ha sido reformada y destaca por su distribución sin pasillos, lo que permite aprovechar al máximo cada metro cuadrado. Cuenta con dos dormitorios y un ambiente cómodo y funcional, perfecto para quienes buscan un hogar listo para entrar a vivir o una inversión segura. La vivienda dispone de aire acondicionado con bomba de calor y cuenta además con preinstalación para calefacción por gas natural, lo que ofrece mayor versatilidad y confort. Gracias a su orientación exterior y sus amplios ventanales, es una casa muy luminosa, con una energía acogedora y tranquila en pleno corazón del barrio. Una ubicación ideal, rodeada de cultura, vida de barrio, excelentes comunicaciones y el encanto auténtico de Lavapiés, una de las zonas más demandadas y con mayor proyección de Madrid. Un piso reformado, bien distribuido y lleno de luz, perfecto para vivir o invertir. Ven a conocerlo. ¡No esperes más! Llámanos ahora mismo y sé el primero en descubrir esta increíble oportunidad en el centro de Madrid. Gilmar Consulting Inmobiliario está aquí para hacer realidad tus deseos de tener el hogar ideal. Trabajamos para ofrecer a nuestros clientes los mejores inmuebles desde hace 40 años. Cubrimos todas las necesidades inmobiliarias: viviendas, oficinas, locales comerciales, solares, fincas rústicas, terrenos para construir. Disponemos de más de 30 equipos especializados en distintas zonas al servicio de más de 90.000 clientes nacionales e internacionales, que cuentan con asesoramiento necesario para garantizar su seguridad, eficacia jurídica y la mejor rentabilidad financiero-fiscal. -Arganzuela (Acacias, Delicias, Legazpi, Palos de Moguer, Chopera, Imperial). - Centro (Lavapiés).",True,good,False,True,6250.0,True,True,False,False,[],False,False,350000.0,€,,,flat,,"Lavapiés-Embajadores, Madrid",Piso en calle del Mesón de Paredes,Top,,,,
