propertyCode,thumbnail,externalReference,numPhotos,price,propertyType,operation,size,rooms,bathrooms,address,province,municipality,country,latitude,longitude,showAddress,url,description,hasVideo,status,newDevelopment,priceByArea,hasPlan,has3DTour,has360,hasStaging,notes,topNewDevelopment,topPlus,priceInfo.price.amount,priceInfo.price.currencySuffix,parkingSpace.hasParkingSpace,parkingSpace.isParkingSpaceIncludedInPrice,detailedType.typology,detailedType.subTypology,suggestedTexts.subtitle,suggestedTexts.title,highlight.groupDescription,district,neighborhood,floor,exterior,hasLift
109072067,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/f8/7b/69/1363545742.webp,RP3112025141004,72,549000.0,chalet,sale,477.0,4,3,Guadarrama,Madrid,Guadarrama,es,40.6549979,-4.0481112,False,https://www.idealista.com/inmueble/109072067/,"REDPISO MADRID SUROESTE le ofrece en venta magnífico chalet independiente ubicado en Guadarrama, municipio de la Sierra Noroeste de Madrid. Situado en una parcela de 1.378m², este chalet de 477m² se despliega en tres cómodas plantas:  En la planta principal nos encontramos con un gran salón-comedor con chimenea de 60m², dos dormitorios de 25m² cada uno, gran cocina con office, otra cocina con acceso al jardín y un baño con plato de ducha. En la planta superior, cuatro dormitorios con armarios empotrados y dos baños con bañera. Acceso a una espléndida terraza privada de 65m² con fantásticas vistas a la sierra.  La planta baja o sótano dispone de estancias con generosos espacios que contemplan múltiples posibilidades de uso: cuarto de herramientas, área de juegos, taller, trastero, etc…,  En exteriores, bonito porche con vistas a zona ajardinada y a una espléndida piscina. Además la vivienda cuenta con zona de barbacoa, leñera, bodega y garaje con capacidad para tres coches. La calefacción mediante caldera de gasoil conforma su sistema de climatización.  Vivienda con enorme potencial. Su magnífica ubicación, le permite un rápido acceso tanto a su núcleo urbano como a la capital gracias a la comunicación que tiene (se encuentra a tan solo 42Km de Madrid) y dispone de una amplia red de carreteras y autobuses. ¡No dude en contactar con nosotros para ampliar la información o concertar una visita para conocer la vivienda!.",False,good,False,1151.0,False,False,False,False,[],False,False,549000.0,€,True,True,chalet,independantHouse,Guadarrama,Casa independiente,Destacado,,,,,
108780347,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/b8/63/20/1354915435.webp,RP532025140095,45,470000.0,chalet,sale,176.0,3,1,Barrio Casco Histórico de Vallecas,Madrid,Madrid,es,40.3799927,-3.6216575,False,https://www.idealista.com/inmueble/108780347/,"REDPISO VILLA DE VALLECAS Les presenta esta exclusiva Casa Independiente.  Completamente reformada, con excelentes calidades. Situada en una 1º planta independiente, inundada de luz natural. Con el lujo del Jacuzzi/hidromasaje como protagonista.  Esta vivienda ofrece una distribución perfecta que combina comodidad y estilo de vida, se distribuye en un amplio salón, cómoda cocina equipada con acceso a un amplio patio descubierto.  3 dormitorios con Armario Empotrados, el dormitorio principal (cuenta con un estupendo y amplio vestidor) facilitando un almacenamiento organizado y practico, y un cuarto de baño con plato de ducha, moderno acabados de primera calidad.  La vivienda cuenta con calefacción Eléctrica y aire acondicionado, para que tu hogar esta siempre a la temperatura perfecta.  Los suelos de tarima (AC4 Meister) le dan un toque de elegancia, mientras que las puertas de madera lacadas de color roble capuccino, añaden luminosidad a cada rincón. Las ventanas son de climalit con rotura de puente térmico de la marca Cortizo, nos ofrecen un excelente aislamiento térmico y acústico, garantizando confort en cualquier época del año y eficiente en términos energéticos.  Uno de sus mayores atractivos es su Jacuzzi/Hidromasaje. Ideal para relajarse tras un largo día, ofrece capacidad para varias personas, con sistema de chorros regulables, iluminación LED y control de temperatura. Es perfecto tanto para momentos íntimos como para disfrutar en compañía. Este espacio se convierte en un auténtico rincón de spa dentro del hogar, ideal para disfrutar tus momentos de relax.  Excelente ubicación con todos los servicios que puedas necesitar a tu alcance: supermercados, farmacia, polideportivo, parques, escuela infantil y zona comercial. Además, a 2 minutos del Metro Villa de Vallecas (L1), Renfe (C-2, C-7, C-8) y paradas de autobús (54, 58, 103, 130, 142, 143, E, H1, T31, N25, N29).  En Redpiso nos preocupamos por ti, contamos con nuestro propio departamento financiero (Dcredit) que te ayuda a gestionar tu hipoteca de manera sencilla y eficiente, consiguiéndote hasta el 100% de la financiación.  Contáctanos y nuestro equipo estará encantado de asesorarte de manera totalmente gratuita.  ¡Ven a verlo sin ningún compromiso!  El precio de la vivienda no incluye impuestos, honorarios, ni gastos de compraventa.",True,good,False,2670.0,False,False,False,False,[],False,False,470000.0,€,,,chalet,independantHouse,"Casco Histórico de Vallecas, Madrid",Casa independiente,Destacado,Villa de Vallecas,Casco Histórico de Vallecas,,,
108735212,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/78/59/f7/1353601059.webp,L878-25,18,399000.0,duplex,sale,171.0,4,3,Barrio San Nicasio,Madrid,Leganés,es,40.3325688,-3.7700405,False,https://www.idealista.com/inmueble/108735212/,"Exclusivas Romero comercializa en Exclusiva, Ático- Duplex en el Barrio de San Nicasio, Leganés. El inmueble cuenta con una superficie construida de 171 m2 y se distribuye de la siguiente manera: Primera planta: Entrada, salón-comedor, cocina amueblada, aseo y 1 dormitorio con baño. Segunda planta: 3 dormitorios, baño y terraza. La propiedad tiene trastero. Vivienda para entrar a vivir, exterior, muy luminosa, orientación este, suelo de tarima, ventanas de aluminio con rotura de puente térmico, aire acondicionado, calefacción, carpintería interior de roble. Vivienda muy bien ubicada con todos los servicios a un paso (Centro de salud, farmacias, supermercados, etc…). Llame e infórmese!",False,good,False,2333.0,False,False,False,False,[],False,False,399000.0,€,,,flat,duplex,"San Nicasio, Leganés",Dúplex,Destacado,San Nicasio - Campo de Tiro - Solagua,San Nicasio,3,True,True
108669676,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/2a/5c/ab/1351675114.webp,RP222025139695,20,279900.0,flat,sale,85.0,3,1,Barrio El Carrascal,Madrid,Leganés,es,40.3390554,-3.7473545,False,https://www.idealista.com/inmueble/108669676/,"¡oportunidad! vivienda en una de las mejores zonas de el carrascal, cerca de renfe, en una cuarta planta con ascensor, de 3 dormitorios, un baño, cocina y salón comedor con acceso a terraza acristalada. Con plaza de garaje. Todo exterior y orientación oeste. Situado en un barrio consolidado, con todos los servicios a tu alcance: supermercados, colegios, centro de salud, etc, y con excelentes conexiones de transporte público, cerca del metro y de la renfe. No dude en visitar el inmueble sin ningún tipo de compromiso. Recuerde que nuestro departamento financiero d. Credit, puede gestionar su hipoteca, le ofreceremos las mejores condiciones. Este anuncio no es vinculante, puede contener errores, y esta sujeto a posibles modificaciones (comerciales, jurídicas o por expreso deseo de la propiedad). Se muestra a título informativo y no contractual. La informacion aquí contenida no debe considerarse como oferta de compra o financiacion, debiendo para esta finalidad dirigirse a nuestro departamento financiero, nuestro comercial o nuestras oficinas, para ofrecerle una informacion más detallada vinculada con el inmueble.",True,renew,False,3293.0,False,False,False,False,[],False,False,279900.0,€,True,True,flat,,"El Carrascal, Leganés",Piso,Destacado,El Carrascal,El Carrascal,4,True,True
108372509,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/d2/d7/34/1342150079.webp,RP222025138483,17,274900.0,flat,sale,83.0,2,1,Barrio Leganés norte,Madrid,Leganés,es,40.3430744,-3.7537856,False,https://www.idealista.com/inmueble/108372509/,"¡Oportunidad en Leganés Norte¡ Vivenda en una de las mejores zonas de Leganés. Es una planta baja y tiene 2 habitaciones, 1 baño con plato de ducha, salón y cocina con tendedero y con salida a un patio de 12 m2. Orientación sur. Urbanización cerrada con zonas comunes. Dispone plaza de garaje y trastero. Dada su ubicación inmejorable se encuentra muy cerca de la estación de Renfe. También todo tipo de líneas urbanas e interurbanas de autobús tienen parada cercana a la vivienda. Puedes visitar el inmueble sin ningún tipo de compromiso. Para tu hipoteca asesórate con nuestro departamento financiero y te ofreceremos las mejores condiciones. Puedes disfrutar de las posibilidades que te ofrece nuestro departamento financiero D. Credit a la hora de tramitar tu hipoteca. ¡No lo dudes! llama, o acércate a nuestra oficina, podrás visitar este u otro de los inmuebles de nuestra cartera. ESTE ANUNCIO NO ES VINCULANTE, PUEDE CONTENER ERRORES, Y ESTA SUJETO A POSIBLES MODIFICACIONES (Comerciales, Jurídicas o por expreso deseo de la Propiedad). SE MUESTRA A TÍTULO INFORMATIVO Y NO CONTRACTUAL. LA INFORMACION AQUÍ CONTENIDA NO DEBE CONSIDERARSE COMO OFERTA DE COMPRA O FINANCIACION, DEBIENDO PARA ESTA FINALIDAD DIRIGIRSE A NUESTRO DEPARTAMENTO FINANCIERO, NUESTRO COMERCIAL O NUESTRAS OFICINAS, PARA OFRECERLE UNA INFORMACION MÁS DETALLADA VINCULADA CON EL INMUEBLE.",True,good,False,3312.0,False,False,False,False,[],False,False,274900.0,€,True,True,flat,,"Leganés norte, Leganés",Piso,Destacado,Leganés norte,Leganés norte,bj,True,True
109142064,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/ef/43/ef/1365564568.webp,,5,209000.0,flat,sale,66.0,2,1,calle Julio Merino,Madrid,Madrid,es,40.3838983,-3.703705,False,https://www.idealista.com/inmueble/109142064/,"¡Descubre tu nuevo hogar en Usera, Madrid! Este acogedor piso de 66 m² es perfecto tanto para vivir como para invertir. Con dos dormitorios amplios y un salón luminoso, este espacio ofrece la posibilidad de transformarlo en un piso de tres dormitorios, adaptándose a tus necesidades. La propiedad, construida en 1960, se encuentra en buen estado y lista para entrar a vivir, lo que te permitirá disfrutar de la comodidad desde el primer día. Ubicado en una primera planta con ascensor y orientación sur, este piso cuenta con calefacción por gas natural y aire acondicionado, asegurando un ambiente agradable durante todo el año. Además, dispone de armarios empotrados que optimizan el espacio y ofrecen un almacenamiento adicional. Por solo 209.000 yuanes, esta es una oportunidad única en una zona en crecimiento. No dejes pasar la oportunidad de hacer de este piso tu nuevo hogar o una excelente inversión. ¡Contáctanos para más información y ven a visitarlo!",False,good,False,3167.0,False,False,False,False,[],False,False,209000.0,€,,,flat,,"Almendrales, Madrid",Piso en calle Julio Merino,Destacado,Usera,Almendrales,1,True,False
108313317,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/95/af/8e/1340404928.webp,RP212025138276,19,289900.0,flat,sale,80.0,3,1,Barrio Zarzaquemada,Madrid,Leganés,es,40.3298651,-3.7498214,False,https://www.idealista.com/inmueble/108313317/,"Se vende vivienda en excelente estado en el barrio de Zarzaquemada. Cuenta con 3 dormitorios, salón con acceso a terraza abierta, cocina, y baño. Cuenta con plaza de garaje de concesión del Ayuntamiento. La finca dispone ascensor y acceso a personas con movilidad reducida. Zona consolidada y muy tranquila, cercano a parques y con todo tipo de servicios. Colegios e institutos cercanos. Renfe estación de Zarzaquemada a 15 minutos andando y parada de línea 12 de Metro Sur (Julián Besteiro) a 5 minutos. Centro Comercial Parquesur. Zonas deportivas (Pabellón Europa y Piscina Municipal El Carrascal). Puedes visitar el inmueble sin ningún tipo de compromiso. Recuerda que Redpiso te ofrece asesoramiento financiero gratis, ofreciéndote las mejores condiciones para tu hipoteca. ESTE ANUNCIO NO ES VINCULANTE, PUEDE CONTENER ERRORES, Y ESTA SUJETO A POSIBLES MODIFICACIONES (Comerciales, Jurídicas o por expreso deseo de la Propiedad). SE MUESTRA A TÍTULO INFORMATIVO Y NO CONTRACTUAL. LA INFORMACION AQUÍ CONTENIDA NO DEBE CONSIDERARSE COMO OFERTA DE COMPRA O FINANCIACION, DEBIENDO PARA ESTA FINALIDAD DIRIGIRSE A NUESTRO DEPARTAMENTO FINANCIERO, NUESTRO COMERCIAL O NUESTRAS OFICINAS, PARA OFRECERLE UNA INFORMACION MÁS DETALLADA VINCULADA CON EL INMUEBLE.",True,good,False,3624.0,False,False,False,False,[],False,False,289900.0,€,,,flat,,"Zarzaquemada, Leganés",Piso,Destacado,Zarzaquemada,Zarzaquemada,4,True,True
108120047,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/a3/b5/f4/1334439610.webp,RP222025137396,19,329900.0,flat,sale,104.0,4,2,Barrio Leganés norte,Madrid,Leganés,es,40.3441605,-3.7446921,False,https://www.idealista.com/inmueble/108120047/,"¡Oportunidad¡ Vivenda en Leganés Norte, una de las mejores zonas de Leganés. Tiene 4 habitaciones, 2 baños, salón y cocina con tendedero. Urbanización cerrada con zonas comunes. Dispone plaza de garaje y trastero. Dada su ubicación inmejorable se encuentra muy cerca de la estación de Renfe. También todo tipo de líneas urbanas e interurbanas de autobús tienen parada cercana a la vivienda. Puedes visitar el inmueble sin ningún tipo de compromiso. Para tu hipoteca asesórate con nuestro departamento financiero y te ofreceremos las mejores condiciones. Puedes disfrutar de las posibilidades que te ofrece nuestro departamento financiero D. Credit a la hora de tramitar tu hipoteca. ¡No lo dudes! llama, o acércate a nuestra oficina, podrás visitar este u otro de los inmuebles de nuestra cartera. ESTE ANUNCIO NO ES VINCULANTE, PUEDE CONTENER ERRORES, Y ESTA SUJETO A POSIBLES MODIFICACIONES (Comerciales, Jurídicas o por expreso deseo de la Propiedad). SE MUESTRA A TÍTULO INFORMATIVO Y NO CONTRACTUAL. LA INFORMACION AQUÍ CONTENIDA NO DEBE CONSIDERARSE COMO OFERTA DE COMPRA O FINANCIACION, DEBIENDO PARA ESTA FINALIDAD DIRIGIRSE A NUESTRO DEPARTAMENTO FINANCIERO, NUESTRO COMERCIAL O NUESTRAS OFICINAS, PARA OFRECERLE UNA INFORMACION MÁS DETALLADA VINCULADA CON EL INMUEBLE.",True,good,False,3172.0,False,False,False,False,[],False,False,329900.0,€,True,True,flat,,"Leganés norte, Leganés",Piso,Destacado,Leganés norte,Leganés norte,2,True,True
108579329,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/e8/57/b4/1349010653.webp,RP1462025139350,23,420000.0,chalet,sale,162.0,3,4,Restón i - Restón Ii,Madrid,Valdemoro,es,40.177597,-3.6910485,False,https://www.idealista.com/inmueble/108579329/,"REDPISO VALDEMORO RESTON vende espectacular chalet adosado en una de las mejores zonas de Valdemoro. La vivienda tiene 162 m2 y 130 m2 utiles, la planta baja esta compuesta por amplio salon, cocina equipada, aseo y una terraza de 40 m2. La primera planta esta compuesta de 3 habitaciones, una de ellas con baño en suite y un baño individual y en la segunda planta nos encontramos con la buhardilla, amplia y con salida a una terraza de 12m2. La vivienda contiene plaza de garaje en la planta baja de la vivienda, piscina comunitaria con un gasto de comunidad de 60€ al mes y la vivienda esta en perfecto estado para entrar a vivir, no dudes en consultar y realizar una visita por la vivienda. Consulta gratuita con nuestro departamento financiero Dcredit, financiación hasta el 100% (BAJO ESTUDIO FINANCIERO). *El precio no incluye los siguientes gastos: I. T. P (impuesto de transmisiones patrimoniales), honorarios del comprador por la intermediación inmobiliaria, gastos notariales y o registrales (según caso)*. Consulte y visite sin ningún compromiso. REDPISO VALDEMORO.",False,good,False,2593.0,False,False,False,False,[],False,False,420000.0,€,True,True,chalet,terracedHouse,"Restón i - Restón Ii, Valdemoro",Chalet adosado,Destacado,Restón i - Restón Ii,,,,
107047966,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/2b/60/89/1301454586.webp,,33,839000.0,chalet,sale,768.0,5,4,Brunete,Madrid,Brunete,es,40.4297166,-3.9787997,False,https://www.idealista.com/inmueble/107047966/,"Este anuncio contiene fotos que no corresponde con la realidad solo de un posible acabado de la reforma que se podría hacer.  ¡Descubre tu nuevo hogar en la exclusiva Urbanización Valle de los Rosales!  Esta impresionante casa independiente está rodeada de un entorno natural único, con un jardín adornado por majestuosas encinas que garantizan una privacidad incomparable.  La vivienda, actualmente en fase de construcción, ofrece un sinfín de posibilidades para personalizar cada rincón a tu gusto. Con 768 m² construidos y 750 m² útiles, sus estancias amplias se distribuyen en dos plantas, proporcionando un espacio generoso para toda la familia. Cuenta con cinco dormitorios y cuatro baños, ideales para acomodar a todos con comodidad. Su distribución es magnifica ya que cuenta con todo lo principal en una sola planta. Salón y cocina con muy buenas vistas al jardín y muy buena orientación. Ha sido diseñada para hacerse una casa muy cómoda y con grandes calidades. La parcela de 3.602 m² te brinda el espacio perfecto para disfrutar de la tranquilidad y el aire libre rodeado de encinas naturales   Además, la casa está adaptada para personas con movilidad reducida, asegurando accesibilidad para todos.  Sin honorarios para el comprador, esta es una oportunidad única para adquirir una propiedad con gran potencial. ¡Ven a descubrir el lugar donde tus sueños pueden hacerse realidad!",False,renew,False,1092.0,False,False,False,False,[],False,False,839000.0,€,True,True,chalet,independantHouse,Brunete,Casa independiente,Destacado,,,,,
