propertyCode,thumbnail,externalReference,numPhotos,floor,price,propertyType,operation,size,exterior,rooms,bathrooms,address,province,municipality,district,country,neighborhood,latitude,longitude,showAddress,url,description,hasVideo,status,newDevelopment,hasLift,priceByArea,hasPlan,has3DTour,has360,hasStaging,notes,topNewDevelopment,topPlus,priceInfo.price.amount,priceInfo.price.currencySuffix,detailedType.typology,detailedType.subTypology,suggestedTexts.subtitle,suggestedTexts.title,highlight.groupDescription,parkingSpace.hasParkingSpace,parkingSpace.isParkingSpaceIncludedInPrice
108586823,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/c9/a0/c6/1349225101.webp,RP512025139260,10,bj,180000.0,studio,sale,46.0,True,0,1,calle de José María Pemán,Madrid,Madrid,Carabanchel,es,San Isidro,40.3944806,-3.7365671,False,https://www.idealista.com/inmueble/108586823/,"Estudio reformado con espacios separados y excelente ubicación Se vende estudio totalmente reformado, ideal para quienes buscan comodidad, estilo y buena conexión con el centro de Madrid. La vivienda cuenta con un diseño moderno y funcional, donde cada rincón ha sido aprovechado al máximo. Dispone de un salón luminoso con cocina abierta, un baño completo y una zona de descanso bien diferenciada, que aporta independencia y confort. Ubicado en una zona residencial consolidada y bien comunicada, a escasos minutos caminando de General Ricardos y del Metro Urgel (L5), con acceso rápido al centro de la ciudad. En los alrededores encontrarás todos los servicios esenciales: supermercados, farmacias, colegios, centros de salud, zonas verdes y una amplia oferta comercial y de restauración. Una excelente opción tanto como primera vivienda como para inversión con alta demanda de alquiler. ¡No dejes pasar esta oportunidad y ven a visitarlo! Este anuncio no es vinculante, puede contener errores. Se muestra a título informativo y no contractual. *El precio no incluye el Impuesto de Transmisiones Patrimoniales (Max. 6% sobre el precio de venta o del valor del inmueble que marque la Comunidad de Madrid), ni los gastos notariales y/o registrales (según el caso).",False,good,False,False,3913.0,False,False,False,False,[],False,False,180000.0,€,flat,studio,"San Isidro, Madrid",Estudio en calle de José María Pemán,Destacado,,
108157326,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/91/c3/c2/1344914509.webp,,9,bj,210000.0,duplex,sale,80.0,True,1,1,Barrio Parque Ondarreta - Urtinsa,Madrid,Alcorcón,Parque Ondarreta - Urtinsa,es,Parque Ondarreta - Urtinsa,40.344331,-3.8138917,False,https://www.idealista.com/inmueble/108157326/,"¡NO COBRAMOS COMISIÓN AL COMPRADOR! Loft reformado situado a tan sólo 5 minutos del metro de Puerta del Sur. (LAS FOTOS NO CORRESPONDEN CON EL ESTADO ACTUAL DE LA VIVIENDA). Duplex con patio ajardinado, amplio salón comedor en planta baja con aseo y cocina americana, y dormitorio muy amplio con baño completo en planta primera, techos altos, buenas calidades, además cuenta con patio ajardinado de unos 20 metros cuadrados. Ideal como inversión de alta rentabilidad. finca con ascensor, portero físico. Aire acondicionado, calefacción por bomba de calor, suelos de tarima, pintura lisa, ventanas climalit. Se vende listo para vivir o alquilar.",False,good,False,True,2625.0,False,False,False,False,[],False,False,210000.0,€,flat,duplex,"Parque Ondarreta - Urtinsa, Alcorcón",Dúplex,Destacado,,
108905438,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/e9/65/df/1358506992.webp,A-182,6,4,298000.0,flat,sale,72.0,True,2,1,Barrio Palomeras sureste,Madrid,Madrid,Puente de Vallecas,es,Palomeras sureste,40.3872777,-3.6446188,False,https://www.idealista.com/inmueble/108905438/,"Oportunidad en Vallecas – Piso reformado con terraza y excelente ubicación Descubre este luminoso piso exterior con terraza, ideal para quienes buscan un hogar cómodo, moderno y bien conectado en Madrid. La vivienda se distribuye en un amplio salón-comedor (actualmente adaptado como dormitorio y comedor), que ofrece un espacio versátil y acogedor con salida directa a una gran terraza exterior, perfecta para disfrutar del aire libre. Dispone además de cocina independiente totalmente amueblada con terraza-tendedero, dos dormitorios espaciosos y un baño completo. El piso ha sido recientemente reformado, con renovación integral de la instalación eléctrica y de fontanería, aportando máxima seguridad, eficiencia y confort. La finca cuenta con ascensor y se ubica en una zona privilegiada, junto a la Avenida de la Albufera, una de las principales arterias de Vallecas. Dispone de una excelente comunicación: varias líneas de autobuses, metro a solo 5 minutos y rápido acceso a la M-30, M-40 y A-3. En las inmediaciones encontrarás todo tipo de servicios, comercios y zonas verdes que harán tu día a día más cómodo. Un hogar listo para entrar a vivir, con todas las ventajas de una ubicación estratégica en Madrid.",False,good,False,True,4139.0,False,False,False,False,[],False,False,298000.0,€,flat,,"Palomeras sureste, Madrid",Piso,Destacado,,
107719259,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/72/8d/0c/1320778243.webp,MOAD16,21,,7700000.0,chalet,sale,450.0,,4,3,La Moraleja urbanización,Madrid,La Moraleja,La Moraleja urbanización,es,,40.5245114,-3.6268448,False,https://www.idealista.com/inmueble/107719259/,"MO Inmobiliaria presenta este Chalet independiente de de 250m2 ubicado en una espectacular parcela de 10.000 metros cuadrados, en La Moraleja. La casa está distribuida en una única planta por la que accedemos al hall de entrada amplio y luminoso que da paso al salón con chimenea y comedor, cocina con comedor de diario totalmente equipada. La zona de descanso cuenta con cuatro dormitorios y tres baños. Calefacción y aire acondicionado. Cuenta con un extenso jardín con arboles autóctonos y una zona de estar muy agradable con piscina y porche cubierto, con inmejorables vistas. La Moraleja es la mejor zona de Madrid para vivir. Calidad de vida, bienestar y comodidad, son algunos de los aspectos que la hacen destacar como el sitio perfecto. Rodeada por amplias zonas verdes, cuenta con la mayor oferta de colegios privados e internacionales del país, junto con una magnífica oferta gastronómica y de ocio, entre los que destacan clubes de tenis y campos de golf. Además de centros médicos y comerciales. La seguridad en la zona es su prioridad, por ello cuenta con sistemas de vigilancia 24h, con una amplia instalación de cámaras, garantizando así un alto nivel de seguridad.",True,good,False,,17111.0,False,False,False,False,[],False,False,7700000.0,€,chalet,independantHouse,"La Moraleja urbanización, La Moraleja",Casa independiente,Destacado,True,True
108711703,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/7f/06/23/1359988440.webp,RP022025139861,15,4,359000.0,flat,sale,140.0,True,5,1,calle Enrique Velasco,Madrid,Madrid,Puente de Vallecas,es,Numancia,40.3964391,-3.663913,False,https://www.idealista.com/inmueble/108711703/,"Redpiso Vallecas Albufera Nueva Numancia vende en exclusiva excelente vivienda de 140 metros ubicada en cuarta planta con ascensor. Se distribuye en cinco dormitorios, dos salones, cocina con tendedero, baño, áreas de paso y amplia terraza. Está ubicada a escasos 100 metros de la estación de Nueva Numancia. La zona está dotada de todos los servicios necesarios ( colegios, supermercados, farmacias, tiendas de todo tipo, etc.. . ). Puede ver mas viviendas en.",False,renew,False,True,2564.0,False,False,False,False,[],False,False,359000.0,€,flat,,"Numancia, Madrid",Piso en calle Enrique Velasco,Destacado,,
107715055,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/a7/74/1a/1320642897.webp,VCM,45,2,398000.0,flat,sale,92.0,True,3,1,Barrio Concepción,Madrid,Madrid,Ciudad Lineal,es,Concepción,40.4384436,-3.6478328,False,https://www.idealista.com/inmueble/107715055/,"¡Descubre tu nuevo hogar en el corazón del Barrio de la Concepción! Este encantador piso de 92 m² te ofrece una vida cómoda y luminosa en una de las zonas más deseadas de la ciudad. Situado en la segunda planta de un edificio con ascensor y portal recientemente reformado, disfrutarás de un ambiente acogedor y moderno. Al entrar, te recibe un hall que da paso a un amplio salón independiente, perfecto para relajarte o recibir invitados, con áreas definidas para estar y comedor. La cocina, espaciosa e independiente, invita a preparar deliciosas comidas. El baño completo con ducha y los tres dormitorios, uno de ellos doble, garantizan espacio para toda la familia. Además, existe la posibilidad de recuperar un cuarto dormitorio si lo deseas. Los techos altos y los suelos de madera añaden un toque de elegancia, mientras que la calefacción central de gas natural asegura confort durante todo el año. Este piso es completamente exterior, lo que permite que la luz natural inunde cada rincón. La tranquilidad del barrio, junto con su excelente comunicación por autobús y metro, te ofrece lo mejor de ambos mundos. A un paso de colegios, supermercados y polideportivos, tendrás todo lo que necesitas al alcance. Incluye un práctico trastero en el mismo edificio. ¡No pierdas la oportunidad de vivir en este magnífico espacio sin comisión para el comprador!",False,renew,False,True,4326.0,False,False,False,False,[],False,False,398000.0,€,flat,,"Concepción, Madrid",Piso,Destacado,,
108294822,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/b2/33/b1/1339828919.webp,RP952025138202,9,2,199000.0,flat,sale,47.0,False,2,1,calle Zubieta,Madrid,Madrid,San Blas,es,Simancas,40.4304571,-3.6253971,False,https://www.idealista.com/inmueble/108294822/,"Redpiso Simancas vende piso en C/ Zubieta. Se trata de una 2º planta con ascensor, consta de 2 dormitorios, salón muy luminoso, cocina equipada y baño con ventilación. Totalmente reformado, para entrar a vivir, fontanería y electricidad cambiadas. Ventanas de PVC con rotura de puente térmico, suelo porcelánico y puertas lacadas. Bien comunicado con transporte público, metro Simancas (línea 7).",True,good,False,True,4234.0,True,False,False,False,[],False,False,199000.0,€,flat,,"Simancas, Madrid",Piso en calle Zubieta,Destacado,,
109149402,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/16/ae/ee/1365742928.webp,RP762025141221,1,1,360000.0,flat,sale,105.0,True,3,1,calle de José Arcones Gil,Madrid,Madrid,Ciudad Lineal,es,Pueblo Nuevo,40.4360446,-3.6370673,False,https://www.idealista.com/inmueble/109149402/,"Red Piso Pueblo Nuevo en exclusiva junto a la calle Alcalá, presenta este estupendo piso de 85 m² útiles ubicado en una de las zonas más demandadas del distrito de Ciudad Lineal. La vivienda cuenta con 3 dormitorios amplios, un salón luminoso con acceso a terraza, cocina independiente y un baño completo. Dispone además de ascensor, lo que aporta comodidad y accesibilidad al inmueble.  Ubicación privilegiada Situado a escasos metros de la calle Alcalá, el piso disfruta de una comunicación excelente con transporte público (metro y autobuses) y fácil acceso a la M-30 y principales vías de la ciudad. La zona cuenta con parques, colegios, comercios, restaurantes y todos los servicios necesarios para el día a día, en un entorno tranquilo y familiar.  Ideal tanto para familias como para inversión, gracias a su buena distribución, la terraza y la gran demanda de alquiler en la zona. No pierdas la oportunidad de visitar esta vivienda en una de las zonas mejor comunicadas de Madrid.",False,good,False,True,3429.0,False,False,False,False,[],False,False,360000.0,€,flat,,"Pueblo Nuevo, Madrid",Piso en calle de José Arcones Gil,Destacado,,
108862133,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/41/df/c7/1357308437.webp,,75,,740000.0,chalet,sale,250.0,,6,3,"calle Ladera Cordeles, 3",Madrid,Valdemorillo,Pino Alto - Navarredonda,es,,40.495434,-4.0454675,True,https://www.idealista.com/inmueble/108862133/,"ESTUPENDO CHALET MUY BIEN UBICADO PLANTA BAJA: 1 salón con chimenea y acceso a un magnifico porche de 30m2, 1 cocina, 4 habitaciones y 2 baños completos. PLANTA ALTA: 2 grandes habitaciones 1 de ellas con una amplia terraza. Planta semi sótano: 1 garaje. Próximo a club social con restaurante, piscinas, tenis, futbol y baloncesto.",False,good,False,,2960.0,False,False,False,False,[],False,False,740000.0,€,chalet,independantHouse,"Pino Alto - Navarredonda, Valdemorillo","Casa independiente en calle Ladera Cordeles, 3",Destacado,True,True
108109750,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/15/e3/80/1334112924.webp,RP1462025137272,28,,399900.0,chalet,sale,163.0,,3,3,Hospital,Madrid,Valdemoro,Hospital,es,,40.2069507,-3.6903972,False,https://www.idealista.com/inmueble/108109750/,"REDPISO VALDEMORO RESTÓN, vende chalet en perfecto estado en la zona de hospital del municipio de Valdemoro. La vivienda tiene 160m2 de vivienda, distribuidos en tres plantas. La primera planta esta compuesta por amplio salón con salida a una terraza de unos 40m2, cocina completamente equipada, aseo y garaje. En la segunda planta nos encontramos con 3 habitaciones, una de ellas con baño en suite y un baño completo con plato de ducha. En la tercera planta nos encontramos con una amplia buhardilla, destinado actualment como sala de estar. La vivienda esta para entrar a vivir, no dudes en consultar y realizar una visita por la vivienda. Consulta gratuita con nuestro departamento financiero Dcredit, financiación hasta el 100% (BAJO ESTUDIO FINANCIERO). *El precio no incluye los siguientes gastos: I. T. P (impuesto de transmisiones patrimoniales), honorarios del comprador por la intermediación inmobiliaria, gastos notariales y o registrales (según caso)*. Consulte y visite sin ningún compromiso. REDPISO VALDEMORO.",True,good,False,,2453.0,False,False,True,False,[],False,False,399900.0,€,chalet,terracedHouse,"Hospital, Valdemoro",Chalet adosado,Destacado,True,True
