propertyCode,thumbnail,externalReference,numPhotos,floor,price,propertyType,operation,size,exterior,rooms,bathrooms,address,province,municipality,district,country,neighborhood,latitude,longitude,showAddress,url,description,hasVideo,status,newDevelopment,hasLift,priceByArea,hasPlan,has3DTour,has360,hasStaging,notes,topNewDevelopment,topPlus,priceInfo.price.amount,priceInfo.price.currencySuffix,detailedType.typology,suggestedTexts.subtitle,suggestedTexts.title,highlight.groupDescription,priceInfo.price.priceDropInfo.formerPrice,priceInfo.price.priceDropInfo.priceDropValue,priceInfo.price.priceDropInfo.priceDropPercentage,parkingSpace.hasParkingSpace,parkingSpace.isParkingSpaceIncludedInPrice,detailedType.subTypology,parkingSpace.parkingSpacePrice
107990687,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/c2/82/14/1330440081.webp,85833315,15,2,750000.0,flat,sale,98.0,True,2,2,Barrio Huertas-Cortes,Madrid,Madrid,Centro,es,Huertas-Cortes,40.4153573,-3.6975312,False,https://www.idealista.com/inmueble/107990687/,"Piso en venta en Cortes Situado en la segunda planta de un tradicional edificio madrileño con fachada restaurada, el piso ofrece un espacio diáfano, práctico y lleno de estilo. El salón-comedor tiene dos balcones a la calle que arrojan una bonita luz natural. El apartamento está situado en la segunda planta de un edificio clásico del centro de Madrid. No dispone de ascensor para acceder al el. Dispone de AIRE ACONDICIONADO POR CONDUCTOS que lo hace ideal para los periodos de calor. La calefacción y el agua caliente son proporcionados por una caldera de gas que mantiene una temperatura absolutamente confortable en los periodos mas fríos. El barrio de Las Letras es de las ZONAS MAS SEGURAS del centro de Madrid.",False,good,False,False,7653.0,False,False,False,False,[],False,False,750000.0,€,flat,"Huertas-Cortes, Madrid",Piso,Destacado,,,,,,,
108803784,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/6c/34/ed/1355619758.webp,JESYMAR17,14,bj,260000.0,flat,sale,52.0,False,2,1,Barrio Lavapiés-Embajadores,Madrid,Madrid,Centro,es,Lavapiés-Embajadores,40.4127402,-3.704932,False,https://www.idealista.com/inmueble/108803784/,"Emocionados de presentarles esta fabulosa vivienda en exclusiva, ubicada en pleno Barrio de Lavapiés, en la calle Jesús y María. Encantadora propiedad de 52 metros cuadrados, de 2 dormitorios y 1 baño, ideal para quienes buscan un hogar acogedor y funcional en Madrid.  Al entrar, accedemos directamente al salón-comedor, un espacio luminoso y acogedor que se integra con la cocina americana, completamente amueblada y equipada con todo lo necesario para el día a día. Desde aquí, continuamos hacia el baño completo, que cuenta con extractor, y luego pasamos a los dormitorios. El dormitorio principal es de matrimonio y cuenta con una cama de 1.35 y un armario que proporciona el espacio necesario para almacenar tus pertenencias. El segundo dormitorio es individual y está equipado con un armario y una cama abatible, lo que lo hace perfecto para aprovechar al máximo el espacio.  Esta vivienda se encuentra en muy buenas condiciones, lista para entrar a vivir; solo tendrás que traer tus maletas y comenzar tu nueva vida. Los suelos son de tarima, y cuenta con aire acondicionado en el salón-comedor y la cocina, así como ventilación natural en estas estancias y en el dormitorio principal. El salón-comedor y la cocina dan a un tranquilo patio interior, lo que garantiza un ambiente sereno y agradable. Tiene calefacción individual de gas natural.  La finca se encuentra en buenas condiciones y es de construcción del año 1880, con la próxima ITE programada para 2030.  Lavapiés es conocido por su diversidad cultural, su ambiente bohemio y su dinamismo. Esta vivienda se encuentra a menos de 2 minutos andando de la Plaza Tirso de Molina, a menos de 5 minutos de la Plaza de Antón Martín y de la Glorieta de Lavapiés, y a solo 10 minutos de la Puerta del Sol y de La Latina, lo que la convierte en un lugar muy bien comunicado. La zona cuenta con una amplia variedad de comercios, mercados, parques y todo tipo de tiendas a tu alrededor, lo que te proporcionará el confort que necesitas en tu día a día. Las paradas de metro más cercanas son Antón Martín y Tirso de Molina (Línea 1) y La Latina (Línea 5), además de varias líneas de autobuses, como el M1, M2, 6, 26 y 32, y un fácil acceso a la M-30.  Si tienes alguna duda o deseas más información sobre esta maravillosa vivienda, no dudes en ponerte en contacto con Kason Asesores. ¡Estamos aquí para ayudarte a encontrar tu nuevo hogar! [IW].",False,good,False,False,5000.0,False,False,False,False,[],False,False,260000.0,€,flat,"Lavapiés-Embajadores, Madrid",Piso,Destacado,265000.0,5000.0,2.0,,,,
108837466,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/46/d8/f1/1356602907.webp,LASLOMAS,12,,4000000.0,chalet,sale,1180.0,,7,8,Las Lomas,Madrid,Boadilla del Monte,Las Lomas,es,,40.4323975,-3.8923453,False,https://www.idealista.com/inmueble/108837466/,"Villa de Lujo en Las Lomas, Boadilla del Monte Diseño contemporáneo, tecnología avanzada y una conexión total con la naturaleza Ubicada en la prestigiosa urbanización Las Lomas, a solo 25 minutos del centro de Madrid, se encuentra esta espectacular villa de autor que combina arquitectura contemporánea, sostenibilidad y bienestar en un entorno natural privilegiado. Con más de 1.180 m² construidos sobre una amplia parcela ajardinada, esta propiedad destaca por su diseño minimalista y elegante, con volúmenes puros, líneas limpias y grandes ventanales que inundan los espacios de luz natural. El uso del hormigón visto estriado, jardines zen, cubiertas planas y patios interiores crea una atmósfera de serenidad y equilibrio. Su distribución fluida diferencia con naturalidad las zonas sociales, privadas y de servicio. La planta principal ofrece un gran salón con acceso directo a la terraza y zonas exteriores, una cocina de alta gama totalmente equipada, estancias polivalentes como despacho, gimnasio y sala de ocio, así como una espectacular piscina interior climatizada. En el exterior, la vivienda ofrece una elegante piscina desbordante, zonas ajardinadas, terrazas y un porche ideal para celebraciones. Dispone también de zona de servicio independiente, vivienda auxiliar, garaje para seis vehículos, trastero y lavadero. Construida con materiales nobles y acabados de primer nivel: domótica integral, climatización por aerotermia (suelo radiante y refrescante), instalación fotovoltaica y calificación energética A. Una residencia única donde el diseño, la tecnología y la naturaleza se fusionan para ofrecer un estilo de vida incomparable. AVISO LEGAL: Este anuncio es meramente informativo y no constituye una oferta contractual. El precio no incluye impuestos, gastos de notaría ni registro. Las características, imágenes y superficies pueden estar sujetas a modificaciones.",False,good,False,,3390.0,False,False,False,False,[],False,False,4000000.0,€,chalet,"Las Lomas, Boadilla del Monte",Casa independiente,Destacado,,,,True,True,independantHouse,
108942430,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/ac/cb/f5/1359597785.webp,MAD-732,4,2,205000.0,flat,sale,52.0,True,1,1,calle Efigenia,Madrid,Madrid,Vicálvaro,es,Ambroz,40.4047093,-3.6013685,False,https://www.idealista.com/inmueble/108942430/,"REF. MAD-732 Venta de Vivienda en la zona de Vicalvaro, Madrid. Tiene un total de 52 m2 construidos y 49 m2 útiles según Catastro. distribuido en 1 dormitorios, salón con cocina americana, y 1 baño.  Para REFORMAR En Akris os ayudamos a cumplir vuestros Sueños Inmobiliarios. Encuentre mas inmuebles en.",False,renew,False,False,3942.0,False,False,False,False,[],False,False,205000.0,€,flat,"Ambroz, Madrid",Piso en calle Efigenia,Destacado,,,,,,,
108044295,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/6a/bc/26/1332150546.webp,85893732,11,2,1179000.0,flat,sale,119.0,False,3,3,Barrio Lista,Madrid,Madrid,Barrio de Salamanca,es,Lista,40.4318613,-3.676229,False,https://www.idealista.com/inmueble/108044295/,"Piso Exclusivo Reformado en Salamanca – Listo para Verano Descubre este exclusivo piso de 119 m² en proceso de reforma integral, ubicado en el codiciado barrio de Salamanca, concretamente en la zona de Lista. Se trata de una vivienda interior amplia, con tres habitaciones y tres baños, que garantiza comodidad y privacidad para todos los residentes. La reforma finalizará antes del verano, permitiéndote estrenar hogar en uno de los barrios más prestigiosos de Madrid. El piso se entrega completamente amueblado, y los renders reflejan fielmente el resultado final-se venderá tal cual se muestra. Disfruta de una excelente ubicación, muy bien comunicada, con portería y ascensor. Una oportunidad única para adquirir una vivienda llave en mano en un entorno inmejorable.",False,good,False,True,9908.0,False,False,False,False,[],False,False,1179000.0,€,flat,"Lista, Madrid",Piso,Destacado,,,,,,,
108668472,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/66/9d/cd/1352327410.webp,,4,3,1150000.0,flat,sale,161.0,True,3,2,Barrio Cuzco-Castillejos,Madrid,Madrid,Tetuán,es,Cuzco-Castillejos,40.4610571,-3.6943884,False,https://www.idealista.com/inmueble/108668472/,"¡Descubre tu nuevo hogar en este espectacular piso de 161 m² en la tercera planta! Este inmueble, completamente exterior, se caracteriza por su luminosidad y calidez, creando un ambiente acogedor ideal para disfrutar en familia. Al entrar, te recibe un amplio recibidor que da paso a un salón y un cuarto de estar perfectos para relajarse o recibir visitas. La vivienda cuenta con tres amplios dormitorios equipados con armarios empotrados, ofreciendo espacio de sobra para el almacenamiento. Además, dispone de dos cuartos de baño, lo que proporciona comodidad y funcionalidad. La cocina independiente, que incluye un práctico tendedero, es el lugar perfecto para dar rienda suelta a tu creatividad culinaria. Ubicado en una zona con excelente comunicación gracias a las paradas de metro y autobuses cercanas, este piso es ideal para quienes buscan comodidad y accesibilidad. Y no te preocupes por el aparcamiento, ya que la plaza de garaje está incluida en el precio. ¡No dejes pasar esta oportunidad y ven a visitarlo!",False,renew,False,True,7143.0,False,False,False,False,[],False,False,1150000.0,€,flat,"Cuzco-Castillejos, Madrid",Piso,Destacado,,,,True,True,,
108594096,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/f1/3a/ce/1349428115.webp,MAD-701,5,1,167611.0,flat,sale,79.0,True,3,1,calle de Jerico,Madrid,Parla,Parque Inlasa,es,,40.2372567,-3.7743922,False,https://www.idealista.com/inmueble/108594096/,"REF. MAD-701 Vivienda en venta en la población de Parla. Consta de 3 dormitorios, 1 baño, salón-comedor con terraza y baño. En Akris os ayudamos a cumplir vuestros Sueños Inmobiliarios. Encuentre mas inmuebles en.",False,good,False,True,2122.0,False,False,False,False,[],False,False,167611.0,€,flat,"Parque Inlasa, Parla",Piso en calle de Jerico,Destacado,,,,,,,
108958554,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/a5/72/35/1360077101.webp,RP1842025140645,16,3,285000.0,flat,sale,111.0,True,4,2,El Olivar - La Magdalena,Madrid,Colmenar Viejo,El Olivar - La Magdalena,es,,40.6549248,-3.770681,False,https://www.idealista.com/inmueble/108958554/,"¡OPORTUNIDAD! REDPISO vende PISO DE 4 DORMITORIOS Y 2 BAÑOS RECIÉN REFORMADO. Cuenta con 111 m2 distribuidos en hall de entrada que da acceso a cocina independiente con tendedero cubierto y amplio y luminoso salón con bonoita chimenea eléctrica y con acceso a terraza acristalada, dos baños con plato de ducha y ventana y cuatro dormitorios con armarios empotrados. La vivienda cuenta con muy buenas calidades: ventanas PVC climalit, suelos de gres, calefacción por Gas Natural. La vivienda también cuenta con TRASTERO amplio y con muy pocos gastos de comunidad, sólo 20 €/mes. ¡No deje pasar esta oportunidad y visite sin compromiso! En el precio de venta indicado no se incluyen gastos de escrituración, impuestos ni comisión por intermediación inmobiliaria.",False,good,False,False,2568.0,False,False,False,False,[],False,False,285000.0,€,flat,"El Olivar - La Magdalena, Colmenar Viejo",Piso,Destacado,,,,,,,
107786482,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/ba/9a/71/1323705969.webp,LGV290B,4,,399000.0,chalet,sale,120.0,,3,2,Barrio Las Dehesillas-Vereda de los Estudiantes,Madrid,Leganés,Las Dehesillas - Vereda de los Estudiantes,es,Las Dehesillas-Vereda de los Estudiantes,40.321419,-3.7542301,False,https://www.idealista.com/inmueble/107786482/,"Venta exclusiva de solar en Leganés - Vereda de los Estudiantes Urbamar presenta en exclusiva este vivienda de 225 m² ubicado en la zona de Vereda de los Estudiantes, Leganés. Con una ubicación privilegiada, cuenta con excelente comunicación y accesibilidad al resto del casco urbano y áreas cercanas. Características: Superficie total: 225 m² Ubicación: Vereda de los Estudiantes, Leganés Ideal para la construcción de un edificio plurifamiliar Una excelente oportunidad de inversión en una zona en crecimiento. ¡No deje pasar esta oportunidad única! Para más información, ¡consúltenos!",False,renew,False,,3325.0,False,False,False,False,[],False,False,399000.0,€,chalet,"Las Dehesillas-Vereda de los Estudiantes, Leganés",Casa independiente,Destacado,,,,True,True,independantHouse,
109011425,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/b7/4b/4f/1361644875.webp,,5,4,190000.0,flat,sale,83.0,True,3,1,La Avanzada - La Cueva,Madrid,Fuenlabrada,La Avanzada - La Cueva,es,,40.2933186,-3.7845941,False,https://www.idealista.com/inmueble/109011425/,"**Piso en Venta en Fuenlabrada - Oportunidad Única** Descubre este encantador piso de 83 m² en una de las zonas más tranquilas de Fuenlabrada. Ideal para familias, profesionales o estudiantes, este hogar cuenta con tres amplios dormitorios que ofrecen el espacio perfecto para descansar y disfrutar. El salón luminoso invita a compartir momentos inolvidables, mientras que la cocina equipada es perfecta para dar rienda suelta a tu creatividad culinaria. El moderno baño, con plato de ducha, proporciona comodidad y estilo. Además, podrás relajarte en la amplia terraza abierta, donde las vistas despejadas te permitirán desconectar del día a día. Este edificio cuenta con ascensor y está situado en una excelente ubicación, rodeado de todos los servicios necesarios, como supermercados, colegios y parques. Las buenas conexiones de transporte te permitirán moverte con facilidad por la ciudad y sus alrededores. No dejes pasar la oportunidad de visitar este piso que, aunque es de segunda mano y necesita algunas reformas, tiene un gran potencial para convertirse en el hogar que siempre has soñado. ¡Contáctanos para más información y ven a conocerlo! Necesitas financiación? Consúltanos y conseguimos para tí la mejor hipoteca del mercado, ya que contamos con departamento financiero propio.",False,renew,False,True,2289.0,False,False,False,False,[],False,False,190000.0,€,flat,"La Avanzada - La Cueva, Fuenlabrada",Piso,Destacado,,,,,,,
