propertyCode,externalReference,numPhotos,floor,price,propertyType,operation,size,exterior,rooms,bathrooms,address,province,municipality,district,country,neighborhood,latitude,longitude,showAddress,url,description,hasVideo,status,newDevelopment,hasLift,priceByArea,hasPlan,has3DTour,has360,hasStaging,notes,topNewDevelopment,topPlus,priceInfo.price.amount,priceInfo.price.currencySuffix,parkingSpace.hasParkingSpace,parkingSpace.isParkingSpaceIncludedInPrice,detailedType.typology,suggestedTexts.subtitle,suggestedTexts.title,highlight.groupDescription,detailedType.subTypology,priceInfo.price.priceDropInfo.formerPrice,priceInfo.price.priceDropInfo.priceDropValue,priceInfo.price.priceDropInfo.priceDropPercentage,thumbnail,newDevelopmentFinished
108591326,alm014HA,0,4,2700000.0,flat,sale,240.0,True,4,4,Barrio Almagro,Madrid,Madrid,Chamberí,es,Almagro,40.436839,-3.6934277,False,https://www.idealista.com/inmueble/108591326/,"Olisson Club presenta este exclusivo piso de 236 m² en el prestigioso barrio de Almagro, una de las zonas más elegantes y codiciadas de Madrid. La vivienda destaca por su amplitud y distribución excepcional. Cuenta con un gran salón comedor dividido en tres espacios diferenciados: zona de estar, zona de salón y comedor, que permiten disfrutar de ambientes acogedores y versátiles. Dispone de 4 habitaciones, tres de ellas dobles y una en suite, todas con excelente luz natural y armarios empotrados. Los 3 baños completos están cuidadosamente diseñados, combinando funcionalidad y estilo. La cocina ofrece un espacio amplio y práctico, ideal para los amantes de la gastronomía. La propiedad tiene una base ideal para un proyecto personalizado de renovación. Es una magnífica oportunidad de reforma que combina elegancia clásica con techos altos, suelos de madera y una finca representativa. Perfecta para quienes buscan crear un hogar con carácter en una de las zonas más exclusivas de la capital. Excelente comunicación, rodeado de servicios, colegios internacionales y espacios culturales. Las imágenes son renders referenciales de una posible reforma. [IW].",False,renew,False,True,11250.0,False,False,False,False,[],False,False,2700000.0,€,True,True,flat,"Almagro, Madrid",Piso,Destacado,,,,,,
105181406,NM,0,,3100000.0,chalet,sale,530.0,,5,7,Las Lomas,Madrid,Boadilla del Monte,Las Lomas,es,,40.4303523,-3.8963485,False,https://www.idealista.com/inmueble/105181406/,"Magnífico chalet independiente se encuentra en Las Lomas, una exclusiva zona residencial de Boadilla del Monte, en la provincia de Madrid. Con una superficie construida de 530 m2, esta propiedad de lujo ofrece un estilo de vida elegante y sofisticado. La casa se distribuye en dos plantas, con un total de 5 dormitorios y 7 baños. En la planta baja, encontramos un amplio hall de entrada, salón-comedor, cocina, aseo de cortesía, dormitorio principal en suite con vestidor, sala de juegos, además de zona de servicio. En la primera planta, encontramos un distribuidor desde donde se accede a 4 dormitorios dobles, cada uno con su propio baño privado.  Esta impresionante propiedad cuenta con acabados de alta calidad, como carpintería interior de madera, carpintería exterior de climalit, calefacción por aerotermia, aire acondicionado, sistema de alarma y piscina. El chalet se encuentra en una ubicación privilegiada, cerca de todos los servicios y comodidades. A menos de 10 kilómetros, encontramos el prestigioso colegio St. Michael's School, reconocido por su excelencia académica y su enfoque en la educación bilingüe. En cuanto a las opciones de ocio y compras, el centro comercial Gran Plaza 2 se encuentra a pocos minutos en coche, ofreciendo una amplia variedad de tiendas, restaurantes y cines. En cuanto a las conexiones de transporte, las líneas de metro más cercanas son la línea 10 (Colonia Jardín) y la línea 3 (Moncloa), que ofrecen acceso rápido y fácil al centro de Madrid. Además, las líneas de cercanías más cercanas son la C-7 y la C-10, que conectan Boadilla del Monte con otras ciudades de la región. También hay varias líneas de autobuses que pasan cerca de la ubicación de este chalet. El barrio de Las Lomas es conocido por su tranquilidad, seguridad y exclusividad. Rodeado de naturaleza, ofrece un ambiente sereno y relajado, ideal para aquellos que buscan escapar del bullicio de la ciudad. Además, cuenta con excelentes instalaciones deportivas, parques y zonas verdes, perfectas para disfrutar de actividades al aire libre. Si estás buscando una propiedad de lujo en Boadilla del Monte, este chalet en Las Lomas es la elección perfecta. No pierdas la oportunidad de vivir en un entorno privilegiado, rodeado de confort y elegancia. GILMAR es una reconocida empresa inmobiliaria con más de 35 años de experiencia en el mercado. Desde 1983, hemos ayudado a nuestros clientes a encontrar la casa de sus sueños, ofreciendo un servicio personalizado y profesional. Nuestro equipo de expertos en marketing inmobiliario se encarga de mejorar la descripción de cada propiedad, resaltando sus características únicas y destacando su valor. Si estás interesado en obtener más información sobre este chalet en Las Lomas, por favor, no dudes en contactarnos y proporcionarnos la referencia 171232. Estaremos encantados de ayudarte en tu búsqueda. Puedes visitarnos en nuestra oficina ubicada en Glorieta Virgen María, 7, en Boadilla del Monte, o llamarnos al También puedes enviarnos un correo electrónico a. ¡Esperamos poder ayudarte a encontrar tu hogar ideal!",False,good,False,,5849.0,False,False,False,False,[],False,False,3100000.0,€,True,True,chalet,"Las Lomas, Boadilla del Monte",Casa independiente,Destacado,independantHouse,,,,,
88798324,6301,0,,13000000.0,chalet,sale,1500.0,,5,6,"paseo DE LOS LAGOS, 1",Madrid,Pozuelo de Alarcón,Zona Prado de Somosaguas - La Finca,es,La Finca,40.4179205,-3.812669,True,https://www.idealista.com/inmueble/88798324/,"LuxHOME vende personalizado en Los Lagos. El inmueble se haya en perfecto estado, absolutamente para entrar a vivir, disfruta de ubicación y orientación privilegiadas dentro del complejo. Su cómoda distribución hacen de esta impresionante propiedad un hogar para disfrutar de la vida en familia, así como de recepciones, fiestas y eventos de representación.. . Se ha construido con los últimos avances en domótica, un gran spa con piscina interior, biblioteca-despacho, garaje de gran capacidad y un esmerado paisajismo que hacen de ella un auténtico oasis en el que la seguridad y la intimidad son máximas. Disponibilidad inmediata. Evitamos la divulgación de imágenes para preservar la exclusividad del inmueble.",False,good,False,,8667.0,False,False,False,False,[],False,False,13000000.0,€,True,True,chalet,"La Finca, Pozuelo de Alarcón","Casa independiente en paseo De Los Lagos, 1",Destacado,independantHouse,,,,,
109202525,IDE1050925,0,,535000.0,chalet,sale,175.0,,4,3,Villafranca del Castillo,Madrid,Villanueva de la Cañada,Villafranca del Castillo,es,,40.4639898,-3.9535511,False,https://www.idealista.com/inmueble/109202525/,"PENDIENTES DE RECIBIR EL REPORTAJE FOTOGRAFICO VOhome comercializa este adosado de tres plantas; en la principal (planta calle) se encuentra el hall distribuidor, aseo de cortesía, cocina independiente con zona office y el salón comedor con vistas al jardín privado. En la planta superior se encuentra la zona de descanso compuesta por tres dormitorios: el principal, con baño en suite, dos habitaciones con armarios empotrados y un segundo cuarto de baño. La planta inferior cuenta con un enorme salón multifuncional. Además, en esta misma planta hay un tercer cuarto de baño, una sala diáfana y cuarto de lavandería completamente equipado. Este chalet se halla en una de las mejores ubicaciones de la urbanización, porque goza de máxima privacidad y vistas respecto a otras viviendas. Piedras Vivas se encuentra en la zona alta de Villafranca del Castillo, junto al colegio Zola y a dos pasos del centro de salud y del centro comercial, que cuenta con supermercado, farmacia, clínica veterinaria, oficina de Correos, tintorería, peluquerías, papelería y numerosos locales de restauración. No dude en llamarnos para concertar una visita.",False,good,False,,3057.0,False,False,False,False,[],False,False,535000.0,€,,,chalet,"Villafranca del Castillo, Villanueva de la Cañada",Chalet adosado,Destacado,terracedHouse,,,,,
109201864,RP1642025141431,0,3,1300000.0,flat,sale,150.0,True,3,2,calle del General Díaz Porlier,Madrid,Madrid,Barrio de Salamanca,es,Lista,40.4355216,-3.6780422,False,https://www.idealista.com/inmueble/109201864/,"Descubre este fantástico piso exterior ubicado en una de las zonas más demandadas de Madrid: la calle General Díaz Porlier. Una vivienda ideal tanto para familias como para quienes buscan una excelente inversión en pleno barrio de Salamanca. Con una superficie bien distribuida, el piso cuenta con 3 dormitorios, 2 baños completos, un amplio salón lleno de luz natural y una cocina independiente. Gracias a su orientación exterior, disfrutarás de luz durante todo el día, creando un ambiente cálido y acogedor en cada estancia. La vivienda se encuentra en una finca cuidada y con buen vecindario, en una ubicación inmejorable: rodeada de comercios, zonas verdes y perfectamente comunicada por transporte público. Una oportunidad única para vivir o invertir en una de las zonas más exclusivas de la capital. ¡No dejes pasar esta oportunidad! Contacta para más información o para concertar una visita.",False,good,False,True,8667.0,False,False,False,False,[],False,False,1300000.0,€,,,flat,"Lista, Madrid",Piso en calle del General Díaz Porlier,Destacado,,,,,,
108566598,,0,2,1900000.0,flat,sale,230.0,True,4,4,El Soto de la Moraleja,Madrid,La Moraleja,El Soto de la Moraleja,es,,40.5234867,-3.6483797,False,https://www.idealista.com/inmueble/108566598/,"MORALEJA CONSULTING INMOBILIARIO. ofrecemos en exclusiva piso de 4 dormitorios 4 baño 2 plazas de garaje y trastero dentro de importante urbanización del Soto.  Vivienda de amplios espacios en perfecto estado de conservación con preciosa cocina con despensa y zona de servicio independiente. Aseo de cortesía. Dormitorio principal dotada de gran espacio de almacenaje y baño en suite. dos dormitorios infantiles comparten un baño. Destaca por su grandes zonas comunitarias donde los jardines son amplios y consolidados una zona libre de ruidos del entorno donde pasea y descansar al aire libre. Vivienda perfectamente habilitada libre de barreras arquitectónicas. Seguridad 24h control de accesos y edificio de poca altura. •2 plazas de garaje •Trastero Urbanización Privada La urbanización ofrece máxima privacidad, seguridad y excelentes servicios:.",False,good,False,True,8261.0,False,False,False,False,[],False,False,1900000.0,€,True,True,flat,"El Soto de la Moraleja, La Moraleja",Piso,Destacado,,,,,,
108566779,,0,,9000000.0,chalet,sale,850.0,,9,9,La Moraleja urbanización,Madrid,La Moraleja,La Moraleja urbanización,es,,40.5151281,-3.639963,False,https://www.idealista.com/inmueble/108566779/,"Moraleja Consulting ofrece en venta excepcional propiedad en la Moraleja. Información exclusivamente por privado.  La Moraleja es una urbanización de carácter residencial situada en el norte de Madrid, con una extensión aproximada de unas 950 hectáreas. La urbanización de la Moraleja se inició en los años 40 del pasado siglo XX, en un bosque de encinas que, en el pasado, había formado parte de los bienes pertenecientes a la Corona de España. La Moraleja se encuentra ubicada en el término Municipal de Alcobendas, junto a la A1. Plenamente consolidada en nuestros días, reúne unas 1.050 viviendas unifamiliares independientes.",False,good,False,,10588.0,False,False,False,False,[],False,False,9000000.0,€,True,True,chalet,"La Moraleja urbanización, La Moraleja",Casa independiente,Destacado,independantHouse,,,,,
108566849,,0,,6500000.0,chalet,sale,1100.0,,9,13,La Moraleja urbanización,Madrid,La Moraleja,La Moraleja urbanización,es,,40.5106417,-3.6224756,False,https://www.idealista.com/inmueble/108566849/,"Moraleja Consulting ofrece en venta excepcional propiedad en la Moraleja. Información exclusivamente por privado.  La Moraleja es una urbanización de carácter residencial situada en el norte de Madrid, con una extensión aproximada de unas 950 hectáreas. La urbanización de la Moraleja se inició en los años 40 del pasado siglo XX, en un bosque de encinas que, en el pasado, había formado parte de los bienes pertenecientes a la Corona de España. La Moraleja se encuentra ubicada en el término Municipal de Alcobendas, junto a la A1. Plenamente consolidada en nuestros días, reúne unas 1.050 viviendas unifamiliares independientes.",False,renew,False,,5909.0,False,False,False,False,[],False,False,6500000.0,€,True,True,chalet,"La Moraleja urbanización, La Moraleja",Casa independiente,Destacado,independantHouse,,,,,
107114484,MH1090,0,6,3500000.0,penthouse,sale,175.0,True,3,3,calle de Hermosilla,Madrid,Madrid,Barrio de Salamanca,es,Recoletos,40.4240825,-3.6833455,False,https://www.idealista.com/inmueble/107114484/,"MOREHOUSE Real Estate presenta este impresionante ático de 175 m² en una de las zonas más codiciadas de Madrid: el prestigioso barrio de Recoletos. Ubicado en una finca clásica, este luminoso inmueble ha sido recientemente reformado con los más altos estándares de calidad y estilo. Lo que realmente diferencia a este ático es su espectacular terraza privada, donde podrás relajarte y disfrutar de las impresionantes vistas despejadas de la ciudad. Ideal para tomar el sol, hacer cenas al aire libre o simplemente disfrutar de la tranquilidad de la zona. La vivienda cuenta además con cocina independiente, tres amplios dormitorios, todos ellos con armarios empotrados, y tres modernos baños equipados con lo último en diseño y comodidad. Se entrega completamente amuebla. La ubicación de esta propiedad es inmejorable: a un paso de los mejores comercios, restaurantes y centros culturales de Madrid, y con excelentes comunicaciones por transporte público. Vive en el epicentro de la elegancia y el estilo madrileño. En el prestigioso barrio de Salamanca, estarás rodeado de tiendas exclusivas, restaurantes de alta cocina y todos los servicios necesarios para una vida cómoda y sofisticada. Este inmueble tambien ofrece una excelente conexión con transporte público, que facilita el acceso a cualquier punto de Madrid, ofreciendo una experiencia urbana inmejorable. No dejes pasar la oportunidad de hacer tuyo este único ático. ¡Contáctanos para más información y concertar una visita! Por petición de algunos clientes, no publicamos parte de nuestros inmuebles en portales inmobiliarios; También tenemos oportunidades de inversión off-market. En MOREHOUSE Real Estate estamos especializados en comprar, vender y alquilar pisos en todo Madrid. Para cualquier gestión, no dude en contactar con nosotros.",False,good,False,True,20000.0,False,False,False,False,[],False,False,3500000.0,€,,,flat,"Recoletos, Madrid",Ático en calle de Hermosilla,Destacado,penthouse,,,,,
106294108,MH1068,0,5,2900000.0,flat,sale,196.0,True,3,3,calle de Castelló,Madrid,Madrid,Barrio de Salamanca,es,Recoletos,40.4284974,-3.6825803,False,https://www.idealista.com/inmueble/106294108/,"MOREHOUSE Real Estate les presenta esta vivienda completamente reformada situada en una cuarta planta en la calle Castelló. Con 196 m² construidos, este piso destaca por su amplitud y luminosidad. La entrada da acceso a un amplio hall que da paso a un salón de más de 45 m², dividido en dos ambientes diferenciados.  Desde su terraza en esquina podrás disfrutar de la luz y el sol de la mañana. La cocina, independiente y totalmente equipada con electrodomésticos de alta gama, cuenta con puertas correderas de cerrajería y cristal, brindándote un espacio moderno y funcional. La zona de noche está compuesta por tres dormitorios, teniendo el principal un amplio vestidor baño en suite. Cuenta además con otros dos cuartos de baño completos y un aseo de cortesía. La orientación este de este inmueble le proporciona luz natural durante todo el día. La finca cuenta con dos ascensores y montacargas, servicio de portería y está en proceso de renovación completa de las zonas comunes. Por petición de algunos clientes, no publicamos parte de nuestros inmuebles en portales inmobiliarios. Aunque la mayoría de nuestra cartera está en nuestra página web, también tenemos oportunidades de inversión off-market. En MOREHOUSE Real Estate estamos especializados en comprar, vender y alquilar pisos en todo Madrid. Para cualquier gestión no dude en contactar con nosotros.",False,good,False,True,14796.0,False,False,False,False,[],False,False,2900000.0,€,True,True,flat,"Recoletos, Madrid",Piso en calle de Castelló,Destacado,,,,,,
