propertyCode,thumbnail,externalReference,numPhotos,floor,price,propertyType,operation,size,exterior,rooms,bathrooms,address,province,municipality,district,country,neighborhood,latitude,longitude,showAddress,url,description,hasVideo,status,newDevelopment,hasLift,priceByArea,hasPlan,has3DTour,has360,hasStaging,notes,topNewDevelopment,topPlus,priceInfo.price.amount,priceInfo.price.currencySuffix,detailedType.typology,suggestedTexts.subtitle,suggestedTexts.title,parkingSpace.hasParkingSpace,parkingSpace.isParkingSpaceIncludedInPrice,detailedType.subTypology,parkingSpace.parkingSpacePrice,newDevelopmentFinished,priceInfo.price.priceDropInfo.formerPrice,priceInfo.price.priceDropInfo.priceDropValue,priceInfo.price.priceDropInfo.priceDropPercentage
105932827,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/5a/50/ae/1300006677.webp,311864,25,1,4500000.0,flat,sale,468.0,True,5,4,Barrio Almagro,Madrid,Madrid,Chamberí,es,Almagro,40.4335517,-3.6922463,False,https://www.idealista.com/inmueble/105932827/,"Luz, muchos metros y una ubicación inmejorable en la cotizada zona de Almagro son los signos distintivos de esta magnífica propiedad. Se trata de 468 metros construidos que ocupan la planta completa del edificio y que están distribuidos en dos zonas bien diferenciadas. Las zonas comunes que ocupan unos 150 metros son elegantes y generosas en espacios acogedores, con paredes enmaderadas o tapizadas. A ellas se accede desde el hall de entrada y una sala intermedia de bienvenida que funciona a modo de distribuidor entre los dos salones, uno presidido por una espléndida boiserie, el otro por una chimenea, y, por supuesto, la señorial sala de comedor. La sensación de amplitud es única y se amplía aún más por las vistas despejadas que proporciona la terraza cubierta que abarca toda la fachada y que aporta a los salones tanta luminosidad. En este espacio exterior se distingue una zona de estar y otra de comedor, muy agradable y oculta a ojos ajenos por los árboles. De vuelta al hall, hacia el lado opuesto, comienza la zona privada que cuenta con un gran dormitorio principal, con baño en suite y vestidor, dos dormitorios grandes que comparten un baño completo y una tercera zona de descanso en la que encontramos una gran sala polivalente, actualmente utilizada como despacho, y un cuarto dormitorio con baño en suite. La zona privada se completa con la cocina práctica y muy luminosa que cuenta con una terraza auxiliar, habitación de despensa y la zona de servicio con un dormitorio y su baño. La propiedad se completa con un trastero y una plaza de garaje.",True,renew,False,True,9615.0,True,True,False,False,[],False,False,4500000.0,€,flat,"Almagro, Madrid",Piso,,,,,,,,
107695777,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/8f/78/4a/1320065382.webp,CM-426379,32,3,2095000.0,flat,sale,144.0,True,3,3,Barrio Chueca-Justicia,Madrid,Madrid,Centro,es,Chueca-Justicia,40.4270589,-3.6966502,False,https://www.idealista.com/inmueble/107695777/,"ÚNICA INMOBILIARIA presenta este impresionante piso totalmente reformado con materiales de primera calidad en el prestigioso barrio de Justicia junto a la zona noble de la plaza de Santa Bárbara. Está ubicado en una tercera planta exterior con balcón a la calle y orientación oeste por lo que el piso dispone de muy buena luz natural, especialmente en las horas de la tarde. Se trata de 145 metros cuadrados de superficie que se distribuyen en 3 habitaciones dobles con 3 baños, dos de ellos en suite, zona de salón comedor desde la que se accede al balcón y cocina independiente. Dispone de aire acondicionado y calefacción individual por gas natural. Con respecto a la finca, de fachada clásica y principios de siglo XX, dispone de ascensor, la ITE favorable y portero físico, además de trastero en finca. Perfectamente comunicado por distintas líneas de metro y autobús. En el barrio de Justicia conviven el elegante bulevar de la Gran Vía y sus edificios neoclásicos y boutiques de lujo con las originales tiendas de la calle Hortaleza, los locales nocturnos de Fuencarral, y los bistrós de moda y bares de tapas en los alrededores de la plaza Santa Bárbara. Vecinos de todas las edades se reúnen en el Mercado de San Antón, en el barrio de moda del centro de la capital. En Única Inmobiliaria aglutinamos más de veinte años de experiencia en el sector del lujo. Contamos con una amplia trayectoria que avala nuestra gestión trabajando alrededor de las zonas más exclusivas de Madrid: Barrio de Salamanca, Recoletos, Almagro, Chamartín, Retiro, Justicia….",False,good,False,True,14549.0,True,True,False,False,[],False,False,2095000.0,€,flat,"Chueca-Justicia, Madrid",Piso,,,,,,,,
106840319,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/8f/96/a2/1295536650.webp,ch-426401,32,2,1690000.0,flat,sale,262.0,True,5,3,Barrio Bernabéu-Hispanoamérica,Madrid,Madrid,Chamartín,es,Bernabéu-Hispanoamérica,40.4530588,-3.6886335,False,https://www.idealista.com/inmueble/106840319/,"ÚNICA Inmobiliaria les invita a conocer una extraordinaria vivienda en un emplazamiento estratégico del barrio de Bernabéu-Hispanoamérica, a pocos metros del Paseo de la Castellana nos encontramos con este piso de esquina con magnífico estado de conservación, pero que admite gracias a su estructura infinitas posibilidades de redistribución.  Hablamos de una superficie construida de 262m2 construidos, cuya distribución se articula a través de un espacioso recibidor, que nos da la bienvenida a ésta casa tan especial.  A continuación, una zona social de auténtico privilegio que consta de salón y comedor dividido en tres ambientes con grandes ventanales e incluso una pequeña terraza. Por otro lado la zona de la cocina totalmente independiente con entrada de servicio, zona de lavandería, office, dormitorio y cuarto de baño.  En lo referido a la zona de descanso, dispone de 4 amplios dormitorios y dos cuartos de baño más. Cuenta entre otras cosas con carpinterías exteriores con doble acristalamiento, carpinterías interiores lacadas, suelos de tarima maciza sobre rastreles, techos altos, paredes pintadas en liso y detalles que hacen de ella una gran oportunidad.  En el precio se incluye un trastero en la propia finca y dos plazas de garaje en P. A. R. situado a pocos metros del edificio.  El inmueble se sitúa en contexto de excepción, con todos los comercios, transportes, colegios y demás dotaciones a un paso. Destacando la cercanía del corazón financiero, del Estadio Santiago Bernabéu y alguno de los mejores colegios del barrio de Chamartín. Hispanoamérica es un barrio del Distrito de Chamartín, situado en la zona noreste de Madrid. Sus límites son al norte la avenida de Alberto Alcocer y la avenida de Costa Rica, al sur con la avenida de Concha Espina, al oeste el paseo de la Castellana y al este con la avenida de la Paz (M-30). Ofrece una amplia gama de servicios, comercios, colegios, instalaciones deportivas, hoteles, restauración, hospitales y clínicas y un amplio sistema de transporte público; y alberga el Estadio Santiago Bernabéu, varias Embajadas, Administraciones Públicas y la sede de varias de las empresas más importantes de España. En Única Inmobiliaria aglutinamos más de veinte años de experiencia en el sector del lujo. Contamos con una amplia trayectoria que avala nuestra gestión trabajando alrededor de las zonas más exclusivas de Madrid: Barrio de Salamanca, Recoletos, Almagro, Chamartín, Retiro, Justicia….",False,good,False,True,6450.0,True,True,False,False,[],False,False,1690000.0,€,flat,"Bernabéu-Hispanoamérica, Madrid",Piso,,,,,,,,
106674592,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/23/7e/c6/1338763118.webp,W-02X9GP,68,,1750000.0,chalet,sale,498.0,,9,5,Barrio Salvador,Madrid,Madrid,San Blas,es,Salvador,40.4470075,-3.6314431,False,https://www.idealista.com/inmueble/106674592/,"Chalet en Quinta de los Molinos Engel & Völkers les presenta una exclusiva propiedad con grandes posibilidades, y con una buena repercusión del precio/metro cuadrado. Los más de cuatrocientos metros cuadrados se distribuyen en cuatro plantas, incluido el sótano desde el que se accede al garaje con tres plazas. En esta planta también está el cuarto de calderas, Zona de spa, Sauna y piscina techada ideal para relajarse, zona de almacenaje baño/vestidor y una habitación con ventana, pese a ubicarse en planta sótano. En la planta principal está el vestíbulo de entrada a la vivienda, cocina con isla tipo americana, el aseo de invitados y el salón-comedor. Desde el salón se accede a la terraza y jardín privado con zona de Barbacoa. Además, cuenta con chimenea. En la primera planta está la zona de descanso de la vivienda. Hay cuatro dormitorios y dos baños, uno de ellos en suite. Por último, en la planta ática, una habitación con amplio vestidor para invitados con baño y terraza. La vivienda dispone de calefacción individual por gas natural y aire acondicionado por conductos y Split en la última planta. Ademas de pisicina comunitaria y vistas despejadas ya que se encuentra en esquina. El Salvador es uno de los barrios residenciales que componen el distrito de San Blas, al este de Madrid, muy cerca de Arturo Soria. En este entorno privilegiado, dentro del área de La Quinta de los Molinos, se encuentra esta vivienda adosada que tenemos el placer de presentar. La zona cuenta con varias embajadas y algunos de los mejores centros educativos nacionales e internacionales (Lycée Français, Numont, San José del Parque, International School of Madrid, la escuela de negocios ESIC, etc.). El barrio cuenta con un equipamiento completo, con una importante zona empresarial en crecimiento al lado de la Avenida de América. La zona de El Salvador ofrece centros comerciales con las más prestigiosas marcas, centros deportivos, parques y excelentes restaurantes, garantizando una amplia oferta de servicios y de ocio de alta calidad, todo ello a escasos minutos del centro de Madrid. El Salvador está perfectamente comunicado, al encontrarse cerca de las principales vías de circunvalación de Madrid (M30 y M40) y del aeropuerto (a través de la M11 y A2), además de contar con excelentes conexiones a la red de transporte público (líneas de metro y de autobús). Esta casa adosada está justo enfrente del parque Quinta de los Molinos, rodeada de numerosas zonas verdes y se encuentra muy cerca de la Clínica Universidad de Navarra y de la sede del Banco Santander.",False,good,False,,3514.0,True,True,True,False,[],False,False,1750000.0,€,chalet,"Salvador, Madrid",Chalet pareado,True,True,semidetachedHouse,,,,,
108661444,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/01/46/37/1351632795.webp,PN270,32,bj,270000.0,flat,sale,96.0,True,2,2,"calle del Pino Canario, 2",Madrid,Navalcarnero,La Dehesa - El Pinar,es,,40.2990371,-3.9803733,True,https://www.idealista.com/inmueble/108661444/,"¡HOGARES NAVALCARNERO tiene el placer de presentar esta espectacular vivienda baja con jardín en El Pinar, una de las zonas más modernas y valoradas de Navalcarnero! Ubicada en una urbanización privada que ofrece todo lo necesario para disfrutar de una vida cómoda y tranquila, esta vivienda se encuentra rodeada de zonas verdes y excelentes servicios. La urbanización cuenta con piscina comunitaria, áreas infantiles, pista de pádel, sala comunitaria, zonas ajardinadas, servicio de conserjería y seguridad nocturna. La vivienda, situada en planta baja, se distribuye de forma práctica y acogedora. Al acceder, encontramos una cocina independiente, funcional y luminosa, con zona de tendedero. El salón-comedor con un gran ventanal, da paso directo al jardín privado a dos alturas, ideal para crear una zona de relax o reuniones al aire libre. Además, bajo la escalera se ha aprovechado el espacio para crear una útil zona de almacenamiento. La zona de descanso se compone de un dormitorio secundario con armario empotrado y acceso directo al jardín, lo que aporta una agradable sensación de amplitud y luminosidad. Este dormitorio comparte un baño secundario completo con plato de ducha. La habitación principal, tipo suite, dispone también de armario empotrado y baño privado con bañera. El precio incluye dos amplias y cómodas plazas de garaje, así como un trastero, lo que añade aún más valor a esta excelente propiedad. Entre las calidades destacadas, la vivienda cuenta con preinstalación de aire acondicionado por conductos, paredes lisas en todas las estancias, toldos manuales de color beige instalados en todas las ventanas y una estupenda orientación este, que garantiza luz natural por las mañanas. Además, su ubicación es inmejorable, con fácil acceso a comercios, paradas de autobús y todo tipo de servicios, lo que convierte a esta propiedad en una opción ideal tanto para familias como para quienes buscan calidad de vida en un entorno moderno y bien conectado. NO PIERDAS ESTA OPORTUNIDAD Y VEN A VER ESTE ENCANTADOR BAJO CON JARDIN. F I N A N C I A C I Ó N H A S T A 1 0 0 %.",False,good,False,True,2813.0,True,True,False,False,[],False,False,270000.0,€,flat,"La Dehesa - El Pinar, Navalcarnero","Piso en calle del Pino Canario, 2",True,True,,,,,,
107867224,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/18/02/96/1326869608.webp,PINAR229,32,bj,229000.0,flat,sale,74.0,True,1,1,"calle del Pino Carrasco, 2",Madrid,Navalcarnero,La Dehesa - El Pinar,es,,40.299866,-3.9772975,True,https://www.idealista.com/inmueble/107867224/,"HOGARES NAVALCARNERO tiene el placer de presentar, en exclusiva, un impresionante BAJO REFORMADO CON UNA TERRAZA DE 45M2, pero con altura de primero.  Esta vivienda se encuentra dentro de una urbanización que ofrece todo lo necesario para disfrutar de una vida cómoda y tranquila. Entre sus atractivos, cuenta con piscina comunitaria, sala comunitaria, áreas infantiles, pista de pádel, zonas ajardinadas, conserjería y seguridad nocturna. Ubicado en El Pinar, una de las zonas más modernas y valoradas de Navalcarnero, este inmueble es ideal para quienes buscan el equilibrio perfecto entre naturaleza y servicios. Su excelente ubicación permite un acceso rápido a comercios, paradas de autobús y todo tipo de facilidades. El piso destaca por su comodidad y funcionalidad. Dispone de una cocina de estilo americano, práctica y bien distribuida, y un salón-comedor amplio, equipado con aire acondicionado y grandes ventanales que inundan el espacio con luz natural. El dormitorio principal es espacioso y cuenta con armarios empotrados de gran capacidad. Desde aquí, se accede a una acogedora zona de estar, que ha sido cerrada con grandes ventanales y ofrece vistas a la propia terraza. El baño completo está equipado con un moderno plato de ducha. En el precio incluye 2 plazas de garaje y trastero. Uno de los mayores atractivos de esta vivienda es su espectacular terraza privativa de aproximadamente 45 m², que incluye una pérgola, proporcionando un espacio perfecto para el ocio y la relajación. Detalles destacados: Aire acondicionado en el salón-comedor, ideal para mantener el confort en cualquier época del año. Pintura lisa en todas las paredes, aportando un acabado moderno y elegante. Reformas que han optimizado la distribución, como la integración de la terraza original al salón mediante ventanales de alta calidad. Impresionantes vistas a la sierra de Madrid. ¡Financiación al 100%! Contacta con nosotros para más información y agenda tu visita.",False,good,False,True,3095.0,True,True,False,False,[],False,False,229000.0,€,flat,"La Dehesa - El Pinar, Navalcarnero","Piso en calle del Pino Carrasco, 2",True,True,,,,,,
108922812,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/a0/70/f9/1359041674.webp,VIVEXNAVREY001,49,,417000.0,chalet,sale,175.0,,4,3,Navas del Rey,Madrid,Navas del Rey,,es,,40.3585544,-4.2690435,False,https://www.idealista.com/inmueble/108922812/,"¡VENDE CON NOSOTROS DESDE SOLO EL 1,9 %! ¡CONSEGUIMOS HASTA EL 100% DE FINANCIACIÓN! � Vive la tranquilidad con estilo en Navas del Rey. � Espectacular chalet unifamiliar de 175 m² pensado para disfrutar todo el año. En el corazón de Navas del Rey te presentamos esta maravillosa vivienda que combina amplitud, diseño y confort en un entorno natural incomparable. Con una cuidada distribución de cuatro dormitorios y tres baños completos, cada espacio está concebido para aportar comodidad y calidad de vida a toda la familia. La moderna cocina americana, abierta al salón, invita a compartir momentos inolvidables mientras la chimenea tradicional crea un ambiente acogedor en los meses de invierno. En verano, la vida se traslada al exterior: un jardín privado con zona de barbacoa, un encantador porche, un solárium perfecto para relajarse y una espectacular piscina privada donde refrescarse y disfrutar del buen tiempo. La casa cuenta además con detalles que marcan la diferencia: despensa independiente, aire acondicionado en las estancias principales, portero automático y un sistema de alarma de seguridad que garantiza total tranquilidad durante todo el año. En definitiva, una vivienda lista para entrar a vivir, diseñada para quienes buscan la armonía entre naturaleza, confort y cercanía a Madrid, a menos de una hora de la capital. � Ven a visitarla y déjate conquistar por tu nuevo hogar en Navas del Rey. CONSULTE NUESTRA PÁGINA WEB TENEMOS MÁS VIVIENDAS QUE NO ESTÁN EN LOS PORTALES. SÍGANOS EN NUESTRAS REDES SOCIALES PARA NO PERDERSE NADA: Instagram: @Locativoinmobiliariamadrid TikTok: @Locativoinmobiliaria Facebook: @Locativo Inmobiliaria AVDA. VILLANUEVA DE LA CAÑADA 35, LOCAL 1 QUIJORNA  28693 MADRID PARQUE EMPRESARIAL “LA FINCA” PASEO CLUB DEPORTIVO 1, EDIFICIO 4 POZUELO DE ALARCÓN 28223 MADRID AVDA. DE LA VERA 65 VILLANUEVA DE LA VERA  10470 CACERES  CALLE DE LOS OLIVOS 8 ROBLEDO DE CHAVELA  28294 MADRID [IW].",False,good,False,,2383.0,True,True,False,False,[],False,False,417000.0,€,chalet,Navas del Rey,Casa independiente,True,True,independantHouse,,,,,
100891650,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/3c/3c/55/1102407274.webp,PIS2469,27,3,1280000.0,flat,sale,115.0,False,3,2,Barrio Recoletos,Madrid,Madrid,Barrio de Salamanca,es,Recoletos,40.4244633,-3.6793984,False,https://www.idealista.com/inmueble/100891650/,"Fortuny Real Estate ofrece este maravilloso inmueble reformado y amueblado ubicado en el corazón del Barrio de Recoletos junto al parque del Retiro. Se trata de una vivienda distribuida en un amplio salón comedor con cocina americana totalmente equipada con electrodomésticos de alta gama, consta de tres habitaciones, la principal con cuarto de baño en suite y numerosos armarios empotrados. Los otros dos dormitorios comparten un cuarto de baño completo. Destaca por su excelente ubicación, luminosidad y tranquilidad, orientada a un patio de manzana muy amplio y luminoso. Excelente reforma con mobiliario incluido. La vivienda posee todo lo necesario para sentirse cómodo en todo momento: calefacción individual por radiadores, aire acondicionado, iluminación indirecta por LED y ventanas con aislamiento térmico y acústico. Portero físico. Posibilidad de adquirir una plaza de garaje enfrente de la finca. El barrio Salamanca se trata de una de las zonas más lujosas y con mejor calidad de vida de Europa. Gracias a la amplia oferta gastronómica, cultural y comercial, se trata de una formidable zona donde vivir e invertir. La gran mayoría de los inmuebles que tenemos en esta zona solo se encuentran en nuestra web. Visite nuestra página y descubra exclusivas viviendas. Fortuny Madrid Real Estate es una empresa joven y emprendedora, formada por un grupo de consultores inmobiliarios especializados en la zona Prime de Madrid, creada con el objetivo de satisfacer las necesidades de los clientes más exigentes.",False,good,False,True,11130.0,True,True,False,False,[],False,False,1280000.0,€,flat,"Recoletos, Madrid",Piso,True,False,,80000.0,,,,
96377777,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/71/35/81/947335979.webp,CE169363,43,,499000.0,chalet,sale,968.0,,11,8,calle del tranco,Madrid,Manzanares el Real,,es,,40.7412163,-3.8758996,False,https://www.idealista.com/inmueble/96377777/,"Gilmar vende chalet independiente de magnífica construcción (muros de piedra sillería) en entorno envidiable frente a Río Manzanares en pleno Parque Nacional de la Sierra del Guadarrama con parcela de 856 metros.  Antiguamente era un hostal-restaurante, mantiene la licencia de actividad por si se quiere montar algún negocio, si se quiere usar como vivienda habría que cambiar el uso. DISTRIBUCIÓN: PLANTA BAJA: Porche cubierto, recepción, baños Sras. y Sres. , Salón-Comedor, barra bar, cocina y despacho. PLANTA PRINCIPAL: Salón-Comedor con terraza cubierta acristalada, 9 habitaciones y 4 baños.  SÓTANO: Bodega y aseo. COLINDANTE AL EDIFICIO PRINCIPAL: 2 pisos independientes con baño, dormitorio y salón-cocina cada uno. Si está interesado en esta vivienda no dude en ponerse en contacto con nosotros, le atenderemos con mucho gusto, le explicaremos detalladamente toda la información que necesite y si lo desea podrá visitarlo sin compromiso. ¡NOSOTROS NO COBRAMOS HONORARIOS AL COMPRADOR! ¡Y CONSEGUIMOS EL MÁXIMO DE FINANCIACIÓN CON LAS MEJORES CONDICIONES SIN COSTE PARA EL COMPRADOR! SI QUIERE VENDER SU CASA… LLÁMENOS.  En GILMAR trabajamos para ofrecer a nuestros clientes los mejores inmuebles, con equipos especializados en cada zona para proporcionarles la mejor opción a su necesidad, con todas las excelencias y cuidando al máximo los detalles. En más de 35 años de andadura, Gilmar ha logrado alcanzar un espacio de privilegio dentro del Sector Inmobiliario de alto standing. Cubrimos todas las necesidades inmobiliarias: viviendas, oficinas, locales comerciales, solares, fincas rústicas, terrenos para construir. Nuestros clientes cuentan con el asesoramiento necesario desde el inicio, para garantizar su seguridad, eficacia jurídica y la mejor rentabilidad financiero-fiscal. Estupenda oportunidad, para conseguir su vivienda a la medida de sus sueños. Casas en Torrelodones, casas en Villalba, casas en Alpedrete, casas en Moralzarzal, casas en Becerril, casas en Navacerrada, casas en Guadarrama, casas en Los Molinos, casas en El Escorial, casas en Cercedilla, casas en Galapagar, casas en la Sierra, comprar vivienda, comprar piso, comprar casa, comprar chalet, compra ático.",False,renew,False,,515.0,True,True,False,False,[],False,False,499000.0,€,chalet,Manzanares el Real,Casa independiente en calle del tranco,,,independantHouse,,,,,
107048747,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/d8/70/ae/1301426461.webp,3497,40,6,1363950.0,flat,sale,130.0,False,2,2,Barrio Goya,Madrid,Madrid,Barrio de Salamanca,es,Goya,40.4296908,-3.6780123,False,https://www.idealista.com/inmueble/107048747/,"Este encantador piso interior se sitúa en la sexta planta de un elegante edificio con ascensor en el codiciado barrio de Salamanca-Lista. Actualmente en obras, la propiedad ofrece una excelente oportunidad para personalizarla según tus necesidades y gustos. La vivienda cuenta con dos amplias habitaciones y dos baños completos, además de un aseo adicional para mayor comodidad. La cocina está completamente equipada y amueblada, lista para su uso desde el primer día. Además, se incluye un práctico cuarto de lavado. El piso está dotado de aire acondicionado, asegurando una temperatura agradable durante todo el año. Aunque no dispone de calefacción, su eficiente diseño interior garantiza un ambiente confortable. Ubicado en una de las zonas más exclusivas de Madrid, estarás rodeado de una amplia variedad de tiendas, restaurantes de alta cocina y todos los servicios necesarios para una vida cómoda y sofisticada. Esta es tu oportunidad de vivir en una de las áreas más prestigiosas de la capital.  La gran mayoría de los inmuebles que tenemos en esta zona solo se encuentran en nuestra web. Visite nuestra página y descubra exclusivas viviendas. Fortuny Madrid Real Estate es una empresa con sólida experiencia formada por un grupo de consultores inmobiliarios especializados en la zona Prime de Madrid, creada con el objetivo de satisfacer las necesidades de los clientes más exigentes nacionales e internacionales. Somos un referente en el mercado español, ofreciendo un servicio completo con viviendas residenciales de alta calidad y una amplia gama de servicios inmobiliarios, cubriendo tanto el área privada como el área comercial para conseguir que personas físicas jurídicas, instituciones e inversores queden plenamente satisfechos con nuestros servicios.",False,good,False,True,10492.0,True,True,False,False,[],False,False,1363950.0,€,flat,"Goya, Madrid",Piso,,,,,,,,
