propertyCode,thumbnail,externalReference,numPhotos,price,propertyType,operation,size,rooms,bathrooms,address,province,municipality,country,latitude,longitude,showAddress,url,description,hasVideo,status,newDevelopment,priceByArea,hasPlan,has3DTour,has360,hasStaging,notes,topNewDevelopment,topPlus,priceInfo.price.amount,priceInfo.price.currencySuffix,parkingSpace.hasParkingSpace,parkingSpace.isParkingSpaceIncludedInPrice,detailedType.typology,detailedType.subTypology,suggestedTexts.subtitle,suggestedTexts.title,district,neighborhood,floor,exterior,hasLift,newDevelopmentFinished,priceInfo.price.priceDropInfo.formerPrice,priceInfo.price.priceDropInfo.priceDropValue,priceInfo.price.priceDropInfo.priceDropPercentage
108291418,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/a2/ae/2f/1339707600.webp,VIS-395,80,1200000.0,chalet,sale,578.0,6,5,Ub Valdelagua s/n,Madrid,Valdelagua,es,40.6505595,-3.6154482,True,https://www.idealista.com/inmueble/108291418/,"VISTA HOMES presenta este magnífico CHALET INDEPENDIENTE CON PISCINA ubicado en la exclusiva urbanización de Valdelagua. Con una superficie construida de 578 m² sobre una parcela de 2.024 m², esta casa ofrece un estilo de vida cómodo, elegante y lleno de posibilidades. En la PLANTA PRINCIPAL, encontramos un amplio Hall que da paso a un luminoso Salón Comedor con chimenea, dividido en varias estancias que permiten diferentes ambientes para el descanso, la reunión y el ocio, y una moderna Cocina Office, completamente equipada. Cuenta con un práctico Aseo de cortesía, un Despacho ideal para teletrabajo y tres Dormitorios, dos de ellos con baño en suite y uno con vestidor, proporcionando privacidad y confort para toda la familia, así como la posibilidad de hacer la vida en una única planta de la vivienda. La PRIMERA PLANTA está destinada a actividades diversas, con cuatro estancias actualmente utilizadas como biblioteca, sala de juegos, sala de estar y más, además de un dormitorio adicional y un cuarto de baño completo, perfecta para invitados o para adaptarse a las necesidades del hogar. En la PLANTA BAJA, se encuentran espacios de ocio y bienestar: una gran bodega, una sala de cine, un gimnasio equipado y una sauna, ideales para disfrutar en familia o con amigos. También dispone de un dormitorio de servicio con baño completo. Los exteriores ofrecen amplios jardines que rodean la vivienda, una piscina para disfrutar en verano y una zona de parking con capacidad para cuatro vehículos. La urbanización Valdelagua es un lugar que combina la exclusividad con un entorno natural privilegiado. Está situada en una zona tranquila y bien comunicada, a unos pocos kilómetros de Madrid, lo que permite disfrutar de la naturaleza sin sacrificar la cercanía a la ciudad. La urbanización cuenta con control de acceso y vigilancia, garantizando un ambiente seguro para sus residentes. No pierda la oportunidad de adquirir una vivienda que combina espacios amplios, y una ubicación privilegiada en Valdelagua. ¡Contáctenos para más información o para concertar una visita!",False,good,False,2076.0,True,False,True,False,[],False,False,1200000.0,€,True,True,chalet,independantHouse,Valdelagua,Casa independiente en Ub Valdelagua s/n,,,,,,,,,
103390358,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/3a/a8/df/1187991061.webp,2000,27,500000.0,chalet,sale,256.0,6,3,"avenida de la Constitución, 23",Madrid,El Escorial,es,40.5828326,-4.1295276,True,https://www.idealista.com/inmueble/103390358/,"Casa de piedra única. Si desea vivir en el centro de El Escorial en una casa incomparable y con historia, esta es su oportunidad. Ponemos a la venta esta casa de piedra, única en su entorno con 256 metros cuadrados distribuidos en dos plantas, disponiendo además de un magnífico jardín. En esta medida no se ha contado con el bajo cubierta, siendo este de utilidad. La vivienda necesita una reforma integral de su interior, y teniendo en cuenta su forma rectangular y con luz a tres fachadas (quince ventanas y dos puertas de acceso), se pude conseguir un resultado óptimo de acuerdo a las necesidades del comprador. En Calibe Asesores Inmobiliarios le ofreceremos un asesoramiento completo y personalizado en todo lo que necesite, con un servicio integral durante todo el proceso (incluida la asistencia en la financiación, formalización, reformas, mudanza, etc. ), además de amplia disponibilidad de horario para realizar visitas a nuestros inmuebles.",False,renew,False,1953.0,True,False,True,False,[],False,False,500000.0,€,,,chalet,independantHouse,"Centro, El Escorial","Casa independiente en avenida de la Constitución, 23",Centro,,,,,,,,
107204804,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/e2/c1/ca/1353497015.webp,26046,69,950000.0,chalet,sale,168.0,3,4,paseo del Comandante Fortea,Madrid,Madrid,es,40.4286515,-3.7328306,False,https://www.idealista.com/inmueble/107204804/,"Inmejorable chalet adosado de 4 plantas, 3 habitaciones y 4 baños, en Casa de Campo.    242 m2 construidos.     Terraza, patio inglés de 13 m2 y jardín de 35 m2.    Salón de paso.    Cocina americana en isla.    Calefacción con gas natural.    Armarios empotrados, suelo de parquet macizo de roble y mármol blanco, ventanas climalit oscilobatientes con rotura de puente térmico y puertas lacadas.    Amueblado negociable.    Dispone de garaje y trastero.    PLANTA BAJA  2 estancias delimitadas con 2 grandes puertas de madera maciza    PLANTA PRIMERA  2 habitaciones  2 baños    PLANTA BUHARDILLA  1 habitación  1 baño    PLANTA SÓTANO DIÁFANO  Salón  Comedor  Cocina  Baño  Lavandería  Patio inglés    NO PIERDA ESTA OPORTUNIDAD Y CONTACTE CON NOSOTROS PARA REALIZAR UNA VISITA.    Daurum Estate ofrece conseguir la mejor financiación a su medida hasta el 100% del valor de compra venta sea nuestra la vivienda o no.    INFORMACIÓN SIN COMPROMISO en el mismo número de teléfono del anuncio.    Además, posibilidad de servicio de reformas para acomodar la vivienda a su gusto.",True,good,False,5655.0,True,False,True,False,[],False,False,950000.0,€,True,True,chalet,terracedHouse,"Casa de Campo, Madrid",Chalet adosado en paseo del Comandante Fortea,Moncloa,Casa de Campo,,,,,,,
108668283,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/81/88/c9/1351633662.webp,ALCW50.3,41,1020000.0,flat,sale,230.0,3,2,avenida del Doctor Severo Ochoa,Madrid,Alcobendas,es,40.5404132,-3.6562399,False,https://www.idealista.com/inmueble/108668283/,"MO inmobiliaria presenta éste fabuloso bajo con jardín en el Norte de Alcobendas. Situado una de las zonas más tranquilas y bien comunicadas del norte de Madrid.  Ofrecemos éste bajo con un amplio jardín privado, orientación oeste-norte, y acceso directo a las zonas comunes de una urbanización de alto nivel. Se vende con una plaza de parking y posibilidad de comprar una segunda plaza y con enchufe para coche eléctrico. Cuenta con 3 dormitorios y dos baños. La habitación principal con su baño en suite. Un cómodo salón con cocina americana abierta y desde ésta estancia se accede en forma directa al jardín, situación que aporta una sensación de amplitud y luminosidad excepcional. Además cuenta con sistema de domótica inteligente: controla desde tu móvil la calefacción por suelo radiante, persianas e iluminación.  En la zona común tiene sala gourmet, sala de juegos interior, baños y vestuarios. Servicio de portería 24h. Pasillo perimetral privado entre los bajos y la fachada exterior. A tan solo 10 minutos caminando de metro y cercanías. Excelentes accesos a A1,  M-40 y M-607.",True,good,False,4435.0,True,False,True,False,[],False,False,1020000.0,€,True,True,flat,,"Norte, Alcobendas",Piso en avenida del Doctor Severo Ochoa,Norte,,bj,True,True,,,,
109034148,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/3c/50/58/1362284129.webp,,34,663000.0,chalet,sale,260.0,4,3,calle Ricardo Clemares,Madrid,San Agustin de Guadalix,es,40.6835178,-3.6194694,False,https://www.idealista.com/inmueble/109034148/,"ROGEL PROPIEDADES! VENDE! **Chalet Pareado en San Agustín del Guadalíx: Tu Nuevo Hogar Espera por Ti** Descubre este impresionante chalet pareado ubicado en la exclusiva urbanización de San Agustín del Guadalíx. Con una superficie construida de 260 m² y una parcela de 250 m², este hogar ofrece un espacio ideal para disfrutar de la vida en familia. La zona comunitaria cuenta con piscinas y pistas de pádel, perfectas para disfrutar del tiempo libre y hacer ejercicio. El amplio y luminoso salón, adornado con una acogedora chimenea, se convierte en el corazón del hogar, ideal para momentos inolvidables. Desde la terraza, podrás deleitarte con vistas que invitan a la relajación. La cocina, completamente amueblada y equipada con electrodomésticos de primera calidad, es un sueño para los amantes de la gastronomía. Este chalet cuenta con 3 amplios dormitorios y 3 baños, proporcionando el espacio necesario para cada miembro de la familia. La buhardilla (podría ser el 4 to) es un espacio versátil que se puede adaptar a tus necesidades, ya sea como oficina, sala de juegos o un rincón de lectura. Además, cuenta con armarios empotrados, trastero y una plaza de garaje con capacidad para 2 coches. Con calefacción de gas natural y una orientación sur-este que garantiza luz natural durante todo el día, este chalet es una oportunidad única para encontrar el hogar que siempre has deseado. No dejes pasar esta ocasión y ven a visitarlo. ¡Tu nuevo hogar te está esperando! Para mas información contactar con el anunciante.",True,good,False,2550.0,True,False,True,False,[],False,False,663000.0,€,True,True,chalet,semidetachedHouse,San Agustin de Guadalix,Chalet pareado en calle Ricardo Clemares,,,,,,,,,
107580219,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/cd/42/f0/1317053511.webp,5597,58,730000.0,chalet,sale,215.0,4,3,calle Jaraíz,Madrid,Las Rozas de Madrid,es,40.5531308,-3.9004257,False,https://www.idealista.com/inmueble/107580219/,"¡SIN COMISION DE AGENCIA!  Las Rozas, El Encinar, chalet adosado de esquina en tres plantas, 215m2.  PERFECTO ESTADO. PARA ENTRAR A VIVIR YA!  4 dormitorios, buhardilla, 2 baños y 1 aseo.  Vivienda muy luminosa y cómoda.  Distribución:  Planta de entrada:  Salón con chimenea, comedor con salida al jardín solado (desde donde se accede a la urbanización) con iluminación y toldo tipo pérgola, cocina amueblada con office con muchísima entrada de luz y puerta de salida hacia el exterior, aseo de cortesía, garaje cubierto para un coche.  Comodísimas escaleras en madera de excelente calidad que dan acceso a las plantas superiores, disponen de ventanas que aportan mayor iluminación debido a que es de esquina. Planta primera:  3 amplios dormitorios (principal en suite con armarios empotrados tipo vestidor, ventanales, baño completo con bañera, medida de este dormitorio 20m2), dormitorios secundarios luminosos y amplios (10m2) cada uno, el dormitorio amueblado se podría dejar como se aprecia en las fotos. Esta planta dispone de otro baño completo en común para los dormitorios secundarios. Planta Buhardilla:  Preciosa zona multiusos ideal para segundo salón, zona para estudiar, también se puede utilizar de dormitorio, sala de juegos, zona de trabajo, etc. Además, cuenta con una pequeña habitación con ventana que podría valer para un invitado. También dispone de una terraza exterior con 9m2, en esta terraza encontramos una zona de almacenaje tipo trastero.  En la misma buhardilla hay armarios empotrados altos y bajos para seguir almacenando. La vivienda dispone de calefacción de gas natural, aire acondicionado en dormitorios secundarios, en distribuidor de la planta dormitorios y buhardilla; armarios empotrados en todas las habitaciones, pintura lisa, puertas lacadas en blanco, ventanas climalit con triple cristal con aislamiento térmico y acústico.  Posibilidad de poner paneles solares (inclinación de 30º) y posibilidad de ampliar la vivienda con un sótano de hasta 60m2. Por un lado tiene orientación sur y por el otro noroeste.  Plaza de garaje interior, segunda plaza techada y sitio para un coche en la puerta de la vivienda (dentro de la urbanización).  Gastos de comunidad de propietarios de vivienda 110€, Ibi 780€ (en el caso de instalar paneles solares se podrían reducir al 50% durante tres años).  Urbanización con piscina, cámaras de seguridad, pista de fútbol y baloncesto, zona ajardinada con mesa y asientos de obra ideal para realizar un picnic.  Escuelas próximas.  Ubicado a tres minutos de la parada de autobús hacia Madrid, quince minutos andando de la estación de tren Las Matas hacia Moncloa – Madrid, a cinco minutos andando a la zona comercial de Las Matas.  Salida directa a la carretera A-6 en un minuto.  Zona residencial y verde con campo para poder dar paseos andando como en bicicleta.",True,good,False,3395.0,True,False,True,False,[],False,False,730000.0,€,True,True,chalet,terracedHouse,"Club de Golf, Las Rozas de Madrid",Chalet adosado en calle Jaraíz,Club de Golf,Club de Golf,,,,,,,
109219678,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/3d/4f/86/1367826790.webp,IE23-DR.RODRIGUEZ,34,479000.0,chalet,sale,280.0,5,4,calle Doctor Rodríguez de la Fuente,Madrid,Brunete,es,40.401903,-3.9964423,False,https://www.idealista.com/inmueble/109219678/,"Inmobiliarias Encuentro tiene el placer de presentarte este increíble chalet pareado, situado en pleno centro de Brunete. Una propiedad única que se distribuye en dos cómodas plantas, más un gran sótano-garaje con capacidad para 4-5 coches. ✨ Características Principales: Planta principal: Amplio salón independiente con acceso a terraza Dormitorio Baño completo Cocina con zona de office y salida directa a la parcela con porche Primera planta: 4 dormitorios dobles con armarios empotrados 2 baños completos, el principal en suite Parcela de 341 m², con 250 m² libres para disfrutar y personalizar a tu gusto. � Calidades: Puertas macizas Ventanas de aluminio Cocina amueblada Suelos de gres Calefacción por gasoil � Ubicación Inmejorable: Situado en el casco urbano, con todos los servicios a tu alcance y a pocos metros de la avenida principal. Rápido acceso a las principales carreteras. � Financiación a tu Medida: ¡Podemos ofrecerte hasta el 100% del precio de compra! Y si necesitas vender tu vivienda actual, pregunta por nuestro servicio exclusivo ""Cambia y Descansa"", donde nos encargamos de todo. � ¡No esperes más! Contacta con nosotros y descubre tu nueva casa en Brunete.",False,good,False,1711.0,True,False,False,False,[],False,False,479000.0,€,True,True,chalet,semidetachedHouse,Brunete,Chalet pareado en calle Doctor Rodríguez de la Fuente,,,,,,,,,
108677936,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/2f/94/aa/1367184278.webp,,22,3420000.0,flat,sale,325.0,4,5,calle de Covarrubias,Madrid,Madrid,es,40.429044,-3.6959212,False,https://www.idealista.com/inmueble/108677936/,"Calle COVARRUBIAS Planta 4ª 269m² de vivienda 3 dormitorios con 3 baños en suite 1 dormitorio servicio con 1 baño en suite 1 baño invitados Zona lavandería y office en cocina Reformada con calidades de lujo:  • Suelo de tarima roble natural • Ventanas Cortizo (COR70) con bisagras y manillas ocultas • Persianas motorizadas • Griferías marca extra lujo italiana Gessi modelo Veinti20 • Baños con mármoles en encimera, embocados y duchas  • Duchas con cabinas de forja niquel pulido • Interruptores y enchufes níquel pulido (marca premium inglesa) • Cocina con puertas acristaladas de forja y totalmente equipada con electrodomésticos última gama Siemens IQ700 • Carpinterías de diseño en jambas, ventanas y rodapiés. • Puertas de gran formato en altura 255cm con manillas especiales en níquel pulido • Molduras en los techos de 3 metros • 3 zonas de climatización independientes Entrada principal y de servicio Trastero de buenas dimensiones en planta sótano con acceso por ascensor de servicio Opcional 56m² de local/garaje en el edificio a pie de calle para dos coches, motos y almacén. Dispone de 2 ventanas a patio interior con altura de primera planta.  Posibilidad de uso de local y vivienda. Esto es súper exclusivo!  Calefacción central Portero con vivienda en la finca IBI: 1.471€ GGCC: 519€ Precios de Venta: • Vivienda: 3.150. 000 / 11.710€/m² • Local/garaje: 270.000€ / 4.385 €/m².",False,good,False,10523.0,True,False,True,False,[],False,False,3420000.0,€,True,True,flat,,"Trafalgar, Madrid",Piso en calle de Covarrubias,Chamberí,Trafalgar,4,True,True,,,,
108283403,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/be/00/96/1339474157.webp,,28,550000.0,flat,sale,108.0,3,1,"calle de López de Hoyos, 93",Madrid,Madrid,es,40.4450921,-3.6731479,True,https://www.idealista.com/inmueble/108283403/,"**Piso en Venta en la Calle López de Hoyos - Oportunidad Única** Descubre este encantador piso de 108 m² construidos, situado en una ubicación privilegiada de la ciudad. Con 3 dormitorios y un baño, este hogar ofrece un espacio ideal para disfrutar de la vida urbana. Los 3 balcones te brindan vistas a la animada calle López de Hoyos, donde podrás relajarte y disfrutar del ambiente. El edificio, construido en 1940, conserva su encanto original y cuenta con una corrala interior que añade un toque especial. La segunda planta es apta para personas con movilidad reducida ya que aunque el edificio no tiene ascensor, sí dispone de rampa elevadora. La orientación sur garantiza que el sol ilumine tu hogar durante gran parte del día, creando un ambiente cálido y acogedor. La propiedad está equipada con calefacción eléctrica y aire acondicionado, asegurando tu confort en cualquier época del año. Además, cuenta con excelentes comunicaciones, con una estación de metro de la línea 4 a solo un minuto, numerosas líneas de autobús y servicios cercanos como grandes superficies, centros de salud y parques. Esta es una oportunidad única para personalizar el espacio a tu gusto. No dejes pasar la oportunidad de transformar este lugar en el hogar de tus sueños. ¡Ven a visitarlo y déjate enamorar!",True,renew,False,5093.0,True,False,True,False,[],False,False,550000.0,€,,,flat,,"Ciudad Jardín, Madrid","Piso en calle de López de Hoyos, 93",Chamartín,Ciudad Jardín,2,True,False,,,,
107994997,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/46/ee/66/1330568859.webp,,49,369900.0,chalet,sale,181.0,4,3,calle Espartaco,Madrid,Guadalix de la Sierra,es,40.7854912,-3.7064395,False,https://www.idealista.com/inmueble/107994997/,"Esplendido chalet pareado, listo para entrar a disfrutar desde el primer día, sin necesidad de arreglos o reformas. Se trata de una casa con encanto, tanto por sus formas como por sus buenas vistas, es una casa completa, equilibrada y muy acogedora, con diferentes espacios y dotaciones, tanto exteriores como interiores. La vivienda esta construida sobre una solida estructura de hormigón armado, y se distribuye en dos plantas principales, en la planta baja tiene, salón, cocina, y aseo de cortesía. En la planta superior hay tres habitaciones (con armarios empotrados), y dos baños (uno en suite). Debajo de la vivienda, se encuentra una zona especial de ocio, de estilo rustico, con un gran salón de 40 m2 que incluye barra de bar y chimenea, además de una habitación y un baño completo. En la parte exterior de la vivienda, la parcela se reparte en dos zonas, por delante tiene una estupenda terraza de 30 m2, y por detrás se encuentra la zona verde, ajardinada, junto a un porche cenador. Todo esto se completa con un gran garaje con capacidad para dos coches grandes o tres pequeños, con puerta automática directa a calle. La vivienda esta equipada con caldera de gas ciudad para la calefacción y el agua caliente sanitaria. El chalet se encuentra ubicado en una pequeña urbanización, tranquila y sin gastos de comunidad.",False,good,False,2044.0,True,False,True,False,[],False,False,369900.0,€,True,True,chalet,semidetachedHouse,Guadalix de la Sierra,Chalet pareado en calle Espartaco,,,,,,,,,
