propertyCode,thumbnail,externalReference,numPhotos,floor,price,propertyType,operation,size,exterior,rooms,bathrooms,address,province,municipality,district,country,neighborhood,latitude,longitude,showAddress,url,description,hasVideo,status,newDevelopment,hasLift,priceByArea,hasPlan,has3DTour,has360,hasStaging,notes,topNewDevelopment,topPlus,priceInfo.price.amount,priceInfo.price.currencySuffix,parkingSpace.hasParkingSpace,parkingSpace.isParkingSpaceIncludedInPrice,parkingSpace.parkingSpacePrice,detailedType.typology,detailedType.subTypology,suggestedTexts.subtitle,suggestedTexts.title,newDevelopmentFinished,priceInfo.price.priceDropInfo.formerPrice,priceInfo.price.priceDropInfo.priceDropValue,priceInfo.price.priceDropInfo.priceDropPercentage
108812353,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/c2/8e/ee/1355840908.webp,MIP-4534,26,6,1010000.0,penthouse,sale,143.0,True,3,1,Barrio Fuente del Berro,Madrid,Madrid,Barrio de Salamanca,es,Fuente del Berro,40.4217535,-3.6678275,False,https://www.idealista.com/inmueble/108812353/,"ATICO... DE MADRID AL CIELO.. .  (GARAJE OPCIONAL, 30.000€) Ático TODO LUZ, en esquina con terraza corrida de 40m², CON AMPLIAS VISTAS DESPEJADAS E INMEJORABLE ORIENTACION en zona TRANQUILA de Fuente del Berro (Salamanca) y muy bien comunicado. Cuenta con plaza de garaje en la misma finca.  Actualmente distribuido en TRES dormitorios, un cuarto de baño completo, cocina independiente y un amplio salón con acceso directo a la terraza. Para REFORMAR. Dado su largo perímetro exterior de 25 METROS LINEALES y sus múltiples ventanas permiten plantear infinidad de opciones en función de las necesidades especificas de cada interesado. Aislamiento térmico reforzado en forjado de cubierta y paredes externas. Cercanía al metro de O DONNELL y MANUEL BECERRA. Parque de La Fuente del Berro a pocos minutos.  Finca representativa con tres ascensores. Proyecto de PLACAS FOTOVOLTAICAS aprobado por comunidad de vecinos. Acceso adaptado para personas con dificultades de movilidad. Estar en Madrid, vivir Madrid.",False,renew,False,True,7063.0,True,False,True,True,[],False,False,1010000.0,€,True,False,30000.0,flat,penthouse,"Fuente del Berro, Madrid",Ático,,,,
108166814,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/86/33/72/1335850984.webp,3529-00312,75,,945000.0,chalet,sale,495.0,,6,5,calle Segura,Madrid,Villaviciosa de Odón,El Bosque,es,,40.3943466,-3.9212123,False,https://www.idealista.com/inmueble/108166814/,"Remax Hunter pone a su disposición este excelente Chalet independiente con parcela de 1500 metros totalmente ajardinados. Disponemos de estupenda piscina muy bien ubicada, cenador acristalado de grandes dimensiones junto a zona de asados donde podemos disfrutar de gratas reuniones con familia y amigos en una de las mejores situaciones con vistas inmejorables dentro de la urbanización. Garaje de gran capacidad donde podemos habilitar estancia para cuatro vehículos. Gran terraza con vistas a la sierra de Guadarrama. La vivienda tiene una construcción excelente. Accedemos a la vivienda donde encontramos una muy buena distribución interior. Hall amplio que distribuye a la izquierda gran salón-comedor con chimenea y acceso directo al exterior donde encontramos porche muy generoso que rodea la vivienda y comunica directamente con jardín, piscina y zona de recreo bien habilitada con cenador acristalado y barbacoa donde gozamos de gran terraza y vistas excelentes a la sierra. Desde el hall accedemos a espectacular cocina desde la que también accedemos al porche, jardín y zona de recreo y así como a zona de servicio con habitación y baño independientes. A la derecha del hall encontramos baño completo y dos dormitorios dobles. En planta primera accedemos a dos dormitorios dobles, ambos con terraza independiente, uno de ellos con baño muy amplio en suite. Disponemos también de estancia abuhardillada y baño completo en pasillo. Desde hall bajamos a la planta sótano donde disponemos de gran salón, dormitorio con chimenea y acceso a enorme vestidor, destacamos el baño en suite por sus dimensiones excepcionales. Desde esta zona accedemos a garaje y gran espacio de almacenaje cerrado dentro de la estancia. Destacamos el conjunto de edificación y jardín, muy armonioso y gran sensación de amplitud en todas las estancias. Esperamos su atención. Disponemos de servicio financiero con asesoramiento gratuito.",True,good,False,,1909.0,False,False,True,True,[],False,False,945000.0,€,True,True,,chalet,independantHouse,"El Bosque, Villaviciosa de Odón",Casa independiente en calle Segura,,,,
108512930,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/70/a7/f9/1347122421.webp,,28,5,791000.0,flat,sale,140.0,True,4,2,calle de José Donoso,Madrid,Madrid,Hortaleza,es,Sanchinarro,40.4992153,-3.6540312,False,https://www.idealista.com/inmueble/108512930/,"Vesta Properties saca a la venta este estupendo piso de 140m construidos en una quinta planta. La vivienda, totalmente exterior con gran amplitud de vistas y ventanales, tiene muchísima luz.  Entrando en la vivienda nos encontramos con un recibidor con armario para armarios, desde el que se accede al salón con comedor por el lado izquierda, y a la cocina con office por el lado derecho del recibidor. El salón tiene un estupendo ventanal, con orientación este, que da al jardín de la vivienda. La cocina es amplia y tiene zona de lavado y tendido así cómo despensa y tiene ventilación ntural.  Avanzando por el pasillo que da al recibidor, nos encontramos con los cuatro dormitorios (todos ellos dobles) y dos cuartos de baño amplios. El dormitorio principal tiene vestidor y cuarto de baño en suite.  La casa tiene calefacción de gas natural y aire acondicionado por conducto con bomba de frio y calor en todas las habitaciones. También tiene domótica con sensores para controlar posibles fugas de agua. La casa se vende con dos plazas de garaje grandes contiguas y trastero. La casa se encuentra en una de las mejores urbanizaciones de la zona, con piscina grande, de verano e invierno, con socorrista todo el año, tiene gimnasio, sauna, zonas infantiles, pádel, etc. y seguridad 24h con cámaras CCTV perimetrales. La urbanización esta estratégicamente localizada, rodeada de colegios, parques, estanques, así cómo supermercados y Hospitales, la casa se encuentre a 6 minutos andando del Corte Ingles. Con muchísima oferta comercial, gastronómica y de ocio; con gran variedad de autobuses y trenes que la conectan con la ciudad, Sanchinarro se ha convertido en uno de los sitios más demandados por los que buscan tranquilidad y comodidad a unos minutos del centro. En Vesta Properties trabajamos para dar el mejor servicio tanto en alquiler como en venta. Para solicitar visitas o más información, no dude en ponerse en contacto con nosotros.",False,good,False,True,5650.0,True,False,True,False,[],False,False,791000.0,€,True,True,,flat,,"Sanchinarro, Madrid",Piso en calle de José Donoso,,,,
107515966,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/12/e4/ef/1327798754.webp,5-A,18,5,693700.0,flat,sale,103.0,True,2,2,"calle Alejandro Ferrant, 26",Madrid,Madrid,Arganzuela,es,Delicias,40.3948864,-3.6918765,True,https://www.idealista.com/obra-nueva/107515966/,"¡ESTRENA TU NUEVO HOGAR EN EL CORAZÓN DE MADRID! QUEDAN DISPONIBLES 6 DE LAS 12 VIVIENDAS DE LA PROMOCIÓN, TODAS CON TERRAZAS ALEJANDRO FERRANT 26 ENTREGA EN SEPTIEMBRE DE 2025 Ubicación excelente, conectividad inmejorable y un diseño moderno en pleno corazón de Madrid. En una cuidada y tranquila calle del Barrio de Delicias, en el distrito de Arganzuela, se encuentra Alejandro Ferrant 26. Una promoción de obra nueva con solo 12 viviendas, que combina diseño contemporáneo, eficiencia energética y una ubicación excelente para quienes buscan calidad de vida en Madrid. Alejandro Ferrant 26 es un edificio de nueva construcción con una fachada moderna, marcada por líneas rectas en la destacan los cristales, presentes en los grandes ventanales y las barandillas. Una estilizada palillería oculta los tendederos ventilados a la fachada. Materiales actuales le aportan una estética limpia, atemporal y de fácil mantenimiento. ESPACIOS BIEN PENSADOS EN UNA UBICACIÓN INMEJORABLE - Espacios luminosos - Arquitectura que optimiza los espacios - Distribuciones que maximizan el uso del espacio, ofreciendo estancias bien logradas, cómodas, funcionales y con abundante luz natural y ventilación cruzada - Viviendas exteriores en todas sus estancias, lo que permite que la luz natural inunde cada espacio, aportando calidez a los hogares y un continuo disfrute del maravilloso cielo de Madrid. - Terrazas para el disfrute del cielo y el sol. Cada vivienda cuenta con un espacio exterior ideal para disfrutar del aire libre, tener plantas, tomar una copa, leer un libro. Disfrutar de momentos, sin ruidos ni tráfico en una calle tranquila y silenciosa. Comodidades adicionales: - Tendederos independientes, equipados con lavadora y secadora, un espacio de lavandería práctico y bien concebido. - La mayoría de las viviendas cuentan con trastero, un valioso desahogo para guardar ropa de temporada, gadgets y otros objetos, sin renunciar al espacio en casa. - Piscina comunitaria, perfecta para refrescarse durante el verano. - Sistema de climatización por suelo radiante/refrigerante y paneles solares para una climatización confortable y sostenible, además de un invaluable ahorro en tus facturas. CONECTIVIDAD Y UBICACIÓN - Una atractiva combinación de calidad de vida y buena conectividad. - Conexión directa con el resto de Madrid: - A pocos minutos de tres estaciones de metro y una de Cercanías y varias líneas de autobús, estarás perfectamente comunicado con el centro y otras zonas de la ciudad. - Ocio y naturaleza a un paso: Muy próximo a espacios verdes emblemáticos como Madrid Río y el parque Enrique Tierno Galván y el Planetario. Además, la zona ofrece una interesante oferta cultural y de ocio con lugares como el centro internacional de cultura y de creación artística “Matadero” o el centro comercial Plaza Río, donde encontrar todo tipo de tiendas, restaurantes y entretenimiento. - Ubicación privilegiada dentro de Delicias: Siendo Delicias un barrio concurrido y dinámico, ALEJANDRO FERRANT 26 se encuentra en una tranquila y cuidada calle exclusivamente residencial y con solo dos edificios, utilizada únicamente por los residentes y visitantes. Esto permite ofrecer un ambiente sosegado, alejado del ruido habitual de la zona, y a la vez muy cerca de todos los servicios necesarios. UNA INVERSIÓN QUE CRECE CONTIGO La zona de Delicias y Arganzuela está viviendo un proceso de modernización y trasformación, impulsado por un creciente interés en el área, lo que asegura una revalorización de tu propiedad. La proximidad a proyectos de renovación y mejoras urbanísticas en Delicias y, en general, en Arganzuela, incrementará el valor de tu inmueble a mediano plazo. Alejandro Ferrant 26 es, en definitiva, una fantástica oportunidad de vivir en una promoción de calidad, con diseño, comodidad y una ubicación estratégica, con la certeza de estar adquiriendo una propiedad que ganará valor.",True,newdevelopment,True,True,6735.0,True,False,False,False,[],False,False,693700.0,€,True,False,25000.0,flat,,"Delicias, Madrid","Piso en calle Alejandro Ferrant, 26",False,,,
106995308,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/4a/03/5d/1299881482.webp,,25,3,795000.0,flat,sale,95.0,True,2,2,glorieta de Quevedo,Madrid,Madrid,Chamberí,es,Arapiles,40.432738,-3.7055272,False,https://www.idealista.com/inmueble/106995308/,"Magerit Homes ofrece espectacular vivienda ubicada en una de las zonas mas cotizadas de Madrid, en el corazón Chamberí, en la mismísima, Glorieta de Quevedo,  Espectaculares vistas. Para entrar a vivir: completamente amueblada. Ideal tanto para inversores como para familias.  Vivienda distribuida en dos habitaciones (una de ellas en suite), dos baños, amplia cocina, despacho y salón con comedor. El salón comedor tiene orientación sureste, por lo que tiene luz durante todo el día, además consta de dos luminosos balcones que reciben sol directo por las mañanas y que dan a la glorieta Quevedo. El salon tambien se encuentra separado de los dormitorios y la cocina por una puerta corredera El despacho cuenta con gran capacidad de almacenaje, puesto que tiene un armario empotrado que abarca toda una pared. Los dormitorios con sol de tarde que dan a la fachada posterior colindante con un amplio patio de manzana por lo que son muy luminosas y silenciosas. Ambas habitaciones cuentan con armarios empotrados. Amplia cocina con sol directo en las tardes que consta de encimera de mármol y mesa para comer, electrodomésticos de primeras marcas. El suelo de la cocina es de baldosa hidráulica. Uno de los baños es para dar servicio a toda la vivienda y cuenta con bañera. EL segundo baño se encuentra dentro de la habitación principal y tiene plato de ducha y ventana. Revestido con mármol travertino. La vivienda consta también de una amplia plaza de garaje pegada al portal en el patio de manzana de la propia finca, con acceso a través de un bonito paso de carruajes. Vivienda equipada con aire acondicionado y calefacción individual de gas natural. Gran cantidad de armarios empotrados. Mobiliario y equipamientos incluidos en el precio. Vivienda única y singular tanto por su ubicación distribución y estado de conservación. Ubicación muy céntrica, posibilidad de ir andando a Plaza España, Cibeles, Pintor Rosales... Pegado a la calle Fuencarral donde abundan todo tipo de comercios y servicios ( Tiendas de moda, cines, hostelería, parque infantil) y que esta peatonalizada los fines de semana. Parada de taxis y boca de metro a escasos metros del edificio. La zona es inmejorable, ya que el acceso es por la propia Glorieta que nos ofrece todos los servicios que imaginemos: metro, autobús, bares, restaurantes, bancos, colegios, institutos, centros comerciales,...Centro de salud en la calle Eloy Gonzalo, hospital en Conde Suchil, metro Quevedo en la misma Glorieta. Posibilidad de acceso fácil y rápido a la A6 a través de la calle Fernando el Católico. No dude en llamar y concertar una visita. Mobiliario y equipamiento incluido en el precio. Mejor Ver!",False,good,False,True,8368.0,True,False,True,False,[],False,False,795000.0,€,,,,flat,,"Arapiles, Madrid",Piso en glorieta de Quevedo,,,,
108111022,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/8a/ac/36/1334155132.webp,Atico B,19,6,749600.0,penthouse,sale,105.0,True,1,1,"calle Alejandro Ferrant, 26",Madrid,Madrid,Arganzuela,es,Delicias,40.3948864,-3.6918765,True,https://www.idealista.com/obra-nueva/108111022/,"¡ESTRENA TU NUEVO HOGAR EN EL CORAZÓN DE MADRID! QUEDAN DISPONIBLES 6 DE LAS 12 VIVIENDAS DE LA PROMOCIÓN, ENTRE ELLAS ESTE ESTUPENDO ÁTICO CON UNA GRAN TERRAZA ALEJANDRO FERRANT 26 ENTREGA EN SEPTIEMBRE DE 2025 Ubicación excelente, conectividad inmejorable y un diseño moderno en el centro de Madrid. En una cuidada y tranquila calle del Barrio de Delicias, en el distrito de Arganzuela, se encuentra Alejandro Ferrant 26. Una promoción de obra nueva con solo 12 viviendas, que combina diseño contemporáneo, eficiencia energética y una ubicación excelente para quienes buscan calidad de vida en Madrid. Alejandro Ferrant 26 es un edificio de nueva construcción con una fachada moderna, marcada por líneas rectas en la destacan los cristales, presentes en los grandes ventanales y las barandillas. Una estilizada palillería oculta los tendederos ventilados a la fachada. Materiales actuales le aportan una estética limpia, atemporal y de bajo mantenimiento. ESPACIOS BIEN PENSADOS EN UNA UBICACIÓN INMEJORABLE. Espacios luminosos y bien conectados en Delicias, Madrid.- Arquitectura que optimiza el espacio Distribuciones que maximizan el uso del espacio, ofreciendo estancias bien logradas, cómodas y funcionales.- Abundante luz natural Viviendas exteriores en todas sus estancias, lo que permite que la luz natural inunde cada espacio, aportando calidez a los hogares y un continuo disfrute del maravilloso cielo de Madrid.- Terrazas para el disfrute del cielo y el sol Cada vivienda cuenta con un espacio exterior ideal para disfrutar del aire libre, tener plantas, tomar una copa, leer un libro. Disfrutar de momentos, sin ruidos ni tráfico.- Comodidades adicionales: * Tendederos independientes, equipados con lavadora y secadora, un espacio de lavandería práctico y bien concebido. * La mayoría de las viviendas cuentan con trastero, un valioso desahogo para guardar ropa de temporada, gadgets y otros objetos, sin renunciar al espacio en casa. * Piscina comunitaria, perfecta para refrescarse durante el verano. * Sistema de climatización por suelo radiante/refrigerante y paneles solares para una climatización confortable y sostenible, además de un invaluable ahorro en tus facturas. CONECTIVIDAD Y UBICACIÓN Una atractiva combinación de calidad de vida y buena conectividad.- Conexión directa con el resto de Madrid: A pocos minutos de tres estaciones de metro y varias líneas de autobús, estarás perfectamente comunicado con el centro y otras zonas de la ciudad.- Ocio y naturaleza a un paso: Muy próximo a espacios verdes emblemáticos como Madrid Río y el parque Enrique Tierno Galván. Además, la zona ofrece una interesante oferta cultural y de ocio con lugares como el centro internacional de cultura y de creación artística “Matadero” o el centro comercial Plaza Río, donde encontrar todo tipo de tiendas, restaurantes y entretenimiento.- Ubicación privilegiada dentro de Delicias: Siendo Delicias un barrio concurrido y dinámico, ALEJANDRO FERRANT 26 se encuentra en una tranquila y cuidada calle “en fondo de saco”, exclusivamente residencial y con solo dos edificios, utilizada únicamente por los residentes y visitantes. Esto permite ofrecer un ambiente sosegado, alejado del ruido habitual de la zona, y a la vez muy cerca de todos los servicios necesarios. UNA INVERSIÓN QUE CRECE CONTIGO La zona de Delicias y Arganzuela está viviendo un proceso de modernización y trasformación, impulsado por un creciente interés en el área, lo que asegura una revalorización de tu propiedad. La proximidad a proyectos de renovación y mejoras urbanísticas en Delicias y, en general, en Arganzuela, incrementará el valor de tu inmueble a mediano plazo. Alejandro Ferrant 26 es, en definitiva, una fantástica oportunidad de vivir en una promoción de calidad, con diseño, comodidad y una ubicación estratégica, con la certeza de estar adquiriendo una propiedad que ganará valor.",False,newdevelopment,True,True,7139.0,True,False,False,False,[],False,False,749600.0,€,True,False,25000.0,flat,penthouse,"Delicias, Madrid","Ático en calle Alejandro Ferrant, 26",False,,,
109190986,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/c9/2b/dd/1305594544.webp,SELENE,25,4,268268.0,flat,sale,115.0,True,3,2,"Poligono UZP0202 los Cerros, 87, 157",Madrid,Madrid,Vicálvaro,es,Los Cerros,40.3997037,-3.5418519,True,https://www.idealista.com/obra-nueva/109190986/,"Tu nuevo hogar en Los Cerros. (Esta vivienda incluye 2 plazas de garaje en el precio y un trastero) Descubre Selene, un proyecto de 213 viviendas de Protección Pública (VPPB) en régimen de cooperativa. Viviendas diseñadas para ofrecerte confort, calidad y un estilo de vida inigualable. Destacan por su distribución optimizada, espacios luminosos y acabados modernos.  •Viviendas de 2 y 3 dormitorios con grandes terrazas.  •Urbanización privada con amplias zonas comunes: Piscina, zonas ajardinadas, sala comunitaria y área de juegos infantiles para disfrutar en familia. •Plaza de garaje y trastero incluidos para mayor comodidad. Ubicación privilegiada y excelentes conexiones: Residencial Selene se encuentra en Los Cerros, un barrio en pleno crecimiento dentro del distrito de Vicálvaro, estratégicamente situado junto a la M-45, M-50 y R-3 y previsión de transporte público para una conexión fluida con toda la ciudad. Es el lugar perfecto para quienes buscan un entorno tranquilo y moderno sin renunciar a la cercanía con el centro de la capital. ¡Infórmate y haz tu sueño realidad!  Punto de venta: Avenida de las Suertes 32, Madrid (CITA PREVIA).",False,newdevelopment,True,True,2333.0,True,False,False,False,[],False,False,268268.0,€,True,True,,flat,,"Los Cerros, Madrid","Piso en Poligono Uzp0202 los Cerros, 87, 157",False,,,
107127606,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/c6/ba/0b/1303836319.webp,7237,39,,1430000.0,chalet,sale,1594.0,,10,6,Raya del Palancar - Guadamonte,Madrid,Villanueva de la Cañada,Raya del Palancar - Guadamonte,es,,40.4155572,-3.9659974,False,https://www.idealista.com/inmueble/107127606/,"Espectacular Chalet Independiente en la Urbanización Guadamonte, Villanueva de la Cañada¿Buscas una propiedad única y exclusiva, amplia, con todas las comodidades, con sabor y un excelente diseño de época?. Este impresionante chalet independiente, ubicado en la exclusiva Urbanización Guadamonte, ofrece todo lo que necesitas para disfrutar de un estilo de vida único y privilegiado. Podrás disfrutar en esta vivienda de los mejores momentos de tu vida.   Entorno natural: Ubicada en la cuenca del río Guadarrama, Guadamonte se encuentra rodeada de espacios naturales, ofreciendo un ambiente, tranquilo, sereno y con vistas panorámicas. La parcela esta perfectamente diseñada para aprovechar todas las estaciones del año, con un entorno extraordinario enclavado junto al parque natural. Seguridad: La urbanización cuenta con un sistema de control de accesos y vigilancia las 24 horas, brindando un entorno seguro para sus habitantes.  Características Principales: - Parcela amplia y privada: 5.900 m² de terreno para disfrutar de la tranquilidad y la naturaleza. (Pendiente de Segregar) - Vivienda de gran tamaño: 1.594 m² construidos distribuidos en 2 plantas para mayor comodidad y funcionalidad mas una pequeña buhardilla. Distribución interior: - Planta Principal: - Amplio salón independiente de 80 m² con chimenea y salida a una terraza que rodea toda la vivienda, con vistas espectaculares y perfectamente diseñada para ser disfrutada en verano y primavera como parte de la vivienda. - Cocina con office. - 5 amplios dormitorios en zona privada, incluido el dormitorio principal con baño en suite. - Calefacción de gasoil y eléctrica con placas solares, y aire acondicionado. - Planta buhardilla: - Salón - Despacho con salida a un solárium, ideal para relajarse y disfrutar del entorno. - Entreplanta: - 5 dormitorios adicionales, vestuarios, con zona de servicio y de mantenimiento - 2 baños completos. - Encantadora bodega con Cava de vinos - Garaje para dos vehículos. Zona de ocio y comodidades adicionales: - Piscina climatizada en edificación colindante, ideal para disfrutar todo el año con amplio espacio para gimnasio. - Garaje o almacén de 420 metros - Piscina exterior para los días soleados. Ubicación y estilo de vida:Situada en una urbanización tranquila y bien comunicada, esta propiedad es ideal para quienes buscan amplitud, exclusividad y un entorno natural sin renunciar a la cercanía de todos los servicios: colegios, centros comerciales y conexiones con Madrid. La Urbanización Guadamonte, situada en un enclave extraordinario en el curso del rio Guadarrama y del parque natural, rodeada de una exuberante naturaleza, tranquilidad y buen gusto.  A 20 km de Madrid, ofrece todos los servicios que necesitas con diversas opciones educativas de máximo nivel cerca  y de transporte publico para sus residentes.   ¡No dejes pasar esta oportunidad única! Contáctanos para más información y para agendar una visita. Este chalet es una joya que no querrás dejar escapar. Además, se valorará la posibilidad de aceptar una vivienda como parte del precio, sujeta a evaluación por parte de la propiedad. Para concertar una visita y descubrir todas las ventajas y posibilidades de esta propiedad puedes llamarnos al  /  REF: 7237.",True,good,False,,897.0,True,False,False,False,[],False,False,1430000.0,€,True,True,,chalet,independantHouse,"Raya del Palancar - Guadamonte, Villanueva de la Cañada",Casa independiente,,,,
107471252,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/07/18/6e/1271249918.webp,2º,22,2,985000.0,flat,sale,147.0,True,3,2," Juan Pérez Zuñiga, 18",Madrid,Madrid,Ciudad Lineal,es,Concepción,40.4426466,-3.6481625,True,https://www.idealista.com/obra-nueva/107471252/,"ENTREGA ABRIL 2026. Nuevo Mundo Arturo Soria es una exclusiva urbanización privada de 9 viviendas, con un magnífico jardín de 800 m2 con piscina, zona de juegos infantil y zona deportiva, proyectada por el prestigioso estudio TOUZA ARQUITECTOS. Modernidad. Funcionalidad. Dinamismo. Todo reunido en un diseño de amplios y luminosos espacios, cuidando desde la eficiencia energética hasta el último detalle. Las viviendas están orientadas a sur, con terraza y vistas al jardín, garantizando su magnífica luminosidad. Diseñamos nuestras viviendas buscando la reducción de la huella ambiental, apostando por energías renovables y aplicando las últimas tecnologías en climatización ventilación y aislamientos  Las viviendas cuentan con tecnología de captación de la energía del aire(aerotermia), lo que reduce significativamente la dependencia de combustibles fósiles. Todo ello nos permite obtener la máxima calificación energética. Esta exclusiva promoción se encuentra en una de las zonas más privilegiadas del Norte de Madrid, a pocos minutos del centro comercial y financiero de la capital. Extensas zonas verdes y parques como el Juan Carlos I y el Juan Pablo II, colegios de gran prestigio, centros comerciales, hospitales, hacen del entorno un lugar ideal para una forma de vida tranquila y familiar. Este entorno combina lujo, comodidad y seguridad, en un estilo de vida exclusivo y deseable. Todo ello permite disfrutar de una gran cantidad de servicios de calidad y de una magnífica red de comunicaciones. Una realidad con personalidad propia, para aquellos que no quieren tener que elegir. Para aquellos que lo quieren todo Desde su fundación hace 60 años, Nuevo Mundo se rige por un constante esfuerzo por aplicar la calidad como modus operandi de nuestra empresa. Todo el personal que interviene en un proyecto nuevo conoce a fondo los estándares exigidos, permitiendo así el logro de 3 objetivos fundamentales: -Selección directa de los instaladores más cualificados y de mayor garantía y confianza, capaces de alcanzar con su trabajo los niveles exigidos. -Severos controles de calidad en cada fase de construcción -Cumplimiento de los plazos de ejecución previstos. Como resultado de todo ello, la calidad es un valor indiscutiblemente asociado a nuestra marca. En cuanto a los materiales que utilizamos en nuestras viviendas, son elegidos en función de 2 factores esenciales: belleza y calidad. Todo el equipamiento responde a criterios de vanguardia, por lo que incorporamos las últimas innovaciones del mercado en climatización, instalaciones y aislamientos tanto térmicos como acústicos TRANSPORTES Y SERVICIOS Estación de Metro: Linea 7 Barrio Concepción Autobuses: líneas 21,70,114, N4 Accesos: M-30, M-40, A-2, M-12 (Aeropuerto). Hospitales: Clínica Universitaria de Navarra, Hospital MD Anderson, Hospital Vithas Arturo Soria   Centros educativos: Liceo Francés, Montessori International School, Brains Nursery Orgáz, Colegio Madrid, San José del Parque.",False,newdevelopment,True,True,6701.0,True,False,False,False,[],False,False,985000.0,€,True,True,,flat,,"Concepción, Madrid","Piso en Juan Pérez Zuñiga, 18",False,,,
107471277,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/04/6a/3b/1271249915.webp,1º,22,1,975000.0,flat,sale,147.0,True,3,2," Juan Pérez Zuñiga, 18",Madrid,Madrid,Ciudad Lineal,es,Concepción,40.4426466,-3.6481625,True,https://www.idealista.com/obra-nueva/107471277/,"Obras iniciadas. ENTREGA ABRIL 2026. Nuevo Mundo Arturo Soria es una exclusiva urbanización privada de 9 viviendas, con un magnífico jardín de 800 m2 con piscina, zona de juegos infantil y zona deportiva, proyectada por el prestigioso estudio TOUZA ARQUITECTOS. Modernidad. Funcionalidad. Dinamismo. Todo reunido en un diseño de amplios y luminosos espacios, cuidando desde la eficiencia energética hasta el último detalle. Las viviendas están orientadas a sur, con terraza y vistas al jardín, garantizando su magnífica luminosidad. Diseñamos nuestras viviendas buscando la reducción de la huella ambiental, apostando por energías renovables y aplicando las últimas tecnologías en climatización ventilación y aislamientos  Las viviendas cuentan con tecnología de captación de la energía del aire(aerotermia), lo que reduce significativamente la dependencia de combustibles fósiles. Todo ello nos permite obtener la máxima calificación energética. Esta exclusiva promoción se encuentra en una de las zonas más privilegiadas del Norte de Madrid, a pocos minutos del centro comercial y financiero de la capital. Extensas zonas verdes y parques como el Juan Carlos I y el Juan Pablo II, colegios de gran prestigio, centros comerciales, hospitales, hacen del entorno un lugar ideal para una forma de vida tranquila y familiar. Este entorno combina lujo, comodidad y seguridad, en un estilo de vida exclusivo y deseable. Todo ello permite disfrutar de una gran cantidad de servicios de calidad y de una magnífica red de comunicaciones. Una realidad con personalidad propia, para aquellos que no quieren tener que elegir. Para aquellos que lo quieren todo Desde su fundación hace 60 años, Nuevo Mundo se rige por un constante esfuerzo por aplicar la calidad como modus operandi de nuestra empresa. Todo el personal que interviene en un proyecto nuevo conoce a fondo los estándares exigidos, permitiendo así el logro de 3 objetivos fundamentales: -Selección directa de los instaladores más cualificados y de mayor garantía y confianza, capaces de alcanzar con su trabajo los niveles exigidos. -Severos controles de calidad en cada fase de construcción -Cumplimiento de los plazos de ejecución previstos. Como resultado de todo ello, la calidad es un valor indiscutiblemente asociado a nuestra marca. En cuanto a los materiales que utilizamos en nuestras viviendas, son elegidos en función de 2 factores esenciales: belleza y calidad. Todo el equipamiento responde a criterios de vanguardia, por lo que incorporamos las últimas innovaciones del mercado en climatización, instalaciones y aislamientos tanto térmicos como acústicos TRANSPORTES Y SERVICIOS Estación de Metro: Linea 7 Barrio Concepción Autobuses: líneas 21,70,114, N4 Accesos: M-30, M-40, A-2, M-12 (Aeropuerto). Hospitales: Clínica Universitaria de Navarra, Hospital MD Anderson, Hospital Vithas Arturo Soria   Centros educativos: Liceo Francés, Montessori International School, Brains Nursery Orgáz, Colegio Madrid, San José del Parque.",False,newdevelopment,True,True,6633.0,True,False,False,False,[],False,False,975000.0,€,True,True,,flat,,"Concepción, Madrid","Piso en Juan Pérez Zuñiga, 18",False,,,
