propertyCode,thumbnail,externalReference,numPhotos,floor,price,propertyType,operation,size,exterior,rooms,bathrooms,address,province,municipality,district,country,neighborhood,latitude,longitude,showAddress,url,description,hasVideo,newDevelopment,hasLift,newDevelopmentFinished,priceByArea,hasPlan,has3DTour,has360,hasStaging,notes,topNewDevelopment,topPlus,priceInfo.price.amount,priceInfo.price.currencySuffix,parkingSpace.hasParkingSpace,parkingSpace.isParkingSpaceIncludedInPrice,detailedType.typology,detailedType.subTypology,suggestedTexts.subtitle,suggestedTexts.title,status,priceInfo.price.priceDropInfo.formerPrice,priceInfo.price.priceDropInfo.priceDropValue,priceInfo.price.priceDropInfo.priceDropPercentage,highlight.groupDescription
108915648,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/5f/71/ab/1367163501.webp,a01Jy00000jvuWeIAI,15,6,1295500.0,penthouse,sale,166.0,True,3,3,"Fernández Caro, 7",Madrid,Madrid,Ciudad Lineal,es,Concepción,40.4424991,-3.6474042,True,https://www.idealista.com/obra-nueva/108915648/,"DESCUBRE EN MOSAIK, LA COMPOSICIÓN PERFECTA 22 VIVIENDAS EXCLUSIVAS DE OBRA NUEVA CON TERRAZA DE 2 Y 3 DORMITORIOS (PLAZAS DE GARAJE Y LOCKERS INCLUIDOS EN EL PRECIO)   MOSAIK es un proyecto innovador y vanguardista, donde prima diseño y funcionalidad, que se ubica en la calle Fernández Caro, 7, a pocos metros de la calle Arturo Soria, una de las principales arterias de Madrid. El complejo residencial dispone de unos espacios comunes para hacer tu día a día más agradable: piscina, solárium panorámico, gimnasio y zona de coworking. Las viviendas están perfectamente orientadas, con amplios ventanales que garantizan una alta luminosidad, dotadas de una cuidada selección de materiales, y cocinas totalmente equipadas con elegante diseño y excelentes calidades. Además, cuentan con un innovador sistema de climatización por aerotermia y geotermia, suelo radiante y suelo refrescante, ventilación mecánica de doble flujo con intercambiador de calor, elementos que nos proporcionarán el máximo confort y eficiencia energética. MOSAIK te ofrece diseño y equipamiento con todos los servicios disponibles, en una de las mejores zonas de Madrid. Un residencial, enfocado a ofrecerte una alta calidad de vida para hacer tu día a día más cómodo y sencillo.  Para ampliar la información, puedes concertar una visita a nuestras oficinas centrales en la calle Alcalá 96, 5º-Dcha. frente a El Corte Inglés de Goya.",False,True,True,False,7804.0,True,False,False,False,[],False,False,1295500.0,€,True,True,flat,penthouse,"Concepción, Madrid","Ático en Fernández Caro, 7",,,,,
104234141,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/c9/ce/1e/1213926198.webp,MRL-1002,50,,430000.0,chalet,sale,171.0,,4,2,calle de Redondillo,Madrid,Moralzarzal,Zona Los Lagos,es,,40.6739175,-3.9681969,False,https://www.idealista.com/inmueble/104234141/,"¡Descubre tu nuevo hogar en Moralzarzal!  ¡NO SE COBRAN HONORARIOS A LA PARTE COMPRADORA! Este espectacular chalet adosado de esquina, ubicado en una de las mejores zonas céntricas de la ciudad, te ofrece una vida de lujo y comodidad. Situado en una urbanización cerrada, disfrutarás de exclusivas instalaciones como piscina, jardines, pistas de tenis y cancha de baloncesto. Con una construcción de 171 m² distribuidos en tres plantas y una parcela de 145 m², este inmueble es perfecto para familias que buscan espacio y calidad de vida. El chalet cuenta con un amplio salón con chimenea, ideal para reuniones familiares o momentos de relax. La cocina ha sido recientemente reformada y tiene acceso directo a una terraza y un patio trasero, perfectos para disfrutar del aire libre. En la planta inferior, encontrarás un dormitorio recién creado y reformado, mientras que la planta superior alberga tres dormitorios más, incluyendo uno en suite con vestidor. Los suelos de gres y parquet y las ventanas de aluminio o PVC con cristal climalit de doble grosor garantizan confort y eficiencia energética. Además, el chalet dispone de un garaje cerrado para dos vehículos y un trastero, ofreciendo espacio adicional para almacenamiento.  Las reformas realizadas desde 2014 hasta el año pasado aseguran que la propiedad se encuentra en excelente estado.  Los gastos de comunidad son de solo 95 €, e incluyen jardinería, mantenimiento de zonas comunes y piscina. Con una calificación energética D y emisiones CO2 clase E, este chalet no solo es hermoso, sino también eficiente.  ¡No pierdas la oportunidad de vivir en esta joya inmobiliaria!",True,False,,,2515.0,True,False,True,False,[],False,False,430000.0,€,True,True,chalet,semidetachedHouse,"Zona Los Lagos, Moralzarzal",Chalet pareado en calle de Redondillo,good,,,,
109205395,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/72/a1/23/1367436578.webp,,10,2,355006.0,flat,sale,99.0,True,2,2,"calle Lacedón, 7",Madrid,Villaviciosa de Odón,Centro,es,,40.3583625,-3.9046283,True,https://www.idealista.com/obra-nueva/109205395/,"Viviendas de Renta Libre en Régimen de Cooperativa Calle Lacedón 7-9, Villaviciosa de Odón (Madrid) Fecha estimada de entrega: SEGUNDO TRIMESTRE DE 2028 Nos complace presentarle una exclusiva promoción de 16 viviendas en régimen de cooperativa, ubicadas en el corazón de Villaviciosa de Odón, uno de los municipios más valorados de la Comunidad de Madrid por su excelente calidad de vida, servicios y cercanía a la capital. Características de la Promoción: Viviendas de 1 y 2 dormitorios Plaza de garaje incluida Viviendas en planta baja con amplios patios y otras con terraza Ubicación privilegiada en el centro urbano Ideales como primera vivienda, inversión o para quienes desean mejorar su calidad de vida en un entorno cómodo, accesible y tranquilo. Entorno y Servicios: Ubicadas en una zona consolidada y tranquila, con todos los servicios a pocos pasos: •Supermercados •Restaurantes y cafeterías •Bancos •Paradas de autobús y taxi •Comercios y centros educativos Calidades Destacadas: •Calificación Energética A •Fachada moderna, respetuosa con la estética tradicional del municipio •Sistema de aerotermia para calefacción, refrigeración y agua caliente sanitaria (ACS) •Altos estándares de confort y eficiencia energética ¡Llámenos y venga a conocer esta magnífica promoción! Estaremos encantados de informarle y mostrarle todos los detalles que hacen de esta oportunidad una excelente elección de vivienda. Las imágenes publicadas son simulaciones orientativas que pueden sufrir modificaciones por motivos técnicos, comerciales o legales.",False,True,True,False,3586.0,True,False,False,False,[],False,False,355006.0,€,True,True,flat,,"Centro, Villaviciosa de Odón","Piso en calle Lacedón, 7",newdevelopment,,,,
36089367,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/76/04/a1/1337206165.webp,1932,32,4,790000.0,flat,sale,125.0,True,3,2,Avenida de Niceto Alcalá Zamora,Madrid,Madrid,Hortaleza,es,Sanchinarro,40.4986941,-3.6584041,False,https://www.idealista.com/inmueble/36089367/,Piso en Sanchinarro. 125 metros cuadrados. Cuarta planta. Totalmente exterior. Orientación Sur. Amplio salón comedor. Tres dormitorios (antes cuatro). Dos baños. Aire acondicionado.  Una plaza de garaje. Trastero. Zonas comunes con jardines. Piscina. Padel.  Sala comunitaria. Gimnasio.  Vigilancia 24 h. Actualmente Arrendado.,False,False,True,,6320.0,True,False,True,False,[],False,False,790000.0,€,True,True,flat,,"Sanchinarro, Madrid",Piso en Avenida de Niceto Alcalá Zamora,good,,,,
464681,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/f3/2e/41/240376690.webp,1512,21,,2800000.0,chalet,sale,700.0,,6,6,"calle Paradores, 3",Madrid,Madrid,Moncloa,es,El Plantío,40.4763621,-3.8288946,True,https://www.idealista.com/inmueble/464681/,"MAGNÍFICA CASA CON PISCINA Y JARDÍN. Si busca vivir dentro de un entorno natural pero sin renunciar a la cercanía a Madrid, CALIBE ASESORES INMOBILIARIOS pone a su disposición este precioso chalet de diseño, con 2500 m. de parcela, en un estado impecable (prácticamente a estrenar) e inmejorables calidades. La vivienda se ubica en la zona norte de Madrid, en el distrito de Moncloa -Aravaca, concretamente en La Florida - Casaquemada, dentro de una urbanización cerrada, seguridad 24 horas, jardines, pista de pádel, zona de aparcamiento para visitas que se caracteriza por su tranquilidad y privacidad y que, para su comodidad, tiene una parada de autobús a la entrada de la urbanización. La vivienda se distribuye en 3 plantas y dispone de 4 dormitorios en suite, salón, comedor, despacho, aseo de invitados, varias terrazas, porche, garaje para cuatro vehículos con sala de calderas y trastero. Además tiene una zona de servicio con dormitorio, baño, cuarto de plancha, cocina y office. Como servicios añadidos, podemos destacar que dispone de ascensor, aire acondicionado y calefacción por suelo radiante. En el exterior encontramos un jardín de maravilloso diseño con piscina privada Si necesita más información acerca de esta magnífica vivienda, o quiere visitarlo para ver todas las posibilidades que ofrece, puede contactar con nosotros por teléfono o a través de nuestra web, CALIBE ASESORES INMOBILIARIOS le ofrece un asesoramiento completo y personalizado durante toda la gestión.",True,False,,,4000.0,True,False,True,False,[],False,False,2800000.0,€,True,True,chalet,independantHouse,"El Plantío, Madrid","Casa independiente en calle Paradores, 3",good,,,,
107321745,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/0f/4e/48/1310218628.webp,,33,4,2250000.0,flat,sale,279.0,True,4,4,paseo de la Castellana,Madrid,Madrid,Tetuán,es,Cuzco-Castillejos,40.4597413,-3.6904909,False,https://www.idealista.com/inmueble/107321745/,"En una de las zonas más prestigiosas de la ciudad, este piso único combina a la perfección elegancia y confort, ofreciendo una distribución magnífica con cuatro ambientes exteriores que se llenan de luz natural. Con 279 m² este espacio te sorprenderá con sus dos ambientes de salón, una zona de ocio y televisión, y un amplio salón-comedor conectados, ideales para disfrutar en familia o con amigos. Los dormitorios son de gran tamaño, varios de ellos con baño en suite, garantizando privacidad y comodidad. La cocina moderna, equipada con encimera de granito, cuenta además con una zona de servicio independiente y baño y con zona de lavandería. La terraza se encuentra acristalada, actualmente utilizada como despacho, que ofrece vistas impresionantes y una luminosidad excepcional. Los materiales de primera calidad se reflejan en los suelos de madera noble y los baños con acabados impecables. El edificio cuenta con garaje directo y trastero, facilitando tu día a día. Además, la ubicación es inmejorable, con acceso inmediato a las mejores zonas de ocio y transporte público justo en la puerta.  No pierdas la oportunidad de vivir en este exclusivo piso, donde cada detalle ha sido pensado para ofrecerte el máximo confort y lujo. La vivienda tiene, 279 metros cuadrados según catastro y 227,70 metros cuadrados en escrituras. No agencias, gracias.",False,False,True,,8065.0,True,False,True,False,[],False,False,2250000.0,€,True,True,flat,,"Cuzco-Castillejos, Madrid",Piso en paseo de la Castellana,good,,,,
108910225,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/29/32/28/1361914409.webp,,122,,590000.0,chalet,sale,356.0,,5,4,"UR VERDUGAL EL, 1",Madrid,Garganta de los Montes,,es,,40.9459272,-3.6968495,True,https://www.idealista.com/inmueble/108910225/,"B2V Inmobiliaria comercializa en EXCLUSIVA María Isabel Jareño  Descubre este magnifico chalet ubicado en la localidad de Garganta de los Montes, en concreto, en la tranquila y bien situada urbanización ""Los Verdugales"" en pleno Valle de Lozoya, que ha su vez forma parte del Parque de Guadarrama protegido por la CAM. La casa está cubierta con piedra de Manjrón original, de por si, esta fue la última casa en la que se empleo este tipo de piedra, antes de que se cerrara la cantera.  Bajo sus tejas lleva Onduline para proteger la cubierta de la humedad, filtraciones y condensación alargando así la vida útil de la cubierta. Esta excelente construcción, con calidades de primera, consta de tres plantas muy luminosas. PLANTA BAJA: Amplio hall que nos lleva a un aseo de cortesía, entrada al amplio garaje, cocina y magnífico salón con dos zonas bien diferenciadas. PRIMERA PLANTA: Tres dormitorios y dos baños, uno con plato de ducha y otro con jacuzzi y escalera de caracol que da acceso a la tercera planta. TERCERA PLANTA: En esta extensa bajo cubierta tenemos dos dormitorios y otro baño con plato de ducha. La calefacción de gasoil, que se encuentra en el garaje, calienta toda la casa, pero además en el salón encontramos una chimenea con cassette que hará las delicias en los inviernos fríos de la zona. PARCELA: Dispone de registros por todo el jardín para conectar el riego automático, podrán disfrutar en su preciosa piscina en los cálidos veranos y pasar unos deliciosos ratos en familia o con amigos en el cenador preparando unas deliciosas barbacoas. Encontramos también una caseta para guardar fuera de temporada todas las hamacas y utensilios para el cuidado del la piscina y el jardín.  Es una amplio espacio donde podrán disfrutar tanto del porche delantero, como del trasero. La comunidad la pasan en tres recibos al año de 248€ No pierdas la ocasión de visitar esta preciosa casa si te gusta la tranquilidad, la intimidad y el descanso, con agradables paseos al río Lozoya que se encuentra cerca. Para más información o concretar una visita pueden ponerse en contacto. Maribel Jareño Porque nos tomamos muy en serio nuestro cometido, solo trabajamos en EXCLUSIVA.",True,False,,,1657.0,False,False,True,False,[],False,False,590000.0,€,True,True,chalet,independantHouse,Garganta de los Montes,"Casa independiente en Ur Verdugal El, 1",good,,,,
108516972,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/3d/90/3f/1347256130.webp,,19,1,220000.0,studio,sale,50.0,True,0,1,Barrio Las Matas- Peñascales,Madrid,Las Rozas de Madrid,Las Matas- Peñascales,es,Las Matas- Peñascales,40.5636286,-3.9026512,False,https://www.idealista.com/inmueble/108516972/,"Calificada como oficina. Bonita oficina-estudio de 50 m2. Planta primera con ascensor. Hall distribuidor, cocina abierta al salón-dormitorio y baño completo independiente. Bomba de calor. Despacho profesional. Dispone de conserje en horario de mañana. Plaza de garaje amplia en parking comunitario.  Entorno de chalets y zonas verdes. Zona residencial y muy tranquila. Magníficas comunicaciones con excelente acceso a la A6. Próximo a todos los comercios, colegios, parada de autobús, Estación de Renfe a tan solo 10 min andando, y en general, a todos los servicios.",True,False,True,,4400.0,True,False,True,False,[],False,False,220000.0,€,True,True,flat,studio,"Las Matas- Peñascales, Las Rozas de Madrid",Estudio,good,,,,
108916839,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/51/18/34/1367165620.webp,a01Jy00000jvuWeIAI,15,1,750500.0,flat,sale,108.0,True,2,2,"Fernández Caro, 7",Madrid,Madrid,Ciudad Lineal,es,Concepción,40.4424991,-3.6474042,True,https://www.idealista.com/obra-nueva/108916839/,"DESCUBRE EN MOSAIK, LA COMPOSICIÓN PERFECTA 22 VIVIENDAS EXCLUSIVAS DE OBRA NUEVA CON TERRAZA DE 2 Y 3 DORMITORIOS (PLAZAS DE GARAJE Y LOCKERS INCLUIDOS EN EL PRECIO)   MOSAIK es un proyecto innovador y vanguardista, donde prima diseño y funcionalidad, que se ubica en la calle Fernández Caro, 7, a pocos metros de la calle Arturo Soria, una de las principales arterias de Madrid. El complejo residencial dispone de unos espacios comunes para hacer tu día a día más agradable: piscina, solárium panorámico, gimnasio y zona de coworking. Las viviendas están perfectamente orientadas, con amplios ventanales que garantizan una alta luminosidad, dotadas de una cuidada selección de materiales, y cocinas totalmente equipadas con elegante diseño y excelentes calidades. Además, cuentan con un innovador sistema de climatización por aerotermia y geotermia, suelo radiante y suelo refrescante, ventilación mecánica de doble flujo con intercambiador de calor, elementos que nos proporcionarán el máximo confort y eficiencia energética. MOSAIK te ofrece diseño y equipamiento con todos los servicios disponibles, en una de las mejores zonas de Madrid. Un residencial, enfocado a ofrecerte una alta calidad de vida para hacer tu día a día más cómodo y sencillo.  Para ampliar la información, puedes concertar una visita a nuestras oficinas centrales en la calle Alcalá 96, 5º-Dcha. frente a El Corte Inglés de Goya.",False,True,True,False,6949.0,True,False,False,False,[],False,False,750500.0,€,True,True,flat,,"Concepción, Madrid","Piso en Fernández Caro, 7",,,,,
108844170,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/b2/79/44/1356769920.webp,AP0095,25,2,249000.0,flat,sale,30.0,False,1,1,calle de las Minas,Madrid,Madrid,Centro,es,Malasaña-Universidad,40.4235642,-3.7066385,False,https://www.idealista.com/inmueble/108844170/,"BSG Real Estate ofrece este apartamento exterior en venta, situado en finca tradicional de corrala, en pleno barrio de Malasaña. La vivienda tiene 30 m² construidos. Cuenta con salón, dormitorio independiente, cocina y baño. Además, incluye trastero privado en la misma planta. Junto a la entrada, la vivienda dispone de un espacio exterior de uso privativo, abierto a la corrala, que puede utilizarse como zona de descanso o desahogo. Aunque no es un balcón cerrado, permite colocar una mesa o silla y ventilar la vivienda al exterior. El salón es exterior hacia ese espacio. El dormitorio cuenta con armario empotrado. La cocina se encuentra en un espacio separado y el baño dispone de ducha. Ubicado en una calle tranquila, con acceso rápido a transporte público, supermercados, comercio de barrio, universidades y zonas como la Plaza del Dos de Mayo o Conde Duque. En BSG Real Estate estamos comprometidos a ofrecerte asesoría personalizada, ya sea que estés buscando vender tu inmueble o realizar una inversión en Madrid. Con más de 400 operaciones exitosas en los últimos 12 años, nuestros asesores especializados te guiarán en cada paso del proceso. No dudes en visitarnos en nuestra oficina en la calle Embajadores 42 para resolver cualquier duda que tengas. [IW].",True,False,False,,8300.0,False,False,True,False,[],False,False,249000.0,€,,,flat,,"Malasaña-Universidad, Madrid",Piso en calle de las Minas,good,,,,
