propertyCode,thumbnail,externalReference,numPhotos,floor,price,propertyType,operation,size,exterior,rooms,bathrooms,address,province,municipality,district,country,latitude,longitude,showAddress,url,description,hasVideo,status,newDevelopment,hasLift,newDevelopmentFinished,priceByArea,hasPlan,has3DTour,has360,hasStaging,notes,topNewDevelopment,topPlus,priceInfo.price.amount,priceInfo.price.currencySuffix,parkingSpace.hasParkingSpace,parkingSpace.isParkingSpaceIncludedInPrice,detailedType.typology,detailedType.subTypology,suggestedTexts.subtitle,suggestedTexts.title,neighborhood,priceInfo.price.priceDropInfo.formerPrice,priceInfo.price.priceDropInfo.priceDropValue,priceInfo.price.priceDropInfo.priceDropPercentage
107252906,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/73/bd/da/1307483318.webp,TIPO 14  SEGUNDO DUPLEX ,31,2,413396.0,duplex,sale,79.0,True,1,2,"calle Cuesta, 5",Madrid,Majadahonda,Casco Antiguo,es,40.4724797,-3.872327,True,https://www.idealista.com/obra-nueva/107252906/,"Últimas viviendas disponibles! VO Private Real Estate presenta en Majadahonda en exclusiva, este proyecto de lujo Residencial Cuesta Descubre tu nuevo hogar, en pleno corazón de Majadahonda rodeada de todo tipo de servicios. Promoción donde la elegancia, diseño y calidades la hacen única en todo el municipio. La armonía entre el diseño clásico y moderno cobra vida, consiguiendo el máximo confort en todos los detalles. Urbanización privada con amplias zonas verdes y piscina comunitaria. 19 viviendas de 1 y 2 dormitorios con terraza, una práctica distribución, creando amplios espacios de gran luminosidad y una cuidadosa selección de materiales de la más alta calidad. Cada vivienda ha sido pensada para ofrecer la máxima funcionalidad para tu comodidad. Con las últimas y más eficientes tecnologías de construcción, incluyendo aerotermia con suelo radiante-refrescante. Calificación Energética A + Plazas de garaje y trastero incluidas en el precio. Solicita tu cita previa y te esperamos en nuestra oficina para contarte todos los detalles y condiciones. Aprovecha y ven a reservar una de las últimas viviendas que nos quedan.",False,newdevelopment,True,True,False,5233.0,True,False,False,False,[],False,False,413396.0,€,True,True,flat,duplex,"Casco Antiguo, Majadahonda","Dúplex en calle Cuesta, 5",,,,
109216967,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/7b/df/9a/1367742368.webp,07413,2,,242000.0,chalet,sale,289.0,,3,1,calle de Madrid,Madrid,Mejorada del Campo,,es,40.3999644,-3.4891859,False,https://www.idealista.com/inmueble/109216967/,"AD- Oportunidad única de adquirir una vivienda para derruir situada en la calle Madrid número 6, en el municipio de Mejorada del Campo. Esta propiedad se encuentra sobre un terreno urbano con una superficie total de 289 m2 y data del año 1960. Aunque actualmente presenta condiciones que no son habitables, su ubicación privilegiada ofrece múltiples posibilidades para desarrollar un nuevo proyecto residencial según las normativas urbanísticas vigentes. La casa cuenta con jardín privado orientado al sur y este, ideal para disfrutar de luz natural durante todo el día; además dispone de trastero y está distribuida en dos plantas donde se encuentran tres dormitorios amplios junto a un baño completo. Este es sin duda un espacio perfecto tanto para inversionistas como desarrolladores interesados por crear nuevas viviendas o proyectos personalizados.",False,renew,False,,,837.0,False,False,False,False,[],False,False,242000.0,€,,,chalet,independantHouse,Mejorada del Campo,Casa independiente en calle de Madrid,,,,
109215259,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/19/e6/bd/1367688318.webp,Valdemanco,62,,410000.0,chalet,sale,270.0,,6,3,Valdemanco,Madrid,Valdemanco,,es,40.8718236,-3.661534,False,https://www.idealista.com/inmueble/109215259/,"GPHOME VENDE MAGNIFICO CHALET ADOSADO DE 3 PLANTAS EN VALEMANCO. La casa cuenta con 270m2 construidos sobre amplia parcela con jardín, garaje y zonas comunes en urbanización privada. La casa se encuentra ubicada en magnifica urbanización privada. Se distribuye en 3 plantas y se encuentra en buen estado para entrar a vivir. La casa cuenta con placas solares fotovoltaicas, lo que genera una nota reducción en el consumo energético. La vivienda se distribuye en 3 plantas: en la planta baja encontramos el garaje con capacidad para 2 coches y un tercer coche en el exterior; un amplio trastero; 2 habitaciones multifuncionales (ideal como sala de juegos, gimnasio, despacho, etc. ) un salón común y un baño completo con plato de ducha. En la primer planta tenemos el amplio porche de la casa; cocina totalmente independiente y muy amplia; salón amplio y luminoso con salida directa al jardín trasero de la casa; 2 dormitorios y un baño completo. En la planta superior tenemos un salón distribuidor; 2 dormitorios amplios y un baño completo con bañera. La casa cuenta con una gran cantidad de extras y mejoras como las placas solares y además pertenece a una urbanización con piscina, pista de tenis y cancha de baloncesto.",False,good,False,,,1519.0,False,False,False,False,[],False,False,410000.0,€,True,True,chalet,terracedHouse,Valdemanco,Chalet adosado en Valdemanco,,,,
109176013,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/03/72/8b/1366517677.webp,B74 Ático A,15,4,999000.0,penthouse,sale,104.0,True,3,2,Barrio Peñagrande,Madrid,Madrid,Fuencarral,es,40.4766316,-3.7373448,False,https://www.idealista.com/obra-nueva/109176013/,"¡Últimas 4 viviendas disponibles en Peñagrande, Madrid!  Descubre esta exclusiva promoción en uno de los barrios menos densamente poblados de Madrid. Viviendas amplias y luminosas de 3 y 4 dormitorios, diseñadas para ofrecer el máximo confort y calidad de vida. Entre las últimas unidades disponibles se encuentra un espectacular dúplex de hasta 200 m², además de áticos con dos terrazas. ¿Quién quiere solo una terraza cuando se pueden tener dos?  Y además.. . - Zonas comunes de ensueño: piscina comunitaria, zonas infantiles y jardín con zonas verdes.  Ubicación inmejorable en Peñagrande, con todos los servicios, excelente, comunicación y un entorno tranquilo.  ¡No dejes pasar esta oportunidad! Últimas unidades disponibles.  **Las imágenes están amuebladas virtualmente. Las viviendas se entregan sin mobiliario**.  (Impuestos, notaría y registros no incluidos).",False,,True,True,True,9606.0,True,False,False,False,[],False,False,999000.0,€,True,True,flat,penthouse,"Peñagrande, Madrid",Ático,Peñagrande,,,
108829303,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/23/42/8f/1356345754.webp,P2 2ºB,15,2,662438.0,flat,sale,81.0,True,2,2,"calle Cantalejo, 19",Madrid,Madrid,Fuencarral,es,40.4736193,-3.7352716,True,https://www.idealista.com/obra-nueva/108829303/,"NUEVO PROYECTO JUNTO A PUERTA DE HIERRO Residencial Zenith es un proyecto de 117 exclusivas viviendas de 1, 2 y 3 dormitorios con amplias y variadas zonas comunes. Precio desde 450.067€ con plaza de garaje y trastero incluido. ARQUITECTURA DE AUTOR El diseño arquitectónico de Zenith se caracteriza por un diseño escultórico y vanguardista, donde los volúmenes curvos aportan un dinamismo único. Sus líneas fluidas generan una sensación de movimiento constante, envolviendo el edificio con una elegancia orgánica que El diseño arquitectónico de Zenith se caracteriza por sus líneas rectas y depuradas, creando una estética moderna y sofisticada que se integra perfectamente con su entorno. ZENITH NO SOLO SON VIVIENDAS: EL ARTE DE VIVIR Disfrute de un oasis privado sin salir de casa. Zenith ha sido concebido para ofrecer una experiencia de vida inigualable. Las zonas comunes han sido cuidadosamente diseñadas para responder a los más altos estándares de confort, privacidad y estilo de vida. Podrá disfrutar de piscina desbordante y solárium que invitan al relax en los meses más calurosos. Además, Zenith ofrece un rooftop con terraza panorámica y gastroteca. En la planta baja la Sala Club ha sido diseñada como un espacio versátil para las celebraciones privadas. El Coworking está pensado para quienes combinan vida personal y profesional en el mismo entorno. Para los amantes del deporte, Zenith dispone de gimnasio tanto interior como exterior, sauna y aparcamiento para bicicletas. Los más pequeños disponen de un espacio exclusivo para el juego tanto exterior como interior. Podrá hacer uso de buzones de paquetería para la recepción de paquetes. Sostenibilidad y ahorro energético Las viviendas de ZENITH están preparadas para obtener una Calificación Energética A. Esto significa que tendrán un mínimo impacto sobre el medio ambiente, al igual que se reducirá el consumo de energía, afectando directamente al importe de las facturas de cada usuario. UBICACIÓN Zenith estará ubicado en una de las zonas más exclusivas de Madrid, Puerta de Hierro, concretamente en la calle Cantalejo. Caracterizada por su entorno privilegiado, esta ubicación ofrece tranquilidad, privacidad y naturaleza, sin renunciar a la proximidad con el centro de Madrid y sus principales servicios. Entorno verde y exclusivo: Situado en un enclave rodeado de naturaleza, cerca del Monte de El Pardo, garantizando aire puro y un ambiente relajado. Accesibilidad y conexiones: Excelentes conexiones con el centro de Madrid mediante la M-30, M-40 y A-6, así como transporte público cercano. Seguridad y privacidad: Urbanización de alto nivel con seguridad 24/7, perfecta para quienes buscan tranquilidad en un entorno privilegiado. Servicios de primer nivel: Cercanía a colegios internacionales, hospitales de prestigio, clubes deportivos como el Real Club de Puerta de Hierro y una amplia oferta gastronómica y comercial en zonas como Moncloa y La Vaguada. PERSONALIZACIÓN En Zenith se ofrece la posibilidad de personalizar cada rincón de su vivienda, desde la distribución hasta los acabados. Podrá elegir entre un amplio abanico de posibilidades en las calidades de su vivienda, cada vivienda será única. Nota: TODAS LAS VIVIENDAS LLEVAN INCLUIDAS 1 PLAZA DE GARAJE Y UN TRASTERO. EN EL CASO DE LAS DE 3 DORMITORIOS LLEVAN 2 PLAZAS DE GARAJE Y UN TRASTERO. Durante el desarrollo del proyecto, la Dirección Facultativa se reserva el derecho de efectuar modificaciones que viniesen motivadas por exigencias de orden técnico o jurídico por parte de las Administraciones competentes, así como aquellas que pudieran suponer cambios del proyecto o en la memoria de calidades que en ningún caso supondrán minoración de las calidades previstas.",False,newdevelopment,True,True,False,8178.0,True,False,False,False,[],False,False,662438.0,€,,,flat,,"Peñagrande, Madrid","Piso en calle Cantalejo, 19",Peñagrande,,,
108307734,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/ae/d8/bc/1307483248.webp,TIPO 4 PISO DUPLEX,31,bj,430736.0,duplex,sale,88.0,True,2,2,"calle Cuesta, 5",Madrid,Majadahonda,Casco Antiguo,es,40.4724797,-3.872327,True,https://www.idealista.com/obra-nueva/108307734/,"Últimas viviendas disponibles! VO Private Real Estate presenta en Majadahonda en exclusiva, este proyecto de lujo Residencial Cuesta Descubre tu nuevo hogar, en pleno corazón de Majadahonda rodeada de todo tipo de servicios. Promoción donde la elegancia, diseño y calidades la hacen única en todo el municipio. La armonía entre el diseño clásico y moderno cobra vida, consiguiendo el máximo confort en todos los detalles. Urbanización privada con amplias zonas verdes y piscina comunitaria. 19 viviendas de 1 y 2 dormitorios con terraza, una práctica distribución, creando amplios espacios de gran luminosidad y una cuidadosa selección de materiales de la más alta calidad. Cada vivienda ha sido pensada para ofrecer la máxima funcionalidad para tu comodidad. Con las últimas y más eficientes tecnologías de construcción, incluyendo aerotermia con suelo radiante-refrescante. Calificación Energética A + Plazas de garaje y trastero incluidas en el precio. Solicita tu cita previa y te esperamos en nuestra oficina para contarte todos los detalles y condiciones. Aprovecha y ven a reservar una de las últimas viviendas que nos quedan.",False,newdevelopment,True,True,False,4895.0,True,False,False,False,[],False,False,430736.0,€,True,True,flat,duplex,"Casco Antiguo, Majadahonda","Dúplex en calle Cuesta, 5",,,,
109215177,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/e9/5f/e7/1367685786.webp,,44,8,570000.0,flat,sale,170.0,True,4,2,calle de la Virgen de Aránzazu,Madrid,Madrid,Fuencarral,es,40.4869225,-3.6899532,False,https://www.idealista.com/inmueble/109215177/,"VIVIENDA EN URBANIZACION PRIVADA CON PLAZA DE GARAJE EN EL BARRIO DE BEGOÑA Vivienda Madrid ofrece en exclusiva vivienda de 170 m2 en la Urbanización privada del Barrio de Begoña.   Dispone de cuatro habitaciones con armarios empotrados, la principal tiene un cuarto de baño completo en suite y acceso a una gran terraza con inmejorables vistas; gran salón de 36 m2 con grandes ventanales y doble acceso al mismo desde el recibidor y cocina; amplia cocina amueblada y equipada con office y dos cuartos de baño completos con bañera (uno de ellos en suite). Dicho inmueble tiene suelos de parquet, doble ventanas de aluminio, calefacción de gas natural individual, aire acondicionado en salón y una de las habitaciones, video portero, paredes de gotelé y puerta principal blindada.   Tiene como anejo una gran plaza de garaje para vehículos de grandes dimensiones, con fácil maniobra, situada en el sótano -1 de la misma finca con acceso directo desde la vivienda mediante ascensor y puerta automática.   En la finca se puede disfrutar de enormes zonas ajardinadas, zona infantil, una pista deportiva, dos grandes piscinas (una infantil) rodeada de césped, con aseos y vestuarios, además de portero físico durante 24 horas, todos los días del año y personal de mantenimiento.   Excelente ubicación zona con numerosas líneas de transporte publico como la parada de Metro Begoña (Línea 10), Cercanías Renfe parada Ramón y Cajal y varias líneas de autobuses 124, 137, N24. Acceso a M-30, M-40 y carretera de Colmenar Viejo M-607. Cerca de los hospitales La Paz y Ramón y Cajal, a ocho minutos a pie de las Cuatro Torres. El barrio cuenta con varios centros educativos, Centro de Día Geriacen, Centro de Salud Virgen de Begoña, entidades bancarias, restaurantes, comercios y zonas verdes e infantiles, así como supermercados cercanos como Dia,  Centro Comercial La Vaguada y El Corte Inglés de Sanchinarro.",False,good,False,True,,3353.0,False,False,False,False,[],False,False,570000.0,€,True,True,flat,,"Tres Olivos - Valverde, Madrid",Piso en calle de la Virgen de Aránzazu,Tres Olivos - Valverde,,,
108829307,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/8e/09/89/1356345751.webp,P1 1ºC,15,1,631916.0,flat,sale,79.0,True,2,2,"calle Cantalejo, 19",Madrid,Madrid,Fuencarral,es,40.4736193,-3.7352716,True,https://www.idealista.com/obra-nueva/108829307/,"NUEVO PROYECTO JUNTO A PUERTA DE HIERRO Residencial Zenith es un proyecto de 117 exclusivas viviendas de 1, 2 y 3 dormitorios con amplias y variadas zonas comunes. Precio desde 450.067€ con plaza de garaje y trastero incluido. ARQUITECTURA DE AUTOR El diseño arquitectónico de Zenith se caracteriza por un diseño escultórico y vanguardista, donde los volúmenes curvos aportan un dinamismo único. Sus líneas fluidas generan una sensación de movimiento constante, envolviendo el edificio con una elegancia orgánica que El diseño arquitectónico de Zenith se caracteriza por sus líneas rectas y depuradas, creando una estética moderna y sofisticada que se integra perfectamente con su entorno. ZENITH NO SOLO SON VIVIENDAS: EL ARTE DE VIVIR Disfrute de un oasis privado sin salir de casa. Zenith ha sido concebido para ofrecer una experiencia de vida inigualable. Las zonas comunes han sido cuidadosamente diseñadas para responder a los más altos estándares de confort, privacidad y estilo de vida. Podrá disfrutar de piscina desbordante y solárium que invitan al relax en los meses más calurosos. Además, Zenith ofrece un rooftop con terraza panorámica y gastroteca. En la planta baja la Sala Club ha sido diseñada como un espacio versátil para las celebraciones privadas. El Coworking está pensado para quienes combinan vida personal y profesional en el mismo entorno. Para los amantes del deporte, Zenith dispone de gimnasio tanto interior como exterior, sauna y aparcamiento para bicicletas. Los más pequeños disponen de un espacio exclusivo para el juego tanto exterior como interior. Podrá hacer uso de buzones de paquetería para la recepción de paquetes. Sostenibilidad y ahorro energético Las viviendas de ZENITH están preparadas para obtener una Calificación Energética A. Esto significa que tendrán un mínimo impacto sobre el medio ambiente, al igual que se reducirá el consumo de energía, afectando directamente al importe de las facturas de cada usuario. UBICACIÓN Zenith estará ubicado en una de las zonas más exclusivas de Madrid, Puerta de Hierro, concretamente en la calle Cantalejo. Caracterizada por su entorno privilegiado, esta ubicación ofrece tranquilidad, privacidad y naturaleza, sin renunciar a la proximidad con el centro de Madrid y sus principales servicios. Entorno verde y exclusivo: Situado en un enclave rodeado de naturaleza, cerca del Monte de El Pardo, garantizando aire puro y un ambiente relajado. Accesibilidad y conexiones: Excelentes conexiones con el centro de Madrid mediante la M-30, M-40 y A-6, así como transporte público cercano. Seguridad y privacidad: Urbanización de alto nivel con seguridad 24/7, perfecta para quienes buscan tranquilidad en un entorno privilegiado. Servicios de primer nivel: Cercanía a colegios internacionales, hospitales de prestigio, clubes deportivos como el Real Club de Puerta de Hierro y una amplia oferta gastronómica y comercial en zonas como Moncloa y La Vaguada. PERSONALIZACIÓN En Zenith se ofrece la posibilidad de personalizar cada rincón de su vivienda, desde la distribución hasta los acabados. Podrá elegir entre un amplio abanico de posibilidades en las calidades de su vivienda, cada vivienda será única. Nota: TODAS LAS VIVIENDAS LLEVAN INCLUIDAS 1 PLAZA DE GARAJE Y UN TRASTERO. EN EL CASO DE LAS DE 3 DORMITORIOS LLEVAN 2 PLAZAS DE GARAJE Y UN TRASTERO. Durante el desarrollo del proyecto, la Dirección Facultativa se reserva el derecho de efectuar modificaciones que viniesen motivadas por exigencias de orden técnico o jurídico por parte de las Administraciones competentes, así como aquellas que pudieran suponer cambios del proyecto o en la memoria de calidades que en ningún caso supondrán minoración de las calidades previstas.",False,newdevelopment,True,True,False,7999.0,True,False,False,False,[],False,False,631916.0,€,,,flat,,"Peñagrande, Madrid","Piso en calle Cantalejo, 19",Peñagrande,,,
108423751,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/f9/b9/09/1366760722.webp,,31,3,1350000.0,flat,sale,127.0,True,3,2,calle de Hermosilla,Madrid,Madrid,Barrio de Salamanca,es,40.4271715,-3.6773113,False,https://www.idealista.com/inmueble/108423751/,"EXCLUSIVO Y MUY LUMINOSO PISO EN SALAMANCA - GOYA CON PLAZA DE GARAJE. Urban Domus presenta esta magnífica vivienda exterior ubicada en una finca representativa de la codiciada zona de Salamanca - Goya, con portero físico y ascensor. El piso destaca por su gran luminosidad y amplitud, gracias a su excelente orientación y su condición de totalmente exterior, lo que lo convierte en un espacio acogedor y lleno de vida. Uno de sus grandes atractivos es su espectacular salón de casi 30 m², con ventanales de suelo a techo que inundan la estancia de luz natural durante todo el día, creando un ambiente único y muy agradable. La vivienda se distribuye en tres dormitorios, dos baños, cocina independiente y el ya mencionado salón. Aunque requiere una actualización, su distribución sin muros de carga ofrece un sinfín de posibilidades para adaptarla a tus gustos y necesidades. Incluye plaza de garaje para coche mediano o pequeño, un verdadero plus en esta exclusiva zona. Situado en una ubicación privilegiada, rodeado de todo tipo de servicios, comercios, restaurantes, cafeterías y oferta cultural, y a tan solo unos pasos del Parque del Retiro. Además, cuenta con excelentes conexiones de transporte público. Una oportunidad única para vivir o invertir en una de las mejores zonas de Madrid. Reserve su visita.",False,renew,False,True,,10630.0,True,False,True,False,[],False,False,1350000.0,€,True,True,flat,,"Goya, Madrid",Piso en calle de Hermosilla,Goya,,,
106500321,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/b4/d6/92/1284690600.webp,E1 3ºA,16,3,1490000.0,flat,sale,180.0,True,3,2,"calle Doctor Guiu, 57",Madrid,Madrid,Fuencarral,es,40.4786736,-3.7366174,True,https://www.idealista.com/obra-nueva/106500321/,"Evergreen es un proyecto de 19 viviendas conectados con el exterior, con la naturaleza, con vistas panorámicas del entorno y a poca distancia del centro de Madrid.  Evergreen, ubicado en la calle Doctor Guiu 57 junto a la Avenida del cardenal Herrera Oria. Es un edificio moderno, que ocupa un emplazamiento excepcional en el noroeste de Madrid, próximo a Puerta de Hierro, un enclave privilegiado rodeado por zonas verdes Aquí es posible seguir en contacto con la naturaleza sin renunciar a vivir en la ciudad. Tranquilidad y dinamismo se dan cita en un entorno único. Vivir junto a Puerta de Hierro Un enclave privilegiado — Zonas verdes y naturaleza  Evergreen se encuentra en una zona exclusiva de Madrid, a escasos minutos del centro. Es considerada una de las mejores áreas de la ciudad y en ella abundan las zonas verdes. Destacan el Real Club Puerta de Hierro, El Pardo o el Hipódromo de la Zarzuela. Un lugar tranquilo con magníficos colegios y centros hospitalarios, muy bien comunicado con las principales Universidades. Estilo de vida con todos los servicios Evergreen se levanta en el noroeste de Madrid, en una de las áreas residenciales más codiciadas de la capital. Sus amplias zonas verdes suponen uno de los principales reclamos para las familias que buscan disfrutar de la naturaleza sin abandonar la ciudad. Un barrio apacible que cuenta con reconocidos centros hospitalarios, como el Ruber Internacional o la Clínica Cemtro; y diversos centros educativos para todas las edades. La zona también ofrece un sinfín de posibilidades para disfrutar del ocio. A poca distancia, se encuentra el Centro Comercial La Vaguada, y en el entorno, se extienden varios campos de Golf, el Hipódromo de la Zarzuela y El Pardo. Además, es posible recorrer los alrededores en bicicleta o caminando, siguiendo el Anillo Verde Ciclista. Evergreen.- El Edificio El edificio de EVERGREEN cumple todas las premisas para optimizar la funcionalidad mediante un diseño de líneas modernas, sencillas y con materiales de gran calidad. Espacios ideados desde la sensibilidad y concebidos para adaptarse a sus necesidades, a su ciudad y al planeta. Hogares conectados con la naturaleza Doctor Guiu 57 comprende 19 viviendas, todas ellas con terraza. Hogares llenos de luz que se integran en un entorno excepcional y establecen un estrecho vínculo con los espacios verdes que rodean el edificio. EVERGREEN engloba diversos tipos de viviendas, de entre uno y cuatro dormitorios. Todas garantizan una distribución equilibrada, que genera estancias amplias en las que se cuidan todos los detalles. Viviendas jardín, todas las viviendas con amplias terrazas y áticos con vistas panorámicas  Las viviendas del primer nivel de este inmueble constan de tres dormitorios y gozan de extensas terrazas, espacios abiertos donde encontrar la calma y romper con la rutina. Todos los hogares de Doctor Guiu 57 permiten abrazar el entorno a través de sus terrazas, disfrutar del aire libre y sentirse en plena naturaleza, a poca distancia del centro de Madrid Salón Amplios espacios rebosantes de luz, luz que llega a través de los grandes ventanales que los conectan con las terrazas y que los acercan a las zonas verdes que envuelven el edificio. Baño Baños amplios, con acabados de alta calidad. Destacan los tonos cálidos y el juego armónico que componen las diferentes texturas. Dormitorio Estancias con grandes ventanales, que aprovechan al máximo la luz natural. Espaciosos armarios, integrados en la pared, satisfacen todas las necesidades de almacenamiento Viviendas Ático  Poseen unas vistas privilegiadas del noroeste de Madrid y gozan de unas espectaculares terrazas.",False,,True,True,False,8278.0,True,False,False,False,[],False,False,1490000.0,€,True,True,flat,,"Peñagrande, Madrid","Piso en calle Doctor Guiu, 57",Peñagrande,,,
