propertyCode,thumbnail,externalReference,numPhotos,price,propertyType,operation,size,rooms,bathrooms,address,province,municipality,country,latitude,longitude,showAddress,url,description,hasVideo,status,newDevelopment,priceByArea,hasPlan,has3DTour,has360,hasStaging,notes,topNewDevelopment,topPlus,priceInfo.price.amount,priceInfo.price.currencySuffix,parkingSpace.hasParkingSpace,parkingSpace.isParkingSpaceIncludedInPrice,detailedType.typology,detailedType.subTypology,suggestedTexts.subtitle,suggestedTexts.title,district,floor,exterior,hasLift,newDevelopmentFinished,neighborhood,priceInfo.price.priceDropInfo.formerPrice,priceInfo.price.priceDropInfo.priceDropValue,priceInfo.price.priceDropInfo.priceDropPercentage
102357381,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/0e/64/bf/1152995296.webp,8027,64,675000.0,countryHouse,sale,1064.0,14,3,Torrelaguna,Madrid,Torrelaguna,es,40.8279557,-3.5322558,False,https://www.idealista.com/inmueble/102357381/,"Caserón y casa de guardés con cuadras en solar de 2.151 m2 en el centro urbano de Torrelaguna. Se trata de un gran solar frente al polideportivo y pegado a la ermita con una casona del Siglo XVIII de grandes dimensiones con un bonito diseño y una casa de guardés con cuadras, garaje y pajares. La casona rectangular de gran altura en su interior, con un amplio pasillo y peculiar suelo que llama la atención por sus colores y piso de gran calidad; del cual se van distribuyendo a ambos lados del mismo las diferentes estancias, todas de gran tamaño y altura. Nada más entrar en planta principal tenemos a mano derecha zona de lavadero, trastero, despensa y cómoda escalera para subir a planta alta. A ambos lados del pasillo, como comentamos anteriormente, se distribuyen las diferentes estancias, todas muy amplias entre 14 y 24 m2, como despachos, salones, dormitorios, etc. Salón con salida al jardín, baño completo, aseo, amplia cocina con despensa y amplio salón comedor. Planta alta por cómoda escalera, amplio recibidor y pasillo distribuidor con tres grandes dormitorios, 5 habitaciones con cámaras trastero bajo cubierta. La casa guardés en planta baja con sala de estar, cocina con salida al jardín, pequeña bodega-trastero bajando unos escalones y en planta alta con tres habitaciones baño y buhardilla. Al lado de la casa están las cuadras, almacén y pajares. El total de m2 son 1064 (629 de vivienda, 372 de almacenes y 63 de varios). Zona ajardinada con cenador y hueco de piscina. La casona está catalogada con protección nivel 3. Ambas construcciones necesitan reformas y ambas tienen grandes posibilidades, tanto para negocio en el caso de la casona, como a nivel familiar con el resto de la construcción. Teniendo la ermita al lado, donde se celebran muchas bodas y comuniones, sería un buen lugar para eventos y además teniendo el estacionamiento del polideportivo al lado. También estaría la posibilidad de adquirir, junto con la finca, de una a cuatro parcelas más de 300 m2 cada una para usar como aparcamiento, terrazas interiores o como inversión para la construcción de unifamiliares. El precio de estas parcelas es aparte. Los gastos anuales de IBI son 832 de la vivienda y 27 del paso de acceso, más 34 entre basura y paso de carruaje. NO HAY GASTOS DE AGENCIA.",False,renew,False,634.0,True,False,True,False,[],False,False,675000.0,€,True,True,countryHouse,caseron,Torrelaguna,Caserón,,,,,,,,,
108970178,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/88/7a/1c/1360432331.webp,,42,479900.0,chalet,sale,203.0,6,4,"calle Sierra de Cazorla, 1",Madrid,Arroyomolinos,es,40.2669304,-3.9265731,True,https://www.idealista.com/inmueble/108970178/,"Agencia inmobiliaria en Arroyomolinos INMOBILIARIA HOGARES ARROYOMOLINOS VENDE ESPECTACULAR CHALET ADOSADO EN UNA DE LAS ZONAS MÁS EXCLUSIVAS DE ARROYOMOLINOS.  Esta magnífica vivienda de tres plantas ha sido diseñada para ofrecer el máximo confort y funcionalidad. Dispone de estancias amplias, luminosas y bien distribuidas, ideales para disfrutar en familia. Al acceder a la vivienda, un elegante hall de entrada nos da la bienvenida y conduce a una amplia cocina, funcional y completamente equipada, con gran capacidad de almacenamiento. En esta misma planta se encuentra un espacioso dormitorio, ideal para ofrecer comodidad y privacidad, así como un baño recién reformado. El amplio salón-comedor, con chimenea tipo casete, aporta calidez a la estancia. Desde el salón tenemos acceso directo a una terraza que da paso a la parcela. En la primera planta se ubican cuatro habitaciones muy luminosas, tres de ellas con armarios empotrados y aire acondicionado. También dispone de dos baños completos. La suite principal destaca por su amplitud y su baño en suite totalmente reformado con plato de ducha, creando un espacio perfecto para el descanso. Además, una de las habitaciones ha sido habilitada como vestidor o zona de estudio, aportando un plus de funcionalidad. La planta sótano añade un valor excepcional a la propiedad. Dispone de garaje con capacidad para un vehículo, así como un espacio acondicionado como salón independiente, perfecto para invitados o familiares. Esta zona incluye un dormitorio con armario empotrado, un baño completo y acceso directo al jardín, ideal para relajarse y disfrutar al aire libre. El exterior de la vivienda es sencillamente espectacular: un precioso jardín con amplia zona verde, cenador y barbacoa, ideal para reuniones con familiares y amigos. La conexión directa con las zonas comunes aporta un extra de comodidad y exclusividad. Ubicada en una zona residencial tranquila y muy bien comunicada, esta casa lo tiene todo para ofrecerte una vida cómoda, funcional y de calidad. ¡No dejes pasar esta oportunidad! Contáctanos y ven a visitarla.",True,good,False,2364.0,True,True,False,False,[],False,False,479900.0,€,True,True,chalet,terracedHouse,"La Cárcaba - El Encinar - Montemolinos, Arroyomolinos","Chalet adosado en calle Sierra de Cazorla, 1",La Cárcaba - El Encinar - Montemolinos,,,,,,,,
108365986,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/e6/01/ba/1342499367.webp,BRASIL ,59,482000.0,chalet,sale,243.0,6,3,Hispanoamérica - Comunidades,Madrid,Valdemoro,es,40.1837391,-3.6873518,False,https://www.idealista.com/inmueble/108365986/,"Agencia inmobiliaria de Valdemoro, Tecnocasa Estudio Las Tres Erres SL. FANTÁSTICO Chalet pareado en la zona HISPANOAMERICA Dispone de 4 plantas: Planta baja formada por patio delantero, entrada, salón- comedor con salida a un amplio patio trasero con barbacoa de obra, cocina amueblada muy luminosa, baño con plato de ducha, dormitorio en planta, desde la planta baja accedemos al garaje. Planta primera formada por tres dormitorios con armarios empotrados, una de las habitaciones da acceso a una terraza, dos baños ambos con plato de ducha (uno de ellos en suite. ) La buhardilla dispone de dos dormitorios con salida a la terraza. El acceso al garaje se puede hacer desde la calle, cuenta también con una bodega.  La vivienda es muy luminosa y dispone de muy buenas calidades, suelos de tarima, aire acondicionado en el salón y en dormitorios, además la vivienda está en una zona en expansión, pero ya consolidada con acceso a multitud de servicios, como la facilidad de entrada y salida a la población a través de la autovía, así como bien comunicada por la red de transportes del municipio y con zonas verdes alrededor. No dude en llamarnos para concertar su cita para visitar el inmueble en la que además recibirá el asesoramiento gratuito de nuestro departamento financiero KÌRON.",False,good,False,1984.0,True,False,True,False,[],False,False,482000.0,€,True,True,chalet,semidetachedHouse,"Hispanoamérica - Comunidades, Valdemoro",Chalet pareado,Hispanoamérica - Comunidades,,,,,,,,
108213106,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/17/51/52/1347498242.webp,5 D,19,339000.0,flat,sale,107.0,2,2,"calle París, 12",Madrid,Móstoles,es,40.3155266,-3.8632648,True,https://www.idealista.com/obra-nueva/108213106/,"Imagina despertar cada mañana en tu nuevo hogar, donde la luz entra por la terraza, el aire es limpio, y el silencio solo se rompe con los sonidos de una urbanización viva, tranquila, pensada para disfrutar. ¡viviendas de Renta Libre en Régimen de Cooperativa! En Calle París 12, en Móstoles, nace un nuevo proyecto: una comunidad de 28 familias que, como tú, sueñan con un espacio propio, moderno, cómodo y lleno de futuro. Aquí encontrarás viviendas de 2 y 3 dormitorios con 2 baños, todas con terraza, pensadas para adaptarse a cada etapa de la vida. Tal vez prefieras un bajo dúplex con jardín, donde los niños puedan jugar o tú desconectar al final del día. O un ático dúplex con una gran terraza, perfecto para ver atardeceres, recibir amigos o simplemente disfrutar del cielo. Cada vivienda incluye su plaza de garaje y trastero, porque el confort también está en los detalles. La urbanización ofrece zonas comunes, piscina y espacios para compartir, donde los vecinos se convierten en amigos. Y todo con una calificación energética A y unas calidades excepcionales. Este no es solo un edificio. Es el comienzo de una nueva historia. La tuya. Una oportunidad que no se presenta todos los días. Una decisión que cambia tu vida. Calle París 12, Móstoles  ¿Y si el próximo capítulo empieza aquí?",True,newdevelopment,True,3168.0,True,False,False,False,[],False,False,339000.0,€,True,True,flat,,"Sur, Móstoles","Piso en calle París, 12",Sur,5,True,True,False,,,,
108318064,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/d5/36/86/1340526515.webp,duplex bajo,20,439000.0,duplex,sale,197.0,3,3,"Calle París, 12",Madrid,Móstoles,es,40.3155266,-3.8632648,True,https://www.idealista.com/obra-nueva/108318064/,"Imagina despertar cada mañana en tu nuevo hogar, donde la luz entra por la terraza, el aire es limpio, y el silencio solo se rompe con los sonidos de una urbanización viva, tranquila, pensada para disfrutar. ! viviendas de Renta Libre en Régimen de Cooperativa! En Calle París 12, en Móstoles, nace un nuevo proyecto: una comunidad de 28 familias que, como tú, sueñan con un espacio propio, moderno, cómodo y lleno de futuro. Aquí encontrarás viviendas de 2 y 3 dormitorios con 2 baños, todas con terraza, pensadas para adaptarse a cada etapa de la vida. Tal vez prefieras un bajo dúplex con jardín, donde los niños puedan jugar o tú desconectar al final del día. O un ático dúplex con una gran terraza, perfecto para ver atardeceres, recibir amigos o simplemente disfrutar del cielo. Cada vivienda incluye su plaza de garaje y trastero, porque el confort también está en los detalles. La urbanización ofrece zonas comunes, piscina y espacios para compartir, donde los vecinos se convierten en amigos. Y todo con una calificación energética A y unas calidades excepcionales. Este no es solo un edificio. Es el comienzo de una nueva historia. La tuya. Una oportunidad que no se presenta todos los días. Una decisión que cambia tu vida. Calle París 12, Móstoles  ¿Y si el próximo capítulo empieza aquí?",True,newdevelopment,True,2228.0,True,False,False,False,[],False,False,439000.0,€,True,True,flat,duplex,"Sur, Móstoles","Dúplex en Calle París, 12",Sur,bj,True,True,False,,,,
108738176,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/71/b9/d2/1353690741.webp,IE18CARNEIL,59,990000.0,flat,sale,242.0,5,3,Barrio San Pascual,Madrid,Madrid,es,40.4444906,-3.6473985,False,https://www.idealista.com/inmueble/108738176/,"INMOBILIARIAS ENCUENTRO presenta en EXCLUSIVA un excepcional piso en la codiciada zona de ARTURO SORIA, una de las áreas más solicitadas a lo largo de la historia de la capital. Este magnífico inmueble se compone de 4 amplios dormitorios, de los cuales 2 cuentan con baño en suite, así como armarios empotrados en todos ellos. El piso dispone de 3 cuartos de baño completos, una cocina independiente equipada con office, y un espacioso salón que se conecta a una terraza privada. Adicionalmente, hay otra habitación que podría desempeñar múltiples funciones, ya sea como comedor, despacho o incluso un dormitorio adicional. La propiedad se sitúa en la segunda planta de una finca emblemática de la zona, la cual está equipada con ascensor y rodeada de un bonito jardín privado que acompaña la entrada hasta el portal. Este edificio se encuentra en perfecto estado de conservación, lo que asegura un entorno agradable y limpio para sus 10 vecinos. La fachada exterior del inmueble se orienta hacia tres puntos cardinales, lo que le proporciona una iluminación natural abundante durante todo el día. Entre sus características, destacan los techos altos, puertas blindadas, amplios ventanales en todas las estancias, suelo de parqué y calefacción por gas natural. El precio de la vivienda incluye 2 plazas de garaje, una de las cuales tiene capacidad para dos vehículos, lo que representa una gran comodidad en la vida diaria. La ubicación del piso es inmejorable, situada entre la calle Alcalá y la N-II, a menos de 5 minutos de conexión con la M-30 o M-40, facilitando el acceso a cualquier punto de la ciudad de manera rápida y eficiente. La zona cuenta con un desarrollo consolidado que ofrece una variedad completa de servicios, tales como colegios, centros médicos, restaurantes y supermercados, todo al alcance de la mano. No pierda la oportunidad de visitar este impresionante piso que promete ser el hogar de sus sueños. INMOBILIARIAS ENCUENTRO está a su disposición para brindarle toda la información necesaria y coordinar una visita. Si necesita vender su inmueble para adquirir este u otro publicado, le invitamos a contactar con nosotros. Disponemos del servicio “CAMBIA DESCANSA”, la solución ideal para compatibilizar los plazos de venta de su vivienda y la entrega del nuevo inmueble. Ofrecemos financiación a su medida con Fimoo, garantizándole los mejores tipos de interés y hasta el cien por cien de financiación. Consulte nuestras condiciones.",False,renew,False,4091.0,True,False,True,False,[],False,False,990000.0,€,True,True,flat,,"San Pascual, Madrid",Piso,Ciudad Lineal,2,True,True,,San Pascual,,,
108981004,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/f4/5d/a0/1360775633.webp,,43,629900.0,chalet,sale,146.0,4,3,"calle Manacor, 1",Madrid,Arroyomolinos,es,40.2670585,-3.9084673,True,https://www.idealista.com/inmueble/108981004/,"Agencia inmobiliaria en Arroyomolinos INMOBILIARIA HOGARES ARROYOMOLINOS VENDE ESPECTACULAR CHALET PAREADO REFORMADO EN ZONA MEDITERRÁNEO – ARROYOMOLINOS Te presentamos esta exclusiva vivienda pareada ubicada en una de las zonas más tranquilas y demandadas de Arroyomolinos: la zona Mediterráneo. Un entorno residencial y familiar, con todos los servicios a un paso —colegios, supermercados como Mercadona, bares, restaurantes— y con rápido acceso a la R-5 y al centro del municipio. Construido en 2015 y completamente reformado hace menos de dos años con materiales de alta gama, este chalet destaca por su cuidada distribución en solo dos plantas, aportando comodidad y funcionalidad. En la planta principal encontramos un amplio porche con garaje exterior techado y cerrado. Al acceder al interior, nos recibe un espacioso recibidor con armarios empotrados que da paso a un espectacular salón-comedor, muy luminoso gracias a su patio inglés, y una moderna chimenea de bioetanol. La cocina ha sido reformada con un diseño moderno, equipada con una gran isla central y conectada directamente al comedor, generando un espacio abierto perfecto para disfrutar en familia. Desde esta zona accedemos al patio trasero de más de 160 m², con cerramiento acristalado abatible, piscina salina de diseño con escaleras romanas, césped artificial de alta calidad y muros renovados. Además, dispone de una habitación en planta (actualmente como despacho con armarios), aseo reformado con zona de lavandería y escaleras voladas con barandilla de cristal. En la planta superior se ubican tres dormitorios: el principal con vestidor, baño en suite con ducha ampliada y salida a terraza; y dos dormitorios secundarios con armarios empotrados, ambos con salida a terraza y acompañados de un segundo baño completo con ducha. Aire acondicionado en todas las estancias (incluida la cocina), toldos, suelos porcelánicos imitación madera, cerramientos de cristal, puertas exteriores nuevas, piscina salina, garaje con puerta automática.. . ¡Todo pensado para disfrutar con el máximo confort! Una vivienda lista para entrar a vivir, con acabados de lujo y espacios exteriores únicos. ¡Solicita tu visita!",True,good,False,4314.0,True,True,False,False,[],False,False,629900.0,€,True,True,chalet,semidetachedHouse,"Urbanización Mediterráneo, Arroyomolinos","Chalet pareado en calle Manacor, 1",Urbanización Mediterráneo,,,,,,,,
108960749,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/95/96/52/1360154846.webp,3 D,20,330000.0,flat,sale,90.0,2,2,"calle París, 12",Madrid,Móstoles,es,40.3155266,-3.8632648,True,https://www.idealista.com/obra-nueva/108960749/,"Promoción adjudicada al 60%! Imagina despertar cada mañana en tu nuevo hogar, donde la luz entra por la terraza, el aire es limpio, y el silencio solo se rompe con los sonidos de una urbanización viva, tranquila, pensada para disfrutar. ! viviendas de Renta Libre en Régimen de Cooperativa! En Calle París 12, en Móstoles, nace un nuevo proyecto: una comunidad de 28 familias que, como tú, sueñan con un espacio propio, moderno, cómodo y lleno de futuro. Aquí encontrarás viviendas de 2 y 3 dormitorios con 2 baños, todas con terraza, pensadas para adaptarse a cada etapa de la vida. Tal vez prefieras un bajo dúplex con jardín, donde los niños puedan jugar o tú desconectar al final del día. O un ático dúplex con una gran terraza, perfecto para ver atardeceres, recibir amigos o simplemente disfrutar del cielo. Cada vivienda incluye su plaza de garaje y trastero, porque el confort también está en los detalles. La urbanización ofrece zonas comunes, piscina y espacios para compartir, donde los vecinos se convierten en amigos. Y todo con una calificación energética A y unas calidades excepcionales. Este no es solo un edificio. Es el comienzo de una nueva historia. La tuya. Una oportunidad que no se presenta todos los días. Una decisión que cambia tu vida. Calle París 12, Móstoles  ¿Y si el próximo capítulo empieza aquí? Las imágenes publicadas son simulaciones orientativas que pueden sufrir modificaciones por motivos técnicos, comerciales o legales.",True,,True,3667.0,True,False,False,False,[],False,False,330000.0,€,True,True,flat,,"Sur, Móstoles","Piso en calle París, 12",Sur,3,True,True,False,,,,
107651978,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/51/56/49/1345100959.webp,23176,19,239000.0,flat,sale,81.0,2,2,travesía de Felipe de Diego,Madrid,Madrid,es,40.3776907,-3.6596155,False,https://www.idealista.com/inmueble/107651978/,"Amplio y luminoso piso en una zona demandada con todos los servicios necesarios. La vivienda cuenta con 2 dormitorios, baño con plato de ducha, cocina independiente sin amueblar con una pequeña despensa y un gran salón comedor. Armarios empotrados. Planta 12 con ascensor. Muy bien comunicado con Renfe y autobuses. En pleno corazón de Vallecas y con todo tipo de facilidades en su entorno. Infórmate sin compromiso.",False,renew,False,2951.0,True,False,True,False,[],False,False,239000.0,€,,,flat,,"Palomeras Bajas, Madrid",Piso en travesía de Felipe de Diego,Puente de Vallecas,12,True,True,,Palomeras Bajas,,,
108601654,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/4c/94/05/1349664942.webp,86051245,23,2395000.0,flat,sale,171.0,3,1,Barrio Sol,Madrid,Madrid,es,40.4159078,-3.7039358,False,https://www.idealista.com/inmueble/108601654/,"Polo Properties, nos presenta esta bonita propiedad, situada en un lugar emblemático de la capital. La propiedad tiene 7 balcones a la Plaza Mayor, haciendo que la propiedad sea un lujo en vistas y un privilegio en ubicación. Luminoso, completamente exterior, siendo un lujo poderse asomar a esos balcones que dan a la maravillosa plaza Mayor.  La propiedad nos presenta un amplio salón, desde el cual podrá ver toda la plaza y así estar entretenido durante todo el día, lugar perfecto para poder recibir a nuestros amigos y familia. También cuenta con una amplia cocina, actualizada no hace mucho con vistas a una callejuela de la plaza. La zona de descanso la compone, tres dormitorios y dos baños. Uno de los baños lo comparten las dos habitaciones y el otro esta dentro del dormitorio principal. El dormitorio principal es amplio, cómodo, con una amplia zona de armarios y su baño. Todo ello nos hace que la propiedad sea un sueño para vivir. La visitamos?",False,renew,False,14006.0,True,False,True,False,[],False,False,2395000.0,€,,,flat,,"Sol, Madrid",Piso,Centro,4,True,True,,Sol,,,
