propertyCode,thumbnail,externalReference,numPhotos,floor,price,propertyType,operation,size,exterior,rooms,bathrooms,address,province,municipality,district,country,latitude,longitude,showAddress,url,description,hasVideo,status,newDevelopment,hasLift,newDevelopmentFinished,priceByArea,hasPlan,has3DTour,has360,hasStaging,notes,topNewDevelopment,topPlus,priceInfo.price.amount,priceInfo.price.currencySuffix,parkingSpace.hasParkingSpace,parkingSpace.isParkingSpaceIncludedInPrice,detailedType.typology,detailedType.subTypology,suggestedTexts.subtitle,suggestedTexts.title,neighborhood,priceInfo.price.priceDropInfo.formerPrice,priceInfo.price.priceDropInfo.priceDropValue,priceInfo.price.priceDropInfo.priceDropPercentage,parkingSpace.parkingSpacePrice
108238599,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/5f/e4/ed/1338089761.webp,11,17,bj,160700.0,studio,sale,27.0,True,0,1,"avenida Cerro del Águila, 1",Madrid,San Sebastián de los Reyes,Pol. Industrial sur,es,40.5467441,-3.6134149,True,https://www.idealista.com/obra-nueva/108238599/,"CDA1 Urban Spaces: Innovación, flexibilidad y rentabilidad en el corazón empresarial del norte de Madrid. Desde GILMAR presentamos en exclusiva un magnífico edificio donde se está desarrollando una promoción con 64 espacios de oficina, tipo loft, ubicado en la calle Cerro del Águila, 1 de San Sebastián de los Reyes de Madrid, estratégica ubicación cercana a IKEA y al centro comercial Plaza Norte, una de las mayores zonas comerciales de la zona norte de Madrid, y con acceso directo desde la A1. El edificio cuenta con una entrada amplia y representativa, se desarrolla en tres plantas, baja, primera, segunda y un roof top en la azotea que dispone de unas magníficas vistas, área de entrenamiento, barbacoas, y zona de relax y chill. Estos espacios de oficina (lofts) están diseñados para un uso muy versátil y flexible, cuentan con unas buenas calidades constructivas, cocina amueblada, techos altos, los de planta baja con un espacio de doble altura y la mayoría de las unidades de planta primera y segunda disponen de una agradable terraza. Además, todos los despachos dispondrán de plaza de garaje en el mismo edificio. Este es un producto ideal tanto para inversores como para usuarios finales, autónomos, pequeños empresarios que quieran compaginar su vida personal y profesional en un espació moderno y agradable perfectamente comunicado y equipado.  La entrega está prevista para final de 2025.",False,newdevelopment,True,True,False,5952.0,True,False,False,False,[],False,False,160700.0,€,True,True,flat,studio,"Pol. Industrial sur, San Sebastián de los Reyes","Estudio en avenida Cerro del Águila, 1",,,,,
108106546,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/71/09/17/1334018872.webp,2ºB,20,2,393400.0,duplex,sale,66.0,True,1,1,"calle Nuestra Señora de Valverde, 16",Madrid,Madrid,Fuencarral,es,40.4936168,-3.6870155,True,https://www.idealista.com/obra-nueva/108106546/,"Viviendas en promoción de obra nueva situadas en Nuestra Señora de Valverde 16, en el corazón del barrio Fuencarral, zona residencial tranquila con todos los servicios a tu alcance. Zona bien comunicada con las estaciones de metro Tres Olivos, Fuencarral y de cercanías RENFE Fuencarral, además de varias líneas de autobuses, así como fácil conexión con M30, M607, A1 y M40. Actualmente, la promoción se halla en fase de construcción y su finalización está prevista para el último trimestre del año 2025. La promoción se ha proyectado con excelentes calidades, habiendo sido la sostenibilidad y la eficiencia energética criterios de diseño primordial. A su vez, el proyecto queda integrado en el entorno histórico, continuando con la belleza y el carácter del barrio. Las viviendas, todas exteriores, se distribuyen en planta baja con jardín de un dormitorio, plantas tipo de un dormitorio y tipo estudio y áticos dúplex de uno y dos dormitorios. Directamente de la propiedad. No dudes en contactarnos para más información.",False,,True,True,False,5961.0,True,False,False,False,[],False,False,393400.0,€,,,flat,duplex,"Tres Olivos - Valverde, Madrid","Dúplex en calle Nuestra Señora de Valverde, 16",Tres Olivos - Valverde,398400.0,5000.0,1.0,
101507329,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/e5/79/a9/1214118709.webp,825417,45,,1089000.0,chalet,sale,1153.0,,7,7,calle Amboto,Madrid,San Lorenzo de El Escorial,La Pizarra,es,40.622385,-4.114022,False,https://www.idealista.com/inmueble/101507329/,"NO TENGAS MIEDO Y MANDA TU OFERTA,  SÉ DECIDIDO Y CONSIGUE ESTA MAGNIFICA PROPIEDAD.  VISTAS QUE ATRAPARAN TUS SENTIDOS,  MUSICA PARA LOS OIDOS, TRANQUILIDAD y  DULCES SUEÑOS.  Impresionante y espectacular mansión a la venta en la Urbanización La Pizarra en El Escorial. NO COBRAMOS HONORARIOS AL COMPRADOR. Este precioso inmueble para reformar, cuenta con unas espectaculares vistas a toda la sierra de Madrid, (siete picos, Guadarrama, Navacerrada, Pedriza, Torrelodones y Madrid al fondo), está toda vallada de piedra y paneles anti ruido, tiene cámaras de vigilancia y garita para personal en la entrada, cuenta con unos espectaculares jardines con una gran piscina infinita, jacuzzi, zona de spa con madera de IPE y dos fuentes ornamentales en diferentes ubicaciones en la parcela. Gracias a sus distintos ambientes se puede disfrutar de la calma y el relax dentro de al propiedad. El imponente inmueble  posee un corredor/porche con columnas de piedra que rodea todo su perímetro además de  una terraza que comunica toda la segunda planta con vistas espectaculares. La planta principal rodeada del mencionado porche consta con distribuidor, salón, tres habitaciones una con baño  en suite y además de un segundo baño de cortesía en en el hall. Primera planta consta de recibidor, dos habitaciones tipo suite, un gran salón de reuniones con un baño propio en dicho espacio y por supuesto la magnifica terraza con vistas espectaculares que rodea todas las estancias. La planta buhardilla se compone  de salón y una habitación tipo suite. Las distintas plantas se comunican entre sí por el interior mediante una escalera circular de madera y barandilla metálica además de estar dotada de un ascensor que comunica la planta principal con la primera planta y la planta sótano. El sótano, consta de garaje con diferentes estancias, deposito de agua potable, calefacción, trastero. Una bodega muy variada, sala de estar con barra de bar, y mesa muy grande para celebraciones, habitación con baño y cocina, destacar la salida directa al jardín enfrente de la piscina a través de una puerta de madera antigua de doble hoja, cristal y cierre de seguridad. De altas calidades del inmueble cabe destacar el ascensor, canalización de A/A., persianas eléctricas, suelo de roble, luces empotradas en techo, calefacción y además cuenta con estación de transformación y torre de aire acondicionado para todo el edificio. Si desea más información o visitar el inmueble no dude en contactar con nosotros, estaremos encantados de atenderle y ESCUCHAR SU OFERTA. SE RESPONDE A TODAS LAS LLAMADAS Y MAIL. SI ES POR MAIL Y VES QUE NO RECIBISTE CONTESTACIÓN, REVISA TU BANDEJA DE SPAM.",False,good,False,,,944.0,True,False,True,False,[],False,False,1089000.0,€,True,True,chalet,independantHouse,"La Pizarra, San Lorenzo de El Escorial",Casa independiente en calle Amboto,,,,,
108238601,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/12/4d/b4/1338089768.webp,19,17,bj,262799.0,studio,sale,57.0,True,0,1,"avenida Cerro del Águila, 1",Madrid,San Sebastián de los Reyes,Pol. Industrial sur,es,40.5467441,-3.6134149,True,https://www.idealista.com/obra-nueva/108238601/,"CDA1 Urban Spaces: Innovación, flexibilidad y rentabilidad en el corazón empresarial del norte de Madrid. Desde GILMAR presentamos en exclusiva un magnífico edificio donde se está desarrollando una promoción con 64 espacios de oficina, tipo loft, ubicado en la calle Cerro del Águila, 1 de San Sebastián de los Reyes de Madrid, estratégica ubicación cercana a IKEA y al centro comercial Plaza Norte, una de las mayores zonas comerciales de la zona norte de Madrid, y con acceso directo desde la A1. El edificio cuenta con una entrada amplia y representativa, se desarrolla en tres plantas, baja, primera, segunda y un roof top en la azotea que dispone de unas magníficas vistas, área de entrenamiento, barbacoas, y zona de relax y chill. Estos espacios de oficina (lofts) están diseñados para un uso muy versátil y flexible, cuentan con unas buenas calidades constructivas, cocina amueblada, techos altos, los de planta baja con un espacio de doble altura y la mayoría de las unidades de planta primera y segunda disponen de una agradable terraza. Además, todos los despachos dispondrán de plaza de garaje en el mismo edificio. Este es un producto ideal tanto para inversores como para usuarios finales, autónomos, pequeños empresarios que quieran compaginar su vida personal y profesional en un espació moderno y agradable perfectamente comunicado y equipado.  La entrega está prevista para final de 2025.",False,newdevelopment,True,True,False,4611.0,True,False,False,False,[],False,False,262799.0,€,True,True,flat,studio,"Pol. Industrial sur, San Sebastián de los Reyes","Estudio en avenida Cerro del Águila, 1",,,,,
109202064,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/1a/b3/8c/1367337303.webp,,43,3,209900.0,flat,sale,84.0,True,3,1,"CL OLIVOS LOS, 9",Madrid,Algete,,es,40.5984787,-3.5018147,True,https://www.idealista.com/inmueble/109202064/,"SITUACION: La vivienda se encuentra en la localidad de Algete, en una zona caracterizada por la cercanía a colegio, parque. Municipio con buena comunicación mediante transporte público con 5 líneas de autobuses directo a Madrid y línea a alcala de henares. Dispone de buena comunicación por carretera con la Autovía A1, Autopista R2 y con la Autovía M-50. CARACTERISTICAS: Ubicado en zona residencial de Algete, está destacado por ser una muy bien situada con el centro de salud y urgencias a 3 minutos y por su localización, con un acceso inmejorable a una zona, donde nos encontramos con variedad de comercio, bares, etc. El edificio tiene zona de jardín y acceso para gente con movilidad reducida a través de una rampa y en la porta con llaves de acceso o apertura a la altura. La vivienda se compone de tres dormitorios, baño con plato de ducha y adaptado para personas mayores, cocina con terraza de la cocina, salón comedor y una amplia terraza del salón. COSAS QUE RECORDAR: Gas natural en calefacción y agua caliente, parquet en salón y dormitorios, 2 terrazas, ascensor, muy céntrico. GASTOS: IBI- 350€ COMUNIDAD- 80€.",False,good,False,True,,2499.0,False,False,False,False,[],False,False,209900.0,€,,,flat,,Algete,"Piso en CL Olivos Los, 9",,,,,
108238592,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/f4/00/68/1338089124.webp,07,17,bj,185700.0,studio,sale,43.0,True,0,1,"avenida Cerro del Águila, 1",Madrid,San Sebastián de los Reyes,Pol. Industrial sur,es,40.5467441,-3.6134149,True,https://www.idealista.com/obra-nueva/108238592/,"CDA1 Urban Spaces: Innovación, flexibilidad y rentabilidad en el corazón empresarial del norte de Madrid. Desde GILMAR presentamos en exclusiva un magnífico edificio donde se está desarrollando una promoción con 64 espacios de oficina, tipo loft, ubicado en la calle Cerro del Águila, 1 de San Sebastián de los Reyes de Madrid, estratégica ubicación cercana a IKEA y al centro comercial Plaza Norte, una de las mayores zonas comerciales de la zona norte de Madrid, y con acceso directo desde la A1. El edificio cuenta con una entrada amplia y representativa, se desarrolla en tres plantas, baja, primera, segunda y un roof top en la azotea que dispone de unas magníficas vistas, área de entrenamiento, barbacoas, y zona de relax y chill. Estos espacios de oficina (lofts) están diseñados para un uso muy versátil y flexible, cuentan con unas buenas calidades constructivas, cocina amueblada, techos altos, los de planta baja con un espacio de doble altura y la mayoría de las unidades de planta primera y segunda disponen de una agradable terraza. Además, todos los despachos dispondrán de plaza de garaje en el mismo edificio. Este es un producto ideal tanto para inversores como para usuarios finales, autónomos, pequeños empresarios que quieran compaginar su vida personal y profesional en un espació moderno y agradable perfectamente comunicado y equipado.  La entrega está prevista para final de 2025.",False,newdevelopment,True,True,False,4319.0,True,False,False,False,[],False,False,185700.0,€,True,True,flat,studio,"Pol. Industrial sur, San Sebastián de los Reyes","Estudio en avenida Cerro del Águila, 1",,,,,
108238702,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/5f/e4/ed/1338089761.webp,57,17,2,219700.0,studio,sale,48.0,True,0,1,"avenida Cerro del Águila, 1",Madrid,San Sebastián de los Reyes,Pol. Industrial sur,es,40.5467441,-3.6134149,True,https://www.idealista.com/obra-nueva/108238702/,"CDA1 Urban Spaces: Innovación, flexibilidad y rentabilidad en el corazón empresarial del norte de Madrid. Desde GILMAR presentamos en exclusiva un magnífico edificio donde se está desarrollando una promoción con 64 espacios de oficina, tipo loft, ubicado en la calle Cerro del Águila, 1 de San Sebastián de los Reyes de Madrid, estratégica ubicación cercana a IKEA y al centro comercial Plaza Norte, una de las mayores zonas comerciales de la zona norte de Madrid, y con acceso directo desde la A1. El edificio cuenta con una entrada amplia y representativa, se desarrolla en tres plantas, baja, primera, segunda y un roof top en la azotea que dispone de unas magníficas vistas, área de entrenamiento, barbacoas, y zona de relax y chill. Estos espacios de oficina (lofts) están diseñados para un uso muy versátil y flexible, cuentan con unas buenas calidades constructivas, cocina amueblada, techos altos, los de planta baja con un espacio de doble altura y la mayoría de las unidades de planta primera y segunda disponen de una agradable terraza. Además, todos los despachos dispondrán de plaza de garaje en el mismo edificio. Este es un producto ideal tanto para inversores como para usuarios finales, autónomos, pequeños empresarios que quieran compaginar su vida personal y profesional en un espació moderno y agradable perfectamente comunicado y equipado.  La entrega está prevista para final de 2025.",False,newdevelopment,True,True,False,4577.0,True,False,False,False,[],False,False,219700.0,€,True,True,flat,studio,"Pol. Industrial sur, San Sebastián de los Reyes","Estudio en avenida Cerro del Águila, 1",,,,,
108238676,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/c1/bf/27/1338089780.webp,38,17,1,195700.0,studio,sale,47.0,True,0,1,"avenida Cerro del Águila, 1",Madrid,San Sebastián de los Reyes,Pol. Industrial sur,es,40.5467441,-3.6134149,True,https://www.idealista.com/obra-nueva/108238676/,"CDA1 Urban Spaces: Innovación, flexibilidad y rentabilidad en el corazón empresarial del norte de Madrid. Desde GILMAR presentamos en exclusiva un magnífico edificio donde se está desarrollando una promoción con 64 espacios de oficina, tipo loft, ubicado en la calle Cerro del Águila, 1 de San Sebastián de los Reyes de Madrid, estratégica ubicación cercana a IKEA y al centro comercial Plaza Norte, una de las mayores zonas comerciales de la zona norte de Madrid, y con acceso directo desde la A1. El edificio cuenta con una entrada amplia y representativa, se desarrolla en tres plantas, baja, primera, segunda y un roof top en la azotea que dispone de unas magníficas vistas, área de entrenamiento, barbacoas, y zona de relax y chill. Estos espacios de oficina (lofts) están diseñados para un uso muy versátil y flexible, cuentan con unas buenas calidades constructivas, cocina amueblada, techos altos, los de planta baja con un espacio de doble altura y la mayoría de las unidades de planta primera y segunda disponen de una agradable terraza. Además, todos los despachos dispondrán de plaza de garaje en el mismo edificio. Este es un producto ideal tanto para inversores como para usuarios finales, autónomos, pequeños empresarios que quieran compaginar su vida personal y profesional en un espació moderno y agradable perfectamente comunicado y equipado.  La entrega está prevista para final de 2025.",False,newdevelopment,True,True,False,4164.0,True,False,False,False,[],False,False,195700.0,€,True,True,flat,studio,"Pol. Industrial sur, San Sebastián de los Reyes","Estudio en avenida Cerro del Águila, 1",,,,,
108238593,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/24/f8/4e/1338089787.webp,17,17,bj,195700.0,studio,sale,40.0,True,0,1,"avenida Cerro del Águila, 1",Madrid,San Sebastián de los Reyes,Pol. Industrial sur,es,40.5467441,-3.6134149,True,https://www.idealista.com/obra-nueva/108238593/,"CDA1 Urban Spaces: Innovación, flexibilidad y rentabilidad en el corazón empresarial del norte de Madrid. Desde GILMAR presentamos en exclusiva un magnífico edificio donde se está desarrollando una promoción con 64 espacios de oficina, tipo loft, ubicado en la calle Cerro del Águila, 1 de San Sebastián de los Reyes de Madrid, estratégica ubicación cercana a IKEA y al centro comercial Plaza Norte, una de las mayores zonas comerciales de la zona norte de Madrid, y con acceso directo desde la A1. El edificio cuenta con una entrada amplia y representativa, se desarrolla en tres plantas, baja, primera, segunda y un roof top en la azotea que dispone de unas magníficas vistas, área de entrenamiento, barbacoas, y zona de relax y chill. Estos espacios de oficina (lofts) están diseñados para un uso muy versátil y flexible, cuentan con unas buenas calidades constructivas, cocina amueblada, techos altos, los de planta baja con un espacio de doble altura y la mayoría de las unidades de planta primera y segunda disponen de una agradable terraza. Además, todos los despachos dispondrán de plaza de garaje en el mismo edificio. Este es un producto ideal tanto para inversores como para usuarios finales, autónomos, pequeños empresarios que quieran compaginar su vida personal y profesional en un espació moderno y agradable perfectamente comunicado y equipado.  La entrega está prevista para final de 2025.",False,newdevelopment,True,True,False,4893.0,True,False,False,False,[],False,False,195700.0,€,True,True,flat,studio,"Pol. Industrial sur, San Sebastián de los Reyes","Estudio en avenida Cerro del Águila, 1",,,,,
108238700,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/14/63/fb/1338089781.webp,48,17,2,178700.0,studio,sale,46.0,True,0,1,"avenida Cerro del Águila, 1",Madrid,San Sebastián de los Reyes,Pol. Industrial sur,es,40.5467441,-3.6134149,True,https://www.idealista.com/obra-nueva/108238700/,"CDA1 Urban Spaces: Innovación, flexibilidad y rentabilidad en el corazón empresarial del norte de Madrid. Desde GILMAR presentamos en exclusiva un magnífico edificio donde se está desarrollando una promoción con 64 espacios de oficina, tipo loft, ubicado en la calle Cerro del Águila, 1 de San Sebastián de los Reyes de Madrid, estratégica ubicación cercana a IKEA y al centro comercial Plaza Norte, una de las mayores zonas comerciales de la zona norte de Madrid, y con acceso directo desde la A1. El edificio cuenta con una entrada amplia y representativa, se desarrolla en tres plantas, baja, primera, segunda y un roof top en la azotea que dispone de unas magníficas vistas, área de entrenamiento, barbacoas, y zona de relax y chill. Estos espacios de oficina (lofts) están diseñados para un uso muy versátil y flexible, cuentan con unas buenas calidades constructivas, cocina amueblada, techos altos, los de planta baja con un espacio de doble altura y la mayoría de las unidades de planta primera y segunda disponen de una agradable terraza. Además, todos los despachos dispondrán de plaza de garaje en el mismo edificio. Este es un producto ideal tanto para inversores como para usuarios finales, autónomos, pequeños empresarios que quieran compaginar su vida personal y profesional en un espació moderno y agradable perfectamente comunicado y equipado.  La entrega está prevista para final de 2025.",False,newdevelopment,True,True,False,3885.0,True,False,False,False,[],False,False,178700.0,€,True,True,flat,studio,"Pol. Industrial sur, San Sebastián de los Reyes","Estudio en avenida Cerro del Águila, 1",,,,,
