propertyCode,thumbnail,externalReference,numPhotos,floor,price,propertyType,operation,size,exterior,rooms,bathrooms,address,province,municipality,district,country,neighborhood,latitude,longitude,showAddress,url,description,hasVideo,newDevelopment,hasLift,newDevelopmentFinished,priceByArea,hasPlan,has3DTour,has360,hasStaging,notes,topNewDevelopment,topPlus,priceInfo.price.amount,priceInfo.price.currencySuffix,parkingSpace.hasParkingSpace,parkingSpace.isParkingSpaceIncludedInPrice,detailedType.typology,suggestedTexts.subtitle,suggestedTexts.title,status,detailedType.subTypology,priceInfo.price.priceDropInfo.formerPrice,priceInfo.price.priceDropInfo.priceDropValue,priceInfo.price.priceDropInfo.priceDropPercentage
108728776,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/b0/f8/5d/1353384461.webp,4ºE,14,4,995000.0,flat,sale,83.0,True,2,2,"calle Andrés Mellado, 90",Madrid,Madrid,Chamberí,es,Gaztambide,40.4384955,-3.7139324,True,https://www.idealista.com/obra-nueva/108728776/,"Viviendas de 1 y 2 dormitorios en Andrés Mellado 90. Creado para quienes buscan la máxima calidad, confort y distinción en cada detalle. Esta exclusiva vivienda de 83 m² se encuentra en la tercera planta y cuenta con 2 dormitorios. La vivienda es muy luminosa gracias a sus grandes ventanales orientados al jardín de la urbanización El acceso a la vivienda se realiza a través de un amplio hall que nos conduce al salón, muy luminoso por sus ventanales con vistas al jardín comunitario. Al otro lado del salón encontramos la cocina abierta que proporciona amplitud a la estancia. Un distribuidor nos lleva a la zona de noche donde se ubican dos dormitorios, ambos con baño en suite. Pero eso no es todo. La vivienda también ofrece acceso a zonas comunes de alta calidad, incluyendo: - Portal de acceso - Ascensores - Escaleras - Garaje comunitario - Trasteros - Zonas ajardinadas con piscina - Gimnasio - Portería Disfruta de la mejor calidad de vida en el corazón de Madrid. Contáctanos para obtener más información y programar una visita. ¡Andrés Mellado 90, la vivienda de lujo que siempre has soñado!",False,True,True,False,11988.0,True,False,False,False,[],False,False,995000.0,€,True,True,flat,"Gaztambide, Madrid","Piso en calle Andrés Mellado, 90",,,,,
109214686,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/bc/cc/b4/1367669927.webp,,24,2,240000.0,studio,sale,70.0,True,0,1,calle Thomas Edison,Madrid,Rivas-Vaciamadrid,Rivas Futura,es,,40.3338372,-3.5235991,False,https://www.idealista.com/inmueble/109214686/,"¡Descubre tu nuevo hogar en este espectacular estudio en venta, ubicado en un residencial cerrado frente al centro comercial H2O! Con 70 m² construidos, este inmueble diáfano ofrece una distribución funcional que incluye una cocina equipada y un baño completo. Los grandes ventanales permiten que la luz natural inunde el espacio, mientras que las vistas son simplemente encantadoras.  El suelo vinílico y los armarios empotrados añaden un toque moderno y práctico al ambiente. Además, cuenta con aire acondicionado y bomba de frío/calor para tu comodidad durante todo el año. Este estudio también incluye dos plazas de garaje y un trastero, lo que es ideal para maximizar el espacio. La comunidad tiene vigilancia física las 24 horas, brindando tranquilidad y seguridad. La ubicación es inmejorable: rodeado de ocio, tiendas, supermercados y zonas verdes, tendrás todo lo que necesitas a tu alcance. El parque del Sureste está muy cerca, perfecto para disfrutar de la naturaleza. Con acceso directo a la A-3 y una parada de bus justo a la salida del recinto, moverte por la ciudad será muy fácil. Además, el metro Rivas Futura está a menos de 5 minutos a pie, y el hospital HM se encuentra justo al lado, rodeado de restaurantes y opciones de entretenimiento. No dejes pasar esta oportunidad única de vivir en un entorno cómodo y bien comunicado. ¡Ven a visitarlo y enamórate de tu nuevo hogar!",False,False,True,,3429.0,False,False,False,False,[],False,False,240000.0,€,True,True,flat,"Rivas Futura, Rivas-Vaciamadrid",Estudio en calle Thomas Edison,good,studio,,,
108307508,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/b7/2a/77/1241938347.webp,PR-C-760@TipoB,30,6,366000.0,flat,sale,91.0,True,3,2,"José María Lozano Sáinz, 11",Madrid,Madrid,Villaverde,es,Los Ángeles,40.346688,-3.6947533,True,https://www.idealista.com/obra-nueva/108307508/,"Forma de pago flexible atendiendo a tus necesidades Entrega de llaves: Entre febrero y abril 2027. Cielo de Villaverde cuenta con apartamentos y viviendas de 2 y 3 dormitorios, con terrazas y suelo radiante, y se caracteriza por contar con salas temáticas y más de 6.000m2 de zonas comunes exteriores, para disfrutar de una experiencia de relax, ocio y deporte dentro de un ambiente de seguridad y tranquilidad. También áticos a la venta.  Piscina, pista polideportiva, pádel, gimnasio, zonas de juegos infantiles, salas comunitarias y amplias zonas verdes sin salir de la urbanización. Las viviendas cuentan con dormitorios espaciosos y luminosos, bien orientadas con modernas calidades que dan forma a hogares de ensueño, bien comunicadas con transportes urbanos y lugares de ocio. En Cielo de Villaverde se han diseñado diversas tipologías de viviendas pensando en la comodidad. Todas las viviendas cuentan con excelentes distribuciones, trasteros y garajes, a un precio excelente. El proyecto se encuentra situado cerca del Centro Médico de Especialidades, y también de dos centros educativos, uno de ellos la Escuela Infantil El Sur y el otro la Escuela de Fútbol Villaverde. Alrededor se encuentran dos centros comerciales de ocio y zonas verdes como el Parque Dehesa Boyal; además de un supermercado Mercadona y el Palacio de congresos y exposiciones La Nave, centro de referencia tecnológica y cultural. Elige tu futuro hogar en la última fase del mejor proyecto. Además, ahora tienes la oportunidad de seleccionar las calidades y personalizar tu vivienda. Muy cerca de medios de transporte y zonas de naturaleza, ocio y deporte. A 20 min en metro de la Puerta del Sol y a 10 minutos de ATOCHA en tren. Ubicado cerca de espacios verdes como la Dehesa del Boyal y de un polideportivo de referencia como es el de Raúl Gonzalez; se encuentra a escasa distancia del metro y el cercanías.",True,True,True,False,4022.0,True,False,False,False,[],False,False,366000.0,€,True,True,flat,"Los Ángeles, Madrid","Piso en José María Lozano Sáinz, 11",newdevelopment,,,,
107762155,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/16/2b/e1/1323038373.webp,F.F.,23,3,160000.0,penthouse,sale,52.0,True,1,1,calle de Francisco de la Fuente,Madrid,Madrid,Villa de Vallecas,es,Casco Histórico de Vallecas,40.3727752,-3.6228325,False,https://www.idealista.com/inmueble/107762155/,"ESTUDIO HOME MADRID OFRECE vivienda de 52 m2 construidos según Catastro, muy luminosa, situada en tercera planta exterior, con doble orientación (suroeste y noreste), sin ascensor, ubicada en el casco histórico de Vallecas, ubicada en calle peatonal. Según su distribución actual, la vivienda dispone de salón con mirador y acceso a una gran terraza acristalada, un dormitorio con mirador, cuarto de baño con plato de ducha, cocina independiente, pequeño recibidor y pasillo. Dispone de un trastero incluido en el precio. En cuanto a sus calidades, el inmueble dispone de puerta de entrada acorazada; suelos de parquet; los cerramientos exteriores son de aluminio, con acristalamiento térmico y acústico “tipo Climalit”, con doble ventana en los dos miradores; en cuanto a la carpintería interior, posee puertas de roble y un armario empotrado en el dormitorio; pintura en gotelé; etc. La vivienda dispone de aire acondicionado (bomba de frío/calor) en salón y dormitorio.  Está ubicada en la zona sur de la ciudad de Madrid, dentro del distrito municipal de Villa de Vallecas, en la zona del Casco Histórico. Se trata de una zona completamente consolidada, con todos los servicios, como supermercados, farmacias, guarderías, …, y con diferentes colegios, como CEIP Honduras, Centro Concertado de Enseñanza San Eulogio, CEIP Juan Gris, …, a 10 minutos andando del Centro de Salud Villa de Vallecas. Destacar su cercanía al Centro Comercial La Gavia. Con grandes zonas deportivas en la zona. Bien comunicada por transporte público, con varias líneas de la EMT (líneas 103, 142, N9) muy cerca del edificio, entre las estaciones de Metro Congosto y Villa de Vallecas (línea 1) y muy cercano a la estación de Cercanías de Renfe de Vallecas (C2 yC7). Hay que destacar su fácil acceso en coche a las carreteras M40, M45 y A3. ESTUDIO HOME MADRID, agencia inmobiliaria con 20 años de experiencia en el sector, les ofrece asesoramiento jurídico, fiscal y financiero, realizando un seguimiento personalizado durante todo el proceso de compraventa. Agencia inmobiliaria inscrita en el RAIN (Registro de Agentes Inmobiliarios de la Comunidad de Madrid).",False,False,False,,3077.0,True,False,False,True,[],False,False,160000.0,€,,,flat,"Casco Histórico de Vallecas, Madrid",Ático en calle de Francisco de la Fuente,good,penthouse,180000.0,20000.0,11.0
108502573,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/6d/0e/f7/1366228703.webp,PV9135I,22,,1598000.0,chalet,sale,400.0,,3,4,Barrio Zona Estación,Madrid,Pozuelo de Alarcón,Zona Estación,es,Zona Estación,40.4540022,-3.7995087,False,https://www.idealista.com/inmueble/108502573/,"Viviendas de espacios amplios y abiertos, con una superficie construida de unos 400 m² sobre una parcela de 390 m², cuentan con una distribución excelente y funcional, las viviendas estarán dotadas de instalación completa de AEROTERMIA Mediante suelo radiante y refrigerante en todas las estancias de la vivienda.  Distribución:  PLANTA PRINCIPAL: - Hall de entrada con armario gabanero y aseo de cortesía. - Un gran salón-comedor con cocina abierta con acceso directo al jardín.  PLANTA ALTA: - Dormitorio principal en suite con vestidor y baño. - Dos habitaciones tipo suite con baño incorporado. PLANTA BAJA: - Cuarto de Lavado - Cuarto de instalaciones. - Baño completo. Los clientes tienen la opción de personalizar con varios extras la planta sótano y/o la planta Cubierta con la siguiente distribución y jardín: JARDÍN: - Piscina. - Iluminación personalizada. Cada una de estas dos fantásticas viviendas, estarán compuestas de tres amplias plantas, de aproximadamente 100 m² cada una, a las que se le añade la enorme terraza sobre la cubierta.   vivienda cuenta con tres dormitorios con baños en suite, ampliable a cinco dormitorios y un despacho adicional. Con posibilidad de personalización para adaptar las viviendas a cada familia. Cocina totalmente equipadas, con electrodomésticos BOSCH clase A++ o similar, incluidos: - lavavajillas integrable, horno eléctrico y microondas integrados en columna, placa de inducción con campana extractora integrada en falso techo y fregadero con grifería monomando. - Persianas de seguridad motorizadas.  Para disfrutar del máximo confort, las viviendas estarán dotadas de una instalación completa de AEROTERMIA Mediante suelo radiante y refrigerante en todas las estancias habitables de la vivienda. Incluye un cuarto lavadero, un cuarto de instalaciones y un baño completo. PLANTA CUBIERTA: La terraza en planta superior se entrega solada y con barandilla, tomas de luz y agua. Se puede personalizar incluyendo: - Jacuzzi de última generación. - Pérgola bioclimática. - Tomas de TV, fibra óptica... JARDÍN: - Diseño de jardín personalizado. - Piscina. - Iluminación exterior personalizable. Puedes ver más inmuebles en nuestra página web. Este importante municipio de Madrid ocupa una extensión de 42 km2 y tiene una población de aproximadamente 84.000 habitantes. Como referencia geográfica, se encuentra a 11 kilómetros del centro de la capital y linda con Aravaca. Además de varias líneas de autobuses y de metro ligero, cuenta con dos estaciones de cercanías: una en Pozuelo y otra en El Barrial, junto al Corte Inglés. Sin olvidar sus tres grandes ejes: la A-6, la M-500 y la M-40.  De entres sus muchas urbanizaciones, destacamos La Finca, Somosaguas o Álamos de Bularas. Según su carácter urbanístico, en algunas se han construido pisos cerca de las zonas comerciales, y en otras, adosados y chalets independientes.  Asimismo, cuenta con colegios muy conocidos, algunos de ellos bilingües, lo que hace de esta población una zona muy demandada por ejecutivos destinados en Madrid. En sus inmediaciones se encuentra el Campus Universitario de Somosaguas, donde se cursan varias carreras de la Universidad Complutense.  Estamos ante una zona muy tranquila, de gran seguridad y con unos servicios acordes a la gran ciudad que es hoy día. De hecho, desde hace ya unos años tiene teatro y su propio conservatorio.",False,False,,,3995.0,True,False,False,False,[],False,False,1598000.0,€,True,True,chalet,"Zona Estación, Pozuelo de Alarcón",Chalet pareado,good,semidetachedHouse,,,
106267964,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/e2/28/2e/1277714907.webp,Tipo 6,7,,710000.0,flat,sale,125.0,True,3,2,"avenida Isabel Farnesio, 7",Madrid,Boadilla del Monte,Sector S,es,,40.4095859,-3.8856812,True,https://www.idealista.com/obra-nueva/106267964/,"¡Nueva promoción en Boadilla del Monte, Avenida Isabel de Farnesio! Descubre tu nuevo hogar en una de las zonas más exclusivas de Boadilla del Monte. Esta promoción cuenta con pisos de 2 y 3 habitaciones, diseñados para ofrecer el máximo confort y funcionalidad.  Cada vivienda dispone de 2 a 3 baños completos, ideales para familias o aquellos que buscan mayor espacio y comodidad. Las viviendas están pensadas para aprovechar al máximo la luz natural y cuentan con acabados de alta calidad, cocinas modernas y amplias terrazas donde disfrutar de momentos de tranquilidad. Ubicada en una zona privilegiada, la Avenida Isabel de Farnesio ofrece fácil acceso a servicios, colegios, zonas verdes y transporte público, sin renunciar a la tranquilidad y el bienestar que caracteriza a Boadilla del Monte. Características principales: •Pisos de 2 y 3 habitaciones. •2 o 3 baños completos. •Amplias terrazas. •Excelentes acabados. •Zona tranquila con todos los servicios a mano. No pierdas la oportunidad de vivir en uno de los mejores entornos residenciales de Madrid. ¡Llámanos y agenda tu visita!",False,True,True,False,5680.0,True,False,False,False,[],False,False,710000.0,€,True,True,flat,"Sector S, Boadilla del Monte","Piso en avenida Isabel Farnesio, 7",newdevelopment,,,,
106268078,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/ae/d8/d0/1277714934.webp,Tipo 9,7,,730000.0,flat,sale,138.0,True,3,2,"avenida Isabel Farnesio, 7",Madrid,Boadilla del Monte,Sector S,es,,40.4095859,-3.8856812,True,https://www.idealista.com/obra-nueva/106268078/,"¡Nueva promoción en Boadilla del Monte, Avenida Isabel de Farnesio! Descubre tu nuevo hogar en una de las zonas más exclusivas de Boadilla del Monte. Esta promoción cuenta con pisos de 2 y 3 habitaciones, diseñados para ofrecer el máximo confort y funcionalidad.  Cada vivienda dispone de 2 a 3 baños completos, ideales para familias o aquellos que buscan mayor espacio y comodidad. Las viviendas están pensadas para aprovechar al máximo la luz natural y cuentan con acabados de alta calidad, cocinas modernas y amplias terrazas donde disfrutar de momentos de tranquilidad. Ubicada en una zona privilegiada, la Avenida Isabel de Farnesio ofrece fácil acceso a servicios, colegios, zonas verdes y transporte público, sin renunciar a la tranquilidad y el bienestar que caracteriza a Boadilla del Monte. Características principales: •Pisos de 2 y 3 habitaciones. •2 o 3 baños completos. •Amplias terrazas. •Excelentes acabados. •Zona tranquila con todos los servicios a mano. No pierdas la oportunidad de vivir en uno de los mejores entornos residenciales de Madrid. ¡Llámanos y agenda tu visita!",False,True,True,False,5290.0,True,False,False,False,[],False,False,730000.0,€,True,True,flat,"Sector S, Boadilla del Monte","Piso en avenida Isabel Farnesio, 7",newdevelopment,,,,
109123655,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/fc/44/8b/1365035088.webp,E1 4º A,4,4,240922.0,flat,sale,110.0,True,3,2,"avenida de Europa, 2",Madrid,Arganda,Centro,es,,40.2994088,-3.4509122,True,https://www.idealista.com/obra-nueva/109123655/,"48 VIVIENDAS DE PROTECCION PUBLICA EN REGIMEN DE COOPERATIVA A PRECIO DE COSTE, en la mejor zona de Arganda, próxima al hospital y al nuevo cuartel de la Guardia Civil, zonas verdes, equipamientos educativos, deportivos y comerciales, y a pocos minutos de la estación de metro de Arganda.  Amplias y luminosas viviendas de 2 y 3 dormitorios con terraza, tendedero, dos plazas de garaje y trastero. Bajos con patio. Aerotermia. Alta calificación energética.",False,True,True,False,2190.0,True,False,False,False,[],False,False,240922.0,€,True,True,flat,"Centro, Arganda","Piso en avenida de Europa, 2",newdevelopment,,,,
108801003,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/d9/6d/54/1260479261.webp,Esc 2 1ºB,20,1,425700.0,flat,sale,100.0,True,2,2,"avenida Provisional Ahijones Berrocales, 62",Madrid,Madrid,Vicálvaro,es,Los Berrocales,40.3757717,-3.5792752,True,https://www.idealista.com/obra-nueva/108801003/,"Vivienda de obra nueva en Berrocales, al sureste de Madrid, entre Ensanche de Vallecas y Santa Eugenia. Célere Bifaz es una promoción moderna e innovadora. Con una oferta de 87 viviendas distribuidas en uno, dos y tres dormitorios, Célere Bifaz promete ser el hogar de quienes buscan un estilo de vida moderno y exclusivo. Luminoso y espacioso, este piso te brinda la amplitud y la luz natural que necesitas para crear tu propio hogar. Cada rincón está pensado para tu comodidad, desde la cocina totalmente equipada hasta el salón con terraza, perfecto para relajarte o disfrutar con amigos y familiares. Célere Bifaz contará con una calificación energética doble A, garantizando eficiencia tanto en emisiones como en consumos. Disfruta de tu plaza de garaje y trastero para mayor comodidad. El proyecto cuenta con una agradable piscina para adultos y de niños, zona de aseos, zona de bicicletas. En la última planta, y para poder disfrutar de las vistas, cuenta con una sala social-gourmet y un gimnasio. Además, la promoción ha incluido una zona exterior de juegos para niños, donde puedan disfrutar jugando en un entorno protegido. Un entorno que te encantará: Naturaleza a tu alcance, rodeado de zonas verdes y un parque infantil, este es el lugar perfecto para disfrutar del aire libre y crear momentos inolvidables en familia. Ubicación ideal, situada a pocos minutos del centro de Madrid y perfectamente comunicado por transporte público y privado, podrás disfrutar de todas las comodidades de la ciudad sin renunciar a la tranquilidad. La integración de viviendas, zonas verdes, comercios y servicios públicos asegura que los residentes disfruten de una calidad de vida inigualable.",False,True,True,False,4257.0,True,False,False,False,[],False,False,425700.0,€,True,True,flat,"Los Berrocales, Madrid","Piso en avenida Provisional Ahijones Berrocales, 62",newdevelopment,,,,
109196822,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/5b/4f/c1/1367148466.webp,08/25V,48,4,380000.0,flat,sale,104.0,True,3,2,calle del Almendro,Madrid,Alcobendas,Alcobendas Centro,es,,40.5435239,-3.6404576,False,https://www.idealista.com/inmueble/109196822/,"¡Descubre tu nuevo hogar en el corazón de Alcobendas! Este espectacular piso de 104 m², situado en la cuarta planta de un edificio con ascensor, ofrece un espacio ideal para disfrutar de la vida urbana. Con tres amplias habitaciones equipadas con armarios empotrados, tendrás todo el espacio que necesitas para tu familia o para convertir una de ellas en tu oficina personal.  El inmueble cuenta con un baño completo y un aseo adicional, perfectos para mayor comodidad. Los suelos de parquet aportan un toque moderno y acogedor, mientras que la calefacción central a gasoil garantiza un ambiente cálido en invierno. Además, la terraza acristaladaes ideal para relajarse y disfrutar del aire libre en cualquier época del año. Y la terraza de la cocina es ideal para el almacenamiento extra. Reformado y listo para mudarse, este piso construido en 1976 se encuentra en un estado excepcional.  Su ubicación en el centro de Alcobendas es inmejorable. Estarás cerca de paradas de autobús, la estación de Renfe y el metro, lo que facilita los desplazamientos. Además, encontrarás una gran variedad de servicios de comercio local en los alrededores y estarás rodeado de todo tipo de servicios, como supermercados, tiendas, restaurantes y parques. No dejes pasar esta oportunidad. Estaremos encantados de ayudarte y mostrarte personalmente esta increíble propiedad. Este inmueble es perfecto también para inversores, ya que su ubicación y características lo hacen altamente atractivo en el mercado. No pierdas la oportunidad de visitar este encantador piso que combina comodidad, estilo y una ubicación inmejorable. ¡Tu nuevo hogar te espera! Además contamos con asesoramiento financiero 100% para su crédito hipotecario y asesores inmobiliarios de la zona para encontrarle la vivienda que busca! BusinessHome cuenta con servicios de asesoramiento financiero, inversión de su dinero para la mayor rentabilidad, reformas de todo tipo ( desde pintar hasta reformas integrales ) PRESUPUESTOS SIN COMPROMISO, eficiencias energéticas, tramitación de herencias, etc.",False,False,True,,3654.0,False,False,False,False,[],False,False,380000.0,€,,,flat,"Alcobendas Centro, Alcobendas",Piso en calle del Almendro,good,,,,
