propertyCode,thumbnail,externalReference,numPhotos,price,propertyType,operation,size,rooms,bathrooms,address,province,municipality,district,country,latitude,longitude,showAddress,url,description,hasVideo,status,newDevelopment,newDevelopmentFinished,priceByArea,hasPlan,has3DTour,has360,hasStaging,notes,topNewDevelopment,topPlus,priceInfo.price.amount,priceInfo.price.currencySuffix,parkingSpace.hasParkingSpace,parkingSpace.isParkingSpaceIncludedInPrice,detailedType.typology,detailedType.subTypology,suggestedTexts.subtitle,suggestedTexts.title,floor,exterior,neighborhood,hasLift
105074483,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/b5/b1/40/1058283768.webp,CH-66,54,902000.0,chalet,sale,252.0,4,4,"calle Cabo de Palos, 1",Madrid,Boadilla del Monte,El Pastel,es,40.4192954,-3.9140246,True,https://www.idealista.com/obra-nueva/105074483/,"Visita chalet piloto En construcción. Promoción de 78 viviendas de 4 y 5 dormitorios. Todas incluyen sótano, amplias terrazas y dos plazas de aparcamiento privadas subterráneas con acceso directoa la vivienda. Además, Zimara dispone de piscina infantil y de adultos con carril de nado, área de juegos exterior, aparcamiento exterior de bicicletas, gimnasio y gastroteca con una ludoteca infantil al lado. También tendrás una sala que podrás usar como espacio de coworking para trabajar, como sala de lectura o como despachos.  Igualmente contarás con una pantalla exterior hacia zona de graderío que actúa como cine de verano. En el bajo rasante habrá dos cuartos de bicicletas con bancada para hacer pequeñas reparaciones, uno de los cuartos con zona de lavado. También habrá un cuarto con una lavadora y secadora de tipo profesional para prendas voluminosas (edredones, colchas, etc. ); así como un cuarto de lavado de mascotas. La urbanización dispone de cuidados accesos peatonales y contarás con garita de vigilancia y un circuito de cámaras de videovigilancia. Dirección PUNTO DE VENTA: Avda. Isabel de Farnesio, esq Avda. Nuevo Mundo (Boadilla).",False,newdevelopment,True,False,3579.0,True,False,False,False,[],False,False,902000.0,€,True,True,chalet,terracedHouse,"El Pastel, Boadilla del Monte","Chalet adosado en calle Cabo de Palos, 1",,,,
106353772,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/39/45/43/1280284651.webp,V07,15,525000.0,chalet,sale,247.0,3,3,calle Benito Pérez Galdós s/n,Madrid,Móstoles,El Soto - Coveta,es,40.3246111,-3.879796,True,https://www.idealista.com/obra-nueva/106353772/,"CASA GEOSOLAR PERSONALIZABLE EN MÓSTOLES   Grupo INDEX pone a tu alcance un nuevo tipo de viviendas de vanguardia no sólo por su diseño totalmente personalizable, sino también por sus sistemas de producción y ahorro energético. Te presentamos el Residencial ATLANTIS ubicado en Móstoles (Madrid), en las calles Benito Pérez Galdós, María Moliner y Camino de Carrasquillas.  Compuesto por 15 viviendas GEOSOLARES PERSONALIZABLES, todas ellas superan los 246 m2 construidos y están situadas en parcelas que oscilan desde los 155m2 hasta los 295m2.   TODAS LAS VIVIENDAS INCLUYEN EN EL PRECIO: •Garaje con elevador para aparcar 2 vehículos o más. •Sótano ampliable. •Cocina amueblada con electrodomésticos. •Caldera de Geotermia, placas fotovoltaicas y suelo radiante. •Amplio catálogo de cambios sin coste.   El interior de la vivienda es personalizable por completo según tus gustos y necesidades. Elige el número de habitaciones, ubicación de la cocina, si quieres garaje para tres coches o más sótano con cuarto de juegos, suelos, puertas, alicatados, pintura, sanitarios, griferías… También tu decoración, porque en el mismo precio incluye el asesoramiento de un interiorista. ¡Tu nueva Casa Geosolar será única y la más ahorradora!   ¿TE INTERESA? Solicita una cita con nosotros y podrás ver nuestras viviendas ya construidas. Llámanos y nos veremos en nuestra oficina comercial. Vas a comprar la vivienda del mañana hoy.   ¡RESERVA YA LA TUYA!",True,newdevelopment,True,False,2126.0,True,False,False,False,[],False,False,525000.0,€,True,True,chalet,terracedHouse,"El Soto - Coveta, Móstoles",Chalet adosado en calle Benito Pérez Galdós s/n,,,,
106505123,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/1a/fb/6b/1284856379.webp,F-0B,18,787600.0,flat,sale,121.0,1,1,"José Ribera, 4",Madrid,Pozuelo de Alarcón,Zona Prado de Somosaguas - La Finca,es,40.4033639,-3.7873758,True,https://www.idealista.com/obra-nueva/106505123/,"Magnífica vivienda de 121 m² construidos, ideal para disfrutar de un estilo de vida confortable y moderno.  Esta espectacular propiedad cuenta con un amplio dormitorio que incluye su propio baño completo y un vestidor, ofreciendo privacidad y comodidad. Además, el dormitorio tiene acceso directo a un encantador jardín, perfecto para disfrutar de momentos al aire libre. La vivienda también destaca por su luminoso salón con un gran ventanal que da al jardín privado de 68 m2 y una estupenda cocina, complementados con un despacho que brinda un espacio ideal para trabajar o estudiar. El porche de 25 m² es perfecto para relajarse o compartir gratos momentos disfrutando de tu jardín. La climatización se realiza a través de un sistema de suelo radiante y refrescante, utilizando aerotermia individual. Esto no solo garantiza un gran confort en todas las estaciones, sino que también contribuye a un bajo consumo energético, haciendo de esta vivienda una opción sostenible. La urbanización cuenta con pista de pádel, sala comunitaria y piscina salina. Esta vivienda pertenece a la urbanización Monteturia que se entregará en Noviembre 2025. En el precio esta incluido, una plaza de garaje y un trastero, así como el IVA. La vivienda viene totalmente equipada con cocina, luminarias led, y armarios vestidos.",False,newdevelopment,True,False,6509.0,True,False,False,False,[],False,False,787600.0,€,True,True,flat,,"Prado de Somosaguas, Pozuelo de Alarcón","Piso en José Ribera, 4",bj,True,Prado de Somosaguas,True
108458213,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/50/56/8c/1345510416.webp,W-02ZAVZ,44,1475000.0,flat,sale,214.0,5,3,calle de Ramírez de Arellano,Madrid,Madrid,Ciudad Lineal,es,40.4511918,-3.6527202,False,https://www.idealista.com/inmueble/108458213/,"Amplio y luminoso piso en Arturo Soria Engel&Volkers pone a su disposición, en exclusiva y SIN COMISION para el comprador, este increíble piso para reforma integral en una de las urbanizaciones más simbólicas de Arturo Soria. La vivienda tiene dos puertas de acceso, la principal a la que se puede llegar desde un ascensor privado directo, y la de servicio a la que se accede a través de las escaleras o ascensor.  El piso consta de cinco habitaciones y tres baños, uno de ellos en suite. A través del amplio y luminoso salón con chimenea, accedemos a una terraza exterior, con opción de integrarla en el salón o acristarlarla y crear una encantadora estancia perfecta para reuniones o momentos de relax. Desde su amplia cocina, con zona independiente de lavadero, se accede a la zona de servicio, con dormitorio y cuarto de baño completo. La calefacción es central y cuenta con radiadores con contadores individuales. Esta vivienda es accesible para silla de ruedas y se encuentra dentro del Conjunto residencial Las Islas, en el barrio de Arturo Soria, que construyó el arquitecto Miguel Oliver Pérez en 1980. En este complejo, los seis bloques de viviendas se proyectan en torno a una gran pradera. La urbanización consta de múltiples zonas comunes, servicio de conserjería, dos piscinas, parque infantil, gimnasio e inmensas zonas verdes.  La comunidad incluye seguridad 24 horas los siete días de la semana. En el precio de la vivienda se incluyen dos plazas de garaje. Esta magnífica vivienda se encuentra ubicada en la mejor zona de Arturo Soria, uno de los más prestigiosos barrios de Madrid, muy cerca del centro comercial Arturo Soria Plaza. Con una estupenda comunicación y fácil acceso a la M-30, A-2, M-11 y aeropuerto, cuenta con supermercados, zonas de ocio, numerosos colegios públicos y privados y amplia cobertura sanitaria (Nuestra Señora de América, Clínica Belén, Anderson, etc).",False,good,False,,6893.0,True,False,True,False,[],False,False,1475000.0,€,True,True,flat,,"San Juan Bautista, Madrid",Piso en calle de Ramírez de Arellano,3,True,San Juan Bautista,True
108391983,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/b2/fe/cb/1342746983.webp,2 1 E,18,719000.0,flat,sale,83.0,2,2," de San Enrique, 3",Madrid,Madrid,Tetuán,es,40.4563269,-3.7010997,True,https://www.idealista.com/obra-nueva/108391983/,"Un lugar que te cambiará la vida.   Magnífico conjunto residencial de Darya Homes en una de las zonas con más proyección de Madrid.    Serentia Gardens es un proyecto de 1 dormitorio con impresionantes zonas comunes, firmado por los arquitectos Cano y Escario, y certificación de sostenibilidad BREEAM.   Una ubicación imbatible, entre Cuzco y Azca, a 10 minutos del Bernabéu.   Zonas comunes:   - Jardín con piscina  - Piscina en azotea con sauna  - Coworking  - Gimnasio  - Sala de cine  - Huertos urbanos  - Garaje Viviendas con amplios ventanales, completamente equipadas con materiales y electrodomésticos de primer nivel.",False,newdevelopment,True,False,8663.0,True,False,False,False,[],False,False,719000.0,€,,,flat,,"Cuatro Caminos, Madrid","Piso en de San Enrique, 3",1,True,Cuatro Caminos,True
108528841,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/d6/59/f3/1347588041.webp,W-02WCK0,19,1598000.0,chalet,sale,400.0,5,4,"calle Arroyo del Tesoro, 3",Madrid,Pozuelo de Alarcón,Zona Estación,es,40.4539127,-3.8005207,True,https://www.idealista.com/obra-nueva/108528841/,"Engel & Völkers le ofrece esta oportunidad única de adquirir una magnífica casa pareada de obra nueva. Pertenece a una promoción exclusiva de dos viviendas, situada en Pozuelo a un paso de la Estación de Renfe, y la zona residencial y de servicios de Avenida de Italia. Y muy cerca de la zona comercial del centro de Aravaca. Esta exclusiva vivienda comparte con su melliza la peculiaridad de estar unidas sólo por la espalda. Lo que permite que funcionen como casas unifamiliares independientes. Esta ingeniosa solución arquitectónica es posible porque la parcela da a dos calles, permitiendo la entrada independiente a cada casa. Esta intimidad está garantizada por los materiales y técnicas de construcción empleados en toda la estructura, especialmente reforzada en el único parámetro de unión.  Las calidades están alineadas con el valor del diseño arquitectónico. Las prestaciones técnicas responden a las más altas expectativas del comprador más exigente, y en línea con los estándares de una casa moderna de lujo. Como ejemplo, el sistema de climatización con paneles fotovoltaicos y aerotermia con suelo radiante. O en el apartado de la seguridad, el sistema de Domótica con pantalla táctil para control de iluminación, persianas, detección de inundaciones, intrusión, incendio y humo. O el sistema de iluminación LED en todas las estancias. Esta propiedad tiene una superficie construida de 399,52 m², distribuidos en tres plantas más terraza (aprox.100m2) en la cubierta, con instalación de agua y luz. Este espacio puede convertirse en un oasis privado, con la opción de incluir jacuzzi, pérgola retráctil, tomas de TV y fibra óptica. El jardín tiene una superficie útil total de 283 m², con piscina opcional. La distribución interior es cómoda, y con amplios espacios. En planta principal se desarrolla la zona social con aseo de cortesía, gran salón/comedor y cocina abierta, con amplios ventanales que garantizan la luminosidad en este gran espacio. La segunda planta se dedica a dormitorios, con posibilidad de personalizar según necesidades, de tres dormitorios (todos con baño en suite, y el principal con vestidor), a cuatro con tres baños. Igualmente, la planta sótano (93m²) permite personalización para convertirlo en un espacio de ocio y disfrute para toda la familia, con minibar y home cinema; o destinarlo a habitación de servicio con baño, y sala de juegos. Ambas opciones incluyen lavandería/planchador y baño completo. En definitiva, una magnífica vivienda, referente en obra nueva en Pozuelo, por sus altos niveles de diseño, calidad y eficiencia energética, avalado por la garantía del grupo Empresarial Constructor Unitecnia.  ¡No pierdas esta oportunidad! Contáctanos para más información.",False,newdevelopment,True,False,3995.0,True,False,False,False,[],False,False,1598000.0,€,True,True,chalet,semidetachedHouse,"Zona Estación, Pozuelo de Alarcón","Chalet pareado en calle Arroyo del Tesoro, 3",,,Zona Estación,
108846893,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/ff/76/e5/1356849094.webp,BE_2ºB,20,938713.0,flat,sale,94.0,1,2,"de la Verónica, 13",Madrid,Madrid,Centro,es,40.4119003,-3.6942597,True,https://www.idealista.com/obra-nueva/108846893/,"¡No pierdas la oportunidad de vivir en el corazón de Madrid! Te presentamos una promoción exclusiva de viviendas de obra nueva en un edificio histórico completamente reformado en el centro de Madrid. Ubicación privilegiada: En pleno centro de Madrid, rodeado de los mejores restaurantes, tiendas y lugares de interés cultural. Excelente conexión con transporte público. Viviendas modernas y luminosas: Apartamentos de 1, 2 y 3 dormitorios, con diseño contemporáneo y acabados de alta calidad. Amplios ventanales que permiten la entrada de luz natural. Cocinas totalmente equipadas con electrodomésticos de última generación. Servicios exclusivos: Patio interior ajardinado: Un oasis de tranquilidad en el corazón de la ciudad.  Spa: Relájate y desconecta en nuestro exclusivo spa. ¡No esperes más y reserva tu vivienda de ensueño en el centro de Madrid Información adicional: Entrega prevista: 30/01/2026  Precios desde: €  Para más información y visitas, contacta con nosotros.",False,newdevelopment,True,False,9986.0,True,False,False,False,[],False,False,938713.0,€,,,flat,,"Huertas-Cortes, Madrid","Piso en de la Verónica, 13",2,True,Huertas-Cortes,True
105074493,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/b5/b1/40/1058283768.webp,CH-52,54,978000.0,chalet,sale,249.0,4,4,"calle Cabo de Palos, 1",Madrid,Boadilla del Monte,El Pastel,es,40.4192954,-3.9140246,True,https://www.idealista.com/obra-nueva/105074493/,"Visita chalet piloto En construcción Promoción de 78 viviendas de 4 y 5 dormitorios. Todas incluyen sótano, amplias terrazas y dos plazas de aparcamiento privadas subterráneas con acceso directoa la vivienda. Además, Zimara dispone de piscina infantil y de adultos con carril de nado, área de juegos exterior, aparcamiento exterior de bicicletas, gimnasio y gastroteca con una ludoteca infantil al lado. También tendrás una sala que podrás usar como espacio de coworking para trabajar, como sala de lectura o como despachos.  Igualmente contarás con una pantalla exterior hacia zona de graderío que actúa como cine de verano. En el bajo rasante habrá dos cuartos de bicicletas con bancada para hacer pequeñas reparaciones, uno de los cuartos con zona de lavado. También habrá un cuarto con una lavadora y secadora de tipo profesional para prendas voluminosas (edredones, colchas, etc. ); así como un cuarto de lavado de mascotas. La urbanización dispone de cuidados accesos peatonales y contarás con garita de vigilancia y un circuito de cámaras de videovigilancia. Dirección PUNTO DE VENTA: Avda. Isabel de Farnesio, esq Avda. Nuevo Mundo (Boadilla).",False,newdevelopment,True,False,3928.0,True,False,False,False,[],False,False,978000.0,€,True,True,chalet,semidetachedHouse,"El Pastel, Boadilla del Monte","Chalet pareado en calle Cabo de Palos, 1",,,,
108846873,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/b4/64/6f/1356848613.webp,BE_2ºIZQ,20,1489743.0,flat,sale,165.0,2,2,"de la Verónica, 13",Madrid,Madrid,Centro,es,40.4119003,-3.6942597,True,https://www.idealista.com/obra-nueva/108846873/,"¡No pierdas la oportunidad de vivir en el corazón de Madrid! Te presentamos una promoción exclusiva de viviendas de obra nueva en un edificio histórico completamente reformado en el centro de Madrid. Ubicación privilegiada: En pleno centro de Madrid, rodeado de los mejores restaurantes, tiendas y lugares de interés cultural. Excelente conexión con transporte público. Viviendas modernas y luminosas: Apartamentos de 1, 2 y 3 dormitorios, con diseño contemporáneo y acabados de alta calidad. Amplios ventanales que permiten la entrada de luz natural. Cocinas totalmente equipadas con electrodomésticos de última generación. Servicios exclusivos: Patio interior ajardinado: Un oasis de tranquilidad en el corazón de la ciudad.  Spa: Relájate y desconecta en nuestro exclusivo spa. ¡No esperes más y reserva tu vivienda de ensueño en el centro de Madrid Información adicional: Entrega prevista: 30/01/2026  Precios desde: €  Para más información y visitas, contacta con nosotros.",False,newdevelopment,True,False,9029.0,True,False,False,False,[],False,False,1489743.0,€,,,flat,,"Huertas-Cortes, Madrid","Piso en de la Verónica, 13",2,True,Huertas-Cortes,True
108338660,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/45/f5/a4/1176538576.webp,Chalet 79,34,495000.0,chalet,sale,227.0,3,3,"camino Rio, 942",Madrid,Torrejón de Ardoz,Suroeste,es,40.43845,-3.46719,True,https://www.idealista.com/obra-nueva/108338660/,"¡ÚLTIMAS VIVIENDAS DISPONIBLES! ¡OBRA NUEVA ENTREGA INMEDIATA!  VEN A VISITARNOS EN NUESTRO CHALET PILOTO! PONTE EN CONTACTO CON NOSOTROS PARA RESERVAR TU CITA.  Torrejón Class es la nueva propuesta residencial del grupo Asentis en el municipio de Torrejón de Ardoz 91 chalets, pensados por y para ti. Diseñados con precisión y dedicación para poder satisfacer y cubrir las necesidades de toda la familia. Distribuidos en tres parcelas pertenecientes al sector Aldovea, Asentis pone a su alcance una variada oferta de tipologías de chalets de 3 dormitorios, configurados en tres alturas para que el espacio sea el protagonista de vuestra nueva casa. Para completar esta experiencia en la que el espacio es el verdadero articulador de cada vivienda. Todos los chalets de la promoción cuentan con amplias zonas exteriores con superficies que abarcan desde los 83m2 a 181 m2, en las que poder disfrutar sin riesgos y a lo grande de la familia y los amigos. Calidad y precisión en cada acabado, donde los últimos avances en energías limpias proporcionan el máximo confort climático mediante un sistema de suelo radiante y refrescante, y donde la eficiencia energética y la minimización de la huella de carbono han inspirado todas las soluciones constructivas. Estrena casa, construye tu hogar.",False,newdevelopment,True,False,2181.0,True,False,False,False,[],False,False,495000.0,€,True,True,chalet,semidetachedHouse,"Suroeste, Torrejón de Ardoz","Chalet pareado en camino Rio, 942",,,,
