propertyCode,thumbnail,externalReference,numPhotos,floor,price,propertyType,operation,size,exterior,rooms,bathrooms,address,province,municipality,district,country,neighborhood,latitude,longitude,showAddress,url,description,hasVideo,status,newDevelopment,hasLift,newDevelopmentFinished,priceByArea,hasPlan,has3DTour,has360,hasStaging,notes,topNewDevelopment,topPlus,priceInfo.price.amount,priceInfo.price.currencySuffix,parkingSpace.hasParkingSpace,parkingSpace.isParkingSpaceIncludedInPrice,detailedType.typology,suggestedTexts.subtitle,suggestedTexts.title,parkingSpace.parkingSpacePrice,priceInfo.price.priceDropInfo.formerPrice,priceInfo.price.priceDropInfo.priceDropValue,priceInfo.price.priceDropInfo.priceDropPercentage,detailedType.subTypology
109051400,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/de/ef/05/1362794816.webp,Bajo A,12,bj,520000.0,flat,sale,127.0,True,2,2,"calle Oudird, 9",Madrid,Madrid,Tetuán,es,Bellas Vistas,40.4542326,-3.7066505,True,https://www.idealista.com/obra-nueva/109051400/,"Exclusiva promoción de 9 viviendas en Tetuán – Bellas Vistas En este contexto nace una promoción exclusiva en Bellas Vistas, Tetuán, una de las zonas con mayor proyección de la ciudad. Un enclave urbano que combina tradición y modernidad, perfectamente conectado con el centro y rodeado de servicios.  Una promoción única de 9 exclusivas viviendas de 2 dormitorios, todas con plaza de garaje y espacio para bicicletas, y la comodidad añadida de dos baños completos. Las viviendas cuentan con acabados de lujo y la más avanzada tecnología en climatización: aerotermia con suelo radiante, que ofrece calor en invierno y frescor en verano, con la máxima eficiencia energética.  Tu cocina, completamente amueblada y equipada con electrodomésticos de primeras marcas (frigorífico, lavadora, lavavajillas, horno y placa de inducción), lista para estrenar desde el primer día.  Disfruta de un entorno diseñado para tu bienestar, con zonas ajardinadas y piscina donde relajarte sin salir de casa. Si todavía buscas más privacidad y exclusividad, te invitamos a descubrir nuestros áticos dúplex con piscina privada y garaje incluido. Estás en un espacio moderno, confortable y sostenible, en el corazón de un barrio vibrante y en plena transformación. Bien sea para vivir, o como inversión; Residencial Oudrid, 9, significa apostar por un inmueble de calidad en una ciudad en pleno crecimiento, donde la demanda residencial se mantiene sólida y el valor patrimonial sigue en ascenso. Vive el futuro de Madrid, hoy.",False,newdevelopment,True,True,False,4094.0,True,False,False,False,[],False,False,520000.0,€,True,True,flat,"Bellas Vistas, Madrid","Piso en calle Oudird, 9",,,,,
108493535,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/6b/f4/dd/1346554946.webp,P1-Bajo A,28,bj,223137.0,flat,sale,92.0,True,1,1,"Galapagar, 30",Madrid,Collado Villalba,Parque de la Coruña - Las Suertes,es,,40.6237203,-4.0073316,True,https://www.idealista.com/obra-nueva/108493535/,"Nueva Promoción de Viviendas LOS ALTOS DE VILLALBA.  Oportunidad única en una Zona de Alto Potencial, Calle Gabriel García Márquez esquina Avda. de Galapagar, Collado Villalba. Edificio Residencial de 54 viviendas todas con 1 o 2 terrazas, de 1, 2 y 3 dormitorios, con una o dos plazas de garaje y trastero incluido.  Los diferentes tamaños de las viviendas que van desde los 56m² hasta los 166m² construidos se ajustan a cada tipo de familia. Cada vivienda cuenta con una o dos terrazas. El conjunto de edificios formarán una urbanización privada proporcionando una total tranquilidad tanto a ti como a tu familia y contará con piscina, sala multifuncional. Una de las zonas más demandadas de Villalba, al lado de la estación de Renfe, facilita una conexión rápida y directa con el centro de la ciudad, la solución perfecta para quienes buscan comodidad y facilidad en sus desplazamientos diarios. Bien comunicado, ideal para disfrutar con la familia o como inversión.  La zona dispone de una variada oferta de servicios, incluyendo colegios, áreas de ocio y comercios, todo en un ambiente tranquilo y de fácil acceso. Además, destacamos la eficiencia energética del proyecto y los criterios de seguridad y accesibilidad que hemos seguido a la hora de diseñarlo. La promoción de viviendas está sujeta a la obtención de las licencias y autorizaciones necesarias por parte de las administraciones competentes, por lo tanto, las imágenes, planos y descripciones pueden estar sujetas a cambios necesarios. Mobiliario, decoración y electrodomésticos no incluidos.",False,newdevelopment,True,True,False,2425.0,True,False,False,False,[],False,False,223137.0,€,True,True,flat,"Parque de la Coruña - Las Suertes, Collado Villalba","Piso en Galapagar, 30",,,,,
109051488,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/59/2f/17/1362795059.webp,2º A,12,2,490000.0,flat,sale,77.0,True,2,1,"calle Oudird, 9",Madrid,Madrid,Tetuán,es,Bellas Vistas,40.4542326,-3.7066505,True,https://www.idealista.com/obra-nueva/109051488/,"Exclusiva promoción de 9 viviendas en Tetuán – Bellas Vistas En este contexto nace una promoción exclusiva en Bellas Vistas, Tetuán, una de las zonas con mayor proyección de la ciudad. Un enclave urbano que combina tradición y modernidad, perfectamente conectado con el centro y rodeado de servicios.  Una promoción única de 9 exclusivas viviendas de 2 dormitorios, todas con plaza de garaje y espacio para bicicletas, y la comodidad añadida de dos baños completos. Las viviendas cuentan con acabados de lujo y la más avanzada tecnología en climatización: aerotermia con suelo radiante, que ofrece calor en invierno y frescor en verano, con la máxima eficiencia energética.  Tu cocina, completamente amueblada y equipada con electrodomésticos de primeras marcas (frigorífico, lavadora, lavavajillas, horno y placa de inducción), lista para estrenar desde el primer día.  Disfruta de un entorno diseñado para tu bienestar, con zonas ajardinadas y piscina donde relajarte sin salir de casa. Si todavía buscas más privacidad y exclusividad, te invitamos a descubrir nuestros áticos dúplex con piscina privada y garaje incluido. Estás en un espacio moderno, confortable y sostenible, en el corazón de un barrio vibrante y en plena transformación. Bien sea para vivir, o como inversión; Residencial Oudrid, 9, significa apostar por un inmueble de calidad en una ciudad en pleno crecimiento, donde la demanda residencial se mantiene sólida y el valor patrimonial sigue en ascenso. Vive el futuro de Madrid, hoy.",False,newdevelopment,True,True,False,6364.0,True,False,False,False,[],False,False,490000.0,€,True,False,flat,"Bellas Vistas, Madrid","Piso en calle Oudird, 9",20000.0,,,,
104949549,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/d9/b8/29/1237107039.webp,VM2405041,18,1,360000.0,flat,sale,30.0,False,1,1,calle de Santa Engracia,Madrid,Madrid,Chamberí,es,Nuevos Ministerios-Ríos Rosas,40.4398582,-3.7017201,False,https://www.idealista.com/inmueble/104949549/,"PISO REFORMADO DE TECHOS ALTOS EN NUEVOS MINISTERIOS-RIOS ROSAS Ubicada en la calle Santa Engracia en un edifico de 1930 muy bien conservado con ascensor recientemente puesto, se encuentra en la primera planta este acogedor apartamento de 30 m² construidos.  La vivienda estareformada íntegramente, dejando un espacio abierto, salón-comedor, cocina, con ladrillo visto original y la estructura de madera tratada que hace de ambos espacios diferentes y muy agradables. Desde el salón se accede al baño completo y a través de este se accede al dormitorio doble con armarios empotrados. La vivienda cuenta con detalles como la encimera de Neolith acabado Calacatta, puerta de paso de 3,10 m de altura, el baño con un alicatado con apariencia Calacatta también, haciendo de este muy luminoso. La altura de techos es mayor a 3,10 m. El apartamento no es exterior, da a una corrala con mucho encanto, gracias a esto tiene abundante luz.  La bonita reforma, junto con la ubicación, siendo a la altura de Bretón de los Herreros, la zona de Ponzano con todo tipo de restaurantes y bares, el parque de Canal de Isabel II justo en la puerta, el metro a escasos metros, y gran variedad de comercio. Sistema de calefacción y aire acondicionado a través de Split.  Actualmente está alquilado hasta noviembre de 2027 ¿Te imaginas vivir aquí?  Contacte con nosotros para ver más inmuebles similares.",False,good,False,True,,12000.0,True,False,False,False,[],False,False,360000.0,€,,,flat,"Nuevos Ministerios-Ríos Rosas, Madrid",Piso en calle de Santa Engracia,,,,,
106444349,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/26/58/6e/1315158160.webp,06657,30,2,1299000.0,flat,sale,136.0,True,3,3,calle de Hermosilla,Madrid,Madrid,Barrio de Salamanca,es,Goya,40.4268137,-3.672662,False,https://www.idealista.com/inmueble/106444349/,"Este luminoso y espacioso piso exterior está ubicado en la segunda planta de un edificio con ascensor en pleno corazón de Salamanca. Actualmente en obras, la vivienda se presenta como una excelente oportunidad para personalizar cada rincón a tu gusto. La propiedad cuenta con tres amplias habitaciones y tres baños, asegurando el confort y la privacidad de todos los miembros de la familia. La cocina está totalmente equipada y amueblada, lista para inspirar a cualquier chef aficionado. Disfruta de las vistas desde el balcón, perfectos para momentos de tranquilidad al aire libre. Con una ubicación inmejorable en el prestigioso barrio de Salamanca, estarás rodeado de tiendas exclusivas, restaurantes de alta cocina y todos los servicios necesarios para una vida cómoda y sofisticada. No dejes pasar esta oportunidad única de vivir en una de las zonas más codiciadas de Madrid.",False,good,False,True,,9551.0,True,False,False,False,[],False,False,1299000.0,€,,,flat,"Goya, Madrid",Piso en calle de Hermosilla,,1479000.0,180000.0,12.0,
100531606,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/1f/e8/dc/1090816167.webp,VM2302066,30,6,1150000.0,flat,sale,78.0,True,2,2,calle del Robledillo,Madrid,Madrid,Chamberí,es,Nuevos Ministerios-Ríos Rosas,40.442943,-3.6985464,False,https://www.idealista.com/inmueble/100531606/,"ÁTICO MUY LUMINOSO CON TERRAZA Y GARAJE EN ROBLEDILLO. Se trata de una 6ª planta exterior de 78 m² según catastro, de los cuales 62 m² son de vivienda más una terraza de 20 m². El ático superluminoso cuenta con dos habitaciones exteriores y dos baños completos con ducha, el principal en suite, salón comedor con salida a la amplia terraza y cocina independiente. En la terraza podemos encontrar una mesa para 6 comensales que se puede utilizar tanto en verano como en invierno gracias al estupendo toldo y dos tumbonas perfectas para tomar el sol. Los materiales usados son de alta calidad, bonitas puertas de madera, tarimas en el suelo de toda la casa, menos en los baños que se ha empleado porcelánico y mármol. Además, cuenta con una plaza de parking para coche grande en el mismo edificio. Esta vivienda tiene alta rentabilidad por su concepto de lujo y diseño, en la actualidad está alquilado a perfiles de alto poder adquisitivo, aunque igualmente puede estar orientado a cliente final quiera vivir en un barrio agradable y residencial con comercios, restaurantes y muy bien comunicado. ¿Te imaginas vivir aquí?  Contacte con nosotros para ver más inmuebles similares.",False,good,False,True,,14744.0,True,False,False,False,[],False,False,1150000.0,€,True,True,flat,"Nuevos Ministerios-Ríos Rosas, Madrid",Piso en calle del Robledillo,,,,,
108855931,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/eb/1e/7d/1357120632.webp,a01Jy00000unYy1IAE,10,3,275000.0,flat,sale,73.0,True,2,2,"calle de Amadeo I, 1",Madrid,Madrid,Puente de Vallecas,es,Numancia,40.4038332,-3.6576815,True,https://www.idealista.com/obra-nueva/108855931/,"NO DEJES PASAR ESTA OPORTUNIDAD DE INVERSIÓN  BIENVENIDO A AMADEO I BIENVENIDO A MADRID Nuestro residencial Amadeo I representa una oportunidad única reservada para aquellos clientes que buscan realizar una gran inversión. Se trata de la única promoción de vivienda de obra nueva que se desarrolla en el Ámbito.  Vivir en Amadeo I, es vivir en Madrid, frente al barrio de Moratalaz, en un lugar consolidado del distrito Puente de Vallecas con todo lo que necesitas para el día a día. Su ubicación estratégica, te ofrece la oportunidad de tener todos los servicios esenciales a tu alcance y estar situado a escasos 5 minutos en coche tanto de la Glorieta del Conde Casal o del parque El Retiro como del Centro Comercial de La Gavia.  A la vez, dispones de inmejorables comunicaciones en transporte público, con conexiones con Madrid centro, barrio de Moratalaz y con el resto de Vallecas, y en coche, conectada directamente con la A3, M-30 y M-40.  Amadeo I te ofrece un singular conjunto residencial de 65 viviendas, todas con terraza privada, con viviendas de 1, 2 y 3 dormitorios, en una urbanización con tipología de manzana cerrada y patio comunitario interior, que dispone de piscina comunitaria, solárium y espacios ajardinados y de esparcimiento, sala multiusos, aparcamiento para bicicletas, 1 o 2 plazas de garaje y trastero incluidos. Gran parte de las viviendas disponen de inmejorables vistas a Madrid o hacia las zonas comunes, Nuestra nueva promoción de viviendas libres asequibles en Madrid ha sido concebida, no solo como un gran proyecto residencial excelentemente situado pensado para ti. si no también como una apuesta segura en un mercado inmobiliario en continuo crecimiento donde la demanda es altísima y la oferta muy escasa.  Amadeo I se va a gestionar en régimen de cooperativa. La compra del suelo, con importes muy favorables para la cooperativa, ofrece a sus socios una verdadera oportunidad para obtener costes de adjudicación por debajo del mercado, debido a los condicionantes de la adjudicación que realizará el Ayuntamiento de Madrid en esta parcela. CONCIERTA UNA VISITA EN NUESTRAS OFICINAS CENTRALES EN MADRID, calle Alcalá 96, 5º-Dcha, frente a El Corte Inglés de Goya.",False,newdevelopment,True,True,False,3767.0,True,False,False,False,[],False,False,275000.0,€,True,True,flat,"Numancia, Madrid","Piso en calle de Amadeo I, 1",,,,,
108170183,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/97/f0/4a/1335957717.webp,Planta 1ºC,29,1,854652.0,flat,sale,136.0,True,3,3,"calle Fuente Marcela, 15",Madrid,Majadahonda,Zona Monte el Pilar,es,,40.4711852,-3.8544599,True,https://www.idealista.com/obra-nueva/108170183/,"UN PROYECTO ÚNICO EN UN ENTORNO PRIVILEGIADO Exclusiva combinación de lujo y naturaleza. Situado al noroeste de Madrid en el término municipal de Majadahonda, a escasos 10 minutos del centro de la capital. El Monte del Pilar, sin duda, es la mejor zona residencial de Majadahonda, rodeada por un pulmón verde de masa forestal de Bosque Mediterráneo de más de 800 Hectáreas en la que conviven jabalíes, zorros, ginetas, ardillas, erizos, conejos y dónde podrás disfrutar al máximo la naturaleza de esta privilegiada zona de Madrid. ¡UN VERDADERO LUJO A TU ALCANCE! EL ENTORNO Un lugar incomparable, El monte del Pilar, sin duda la mejor zona residencial de Majadahonda, rodeada por un pulmón verde de masa forestal de Bosque Mediterráneo de más de 800 Hectáreas, a un paso de los mejores colegios privados internacionales y concertados de Madrid, Hospital Puerta de Hierro, farmacia, restaurantes, supermercados, iglesia, gasolinera, centros comerciales, club de tenis, a tan solo 5’ andando de la estación de cercanías de Majadahonda, con acceso directo a la A6, M50 y M503 EL PROYECTO EL PROTAGONISTA, LA NATURALEZA. Un solo bloque de 14 exclusivas viviendas de diseño minimalista de fachada asimétrica, situado sobre una parcela de 2.000 m2 con espectaculares vistas a la sierra de Madrid y al Monte del Pilar El compromiso de “RESIDENCIAL LAS TERRAZAS” y del estudio A-CERO Joaquín Torres & Rafael Llamazares con el medioambiente y con el bajo consumo de recursos ha marcado el proyecto en su totalidad. Cabe destacar las excelentes soluciones de cerramientos exteriores que minimizan las pérdidas energéticas, la generación centralizada de calor y frío mediante Aerotermia y placas solares o la reutilización de aguas grises para el riego de jardines, junto con una certificación tipo A de consumo energético. Zonas comunes pensadas para el máximo disfrute, piscina comunitaria, zonas ajardinadas, Gimnasio, zona de juegos infantil, etc VIVIENDAS Exclusivos bajos con amplio jardín y piscina privada, pisos intermedios y áticos – dúplex con amplias terrazas y las más altas calidades. Todas las viviendas estarán dotadas de instalación domótica, suelo radiante en invierno y refrescante en verano, trastero, plazas de aparcamiento, pre-instalación carga de vehículos eléctricos. Plazas de garaje y trasteros en plantas sótano.",False,newdevelopment,True,True,False,6284.0,True,False,False,False,[],False,False,854652.0,€,True,True,flat,"Zona Monte el Pilar, Majadahonda","Piso en calle Fuente Marcela, 15",,,,,
109051491,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/21/b5/f2/1362795025.webp,ÁTICO A,12,3,750000.0,penthouse,sale,142.0,True,2,2,"calle Oudird, 9",Madrid,Madrid,Tetuán,es,Bellas Vistas,40.4542326,-3.7066505,True,https://www.idealista.com/obra-nueva/109051491/,"Exclusiva promoción de 9 viviendas en Tetuán – Bellas Vistas En este contexto nace una promoción exclusiva en Bellas Vistas, Tetuán, una de las zonas con mayor proyección de la ciudad. Un enclave urbano que combina tradición y modernidad, perfectamente conectado con el centro y rodeado de servicios.  Una promoción única de 9 exclusivas viviendas de 2 dormitorios, todas con plaza de garaje y espacio para bicicletas, y la comodidad añadida de dos baños completos. Las viviendas cuentan con acabados de lujo y la más avanzada tecnología en climatización: aerotermia con suelo radiante, que ofrece calor en invierno y frescor en verano, con la máxima eficiencia energética.  Tu cocina, completamente amueblada y equipada con electrodomésticos de primeras marcas (frigorífico, lavadora, lavavajillas, horno y placa de inducción), lista para estrenar desde el primer día.  Disfruta de un entorno diseñado para tu bienestar, con zonas ajardinadas y piscina donde relajarte sin salir de casa. Si todavía buscas más privacidad y exclusividad, te invitamos a descubrir nuestros áticos dúplex con piscina privada y garaje incluido. Estás en un espacio moderno, confortable y sostenible, en el corazón de un barrio vibrante y en plena transformación. Bien sea para vivir, o como inversión; Residencial Oudrid, 9, significa apostar por un inmueble de calidad en una ciudad en pleno crecimiento, donde la demanda residencial se mantiene sólida y el valor patrimonial sigue en ascenso. Vive el futuro de Madrid, hoy.",False,newdevelopment,True,True,False,5282.0,True,False,False,False,[],False,False,750000.0,€,True,True,flat,"Bellas Vistas, Madrid","Ático en calle Oudird, 9",,,,,penthouse
96799768,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/90/67/6b/171440773.webp,1S,44,,350000.0,chalet,sale,243.0,,3,3,"Urbanización Parque Miraflores - Calle Miguel Hernandez, 5",Madrid,Miraflores de la Sierra,,es,,40.80084,-3.76542,True,https://www.idealista.com/obra-nueva/96799768/,"Chalet individual de 219m2 construidos en 2 plantas más sótano (18.55 m2 de porches no incluidos), sobre parcela de 411m2 con sótano de 60,10m2. La planta baja consta de: recibidor, cocina con despensa, aseo, y salón-comedor con chimenea y porche al jardín además de garaje cerrado. La planta primera consta de: dormitorio principal con terraza y baño con columna de hidromasaje. Otro baño completo y dos dormitorios más, uno de ellos con terraza. La planta sótano: de 85,10 m2 en bruto, con conexiones eléctricas, de agua y calefacción, totalmente diáfano. Preciosas vistas de la sierra.  Todos los dormitorios disponen de armarios forrados en madera. Cocina equipada con muebles, vitrocerámica, horno y campana. Agua caliente y calefacción por caldera de gas propano canalizado en toda la urbanización con contador individual. Equipamiento de domótica con alarma, conexión y desconexión de calefacción y riego desde el móvil, a distancia.",False,newdevelopment,True,,True,1440.0,True,False,False,False,[],False,False,350000.0,€,True,True,chalet,Miraflores de la Sierra,"Casa independiente en Urbanización Parque Miraflores - Calle Miguel Hernandez, 5",,,,,independantHouse
