propertyCode,thumbnail,externalReference,numPhotos,floor,price,propertyType,operation,size,exterior,rooms,bathrooms,address,province,municipality,district,country,neighborhood,latitude,longitude,showAddress,url,description,hasVideo,status,newDevelopment,hasLift,newDevelopmentFinished,priceByArea,hasPlan,has3DTour,has360,hasStaging,notes,topNewDevelopment,topPlus,priceInfo.price.amount,priceInfo.price.currencySuffix,parkingSpace.hasParkingSpace,parkingSpace.isParkingSpaceIncludedInPrice,detailedType.typology,suggestedTexts.subtitle,suggestedTexts.title,detailedType.subTypology,priceInfo.price.priceDropInfo.formerPrice,priceInfo.price.priceDropInfo.priceDropValue,priceInfo.price.priceDropInfo.priceDropPercentage
108541791,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/d3/7f/63/1347973479.webp,a01Jy00000unYy1IAE,10,1,285000.0,flat,sale,83.0,True,3,2,"calle de Amadeo I, 1",Madrid,Madrid,Puente de Vallecas,es,Numancia,40.4038332,-3.6576815,True,https://www.idealista.com/obra-nueva/108541791/,"NO DEJES PASAR ESTA OPORTUNIDAD DE INVERSIÓN  BIENVENIDO A AMADEO I BIENVENIDO A MADRID 2 plazas de garajes incluidas en el precio. Nuestro residencial Amadeo I representa una oportunidad única reservada para aquellos clientes que buscan realizar una gran inversión. Se trata de la única promoción de vivienda de obra nueva que se desarrolla en el Ámbito.  Vivir en Amadeo I, es vivir en Madrid, frente al barrio de Moratalaz, en un lugar consolidado del distrito Puente de Vallecas con todo lo que necesitas para el día a día. Su ubicación estratégica, te ofrece la oportunidad de tener todos los servicios esenciales a tu alcance y estar situado a escasos 5 minutos en coche tanto de la Glorieta del Conde Casal o del parque El Retiro como del Centro Comercial de La Gavia.  A la vez, dispones de inmejorables comunicaciones en transporte público, con conexiones con Madrid centro, barrio de Moratalaz y con el resto de Vallecas, y en coche, conectada directamente con la A3, M-30 y M-40.  Amadeo I te ofrece un singular conjunto residencial de 65 viviendas, todas con terraza privada, con viviendas de 1, 2 y 3 dormitorios, en una urbanización con tipología de manzana cerrada y patio comunitario interior, que dispone de piscina comunitaria, solárium y espacios ajardinados y de esparcimiento, sala multiusos, aparcamiento para bicicletas, 1 o 2 plazas de garaje y trastero incluidos. Gran parte de las viviendas disponen de inmejorables vistas a Madrid o hacia las zonas comunes, Nuestra nueva promoción de viviendas libres asequibles en Madrid ha sido concebida, no solo como un gran proyecto residencial excelentemente situado pensado para ti. sino también como una apuesta segura en un mercado inmobiliario en continuo crecimiento donde la demanda es altísima y la oferta muy escasa.  Amadeo I se va a gestionar en régimen de cooperativa. La compra del suelo, con importes muy favorables para la cooperativa, ofrece a sus socios una verdadera oportunidad para obtener costes de adjudicación por debajo del mercado, debido a los condicionantes de la adjudicación que realizará el Ayuntamiento de Madrid en esta parcela. CONCIERTA UNA VISITA EN NUESTRAS OFICINAS CENTRALES EN MADRID, calle Alcalá 96, 5º-Dcha, frente a El Corte Inglés de Goya.",False,newdevelopment,True,True,False,3434.0,True,False,False,False,[],False,False,285000.0,€,True,True,flat,"Numancia, Madrid","Piso en calle de Amadeo I, 1",,,,
108648465,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/02/31/10/1350996386.webp,W-030JFO,24,5,2000000.0,flat,sale,242.0,True,3,4,Barrio Palacio,Madrid,Madrid,Centro,es,Palacio,40.4196081,-3.7093246,False,https://www.idealista.com/inmueble/108648465/,"Propiedad en Barrio de los Austrias con 3 balcones al Teatro Real Engel & Völkers presenta esta magnífica propiedad con 3 balcones con orientación sur, situada en el corazón del Madrid de los Austrias. Ubicada en un edificio clásico de 1.880 muy bien conservado situado en una de las calles premium del barrio de Palacio, con espectaculares vistas al Teatro Real y el Palacio Real. Tras cruzar el umbral, un espacioso recibidor nos conduce hacia la derecha al salón comedor, un espacio regado por la luz que penetra a través de sus tres balcones, y cuyas generosas dimensiones nos facilitan la creación de diferentes ambientes. La altura de la propiedad dentro del inmueble nos permite disfrutar desde esta estancia de unas vistas únicas y de un gran privacidad.  Volviendo hacia la entrada, nos encontramos un espacio destinado a acoger un área de gimnasio con baño en suite. Y avanzando por una pasillo sumamente luminoso, ya que se abre a un patio de manzana, nos esperan sucesivamente los 3 dormitorios con los que cuenta la propiedad, todos ellos con espaciosos baños en suite y zonas destinadas a armarios de gran capacidad, de suelo a techo. En la misma zona nos espera la cocina y el área destinada a lavandería, todas ellas exteriores. La propiedad, cuya reforma, quedó inconclusa, permitirá al nuevo propietario, realizar alguna modificación sobre el proyecto no terminado, o bien concluirlo haciendo los últimos detalles.  Algo que la hace tremendamente atractiva tanto para inversores, como para quienes quieran vivir en pleno casco histórico de Madrid, a escasos minutos andando de algunos principales centros de interés de la capital, pero próximos a zonas verdes y despejadas. La propiedad se encuentra situada a escasos metros del Teatro Real, en la que es una de las calles más bonitas del Madrid de los Austrias. Rodeada de edificios señoriales, cómo el mencionado, el propio Palacio Real o la Catedral de la Almudena, en sus alrededores no faltan los espacios verdes y las áreas con vistas despejadas, algo que la dota de una gran calidad. Su excelente ubicación cuenta con varias líneas de autobuses y metros, además de numerosas paradas de taxi. El barrio tiene una variada dotación comercial, en la que predominan los establecimientos tradicionales que aún conservan la esencia de su pasado, y en la que encontramos igualmente una importante dotación hotelera, en la que los hoteles de lujo cohabitan con otros para presupuestos más ajustados. La oferta gastronómica sigue la misma tónica, con locales de formato más tradicional junto aquellos que ofrecen un perfil más internacional. Un agradable paseo nos permitirá disfrutar de algunas de las principales opciones culturales de la ciudad, cómo los mencionados, la Catedral de la Almudena y el Palacio Real,de la oferta museística de la Galería de las Colecciones Reales o de la historia de Plazas como la de la Villa, la de Oriente o la de Ramales. En definitiva, una ubicación imbatible para disfrutar del Madrid histórico.",True,renew,False,True,,8264.0,True,False,True,False,[],False,False,2000000.0,€,,,flat,"Palacio, Madrid",Piso,,,,
109077220,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/94/e8/5f/1363436877.webp,,16,,1895000.0,chalet,sale,505.0,,5,5,"calle Río Guadalquivir, 7",Madrid,Boadilla del Monte,Parque Boadilla,es,,40.4382623,-3.920127,True,https://www.idealista.com/obra-nueva/109077220/,"A2 Real Estate presenta esta espectacular vivienda de obra nueva a estrenar, diseñada para disfrutar de la luz natural y equipada con las mejores calidades (suelo radiante-refrescante, aerotermia, fotovoltaicas, fachada ventilada en mármol travertino, etc…) Con 504,74 m² construidos brutos sobre parcela de 1.275 m², la propiedad se distribuye en dos plantas: Planta baja •Acceso por porche cubierto. •Vestíbulo de entrada a doble altura con armario de cortesía y escalera abierta. •Salón-comedor con tres ambientes y salida directa al gran porche trasero (cubierto y descubierto) con vistas al jardín y piscina. •Cocina-office con isla central y zona de barra, integrada visualmente con el comedor. •Distribuidor con armario empotrado, baño completo con ducha y dormitorio con armario empotrado. Planta primera •Vestíbulo abierto a la doble altura del acceso. •Cuarto de instalaciones. •Tres dormitorios en suite, todos con vestidor y baño completo (dos con ducha y uno con bañera). Dos de ellos tienen terraza privada. •Dormitorio principal en suite con gran vestidor iluminado por patio descubierto, baño de diseño con ducha de obra y bañera exenta, con vistas al jardín a través de un gran ventanal orientado al porche trasero en doble altura  Exterior y extras •Garaje exterior con pérgola para tres vehículos. •Piscina privada desbordante, con escalones de obra, banco interior, zona de playa para tumbonas, solárium con ducha exterior y pérgola/cenador junto a la piscina. •Acabados premium: suelo radiante refrescante con aerotermia, iluminación de diseño, paneles fotovoltaicos en cubierta, puertas motorizadas, fachada ventilada en mármol travertino y máxima eficiencia energética. Nota: OBRAS EN EJECUCIÓN FECHA PREVISTA FIN OBRAS SEGUNDO TRIMESTRE 2026 FECHA PREVISTA ENTREGA TERCER TRIMESTRE 2026 ABSTENERSE AGENCIAS. Esta información no tiene carácter contractual.",False,newdevelopment,True,,False,3752.0,True,False,False,False,[],False,False,1895000.0,€,True,True,chalet,"Parque Boadilla, Boadilla del Monte","Casa independiente en calle Río Guadalquivir, 7",independantHouse,,,
106144679,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/71/41/db/1273841180.webp,EVR T16,12,5,4225000.0,penthouse,sale,266.0,True,3,3,"Antonio Pérez, 24",Madrid,Madrid,Chamartín,es,El Viso,40.4425886,-3.6815998,True,https://www.idealista.com/obra-nueva/106144679/,"Alrededor de un fantástico jardín central con piscina privada, las 50 residencias incluyen apartamentos y áticos con opciones de 1 a 4 dormitorios, todos con espacio exterior privado. Todas las viviendas están diseñadas con las mejores calidades y equipadas con un sistema de domótica y videoportero, para mayor seguridad y comodidad. Como zonas comunes adicionales ofrece un gimnasio totalmente equipado con vistas a los jardines para el disfrute de sus residentes, conserjería, trasteros y aparcamiento subterráneo con carga de vehículos eléctricos para cada plaza. El Viso Residences el primer proyecto en la capital diseñado según los estándares BREEAM EXCELLENT NEW CONSTRUCTION, con el fin de lograr la máxima eficiencia energética tanto para el medioambiente como para los residentes, elevando así los niveles de lujo y sostenibilidad de la ciudad. Todos los aspectos de la vida moderna sostenible han sido considerados: desde un sistema de energía geotérmica hasta un sistema de captación fotovoltaica, la gestión eficiente del agua, iluminación inteligente, un sistema depurador de doble ventilación y la carga de vehículos eléctricos, permitiendo un control continuo, eficiencia y ahorro tanto para el medioambiente como para los propietarios. Elegidos por su amplia experiencia y su conocimiento específico, Touza Arquitectos han creado una obra maestra del diseño en Madrid, tanto por dentro como por fuera. El elegante barrio de El Viso ofrece lo mejor en cultura, gastronomía, comercio y ocio; desde boutiques independientes hasta marcas internacionales. Madrid combina a la perfección el bullicio de una metrópolis moderna con el encanto de una capital histórica, hogar de hermosos bulevares y arquitectura clásica, vibrante cultura y encanto latino. El Viso Residences te invita a establecer tu hogar en esta ubicación privilegiada, entre lo mejor de Madrid y del mundo.",False,,True,True,False,15883.0,True,False,False,False,[],False,False,4225000.0,€,True,True,flat,"El Viso, Madrid","Ático en Antonio Pérez, 24",penthouse,,,
108102476,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/29/9d/61/1328250849.webp,T.06.1 3A,13,3,314000.0,flat,sale,82.0,True,3,2,"calle Ferrocarril del Tajuña, 5",Madrid,Arganda,Centro,es,,40.3053924,-3.4485625,True,https://www.idealista.com/obra-nueva/108102476/,"A114+ es una promoción de nueva construcción VIVIENDA LIBRE localizada en Arganda del Rey, uno de los municipios históricos y con mayor expansión de la Comunidad de Madrid, y está situada en el Area de Centralidad de Arganda del Rey.  Arganda es un municipio muy bien comunicado tanto por carretera como por Metro, estando la estación del metro a escasos 2 minutos de la promoción.  A114+ consta de 114 viviendas de 1, 2, 3 y 4 dormitorios, todas ellas con al menos 1 plaza de garaje y un trastero incluidos. La urbanización dispone de amplias zonas comunes ajardinadas, piscina y cuarto bicicletas. Las viviendas destacan por sus soluciones arquitectónicas y calidades, así como por sus terrazas y/o jardines, así como por la calidad contrastada del promotor delegado Constructora Los Álamos empresa con más de 50 años de experiencia en la construcción de viviendas.  La promoción está situada en la calle Ferrocarril del Tajuña 5 de Arganda del Rey. Dotado zonas verdes y amplia oferta de servicios: comercio, centros deportivos (Ciudad deportiva Principe Felipe), restaurantes, supermercados, centros educativos y sanitarios etc. NOTA: El IVA de aplicación actualmente es el 10% de IVA que es el tipo vigente actualmente en Enero del 2025 (o el que está vigente en su momento en caso de cambio), que habrá que añadir al precio de venta.",False,,True,True,False,3829.0,True,False,False,False,[],False,False,314000.0,€,True,True,flat,"Centro, Arganda","Piso en calle Ferrocarril del Tajuña, 5",,,,
108102372,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/29/9d/61/1328250849.webp,T.26 bj D,13,bj,212000.0,flat,sale,51.0,True,1,1,"calle Ferrocarril del Tajuña, 5",Madrid,Arganda,Centro,es,,40.3053924,-3.4485625,True,https://www.idealista.com/obra-nueva/108102372/,"A114+ es una promoción de nueva construcción VIVIENDA LIBRE localizada en Arganda del Rey, uno de los municipios históricos y con mayor expansión de la Comunidad de Madrid, y está situada en el Area de Centralidad de Arganda del Rey.  Arganda es un municipio muy bien comunicado tanto por carretera como por Metro, estando la estación del metro a escasos 2 minutos de la promoción.  A114+ consta de 114 viviendas de 1, 2, 3 y 4 dormitorios, todas ellas con al menos 1 plaza de garaje y un trastero incluidos. La urbanización dispone de amplias zonas comunes ajardinadas, piscina y cuarto bicicletas. Las viviendas destacan por sus soluciones arquitectónicas y calidades, así como por sus terrazas y/o jardines, así como por la calidad contrastada del promotor delegado Constructora Los Álamos empresa con más de 50 años de experiencia en la construcción de viviendas.  La promoción está situada en la calle Ferrocarril del Tajuña 5 de Arganda del Rey. Dotado zonas verdes y amplia oferta de servicios: comercio, centros deportivos (Ciudad deportiva Principe Felipe), restaurantes, supermercados, centros educativos y sanitarios etc. NOTA: El IVA de aplicación actualmente es el 10% de IVA que es el tipo vigente actualmente en Enero del 2025 (o el que está vigente en su momento en caso de cambio), que habrá que añadir al precio de venta.",False,,True,True,False,4157.0,True,False,False,False,[],False,False,212000.0,€,True,True,flat,"Centro, Arganda","Piso en calle Ferrocarril del Tajuña, 5",,,,
103248278,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/da/a1/18/1186187944.webp,PIS2894,18,2,1119000.0,flat,sale,139.0,True,3,3,calle de Tetuán,Madrid,Madrid,Centro,es,Sol,40.4195946,-3.7017322,False,https://www.idealista.com/inmueble/103248278/,"Fortuny Real Estate presenta en venta maravilloso inmueble de 136m2, recientemente reformado y diseñado por Arctempus. Ubicado en la segunda planta de un edificio luminoso, en la zona Centro de Madrid Cuenta con tres habitaciones y tres cuartos de baños, dos de los dormitorios en suite. La zona social dispone de cocina integrada al amplio salón. El inmueble se encuentra totalmente amueblado con muebles de diseño hechos a medida y acabados en madera. Disfruta de una excelente iluminación gracias a sus luces LED. Armarios empotrados que permiten optimizar los espacios de almacenamiento, calefacción individual de gas natural. El edificio dispone de ascensor y se encuentra en la segunda planta exterior. La gran mayoría de los inmuebles que tenemos en esta zona solo se encuentran en nuestra web. Visite nuestra página y descubra exclusivas viviendas. Fortuny Madrid Real Estate es una empresa con sólida experiencia formada por un grupo de consultores inmobiliarios especializados en la zona Prime de Madrid, creada con el objetivo de satisfacer las necesidades de los clientes más exigentes nacionales e internacionales. Somos un referente en el mercado español, ofreciendo un servicio completo con viviendas residenciales de alta calidad y una amplia gama de servicios inmobiliarios, cubriendo tanto el área privada como el área comercial para conseguir que personas físicas jurídicas, instituciones e inversores queden plenamente satisfechos con nuestros servicios.",True,good,False,True,,8050.0,True,False,False,False,[],False,False,1119000.0,€,,,flat,"Sol, Madrid",Piso en calle de Tetuán,,,,
108102491,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/d9/8c/5d/1328250843.webp,T.19.2 10A,13,10,513000.0,flat,sale,111.0,True,4,2,"calle Ferrocarril del Tajuña, 5",Madrid,Arganda,Centro,es,,40.3053924,-3.4485625,True,https://www.idealista.com/obra-nueva/108102491/,"A114+ es una promoción de nueva construcción VIVIENDA LIBRE localizada en Arganda del Rey, uno de los municipios históricos y con mayor expansión de la Comunidad de Madrid, y está situada en el Area de Centralidad de Arganda del Rey.  Arganda es un municipio muy bien comunicado tanto por carretera como por Metro, estando la estación del metro a escasos 2 minutos de la promoción.  A114+ consta de 114 viviendas de 1, 2, 3 y 4 dormitorios, todas ellas con al menos 1 plaza de garaje y un trastero incluidos. La urbanización dispone de amplias zonas comunes ajardinadas, piscina y cuarto bicicletas. Las viviendas destacan por sus soluciones arquitectónicas y calidades, así como por sus terrazas y/o jardines, así como por la calidad contrastada del promotor delegado Constructora Los Álamos empresa con más de 50 años de experiencia en la construcción de viviendas.  La promoción está situada en la calle Ferrocarril del Tajuña 5 de Arganda del Rey. Dotado zonas verdes y amplia oferta de servicios: comercio, centros deportivos (Ciudad deportiva Principe Felipe), restaurantes, supermercados, centros educativos y sanitarios etc. NOTA: El IVA de aplicación actualmente es el 10% de IVA que es el tipo vigente actualmente en Enero del 2025 (o el que está vigente en su momento en caso de cambio), que habrá que añadir al precio de venta.",False,,True,True,False,4622.0,True,False,False,False,[],False,False,513000.0,€,True,True,flat,"Centro, Arganda","Piso en calle Ferrocarril del Tajuña, 5",,,,
108849042,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/d6/84/2d/1333207125.webp,,12,6,296534.0,flat,sale,117.0,True,3,2,"Poligono UZP0202 los Cerros, 354",Madrid,Madrid,Vicálvaro,es,Los Cerros,40.40373,-3.53962,True,https://www.idealista.com/obra-nueva/108849042/,"¡Ha llegado tu momento! NUEVO PROYECTO DE VIVIENDA PROTEGIDA EN LOS CERROS.  Residencial ARA, viviendas protegidas de precio limitado (VPPL) en régimen de cooperativa de 2, 3 y 4 dormitorios a un precio muy asequible. RESIDENCIAL ARA S.COOP.MAD. TIENE SUSCRITO CONTRATO PRIVADO SOBRE EL SUELO OBJETO DE INTERÉS  Ubicación y accesibilidad Este nuevo ámbito está situado en la parte norte de estos desarrollos, junto a El Cañaveral y los municipios de Coslada y San Fernando. Los Cerros es uno de los cinco barrios que componen los nuevos desarrollos del sureste de Madrid. Es una zona muy bien comunicada por la M-50, R-3 y M-45. Además, está planteado el desdoblamiento de la Línea 7 de Metro a partir de la estación de Ascao y con un ramal hacia Los Cerros-Ensanche de San Fernando y la ejecución de intercambiador modal. Sostenibilidad Será EL BARRIO MÁS VERDE DE MADRID que formará parte del Bosque Metropolitano, ese gran cinturón verde que el ayuntamiento de la capital planea construir bordeando la ciudad. La principal diferencia con otro desarrollo urbanístico es que tiene una menor ocupación del suelo para las edificaciones, sólo el 12%, lo que lo convierte en un PROYECTO SOSTENIBLE Y VOLCADO HACIA LA NATURALEZA. Se van a tomar todas las medidas necesarias para poder optar a una alta calificación energética. Viviendas ARA ofrece viviendas de 2, 3 y 4 dormitorio con plaza de garaje y trastero diseñadas para ofrecer confort y sostenibilidad, ya que se tomarán las medidas necesarias para obtener una alta calificación energética y poder reducir el consumo de energía. Además, sin salir de casa, podrás disfrutar de completas zonas comunes que incluyen piscina, áreas ajardinadas y espacios infantiles, pensadas para el ocio y el bienestar de toda la familia. Residencial ARA contará con todos los ingredientes característicos de los proyectos de Grupo Ibosa, arquitectura singular, viviendas con distribuciones bien pensadas donde se potencia la luminosidad de las estancias, terrazas que unen interior con exterior.  Grupo Ibosa tiene una dilatada experiencia en la comercialización y gestión de vivienda protegida, contando en la actualidad, con numerosos proyectos en Los Berrocales, Los Cerros y Valdecarros.  Si quieres formar parte de este ilusionante y nuevo proyecto de vivienda protegida, ¡déjanos tus datos y nos pondremos en contacto contigo para mantenerte informado! Nota: Este proyecto se gestiona en régimen de Cooperativa. Residencial ARA S. Coop. Mad., ya está constituida. Durante el desarrollo del proyecto, la Dirección Facultativa se reserva el derecho de efectuar modificaciones que viniesen motivadas por exigencias de orden técnico o jurídico por parte de las Administraciones competentes, así como aquellas que pudieran suponer cambios del proyecto o en la memoria de calidades que en ningún caso supondrán minoración de las calidades previstas. Los precios aquí indicados serán actualizados con el incremento de IPC anual hasta que se obtenga la calificación provisional. Importante señalar que, los precios que aparecen tienen pendiente de aplicar el IPC 2025. La cuantía que represente aplicar el incremento del IPC se llevará a la cantidad pendiente de pago en la entrega de llaves.",False,newdevelopment,True,True,False,2534.0,True,False,False,False,[],False,False,296534.0,€,True,True,flat,"Los Cerros, Madrid","Piso en Poligono Uzp0202 los Cerros, 354",,,,
108102358,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/d3/be/15/1328250871.webp,V.20,13,9,350000.0,flat,sale,82.0,True,3,2,"calle Ferrocarril del Tajuña, 5",Madrid,Arganda,Centro,es,,40.3053924,-3.4485625,True,https://www.idealista.com/obra-nueva/108102358/,"A114+ es una promoción de nueva construcción VIVIENDA LIBRE localizada en Arganda del Rey, uno de los municipios históricos y con mayor expansión de la Comunidad de Madrid, y está situada en el Area de Centralidad de Arganda del Rey.  Arganda es un municipio muy bien comunicado tanto por carretera como por Metro, estando la estación del metro a escasos 2 minutos de la promoción.  A114+ consta de 114 viviendas de 1, 2, 3 y 4 dormitorios, todas ellas con al menos 1 plaza de garaje y un trastero incluidos. La urbanización dispone de amplias zonas comunes ajardinadas, piscina y cuarto bicicletas. Las viviendas destacan por sus soluciones arquitectónicas y calidades, así como por sus terrazas y/o jardines, así como por la calidad contrastada del promotor delegado Constructora Los Álamos empresa con más de 50 años de experiencia en la construcción de viviendas.  La promoción está situada en la calle Ferrocarril del Tajuña 5 de Arganda del Rey. Dotado zonas verdes y amplia oferta de servicios: comercio, centros deportivos (Ciudad deportiva Principe Felipe), restaurantes, supermercados, centros educativos y sanitarios etc. NOTA: El IVA de aplicación actualmente es el 10% de IVA que es el tipo vigente actualmente en Enero del 2025 (o el que está vigente en su momento en caso de cambio), que habrá que añadir al precio de venta.",False,,True,True,False,4268.0,True,False,False,False,[],False,False,350000.0,€,True,True,flat,"Centro, Arganda","Piso en calle Ferrocarril del Tajuña, 5",,,,
