propertyCode,thumbnail,externalReference,numPhotos,floor,price,propertyType,operation,size,exterior,rooms,bathrooms,address,province,municipality,district,country,latitude,longitude,showAddress,url,description,hasVideo,status,newDevelopment,hasLift,newDevelopmentFinished,priceByArea,hasPlan,has3DTour,has360,hasStaging,notes,topNewDevelopment,topPlus,priceInfo.price.amount,priceInfo.price.currencySuffix,parkingSpace.hasParkingSpace,parkingSpace.isParkingSpaceIncludedInPrice,detailedType.typology,suggestedTexts.subtitle,suggestedTexts.title,neighborhood,detailedType.subTypology,priceInfo.price.priceDropInfo.formerPrice,priceInfo.price.priceDropInfo.priceDropValue,priceInfo.price.priceDropInfo.priceDropPercentage
108577237,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/e2/a4/c3/1348942469.webp,3º C,8,3,241900.0,flat,sale,74.0,True,2,1,"Calle de Serranillos, 13",Madrid,Fuenlabrada,Centro,es,40.2808109,-3.797338,True,https://www.idealista.com/obra-nueva/108577237/,"“La Gema de Lourdes” – La joya del centro de Fuenlabrada Nueva promoción de obra nueva en Calle Serranillos de Fuenlabrada. Viviendas de 2 dormitorios con 1 baño, cocina amueblada, garaje y trastero comunitario desde 225.900 €. Diseño moderno con espacios amplios, armarios empotrados vestidos y aislamiento acústico superior. Climatización por aerotermia con suelo radiante-refrescante y alta eficiencia energética para mayor confort y ahorro. Puerta blindada, videoportero, preinstalación de alarma, garaje con montacoches y opción de recarga para coche eléctrico. Edificio con ascensor, zonas comunes de calidad y trastero comunitario. Ubicación privilegiada en pleno centro, junto a Metro, Renfe, autobuses, Ayuntamiento, centro comercial, colegios y todos los servicios. Un hogar pensado para disfrutar. Vive con estilo y comodidad en “La Gema de Lourdes”. ¡Te enamorará!  IVA no incluido.",False,newdevelopment,True,True,False,3269.0,True,False,False,False,[],False,False,241900.0,€,True,True,flat,"Centro, Fuenlabrada","Piso en Calle de Serranillos, 13",,,,,
108147289,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/d0/d5/d6/1335284650.webp,2º A,13,2,207079.0,flat,sale,80.0,True,3,2,"calle Federico García Lorca, 14",Madrid,El Álamo,,es,40.2313578,-3.9898542,True,https://www.idealista.com/obra-nueva/108147289/,"PROMOCION DE OBRA NUEVA EN PLENO CENTRO DE EL ÁLAMO ( MADRID) CONSTRUCCION de edificio con 4 pisos y local comercial a escasos metros de la plaza del pueblo, prevista la entrega de llaves para SEPTIEMBRE DE 2026 como máximo. PISO BAJO de unos 60m2 que consta de PATIO, 2 dormitorios, baño, salón-comedor y cocina.  PISO PRIMERO A de unos 60 m2 que consta de 2 dormitorios, baño, salón-comedor y cocina. PISO PRIMERO B de unos 60 m2 que consta de 2 dormitorios, baño, salón-comedor y cocina. PISO SEGUNDO A de unos 80 m2 que consta de 2 TERRAZAS-SOLARIUM, 3 dormitorios, 2 baños, uno incluido en el dormitorio principal, amplio salón y cocina. MEMORIA DE CALIDADES Solados en gres porcelánicos, tabiquerías de ladrillo hueco doble, pintura plástica mate para interiores de resistencia al frote húmedo superior, alicatado con zulejo de gres porcelánico técnico natural acabado en color o imitación piedra natural en cocina y baño, excelentes calidades.  Los acabados reflejados en las imágenes de la presente publicación son meramente informativos. Los elementos accesorios como mobiliarios o elementos de jardinería y decoración son meramente ilustrativos. Los giros de las puertas y la distribución de aparatos sanitarios y cocinas no son vinculantes. Las superficies expresadas son aproximadas, pudiendo experimentar modificaciones por razones de índole técnico y/o legal en el desarrollo de ejecución de las obras. Los plazos de ejecución y entrega de la promoción están sujetos a posibles cambios por causas ajenas al promotor.",False,newdevelopment,True,False,False,2588.0,True,False,False,False,[],False,False,207079.0,€,,,flat,El Álamo,"Piso en calle Federico García Lorca, 14",,,,,
108153874,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/96/bf/8e/1335470497.webp,JUA006,15,5,1400000.0,flat,sale,145.0,True,4,2,Barrio El Viso,Madrid,Madrid,Chamartín,es,40.439899,-3.6807128,False,https://www.idealista.com/inmueble/108153874/,"Exclusivo piso en Chamartín – Espacio, luz y ubicación privilegiada Descubre este elegante piso de 145 m² situado en una de las zonas más demandadas de Madrid: Chamartín. La propiedad ofrece una excelente distribución con una habitación doble, tres habitaciones individuales y dos baños completos, ideal para familias o quienes buscan amplitud y confort en un entorno urbano. La vivienda destaca por su luminosidad gracias a su orientación sur y sus techos altos, que proporcionan una sensación de amplitud y bienestar en cada estancia. El suelo de parquet aporta calidez, mientras que la carpintería exterior de aluminio lacado garantiza un buen aislamiento y un diseño moderno. La cocina está totalmente equipada, lista para entrar a vivir. Además, cuenta con terraza, perfecta para disfrutar de momentos al aire libre sin salir de casa. Entre sus extras se incluyen:  Calefacción  Ascensor  Agua incluida  Excelente conexión con autobuses  Entorno céntrico y familiar, rodeado de colegios, parques y supermercados Una propiedad con encanto, perfectamente ubicada y con todo lo necesario para disfrutar de la vida en el corazón de Madrid. (Imágenes creadas a medida con un render) � Precio de venta: 1.330. 000 €.",False,renew,False,True,,9655.0,False,False,False,False,[],False,False,1400000.0,€,,,flat,"El Viso, Madrid",Piso,El Viso,,,,
108577232,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/ff/b1/5a/1348942470.webp,2º D,8,2,243900.0,flat,sale,82.0,True,2,1,"Calle de Serranillos, 13",Madrid,Fuenlabrada,Centro,es,40.2808109,-3.797338,True,https://www.idealista.com/obra-nueva/108577232/,"“La Gema de Lourdes” – La joya del centro de Fuenlabrada Nueva promoción de obra nueva en Calle Serranillos de Fuenlabrada. Viviendas de 2 dormitorios con 1 baño, cocina amueblada, garaje y trastero comunitario desde 225.900 €. Diseño moderno con espacios amplios, armarios empotrados vestidos y aislamiento acústico superior. Climatización por aerotermia con suelo radiante-refrescante y alta eficiencia energética para mayor confort y ahorro. Puerta blindada, videoportero, preinstalación de alarma, garaje con montacoches y opción de recarga para coche eléctrico. Edificio con ascensor, zonas comunes de calidad y trastero comunitario. Ubicación privilegiada en pleno centro, junto a Metro, Renfe, autobuses, Ayuntamiento, centro comercial, colegios y todos los servicios. Un hogar pensado para disfrutar. Vive con estilo y comodidad en “La Gema de Lourdes”. ¡Te enamorará!  IVA no incluido.",False,newdevelopment,True,True,False,2974.0,True,False,False,False,[],False,False,243900.0,€,True,True,flat,"Centro, Fuenlabrada","Piso en Calle de Serranillos, 13",,,,,
108152506,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/81/be/e5/1215818941.webp,COOP-827@P11E,8,5,318742.0,flat,sale,64.0,True,1,1,"calle Rufino González, 59",Madrid,Madrid,San Blas,es,40.4342056,-3.6246509,True,https://www.idealista.com/obra-nueva/108152506/,"JULIÁN CAMARILLO PASSIVHAUS (PERALEDA URBAN, S. COOP. -Fase Rufino González) Fututo residencial formado por 50 viviendas de 1 y 2 dormitorioscon plaza de garaje y trastero incluido en el coste.  Dispondrá de amplias zonas comunes: piscina, jardines, zona de juegos infantiles, sala comunitaria y conserjería.  La urbanización privada estará situada en C/ Rufino González nº 59, Barrio de Simancas (Madrid).  Tanto la eficiencia energética, como el compromiso con el ahorro y el medio ambiente son los pilares fundamentales del proyecto, en una búsqueda continuada por el confort y la calidad de vida. Es por ello, que el estándar de certificación es Passivhaus, ya que garantiza una alta eficiencia energética y un menor consumo.  Sus principios básicos son:  •Aislamiento térmico •Carpintería de altas prestaciones •Hermeticidad de las viviendas •Reducción de puentes térmicos •Recuperador de calor.  El estándar Passivhaus es el más exigente del mercado en materia de eficiencia energética y confort. Muchos países europeos lo están tomando como referencia para definir un edificio de consumo casi nulo. ¡No pierdas la oportunidad!  IVA no incluido.",False,newdevelopment,True,True,False,4980.0,True,False,False,False,[],False,False,318742.0,€,True,True,flat,"Simancas, Madrid","Piso en calle Rufino González, 59",Simancas,,,,
106404087,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/69/16/41/1281851050.webp,Chalet 1B esquina,34,,588000.0,chalet,sale,201.0,,3,3,Ensanche de El Escorial parcela R4 A.P.P sector 1 s/n,Madrid,El Escorial,Centro,es,40.5882875,-4.1217031,True,https://www.idealista.com/obra-nueva/106404087/,"Obra Nueva promoción de 42 viviendas con garaje y trastero en un entorno privilegiado. 26 chalet de 3 dormitorios más ático y cuarto de instalaciones. Dos plazas de garaje.  16 viviendas bajos de 2 dormitorios con patio y dúplex de 2 y 3 dormitorios más despacho y terraza. Plaza de garaje y trastero. Diseño actual adecuado al entorno privilegiado.  Urbanización con control de acceso, conjunto residencial vallado, piscina de adultos y niños así como zonas ajardinadas. Puerta de Abantos supone un nuevo concepto de fusión sostenible entre la arquitectura y el paisaje. Este proyecto se encuentra en una ubicación inmejorable, ofreciendo espectaculares vistas tanto al histórico Monasterio de San Lorenzo de El Escorial como al majestuoso Monte Abantos. El proyecto se integra perfectamente con la naturaleza circundante, proporcionando un entorno de tranquilidad y paz que invita al descanso y la reflexión. El diseño de las edificaciones ha sido cuidadosamente pensado para respetar y complementar el entorno natural, creando una simbiosis perfecta entre arquitectura y paisaje. Promueve RESIDENCIAL MONASTERIO, S. Coop. Mad. WWW. PUERTADEABANTOS. COM.",False,newdevelopment,True,,False,2925.0,True,False,False,False,[],False,False,588000.0,€,True,True,chalet,"Centro, El Escorial",Chalet adosado en Ensanche de El Escorial parcela R4 A.P.P sector 1 s/n,,terracedHouse,,,
108160507,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/9e/b7/e9/1335667891.webp,EN2025MR,31,,225000.0,chalet,sale,253.0,,6,3,Cadalso de los Vidrios,Madrid,Cadalso de los Vidrios,,es,40.3126905,-4.4557231,False,https://www.idealista.com/inmueble/108160507/,"Chalet independiente con piscina de 221m2 en urbanización con vigilancia 24 horas, piscina comunitaria, pistas deportivas y zonas infantiles. La vivienda tiene 2 plantas; en la planta principal encontramos 3 dormitorios con armarios empotrados, un salón de paso, cocina independiente, cuarto de baño completo con plato de ducha, un aseo, la sala de calderas, sala de trabajo y un área de juegos.  En la planta de arriba encontramos, 3 dormitorios con armarios empotrados, un cuarto de baño con bañera, cocina independiente y con acceso a la terraza, salón muy luminoso con acceso a la terraza.  La casa está dividida como en 2 viviendas diferentes.  Cuenta con una parcela de 1452m2. Dispone de una piscina en funcionamiento, barbacoa, un invernadero. Destacar que el patio está solado.  Ubicado en Entrepinos, urbanización perteneciente a Cadalso de los Vidrios a 80 km de Madrid por la M-501 y a 10 minutos de San Martin de Valdeiglesias, esta localidad cuenta con todos los servicios, como supermercados (Abiertos domingos incluidos), farmacias, restaurantes, ocio.. . Destacar que Pelayos de la Presa y San Martin de Valdeiglesias dispone de pantano y playa con posibilidad de realizar todo tipo de actividades outdoor. Puede visitarnos en nuestra oficina en la Avda. de Madrid Nº9 de San Martin de Valdeiglesias (Madrid) le informaremos de todas las viviendas de las que disponemos. ¡Beneficiase de nuestro método de trabajo! Gestionamos la venta de su vivienda, encadenamos todos los plazos, contratos, documentación para escritura pública, tramitación hipoteca. Consúltenos sin compromiso. HIPOTECAS 100% EURIBOR DESDE 0.70 ESTUDIO DE FINANCIACIÓN GRATUITO CONSÚLTENOS Y CONCIERTE SU VISITA.",False,good,False,,,889.0,False,False,True,False,[],False,False,225000.0,€,True,True,chalet,Cadalso de los Vidrios,Casa independiente,,independantHouse,,,
109044227,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/21/e5/8e/1362533388.webp,W-030I5T,28,4,690000.0,flat,sale,82.0,True,3,2,calle de Abtao,Madrid,Madrid,Retiro,es,40.4026734,-3.6756139,False,https://www.idealista.com/inmueble/109044227/,"Exclusivo piso reformado en Pacífico, junto al Retiro Engel & Völkers presenta un magnífico piso en Pacífico, a escasos pasos del Parque del Retiro. Con 82 m² construidos, ofrece espacios funcionales y se distingue por su ubicación en una calle tranquila, con vistas completamente despejadas. Totalmente reformado en 2020 con altas calidades y diseño neutro, el inmueble transmite un ambiente moderno y elegante. Ubicado en una 4ª planta con orientación noroeste, el piso garantiza una excelente entrada de luz natural, creando un espacio luminoso y acogedor. Al ingresar, destaca un amplio salón con ventanas de suelo a techo que aportan una sensación de amplitud excepcional. El diseño en chaflán realza aún más la claridad y luminosidad del espacio. La cocina, completamente reformada, cuenta con electrodomésticos de alta gama, armarios empotrados y vitrocerámica. Una pequeña zona de comedor integrada permite disfrutar de momentos cotidianos con comodidad y estilo. La vivienda dispone de tres habitaciones, dos de ellas exteriores, todas equipadas con armarios empotrados que garantizan un amplio espacio de almacenamiento. Incluye dos cuartos de baño: uno completo y otro de cortesía. Está completamente climatizado mediante aerotermia, con aire acondicionado por conductos y suelo radiante, lo que asegura una temperatura óptima durante todo el año. Gracias a su excelente distribución y acabados de alta calidad, esta propiedad se presenta como una opción ideal para quienes buscan un hogar cómodo y funcional en una de las mejores zonas de la ciudad. La propiedad se encuentra estratégicamente ubicada en el barrio de Pacífico, combinando la tranquilidad residencial con una vibrante actividad comercial. Está situada cerca del parque del Retiro, un punto clave de recreación y relajación gracias a sus amplios espacios verdes. Su proximidad a la estación de Atocha y a la Plaza Mariano de Cavia con múltiples paradas de autobús y metro, garantiza una conectividad excepcional en transporte público. La zona ofrece una variada gama de opciones de hostelería, servicios médicos, tiendas locales y franquicias de renombre.  Además, cuenta con acceso a colegios públicos y concertados, lo que refuerza el atractivo del barrio. Sin duda, Pacífico ha experimentado un auge en los últimos años. La calidad de vida, unida a su excelente conectividad, lo convierte en un lugar de gran interés gracias a su accesibilidad, infraestructura moderna y el dinamismo que lo caracteriza.",False,good,False,True,,8415.0,False,False,False,False,[],False,False,690000.0,€,,,flat,"Pacífico, Madrid",Piso en calle de Abtao,Pacífico,,,,
108030931,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/31/ee/3b/1331725048.webp,Ático planta 4,16,4,1650000.0,penthouse,sale,128.0,True,3,2,"calle Manuel Fernández González, 15",Madrid,Madrid,Centro,es,40.4152042,-3.6992857,True,https://www.idealista.com/obra-nueva/108030931/,"Ático de obra nueva en Huertas-Cortes, en el centro de Madrid. Muy próximo a la Plaza de Santa Ana y a la calle de Alcalá.  Se ubica en la cuarta planta de un edificio recién rehabilitado con zonas comunes muy bien cuidadas. Cuenta con ascensor que da acceso directo a la vivienda.  Tiene una superficie de 129 m2, distribuidos en una amplia zona social con salón, comedor y cocina integrada, completamente equipada con electrodomésticos de alta gama de la marca Miele, un baño completo que da servicio a las visitas y una zona de lavandería independiente. Es muy luminoso gracias a su terraza de 21 m2. Al estar en proceso de construcción, se puede escoger la distribución de la zona de noche. Puede tener un dormitorio con amplio vestidor y baño en suite, o dos dormitorios, manteniendo el principal en suite.  Al estar en proceso de obra, la vivienda se puede ajustar a tus gustos y necesidades. Podrás escoger los retoques finales del proyecto. Se vende sin amueblar, listo para hacer mudanza.",False,newdevelopment,True,True,False,12891.0,True,False,False,False,[],False,False,1650000.0,€,,,flat,"Huertas-Cortes, Madrid","Ático en calle Manuel Fernández González, 15",Huertas-Cortes,penthouse,,,
109200963,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/a0/d9/a2/1367298974.webp,4240,51,3,1880000.0,flat,sale,120.0,True,2,2,calle del Almirante,Madrid,Madrid,Centro,es,40.4217458,-3.6922714,False,https://www.idealista.com/inmueble/109200963/,"ALTOR ASESORES OFRECE Exclusiva vivienda en la mejor calle del barrio de Justicia Ubicado en una de las zonas más emblemáticas y deseadas de Madrid, en plena calle Barquillo, se presenta este magnífico piso en una tercera planta exterior, situado en una finca señorial con servicio de portería y acabados de alto nivel. La propiedad, bañada por una espléndida luz natural durante todo el día, cuenta con seis balcones a la calle y una orientación a dos fachadas, lo que garantiza una ventilación cruzada y una luminosidad inigualable. Distribuido con elegancia y funcionalidad, dispone de dos amplios dormitorios con armarios empotrados, dos baños completos y una zona de estar que combina comodidad y estilo en un entorno de gran sofisticación, y cocina completa. El inmueble está equipado con aire acondicionado y calefacción, lo que aporta confort en cualquier época del año. Todo ello en una ubicación privilegiada, a escasos dos minutos a pie del Paseo de Recoletos, rodeado de arquitectura histórica, galerías de arte, boutiques de autor y una exquisita oferta gastronómica. Una oportunidad única de vivir o invertir en uno de los enclaves más exclusivos y vibrantes de Madrid.",True,good,False,True,,15667.0,True,False,True,False,[],False,False,1880000.0,€,,,flat,"Chueca-Justicia, Madrid",Piso en calle del Almirante,Chueca-Justicia,,,,
