propertyCode,thumbnail,externalReference,numPhotos,price,propertyType,operation,size,rooms,bathrooms,address,province,municipality,district,country,latitude,longitude,showAddress,url,description,hasVideo,status,newDevelopment,priceByArea,hasPlan,has3DTour,has360,hasStaging,notes,topNewDevelopment,topPlus,priceInfo.price.amount,priceInfo.price.currencySuffix,parkingSpace.hasParkingSpace,parkingSpace.isParkingSpaceIncludedInPrice,detailedType.typology,detailedType.subTypology,suggestedTexts.subtitle,suggestedTexts.title,floor,exterior,hasLift,neighborhood,newDevelopmentFinished,priceInfo.price.priceDropInfo.formerPrice,priceInfo.price.priceDropInfo.priceDropValue,priceInfo.price.priceDropInfo.priceDropPercentage,parkingSpace.parkingSpacePrice
109205255,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/18/ec/3f/1367432736.webp,4316,61,1850000.0,chalet,sale,4802.0,7,5,calle Vascos,Madrid,Villaviciosa de Odón,Castillo - Campodón,es,40.3683638,-3.8814403,False,https://www.idealista.com/inmueble/109205255/,"TORALIA CAPITAL PRESENTA Exclusivo chalet independiente de lujo en Villaviciosa de Odón — SUPERFICIE TOTAL 4.800 m² de exclusividad, confort y privacidad. EXISTE LA POSIBILIDAD DE CONSTRUIR HASTA 4 CHALETS INDEPENDIENTES EN LA PARCELA ¿Buscas una propiedad que lo tenga todo? Este impresionante chalet independiente en Villaviciosa de Odón es el equilibrio perfecto entre amplitud, lujo y calidad de vida. Con una superficie total de 4.800 m², de los cuales 750 m² corresponden a la vivienda y 4.052 m² a una espectacular parcela ajardinada, esta propiedad ofrece privacidad absoluta, múltiples espacios de ocio y un entorno natural incomparable. � Características principales de la vivienda: 7 amplias habitaciones, todas con luz natural y excelentes vistas. 5 baños completos. Salón principal de gran tamaño con salida directa a terraza y jardín. Cocina  Balcón y terrazas que rodean la vivienda, perfectos para disfrutar de las vistas y el buen clima. Trastero y zonas de almacenamiento extra. �♂️ Zonas de ocio y confort: Piscina privada, ideal para relajarse o disfrutar con la familia. Gimnasio privado. Pista de tenis para los amantes del deporte al aire libre. Garaje. Ubicado en una de las zonas residenciales más prestigiosas del oeste de Madrid, Villaviciosa de Odón ofrece un entorno tranquilo, seguro y familiar, con todos los servicios a tu alcance: colegios privados y concertados, centros médicos, supermercados, y zonas comerciales. Además, es una ubicación privilegiada para quienes buscan estar cerca de la ciudad sin renunciar a la naturaleza. Rodeado de zonas verdes y parques, se encuentra a pocos minutos del Campus de la Universidad Europea, con excelente acceso a la M-506, M-50 y A-5, lo que permite llegar al centro de Madrid en menos de 25 minutos. La comunidad es ideal tanto para familias como para quienes buscan una vida tranquila, activa y conectada. Vivir en Villaviciosa de Odón es disfrutar del aire puro, el silencio y la comodidad sin renunciar a nada.",True,renew,False,385.0,True,False,False,False,[],False,False,1850000.0,€,True,True,chalet,independantHouse,"Castillo - Campodón, Villaviciosa de Odón",Casa independiente en calle Vascos,,,,,,,,,
109220054,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/7f/3a/3b/1367838803.webp,,1,180000.0,studio,sale,56.0,0,1,"calle de Málaga, 14",Madrid,Becerril de la Sierra,,es,40.7165579,-3.989913,True,https://www.idealista.com/inmueble/109220054/,"¡Descubre este impresionante estudio en venta, ubicado en el corazón del pueblo! Este impecable apartamento de 50 m² es perfecto para una persona sola o una pareja que busque comodidad y estilo. Con un dormitorio acogedor y un salón comedor con cocina incorporada, este espacio está diseñado para maximizar la funcionalidad sin sacrificar el confort. El baño completo ofrece todas las comodidades necesarias, y los armarios empotrados proporcionan un amplio espacio de almacenamiento. Construido en el año 2000, el apartamento se encuentra en excelente estado y cuenta con calefacción mediante bomba de frío/calor a gas natural, asegurando un ambiente agradable durante todo el año. Además, al ser un bajo exterior y contar con ascensor, la accesibilidad es óptima. No dejes pasar la oportunidad de vivir en un lugar tan céntrico y bien conectado. ¡Ven a visitarlo y enamórate de tu nuevo hogar!",False,good,False,3214.0,False,False,False,False,[],False,False,180000.0,€,,,flat,studio,Becerril de la Sierra,"Estudio en calle de Málaga, 14",bj,True,False,,,,,,
108030931,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/31/ee/3b/1331725048.webp,Ático planta 4,16,1650000.0,penthouse,sale,128.0,3,2,"calle Manuel Fernández González, 15",Madrid,Madrid,Centro,es,40.4152042,-3.6992857,True,https://www.idealista.com/obra-nueva/108030931/,"Ático de obra nueva en Huertas-Cortes, en el centro de Madrid. Muy próximo a la Plaza de Santa Ana y a la calle de Alcalá.  Se ubica en la cuarta planta de un edificio recién rehabilitado con zonas comunes muy bien cuidadas. Cuenta con ascensor que da acceso directo a la vivienda.  Tiene una superficie de 129 m2, distribuidos en una amplia zona social con salón, comedor y cocina integrada, completamente equipada con electrodomésticos de alta gama de la marca Miele, un baño completo que da servicio a las visitas y una zona de lavandería independiente. Es muy luminoso gracias a su terraza de 21 m2. Al estar en proceso de construcción, se puede escoger la distribución de la zona de noche. Puede tener un dormitorio con amplio vestidor y baño en suite, o dos dormitorios, manteniendo el principal en suite.  Al estar en proceso de obra, la vivienda se puede ajustar a tus gustos y necesidades. Podrás escoger los retoques finales del proyecto. Se vende sin amueblar, listo para hacer mudanza.",False,newdevelopment,True,12891.0,True,False,False,False,[],False,False,1650000.0,€,,,flat,penthouse,"Huertas-Cortes, Madrid","Ático en calle Manuel Fernández González, 15",4,True,True,Huertas-Cortes,False,,,,
108612687,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/68/c4/57/1349941914.webp,4264,49,295000.0,flat,sale,60.0,2,1,calle García Miranda,Madrid,Madrid,Puente de Vallecas,es,40.3817921,-3.6627598,False,https://www.idealista.com/inmueble/108612687/,"¡Altor Asesores presenta piso con enorme terraza en la mejor zona de San Diego! Primera planta con 2 dormitorios, 1 baño, salón y cocina, en muy buen estado. Impresionante terraza de casi 150 m² que rodea toda la vivienda, con comedor cubierto, trastero y dos accesos desde el interior. Se vende estupendo piso en primera planta, situado en una de las zonas más demandadas de San Diego, rodeado de comercios, supermercados, servicios y con un gran centro comercial a escasos minutos a pie. Además, cuenta con excelentes conexiones de transporte público y el ambulatorio se encuentra a menos de 50 metros, lo que aporta un extra de comodidad para el día a día. La vivienda se encuentra en muy buen estado y dispone de 2 dormitorios, 1 baño completo, salón acogedor y cocina funcional. El gran protagonista de esta propiedad es su impresionante terraza privada de casi 150 m² que rodea completamente la vivienda y cuenta con dos accesos directos desde el interior. Un espacio único para disfrutar del aire libre, con zona de estar, un comedor cubierto ideal para reuniones con familia o amigos, y un trastero que añade un valioso espacio de almacenamiento. Existe la posibilidad de adquirir una plaza de garaje cercana, lo que completa aún más la comodidad que ofrece esta vivienda. Una propiedad luminosa, funcional y con un espacio exterior excepcional en una ubicación inmejorable. ¡No pierdas esta oportunidad y agenda tu visita ya!",True,good,False,4917.0,True,False,True,False,[],False,False,295000.0,€,True,False,flat,,"San Diego, Madrid",Piso en calle García Miranda,1,False,False,San Diego,,310000.0,15000.0,5.0,20000.0
108577156,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/b8/7d/ca/1348942621.webp,2º A,8,246900.0,flat,sale,83.0,2,1,"Calle de Serranillos, 13",Madrid,Fuenlabrada,Centro,es,40.2808109,-3.797338,True,https://www.idealista.com/obra-nueva/108577156/,"“La Gema de Lourdes” – La joya del centro de Fuenlabrada Nueva promoción de obra nueva en Calle Serranillos de Fuenlabrada. Viviendas de 2 dormitorios con 1 baño, cocina amueblada, garaje y trastero comunitario desde 225.900 €. Diseño moderno con espacios amplios, armarios empotrados vestidos y aislamiento acústico superior. Climatización por aerotermia con suelo radiante-refrescante y alta eficiencia energética para mayor confort y ahorro. Puerta blindada, videoportero, preinstalación de alarma, garaje con montacoches y opción de recarga para coche eléctrico. Edificio con ascensor, zonas comunes de calidad y trastero comunitario. Ubicación privilegiada en pleno centro, junto a Metro, Renfe, autobuses, Ayuntamiento, centro comercial, colegios y todos los servicios. Un hogar pensado para disfrutar. Vive con estilo y comodidad en “La Gema de Lourdes”. ¡Te enamorará!  IVA no incluido.",False,newdevelopment,True,2975.0,True,False,False,False,[],False,False,246900.0,€,True,True,flat,,"Centro, Fuenlabrada","Piso en Calle de Serranillos, 13",2,True,True,,False,,,,
108577233,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/e2/a4/c3/1348942469.webp,3º A,8,253900.0,flat,sale,83.0,2,1,"Calle de Serranillos, 13",Madrid,Fuenlabrada,Centro,es,40.2808109,-3.797338,True,https://www.idealista.com/obra-nueva/108577233/,"“La Gema de Lourdes” – La joya del centro de Fuenlabrada Nueva promoción de obra nueva en Calle Serranillos de Fuenlabrada. Viviendas de 2 dormitorios con 1 baño, cocina amueblada, garaje y trastero comunitario desde 225.900 €. Diseño moderno con espacios amplios, armarios empotrados vestidos y aislamiento acústico superior. Climatización por aerotermia con suelo radiante-refrescante y alta eficiencia energética para mayor confort y ahorro. Puerta blindada, videoportero, preinstalación de alarma, garaje con montacoches y opción de recarga para coche eléctrico. Edificio con ascensor, zonas comunes de calidad y trastero comunitario. Ubicación privilegiada en pleno centro, junto a Metro, Renfe, autobuses, Ayuntamiento, centro comercial, colegios y todos los servicios. Un hogar pensado para disfrutar. Vive con estilo y comodidad en “La Gema de Lourdes”. ¡Te enamorará!  IVA no incluido.",False,newdevelopment,True,3059.0,True,False,False,False,[],False,False,253900.0,€,True,True,flat,,"Centro, Fuenlabrada","Piso en Calle de Serranillos, 13",3,True,True,,False,,,,
108721745,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/d7/ab/a2/1353162416.webp,19  4,7,186551.0,flat,sale,47.0,1,2,"Calle de Venancio Martín 16 y y Asención Bielsa, 17",Madrid,Madrid,Puente de Vallecas,es,40.3978176,-3.6615762,True,https://www.idealista.com/obra-nueva/108721745/,"Numancia Suites – Viviendas de obra nueva con diseño y rentabilidad en Madrid Descubre Numancia Suites, una exclusiva promoción de obra nueva compuesta por 22 viviendas modernas, funcionales y luminosas. Diseñadas para ofrecer confort, eficiencia y estilo, cada unidad cuenta con una distribución optimizada, cocina completamente equipada, baños terminados, armarios empotrados y estores a medida que garantizan privacidad y comodidad desde el primer día. Los acabados contemporáneos y los materiales cuidadosamente seleccionados aportan un alto nivel de calidad y bienestar. Ubicadas en una zona con alta demanda y escasa oferta de obra nueva, estas viviendas representan una excelente oportunidad de inversión, en un entorno en plena transformación, con gran potencial de revalorización a corto y medio plazo. No dejes pasar esta oportunidad de adquirir una propiedad con todo lo que buscas: diseño, confort y proyección.",False,newdevelopment,True,3969.0,True,False,False,False,[],False,False,186551.0,€,,,flat,,"Numancia, Madrid","Piso en Calle de Venancio Martín 16 y y Asención Bielsa, 17",,True,False,Numancia,False,,,,
108969429,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/d4/a7/3e/1360415344.webp,4315,46,280000.0,flat,sale,70.0,1,1,calle de Albox,Madrid,Madrid,Carabanchel,es,40.3756361,-3.7443554,False,https://www.idealista.com/inmueble/108969429/,"ALTOR ASESORES VENDE ESTE Impresionante apartamento en la zona de Carabanchel.  Si Buscas un hogar para entrar a vivir sin complicaciones? ¿O eres inversor y quieres alquilar de inmediato sin gastar un euro en reformas? Esta propiedad es lo que necesitas. Las primeras imágenes que se muestran son renders.  Con una pequeña actualización, pintar y acuchillar suelo sería suficiente para entrar a vivir. Sin obras, sin líos, sin demoras. Ubicada en una planta baja, pero con altura de primero, esta vivienda destaca por su doble orientación (norte-sur), que garantiza luz natural todo el día. Ideal para quienes valoran hogares luminosos y bien ventilados. Distribución funcional y con estilo moderno: Recibidor acogedor, Cocina americana abierta al salón con una gran cristalera. Salón. Dormitorio principal con baño  Calidades que marcan la diferencia: Calefacción individual de gas natural. Ventanas climalit (aislamiento térmico y acústico).  Ideal tanto para vivir como para invertiR, lo que te permite alquilarlo de inmediato o disfrutarla desde el primer día. Muy buena ubicación en pleno centro de Carabanchel Alto, con todos los servicios a pie de calle: supermercados, colegios, farmacias, bancos, restaurantes y el Centro de Salud  Conectividad excelente: A solo 350 metros del metro con conexión rápida a la L6 y Plaza Elíptica. Múltiples líneas de autobuses EMT (35, 47, 108, 118, 4 92, 493, N16 y N17). Acceso rápido en coche a M-40, M-45, R5 y A-42. Cerca de Islazul y Sambil Outlet, para tus compras.",True,good,False,4000.0,True,False,True,False,[],False,False,280000.0,€,True,True,flat,,"Puerta Bonita, Madrid",Piso en calle de Albox,bj,True,True,Puerta Bonita,,290000.0,10000.0,3.0,
109201101,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/9b/ed/80/1367635443.webp,MJ-V2509,13,189900.0,flat,sale,97.0,3,1,CL PONCE DE LEON,Madrid,Alcalá de Henares,Reyes Católicos,es,40.4770048,-3.3849242,False,https://www.idealista.com/inmueble/109201101/,"**Piso en Venta en Reyes Católicos, Alcalá de Henares** Descubre este encantador piso de esquina en el barrio de Reyes Católicos.  Con 97 m² construidos y 92 m² útiles, este hogar cuenta con tres luminosos dormitorios, un acogedor salón, una cocina funcional y un baño completo.  Situado en la segunda planta, disfrutarás de una excelente iluminación natural gracias a sus amplias ventanas de aluminio.  La ubicación es ideal, a un paso de colegios, un centro médico y parques donde pasear a tus mascotas.  Además, la buena comunicación con el centro de Alcalá y Madrid te permitirá disfrutar de todas las ventajas de vivir en una ciudad con tanto encanto.  Este piso cuenta con calefacción de gas natural y aire acondicionado, asegurando tu confort durante todo el año. No pierdas la oportunidad de ser propietario y dejar de pagar alquileres.  Este inmueble se ofrece con la posibilidad de quedar semiamueblado, lo que te facilitará la mudanza.  Sin honorarios de gestión para el comprador, solo tendrás que preocuparte por los gastos de compraventa (impuestos legales, notario, registro).  ¡Ven a visitarlo y haz de este piso tu nuevo hogar!",False,good,False,1958.0,False,False,False,False,[],False,False,189900.0,€,,,flat,,"Reyes Católicos, Alcalá de Henares",Piso en CL Ponce De Leon,2,True,False,,,,,,
105327149,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/39/60/b8/1251807754.webp,,1,5950000.0,penthouse,sale,339.0,4,4,calle de Serrano,Madrid,Madrid,Barrio de Salamanca,es,40.4336817,-3.6866463,False,https://www.idealista.com/inmueble/105327149/,"En La Milla de Oro del Barrio de Salamanca, a un paseo del Parque del Retiro, presentamos este singular ático en finca clásica. Pocas veces aparece en el mercado un activo de estas características que combina clasicismo en su concepción, balcones y techos de tres metros, luz a raudales, ubicación privilegiada y una singular terraza. El edificio es de singular factura clásica con portero uniformado que vive en la finca, magníficamente conservado. Conserva sus vidrieras originales obra de la casa Maumejean y su ascensor original en maderas nobles. El piso tiene una magnífica distribución, organizándose entorno a un cuidado y luminoso patio central. La zona de recibo se complementa con una terraza que por su factura garantiza vistas, ofrece total intimidad debido a su configuración, sin vecinos arriba ni enfrente, está resguardada por el edificio y es ideal para ser usada en invierno. Se accede desde la zona de recibo, donde podría configurarse un dormitorio principal si se desea. Dispone además de dos plazas de garaje. 315 metros registrales + comunes aparte. Dossier y planos disponibles bajo petición. English spoken / On parle français.  (La mayoría de las propiedades que comercializamos, no se publicitan aquí por deseo expreso de los propietarios. Puede Consultar nuestra web para más información sobre otras propiedades en esta zona).",False,good,False,17552.0,False,False,False,False,[],False,False,5950000.0,€,True,True,flat,penthouse,"Castellana, Madrid",Ático en calle de Serrano,7,True,True,Castellana,,,,,
