propertyCode,thumbnail,externalReference,numPhotos,price,propertyType,operation,size,rooms,bathrooms,address,province,municipality,district,country,latitude,longitude,showAddress,url,description,hasVideo,status,newDevelopment,newDevelopmentFinished,priceByArea,hasPlan,has3DTour,has360,hasStaging,notes,topNewDevelopment,topPlus,priceInfo.price.amount,priceInfo.price.currencySuffix,parkingSpace.hasParkingSpace,parkingSpace.isParkingSpaceIncludedInPrice,detailedType.typology,detailedType.subTypology,suggestedTexts.subtitle,suggestedTexts.title,floor,exterior,neighborhood,hasLift,priceInfo.price.priceDropInfo.formerPrice,priceInfo.price.priceDropInfo.priceDropValue,priceInfo.price.priceDropInfo.priceDropPercentage
108904374,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/96/e8/09/1358479767.webp,VERDE CLARO,12,1050000.0,chalet,sale,333.0,4,5,"calle Fco. de Goya, 11",Madrid,Boadilla del Monte,Sector S,es,40.4092785,-3.8885619,True,https://www.idealista.com/obra-nueva/108904374/,"LIENZO DE BOADILLA es una promoción compuesta por 8 exclusivas viviendas unifamiliares adosadas, configuradas para ofrecer el máximo confort, combinando diseño y funcionalidad en un entorno privilegiado. Donde se optimizan los espacios y la luz se convierte en la gran protagonista.  Construidas con los mejores materiales, una excelente carpintería interior y exterior, grandes ventanales, baños porcelánicos de primeras marcas. Situadas en una de las mejores ubicaciones de Boadilla del Monte, que pone a tu disposición todos los servicios necesarios para tu día a día: zonas ajardinadas, rutas naturales, comercio local, locales de ocio, centro de salud, hospitales, colegios, centros comerciales. Viviendas de alta calidad con una cuidada selección de materiales duraderos, excelente aislamiento térmico y acústico, así como sistemas de climatización por aerotermia, suelo radiante y refrescante, ventilación controlada y domótica integrada. Las casas están compuestas por 3 plantas. En la planta principal, encontraremos 2 plazas de aparcamiento, zonas ajardinadas privadas en el acceso y parte posterior a la vivienda, una gran cocina equipada con electrodomésticos de primeras marcas, salón con grandes cristaleras que dan paso a un bonito jardín. Se incluye también un aseo para dar servicio a esta zona. En la primera planta, encontraremos 3 espaciosos dormitorios, y un despacho/estudio, 2 cuartos de baño completos con materiales actuales y porcelánicos de alta calidad. Nuestra planta -1 tiene un gran salón que destaca por su amplitud y luminosidad, una zona de lavadero y un espacioso dormitorio en suite. Casas construidas por SERANCO, a quien le avalan 35 AÑOS de proyectos con los mejores resultados. Creando un entorno de confianza entre todos nuestros clientes.",False,newdevelopment,True,False,3153.0,True,False,False,False,[],False,False,1050000.0,€,True,True,chalet,terracedHouse,"Sector S, Boadilla del Monte","Chalet adosado en calle Fco. de Goya, 11",,,,,,,
108992764,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/d1/2e/e3/1361085860.webp,295926,17,478500.0,flat,sale,80.0,3,2,Barrio Quintana,Madrid,Madrid,Ciudad Lineal,es,40.4361205,-3.6491321,False,https://www.idealista.com/inmueble/108992764/,"Magnífica vivienda reformada en Quintana-Concepción. Presentamos esta luminosa y moderna vivienda de 80 m², construida hace tan solo 9 años y completamente reformada, lista para entrar a vivir. Situada en una de las zonas más tranquilas y seguras de Ciudad Lineal, combina comodidad, funcionalidad y una excelente ubicación. Distribución y características principales: Amplio salón con cocina americana, diseñado para maximizar el espacio y la luz natural. 3 dormitorios dobles, todos con armarios empotrados. 2 baños completos de estilo contemporáneo. 2 trasteros para un almacenamiento extra y organizado. Calefacción central de gas natural y aire acondicionado para tu confort durante todo el año. Ubicación privilegiada: La vivienda se encuentra en el barrio Quintana-Concepción, un entorno residencial muy tranquilo con una amplia oferta educativa y todos los servicios a tu alcance. Excelente conexión en transporte público: Metro Línea 5? Estación Quintana Metro Línea 7? Estación Concepción Una oportunidad única Si buscas una vivienda moderna, con excelentes calidades y ubicada en una zona tranquila de Madrid, esta es tu oportunidad. ? Contacta con nosotros hoy mismo y estaremos encantados de ayudarte a dar el siguiente paso hacia la casa de tus sueños.  ( El PVP indicado no incluye impuestos ni gastos de Escritura ).  PARA PROPIETARIOS:  ¿Necesitas vender para comprar? te ayudamos coordinándolo todo y con hipoteca cambio de casa. ¿Tienes prisa en vender? te ofrecemos una venta rápida con todas las garantías. ¿Necesitas una hipoteca? en donpiso la encuentras y en condiciones preferentes. ¿Herencias? , ¿Divorcios? , te ayudamos y coordinamos todo. Infórmate:.",False,good,False,,5981.0,True,False,False,False,[],False,False,478500.0,€,,,flat,,"Quintana, Madrid",Piso,bj,True,Quintana,True,,,
106610374,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/34/c9/9e/1288629933.webp,,16,240000.0,flat,sale,58.0,3,1,calle del Amor Hermoso,Madrid,Madrid,Usera,es,40.3855943,-3.70229,False,https://www.idealista.com/inmueble/106610374/,"¡Descubre tu nuevo hogar en el corazón de Usera! Este encantador piso de 58 m², ubicado en una de las zonas más codiciadas del barrio, es perfecto para familias que buscan comodidad y calidad de vida. Con tres luminosos dormitorios y un baño, este espacio ofrece un ambiente acogedor y funcional. La calefacción individual por gas  natural garantiza un invierno cálido y confortable. Situado en la tercera planta de un edificio con ascensor, disfrutarás de vistas exteriores y una excelente iluminación natural. El piso se encuentra en muy buen estado, listo para entrar a vivir sin necesidad de reformas. Su precio competitivo lo convierte en una oportunidad única en el mercado, ideal para quienes desean invertir en una vivienda con todas las comodidades a un coste accesible.  precio de venta: 240.000€ gestión de agencia: 5% + IVA del precio final de la venta que paga el nuevo dueño. No dejes pasar la oportunidad de vivir en un entorno privilegiado, rodeado de servicios, comercios y excelentes conexiones de transporte. ¡Este piso en Usera te está esperando para convertirse en tu nuevo hogar!",False,good,False,,4138.0,False,False,False,False,[],False,False,240000.0,€,,,flat,,"Almendrales, Madrid",Piso en calle del Amor Hermoso,3,True,Almendrales,True,,,
108690477,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/b8/71/8f/1352244378.webp,EG6428,72,199900.0,flat,sale,67.0,3,1,Rinconada,Madrid,Alcalá de Henares,Rinconada,es,40.475373,-3.3686266,False,https://www.idealista.com/inmueble/108690477/,"Alcalá Inmobiliaria presenta este  un atractivo piso en venta ubicado en el corazón de Alcalá de Henares, una ciudad llena de historia y encanto. Esta vivienda, situada en la segunda planta de un edificio, es una joya para aquellos que buscan un lugar acogedor y bien comunicado para establecer su hogar. La propiedad cuenta con 63 metros cuadrados útiles, distribuidos de manera eficiente para brindar el máximo confort y funcionalidad. Al entrar, encontramos el recibidor y el acceso al distribuidor.  Cuenta con un un acogedor salón que se convierte en el espacio ideal para el descanso y el esparcimiento. La luz natural que inunda cada rincón de este piso no solo resalta la belleza del entorno, sino que también proporciona un cálido ambiente hogar.  La electricidad ha sido renovada totalmente. Este piso dispone de tres habitaciones con ventanas totalmente renovadas que ofrecen un equilibrio perfecto entre espacio y privacidad. Cada dormitorio es un refugio personal, pensado para proporcionar un descanso reparador tras un día agotador. Las posibilidades de decoración en estas estancias son infinitas, permitiendo a cada miembro de la familia adaptar el espacio a sus necesidades personales.  La cocina, reformada, es compacta pero funcional, está lista para ser transformada en el epicentro culinario de la vivienda. Sus elementos facilitan el día a día y fomentan el disfrute de momentos memorables en familia o con amigos. Su diseño se presta a diversas opciones para modernización, aportando un toque personal a esta área vital del hogar. Un elemento clave de este piso es su excelente ubicación. Alcalá de Henares goza de un eficiente sistema de transporte, lo que garantiza una conexión rápida y sencilla con Madrid y sus alrededores. La proximidad a estaciones de tren y paradas de autobús hacen de esta propiedad una opción perfecta para quienes necesitan desplazarse sin complicaciones. Esta inmejorable red de transporte asegura una integración fluida tanto al área metropolitana como a otros puntos de interés. Además, el edificio ha sido mantenido con esmero, reflejando un cuidado que asegura un entorno residencial tranquilo y seguro. La comunidad de propietarios es cordial y respetuosa, haciendo de este lugar un espacio donde la convivencia es una experiencia agradable y relajante. Alcalá de Henares ofrece una amplia variedad de servicios: desde centros educativos y de salud, hasta opciones de ocio y cultura. Vivir en este piso significa tener todo al alcance, disfrutando del amplio abanico de posibilidades que esta vibrante ciudad tiene para ofrecer. Invitamos a quienes buscan una oportunidad única en el mercado inmobiliario a visitar esta propiedad. La combinación de ubicación, comodidad y precio competitivo hacen de este piso una opción irresistible. Cada rincón de este hogar está pensado para sumar calidad de vida, fomentando un estilo de vida cómodo y práctico. Solicite una visita hoy mismo y descubra todo el potencial que este piso tiene reservado para usted. Venga y haga de este espacio el fundamento de su nuevo hogar. Estamos seguros de que le sorprenderá gratamente con todos los beneficios que ofrece esta inmejorable oportunidad. Calificación energética E.  No cobramos comisión al comprador. Nos encargamos de toda la gestión de la compra. Y además ponemos a tu disposición nuestro departamento de hipotecas totalmente gratuito para buscarte las mejores condiciones del mercado. ¿Quieres saber cuánto se te quedaría la letra al mes? ¿Quieres saber qué impuestos conlleva una compra-venta? Llámanos sin compromiso y programaremos una visita. Los metros de la vivienda están contrastados según catastro/registro. Los muebles que aparecen en la vivienda no son vinculantes y pueden No estar incluidos. Este anuncio no es vinculante y puede contener errores. Se muestra a título informativo y no es contractual.  En los precios de venta no están incluidos impuestos.",False,good,False,,2984.0,True,False,False,False,[],False,False,199900.0,€,,,flat,,"Rinconada, Alcalá de Henares",Piso,2,True,,False,,,
107920958,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/c5/70/20/1328410019.webp,Bajo 1,9,395000.0,flat,sale,83.0,2,2,"avenida de felipe II, 2",Madrid,El Escorial,Jardín de los Reyes - Parque Real,es,40.5905353,-4.1333703,True,https://www.idealista.com/obra-nueva/107920958/,"AS Real Estate, departamento de venta del Grupo Alquiler Seguro, promociona la venta de las últimas viviendas disponibles en Conjunto Residencial El Álamo en El Escorial (Madrid). Este conjunto residencial de lujo situado en una zona inmejorable, con excelentes vistas a la Sierra de Guadarrama te ofrece una oportunidad única de vivir rodeado de naturaleza y armonía cerca de Madrid. Residencial El Álamo está ubicado en una zona privilegiada de El Escorial, a 200 metros de la estación de Cercanías Renfe, con parada de autobús a 5 metros y acceso inmediato a la autovía A6 dirección Madrid y La Coruña. Todo el Residencial está rodeado de amplias zonas comunes ajardinadas, dos piscinas una infantil y otra de adultos para disfrutar de los veranos de la sierra de Madrid. En el edificio, todas las viviendas cuentan con plaza de garaje y trastero situados subterráneamente, contando con ascensor en esta misma planta desde el cual se podrá acceder directamente a las viviendas o salir al exterior. VIVIENDAS DISPONIBLES (precios desde 375.000 € hasta 420.000 €): PLANTA BAJA: Los apartamentos en planta baja disponen de parcela privativa, 2 habitaciones, aseo completo con ducha, baño completo, salón comedor amplio, cocina completamente equipada con electrodomésticos, amplia plaza de garaje y trastero. Bajo 83,03 m2 construidos61,12 m2 parcela privativa. Bajo 79,45 m2 construidos59,90 m2 parcela privativa SEGUNDA PLANTA: Apartamentos ubicados en la segunda planta y bajo cubierta. Apartamentos dúplex de 2 y 3 habitaciones, aseo completo con ducha, baño completo, amplio salón comedor, cocina completamente equipada con electrodomésticos, amplia plaza de garaje y trastero. Segunda 90,63 m2 construidos Segunda 89,40 m2 construidos Segunda 93,10 m2 construidos Segunda 89,47 m2 construidos Todas las viviendas cuentan con sistema de climatización aerotérmico formado por una unidad exterior situada en la cubierta del edificio, y un acumulador en el interior de agua caliente en cada vivienda. La instalación de climatización interior de cada una de las viviendas es mediante suelo radiante refrescante. Cada vivienda dispondrá de un termostato programador en el salón para la regulación de temperatura incorporando modo refrigeración y calefacción. Si buscas un espacio para convertirlo en tu refugio personal en una ubicación inmejorable, esta es tu oportunidad. Contacta con nosotros para conocer más detalles y concertar una visita.",False,newdevelopment,True,False,4759.0,True,False,False,False,[],False,False,395000.0,€,True,True,flat,,"Jardín de los Reyes - Parque Real, El Escorial","Piso en avenida de felipe II, 2",bj,True,,True,,,
108702973,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/47/c8/2f/1347579125.webp,PR-C-762@TipoA1,7,379000.0,flat,sale,130.0,3,2,"calle Virgen de Loreto, 12",Madrid,Alcalá de Henares,El Pilar - Bripac,es,40.5019006,-3.3453506,True,https://www.idealista.com/obra-nueva/108702973/,"CIELO DE ALCALÁ II Un magnífico residencial con grandes zonas comunes El residencial Cielo de Alcalá II está formado por amplias viviendas de 1 a 4 dormitorios. Zonas comunes privadas tanto exteriores como interiores. La piscina dispone de iluminación nocturna, zonas verdes y sistema de cloración mediante electrolisis salina. La zona infantil-recreativa cuenta con suelo amortiguado y está equipada con juegos infantiles. Las zonas comunes incluyen una sala comunitaria y espacios para bicicletas. En el garaje existe una zona con carritos para facilitar la carga y descarga de los vehículos. Vive en Ciudad del Aire, un enclave único en Alcalá de Henares Ciudad del Aire es una de las zonas más prometedoras y consolidadas de Alcalá de Henares, ciudad declarada Patrimonio de la Humanidad por la UNESCO. Situada al este del municipio, este área residencial se caracteriza por su tranquilidad, amplias zonas verdes y excelente conexión con el centro urbano y con Madrid. Conectividad inmejorable. - La zona dispone de rápidos accesos a la A-2, así como estaciones de Cercanías Renfe (líneas C-2 y C-7) que conectan en menos de 30 minutos con el centro de Madrid. También cuenta con varias líneas de autobús urbano e interurbano. Esta accesibilidad convierte a Ciudad del Aire en una ubicación ideal para quienes desean combinar la serenidad de una zona residencial con la cercanía a los principales ejes económicos. Servicios y equipamientos. - Ciudad del Aire está rodeada de centros educativos, sanitarios, deportivos y comerciales, lo que garantiza una vida cómoda y funcional para toda la familia. A pocos minutos se encuentran supermercados, colegios, centros médicos y todo tipo de comercios de proximidad. Además, la cercanía al aeródromo militar y a la Universidad de Alcalá aporta un dinamismo especial al entorno. Entorno natural y calidad de vida. - El urbanismo de la zona ha sido cuidadosamente planificado para potenciar la calidad de vida: calles amplias, zonas ajardinadas, áreas infantiles y senderos peatonales permiten disfrutar de un entorno saludable y seguro. Su cercanía al Parque Natural de los Cerros de Alcalá y al río Henares brinda oportunidades inmejorables para actividades al aire libre y en contacto con la naturaleza.   Entrega de llaves Entre septiembre y noviembre de 2028.",False,newdevelopment,True,False,2915.0,True,False,False,False,[],False,False,379000.0,€,,,flat,,"El Pilar - Bripac, Alcalá de Henares","Piso en calle Virgen de Loreto, 12",1,True,,True,,,
108528532,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/47/c8/2f/1347579125.webp,PR-C-762@TipoE,7,336000.0,flat,sale,89.0,2,2,"calle Virgen de Loreto, 12",Madrid,Alcalá de Henares,El Pilar - Bripac,es,40.5019006,-3.3453506,True,https://www.idealista.com/obra-nueva/108528532/,"CIELO DE ALCALÁ II Un magnífico residencial con grandes zonas comunes El residencial Cielo de Alcalá II está formado por amplias viviendas de 1 a 4 dormitorios. Zonas comunes privadas tanto exteriores como interiores. La piscina dispone de iluminación nocturna, zonas verdes y sistema de cloración mediante electrolisis salina. La zona infantil-recreativa cuenta con suelo amortiguado y está equipada con juegos infantiles. Las zonas comunes incluyen una sala comunitaria y espacios para bicicletas. En el garaje existe una zona con carritos para facilitar la carga y descarga de los vehículos. Vive en Ciudad del Aire, un enclave único en Alcalá de Henares Ciudad del Aire es una de las zonas más prometedoras y consolidadas de Alcalá de Henares, ciudad declarada Patrimonio de la Humanidad por la UNESCO. Situada al este del municipio, este área residencial se caracteriza por su tranquilidad, amplias zonas verdes y excelente conexión con el centro urbano y con Madrid. Conectividad inmejorable. - La zona dispone de rápidos accesos a la A-2, así como estaciones de Cercanías Renfe (líneas C-2 y C-7) que conectan en menos de 30 minutos con el centro de Madrid. También cuenta con varias líneas de autobús urbano e interurbano. Esta accesibilidad convierte a Ciudad del Aire en una ubicación ideal para quienes desean combinar la serenidad de una zona residencial con la cercanía a los principales ejes económicos. Servicios y equipamientos. - Ciudad del Aire está rodeada de centros educativos, sanitarios, deportivos y comerciales, lo que garantiza una vida cómoda y funcional para toda la familia. A pocos minutos se encuentran supermercados, colegios, centros médicos y todo tipo de comercios de proximidad. Además, la cercanía al aeródromo militar y a la Universidad de Alcalá aporta un dinamismo especial al entorno. Entorno natural y calidad de vida. - El urbanismo de la zona ha sido cuidadosamente planificado para potenciar la calidad de vida: calles amplias, zonas ajardinadas, áreas infantiles y senderos peatonales permiten disfrutar de un entorno saludable y seguro. Su cercanía al Parque Natural de los Cerros de Alcalá y al río Henares brinda oportunidades inmejorables para actividades al aire libre y en contacto con la naturaleza.   Entrega de llaves Entre septiembre y noviembre de 2028.",False,,True,False,3775.0,True,False,False,False,[],False,False,336000.0,€,,,flat,,"El Pilar - Bripac, Alcalá de Henares","Piso en calle Virgen de Loreto, 12",1,True,,True,,,
108973082,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/0e/c1/3d/1301294075.webp,2 C 2 4 A,32,768000.0,penthouse,sale,223.0,3,3,"via de Servicio A6, salida 24 s/n",Madrid,Las Rozas de Madrid,El Pinar- Punta Galea,es,40.5454388,-3.8945255,True,https://www.idealista.com/obra-nueva/108973082/,"Oficina de Atención Comercial en Calle Camilo José Cela, 16. Puede visitarnos mediante cita previa o hacer una videoconferencia para recibir atención personalizada. Uno de los proyectos más esperados del noroeste de Madrid, El Quintanar The Residences es una propuesta residencial única dividida en tres extraordinarias fases — La Retorna, Las Dovelas y El Lindal — que respiran calidad y bienestar en todos los sentidos. Seguridad, accesibilidad, confort y cuidado de las personas, unidos a logros auténticos en ocupación sostenible.  El Quintanar The Residences cuenta con la calidad de los proyectos de Levitt y tanto el diseño como el concepto están firmados por el prestigioso estudio Lamela referente internacional de la arquitectura contemporánea. Y todo ello con el exigente sello Breeam, que certifica la sostenibilidad real en todos los aspectos desde la eficiencia en el manejo de todos los recursos y suministros energéticos al cuidado y la integración de las personas y el entorno. Viviendas de 1 a 5 dormitorios que se abren a generosas terrazas, donde la luz, el entorno y unas vistas extraordinarias son el hilo conductor desde cualquier punto. El Quintanar The Residences cuenta con magníficas zonas de disfrute común según cada una de sus fases: áreas ajardinadas y de paseo, piscina desbordante de adultos e infantil, gimnasio al aire libre, pádel, tenis, pista de running, zona de juegos infantiles y huertos urbanos. Además de espacios interiores de ocio diferenciadores, como gastrobar, club social, sala audiovisual y sala infantil, espacios especialmente diseñados para coworking y estudio, gimnasio interior equipado, sala de yoga y área de spa. El Quintanar “The Residences” plantea su concepto urbanizador desde el absoluto respeto al entorno natural en el que se encuentra. Así, las edificaciones se organizan de forma de peine para integrar a la perfección el bosque del Lazarejo en la propia urbanización y conseguir, además, una orientación óptima de los edificios. El Quintanar es un proyecto único en Madrid, una emblemática parcela de más de 300.000 m2 situada en Las Rozas. Consta de tres conceptos: “The Residences”, un conjunto residencial que aúna la excelencia y valores de la marca Levitt con la vanguardia e innovación de un ambicioso concepto; “PlazA6”, donde el emblemático edificio Kodak, recuperado, se pone en valor como punto neurálgico que articula todo el complejo, su vida social y sus conexiones con el entorno; y Campus, 40.000 m2 de edificios para distintos usos: espacios de coliving, coworking, hotelero y oficinas.",False,newdevelopment,True,False,3444.0,True,False,False,False,[],False,False,768000.0,€,True,True,flat,penthouse,"El Pinar- Punta Galea, Las Rozas de Madrid","Ático en via de Servicio A6, salida 24 s/n",4,True,El Pinar- Punta Galea,True,,,
108625510,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/90/6b/32/1350315527.webp,PM1,15,715000.0,chalet,sale,253.0,4,3,"calle Pilar Miró, 1",Madrid,Getafe,El Bercial,es,40.3189348,-3.7434748,True,https://www.idealista.com/obra-nueva/108625510/,"INMOBILIARIA PRISMA,S.L. Te presenta una Nueva Promoción de 5 EXCLUSIVAS VIVIENDAS UNIFAMILIARES de más de 250 metros cuadrados construidos con un diseño moderno y funcional. Se componen de cuatro dormitorios que ofrecen suficiente espacio para una familia o para personas que necesitan un espacio adicional para trabajar o estudiar desde casa. En planta primera dispone de dos baños, uno de ellos en suite con el dormitorio principal, es una característica conveniente que proporciona privacidad y comodidad. Habitación adicional en planta baja que también puede ser un estupendo despacho, además de un baño y amplio salón con cocina abierta. Las terrazas son un espacio al aire libre que puede ser utilizado para relajarse, disfrutar de las vistas o incluso para cultivar plantas. La posibilidad de instalación de una piscina al contar con los elementos necesarios para ello es una ventaja adicional, ya que ofrece una opción refrescante para el ejercicio y el entretenimiento. Disponiendo de un amplio solárium en la parte superior de la vivienda. El sótano es una amplia zona de más de 100m2 construidos en su mayoría calefactados, en el que se dispone de un espacio para dos plazas de garaje, con posibilidad para instalación de cargador eléctrico, con aseo, zona de instalaciones, zona de lavadora y amplia zona versátil para que cada familia disponga su uso, ventaja importante, ya que proporciona un lugar seguro, para recreo, almacenar pertenencias y aparcar el coche.  Cuentan con Calificación Energética A, y domótica compuesta por pantalla multifunción táctil color, para el control de la puerta de entrada a la vivienda, detección de inundaciones, incendios, iluminación y persianas motorizadas en salón y dormitorios. Además, se complementa con sistema de aerotermia por suelo radiante de calefacción y refrescante, lo que te permite ahorrar en tu factura de energía y disfrutar de una temperatura agradable en cualquier época del año, y a esto se añade la preinstalación de climatización con canalización para Split. En general, una vivienda de estas características puede ser una opción atractiva para aquellos que buscan un hogar moderno y cómodo en la zona de Getafe. Ubicación privilegiada en El Bercial, una zona residencial consolidada de Getafe que cuenta con grandes avenidas y espacios verdes, rodeada de servicios, zonas deportivas, centro sanitario, áreas de restauración y ocio como el Corte Inglés El Bercial. La promoción se sitúa en una ubicación con perfecta comunicación tanto en trasporte público (línea 12 de metro, línea C-4 de Renfe y líneas L3 y L446 de autobús) como privado (salida a la A-42 y acceso a la M-45). OBRA FINALIZADA, Fecha de entrega JULIO 2025. ULTIMA VIVIENDA DISPONIBLE! Tu nueva casa te está esperando, no pierdas la oportunidad!",True,,True,False,2826.0,True,False,False,False,[],False,False,715000.0,€,True,True,chalet,semidetachedHouse,"El Bercial, Getafe","Chalet pareado en calle Pilar Miró, 1",,,,,,,
108972895,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/0e/c1/3d/1301294075.webp,2 B 2 BJ A,32,681000.0,flat,sale,176.0,2,2,"via de Servicio A6, salida 24 s/n",Madrid,Las Rozas de Madrid,El Pinar- Punta Galea,es,40.5454388,-3.8945255,True,https://www.idealista.com/obra-nueva/108972895/,"Oficina de Atención Comercial en Calle Camilo José Cela, 16. Puede visitarnos mediante cita previa o hacer una videoconferencia para recibir atención personalizada. Uno de los proyectos más esperados del noroeste de Madrid, El Quintanar The Residences es una propuesta residencial única dividida en tres extraordinarias fases — La Retorna, Las Dovelas y El Lindal — que respiran calidad y bienestar en todos los sentidos. Seguridad, accesibilidad, confort y cuidado de las personas, unidos a logros auténticos en ocupación sostenible.  El Quintanar The Residences cuenta con la calidad de los proyectos de Levitt y tanto el diseño como el concepto están firmados por el prestigioso estudio Lamela referente internacional de la arquitectura contemporánea. Y todo ello con el exigente sello Breeam, que certifica la sostenibilidad real en todos los aspectos desde la eficiencia en el manejo de todos los recursos y suministros energéticos al cuidado y la integración de las personas y el entorno. Viviendas de 1 a 5 dormitorios que se abren a generosas terrazas, donde la luz, el entorno y unas vistas extraordinarias son el hilo conductor desde cualquier punto. El Quintanar The Residences cuenta con magníficas zonas de disfrute común según cada una de sus fases: áreas ajardinadas y de paseo, piscina desbordante de adultos e infantil, gimnasio al aire libre, pádel, tenis, pista de running, zona de juegos infantiles y huertos urbanos. Además de espacios interiores de ocio diferenciadores, como gastrobar, club social, sala audiovisual y sala infantil, espacios especialmente diseñados para coworking y estudio, gimnasio interior equipado, sala de yoga y área de spa. El Quintanar “The Residences” plantea su concepto urbanizador desde el absoluto respeto al entorno natural en el que se encuentra. Así, las edificaciones se organizan de forma de peine para integrar a la perfección el bosque del Lazarejo en la propia urbanización y conseguir, además, una orientación óptima de los edificios. El Quintanar es un proyecto único en Madrid, una emblemática parcela de más de 300.000 m2 situada en Las Rozas. Consta de tres conceptos: “The Residences”, un conjunto residencial que aúna la excelencia y valores de la marca Levitt con la vanguardia e innovación de un ambicioso concepto; “PlazA6”, donde el emblemático edificio Kodak, recuperado, se pone en valor como punto neurálgico que articula todo el complejo, su vida social y sus conexiones con el entorno; y Campus, 40.000 m2 de edificios para distintos usos: espacios de coliving, coworking, hotelero y oficinas.",False,newdevelopment,True,False,3869.0,True,False,False,False,[],False,False,681000.0,€,True,True,flat,,"El Pinar- Punta Galea, Las Rozas de Madrid","Piso en via de Servicio A6, salida 24 s/n",bj,True,El Pinar- Punta Galea,True,,,
