propertyCode,thumbnail,externalReference,numPhotos,price,propertyType,operation,size,rooms,bathrooms,address,province,municipality,district,country,latitude,longitude,showAddress,url,description,hasVideo,status,newDevelopment,priceByArea,hasPlan,has3DTour,has360,hasStaging,notes,topNewDevelopment,topPlus,priceInfo.price.amount,priceInfo.price.currencySuffix,detailedType.typology,detailedType.subTypology,suggestedTexts.subtitle,suggestedTexts.title,floor,exterior,neighborhood,hasLift,priceInfo.price.priceDropInfo.formerPrice,priceInfo.price.priceDropInfo.priceDropValue,priceInfo.price.priceDropInfo.priceDropPercentage,newDevelopmentFinished,parkingSpace.hasParkingSpace,parkingSpace.isParkingSpaceIncludedInPrice
107603795,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/55/ca/cf/1355014320.webp,W-02XBVE,35,710000.0,chalet,sale,363.0,4,3,Pino Alto - Navarredonda,Madrid,Valdemorillo,Pino Alto - Navarredonda,es,40.4880207,-4.043832,False,https://www.idealista.com/inmueble/107603795/,"Espectacular casa con jardín en Valdemorillo Engel&Völkers presenta esta magnífica casa moderna con espacios abiertos sobre una parcela totalmente plana con numerosos árboles consolidados. Una propiedad que respira lujo y confort. Construida en 2005, esta residencia ofrece un espacio habitable excepcional, con 4 habitaciones y 3 baños, dos de ellos completos hacen de esta vivienda perfecta para una vida familiar plena.  La presencia de una chimenea en el salón añade un toque de calidez y romanticismo. La opción de cocina independiente con baños separados y aseo de invitados añade comodidad y funcionalidad. Esta impresionante propiedad cautiva con su atmósfera cálida y acogedora. La distribución inteligente maximiza la luz natural, creando un ambiente sereno y elegante en cada rincón. Los suelos de gres porcelánico aportan un toque de sofisticación atemporal. La buhardilla completa ofrece un espacio versátil, ideal con estudio privado. Todos los espacios son muy amplios.  La instalación con suelo radiante permitiria la posibilidad de cambiar a la función de aerotermía con mucha facilidad, ya que toda la instalación está hecha. La casa está pensada para tener una buena eficicencia energética con poco gasto de calefacción al tener grandes ventanales y placas solares. El encanto de esta casa se extiende a su exterior. Una terraza versátil interior con vista al jardín privado invitan a disfrutar del aire libre.  Está situada en una de las mejores urbanizaciones de la zona con espacios comunes, con piscina en urbanización, club social, pistas de tenis y padel, parque infantil y seguridad 24h, combinando ocio y tranquilidad. Un lugar perfecto para disfrutar del entorno y a tan solo 35 minutos de Madrid. Descubra un estilo de vida incomparable en Valdemorillo, un enclave privilegiado a las afueras de Madrid. Esta residencia excepcional ofrece una escapada a la tranquilidad de la naturaleza, a la vez que proporciona un acceso rápido y sencillo a la vibrante capital española. Este lugar es ideal para aquellos que buscan la serenidad del campo sin renunciar a la comodidad y las ventajas de la ciudad. La zona se caracteriza por su excelente infraestructura. Dispone de una red de transporte público eficiente, con autobuses que conectan con Madrid en aproximadamente 45 minutos. Para aquellos que prefieren conducir, la autopista está a poca distancia, permitiendo llegar al centro de Madrid en unos 30 minutos. En Valdemorillo encontrará una amplia gama de servicios, incluyendo supermercados, farmacias, y restaurantes de alta calidad, satisfaciendo todas sus necesidades diarias. Las posibilidades de ocio son infinitas. Los amantes de la naturaleza podrán disfrutar de las numerosas rutas de senderismo y ciclismo que ofrece la Sierra de Guadarrama, con paisajes impresionantes a poca distancia. Para los aficionados al golf, se encuentran varios campos de golf de renombre a pocos minutos en coche. Además, la proximidad a Madrid permite acceder fácilmente a una amplia oferta cultural, gastronómica y de entretenimiento. Esta propiedad se destaca por su ubicación privilegiada, ofreciendo vistas panorámicas de la campiña madrileña. La tranquilidad y la privacidad son características esenciales de este lugar, creando un ambiente idílico para el descanso y la desconexión. La cercanía a la naturaleza, combinada con la facilidad de acceso a la ciudad, hacen de esta ubicación una oportunidad única e irrepetible. En resumen, Valdemorillo ofrece una experiencia de vida excepcional. La combinación de la tranquilidad rural, la excelente infraestructura y la proximidad a Madrid crean un entorno ideal para aquellos que buscan un equilibrio perfecto entre la serenidad y la comodidad. Esta propiedad es una inversión inteligente en un estilo de vida sofisticado y apacible, un verdadero oasis a las puertas de la capital.",True,good,False,1956.0,True,False,True,False,[],False,False,710000.0,€,chalet,independantHouse,"Pino Alto - Navarredonda, Valdemorillo",Casa independiente,,,,,,,,,,
108705659,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/31/2e/aa/1352692999.webp,W-030OVH,35,1885000.0,flat,sale,159.0,3,2,calle de Evaristo San Miguel,Madrid,Madrid,Moncloa,es,40.4279167,-3.7153047,False,https://www.idealista.com/inmueble/108705659/,"Exclusiva vivienda obra nueva junto al Paseo del Pintor Rosales Engel & Völkers les presenta esta exclusiva vivienda en Edificio de Obra Nueva, que cuenta con piscina climatizada interior y gimnasio.  La vivienda es exterior a la calle Evaristo San Miguel. Se accede al espacioso salón con cocina abierta equipada, con isla. A través de un pasillo llegamos a la zona de noche: tres dormitorios y dos baños. El dormitorio principal con armarios empotrados y baño en suite con ducha. Hay dos dormitorios más ambos con armarios empotrados. Y un segundo baño independiente con ducha. Climatización por aerotermia, suelo radiante y refrescante. La vivienda cuenta con trastero.  Finca con servicio de portería. El apartamento forma parte de una promoción de obra nueva: Debod Home, estrenada en Julio 2025, . Dispone de una fachada clásica mantenida, el edificio cuenta con la máxima calificación energética (A), calefacción central y agua caliente por aerotermia. El Barrio de Argüelles, nació en el periodo del Ensanche, y es un magnífico exponente del Madrid burgués. En sus calles se conservan palacios como el de la Infanta Isabel de Borbón y antiguos asilos y conventos, como el del Buen Suceso. Es un lugar ideal para vivir, dada su ubicación bastante céntrica, su entorno verde frente al parque del Oeste y el parque de la Montaña (donde se ubica el templo egipcio de Debod), y la presencia de numerosas tiendas, zonas de ocio, bares y restaurantes con sus atractivas terrazas. En sus calles se concentra el mayor número de cines en versión original de la ciudad  Una de las zonas más singulares de la capital por su variedad y estupenda infraestructura con seis colegios, varias escuelas de educación infantil, un ambulatorio clínico, un centro de especialidades y su gran variedad de supermercados y restaurantes. Al mismo tiempo, los vecinos de este entrañable barrio disfrutan del maravilloso Parque del Oeste considerado uno de los pulmones de Madrid. Además, el distrito cuenta con excelentes comunicaciones gracias a su proximidad por un lado a la M-30, a la A-6, la Carretera de Castilla y al Intercambiador de Moncloa: con salida directa a la sierra de Madrid, y por otro lado acceso a la zona Centro de la capital. Enclave ideal para ir caminando a todas partes y disfrutar del placer de vivir rodeado de zonas verdes en pleno centro de Madrid.",False,good,False,11855.0,False,False,False,False,[],False,False,1885000.0,€,flat,,"Argüelles, Madrid",Piso en calle de Evaristo San Miguel,4,True,Argüelles,True,1975000.0,90000.0,5.0,,,
108261376,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/0e/13/59/1338818646.webp,W-02ZT69,24,1680000.0,flat,sale,170.0,3,3,calle de Menorca,Madrid,Madrid,Retiro,es,40.4177084,-3.676642,False,https://www.idealista.com/inmueble/108261376/,"Amplio piso exterior junto al Retiro Amplio y luminoso piso exterior en una tercera planta con orientación sur, a dos pasos del Retiro en la mejor zona del Barrio de Ibiza. Se trata de una vivienda que cuenta con 170m2 construidos distribuidos en un amplio hall de entrada, gran salón con dos ventanales, tres dormitorios y tres cuartos de baño, el principal en suite y una gran cocina con zona de despensa, Ademas dispone de una cuarta habitación que puede hacer de despacho o cuarto de servicio. Cuenta con puerta principal y de servicio, es luminoso, amplio y perfecto para una familia que quiera vivir muy cerca del Retiro en uno de los barrios más demandados de la capital. Puede hacerse una actualización o si prefiere una reforma con muchas posibilidades ya que todas las estancias tienen ventanas. Dispone de aire acondicionado por splits y calefacción central La finca es de los años 40 con vidrieras protegidas, trastero y guarda bicis. El barrio de Ibiza en el distrito de Retiro es un barrio residencial tranquilo, rodeado de todo tipo de servicios y con todas las comodidades para el día a día; supermercados, colegios, instalaciones deportivas, centros de salud y el prestigioso Hospital Universitario Gregorio Marañón, con una situación privilegiada junto a la zona comercial de Goya, la Plaza Felipe II, la Puerta de Alcalá o el Barrio de Salamanca. Además, el barrio de Ibiza es uno de los grandes referentes culinarios de la ciudad convertido en un paraíso gastronómico con grandes referencias en el sector. Pero sin duda, el auténtico protagonista de este barrio de Madrid es El Parque del Buen Retiro, uno de los lugares preferidos de madrileños y turistas, considerado como uno de los mayores referentes de la capital y un oasis verde en pleno centro, que ofrece también cultura, ocio y deporte. Las comunicaciones y medios de transporte son excelentes con varias estaciones de metro como las de Ibiza, Retiro o Sainz de Baranda y con salida rápida y directa a la M-30.",True,good,False,9882.0,False,False,True,False,[],False,False,1680000.0,€,flat,,"Ibiza, Madrid",Piso en calle de Menorca,3,True,Ibiza,True,,,,,,
108709736,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/51/da/5b/1352766601.webp,2ºE,13,329000.0,flat,sale,106.0,3,2,"calle Calvario, 4",Madrid,Los Molinos,,es,40.7119445,-4.0755545,True,https://www.idealista.com/obra-nueva/108709736/,"La promoción FUENTE DEL LEÓN, está ubicada junto al centro urbano de los Molinos, a tan sólo 40 min de Madrid, con muy buena comunicación: Cercanías y A-6 y M-622 o M-614 en coche. Un lugar perfecto para disfrutar de la tranquilidad de la naturaleza, con todas las comodidades a tu disposición.   Es un proyecto de obra nueva formada por 8 viviendas en altura de 2 y 3 dormitorios y 10 despachos profesionales con plaza de garaje, trastero y zonas comunes con piscina, diseñado para ofrecer espacios confortables.   Viviendas con máxima eficiencia energética y sostenibilidad.",False,newdevelopment,True,3104.0,True,False,False,False,[],False,False,329000.0,€,flat,,Los Molinos,"Piso en calle Calvario, 4",2,True,,True,,,,False,True,True
108437972,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/60/b4/6f/1347417718.webp,DS-P77747B,23,1395000.0,flat,sale,71.0,2,2,calle de Lagasca,Madrid,Madrid,Barrio de Salamanca,es,40.425475,-3.6836177,False,https://www.idealista.com/inmueble/108437972/,"DIZA Consultores les presenta luminoso piso haciendo esquina en edificio clásico, en Recoletos. En la primera planta de un edificio construido a principios del siglo XX, encontramos este luminoso piso de 71 metros cuadrados. Se distribuye en recibidor, salón-comedor con cocina integrada totalmente equipada con ventilación, dos dormitorios y dos baños, siendo el de la habitación principal en suite. Desde su salón, se pueden disfrutar de vistas parcialmente despejadas. La cocina está completamente equipada con electrodomésticos de gama alta. Todas las estancias tienen ventana, por lo que se trata de una vivienda muy luminosa y acogedora. La calefacción es individual por gas mientras que el aire acondicionado es por conductos regulable en cada estancia. El piso ha estado alquilado en Airbnb dando una rentabilidad bruta de casi el 7%, teniendo en cuenta que los propietarios lo han utilizado de vez en cuando. El Barrio Salamanca se trata de una de las zonas más lujosas y con mejor calidad de vida de Europa. Gracias a la amplia oferta gastronómica, cultural y comercial, se trata de una formidable zona donde vivir e invertir. Estaremos encantados de atenderle. DIZA Consultores Inmobiliarios Inmobiliaria de lujo en Madrid especializada en comprar, vender y alquilar pisos en las zonas premium de Madrid: Barrio de Salamanca, Almagro, Chamartín, Retiro, Pozuelo, Aravaca, Boadilla. Convertimos Sueños en Hogares.",False,good,False,19648.0,False,False,False,False,[],False,False,1395000.0,€,flat,,"Recoletos, Madrid",Piso en calle de Lagasca,1,True,Recoletos,True,,,,,,
109217953,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/3e/af/75/1367776779.webp,,9,570000.0,flat,sale,117.0,3,2,calle de Montalbos,Madrid,Madrid,Hortaleza,es,40.4651507,-3.640283,False,https://www.idealista.com/inmueble/109217953/,"ESTUDIO NUEVO CANILLAS 2023 S. L VENDE EN EXCLUSIVA. ¡Descubre tu nuevo hogar en este espectacular piso de 100 m²! Ubicado en una zona inmejorable, este encantador inmueble cuenta con 3 amplios dormitorios y 2 baños completos, uno de ellos en suite, perfectos para disfrutar de la comodidad y privacidad que mereces. Con acabados de excelente calidad y en muy buen estado, este piso es ideal tanto para familias como para quienes buscan un espacio acogedor. La luminosidad es uno de los grandes atractivos de esta vivienda, ya que su orientación norte, sur y este garantiza luz natural durante todo el día. Además, se encuentra en la tercera planta de un edificio con ascensor, lo que facilita el acceso a todas las estancias. La calefacción central y el aire acondicionado aseguran un ambiente agradable en cualquier época del año. La ubicación es perfecta: supermercados y comercios cercanos, así como fácil acceso al transporte público, con la estación de metro Canillas (L4) a pocos pasos. También cuenta con plaza de garaje incluida en el precio, lo que añade un valor extra a esta magnífica propiedad. No dejes pasar la oportunidad de vivir en un lugar que lo tiene todo!  Además, ofrecemos la posibilidad de financiación al 100% con asesoramiento gratuito de nuestro departamento financiero KIRON.",False,good,False,4872.0,False,False,False,False,[],False,False,570000.0,€,flat,,"Canillas, Madrid",Piso en calle de Montalbos,3,True,Canillas,True,,,,,True,True
108795312,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/42/3d/e0/1355352889.webp,DEHESA350,31,350000.0,penthouse,sale,200.0,4,2,"AV DEHESA DE LA, 5",Madrid,Navalcarnero,La Dehesa - El Pinar,es,40.3036798,-4.0051726,True,https://www.idealista.com/inmueble/108795312/,"HOGARES NAVALCARNERO VENDE espectacular ático dúplex en urbanización privada con piscina comunitaria, portero físico, áreas infantiles y zonas ajardinadas. También dispone de DOS plaza de garaje y trastero, en uno de los barrios con más prestigio del municipio; La Dehesa. Una de las mejores zonas de Navalcarnero, próximo a todo tipo de servicios, a 500 metro del colegio SEI, comercios, paradas de autobús, instalaciones deportivas, etc. Combinado con naturaleza y tranquilidad en el barrio. La vivienda se distribuye en dos cómodas plantas y está compuesta por cuatro dormitorios y dos baños completos. El inmueble se encuentra en un perfecto estado de conservación, dadas las modificaciones pertinentes que se hicieron y se distribuye de la siguiente manera: Al entrar a la vivienda nos encontramos un amplio hall de entrada, cocina reformada con zona de office y gran espacio de tendedero y enorme salón – comedor de muy buen tamaño con amplios ventanales, lo que le da mucha luminosidad a la estancia. Dos dormitorios secundarios grandes con armarios empotrados y grandes ventanales. Un baño completo con bañera. Una habitación principal con armarios empotrados y con baño completo en suite con plato de ducha. Desde el salón accedemos por una cómoda y bonita escalera a la planta de arriba donde contamos con una buhardilla diáfana y completamente habilitada pudiendo usarse para múltiples actividades como habitación, ocio, despacho, etc. La vivienda tiene toda la pintura en liso, aire acondicionado por conducto con bomba frío/calor excepto en la buhardilla que contamos con split de aire acondicionado. Además de DOS plaza de garaje y trastero. ¡NO PIERDAS LA OPORTUNIDAD DE VIVIR EN UN PRECIOSO ÁTICO EN UNA DE LAS MEJORES ZONAS DEL MUNICIPIO! ¡FINANCIACION HASTA EL 100%!",False,good,False,1750.0,True,False,False,False,[],False,False,350000.0,€,flat,penthouse,"La Dehesa - El Pinar, Navalcarnero","Ático en Av Dehesa De La, 5",3,True,,True,,,,,True,True
105963456,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/6d/54/66/1190945494.webp,MV6,26,375000.0,chalet,sale,127.0,3,3,calle Valle de Iruelas s/n,Madrid,Villalbilla,,es,40.4331229,-3.2846158,True,https://www.idealista.com/obra-nueva/105963456/,"¿Estás buscando un hogar dónde desconectar y estar en familia teniendo todos los servicios al alcance? ¿Qué te parecería poder ir al supermercado, colegios, centros de salud, polideportivos o simplemente ir a comer a un restaurante sin tener que coger el coche? Nuestra promoción se encuentra en una zona privilegiada que además, te permite ir andando a todas partes. El Mirador de Villalbilla es la primera promoción de obra nueva que tenemos a tan solo 5 minutos andando del casco antiguo de Villalbilla (Madrid) y a 10 minutos en coche de Alcalá de Henares (Madrid). Una urbanización de 20 chalets adosados de 3 y 4 dormitorios, siendo 2 de ellos pareados, con espacio suficiente para toda la familia y jardines de hasta 200 m2. Viviendas con excelentes calidades donde podrás elegir entre las diferentes opciones que planteamos. Podrás disfrutar cocinando en la cocina, que según tipología podrá ser integrada en el salón o independiente. Nuestras viviendas disponen de suelo radiante refrescante y sistema de aerotermia con lo que se consigue minimizar los consumos gracias a la certificación energética A. Cada chalet dispone de su propio jardín individual, para disfrutar con la familia y amigos. La urbanización cuenta con zonas comunes, jardín y piscina comunitaria para poder refrescarte los días de verano, y por supuesto no tienes que perder el tiempo buscando donde aparcar, porque cada vivienda tiene espacio para 2 vehículos con instalación de toma de corriente para electrolinera. ¿A qué te ves viviendo allí? No lo dudes y ven a visitarnos a nuestra oficina de ventas situada en C/ Arribes de Duero esquina C/ Hayedo de Montejo, en Villalbilla.",False,,True,2953.0,True,False,False,False,[],False,False,375000.0,€,chalet,semidetachedHouse,Villalbilla,Chalet pareado en calle Valle de Iruelas s/n,,,,,,,,False,True,True
108709756,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/1d/bf/45/1352766307.webp,2ºF,13,259000.0,flat,sale,61.0,2,2,"calle Calvario, 4",Madrid,Los Molinos,,es,40.7119445,-4.0755545,True,https://www.idealista.com/obra-nueva/108709756/,"La promoción FUENTE DEL LEÓN, está ubicada junto al centro urbano de los Molinos, a tan sólo 40 min de Madrid, con muy buena comunicación: Cercanías y A-6 y M-622 o M-614 en coche. Un lugar perfecto para disfrutar de la tranquilidad de la naturaleza, con todas las comodidades a tu disposición.   Es un proyecto de obra nueva formada por 8 viviendas en altura de 2 y 3 dormitorios y 10 despachos profesionales con plaza de garaje, trastero y zonas comunes con piscina, diseñado para ofrecer espacios confortables.   Viviendas con máxima eficiencia energética y sostenibilidad.",False,newdevelopment,True,4246.0,True,False,False,False,[],False,False,259000.0,€,flat,,Los Molinos,"Piso en calle Calvario, 4",2,True,,True,,,,False,True,True
107680346,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/a2/a1/cc/1319600940.webp,DS-P77693B,21,5000000.0,flat,sale,311.0,4,5,paseo de la Castellana,Madrid,Madrid,Barrio de Salamanca,es,40.4299925,-3.6891189,False,https://www.idealista.com/inmueble/107680346/,"DIZA Consultores les presenta esta magnífica vivienda con vistas únicas en pleno Barrio Salamanca. En la cuarta planta de un edificio con fachada muy representativa construido a principios del siglo XX, encontramos este magnífico piso de techos altos de 311 metros cuadrados. La zona social destaca por su amplitud y diseño diáfano, con un salón-comedor que recibe abundante luz natural con grandes ventanales que aportan un toque de distinción y elegancia. La cocina, completamente equipada con electrodomésticos de alta gama, está semi integrada en la zona social. La zona privada se compone de cuatro habitaciones en suite. Además, cuenta con aseo de cortesía junto a la zona social. El Barrio Salamanca se trata de una de las zonas más lujosas y con mejor calidad de vida de Europa. Gracias a la amplia oferta gastronómica, cultural y comercial, se trata de una formidable zona donde vivir e invertir. Estaremos encantados de atenderle. DIZA Consultores Inmobiliarios. Inmobiliaria de lujo en Madrid especializada en comprar, vender y alquilar pisos en las zonas premium de Madrid: Barrio de Salamanca, Almagro, Chamartín, Retiro, Pozuelo, Aravaca, Boadilla. Convertimos Sueños en Hogares.",False,good,False,16077.0,False,False,False,False,[],False,False,5000000.0,€,flat,,"Castellana, Madrid",Piso en paseo de la Castellana,2,True,Castellana,True,,,,,,
