propertyCode,thumbnail,externalReference,numPhotos,price,propertyType,operation,size,rooms,bathrooms,address,province,municipality,district,country,latitude,longitude,showAddress,url,description,hasVideo,status,newDevelopment,newDevelopmentFinished,priceByArea,hasPlan,has3DTour,has360,hasStaging,notes,topNewDevelopment,topPlus,priceInfo.price.amount,priceInfo.price.currencySuffix,parkingSpace.hasParkingSpace,parkingSpace.isParkingSpaceIncludedInPrice,detailedType.typology,detailedType.subTypology,suggestedTexts.subtitle,suggestedTexts.title,floor,exterior,neighborhood,hasLift,parkingSpace.parkingSpacePrice,priceInfo.price.priceDropInfo.formerPrice,priceInfo.price.priceDropInfo.priceDropValue,priceInfo.price.priceDropInfo.priceDropPercentage
108729987,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/f4/22/64/1353216493.webp,11,18,580250.0,chalet,sale,146.0,3,3,"avenida Estrella Polar, 9005",Madrid,Móstoles,Sur,es,40.3107523,-3.8507929,True,https://www.idealista.com/obra-nueva/108729987/,"Descubre tu nuevo chalet en Polar Móstoles Residencial, en el PAU – 4. Promoción de 11 viviendas unifamiliares adosadas en régimen de cooperativa. Tipologías de 2 a 4 dormitorios. Disponen de jardín, parking privado para un vehículo y solárium en cubierta.  Disfruta de tu independencia en una vivienda donde la calidad y sostenibilidad es esencial. Pensamos en las necesidades de la vida moderna: estancias amplias, luz natural, eficiencia energética y espacios exteriores privados donde disfrutar en familia.  Las viviendas contarán con acabados de alta gama cuidando el máximo detalle desde la carpintería exterior con aislamiento térmico y acústico, cocinas equipadas con materiales actuales y sistemas de climatización eficientes.",False,newdevelopment,True,False,3974.0,True,False,False,False,[],False,False,580250.0,€,True,True,chalet,terracedHouse,"Sur, Móstoles","Chalet adosado en avenida Estrella Polar, 9005",,,,,,,,
108814233,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/09/c8/10/1357714250.webp,3D03,8,323051.0,flat,sale,111.0,3,2,"avenida Provisional Ahijones Berrocales Dos, 207",Madrid,Madrid,Vicálvaro,es,40.3705976,-3.5871035,True,https://www.idealista.com/obra-nueva/108814233/,"Tu nueva vida empieza en Los Berrocales: Residencial de vivienda protegida VPPL en régimen de cooperativa   Descubre un nuevo concepto de hogar en uno de los desarrollos urbanísticos más prometedores de Madrid. En Los Berrocales, cada día comienza con más luz, más espacio, más tranquilidad y más futuro.   Residencial El Brezal de los Berrocales es un proyecto de viviendas de 2 y 3 dormitorios, todas con amplias terrazas, garajes y trastero incluidos, diseñadas para ofrecer el equilibrio perfecto entre funcionalidad, confort y diseño.    Podrás elegir entre bajos con jardín, pisos en altura o espectaculares áticos en una urbanización cerrada con piscina y zonas comunes para que disfrutes del máximo ocio y bienestar.   Un barrio nuevo que mira al futuro   Los Berrocales es más que un nuevo barrio, es una nueva forma de vivir Madrid. Situado en el corazón del Sureste, a solo minutos del centro y perfectamente conectado por carretera (A-3, M-45, M-50) y transporte público (líneas EMT, Cercanías y futura estación de Metro L9 e intercambiador), disfrutarás de movilidad total desde el primer día.   Zonas verdes, calles amplias, espacios peatonales, equipamientos escolares, deportivos y comerciales… Todo pensado para el día a día de quienes buscan calidad de vida sin renunciar a nada.   La parcela se ubica en el Sector 3, una zona consolidada y con alto nivel de avance urbanístico, donde ya se prevé la simultaneidad de obras y edificación.    **COMERCIALIZA SERPROCOL  ***Las infografías mostradas son orientativas y carecen de carácter contractual, pudiendo ser variadas por función de las exigencias técnicas, jurídicas o por decisiones tomadas adoptadas en Asamblea. Durante el desarrollo del proyecto, la dirección facultativa por motivos técnicos o administrativos se reserva el derecho de efectuar modificaciones en distribuciones, dimensiones, superficies y materiales, sin que ello suponga disminución en la calidad de los materiales.",False,newdevelopment,True,False,2910.0,True,False,False,False,[],False,False,323051.0,€,True,True,flat,,"Los Berrocales, Madrid","Piso en avenida Provisional Ahijones Berrocales Dos, 207",bj,True,Los Berrocales,True,,,,
108598506,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/cf/b3/7b/1349569964.webp,17,13,477500.0,chalet,sale,157.0,3,3,"calle Solana Alta, 3",Madrid,Valdeolmos-Alalpardo,,es,40.6316599,-3.47198,True,https://www.idealista.com/obra-nueva/108598506/,"Oasis Alalpardo es una exclusiva promoción de 46 chalets unifamiliares en un entorno natural privilegiado, a solo 30 minutos del centro de Madrid. Las viviendas, de 3 o 4 dormitorios, cuentan con jardín privado, terraza, dos plazas de aparcamiento y amplias zonas comunes con piscinas, zona ajardinada, parque infantil y espacio biosaludable, ideales para el disfrute de toda la familia. Diseñadas con los más altos estándares de calidad y confort, incorporan sistema de aerotermia con suelo radiante y refrescante, climatización por estancias y aislamiento térmico y acústico de alto rendimiento. Todo ello con calificación energética A, garantizando un consumo eficiente y un mayor bienestar. Oasis Alalpardo ofrece además la posibilidad de personalizar tu vivienda, eligiendo entre cocina abierta o cerrada, 3 o 4 dormitorios y diferentes acabados y mejoras preseleccionadas. Ubicado en una zona residencial consolidada con todos los servicios a tu alcance: colegios, supermercados, instalaciones deportivas, zonas verdes y transporte público con conexión directa a Plaza de Castilla. Un entorno tranquilo, bien comunicado y en plena naturaleza. Para ampliar información, no dudes en visitarnos en nuestra oficina en Alalpardo, calle Calvo Sotelo, 5, 28130, Alalpardo, Madrid.",False,newdevelopment,True,False,3041.0,True,False,False,False,[],False,False,477500.0,€,True,True,chalet,semidetachedHouse,Valdeolmos-Alalpardo,"Chalet pareado en calle Solana Alta, 3",,,,,,,,
108598486,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/20/3e/c3/1349568975.webp,18,13,477500.0,chalet,sale,157.0,4,3,"calle Solana Alta, 3",Madrid,Valdeolmos-Alalpardo,,es,40.6316599,-3.47198,True,https://www.idealista.com/obra-nueva/108598486/,"Oasis Alalpardo es una exclusiva promoción de 46 chalets unifamiliares en un entorno natural privilegiado, a solo 30 minutos del centro de Madrid. Las viviendas, de 3 o 4 dormitorios, cuentan con jardín privado, terraza, dos plazas de aparcamiento y amplias zonas comunes con piscinas, zona ajardinada, parque infantil y espacio biosaludable, ideales para el disfrute de toda la familia. Diseñadas con los más altos estándares de calidad y confort, incorporan sistema de aerotermia con suelo radiante y refrescante, climatización por estancias y aislamiento térmico y acústico de alto rendimiento. Todo ello con calificación energética A, garantizando un consumo eficiente y un mayor bienestar. Oasis Alalpardo ofrece además la posibilidad de personalizar tu vivienda, eligiendo entre cocina abierta o cerrada, 3 o 4 dormitorios y diferentes acabados y mejoras preseleccionadas. Ubicado en una zona residencial consolidada con todos los servicios a tu alcance: colegios, supermercados, instalaciones deportivas, zonas verdes y transporte público con conexión directa a Plaza de Castilla. Un entorno tranquilo, bien comunicado y en plena naturaleza. Para ampliar información, no dudes en visitarnos en nuestra oficina en Alalpardo, calle Calvo Sotelo, 5, 28130, Alalpardo, Madrid.",False,newdevelopment,True,False,3041.0,True,False,False,False,[],False,False,477500.0,€,True,True,chalet,semidetachedHouse,Valdeolmos-Alalpardo,"Chalet pareado en calle Solana Alta, 3",,,,,,,,
108891070,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/66/fb/4f/1353153484.webp,VT02,20,518000.0,chalet,sale,192.0,4,4,"calle de las Cuatro Peñas, 6",Madrid,Manzanares el Real,,es,40.7291385,-3.8623032,True,https://www.idealista.com/obra-nueva/108891070/,"Galivivienda Montelago Residencial ¡Bienvenido a Montelago Residencial, tu refugio exclusivo en la mejor zona de Manzanares, donde la naturaleza y la comodidad se fusionan para ofrecerte un estilo de vida inigualable! Ubicado en un entorno natural privilegiado, ideal para los amantes del senderismo y la escalada, Montelago Residencial, una urbanización única de chalets en Manzanares te invita a vivir en armonía con la naturaleza. Con una conexión directa a la M-607 y transporte público mediante autobuses, disfrutarás de una ubicación inmejorable a tan solo treinta minutos de Madrid en coche. Imagina despertar cada día con vistas impresionantes a la Sierra de Guadarrama, junto al embalse de Santillana y el parque regional de la Cuenca Alta del Manzanares. Este entorno excepcional ofrece la tranquilidad de la naturaleza con la conveniencia de tener todos los servicios, comercios y colegios a tu alcance, disfrutando de un magnífico chalet adosado en Manzanares Montelago Residencialpresenta una oportunidad única con 26 exclusivos chalets de 4 dormitorios en régimen de cooperativa. La personalización de acabados te permitirá crear el hogar de tus sueños. Podrás elegir entre dos opciones, en dos o tres plantas, ajustándose a tus necesidades. Sus parcelas privadas te permitirán tener ese espacio exterior ideal para tus hobbys, la jardinería, cultivar un huerto, o para disfrutar de una deliciosa barbacoa. Además, disfruta de amplias zonas comunes que incluyen una refrescante piscina y un gimnasio al aire libre, creando un espacio perfecto para relajarte y mantenerte activo. En Montelago Residencial, no solo encontrarás una casa, sino un estilo de vida que combina la elegancia con la naturaleza. Descubre la comodidad de vivir en un entorno único, donde cada día es una aventura y cada rincón te inspira. No dejes la oportunidad de cumplir tus sueños y hacerte con un chalet de obra nueva en Manzanares el Real. No pierdas la oportunidad de ser parte de esta exclusiva comunidad. ¡Contáctanos ahora y comienza la experiencia única de Montelago Residencial!",False,newdevelopment,True,False,2698.0,True,False,False,False,[],False,False,518000.0,€,True,True,chalet,terracedHouse,Manzanares el Real,"Chalet adosado en calle de las Cuatro Peñas, 6",,,,,,,,
108007807,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/b4/4f/51/1322348507.webp,,20,265000.0,chalet,sale,152.0,4,4,"calle Párroco Fernando Agudo Maroto, 7",Madrid,Aldea del Fresno,,es,40.3255582,-4.2019868,True,https://www.idealista.com/obra-nueva/108007807/,"Obras iniciadas en Septiembre de 2025 Residencial San Pedro  6 viviendas unifamiliares adosadas de obra nueva.  Con Alta Eficiencia Energética.  Excelentes calidades.  Fachada terminada en mortero acrílico terminación placa de fibrocemento pintado, con un importante ahorro energético y un exterior resistente a las inclemencias meteorológicas. Impecable y duradero.  CARPINTERÍA EXTERIOR E INTERIOR  La carpintería exterior de PVC en color negro antracita.  Vidrio con doble acristalamiento con gas argón en cámara como  mejora del aislamiento.  Puerta de acceso a la vivienda blindada del mismo color que carpintería y con panelado de melamina al interior con el mismo acabado que el resto de puertas interiores.  Pintura plástica lisa en los paramentos de toda la vivienda.  Puertas de paso de MDF lacadas en blanco y decoradas mediante fresado horizontal o lisas.  Frente de armario de tablero de 16mm blanco en la cara interior acordes con puerta de paso. Se incluye balda del maletero superior y barra para colgar. Interiormente acabado con tablero textil.  Rodapié de DM hidrófugo lacado en mismo color blanco del resto de la carpintería interior.  ACABADOS INTERIORES  Suelo de tarima laminada de gran formato especial para Aerotermia (suelo radiante y refrescante).  Falso techo de placas de yeso laminado como acabado superior en toda la vivienda con acabado de pintura plástica lisa en baños y pasillos.  COCINA  Se diseña como un amplio espacio compartido con el salón que permite una relación continua con el resto de la vivienda.  La cocina cuenta con preinstalación, ofreciendo al cliente la posibilidad de diseñarla completamente a su gusto, adaptándola a sus necesidades y estilo personal.  BAÑOS  Grifería INEX o similar mediante rociador cromo con brazo y maneta mono mando.  Plato de ducha de resina y carga mineral textura pizarra.  Lavabos UNISAN O FOSSIL NATURA o similar de loza cerámica sobre encimera.  Alicatados con piezas de gres porcelánico de primera calidad en gran formato 90 x 30 cm.  CLIMATIZACIÓN Y ACS  En la constante búsqueda de la comodidad y el confort de nuestros clientes, se plantea un sistema de generación de frío y calor mediante instalación de aerotermia con apoyo de instalación de paneles Fotovoltaicos.  Suelo radiante y refrigerante con regulación independiente mediante termostato en salón y dormitorios.  ILUMINACIÓN, ELECTRICIDAD Y TELECOMUNICACIONES  Videoportero y colocación de luminarias en zonas comunes y garaje  Todos los dormitorios y salones estarán tomas de TV, datos y teléfono.",False,newdevelopment,True,False,1743.0,True,False,False,False,[],False,False,265000.0,€,True,True,chalet,terracedHouse,Aldea del Fresno,"Chalet adosado en calle Párroco Fernando Agudo Maroto, 7",,,,,,,,
107238277,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/13/0c/68/1338399387.webp,P1 1C,10,365000.0,flat,sale,114.0,3,2,"Arroyo Bueno, 1",Madrid,Madrid,Villaverde,es,40.3481814,-3.7020925,True,https://www.idealista.com/obra-nueva/107238277/,"Jardines del Loira es un proyecto de 53 viviendas de 2 y 3 dormitorios todas con terraza.  Las viviendas se caracterizan por su magnífica distribución y su versatilidad. Un edificio con un diseño moderno y actual en una urbanización cerrada con piscina y zonas comunes, donde disfrutar tranquilamente de sus momentos de ocio. Ubicación exclusiva: Situada en una zona consolidada que cuenta con todo tipo de servicios colegios, centros deportivos, supermercados, etc… Muy bien comunicado por diferentes líneas de autobuses, a 5 minutos andando de la estación de cercanías Puerto Alcocer y cercana a estaciones de metro Plaza de garaje y trastero incluidos. Viviendas eficientes. Instalación para producción de calor y agua caliente sanitaria (A. C. S) mediante aerotermia. Sistema de climatización mediante suelo radiante/refrescante con control independiente por estancias, mejorando la sensación de confort térmico.  Ventilación mecánica mediante sistema de doble flujo con recuperación de calor. Las viviendas contarán con amplias opciones de personalización, como es habitual en los proyectos de Libra, para que cada vivienda sea única y diferente.",False,newdevelopment,True,False,3202.0,True,False,False,False,[],False,False,365000.0,€,True,True,flat,,"Villaverde Alto, Madrid","Piso en Arroyo Bueno, 1",1,True,Villaverde Alto,True,,,,
108464264,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/5d/72/c0/1339378075.webp,Ático A,10,1880000.0,penthouse,sale,125.0,2,3,"calle Bretón de los Herreros, 23",Madrid,Madrid,Chamberí,es,40.4397248,-3.6988035,True,https://www.idealista.com/obra-nueva/108464264/,"Savills presenta Bretón de los Herreros 23. En el corazón de Madrid, se encuentra este exclusivo proyecto con un total de 10 viviendas y 2 áticos.  Una fachada clásica con un toque renovado y contemporáneo son el equilibrio perfecto entre tradición y modernidad. La descripción perfecta de la zona donde se encuentra: Chamberí, sinónimo de historia, vanguardia y comodidad.  La distribución de los espacios está cuidadosamente diseñada para optimizar cada rincón, prestando atención a cada detalle para crear viviendas únicas, manteniendo estándares de calidad. La zona social, integra el salón-comedor con la cocina en un espacio amplio y luminoso, ofreciendo un equilibrio entre funcionalidad y confort.  La zona de descanso destaca por ser un espacio íntimo, donde se entrelazan la elegancia con la sofisticación, completos además con vestidor y baño en suite.  Finalmente, BH23 ofrecerá excepcionales zonas comunes diseñadas para satisfacer las necesidades de los residentes. Destaca su encantador patio inglés, un rincón tranquilo y lleno de luz natural, rodeado de vegetación. Además, contará con una espectacular piscina en la azotea, acompañada de instalaciones diseñadas para el máximo bienestar: sauna, sala de masajes, jacuzzi, cava de vinos y gimnasio, ofreciendo un espacio único para cuidar el cuerpo y la mente en un entorno exclusivo y de confort.  Posibilidad de adquirir plaza de garaje adicional en el mismo edificio.  Obras iniciadas.  Fecha de entrega: último trimestre de 2026.",True,newdevelopment,True,False,15040.0,True,False,False,False,[],False,False,1880000.0,€,True,False,flat,penthouse,"Nuevos Ministerios-Ríos Rosas, Madrid","Ático en calle Bretón de los Herreros, 23",6,True,Nuevos Ministerios-Ríos Rosas,True,50000.0,,,
108798380,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/d5/0e/e3/1355451053.webp,PN001,29,599000.0,chalet,sale,230.0,5,3,Algete,Madrid,Algete,,es,40.6067129,-3.5400231,False,https://www.idealista.com/inmueble/108798380/,"HOUSE AND HOUSE VENDE. - Precioso pareado con jardín muy amplio, piscina individual, mucha privacidad y con orientación sur. La vivienda tiene una distribución practica y funcional con todas las estancias amplias. Se distribuye: PLANTA PRINCIPAL: Hall de entrada con armario ropero, aseo de invitados, cocina con zona de office. salón comedor con salida directa al porche jardín y piscina. PLANTA PRIMERA: Tres amplios dormitorios con dos baños completos ( El dormitorio principal con zona de vestidor y su baño en suite) BUHARDILLA: Cuarto dormitorio muy amplio y zona de despacho. PLANTA BAJA: Entrando desde el jardín tenemos un segundo salón muy amplio, ideal como cuarto de juegos, zona de lavandería y despensa y un cuarto de herramientas. Esta zona era el garaje original y tiene muy fácil reconversión. Pero hay espacio para aparcar dos coches dentro de la parcela en la zona de la entrada. Jardín totalmente consolidado, piscina individual con sistema de calefacción de agua, zona de barbacoa. Se encuentra en la urbanización de Prado Norte, urbanización muy tranquila y segura. Ideal para familias y con todos los servicios necesarios a 10 minutos. Supermercados, farmacia, centro comercial, colegios, centro de salud etc...",False,good,False,,2604.0,False,False,False,False,[],False,False,599000.0,€,True,True,chalet,semidetachedHouse,Algete,Chalet pareado,,,,,,,,
108844924,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/78/18/f9/1356788548.webp,3,17,445000.0,chalet,sale,148.0,4,3,"calle Sauces, 1",Madrid,Guadalix de la Sierra,,es,40.7874873,-3.6938598,True,https://www.idealista.com/obra-nueva/108844924/,"Névola es una exclusiva promoción residencial formada por 16 chalets (14 pareados y 2 independientes) situados en Guadalix de la Sierra, un enclave natural único dentro de la Comunidad de Madrid, en plena Sierra de Guadarrama. Este proyecto ofrece un nuevo concepto de hogar: más espacio, más luz, más naturaleza y más calidad de vida, a tan solo 40 minutos de Madrid por la A-1. � Rodeadas de aire limpio y paisajes espectaculares, las viviendas han sido diseñadas para quienes valoran el bienestar, la tranquilidad y el contacto con la naturaleza, sin renunciar a las comodidades modernas. ✨ Distribución y equipamiento: •Superficies amplias y funcionales con distribución moderna •4 dormitorios, incluido uno en planta baja •Dormitorio principal en suite con vestidor y baño privado •2 baños completos + 1 aseo •Cocina abierta al salón con opción a cerrarla •Lavadero independiente •Grandes ventanales con vistas despejadas •Jardín privado y 2 plazas de garaje •Sistema de aerotermia con suelo radiante y refrescante •Alta eficiencia energética (certificación A+) � Interiores luminosos y confortables, diseñados para aprovechar la luz natural y crear ambientes acogedores y versátiles, con materiales de primera calidad. � Zonas comunes pensadas para disfrutar: •Piscinas comunitarias (una para adultos y otra para niños).  •Jardines, huerto compartido y áreas de juego •Parcelas espaciosas con buena privacidad � Ubicación: Guadalix de la Sierra cuenta con todos los servicios (educación, salud, comercio, ocio) y un entorno natural excepcional con microclima propio, ideal para disfrutar del aire libre todo el año. Névola no es solo una promoción de viviendas, es una propuesta de vida: más sana, más libre, más tuya.",False,,True,False,3007.0,True,False,False,False,[],False,False,445000.0,€,True,True,chalet,semidetachedHouse,Guadalix de la Sierra,"Chalet pareado en calle Sauces, 1",,,,,,,,
