propertyCode,thumbnail,externalReference,numPhotos,floor,price,propertyType,operation,size,exterior,rooms,bathrooms,address,province,municipality,district,country,neighborhood,latitude,longitude,showAddress,url,description,hasVideo,status,newDevelopment,hasLift,priceByArea,hasPlan,has3DTour,has360,hasStaging,notes,topNewDevelopment,topPlus,priceInfo.price.amount,priceInfo.price.currencySuffix,detailedType.typology,suggestedTexts.subtitle,suggestedTexts.title,priceInfo.price.priceDropInfo.formerPrice,priceInfo.price.priceDropInfo.priceDropValue,priceInfo.price.priceDropInfo.priceDropPercentage,newDevelopmentFinished,parkingSpace.hasParkingSpace,parkingSpace.isParkingSpaceIncludedInPrice,detailedType.subTypology
108072855,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/e4/55/08/1347147154.webp,79384,30,1,2600000.0,flat,sale,133.0,True,2,3,calle de Villalar,Madrid,Madrid,Barrio de Salamanca,es,Recoletos,40.4192893,-3.6901692,False,https://www.idealista.com/inmueble/108072855/,"Álvora Capital Properties, consultora inmobiliaria de alta calidad en la gestión de activos prime en Madrid, vende esta magnífica propiedad enclavada en una finca antigua con bonita fachada y elegante portal, ubicada en el prestigioso barrio de Recoletos, a pocos metros de la Puerta de Alcalá, del Parque del Retiro y de la prestigiosa calle Serrano. A la vivienda se accede, a través de un pequeño hall de entrada con aseo de cortesía. La zona social se compone de un amplio y luminoso salón-comedor orientado a calle, enmarcado por cuatro balcones de suelo a techo que aportan gran entrada de luz natural y agradables vistas a edificios históricos del entorno. La cocina, de cuidada estética y acabados de alta gama, se presenta semi integrada en el espacio principal. Se entrega completamente equipada con electrodomésticos de primeras marcas. La zona de descanso está compuesta por dos dormitorios, ambos con baño en suite. El dormitorio principal dispone además de acceso a un patio abierto de uso privado, con posibilidad de cerramiento, donde se encuentra ubicada la zona de lavado. Cabe destacar la excelente distribución de los espacios y el alto nivel de calidad empleado en la rehabilitación, tales como sistema de aerotermia, suelo de roble natural, mármoles en cocina y baños, garantizan confort, funcionalidad y un elegante diseño.",True,good,False,True,19549.0,True,False,False,False,[],False,False,2600000.0,€,flat,"Recoletos, Madrid",Piso en calle de Villalar,,,,,,,
108423994,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/48/90/06/1366088779.webp,RCRIS,45,1,720000.0,flat,sale,146.0,True,3,1,"paseo de la Reina Cristina, 5",Madrid,Madrid,Retiro,es,Jerónimos,40.4068292,-3.683712,True,https://www.idealista.com/inmueble/108423994/,"En una zona en auge y con creciente demanda, en la parte baja de Los Jerónimos en Retiro, encontrarás esta vivienda en el Paseo de Reina Cristina. Este espacioso inmueble de 146 m² construidos totales catastrales, con una superficie de vivienda de 130 m² (en escrituras son 148,99 m²), te hará imaginar la casa de tus sueños o tu espacio profesional ideal. Estarás a dos pasos de la estación de Atocha y del parque El Retiro accediendo por la Puerta de Mariano de Cavia. Reformado en 2011 y con la actualización de las instalaciones eléctricas y de fontanería y calefacción, esta vivienda te ofrece todas las garantías para realizar eventualmente los cambios de distribución de espacios que quieras plantearte para dejarla a tu gusto. Paredes lisas, excelente iluminación, suelo de parquet y cerramientos nuevos tipo climalit hacen que esta propiedad se encuentre en muy buen estado de conservación. Se trata de una vivienda a altura de entreplanta (aunque en Catastro consta como primera planta) que en 2011 se adaptó para consulta médica, lo que lo convierte en un espacio versátil. Actualmente, cuenta con 3 despachos/habitaciones exteriores, sala de reuniones, cocina office, baño completo, cuarto de almacén, archivo y recepción. Sus techos de 3,30 metros de altura brindan una increíble sensación de amplitud. La vivienda cuenta con calefacción central con consumo individualizado, aire acondicionado/bomba de calor en todas las habitaciones y cocina, agua caliente por termo eléctrico y suministros de luz y agua dados de alta. Adicionalmente, en la planta -1 encontraremos el trastero asignado a esta propiedad, de unos 4 m2 aproximadamente que te dará un respiro adicional para el almacenamiento. El edificio es accesible a personas con movilidad reducida ya que cuenta con un ascensor para los primeros peldaños que dan acceso al amplio hall, con mostrador en recepción y servicio de conserjería. La zona baja de Los Jerónimos suscita últimamente un gran interés lo cual se viene manifestando en la creciente demanda de los últimos años. El Paseo de Reina Cristina te ofrece una variedad de comercios, servicios, centros educativos y excelentes conexiones de transporte. Y para que no te pierdas ningún detalle, tienes a tu disposición fotografías profesionales, vídeo, tour 360º y planos tanto con la distribución actual como con los muros de carga para que puedas imaginar y planificar tu próxima reforma. Descubre todo lo que esta propiedad tiene para ofrecerte. ¡Llámanos y agenda tu visita!",True,good,False,True,4932.0,True,False,True,False,[],False,False,720000.0,€,flat,"Jerónimos, Madrid","Piso en paseo de la Reina Cristina, 5",790000.0,70000.0,9.0,,,,
107863394,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/a5/f1/18/1244656151.webp,2D  PLANTA SEXTA2,9,6,428000.0,flat,sale,76.0,True,2,2,"paseo de la Convivencia, 3030",Madrid,Torrejón de Ardoz,Sureste,es,,40.4547404,-3.4499627,True,https://www.idealista.com/obra-nueva/107863394/,"Le presentamos Jardines de Torrejón, un proyecto diseñado con los mayores estándares de calidad y bienestar y cuya arquitectura está llamada a ser protagonista en Torrejón. Una promoción única que aguarda 122 magníficas viviendas exteriores, de dos y tres dormitorios con amplias superficies de terraza, que buscan el beneficio máximo de la luz natural y que están pensadas para ser vividas y disfrutadas con la mayor comodidad. El proyecto explora y persigue la máxima conexión de los edificios con la belleza exterior del cuidado paisajismo. La ubicación se convierte en el destino predilecto de muchas familias que buscan vivir en una zona tranquila con unas conexiones únicas y rodeada de grandes parques. Su gran urbanización de 980 m2 es una perfecta prolongación del paisaje natural y parques en el que se ubica la promoción. Jardines de Torrejón con una selección de las mejores estancias comunitarias y servicios, creados como espacios únicos que ofrecen experiencias centradas en el bienestar y disfrute de la comunidad: Chill out, una zona de chill out equipada con dos conjuntos de sofás con vistas a las zonas verdes, hará que cada minuto compartido con amigos o familia, sea un recuerdo imborrable. Piscina y solarium, el lujo de empezar el día nadando en la piscina de 85m2 con iluminación nocturna. La piscina se sitúa delimitada con barandilla para la seguridad de los más pequeños. Sala Fitness, el gimnasio de 50m2 ubicado en planta baja estará equipado con dos bicicletas, dos elípticas, una cinta de correr, banco y mancuernas. Además, contará con una salida al exterior pudiendo trasladar la actividad al aire libre. Se trata de un edificio de viviendas diseñado buscando una mayor eficiencia para un bajo consumo energético que favorece el uso racional de la energía, cuidando al mismo tiempo el medio ambiente, la calidad y el confort climático dentro de la vivienda. La vivienda contará con la máxima calificación energética: calificación A tanto en consumo como en emisiones. Deseamos que disfrute del máximo bienestar, por lo que le ofrecemos viviendas de primera calidad: una construcción de diseño contemporáneo para la que Amenabar ha contado con la experiencia y el saber hacer del prestigioso estudio F&G Arquitectos, encargado del proyecto arquitectónico. Se trata de un edificio de viviendas diseñado buscando una mayor eficiencia para un bajo consumo energético que favorece el uso racional de la energía, cuidando al mismo tiempo el medio ambiente, la calidad y el confort climático dentro de la vivienda. La vivienda contará con la máxima calificación energética: calificación A tanto en consumo como en emisiones. Deseamos que disfrute del máximo bienestar, por lo que le ofrecemos viviendas de primera calidad: una construcción de diseño contemporáneo para la que Amenabar ha contado con la experiencia y el saber hacer del prestigioso estudio F&G Arquitectos, encargado del proyecto arquitectónico. Ofrecemos además un servicio de personalización mediante el cual el equipo de arquitectos de Amenabar le asesorará en todo lo que necesite para adaptar la vivienda a sus preferencias, dentro de las opciones ofrecidas en el programa propio. La entrega de las viviendas está prevista para finales del 2026. Adicionalmente, contamos con otra promoción en Torrejón de Ardón, Aires de Torrejón, un proyecto diseñado con los mayores estándares de calidad y bienestar y cuya arquitectura está llamada a ser protagonista en Torrejón de Ardoz. Una promoción única que aguarda 14 magníficas viviendas exteriores, de dos dormitorios con terraza, que buscan el beneficio máximo de la luz natural y que están pensadas para ser vividas y disfrutadas con la mayor comodidad.  ¡Visita nuestra web a pie de página!",False,,True,True,5632.0,True,False,False,False,[],False,False,428000.0,€,flat,"Sureste, Torrejón de Ardoz","Piso en paseo de la Convivencia, 3030",,,,False,True,True,
107695057,https://img4.idealista.com/blur/480_360_mq/90/id.pro.es.image.master/5c/53/2a/1320046546.webp,2ºB,7,2,350000.0,flat,sale,54.0,True,1,1,"Emilio Muñoz, 47",Madrid,Madrid,San Blas,es,Simancas,40.4337669,-3.6243142,True,https://www.idealista.com/obra-nueva/107695057/,"Residencial privado compuesto de 48 viviendas de 1, 2 y 3 dormitorios en el histórico barrio de San Blas-Canillejas, uno de los barrios más legendarios de Madrid. A día de hoy se está modernizando y convirtiendo en el Silicon Valley de Madrid debido al proyecto Madbit. San Blas - Madrid es una urbanización privada con piscina, gimnasio, ascensor, garajes, trasteros y viviendas con balcones. Todas las viviendas cuentan con sistema de climatización mediante Aerotermia lo que permite reducir 30% la factura de energía de la vivienda. En San Blas apostamos por la eficiencia energética.",False,,True,True,6481.0,True,False,False,False,[],False,False,350000.0,€,flat,"Simancas, Madrid","Piso en Emilio Muñoz, 47",,,,False,True,True,
108686678,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/f0/55/af/1355088630.webp,7712a057-1c61-45de-ab23-f07d816a7b05,29,1,1560000.0,flat,sale,165.0,False,4,3,calle de Santa Engracia,Madrid,Madrid,Chamberí,es,Nuevos Ministerios-Ríos Rosas,40.4478131,-3.7047071,False,https://www.idealista.com/inmueble/108686678/,"Una vivienda espaciosa y luminosa en el corazón de la ciudad. Esta amplia propiedad ubicada en la prestigiosa calle Santa Engracia, cuenta con una excelente distribución que aprovecha al máximo la luz natural en todas las estancias. La vivienda cuenta con un recibidor acogedor con amplios armarios empotrados, un salón comedor espacioso y luminoso, una cocina amplia y funcional con office, 4 dormitorios amplios y luminosos, uno de ellos en suite con baño privado, y dos baños adicionales más un aseo, todos ellos con ventanas que permiten una excelente ventilación y entrada de luz natural. Además, cuenta con un cuarto de almacenaje dentro de la vivienda y techos altos que proporcionan una sensación de amplitud. Ubicada en un entorno tranquilo y céntrico, esta vivienda es ideal para aquellos que buscan un hogar relajante y acogedor en el corazón de la ciudad. La ubicación es inmejorable, en el corazón de la ciudad, con acceso fácil a comercios, restaurantes, colegios y parques, y excelente comunicación por metro y autobús, para una movilidad sin problemas. Esto la hace ideal para vivir o invertir, con un gran potencial de rentabilidad. Con una ubicación privilegiada y una gran demanda de viviendas, esta propiedad es una oportunidad única para invertir en el mercado inmobiliario, y su potencial de reforma y ampliación la hace ideal para aquellos que buscan un proyecto personalizado. No te pierdas esta oportunidad de vivir o invertir en una de las zonas más demandadas de la ciudad. ¡Contacta con nosotros para más información!",False,good,False,True,9455.0,False,False,False,False,[],False,False,1560000.0,€,flat,"Nuevos Ministerios-Ríos Rosas, Madrid",Piso en calle de Santa Engracia,,,,,,,
106427435,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/be/98/ea/1282702601.webp,3fd48a9f-bdf3-491a-af3e-78c2a5c054f5,60,,275000.0,chalet,sale,100.0,,2,1,calle de la Fuente del Cura,Madrid,Miraflores de la Sierra,,es,,40.8098559,-3.7770225,False,https://www.idealista.com/inmueble/106427435/,"Casa en Venta en Miraflores de la Sierra: Con Vistas Espectaculares y Máximo Confort ¿Te imaginas despertar cada día rodeado de naturaleza y vistas incomparables? Esta casa en Miraflores de la Sierra te ofrece una experiencia única en un entorno tranquilo y un diseño impecable, pensado para aprovechar al máximo su ubicación privilegiada. Detalles Destacados: - Ubicación Privilegiada con Vistas Espectaculares: Situada en una de las mejores zonas de Miraflores, esta vivienda presume de vistas abiertas hacia las montañas y el valle, ofreciendo un panorama sin igual. Disfruta de la belleza natural desde cada rincón de la casa, con luz solar durante todo el día. - Distribución Amplia y Funcional: Dos dormitorios, uno de ellos matrimonial, y un baño completo con bañera, diseñados para tu comodidad. - Cocina Totalmente Equipada: Todo lo que necesitas está aquí: lavavajillas, nevera y lavadora para facilitarte la vida desde el primer día. - Terrazas con Doble Orientación: Dos terrazas, una al sur y otra al oeste, perfectas para disfrutar tanto del amanecer como del atardecer, con vistas únicas que te harán sentir en pleno contacto con la naturaleza. - Almacén en el Sótano: Gran espacio de almacenamiento accesible desde una de las terrazas, ideal para aprovechar al máximo cada metro. Esta casa está lista para recibirte y disfrutar de un estilo de vida en pleno contacto con la naturaleza, con vistas inigualables y todas las comodidades. Perfecta para quienes buscan calidad de vida en Miraflores de la Sierra. Contáctanos para recibir más información o agendar una visita. ¡No pierdas la oportunidad de conocer tu nuevo hogar! Miraflores de la Sierra, situado en plena Sierra de Guadarrama, es un destino residencial que combina naturaleza, historia y un ambiente relajado, ideal para quienes buscan calidad de vida en un entorno sereno y pintoresco. Este municipio madrileño destaca por sus paisajes de montaña, sus frondosos bosques y su arquitectura tradicional, que le otorgan un encanto especial y un atractivo único para residentes y visitantes. La localidad es perfecta para los amantes de la naturaleza y las actividades al aire libre, ya que cuenta con numerosas rutas de senderismo, áreas de montaña y miradores naturales que ofrecen vistas espectaculares. Además, Miraflores de la Sierra dispone de una buena infraestructura de servicios, incluyendo colegios, tiendas, restaurantes y centros de salud, que aseguran una vida cómoda y bien equipada para sus habitantes.",False,good,False,,2750.0,False,True,False,False,[],False,False,275000.0,€,chalet,Miraflores de la Sierra,Chalet pareado en calle de la Fuente del Cura,,,,,,,semidetachedHouse
107396902,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/c4/65/d5/1311677280.webp,BHHS-MAD-0599,12,4,759000.0,flat,sale,84.0,True,2,2,Barrio Malasaña-Universidad,Madrid,Madrid,Centro,es,Malasaña-Universidad,40.4216118,-3.7017961,False,https://www.idealista.com/inmueble/107396902/,"Ponemos a su disposición la venta de este exclusivo piso de 84 metros cuadrados catastrales, totalmente reformado a estrenar. Situado en una de las calles más representativas y emblemáticas del barrio Universidad, conocido como el Soho madrileño. Ubicado en la cuarta y última planta del edificio. La finca es representativa con ascensor. Esta vivienda tiene una fantástica ubicación en una de las zonas más exclusivas de Madrid. El barrio de Universidad nos ofrece magníficos edificios, iglesias y palacetes del siglo XVIII, además de estar junto a importantes embajadas, cedes políticas, universidades y colegios. La zona se encuentra perfectamente comunicada por transporte público con toda la ciudad. Todo ello hace de este inmueble una excelente oportunidad vivir o invertir. La vivienda tiene una distribución muy práctica, en donde encontramos una entrada con un bonito pasillo, que dirige a la zona de estar, compuesta por salón comedor con dos balcones a la calle. Con cocina americana, se entrega amueblada y equipada con electrodomésticos de gama alta y muebles hechos a medida. La zona de descanso la componen dos dormitorios, siendo uno en suite. Toda la vivienda cuenta con aire acondicionado por conducto y dispone de calefacción central. Esta propiedad se encuentra situada en una finca clásica, encontrándose en perfecto estado de conservación y con ITE favorable. Disponemos de varios inmuebles similares en esta zona que solo pueden estar anunciados en nuestra web por expreso deseo de sus propietarios. Si desean verlos pueden hacerlo pinchando en el enlace adicional ubicado al final del anuncio.",False,good,False,True,9036.0,True,False,False,False,[],False,False,759000.0,€,flat,"Malasaña-Universidad, Madrid",Piso,,,,,,,
100440250,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/7c/99/bf/1086403141.webp,PIS2366,19,3,2290000.0,flat,sale,255.0,False,3,4,Barrio Recoletos,Madrid,Madrid,Barrio de Salamanca,es,Recoletos,40.4274687,-3.6838488,False,https://www.idealista.com/inmueble/100440250/,"Fortuny Real Estate presenta en venta la zona mas cotizada de Madrid, estupenda propiedad de 255m2, en el lujoso barrio de Recoletos en el distrito de Salamanca. Se trata de una vivienda ubicada en la 3era planta de una finca de fachada clásica. Un piso tranquilo, luminoso y bien aislado, recién reformado con las mejores detalles, cualidades y marcas. Cuenta con vistas a patio de manzana amplio, muy luminoso a pesar de ser interior, espacios amplios, reformado en 2021 con acabados de calidad. Se encuentra conformado por una salón comedor de gran tamaño, con grandes ventanales y altos techos. Cocina con península y con mucha capacidad de almacenaje y los mejores electrodomésticos del mercado. Zona de lavandería independiente. La zona de descanso dispone de 3 dormitorios en suite, 2 de ellos dobles y con vestidor. Todos los dormitorios presentan armarios empotrados, totalmente vestidos, de gran capacidad de almacenaje y diseño ligero. Dispone de dos plazas de garaje incluidas en el precio así como con un trastero de casi 25M2 La finca esta dividida en dos bloques con siete plantas cada una, con una media de tres vecinos por planta, cuenta con cuatro ascensores, servicio de portería y conserjería 24 horas, todos los días con recogida de basura incluida, parking privado y sala de entrenamiento. La gran mayoría de los inmuebles que tenemos en esta zona solo se encuentran en nuestra web. Visite nuestra página y descubra exclusivas viviendas. Fortuny Madrid Real Estate es una empresa joven y emprendedora, formada por un grupo de consultores inmobiliarios especializados en la zona Prime de Madrid, creada con el objetivo de satisfacer las necesidades de los clientes más exigentes.",False,good,False,True,8980.0,True,False,False,False,[],False,False,2290000.0,€,flat,"Recoletos, Madrid",Piso,,,,,True,True,
109167359,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/85/20/1e/1366274371.webp,,36,1,510000.0,flat,sale,130.0,False,4,2,calle del Áncora,Madrid,Madrid,Arganzuela,es,Palos de la Frontera,40.4042612,-3.6919637,False,https://www.idealista.com/inmueble/109167359/,"Agencia inmobiliaria de MADRID | Oficina Tecnocasa ESTUDIO PASEO DELICIAS S. L. VENDE INMUEBLE A ESCASOS METROS DE LA ESTACIÓN DE ATOCHA. Descubre tu nuevo hogar en el corazón de Madrid! Este espectacular piso se encuentra a escasos metros de la emblemática estación de Atocha, ofreciéndote una ubicación inmejorable. Situado en una finca de 8 plantas con ascensor, cuenta con 130 m² construidos, te sorprenderá por el potencial que posee. Su amplia zona social brinda ese confort para compartir en familia y amigos momentos agradables, con zona de comedor muy versátil e inundada de luz en todo momento gracias a sus grandes ventanales. La calefacción es central de gas natural y el aire acondicionado garantizan tu confort durante todo el año. Con orientación norte, sur y oeste, disfrutarás de una temperatura agradable en todas las estaciones. No dejes pasar esta oportunidad única de vivir en un piso con carácter y todas las comodidades en una de las zonas más vibrantes de Madrid. - 4 habitaciones. - 2 baños. - Cocina. - Salón. - Comedor - Orientación Norte, Sur y Este. - Puertas interiores de madera. - Suelo de Parquet, Baldosa. - Calefacción central de gas natural. - Ventanas de aluminio y madera - Aire acondicionado - Portero Físico. La cocina posee grandes ventanales y amplio espacio de almacenamiento. El Barrio de Delicias del distrito de Arganzuela es la zona mejor comunicada de todo España, por lo que con los años se ha venido convirtiendo en un punto de referencia de inversión para familias e inversores, gracias a su entorno y a los distintos transportes que llevan a cualquier parte de Madrid y otras ciudades. Ubicado en una zona muy tranquila, comunicada y demandada en los últimos años, a escasos minutos del Museo Nacional Centro de Arte Reina Sofia, Real Jardín Botánico, Parque de Madrid Rio siendo uno de los pulmones verdes de la ciudad. Este parque fue cerrado al tráfico casi en su totalidad y ahora es uno de los mejores espacios de la Comunidad de Madrid para poder practicar nuestro deporte favorito al aire libre. Además de espacios ajardinados, parques, colegios, zonas verdes, centros de salud, polideportivos y centros comerciales y de ocio en todo el entorno. Zona muy consolidada con todos los servicios. La vivienda se encuentra muy bien conectada con líneas de Metro, trenes, buses, Bancos, Bares, Parques. A escasos minutos andando de la parada de metro Palos de la frontera (Línea 3) y a escasos minutos andando de la estación de trenes de Atocha, además, con parada de autobús con líneas 8, 47, 55, 102, 247, 6, 19, 45, 47, 55, 59, 85, 86, N14, que le dirigen a diferentes zonas de Madrid. Preguntar por condiciones de venta. La información contenida en este anuncio no tiene carácter contractual ni vinculante, ya que podría contener alguna incorreción. En el precio de venta expuesto no se hayan incluidos los gastos de formalización de la compraventa, tales como honorarios de notaria, honorarios de la inscripción registral, honorarios por la tramitación e inscripción registral de escrituras ni el ITP (Impuesto de Transmisiones Patrimoniales, siendo el tipo máximo en la Comunidad de Madrid del 6%). Del mismo modo, en el precio anunciado, no se incluyen los honorarios de agencia al comprador, que ascienden al 3%+IVA (tipo impositivo 21%) sobre el precio fijado en la promesa de compra suscrita por el mismo. Tampoco se encuentra incluidos en el precio anunciado de venta otros tributos y gastos que pudieran existir al suscribir una hipoteca, tales como gastos de tasación, comisión bancaria de apertura del préstamo, AJD (Impuesto de Actos Jurídicos Documentados), gastos de segundas copias. Estaremos encantados de atenderle.",False,renew,False,True,3923.0,True,False,False,False,[],False,False,510000.0,€,flat,"Palos de la Frontera, Madrid",Piso en calle del Áncora,,,,,,,
104520166,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/16/da/d6/1223216864.webp,1e6747e3-db20-431a-a9fc-7f3ef1d2878b,28,st,730000.0,flat,sale,124.0,False,3,3,calle de Moratín,Madrid,Madrid,Centro,es,Huertas-Cortes,40.4136715,-3.6956641,False,https://www.idealista.com/inmueble/104520166/,"Descubre este espacioso apartamento de 124m² en el encantador Cortes, España.  Con 3 dormitorios y 3 baños, esta propiedad es perfecta para una familia o aquellos que buscan espacio adicional.  El edificio cuenta con aire acondicionado, brindando comodidad en los calurosos días de verano.  Ubicado en una de las zonas más demandas y pintorescas de Madrid, encontrarás todo lo que necesitas a pocos pasos de distancia.  Disfruta de la belleza de Cortes y sus alrededores, mientras te relajas en tu nuevo hogar. ¡No te pierdas esta oportunidad única!  Contáctanos hoy mismo para programar una visita.",False,good,False,True,5887.0,False,False,False,False,[],False,False,730000.0,€,flat,"Huertas-Cortes, Madrid",Piso en calle de Moratín,,,,,,,
