propertyCode,thumbnail,externalReference,numPhotos,price,propertyType,operation,size,rooms,bathrooms,address,province,municipality,district,country,latitude,longitude,showAddress,url,description,hasVideo,status,newDevelopment,priceByArea,hasPlan,has3DTour,has360,hasStaging,notes,topNewDevelopment,topPlus,priceInfo.price.amount,priceInfo.price.currencySuffix,parkingSpace.hasParkingSpace,parkingSpace.isParkingSpaceIncludedInPrice,detailedType.typology,detailedType.subTypology,suggestedTexts.subtitle,suggestedTexts.title,neighborhood,newDevelopmentFinished,floor,exterior,hasLift,priceInfo.price.priceDropInfo.formerPrice,priceInfo.price.priceDropInfo.priceDropValue,priceInfo.price.priceDropInfo.priceDropPercentage
109112277,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/3c/ce/94/1364700229.webp,W-046CUZ,42,1150000.0,chalet,sale,188.0,4,3,Parque Boadilla,Madrid,Boadilla del Monte,Parque Boadilla,es,40.4317833,-3.9150337,False,https://www.idealista.com/inmueble/109112277/,"Chalet individual en una planta con piscina en Parque Boadilla Engel&Völkers presenta en exclusiva esta excelente propiedad construida en 2018 en la prestigiosa y segura urbanización de Parque Boadilla. Además de estar construida bajo la premisa de conexión constante con el paisaje y con un alto grado de sostenibilidad, esta pieza destaca por su arquitectura de línea minimalista, sus techos de doble altura y por su cómoda distribución: 188 metros construidos en una sola planta sobre una parcela plana de 1000 metros.  Accedemos desde el jardín a un espectacular porche cubierto y a la zona social de esta vivienda que es el corazón de la casa y que ofrece amplio y luminoso openspace con un salón comedor y cocina integrada además de un aseo de cortesía. Cuatro dormitorios dobles con amplios armarios empotrados componen las zonas privadas a las que accedemos desde la zona social y que comparten dos cuartos de baño completos. Un cuarto de lavandería independiente, completa las zonas comunes. Todas las piezas de la propiedad están abiertas al jardín, lo que la hace especialmente luminosa, cálida y confortable.  En su amplia parcela de casi 1000 metros, podemos disfrutar de un amplio y consolidado jardín que rodea la casa de indudable valor paisajístico y que es otro de los grandes atractivos de la propiedad que cuenta con una gran piscina de cloración salina de última generación. Suelo radiante refrigerante alimentado con aerotermia, carpintería exterior termo acústica y suelo porcelánico continuo en toda la casa. Vivienda de ensueño en un paraje único, para disfrutar de la naturaleza, la privacidad y la tranquilidad sin renunciar a la comodidad de contar con todos los servicios a mano. La vivienda está ubicada en la prestigiosa urbanización Parque Boadilla en Boadilla del Monte, población que se encuentra a tan sólo 15 minutos en coche de Madrid. Consta de un entorno natural envidiable con todos los servicios e infraestructuras para facilitar una vida cómoda. La urbanización cuenta con servicio de seguridad 24 horas y un club social con instalaciones deportivas, piscina, parque infantil y restaurante. Muy cerca de la vivienda se va a abrir un centro comercial. El reconocido colegio bilingüe St Michael´s se encuentra en la misma urbanización. Los colegios Mirabal Internacional, Eurocolegio Casvi, Trinity College, Virgen de Europa y Highlands School Los Fresnos, se encuentran también en las proximidades. La zona está bien comunicada con autobuses, metro ligero y cercanía a la M-50, A-6 y A-5.",True,good,False,6117.0,False,False,False,False,[],False,False,1150000.0,€,True,True,chalet,independantHouse,"Parque Boadilla, Boadilla del Monte",Casa independiente,,,,,,,,
108662401,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/9e/f8/ce/1363240589.webp,N04-STP-00037,53,1250000.0,chalet,sale,620.0,8,2,calle Monte Igueldo,Madrid,Boadilla del Monte,El Olivar de Mirabal,es,40.420503,-3.9047186,False,https://www.idealista.com/inmueble/108662401/,"¿LISTO PARA DESCUBRIR UNA CASA QUE NO SOLO SE VIVE…. SE SIENTE? Este chalet unifamiliar de estilo tradicional, ubicado en la exclusiva urbanización El Olivar de Mirabal, en Boadilla del Monte, es mucho más que una vivienda: es un hogar lleno de alma, donde la arquitectura clásica se une con el confort de los grandes espacios, la serenidad de la naturaleza y el placer de disfrutar cada rincón. Construida sobre una impresionante parcela de 2.000 m², destaca por su cuidada vegetación, rincones llenos de encanto, plantas exuberantes y árboles que regalan sombra y frescura en los días de verano. En el corazón de este jardín se encuentra uno de sus espacios más especiales: un amplio CENADOR cubierto de TREPADORAS, que ofrece una atmósfera única todo el año. Situado junto al HORNO DE LEÑA, es el escenario perfecto para desayunos tranquilos, barbacoas con amigos o cenas inolvidables en familia. También es un lugar ideal para leer, conversar o simplemente desconectar, rodeado de vegetación y calma. La parcela cuenta además con una gran PISCINA CUBIERTA, VIVERO, amplia BODEGA, zonas de almacenamiento y GARAJE con capacidad para cuatro coches. La vivienda se distribuye en dos plantas, con estancias amplias, funcionales y llenas de luz natural. En la planta principal encontrarás cinco dormitorios, uno de ellos con baño en suite, otro baño completo, cocina con salida directa al porche, y un salón a dos alturas con zona de comedor elevada y un salón principal con chimenea. En la planta superior se ubican cuatro estancias adicionales, versátiles y luminosas, ideales como despacho, estudio o zona de juegos, junto a varias terrazas cerradas, una de ellas actualmente adaptada como gimnasio. Detalles como la carpintería de madera en puertas y ventanas o los suelos de cerámica aportan carácter, autenticidad y calidez en todos los ambientes. Situada en una de las zonas más valoradas de Boadilla del Monte, esta propiedad se encuentra en una urbanización segura, tranquila y bien comunicada, a pocos minutos de colegios de prestigio, zonas comerciales, espacios verdes y transporte público. ¿Y SI TU PRÓXIMO HOGAR FUERA ESE LUGAR DONDE CADA RINCÓN CUENTA UNA HISTORIA? No dejes pasar la oportunidad de conocer una casa única, donde la vida se vive a otro ritmo, más auténtico, más tuyo...",True,good,False,2016.0,True,False,False,False,[],False,False,1250000.0,€,True,True,chalet,independantHouse,"El Olivar de Mirabal, Boadilla del Monte",Casa independiente en calle Monte Igueldo,,,,,,,,
105236067,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/fa/ea/a2/1345977237.webp,TIPO A,13,1425000.0,chalet,sale,320.0,6,6,Hermanos San Román s/n,Madrid,Pozuelo de Alarcón,Zona norte,es,40.4497489,-3.8072152,True,https://www.idealista.com/obra-nueva/105236067/,"“ALTOS DEL PARQUE” es una promoción de 11 exclusivos chalets adosados, con parcela privada, y urbanización con jardín y piscina. Viviendas con grandes posibilidades. ESPACIOS PERSONALIZABLES para adaptarse a las necesidades de cada familia. En el corazón de Pozuelo, con vistas al Parque Alcalde José Martín Crespo-Díaz, y junto a la Plaza de la Constitución y al Parque Prados de Torrejón, “ALTOS DEL PARQUE” se encuentra en un entorno privilegiado, con gran oferta de servicios, centros educativos, comerciales y de ocio. Una zona consolidada y bien comunicada con los principales ejes de la ciudad. Las viviendas, de hasta 6 dormitorios, cuentan con amplios espacios distribuidos en cuatro plantas. En planta baja está el salón, comedor, cocina, aseo de cortesía, y zonas exteriores de la vivienda con porche delantero y amplia terraza trasera con salida a los jardines de la urbanización. Primera planta de dormitorios con baño ensuite y armarios empotrados. Ático con sala de estar, o dormitorio con baño, y salida a gran terraza. Y en el sótano, zona de bodega con grandes ventanales, ampliamente iluminada a través de patio inglés, con sala de estar personalizable, y acceso directo al aparcamiento comunitario. “ALTOS DEL PARQUE” está concebida como una urbanización de viviendas que combinan el diseño moderno de una construcción con excelentes materiales, con el confort de unos espacios estudiados y concebidos para disfrutar de todas las comodidades que ofrecen. Entrega segundo semestre 2026.",False,,True,4453.0,True,False,False,False,[],False,False,1425000.0,€,True,True,chalet,terracedHouse,"Zona norte, Pozuelo de Alarcón",Chalet adosado en Hermanos San Román s/n,Zona norte,False,,,,,,
106739021,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/20/de/a2/1119866441.webp,GT0412,64,370000.0,penthouse,sale,55.0,1,2,"calle de Toledo, 28",Madrid,Madrid,Centro,es,40.4137767,-3.7075802,True,https://www.idealista.com/inmueble/106739021/,"BE Premium Real Estate ofrece en venta precioso Ático Dúplex a un paso de Plaza Mayor y metro Sol con terraza azotea y vistas 360º del centro de Madrid. El Dúplex está distribuido en: primera  planta con una amplia cocina independiente amueblada y equipada (frigorífico, congelador, lavadora, lavaplatos, horno y vitro de inducción) un aseo con wc y lavabo, y una gran zona de estar con salón y comedor. En la parte superior del apartamento encontramos el dormitorio con armario empotrado, un baño completo y acceso a la terraza equipada con sofá, mesa y sombrilla. Desde la terraza las vistas son espectaculares y privilegiadas además de tener máxima privacidad por ausencia de otras terrazas cercanas. La vivienda cuenta con numerosos elementos decorativos y de iluminación para crear un ambiente único. Aire acondicionado y Calefacción por conductos.  IBI: 152€ SE VENDE CON TODOS LOS MUEBLES Y COMPLETAMENTE EQUIPADO Y DECORADO Ubicación en pleno centro de Madrid. La calle de Toledo, la podemos considerar como una de las calles más castizas de Madrid, que desde el tiempo de los Austrias, ha visto salir y entrar en Madrid infinidad de personajes a través de su famosa Puerta. Entre la Plaza Mayor y la glorieta de Pirámides, se extiende la calle de Toledo. La calle de Toledo es una de esas calles que todo paseante debe conocer, en ella todavía en pleno Siglo XXI, podemos contemplar las típicas tiendas del Madrid antiguo con sus portadas de madera en colores verde y granate. En nuestro paseo, nos detendremos no solo en sus tiendas, observaremos la arquitectura actual y recordaremos los edificios más famosos que sucumbieron a la temida piqueta y como no, nos detendremos en alguna de sus múltiples tabernas para refrescarnos y paladear sus exquisitos productos. "". Red: GT0412.",True,good,False,6727.0,True,False,False,False,[],False,False,370000.0,€,,,flat,penthouse,"Sol, Madrid","Ático en calle de Toledo, 28",Sol,,4,True,False,,,
108851442,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/4e/4c/d6/1360976045.webp,,23,285000.0,flat,sale,124.0,3,1,calle de Consuelo Guzmán,Madrid,Madrid,Carabanchel,es,40.3770456,-3.7531075,False,https://www.idealista.com/inmueble/108851442/,"En esta ocasion, desde aunar asesores, presentamos esta vivienda en planta PRIMERA SIN ASCENSOR.  La vivienda cuenta con 3 dormitorios, 1 baño con plato de ducha, salon independiente con terraza y vistas hacia el parque de las cruces, cocuna con tendedero y ademas la fincacuenta con plaza de garaje en superficie ( asignada a cada vecino la suya con numero ) y piscina comunitaria. La vivienda cuenta con 124m² construidos segun catastro, de los que 85m² son de vivienda y 40m² de elementos comunes. Se encuentra en buen estado general necesitando reforma parcial. Se pagan 170e de comunidad incluyendo la calefaccion central y periodo de piscina.  La comunidad del garaje son 24e al mes. Recuerde que en AUNAR ASESORES no se cobran comisiones a los compradores aparte del precio. APUESTE POR LA TRANSFERENCIA.",False,renew,False,2298.0,True,False,False,False,[],False,False,285000.0,€,True,True,flat,,"Buena Vista, Madrid",Piso en calle de Consuelo Guzmán,Buena Vista,,1,True,False,295000.0,10000.0,3.0
109180190,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/03/d3/7b/1366640286.webp,,31,1190000.0,chalet,sale,360.0,5,3,"calle Altos del Club de Polo, 44",Madrid,Villanueva de la Cañada,Villafranca del Castillo,es,40.4656301,-3.9454555,True,https://www.idealista.com/inmueble/109180190/,"Directamente de la propiedad, sin intermediarios. Uno de los pocos chalets con vistas en Villafranca, con la comodidad de la independencia, pero en una urbanización cerrada, con conserje. Con farmacia y supermercado a 300m. Muy amplia terraza con barbacoa, horno de leña y porche cerrado para disfrutar del jardín y las vistas todo el año. Dos de los baños tienen jacuzzi. Dormitorio principal con baño amplio con vistas y vestidor a medida. Buhardilla muy bien acondicionada con dormitorio, salón y baño. Es muy bonita, la verdad.",True,good,False,3306.0,True,False,False,False,[],False,False,1190000.0,€,,,chalet,semidetachedHouse,"Villafranca del Castillo, Villanueva de la Cañada","Chalet pareado en calle Altos del Club de Polo, 44",,,,,,,,
109171879,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/c9/42/3b/1366391295.webp,1107,32,425000.0,chalet,sale,198.0,4,2,calle Joaquín Fernández Cuervo,Madrid,Torrejón de la Calzada,,es,40.2027654,-3.7963005,False,https://www.idealista.com/inmueble/109171879/,"GESTION INMUEBLES VENDE SIN COMISIÓN PARA EL COMPRADOR Chalet adosado en Torrejón de la Calzada, en urbanización muy próxima al centro de salud de la población, a pocos minutos del centro urbano. Magnifica vivienda de 2 plantas más buhardilla. El chalet cuenta con una agradable zona común ajardinada, con piscina comunitaria para adultos y otra para niños y con pista de padel. La vivienda se distribuye en su planta baja con jardín de entrada, garaje privado, cocina con despensa, aseo, salón y una zona de jardín privada. En planta alta dispone de 4 dormitorios y 2 cuartos de baño completos, el dormitorio principal con baño en suite. Además cuenta con amplia buhardilla terminada y diáfana con zona de trastero. La vivienda dispone de chimenea en salón, aire acondicionado en salón y dormitorio principal, rejas en toda la casa, persianas eléctricas en salón y cocina, alarma, sistema de videograbación, ventanas oscilobatientes, puerta de garaje motorizada y calefacción por caldera de pellet. Excelente estado de conservación. Esta propiedad es una gran oportunidad para quienes buscan un hogar con espacio para todos y listo para entrar a vivir. Contáctanos hoy mismo para más información o para agendar una visita sin compromiso.  ref: 1107.",True,good,False,2146.0,True,False,False,False,[],False,False,425000.0,€,,,chalet,independantHouse,Torrejón de la Calzada,Casa independiente en calle Joaquín Fernández Cuervo,,,,,,,,
108716522,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/a1/c0/c5/1353007649.webp,VT2.23,14,216100.0,flat,sale,83.0,2,2,Parcela A4-C3 s/n,Madrid,Madrid,Villa de Vallecas,es,40.3444375,-3.6116875,True,https://www.idealista.com/obra-nueva/108716522/,"SIRIO Valdecarros – Tu nuevo hogar en el futuro de Madrid EXCLUSIVAMENTE PARA PERSONA CON MOVILIDAD REDUCIDA 95 viviendas VPPL en régimen de cooperativa, con garaje y trastero incluidos, en uno de los desarrollos urbanísticos más ambiciosos e innovadores de Madrid: Valdecarros. Promovido por SIRIO DESARROLLOS DEL ESTE I S. COOP. MAD. , en la parcela A4-C3.  Un barrio en crecimiento con futuro verde  Valdecarros será uno de los pulmones verdes de Madrid, con más de 700 hectáreas dedicadas a zonas verdes —¡el equivalente a casi 500 campos de fútbol y 6 veces el Parque del Retiro! y más de 125 km de carril bici. Contará con todos los servicios necesarios para vivir cómodamente: colegios, guarderías, centros de salud, hospitales, instalaciones deportivas, grandes parques y zonas comerciales como La Gavia.  Conectividad y movilidad sin complicaciones  Ubicado entre las autovías M-31 y M-45, Valdecarros ofrece acceso rápido a la M-50, A-3 y excelentes conexiones mediante transporte público: autobuses de tránsito rápido al centro de Madrid, Atocha y el aeropuerto.  Espacios comunes y sostenibilidad  El residencial está diseñado para ofrecer calidad de vida, con zonas comunes que incluyen:   Jardines  Área infantil  Sala gourmet comunitaria  Piscina      Además, todas las viviendas están proyectadas con altas prestaciones energéticas, con calificación mínima B y posibilidad de alcanzar calificación A.",False,newdevelopment,True,2604.0,True,False,False,False,[],False,False,216100.0,€,True,True,flat,,"Valdecarros, Madrid",Piso en Parcela A4-c3 s/n,Valdecarros,False,3,True,True,,,
108435060,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/ae/ed/27/1344776846.webp,,27,620000.0,flat,sale,120.0,3,2,"paseo de Santa María de la Cabeza, 70",Madrid,Madrid,Arganzuela,es,40.3996808,-3.700718,True,https://www.idealista.com/inmueble/108435060/,"Espectacular vivienda de 120m2 con amplia terraza en Paseo de Santa María de la Cabeza a tan solo unos metros de la Glorieta. Cuenta con mucha luz durante todo el día y unas magníficas vistas. La distribución actual se compone de salón doble, terraza acristalada de 13m2, amplia cocina, 3 habitaciones, amplio recibidor, baño y aseo. La vivienda está para reformar con múltiples opciones de distribución. El piso contaba en origen con 4 habitaciones. Cuota de comunidad 160€ + recibo del agua. Portero físico. Ascensor y montacargas. Calefacción por comunidad. Dispone de numerosos servicios, supermercados y parques en la zona. Contáctanos para más información y visitas.",False,renew,False,5167.0,True,False,False,False,[],False,False,620000.0,€,,,flat,,"Acacias, Madrid","Piso en paseo de Santa María de la Cabeza, 70",Acacias,,6,True,True,630000.0,10000.0,2.0
107625826,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/8f/87/0f/1267155861.webp,2D PLANTA PRIMERA,11,335000.0,flat,sale,82.0,2,2,paseo de la Convivencia s/n,Madrid,Torrejón de Ardoz,Sureste,es,40.4512184,-3.4522824,True,https://www.idealista.com/obra-nueva/107625826/,"Le presentamos Aires de Torrejón, un proyecto diseñado con los mayores estándares de calidad y bienestar y cuya arquitectura está llamada a ser protagonista en Torrejón de Ardoz. Una promoción única que aguarda 14 magníficas viviendas exteriores, de dos dormitorios con terraza, que buscan el beneficio máximo de la luz natural y que están pensadas para ser vividas y disfrutadas con la mayor comodidad.  El proyecto explora y persigue la máxima conexión del edificio con la belleza exterior del cuidado paisajismo. La ubicación se convierte en el destino predilecto de muchas familias que buscan vivir en una zona tranquila con unas conexiones únicas y rodeada de grandes parques. Aires de Torrejón cuenta con 14 viviendas de 2 dormitorios, que crean una sensación de armonía con el exterior contando con amplias terrazas. La elegante volumetría con la que ha sido diseñado busca al máximo el aprovechamiento de la iluminación natural, mediante amplios ventanales creando la máxima conexión con el exterior. El Aires de Torrejón con una selección de las mejores estancias comunitarias y servicios, creados como espacios únicos que ofrecen experiencias centradas en el bienestar y disfrute de la comunidad: un cenador y chill out, una zona de descanso equipada con sofás con vistas a las zonas verdes, hará que cada minuto compartido con amigos o familia, sea un recuerdo imborrable. Se trata de un edificio de viviendas diseñado buscando una mayor eficiencia para un bajo consumo energético que favorece el uso racional de la energía, cuidando al mismo tiempo el medio ambiente, la calidad y el confort climático dentro de la vivienda. La vivienda contará con la máxima calificación energética: calificación A tanto en consumo como en emisiones. Deseamos que disfrute del máximo bienestar, por lo que le ofrecemos viviendas de primera calidad: una construcción de diseño contemporáneo para la que Amenabar ha contado con la experiencia y el saber hacer del prestigioso estudio F&G Arquitectos, encargado del proyecto arquitectónico.  Ofrecemos además un servicio de personalización mediante el cual el equipo de arquitectos de Amenabar le asesorará en todo lo que necesite para adaptar la vivienda a sus preferencias, dentro de las opciones ofrecidas en el programa propio. La entrega de las viviendas está prevista para finales del 2026. Adicionalmente contamos con otra promoción en Torrejón de Ardón, Jardines de Torrejón un proyecto diseñado con los mayores estándares de calidad y bienestar y cuya arquitectura está llamada a ser protagonista en Torrejón. Una promoción única que aguarda 122 magníficas viviendas exteriores, de dos y tres dormitorios con terraza, que buscan el beneficio máximo de la luz natural y que están pensadas para ser vividas y disfrutadas con la mayor comodidad.  Le invitamos a visitar la página web de la promoción donde podrá encontrar tanto los planos de las viviendas disponibles (2 y 3 dormitorios) como imágenes de la promoción. Así mismo, si desea ampliar la información puede reservar una cita, tanto presencial como por videollamada, en el apartado ""Reserve su cita"" en la web o el siguiente enlace o contactándonos en el teléfono.",False,,True,4085.0,True,False,False,False,[],False,False,335000.0,€,True,True,flat,,"Sureste, Torrejón de Ardoz",Piso en paseo de la Convivencia s/n,,False,1,True,True,,,
