propertyCode,thumbnail,externalReference,numPhotos,floor,price,propertyType,operation,size,exterior,rooms,bathrooms,address,province,municipality,district,country,neighborhood,latitude,longitude,showAddress,url,description,hasVideo,status,newDevelopment,hasLift,priceByArea,hasPlan,has3DTour,has360,hasStaging,notes,topNewDevelopment,topPlus,priceInfo.price.amount,priceInfo.price.currencySuffix,detailedType.typology,suggestedTexts.subtitle,suggestedTexts.title,newDevelopmentFinished,parkingSpace.hasParkingSpace,parkingSpace.isParkingSpaceIncludedInPrice,priceInfo.price.priceDropInfo.formerPrice,priceInfo.price.priceDropInfo.priceDropValue,priceInfo.price.priceDropInfo.priceDropPercentage,parkingSpace.parkingSpacePrice,detailedType.subTypology
109009061,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/8b/cf/b1/1361573545.webp,T.OLIVOS,23,6,275000.0,flat,sale,73.0,True,3,1,Barrio Tres Olivos - Valverde,Madrid,Madrid,Fuencarral,es,Tres Olivos - Valverde,40.4972578,-3.6944698,False,https://www.idealista.com/inmueble/109009061/,"ESTUDIO HOME MADRID OFRECE piso de 73 m² construidos, en sexta planta exterior, con triple orientación Suroeste, Sureste y Noreste. Muy luminoso y con muy buenas vistas, a reformar. ACTUALMENTE LA VIVIENDA SE ENCUENTRA CON LOS TRAMITES DE ADJUDIACION DE HERENCIA, POSTERIORMENTE SE PROCEDERA A LA DESCALIFICACION DE LA MISMA. EL PERIODO EN EL QUE SE PREVE LA FINALIZACION DE DICHOS TRAMITES SERA EN EL PRIMER SEMESTRE DE 2026. Según la distribución actual, la vivienda consta de recibidor, amplio salón-comedor independiente, cocina con doble entrada, tres dormitorios, cuarto de baño con plato de ducha y pasillo distribuidor.  En cuanto a sus calidades, la vivienda dispone puerta de entrada blindada, suelos en gres carpintería interior en madera, dobles ventanas correderas de aluminio, calefacción y agua caliente individual de gas natural.  Está ubicada en la zona norte de la ciudad de Madrid, dentro del distrito municipal de Fuencarral-El Pardo, en el pueblo de Fuencarral, siendo ésta una zona con todos los servicios, como supermercados, farmacias, guarderías, etc. , junto a colegios como el Santa Joaquina Vedruna, CEIP José Bergamín, y zonas deportivas con distintas instalaciones municipales en la inmediación (Tenis, Baloncesto, Fútbol … ) Resaltar la cercanía a los Hospitales de referencia como Ramón y Cajal o La Paz. Bien comunicada por transporte público, con varias líneas de la EMT (líneas 66, 137, 178) junto al edificio; a 5 minutos andando de la estación de Metro Fuencarral (línea 10); muy cercano a la estación de Cercanías de Renfe de Ramón y Cajal. Hay que destacar su fácil acceso en coche a las carreteras: M30, M40, M607, A1 y M11. ESTUDIO HOME MADRID, agencia inmobiliaria con 20 años de experiencia en el sector, les ofrece asesoramiento jurídico, fiscal y financiero, realizando un seguimiento personalizado durante todo el proceso de compraventa.  Agencia inmobiliaria inscrita en el RAIN (Registro de Agentes Inmobiliarios de la Comunidad de Madrid).",False,renew,False,True,3767.0,True,False,False,False,[],False,False,275000.0,€,flat,"Tres Olivos - Valverde, Madrid",Piso,,,,,,,,
107009440,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/30/c5/e4/1300275913.webp,4751,16,6,1309000.0,flat,sale,78.0,True,2,2,"calle de Hermosilla, 104",Madrid,Madrid,Barrio de Salamanca,es,Goya,40.4255684,-3.6718783,True,https://www.idealista.com/inmueble/107009440/,"Domus Aurea Capital presenta este piso reformado y moderno en el barrio de Goya, muy cerca de la comercial calle Alcalá. Vivienda de 78 m² situada en una sexta planta exterior de un edificio clásico de 1928 y con orientación norte, se encuentra totalmente reformada y se ofrece amueblada y equipada. Se distribuye en salón-comedor con acceso directo a una amplia terraza de 16m², cocina abierta, un dormitorio doble exterior con balcón a la calle en suite con baño completo, un segundo dormitorio doble y un baño completo en la entrada La calefacción central comunitaria y aire acondicionado. Domus Aurea Capital es una agencia inmobiliaria especializada en la intermediación, construcción y gestión de activos inmobiliarios en las zonas prime de Madrid y alrededores. La mayoría de las propiedades que tenemos disponibles no están publicadas en los portales inmobiliarios, para conocerlas todas consulta nuestra web.",False,good,False,True,16782.0,True,False,False,False,[],False,False,1309000.0,€,flat,"Goya, Madrid","Piso en calle de Hermosilla, 104",,,,,,,,
108651931,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/5f/33/9e/1351113125.webp,W-030N24,18,,370000.0,flat,sale,37.0,True,1,1,Barrio Malasaña-Universidad,Madrid,Madrid,Centro,es,Malasaña-Universidad,40.4231054,-3.7038798,False,https://www.idealista.com/inmueble/108651931/,"Encantador apartamento con balcón a la calle Luminoso piso exterior con balcón en Universidad En el corazón de Malasaña, uno de los barrios con más personalidad de Madrid, te presentamos esta joya de 38 m², perfecta para quienes buscan vivir o invertir en una de las zonas más vibrantes de la ciudad. La vivienda, situada en una finca clásica con ascensor, destaca por su luminosidad natural. Es exterior y cuenta con un encantador balcón a la calle, ideal para disfrutar del ambiente único del barrio. Sus techos altos realzan la amplitud y el carácter del espacio, aportando una sensación de elegancia y confort difícil de encontrar en viviendas de estas dimensiones. Una oportunidad excepcional tanto para residencia habitual como para inversión en una de las zonas con mayor demanda y proyección de Madrid. Durante los años 80, el barrio de Malasaña saltó a la fama como el centro de la mundialmente conocida “Movida Madrileña"", un movimiento cultural y artístico que marca el final de la dictadura y el comienzo de una nueva era de libertad y diversión. El barrio está rodeado por las calles de Princesa, Gran Vía, Fuencarral, Carranza y Alberto Aguilera. Una característica del barrio de esta área es la cantidad de fachadas y balcones de color anaranjado. Los edificios de Malasaña son una rica muestra del patrimonio arquitectónico y cultural de la ciudad. El vecindario está lleno de pintorescas calles y callejones, mercadillos, una gran cantidad de historia, y un buen número de pequeñas tiendas exclusivas y negocios tradicionales que hacen de este barrio uno de los puntos de encuentro favoritos tanto para los visitantes como para los amantes de la historia de Madrid.",False,good,False,True,10000.0,False,False,False,False,[],False,False,370000.0,€,flat,"Malasaña-Universidad, Madrid",Piso,,,,,,,,
107009467,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/b3/6d/1c/1300275787.webp,4756,17,3,1849000.0,flat,sale,158.0,True,3,3,"calle de Ayala, 158",Madrid,Madrid,Barrio de Salamanca,es,Goya,40.4267835,-3.6691199,True,https://www.idealista.com/inmueble/107009467/,"Domus Aurea Capital presenta esta exclusiva vivienda en Ayala, en el codiciado barrio de Salamanca - Goya. La vivienda 157 m2 se sitúa en un segundo piso con vistas exteriores de una finca clásica de 1930, combinando elegancia y comodidad, actualmente se encuentra en obras y se entregará íntegramente reformado y amueblado. Dispone de un amplio salón-comedor con varios balcones y una pequeña terraza al exterior, cocina equipada con una península separado de la zona social, cuarto de lavado, dormitorio principal con amplia zona de vestidor y baño en suite, y otros dos dormitorios dobles con baño en suite cada uno. Está equipada con calefacción comunitaria, aire acondicionado y ascensor.   Domus Aurea Capital es una agencia inmobiliaria especializada en la intermediación, construcción y gestión de activos inmobiliarios en las zonas prime de Madrid y alrededores.",False,good,False,True,11703.0,True,False,False,False,[],False,False,1849000.0,€,flat,"Goya, Madrid","Piso en calle de Ayala, 158",,,,,,,,
107919456,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/39/aa/2b/1328308857.webp,VT7,13,2,407150.0,flat,sale,103.0,True,3,2,calle PARCELA RC.7.11.5. s/n,Madrid,Madrid,Vicálvaro,es,Los Berrocales,40.3725592,-3.5776164,True,https://www.idealista.com/obra-nueva/107919456/,"Mar de Java es un residencial moderno y de diseño ubicado en el nuevo desarrollo Los Berrocales en el sureste de Madrid. Se desarrolla en régimen de cooperativa. Compuesto por viviendas espaciosas de 2 y 3 dormitorios. Luminosas y sostenibles cuentan con aerotermia para maximizar al máximo la eficiencia y el ahorro energético. En esta misma línea el edificio dispondrá de un sistema de ventilación mecánica individual por vivienda, con aireadores, que favorecen la renovación del aire, sin necesidad de abrir las ventanas. Las cocinas se entregarán amuebladas. Hemos diseñado una vivienda que esté a la altura de lo que estás buscando, acogedora, bien distribuida y con una urbanización privada con un único acceso controlado por una conserjería. Cuenta con piscina, zona de solárium ajardinada con muros verdes, y sala social-gourmet, con dotación de office y espacio de coworking. También cuenta con zona estancial con pérgola y área de aparcamiento de bicicletas. Todas las viviendas cuenta con una plaza de garaje y trastero. Las comunicaciones son inmejorables, rápido acceso desde la M-45 y la A-3. Tendrá en el futuro una nueva parada de Metro (línea 9). Muy cercano al centro comercial La Gavia donde contarás con una gran oferta de ocio y a 15 minutos de Madrid. No dudes en llamarnos para conocer el que estamos seguros será tu futuro hogar en Los Berrocales. Entrega prevista para el último trimestre de 2027.",False,newdevelopment,True,True,3953.0,True,False,False,False,[],False,False,407150.0,€,flat,"Los Berrocales, Madrid",Piso en calle Parcela Rc.7.11.5. s/n,False,True,True,,,,,
108595370,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/f7/f5/d8/1349467830.webp,1-30 Bc-K,10,1,369500.0,flat,sale,95.0,True,3,2,calle Mallorca s/n,Madrid,San Sebastián de los Reyes,Praderón,es,,40.5556929,-3.6264629,True,https://www.idealista.com/obra-nueva/108595370/,"¡TU NUEVO HOGAR EN SAN SEBASTIÁN DE LOS REYES!  Bienvenido a Quality Parque La Marina, una promoción exclusiva de 60 inmuebles en San Sebastián de los Reyes, ubicada frente al emblemático Parque de La Marina, en la confluencia de las calles Cantabria y Mallorca. Aquí encontrarás desde estudios funcionales hasta inmuebles de 3 estancias, con distintas distribuciones —incluidos dúplex, bajos y áticos con terraza — con superficies construidas desde 42 m² hasta más de 115 m², diseñados para ofrecerte amplitud, luz natural y una estética moderna que se adapta a tu estilo de vida. Todos los inmuebles incluyen plaza de garaje en el precio.  UN EDIFICIO EXCLUSIVO Y CON TODOS LOS DETALLES La promoción cuenta con una elegante piscina comunitaria en la azotea con solárium, perfecta para disfrutar del buen tiempo sin salir de casa. EFICIENCIA, CONFORT Y SOSTENIBILIDAD Quality Parque La Marina cuenta con calificación energética A y un sistema de climatización por aerotermia mediante suelo radiante y refrescante, una tecnología limpia y eficiente que permite ahorrar energía y reducir el impacto ambiental, asegurando el máximo confort tanto en invierno como en verano. DISEÑO CONTEMPORÁNEO Y MÁXIMA LUMINOSIDAD Espacios abiertos, cocinas integradas, grandes ventanales y acabados de calidad definen esta promoción pensada para quienes buscan una vivienda moderna, funcional y luminosa. CONEXIÓN PERFECTA Y SERVICIOS A UN PASO Ubicada en una de las zonas con mayor proyección del norte de Madrid, está rodeada de zonas verdes, colegios, centros deportivos y comerciales, y perfectamente conectada con el centro de Madrid a través de Renfe, metro, autobuses y acceso directo por la A1. VENTA SOBRE PLANO - ¡YA EN 2ª FASE DE COMERCIALIZACIÓN! Comercializamos actualmente en plano. El inicio de obra está previsto para primer trimestre de 2026 y la entrega de llaves para mediados de 2027. Aprovecha esta etapa para reservar la unidad que mejor se adapte a ti, con las mejores condiciones. PVP FORMAS DE PAGO FLEXIBLES • Viviendas (IVA 10%): reserva desde 6.500 € + IVA, pagos fraccionados durante la obra y resto a la entrega del inmueble. • Lofts (IVA 21%): reserva desde 5.000 € + IVA, pagos fraccionados durante la obra y resto a la entrega del inmueble. ¡DESCUBRE QUALITY PARQUE LA MARINA! Solicita más información, conócenos con una cita presencial o video llamada personalizada. Vive o invierte en una promoción diseñada para el bienestar, la eficiencia y la calidad de vida.",False,newdevelopment,True,True,3889.0,True,False,False,False,[],False,False,369500.0,€,flat,"Praderón, San Sebastián de los Reyes",Piso en calle Mallorca s/n,False,True,True,,,,,
107887301,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/70/40/b0/1327325712.webp,3753,13,5,1195000.0,flat,sale,117.0,True,2,3,Barrio Trafalgar,Madrid,Madrid,Chamberí,es,Trafalgar,40.4300802,-3.6990691,False,https://www.idealista.com/inmueble/107887301/,"Ubicada en una elegante finca clásica de 1940 con ascensor y portero físico, esta luminosa propiedad de 117 m² ofrece una combinación perfecta entre el encanto de lo tradicional y el confort contemporáneo. La vivienda cuenta con dos amplios dormitorios en suite, y un aseo de cortesía, lo que garantiza comodidad y privacidad para sus residentes y visitas. Su distribución ha sido cuidadosamente diseñada para aprovechar al máximo la luz natural, con estancias exteriores y una agradable terraza que aporta una sensación de amplitud y luminosidad en cada rincón. Entre sus características destacan la calefacción central, aire acondicionado, y acabados de alta calidad que realzan el carácter distinguido de la vivienda. Una oportunidad única de vivir en una de las zonas más codiciadas del barrio de Trafalgar, en un entorno residencial tranquilo, con todos los servicios a un paso. La gran mayoría de los inmuebles que tenemos en esta zona solo se encuentran en nuestra web. Visite nuestra página y descubra exclusivas viviendas. Fortuny Madrid Real Estate es una empresa con sólida experiencia formada por un grupo de consultores inmobiliarios especializados en la zona Prime de Madrid, creada con el objetivo de satisfacer las necesidades de los clientes más exigentes nacionales e internacionales. Somos un referente en el mercado español, ofreciendo un servicio completo con viviendas residenciales de alta calidad y una amplia gama de servicios inmobiliarios, cubriendo tanto el área privada como el área comercial para conseguir que personas físicas jurídicas, instituciones e inversores queden plenamente satisfechos con nuestros servicios.",False,good,False,True,10214.0,True,False,False,False,[],False,False,1195000.0,€,flat,"Trafalgar, Madrid",Piso,,,,,,,,
107033258,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/c2/f0/1f/1356358308.webp,4770,24,3,2259000.0,flat,sale,197.0,True,3,3,"calle de Diego de León, 52",Madrid,Madrid,Barrio de Salamanca,es,Lista,40.4344264,-3.6783252,True,https://www.idealista.com/inmueble/107033258/,"Domus Aurea Capital presenta esta esta excepcional vivienda en Diego de León 52, situada en el prestigioso barrio de Lista, Madrid, . La vivienda se sitúa en tercer piso interior pero muy luminoso, actualmente en obras, cuenta con 197 m² catastrales diseñados para ofrecer lujo y elegancia. La propiedad incluye amplio salón, cocina independiente pero con cristalera y puerta corredera para conectarse a la zona social y con acceso directo a la terraza que da a un amplio patio de manzana, comedor independiente, cuarto de lavado, aseo de cortesía, y tres amplios dormitorios dobles con zona de vestidor y baño en suite, contando una de ellas con acceso de servicio independiente. Con aire acondicionado, calefacción y ascensor. Domus Aurea Capital es una agencia inmobiliaria especializada en la intermediación, construcción y gestión de activos inmobiliarios en las zonas prime de Madrid y alrededores. La mayoría de las propiedades que tenemos disponibles no están publicadas en los portales inmobiliarios, para conocerlas todas consulta nuestra web.",False,good,False,True,11467.0,True,False,False,False,[],False,False,2259000.0,€,flat,"Lista, Madrid","Piso en calle de Diego de León, 52",,,,,,,,
107995407,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/cc/c8/22/1330578845.webp,,34,1,570000.0,flat,sale,148.0,True,2,3,avenida de la Universidad,Madrid,Leganés,Centro,es,Casco Antiguo,40.3296519,-3.7661566,False,https://www.idealista.com/inmueble/107995407/,"INCOINSA INMUEBLES VENDE EN EXCLUSIVA FABULOSA & UNICA VIVIENDA EN LEGANES REFORMADA A TODO LUJO. ORIGINALMENTE ERAN DOS VIVIENDAS CONVERTIDAS ACTUALMENTE EN UNA VIVIENDA DE SUPER LUJO. Espacioso y luminoso piso de 2 habitaciones en Leganés con orientación Sur, que garantiza luz natural durante todo el día, ubicado en el centro de Leganés. Presenta un perfecto estado de conservación y listo para entrar a vivir. Se accede al hall de entrada que cuenta con un amplio salón con cocina abierta y 2 amplios dormitorios que cuentan con 2 baños y un aseo de entrada. Cocina de diseño para poder disfrutar con los amigos y familia. Ambos dormitorios son principales y dispone de un baño en suite, aportando comodidad y privacidad; contando con un plato de ducha con un grado antideslizante, mampara y mueble. La vivienda dispone de aerotermia para toda la vivienda y domótica, garantizando un inmueble super agradable para vivir. La finca se localiza en una estupenda ubicación, siendo un punto destacado en la localidad de actividad económica y comercial sin dejar de lado un excelente vecindario que otorga a sus residentes, una vida cómoda, con todos los servicios a su alrededor, entre los que cabe destacar: transporte público (Intercambiador Renfe-Metro, C-5 y L-12); centros de atención sanitaria y hospitales, centros docentes, pequeño comercio, mercados, centros comerciales y supermercados; y rápido acceso a las principales carreteras (M-40, M-45, A-42, A-4,.. . ). Más información: Contáctanos sin compromiso. ¡Estaremos encantados de atenderte! . NO COBRAMOS HONORARIOS AL COMPRADOR.",True,good,False,True,3851.0,True,False,False,False,[],False,False,570000.0,€,flat,"Casco Antiguo, Leganés",Piso en avenida de la Universidad,,,,580000.0,10000.0,2.0,,
109050901,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/dd/b3/b6/1362778538.webp,,21,1,220000.0,flat,sale,77.0,True,1,1,calle Córdoba,Madrid,San Fernando de Henares,Centro,es,,40.4255327,-3.5348183,False,https://www.idealista.com/inmueble/109050901/,"ESTUDIO INMOBILIARIO SAN FERNANDO 2026 S. L. U. Vende piso a reformar en zona centro de San Fernando de Henares - Precio: 240.000€ ¡Descubre tu nuevo hogar en el corazón de San Fernando de Henares! Este encantador piso de 1 dormitorio, totalmente exterior, ofrece un amplio salón que se llena de luz natural, creando un ambiente acogedor y perfecto para relajarte. La cocina, equipada con una terraza tendedero. Con 77 m² construidos y 56 m² útiles, este inmueble cuenta con un baño completo con bañera, un pasillo que conecta cada rincón y un trastero que te proporcionará ese espacio extra que tanto necesitas. Construido en 2006, el edificio tiene acceso adaptado para personas con movilidad reducida y cuenta con ascensor, lo que facilita la vida diaria.  Además, la calefacción de gas natural asegura tu confort en los meses más fríos del año. Su ubicación privilegiada te sitúa cerca de todos los servicios esenciales, haciendo de este piso una opción perfecta para quienes buscan comodidad y calidad de vida. ¡No dejes pasar la oportunidad de vivir en este maravilloso espacio! La plaza de garaje está disponible por solo 15.000 € adicionales.  No dude en llamarnos para concertar su cita para visitar el inmueble en la que además recibirá el asesoramiento gratuito de nuestro departamento financiero KÌRON. HIPOTECA HASTA 100%.",False,renew,False,True,2857.0,True,False,False,False,[],False,False,220000.0,€,flat,"Centro, San Fernando de Henares",Piso en calle Córdoba,,True,False,240000.0,20000.0,8.0,15000.0,
