propertyCode,thumbnail,externalReference,numPhotos,floor,price,propertyType,operation,size,exterior,rooms,bathrooms,address,province,municipality,district,country,neighborhood,latitude,longitude,showAddress,url,description,hasVideo,status,newDevelopment,hasLift,priceByArea,hasPlan,has3DTour,has360,hasStaging,notes,topNewDevelopment,topPlus,priceInfo.price.amount,priceInfo.price.currencySuffix,detailedType.typology,detailedType.subTypology,suggestedTexts.subtitle,suggestedTexts.title,parkingSpace.hasParkingSpace,parkingSpace.isParkingSpaceIncludedInPrice,newDevelopmentFinished,priceInfo.price.priceDropInfo.formerPrice,priceInfo.price.priceDropInfo.priceDropValue,priceInfo.price.priceDropInfo.priceDropPercentage,highlight.groupDescription
108090895,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/90/f6/ff/1367354474.webp,Hispano,22,bj,420000.0,duplex,sale,97.0,True,4,2,calle de Puerto Rico,Madrid,Madrid,Chamartín,es,Bernabéu-Hispanoamérica,40.4533753,-3.6739063,False,https://www.idealista.com/inmueble/108090895/,"**Piso en Venta en Hispanoamérica - Oportunidad Única** ocal reformado a vivienda Descubre este espectacular piso reformado en la privilegiada zona de Hispanoamérica, justo frente al hermoso Parque Berlín. Con una ubicación inmejorable, disfrutarás de un acceso rápido a las principales vías de comunicación y estarás a solo unos minutos del emblemático Estadio Santiago Bernabéu. La estación de metro Concha Espina y varias paradas de autobús (líneas 29 y 52) se encuentran a pocos pasos, lo que facilita tus desplazamientos diarios. Este luminoso piso de 65 m² cuenta con una distribución moderna y funcional. El salón, que se integra con una cocina americana, ofrece un espacio ideal para compartir momentos inolvidables. Además, dispone de tres amplios dormitorios con armarios empotrados, perfectos para familias o profesionales que buscan comodidad y estilo. Los dos baños completos están equipados con acabados contemporáneos que aportan un toque de elegancia. La vivienda está diseñada para la accesibilidad, con doble acceso para mayor seguridad y adaptaciones para personas con movilidad reducida. El entorno es tranquilo y residencial, rodeado de amplias zonas verdes y todos los servicios necesarios: supermercados, comercios, restaurantes, colegios y centros médicos. La finca ofrece excelente seguridad y cuenta con calefacción eléctrica y aire acondicionado, asegurando tu confort durante todo el año. No dejes pasar esta oportunidad única de vivir en una zona bien comunicada y tranquila. ¡Ven a conocer tu nuevo hogar!",False,good,False,False,4330.0,True,False,False,False,[],False,False,420000.0,€,flat,duplex,"Bernabéu-Hispanoamérica, Madrid",Dúplex en calle de Puerto Rico,,,,,,,
103842722,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/2c/f1/79/1201909280.webp,425907,44,2,679000.0,flat,sale,75.0,False,2,2,Barrio Lista,Madrid,Madrid,Barrio de Salamanca,es,Lista,40.4304552,-3.6719391,False,https://www.idealista.com/inmueble/103842722/,"ÚNICA Inmobiliaria ofrece vivienda en una de las calles más representativas y demandadas del barrio de Salamanca. Esta vivienda de 75 m² se ubica en un edificio recientemente reformado.  Se distribuye en salón con cocina incorporada, dos dormitorios dobles, un de ellos con baño en suite. Cocina amueblada y equipada electrodomésticos de alta gama.  Reforma con materiales de alta calidad, se han cuidado todos los detalles, iluminación led. En Única Inmobiliaria aglutinamos más de veinte años de experiencia en el sector del lujo. Contamos con una amplia trayectoria que avala nuestra gestión trabajando alrededor de las zonas más exclusivas de Madrid: Barrio de Salamanca, Recoletos, Almagro, Chamartín, Retiro, Justicia….",False,good,False,True,9053.0,False,False,False,False,[],False,False,679000.0,€,flat,,"Lista, Madrid",Piso,,,,,,,
108718614,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/95/51/9f/1366052458.webp,07745,52,bj,870000.0,flat,sale,240.0,True,3,2,Valenoso,Madrid,Boadilla del Monte,Valenoso,es,,40.412976,-3.9148178,False,https://www.idealista.com/inmueble/108718614/,"Sin honorarios al comprador. Imagínate adentrarte en un nuevo capítulo de tu vida, donde cada paso te lleva a la puerta de tu propio refugio de paz, un espacio donde cada detalle ha sido pensado para brindarte comodidad y tranquilidad. Esta casa es más que un simple hogar, es una inversión en tu futuro. Es un lugar para disfrutar, para crear recuerdos duraderos y construir tus sueños. Este espectacular piso redefine el concepto de vivir en un entorno urbano con su enfoque en la comodidad y lujo. No solo es una vivienda, es un hogar que abraza la esencia de la vida sin complicaciones y donde predomina la calidad y el confort. IMPORTANTE SABER: Piso en planta baja de 3d, 2b, cocina independiente, 2 terrazas, 2 plazas de garaje y trastero. Ubicado en una de las zonas con mayor desarrollo y proyección de Boadilla del Monte en en la exclusiva urbanización “Boadilla The Town”. De construcción reciente, 2021, esta magnifica urbanización de estilo de vida Resort dispone de piscina, pista de pádel, gimnasio, un gastrobar para socializar, parque infantil, amplias zonas verdes, servicio de conserjería 24h y videovigilancia. Este piso combina diseño, eficiencia energética y confort, todo dentro de una urbanización de alto nivel y calidades de lujo. DESCRIPCION: Una vez que estas dentro te darás cuenta de inmediato de lo practico y cómodo que es la distribución interior. El hall de entrada da por un lado el acceso a la cocina y al salón y por otro lado a la zona de descanso que a través del pasillo distribuidor llegas a los dormitorios, el vestidor y los baños. Desde la cocina se accede directamente a dos espacios muy prácticos. Un tendedero independiente, ideal como zona de lavado y almacenaje y a una amplia y espectacular terraza con jardín. Con una estupenda orientación sur este y con una perfecta amplitud es una zona premium, intima, sin ruidos y que es ideal para disfrutar de desayunos, comidas y cenas al aire libre o como rincón de relax. El salón, con grandes ventanales y con acceso directamente a la terraza ofrece un amplio espacio para compartir.  En la zona de descanso encontramos el dormitorio principal tipo suite, muy luminoso, con grandes ventanales, un vestidor, un armario empotrado y baño privado. Desde el dormitorio principal se accede directamente a una amplia terraza que da variedad de posibilidades de uso. Los otros dos dormitorios secundarios son amplios, luminosos y con armarios empotrados. Un segundo baño completo, con bañera y detalles en tonos blancos y grises. 2 amplias plazas de garaje, conjuntas, de fácil acceso y de un amplio trastero. M2 SUPERFICIES: Vivienda 128m2 construidos (93m2 útiles), terraza/jardín 111,5m2 construidos (102m2 útiles, 34m2 y 68m2), 2 plazas de garaje 48m2 construidos (26m2 útiles, 13m2 cada una), trastero 12m2 construidos (7m2 útiles, altura 3,5 m). DOTACION: Calefacción por suelo radiante.  Aire acondicionado por conductos. Armarios empotrados, todos revestidos y equipados. Ventanas con doble cristal de rotura térmica. Suelo de tarima hidrofuga. Iluminación perimetral de led en el salón. Agua caliente con caldera de gas. Persianas en todas las ventanas.  Toldo extensible en la terraza. Cocina totalmente equipada con calidades de lujo Aislamiento de ruido y temperatura de alta calidad. UNIVERSIDADES Y COLEGIOS: CEU. Francisco Vitoria, Universidad Europea de Madrid, Casvi, Mirabal, Virgen de Europa, Trinity Collage, José Bergamín Gutiérrez, Colegio Quercus, Ágora, Hélade, Teresa Berganza, Don Felipe, IES Isabel la Católica. PUNTOS DE INTERES: Hospital Universitario HM Monteprincipe, Hospital Puerta de Hierro, Centro de Salud Condesa de Barcelona, Supercor. Lidl, Alcampo, Ahorramas, BM, Carrefour, Mercadona, Aldi, Dia, El Corte Ingles Outlet COMUNICACION: Fácil acceso a M50, M513, M501, M40, A5 y A6. Metro ligero y conexión con linea 10 de metro. El precio no incluye los gastos de Notaria, Registro e Impuestos.",True,good,False,True,3625.0,True,False,False,False,[],False,False,870000.0,€,flat,,"Valenoso, Boadilla del Monte",Piso,True,True,,,,,
108566367,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/37/95/dc/1348640524.webp,001/022/008705,17,1,230000.0,flat,sale,56.0,True,1,1,calle de la Maquinilla,Madrid,Madrid,Puente de Vallecas,es,Palomeras sureste,40.3810489,-3.6387012,False,https://www.idealista.com/inmueble/108566367/,"As Real Estate, departamento de venta del Grupo Alquiler Seguro, te ofrece esta fantástica vivienda en venta en Vallecas, alquilada hasta el 30 de septiembre de 2025. Situada en una zona consolidada con todo tipo de servicios como: centros educativos, supermercados, centro de salud. Estupenda comunicación con transporte público a través de la estación de cercanías Vallecas (C2 y C7), estación de metro Sierra de Guadalupe (L1) y autobuses EMT (54,58, 103,142, 143). Con acceso inmediato a la A-3 y M-40. La urbanización cuenta con amplias zonas comunes, destacando su piscina comunitaria, pistas deportivas para los amantes del ejercicio, parque infantil y dispone de portería y vigilancia privada las 24 horas. La propiedad está situada en la primera planta de un edificio de nueve alturas. Finca con ascensor. Piso de 56 m2 construidos, distribuido en un luminoso salón independiente, cocina amueblada, 1 dormitorio con armario empotrado, 1 baño completo, calefacción individual y aire acondicionado por conductos en todas las estancias. Totalmente exterior, suelos de tarima. El precio incluye plaza de garaje situada en sótano 4 de 31,42 metros cuadrados y trastero situado en el sótano 1.  Para más información contacta con nosotros.",False,good,False,True,4107.0,False,False,False,False,[],False,False,230000.0,€,flat,,"Palomeras sureste, Madrid",Piso en calle de la Maquinilla,True,True,,,,,
107444401,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/94/56/6b/1312810484.webp,,4,2,206000.0,flat,sale,72.0,True,2,1,"calle Don Andrés Martínez, 27",Madrid,Aranjuez,Centro,es,,40.026744,-3.599719,True,https://www.idealista.com/obra-nueva/107444401/,"Nueva promoción de exclusivas viviendas, ubicadas en la calle Andrés Martinez, con calle del Sol y calle Valencia, donde podrás disfrutar junto a tu familia de la tranquilidad a un paso del centro de Aranjuez. Lujosas viviendas de última generación con la máxima eficiencia energética, fachada exterior en SATE, climatización por suelo radiante y refrescante (aerotermia)independiente en cada vivienda. Cuenta con acabados de altísima calidad y un diseño singular y moderno que imprime un carácter personal e individual a cada uno de los espacios que la componen. Las estancias son amplias y están impregnadas de luz natural, gracias a los grandes balcones que rodean cada vivienda. CARACTERÍSTICAS BASICAS: Climatización por suelo radiante y refrescante (aerotermia), salón y dormitorio principal con persianas enrollables de aluminio térmicas motorizadas, video portero, apagado general de toda la iluminación del circuito eléctrico de alumbrado de la vivienda, grifería termostática en baño principal, amplias terrazas en la mayoría de las viviendas, pintura lisa, trastero incluido en precio. OBSERVACIONES: Garaje opcional.",False,newdevelopment,True,True,2861.0,True,False,False,False,[],False,False,206000.0,€,flat,,"Centro, Aranjuez","Piso en calle Don Andrés Martínez, 27",,,False,,,,
109154461,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/30/c0/73/1367106700.webp,25OTR00023,4,4,120100.0,flat,sale,74.0,False,3,1,calle del Manco de Lepanto,Madrid,Madrid,Puente de Vallecas,es,Numancia,40.4037307,-3.6616554,False,https://www.idealista.com/inmueble/109154461/,*Más info. en web y redes: BHORUS* Aquí podrás informarte en detalle de la subasta. Bhorus SL es la única empresa a nivel NACIONAL con documentación demostrable en todo tipo de operaciones de subasta. ¡Cuidado! Las subastas tienen mucho riesgo si no son analizadas por los profesionales adecuados. Accede a nuestra web o redes para más información.,False,good,False,,1623.0,False,False,False,False,[],False,False,120100.0,€,flat,,"Numancia, Madrid",Piso en calle del Manco de Lepanto,,,,,,,
108966946,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/61/e4/a6/1360324636.webp,,38,1,279000.0,flat,sale,56.0,True,2,1,calle de Torrelaguna,Madrid,Madrid,Ciudad Lineal,es,San Pascual,40.4409089,-3.6512507,False,https://www.idealista.com/inmueble/108966946/,"LLAMAR A CAMILA 6 9 2 8 3 8 0 5 0 Agencia inmobiliaria de Madrid zona BARRIO DE LA CONCEPCIÓN - SAN PASCUAL Tecnocasa OFICINA SAN PASCUAL: EN VENTA: Piso totalmente EXTERIOR consta de dos dormitorios, salón con acceso a amplia terraza, cocina, comedor y un baño. PISO MUY LUMINOSO. ITE favorable. Comunidad: 50 € Excelente zona en pleno barrio de la concepción, muy bien comunicado, a tan solo dos minutos de la para del metro, muy próximo a calles principales como Virgen del Val y Avenida de Badajoz. Donde cuenta con diferentes sucursales bancarias como Santander, Caixabank, BBVA. Muy cercana a la A2 y a la M30. A tres paradas en transporte público al intercambiador de avenida de américa. A 5/10 minutos en coche a centros comerciales como Palacio de Hielo, o Plenilunio. Colegios públicos, concertados y privados. Como el colegio San Benito, Colegio Méjico, Montpellier, Buen Consejo, Menesianos, San Juan Bautista. Supermercados como mercadona, carrefour, ahorramas y mercado municipal de San Pascual. Gimnasios tiendas y comercios en la misma zona. Dispone de todos los servicios a tu alcance colegios, farmacias, restaurantes, ocio... , Parada de metro de Barrio de la concepción a menos de 100 metros. ¡ven a verlo! TELÉFONO DE CONTACTO: camila 6 9 2 8 3 8 0 5 0 PARA CUALQUIER INFORMACIÓN PRESENCIAL ESTAMOS DISPONIBLES EN LAS OFICINA TECNOCASA UBICADA EN CALLE ESTEBAN MORA 47.",False,good,False,True,4982.0,True,False,False,False,[],False,False,279000.0,€,flat,,"San Pascual, Madrid",Piso en calle de Torrelaguna,,,,309000.0,30000.0,10.0,
108428154,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/ac/2d/70/1344578012.webp,426653-C,22,4,3100000.0,flat,sale,331.0,True,6,3,Barrio Lista,Madrid,Madrid,Barrio de Salamanca,es,Lista,40.4324027,-3.6740933,False,https://www.idealista.com/inmueble/108428154/,"ÚNICA INMOBILIARIA ofrece esta gran vivienda exterior en Barrio de Salamanca. Se trata de un piso señorial con una superficie total de 331 m² con techos de 3 metros de altura. Actualmente esta distribuido en 6 habitaciones, 2 baños, 1 aseo, cocina, comedor, terraza y balcón. El portal cuenta con portero físico, cámaras de seguridad, acceso adaptado para personas con discapacidad con rampas de acceso, silla elevadora y montacargas, además de piscina comunitaria y un amplio estacionamiento dentro de la misma finca en la que están disponibles dos plazas de garaje incluidas en el precio. Es ideal para familias grandes o para inversores ya que ofrece un gran potencial. La orientación oeste garantiza luminosidad y su gran terraza fantásticas vistas a la ciudad. No pierdas la oportunidad de adquirir este piso único en una de las zonas más cotizadas de Madrid. Por respeto a la privacidad del propietario, Las fotografías del inmueble en esta publicación son referenciales. Sin embargo, estaremos encantados de proporcionarte toda la información necesaria y coordinar una visita para que puedas conocer el piso en persona. No dudes en contactarnos para resolver cualquier duda o para agendar una cita. ¡Estamos aquí para ayudarte a encontrar tu nuevo hogar! En Única Inmobiliaria aglutinamos más de veinte años de experiencia en el sector del lujo. Contamos con una amplia trayectoria que avala nuestra gestión trabajando alrededor de las zonas más exclusivas de Madrid: Barrio de Salamanca, Recoletos, Almagro, Chamartín, Retiro.",False,good,False,True,9366.0,False,False,False,False,[],False,False,3100000.0,€,flat,,"Lista, Madrid",Piso,True,True,,,,,
92633303,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/d1/7a/08/844425521.webp,MG VALDEBEBAS,49,2,360000.0,studio,sale,67.0,True,0,1,"calle Miguel Yuste, 23",Madrid,Madrid,San Blas,es,Simancas,40.4371759,-3.6238825,True,https://www.idealista.com/inmueble/92633303/,"QUALITY KEYS INMOBILIARIOS Madrid comercializa este LOFT para entrar a vivir, con una superficie 67 metros cuadrados. Escriturados en 2 alturas, con 5,20 metros de alto aproximadamente, pudiéndose doblar en su totalidad, sacando otro dormitorio y otro baño independientes, todo con ventilación propia. El uso según catastro es el de oficina. Está dentro de un edificio exclusivo de oficinas/LOFT. Son más baratos que un piso. Son la nueva moda residencial y está muy de moda, sobre todo entre determinados grupos profesionales y jóvenes. Los actuales y futuros, propietarios y usuarios, de estas superficies, están sirviendo para regenerar zonas muertas de Madrid y locales comerciales obsoletos. La ausencia de legislación específica sobre la materia es una vía de escape, que además puede verse reforzada por el simple hecho de que el residente acredite el ejercicio de una actividad profesional dentro del LOFT. En el caso concreto de los locales comerciales, como este, se puede realizar una solicitud de cambio de uso. El fenómeno LOFT tiene defensores que argumentan que su aparición es consecuencia de un cambio en la sociedad, ya que el TELETRABAJO es una realidad, los precios de las casas son desorbitados y las familias son cada vez menos numerosas, por lo que en principio, la mayoría de las consecuencias son ventajas, ya que permiten un espacio para trabajar y vivir a la vez, ahorrando la adquisición de dos inmuebles distintos, resultando más asequibles que una casa tradicional, ya que son, de media, un 30% más baratos. En los locales comerciales urbanos, tras previo acondicionamiento y transformación, como es nuestro LOFT, en muchos casos a través de empresas especializadas en esta actividad concreta, ya residen decenas de madrileños.  HACIENDA PERMITE DEDUCIR COMO VIVIENDA UN LOCAL O NAVE INDUSTRIAL SI EL DUEÑO VIVE ALLI (ARTICULO diario económico EXPANSION del 21 de mayo de 2009). El artículo 54.1 del Reglamento del Impuesto sobre la Renta de las Personas Físicas, aprobado por el Real Decreto 439/2007, de 30 de marzo (BOE del 31 de marzo), recoge el concepto de vivienda habitual, estableciendo que ""con carácter general se considera vivienda habitual del contribuyente la edificación que constituya su residencia durante un plazo continuado de, al menos, tres años"". Para considerar que la vivienda constituye la residencia habitual desde su adquisición, ""…debe ser habitada de manera efectiva y con carácter permanente por el propio contribuyente, en un plazo de doce meses, contados a partir de la fecha de adquisición o terminación de las obras"". Conforme con dicha definición dentro del concepto de vivienda habitual regulado en el IRPF se incluye todo tipo de edificación, aun cuando ésta no cumpla con la normativa urbanística propia de la misma o se ubique en un suelo que no disponga de la calificación requerida para edificar, con independencia de la calificación que pudiera tener en el Registro de la Propiedad. Ahora bien, para que la edificación pueda ser considerada como vivienda habitual ha de estar acondicionada o susceptible de ser acondicionada como vivienda, y reunir el contribuyente los requisitos de titularidad, residencia efectiva y permanencia requeridos por la normativa del Impuesto. Las edificaciones consistentes genéricamente en locales, así como aquellas que, en particular, vienen denominándose ""espacios o locales profesionales"" o ""LOFT"" son, según la normativa del sector, espacios destinados a actividad industrial o económica. No obstante, de acuerdo con lo aquí señalado, si se destinara dicho local o espacio a residencia habitual, al estar o haberlo acondicionado como vivienda, podrá disfrutar de cuantos beneficios fiscales establece el IRPF para las viviendas habituales con carácter general, con los mismos requisitos, condiciones y limitaciones.",True,good,False,True,5373.0,True,False,False,False,[],False,False,360000.0,€,flat,studio,"Simancas, Madrid","Estudio en calle Miguel Yuste, 23",,,,,,,
105304851,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/96/1b/1f/1292327276.webp,VM2406080,14,1,1349000.0,flat,sale,120.0,False,2,3,calle de Goya,Madrid,Madrid,Barrio de Salamanca,es,Recoletos,40.4269341,-3.6877345,False,https://www.idealista.com/inmueble/105304851/,"DÚPLEX INTERIOR REFORMADO A ESTRENAR EN RECOLETOS En la calle Goya, junto a Serrano, en una finca clásica y señorial con amplia entrada y un precioso patio interior, encontramos una vivienda exclusiva en dos alturas. Un dúplex singular, bien pensado, con un diseño funcional y un interiorismo elegante, distribuido en una planta baja con un amplio salón y aseo de cortesía, y una planta alta con cocina y comedor, y dos dormitorios dobles en suite, el principal con vestidor y una acogedora terraza. Una vivienda singular, tranquila, luminosa, en el barrio más demandado, a escasos minutos del Parque del Retiro, rodeada de las mejores firmas de moda y restauración de la capital. ¿Te imaginas vivir aquí?  Contacte con nosotros para ver más inmuebles similares.",True,good,False,True,11242.0,False,False,False,False,[],False,False,1349000.0,€,flat,,"Recoletos, Madrid",Piso en calle de Goya,,,,,,,
