propertyCode,thumbnail,externalReference,numPhotos,price,propertyType,operation,size,rooms,bathrooms,address,province,municipality,country,latitude,longitude,showAddress,url,description,hasVideo,status,newDevelopment,priceByArea,hasPlan,has3DTour,has360,hasStaging,notes,topNewDevelopment,topPlus,priceInfo.price.amount,priceInfo.price.currencySuffix,detailedType.typology,detailedType.subTypology,suggestedTexts.subtitle,suggestedTexts.title,floor,exterior,hasLift,priceInfo.price.priceDropInfo.formerPrice,priceInfo.price.priceDropInfo.priceDropValue,priceInfo.price.priceDropInfo.priceDropPercentage,parkingSpace.hasParkingSpace,parkingSpace.isParkingSpaceIncludedInPrice,district,newDevelopmentFinished,neighborhood,highlight.groupDescription,parkingSpace.parkingSpacePrice
109046594,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/4c/f1/27/1363314248.webp,NHEXQUI006,12,385000.0,chalet,sale,140.0,3,3,calle Caño Viejo,Madrid,Quijorna,es,40.4231744,-4.05398,False,https://www.idealista.com/inmueble/109046594/,"VENDE CON NOSOTROS DESDE SOLO EL 1.9%, REALIZAMOS TODAS LAS GESTIONES INCLUYENDO LA FINANCIACIÓN. LOCATIVO vende este chalet independiente de 140 m² construidos en dos plantas sobre una parcela de 400 m² en Quijorna, que destaca por contar con 3 dormitorios, 3 baños y sistema de aerotermia para calefacción y agua caliente.  La vivienda presenta un diseño moderno y funcional, con líneas elegantes y sencillas que transmiten equilibrio y armonía, siempre priorizando el confort y la comodidad.  En la planta baja se encuentra un amplio salón con salida directa al jardín y porche, una cocina independiente y un baño completo, mientras que en la primera planta se ubican tres dormitorios con armarios empotrados y un baño, destacando el principal por disponer de vestidor y baño en suite.  El jardín privado ofrece espacio para disfrutar en familia y la posibilidad de instalar piscina, además de contar con parking exterior. Gracias a la aerotermia, la vivienda es eficiente, sostenible y garantiza un importante ahorro energético. Su ubicación es inmejorable, en un entorno consolidado y una calle tranquila en pleno centro del municipio, lo que permite acceder cómodamente a pie a todos los servicios como supermercado, farmacia, centro de salud, instalaciones deportivas y colegio. A ello se suman unas excelentes comunicaciones mediante la red de autobuses con conexión directa a Madrid (Príncipe Pío) y a municipios cercanos. Quijorna se sitúa en la Cuenca del Guadarrama, a tan solo 39 km de Madrid, rodeado de naturaleza y con múltiples rutas de senderismo, lo que lo convierte en un lugar perfecto para disfrutar de un estilo de vida tranquilo, saludable y en contacto con el entorno natural. CONSULTE NUESTRA PÁGINA WEB TENEMOS MÁS VIVIENDAS QUE NO ESTÁN EN LOS PORTALES. SÍGANOS EN NUESTRAS REDES SOCIALES PARA NO PERDERSE NADA: Instagram: @Locativoinmobiliariamadrid TikTok: @Locativoinmobiliaria Facebook: @Locativo Inmobiliaria AVDA. VILLANUEVA DE LA CAÑADA 35, LOCAL 1 QUIJORNA 28693 MADRID PARQUE EMPRESARIAL “LA FINCA” PASEO CLUB DEPORTIVO 1, EDIFICIO 4 POZUELO DE ALARCÓN 28223 MADRID AVDA. DE LA VERA 65 VILLANUEVA DE LA VERA 10470 CACERES CALLE DE LOS OLIVOS 8 ROBLEDO DE CHAVELA 28294 MADRID [IW].",False,good,False,2750.0,False,False,False,False,[],False,False,385000.0,€,chalet,independantHouse,Quijorna,Casa independiente en calle Caño Viejo,,,,,,,,,,,,,
108907391,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/71/0e/1d/1358563401.webp,0056-00600,35,279000.0,flat,sale,107.0,2,2,"calle de las Cambroneras, 1",Madrid,San Agustin de Guadalix,es,40.6769459,-3.6158635,True,https://www.idealista.com/inmueble/108907391/,"Extraordinario ático reformado con una pequeña terraza privada en el dormitorio principal, que se caracteriza por su ubicación excepcional en San Agustín de Guadalíx. Nos encontramos con una distribución muy práctica: dos habitaciones muy amplias de 10 m y 13 m, con posibilidad de hacer una habitación más, dos baños, cocina y zona de lavandería cerrada. El salón es muy luminoso y amplio, unos 23 metros. Dispone de trastero incluido en el precio. La vivienda tiene acceso a zonas comunes en una urbanización cerrada. Cerca de todos lo servicios de San Agustín. Buena calidad constructiva con suelos de madera y ventanas de doble cristal, calefacción central y aire acondicionado. La distribución del piso es muy cómoda con un espacio que aúna el salón comedor con la cocina equipada con muebles altos y bajos, horno, placa y microondas. El dormitorio principal en suite tiene una zona de vestidor. El piso se completa con otro dormitorio de buen tamaño y cuarto de baño completo. San Agustín del Guadalix, como puente de unión entre el área metropolitana de Madrid y la Sierra Norte, es una población prolija en servicios y comodidades. Su ambiente es mayormente residencial y abundan las comunidades de reciente construcción habitadas por familias de buen nivel económico (no en vano se encuentra en el Top 20 de municipios con más alta Renta per Cápita de España). Entre sus ventajas se incluyen: el fácil acceso a la A-1, la presencia de un Instituto y dos colegios públicos bilingües, varios supermercados de reconocidas distribuidoras, servicio regular de autobuses con Madrid, rutas naturales, centro de salud, biblioteca, polideportivo, academias de idiomas, peluquerías, restaurantes, guarderías, etc. Además, la cercanía al Hospital Infanta Sofía, al Aeropuerto y, en fin, a los servicios que ofrecen localidades cercanas como San Sebastián de los Reyes, Alcobendas o Colmenar Viejo, configuran San Agustín del Guadalix como una población en un enclave estratégico e idóneo para poder tenerlo todo a un paso de casa. ¡NO DEJES ESCAPAR ESTA GRAN OPORTUNIDAD EN SAN AGUSTÍN DE GUADALÍX!",False,good,False,2607.0,False,False,False,False,[],False,False,279000.0,€,flat,,San Agustin de Guadalix,"Piso en calle de las Cambroneras, 1",3,True,False,290000.0,11000.0,4.0,,,,,,,
109159243,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/44/be/39/1366009068.webp,REMOLINO,28,175000.0,duplex,sale,75.0,2,2,CL REMOLINO,Madrid,El Molar,es,40.7312331,-3.5785963,False,https://www.idealista.com/inmueble/109159243/,"Aura Hogar presenta vivienda tipo dúplex en El Molar ALQUILADA, ideal para INVERSORES que busquen rentabilidad. La vivienda consta en planta baja de salón comedor, cocina amuebla y equipada con zona de tendedero y aseo de cortesía. En la primera planta nos encontramos con dos habitaciones con ventanas tipo velux y cuarto de baño con plato de ducha. Agua caliente por termo eléctrico de 75, y calefacción individual por radiadores eléctricos. Vivienda en muy buen estado y con inquilinos cuidadosos. Plaza de garaje incluida en el precio. Pocos gastos de comunidad de propietarios, 45€. Contrato de alquiler en vigor hasta diciembre de 2027. Fácil acceso por A1 y M129, a 30 minutos de Plaza de Castilla y a 15 del Hospital Infanta Sofía de S. S. de los Reyes. SIN COMISIONES en el precio de venta, solicite más información sin compromiso, no es posible realizar visitas.",True,good,False,2333.0,True,False,False,False,[],False,False,175000.0,€,flat,duplex,El Molar,Dúplex en CL Remolino,2,True,False,,,,True,True,,,,,
108094164,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/16/66/0e/1333626938.webp,2º D,11,253000.0,flat,sale,69.0,2,2,"calle Pinto, 56",Madrid,Parla,es,40.2394493,-3.7642648,True,https://www.idealista.com/obra-nueva/108094164/,"Parla Central es un proyecto residencial de la nueva generación de edificios en el centro de la ciudad.  Una promoción de obra nueva con viviendas de 1.2 y 3 dormitorios, moderna selección de materiales y calificación energética A.  A 5 minutos andando de la calle Real, Parla Central es la mejor opción de aquellos que desean vivir en el centro de la ciudad.",False,,True,3667.0,True,False,False,False,[],False,False,253000.0,€,flat,,"Calle Pinto-San Roque, Parla","Piso en calle Pinto, 56",2,True,True,,,,,,Calle Pinto-San Roque,False,,,
108906657,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/aa/a3/0d/1358538331.webp,eca412b4-ab1a-4622-8320-8ce097af8b0c,13,1325000.0,chalet,sale,445.0,5,4,calle Gutiérrez Canales,Madrid,Madrid,es,40.4497938,-3.6135513,False,https://www.idealista.com/inmueble/108906657/,"Se vende espectacular adosado en el barrio de Canillejas con una superficie total construida de 445 m². Esta amplia vivienda está distribuida en cinco dormitorios y cuatro baños, lo que la convierte en una opción ideal para familias numerosas o quienes buscan espacio y confort. La propiedad se encuentra en buen estado de conservación y cuenta con una cocina completamente equipada, armarios empotrados en varias estancias y sistema de aire acondicionado. Dispone de calefacción central y bomba de calor/frío, garantizando una temperatura agradable durante todo el año. Como extras, incluye un trastero y plaza de estacionamiento, ofreciendo soluciones prácticas para el almacenamiento y el vehículo familiar. Características exteriores y zonas comunes El inmueble se destaca por sus espacios al aire libre: un amplio jardín privado, piscina y una acogedora terraza donde disfrutar del buen tiempo. También cuenta con un balcón, ideal para relajarse o tomar el aire. El edificio dispone de ascensor, lo que facilita el acceso a todas las plantas. Ubicación Situado en el distrito de Canillejas, en una zona residencial tranquila y bien comunicada. El entorno ofrece acceso a todos los servicios necesarios: colegios, supermercados, transporte público, zonas verdes y deportivas. Es una ubicación ideal para quienes desean vivir en una zona urbana pero con la comodidad de un entorno familiar y residencial.",False,good,False,2978.0,False,False,False,False,[],False,False,1325000.0,€,chalet,terracedHouse,"Canillejas, Madrid",Chalet adosado en calle Gutiérrez Canales,,,,,,,True,True,San Blas,,Canillejas,,
107153811,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/7c/79/86/1337214554.webp,0096-00995,27,240000.0,flat,sale,90.0,1,1,"calle del León, 30",Madrid,Madrid,es,40.4129468,-3.6993957,True,https://www.idealista.com/inmueble/107153811/,"303 Situado en el emblemático barrio de las Letras-Cortes, este piso abuhardillado y amueblado con mucho encanto ofrece una oportunidad única de vivir en el corazón de Madrid o de invertir con buena rentabilidad. Desde la quinta y última planta, a través de sus ventanas de Climalit, se puede ver el cielo madrileño y disfrutar de la tranquilidad de un piso interior estando en el centro de la capital. Esta buhardilla con vigas de madera transmite la sensación de vivir en un hogar acogedor y luminoso, con sus techos bajos, su cocina amplia y su toque bohemio. El piso de 57 m2 útiles está distribuido en dos alturas: la habitación con techo bajo, un pasillo abierto y luminoso, una cocina amplia y equipada, un baño y un espacio chill de salón abuhardillados. La vivienda se sitúa en la quinta y última planta del edificio, el ascensor llega hasta la cuarta planta. Ubicado entre la calle de Atocha y la calle de Huertas, a escasos metros de la estación de metro de Antón Martín, y a unos metros de la Puerta del Sol, su situación es inmejorable y está muy bien comunicada. Dispone de todo tipo de servicios al lado, supermercados, tiendas, cafeterías, restaurantes y bares de los más auténticos a los más modernos de la capital. El uso turístico no está permitido. No cobramos honorarios al comprador.",True,good,False,2667.0,True,True,True,False,[],False,False,240000.0,€,flat,,"Huertas-Cortes, Madrid","Piso en calle del León, 30",5,True,True,,,,,,Centro,,Huertas-Cortes,,
106463750,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/92/30/e2/1283655329.webp,3404,11,1679000.0,flat,sale,133.0,2,2,Barrio Ibiza,Madrid,Madrid,es,40.4210188,-3.6759561,False,https://www.idealista.com/inmueble/106463750/,"Este magnífico piso exterior en el cuarto piso se encuentra en uno de los barrios más exclusivos de Madrid. Con 133 metros cuadrados catastrales, el inmueble ofrece dos amplias habitaciones y dos baños, todo ello en un entorno de lujo y confort.  La moderna cocina equipada, el cuarto de lavado independiente y los muebles de alta calidad realzan aún más la sofisticación de este hogar. El edificio, construido en 1933, combina el encanto histórico con comodidades contemporáneas.  El balcón de 4 metros cuadrados brinda una excelente iluminación natural y vistas despejadas, creando un ambiente luminoso y acogedor. Además, el edificio cuenta con ascensor para mayor comodidad.  El barrio de Retiro - Ibiza es conocido por su ambiente exclusivo y su excelente calidad de vida, situado a pocos pasos del icónico Parque del Retiro. La zona ofrece una amplia variedad de servicios, desde restaurantes gourmet hasta tiendas de lujo, y está perfectamente conectada mediante transporte público. Vivir aquí significa disfrutar de un entorno tranquilo y sofisticado en el corazón de Madrid. La gran mayoría de los inmuebles que tenemos en esta zona solo se encuentran en nuestra web. Visite nuestra página y descubra exclusivas viviendas. Fortuny Madrid Real Estate es una empresa con sólida experiencia formada por un grupo de consultores inmobiliarios especializados en la zona Prime de Madrid, creada con el objetivo de satisfacer las necesidades de los clientes más exigentes nacionales e internacionales. Somos un referente en el mercado español, ofreciendo un servicio completo con viviendas residenciales de alta calidad y una amplia gama de servicios inmobiliarios, cubriendo tanto el área privada como el área comercial para conseguir que personas físicas jurídicas, instituciones e inversores queden plenamente satisfechos con nuestros servicios.",False,good,False,12624.0,True,False,False,False,[],False,False,1679000.0,€,flat,,"Ibiza, Madrid",Piso,4,True,True,,,,,,Retiro,,Ibiza,,
107364689,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/7c/78/40/1314257493.webp,,18,190000.0,flat,sale,40.0,2,1,"calle del Labrador, 21",Madrid,Madrid,es,40.4004594,-3.7037657,True,https://www.idealista.com/inmueble/107364689/,"Ofrecemos en venta este piso de 40 m2 en la demandada zona de Acacias, en Embajadores, Madrid, En pleno parque de Peñuelas, junto al Parque Madrid Río. Zona con grandes superficies ajardinadas. A 10 minutos de la Puerta de Toledo y del Rastro. Hablamos de un piso interior, de 40 m2 distribuidos en salón, 2 habitaciones, cocina y baño. Gastos de comunidad muy contenidos, 38 euros al mes. En la actualidad se está reformando el tejado con derramas que asume la propiedad actual.  Dispone de calefacción eléctrica pero el edificio tiene instalada la toma de gas ciudad por lo que podría instalarse esta calefacción en el piso. El edificio tiene además ascensor.",False,good,False,4750.0,True,False,False,False,[],False,False,190000.0,€,flat,,"Acacias, Madrid","Piso en calle del Labrador, 21",st,False,True,,,,,,Arganzuela,,Acacias,,
108559865,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/f3/31/b5/1365037188.webp,Venta_Torrelodones,85,1275000.0,chalet,sale,476.0,7,5,calle Mirarroyo,Madrid,Torrelodones,es,40.5771319,-3.8965449,False,https://www.idealista.com/inmueble/108559865/,"ABA Expertos Inmobiliarios pone a la venta en exclusiva este espectacular chalet de diseño moderno con unas vistas increíbles al lago de los Peñascales, dada su perfecta ubicación goza de ser una de las mejores viviendas orientadas al deseado lago. Esta impresionante vivienda se sitúa en una gran parcela de 1.420 m² y cuenta con una superficie construida de 476 m². La casa dispone de 6 amplios dormitorios y 5 baños, todos con acabados de alta calidad. Destacan sus 3 espaciosas terrazas, 2 de ellas ofrecen panorámicas únicas del lago. Distribución: Planta Principal: Espectacular hall de entrada con doble altura, gran salón, amplia terraza, comedor con acceso a una encantadora zona de estar, aseo de cortesia, amplia y luminosa cocina con salida a jardin y zona de servicio con dormitorio y baño en suite. Primera Planta: 4 amplios dormitorios, el principal con gran vestidor y baño en suite, dos de ellos con terraza privada y 2 baños. Planta Baja: En esta planta nos encontramos con una fantástica estancia polivalente con chimenea y cocina americana de más de 40 m2 con salida directa al jardín y con acceso privado que podría habitarse de forma totalmente independiente al resto de vivienda, además cuenta con otra estancia multifuncional ideal como zona de juegos, gimnasio, etc.. . gran trastero, baño y zona de almacenaje independiente, todo ello con salida directa al jardín y a la zona de piscina. Los materiales son de lujo, con suelos de piedra natural y madera de jatoba en todo el inmueble, creando ambientes luminosos y elegantes.  Una propiedad única para aquellos que buscan exclusividad, comodidad y belleza en un entorno natural y a tan solo 25 minutos de Madrid. La ubicación es inmejorable, en la urbanización Los Peñascales junto al lago, con servicios esenciales como colegios y a 5 min del centro de Torrelodones. Parada de autobuses a pocos metros andando a Torrelodones e intercambiador de Moncloa. Cercanías en Torrelodones y Las Matas. Rápido y directo acceso a la A6. La presente publicación tiene carácter meramente informativo, orientativo y no vinculante, por lo que no supone información contractual alguna, siendo su uso estrictamente comercial. Este anuncio puede contener errores, se muestra a título informativo de la información recibida, sin ser responsable la inmobiliaria de dichos errores.",True,good,False,2679.0,True,False,True,False,[],False,False,1275000.0,€,chalet,independantHouse,"El Monte, Torrelodones",Casa independiente en calle Mirarroyo,,,,1400000.0,125000.0,9.0,True,True,Los Peñascales,,El Monte,,
109011787,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/9f/a0/70/1361655934.webp,LIRE-06367,16,195000.0,flat,sale,43.0,2,1,"CL MARQUESA DE SILVELA, 15",Madrid,Madrid,es,40.3860762,-3.7133617,True,https://www.idealista.com/inmueble/109011787/,"¡ SIN COMISION DE AGENCIA! FONDGEST Asesores Inmobiliarios S. L. pone EN VENTA este luminoso piso vacío de 2 Dormitorios y un baño en 4ª planta CON ascensor ubicado en la popular barrio de Usera, en inmejorable ubicación y comunicación.  El inmueble necesita reforma y forma parte de un edificio de 5 alturas. Se distribuye en hall de entrada, cocina independiente, salón comedor, un baño completo, y dos dormitorios independientes exteriores.  Se vende a cuerpo cierto, al día de impuestos, cargas y tributos y con fiscalidad de ITP del 6% al ser segunda transmisión. Ubicado en zona residencial, rodeado de parques, colegios, comercios, y todos los servicios necesarios. Solicite visita sin compromiso y le informaremos de más detalles y condiciones económicas.",False,renew,False,4535.0,True,False,False,False,[],False,False,195000.0,€,flat,,"Moscardó, Madrid","Piso en CL Marquesa De Silvela, 15",4,False,True,,,,,,Usera,,Moscardó,,
