propertyCode,thumbnail,externalReference,numPhotos,floor,price,propertyType,operation,size,exterior,rooms,bathrooms,address,province,municipality,district,country,neighborhood,latitude,longitude,showAddress,url,description,hasVideo,status,newDevelopment,hasLift,priceByArea,hasPlan,has3DTour,has360,hasStaging,notes,topNewDevelopment,topPlus,priceInfo.price.amount,priceInfo.price.currencySuffix,detailedType.typology,suggestedTexts.subtitle,suggestedTexts.title,detailedType.subTypology,newDevelopmentFinished,parkingSpace.hasParkingSpace,parkingSpace.isParkingSpaceIncludedInPrice,priceInfo.price.priceDropInfo.formerPrice,priceInfo.price.priceDropInfo.priceDropValue,priceInfo.price.priceDropInfo.priceDropPercentage,parkingSpace.parkingSpacePrice
109174433,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/9e/02/15/1366466544.webp,FUE1717,25,1,510000.0,flat,sale,115.0,True,3,2,travesía Isla de Formosa,Madrid,Madrid,Fuencarral,es,Tres Olivos - Valverde,40.4979945,-3.6887686,False,https://www.idealista.com/inmueble/109174433/,"Globalpiso Fuencarral pone a su disposición en exclusiva estupendo dúplex de 100 m² útiles, con la posibilidad de obtener de forma opcional una plaza garaje, este inmueble está distribuido en 3 dormitorios, dos de ellos con terraza, amplio salón, cocina reformada y con acceso al patio de uso privativo, 2 baños completos. La vivienda está en muy buen estado, completamente exterior y muy luminosa gracias a su orientación. Destacan las molduras en techos, ventanas velux, paredes lisas, armarios empotrados en los dormitorios, puerta blindada, aire acondicionado con bomba de calor en salón y dormitorio principal, termo eléctrico de 80 l para agua caliente, rejas en las ventanas de la primera planta, puertas macizas en roble claro, calefacción eléctrica, suelos de tarima, cerramientos dobles de aluminio con climalit, teniendo la cocina y baños los suelos con revestimientos cerámicos. Uno de los baños con plato de ducha y el otro con cabina de ducha. Fontanería y electricidad actualizadas. Ubicación inmejorable por su cercanía a Tres Olivos, en una zona muy tranquila y consolidada con todos los servicios. Comunicaciones: autobuses 66, 137, N26, SE704; cercanías Fuencarral; línea de metro 10 (Estaciones Fuencarral y Tres Olivos); acceso directo a las principales carreteras. Próximo a hospitales, centros comerciales y zonas ajardinadas. La zona Tres Olivos – Fuencarral ofrece la tranquilidad de un barrio residencial sin perder cercanía al centro de Madrid gracias a sus excelentes conexiones. No dejes pasar la oportunidad de vivir en la zona norte y solicita una visita.",False,good,False,False,4435.0,False,True,False,False,[],False,False,510000.0,€,flat,"Tres Olivos - Valverde, Madrid",Piso en travesía Isla de Formosa,,,,,,,,
107977226,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/ae/b6/12/1330010725.webp,EAV122 AMPARO,23,1,190000.0,studio,sale,27.0,False,0,1,"calle del Amparo, 91",Madrid,Madrid,Centro,es,Lavapiés-Embajadores,40.4070144,-3.7007547,True,https://www.idealista.com/inmueble/107977226/,"¡Descubre este estudio en venta en la zona de Lavapiés-Embajadores! UNA OPORTUNIDAD DE INVERSION. Situado en la Calle Amparo, este acogedor espacio en la primera planta interior ha sido reformado,  listo para entrar a vivir. Con una superficie construida de 31 m² y 23 m² útiles,  el estudio cuenta con un salón que incluye un armario empotrado y dos ventanas que dan al patio de luces,  proporcionando un ambiente tranquilo y acogedor. La cocina independiente está totalmente amueblada y equipada con electrodomésticos,  perfecta para disfrutar de tus momentos culinarios.  Además, el baño cuenta con un práctico plato de ducha.  El altillo de 1 metro de altura se convierte en un dormitorio para descansar después de un largo día.  La calefacción eléctrica mediante split con bomba de calor asegura un confort óptimo durante todo el año. Ubicado a pocos pasos del metro de Lavapiés y cerca de Embajadores, tendrás acceso a una excelente conexión de transporte  y a la oferta cultural que caracteriza esta zona. No pierdas la oportunidad de visitar este estudio único;  puedes concertar una cita por teléfono o email. ¡Este es el hogar que estabas buscando!",True,good,False,False,7037.0,True,True,False,False,[],False,False,190000.0,€,flat,"Lavapiés-Embajadores, Madrid","Estudio en calle del Amparo, 91",studio,,,,,,,
107986068,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/f5/e3/4b/1330279504.webp,C0026-02388,48,3,549000.0,flat,sale,151.0,True,4,2,"calle Cruz de Guadalajara, 1",Madrid,Alcalá de Henares,Juan de Austria,es,,40.48477,-3.36019,True,https://www.idealista.com/inmueble/107986068/,"¡Oportunidad única en el centro de Alcalá de Henares! Se pone a la venta espectacular vivienda ubicada en uno de los centros históricos más importantes de la Comunidad de Madrid: Alcalá de Henares. El piso cuenta con 4 amplios dormitorios, 2 baños completos, y una cocina independiente y espaciosa, ideal para familias o quienes buscan comodidad y funcionalidad. La vivienda está muy bien cuidada, lista para entrar a vivir, y destaca por su gran amplitud y luminosidad. Además, incluye dos trasteros, perfectos para almacenamiento extra y mantener el orden en casa.  Ubicada en una calle tranquila, disfrutarás de la paz del entorno sin renunciar a la cercanía de todos los servicios: supermercados, colegios, transporte público, comercios, zonas verdes, y mucho más. Una oportunidad perfecta para vivir en una zona céntrica y bien comunicada, con todo lo que necesitas a tu alcance. ¡No dejes pasar esta ocasión y ven a visitarlo!",False,good,False,True,3636.0,True,True,False,False,[],False,False,549000.0,€,flat,"Juan de Austria, Alcalá de Henares","Piso en calle Cruz de Guadalajara, 1",,,,,,,,
106980881,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/41/d7/3c/1299410685.webp,4731,17,2,1589000.0,flat,sale,129.0,True,3,3,calle de Ventura de la Vega,Madrid,Madrid,Centro,es,Huertas-Cortes,40.417004,-3.6988957,False,https://www.idealista.com/inmueble/106980881/,"Domus Aurea Capital presenta esta fantástica vivienda en el Barrio de las Letras, la calle Ventura de la Vega. vivienda de 136m² situada en una finca clásica de 1936, se sitúa en una segunda planta exterior y se encuentra completamente reformada conservando elementos clásicos  y lista para entrar a vivir. Se distribuye en una recibidor gabanero, salón-comedor muy luminoso gracias a sus tres balcones a la calle principal, cocina abierta integrada y equipada con todo lo necesario, cuarto de lavandería, un dormitorio principal con zona de vestidor y baño en suite, segundo dormitorio doble con baño en suite y un tercer dormitorio, además de un baño completo perfecto para visitas. Calefacción de gas natural individual, aire acondicionado, servicio de portería en la finca y ascensor. Domus Aurea Capital es una agencia inmobiliaria especializada en la intermediación, construcción y gestión de activos inmobiliarios en las zonas prime de Madrid y alrededores.",False,good,False,True,12318.0,True,False,False,False,[],False,False,1589000.0,€,flat,"Huertas-Cortes, Madrid",Piso en calle de Ventura de la Vega,,,,,,,,
108931384,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/1f/25/08/1360365686.webp,C0026-02434,26,5,248500.0,flat,sale,84.0,True,3,1,"calle Murano, 4",Madrid,Alcalá de Henares,Venecia - Nueva Alcalá,es,,40.4776406,-3.3621459,True,https://www.idealista.com/inmueble/108931384/,"Se vende vivienda reformada con terraza. Características: Baño reformado con plato de ducha. Cocina reformada con electrodomésticosincluidos en el precio. Suelo tarima AC4. Carpintería en blanco. Videoportero. Aire acondicionado. Terraza acristalada. Armario empotrado en habitación principal.  A un paso del casco histórico de Alcalá de Henares en un barrio con todos los servicios a mano. Ideal para vivir o invertir, una vivienda compuesta de tres habitaciones, baño y terraza. No lo dude y contacte con nosotros.",False,good,False,True,2958.0,True,True,False,False,[],False,False,248500.0,€,flat,"Venecia - Nueva Alcalá, Alcalá de Henares","Piso en calle Murano, 4",,,,,,,,
109112513,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/d0/22/a5/1364709305.webp,07384,13,bj,193500.0,flat,sale,78.0,True,3,1,plaza de Arroyomolinos,Madrid,Móstoles,Suroeste,es,,40.3168999,-3.8668772,False,https://www.idealista.com/inmueble/109112513/,"Actualmente, no es posible realizar visitas al interior del inmueble.  Fecha de fin de contrato: 04/2027 Este atractivo piso ubicado en el corazón de Móstoles, Madrid, presenta una superficie total de 79 m² distribuidos eficientemente. La propiedad cuenta con tres cómodas habitaciones equipadas con armarios empotrados que ofrecen un amplio espacio para almacenamiento. El luminoso salón-comedor es perfecto para disfrutar momentos familiares y sociales, mientras que la cocina amueblada está lista para ser utilizada por su nuevo propietario. Además, dispone de un baño completo equipado con bañera. La ubicación del inmueble es inmejorable; se encuentra rodeado de comercios locales, restaurantes acogedores y supermercados convenientes a pocos pasos. Para los más pequeños o estudiantes hay centros educativos cercanos así como hospitales y zonas verdes donde poder relajarse al aire libre. Las conexiones son excelentes gracias a las paradas de autobús ubicadas muy cerca.",False,good,False,False,2481.0,True,False,False,False,[],False,False,193500.0,€,flat,"Suroeste, Móstoles",Piso en plaza de Arroyomolinos,,,,,,,,
97501726,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/32/9a/ed/966468647.webp,VT3.4.1,13,,545000.0,duplex,sale,181.0,True,3,2,calle Parcela C6 Los Molinos s/n,Madrid,Getafe,Los Molinos,es,,40.3179911,-3.700932,True,https://www.idealista.com/obra-nueva/97501726/,"¡LAS OBRAS ESTAN EMPEZADAS! Te presentamos un proyecto, en régimen de cooperativa de renta libre. Un edificio de 5 alturas en urbanización privada con locales comerciales y viviendas de 2 y 3 dormitorios con 1 o 2 plazas de garaje con trastero incluido. Hemos pensado en las nuevas necesidades que puedes tener, por eso todas las viviendas cuentan con terraza para que siempre tengas un espacio dentro de casa para estar al aire libre. El sistema de calefacción es por suelo radiante y refrescante consiguiendo así un mayor confort y elegancia en las estancias. La cocina está amueblada y equipada con placa de inducción y horno para que solo tengas que entrar a vivir. Diverso Getafe cuenta con zonas comunes que se han proyectado para que grandes y pequeños puedas disfrutarlas por eso incluyen zonas ajardinadas, área infantil y piscina exterior de adultos y niños. Y por supuesto, pensando en el futuro y tu economía, Diverso Getafe cuenta con etiqueta energética A. ¿Conoces Los Molinos? Nos gusta porque es un barrio nuevo residencial, pero con todos los servicios necesarios cerca para que tu día a día sea tranquilo y a la vez cómodo. Encontrarás al alcance de la mano, supermercados, colegios, parques… Además, los accesos por carretera son rápidos y muy cerca está la parada de RENFE El Casar. Reserva tu cita en nuestra página y ven a conocer tu nueva casa. *Al tratarse de viviendas en régimen de cooperativa, los precios publicados son orientativos y pueden variar.",False,newdevelopment,True,True,3011.0,True,False,False,False,[],False,False,545000.0,€,flat,"Los Molinos, Getafe",Dúplex en calle Parcela C6 Los Molinos s/n,duplex,False,True,True,,,,
107670533,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/4c/af/5d/1319315670.webp,CHA0537,38,,830000.0,chalet,sale,350.0,,5,5,"ronda de los Valles, 21",Madrid,Griñón,,es,,40.2099482,-3.8518707,True,https://www.idealista.com/inmueble/107670533/,"Sin Límites Servicios incorpora de manera exclusiva este magnífico chalet independiente de obra nueva en Griñón con detalles exclusivos de la construcción en la instalación del ladrillo toledano en fachadas exteriores, único en la zona. La vivienda consta de 360 m2 útiles aproximadamente construidos en cuatro plantas y sobre una parcela de 530 m2, con entradas y salidas a dos calles en de las mejores zonas de Griñón. El acceso principal de la vivienda se encuentra desde una de las calles dejando el acceso de los coches por la calle posterior, por consiguiente, deja libre de accesos de choches por la fachada principal para de eta manera poder explotar así su enorme potencial paisajístico en ese acceso principal. Situados en la puerta principal que da acceso a la vivienda a mano izquierda nos encontramos con un porche abierto con vistas a la parcela delantera desde el salón, donde podrá si lo desea instalar una buena piscina. Una vez que atravesamos la puerta principal nos encontramos con un gran hall de entrada que nos da acceso a mano izquierda a un espléndido salón que abarca toda el ala izquierda de esa planta, a nuestra derecha nos encontramos con una habitación muy amplia que perfectamente podría ser una de las principales de la vivienda ya que posee un gran baño completo en suite. Avanzado por el vestíbulo de entrada tenemos un baño de servicio, el acceso a las plantas supriores e inferior y al final de este nos encontraremos con una gran cocina con muchísima luz natural y salida a la parte posterior del chalet y a la zona de acceso los choches de la calle posterior. Ya situados en la planta primera nos encontramos con tres habitaciones, la principal en suite enorme con un gran vestidor y baño y una terraza impresionante que da todo el frente de la fachada principal. Mas otras dos habitaciones también muy amplias y otro baño completo que da servicio a estas y ya subiendo a la última planta nos encontramos con un gran desván o buhardilla con mucha iluminación natural.  Y por último nos situamos en la planta semisótano la cual se puede acceder tanto por el interior como por el exterior compuesta por una gran sala de usos múltiples o bodega con luz natural baño completo trastero y cuarto de caldera de gas oíl. Mas dos plazas de parquin cubierto. La rampa de acceso al parquin da lugar a que se puedan aparcar tres coches más si uno lo desea. La vivienda es impresionante podrá comprarla terminada o bien sin terminar haciendo una oferta, no duden consultarnos, venga a verla no se pierda esta oportunidad.",False,good,False,,2371.0,True,False,False,False,[],False,False,830000.0,€,chalet,Griñón,"Casa independiente en ronda de los Valles, 21",independantHouse,,True,True,,,,
107504989,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/07/99/be/1343653130.webp,685,20,5,1200000.0,flat,sale,204.0,True,3,3,calle del Aviador Zorita,Madrid,Madrid,Tetuán,es,Cuatro Caminos,40.4478055,-3.6980002,False,https://www.idealista.com/inmueble/107504989/,"Excelente piso para reformar en venta en la zona de General Perón. Madrid.  Este piso de 204 metros cuadrados cuenta con grandes posibilidades de distribución y una luminosidad excepcional. Al ingresar, un espacioso hall de entrada que da paso a un amplio salón-comedor, que se beneficia de la entrada de luz natural gracias a sus grandes ventanales. Concina con office con cuarto de lavandería y baño de servicio. Terraza interior que da un patio. La propiedad consta de 3 dormitorios, todos ellos espaciosos y luminoso. Desde aquí, se puede acceder a una encantadora terraza exterior ideal para relajarse y disfrutar del aire libre.  Además, cuenta con dos baños principales y uno de servicio.   El suelo de parque aporta calidez y estilo a todas las estancias, mientras que los armarios empotrados ofrecen un amplio espacio de almacenamiento.  Edificio con portero Amplia plaza de garaje incluida en el precio en parking cercano.",False,renew,False,True,5882.0,True,False,False,False,[],False,False,1200000.0,€,flat,"Cuatro Caminos, Madrid",Piso en calle del Aviador Zorita,,,True,True,1375000.0,175000.0,13.0,
109180023,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/0e/15/f7/1366634123.webp,Alcor60,12,,1690000.0,chalet,sale,322.0,,3,3,"calle Alcor, 60",Madrid,Majadahonda,Los Satélites - Roza Martín,es,,40.456839,-3.9154643,True,https://www.idealista.com/inmueble/109180023/,"Exclusivo chalet independiente en la Urbanización Los Satélites de Majadahonda. Situado en la Urbanización ""Los Satélites"", una de las zonas residenciales más prestigiosas de Majadahonda, este chalet combina privacidad, seguridad y proximidad a los núcleos urbanos de Majadahonda, Las Rozas, Boadilla del Monte y Pozuelo. La vivienda está rodeada de Colegios de primer nivel, Centros comerciales, Zonas de hostelería con todo tipo de restaurantes y grandes extensiones de zonas verdes, catalogadas como ""Parque Regional de la Comunidad de Madrid"". La comunicación con Madrid es excelente, pudiendo escoger entre diferentes carreteras de acceso a la capital o múltiples opciones de transporte público.   La vivienda se encuentra actualmente en proceso de construcción y se vende terminada o con un presupuesto para finalizar la obra llave en mano, por lo que es una gran oportunidad tanto para inversores, como para aquellos que quieren escoger los últimos detalles y acabados. Está edificada sobre una parcela rectangular de 521 m² y tiene con una superficie construida de 322 m², a la que se suma una piscina privada de 37 m² rodeada de jardín.   El proyecto fue concebido para ofrecer amplitud, luminosidad y confort, con una distribución equilibrada que diferencia claramente las áreas de día, de descanso y de servicios de la siguiente forma:    Primera planta: •Espacioso distribuidor. •Dormitorio principal en suite, dotado de baño completo, vestidor independiente y despacho privado. •Dos dormitorios dobles. •Un baño completo. •Vestidor. •Terraza con agradables vistas a la parcela. Planta baja: •Gran salón-comedor con salida directa al porche y al jardín. •Cocina independiente, con espacio funcional y zona de office. •Despacho. •Baño completo. •Vestíbulo de entrada. Sótano: •Garaje con capacidad para dos vehículos. •Sala polivalente que puede dedicarse a gimnasio, sala de cine, cuarto de juegos, etc. •Trastero y almacén. •Cuarto de plancha y lavandería. •Sala de instalaciones. •Distribuidor. Jardín: · La propiedad dispone de un jardín privado que rodea la vivienda, coronado por una piscina de generosas dimensiones, ideal para el disfrute familiar y social en un entorno tranquilo y exclusivo.",False,good,False,,5248.0,True,False,False,False,[],False,False,1690000.0,€,chalet,"Los Satélites - Roza Martín, Majadahonda","Casa independiente en calle Alcor, 60",independantHouse,,True,True,,,,
