propertyCode,thumbnail,numPhotos,price,propertyType,operation,size,rooms,bathrooms,address,province,municipality,district,country,neighborhood,latitude,longitude,showAddress,url,description,hasVideo,status,newDevelopment,priceByArea,hasPlan,has3DTour,has360,hasStaging,notes,topNewDevelopment,topPlus,priceInfo.price.amount,priceInfo.price.currencySuffix,parkingSpace.hasParkingSpace,parkingSpace.isParkingSpaceIncludedInPrice,detailedType.typology,detailedType.subTypology,suggestedTexts.subtitle,suggestedTexts.title,externalReference,floor,exterior,hasLift,parkingSpace.parkingSpacePrice,priceInfo.price.priceDropInfo.formerPrice,priceInfo.price.priceDropInfo.priceDropValue,priceInfo.price.priceDropInfo.priceDropPercentage,highlight.groupDescription,newDevelopmentFinished
108338171,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/cc/51/1a/1341268727.webp,41,2400000.0,chalet,sale,310.0,6,4,Barrio Montealina,Madrid,Pozuelo de Alarcón,Urbanizaciones,es,Montealina,40.4347627,-3.8458551,False,https://www.idealista.com/inmueble/108338171/,"Propiedades Pozuelo vende Chalet Independiente en la Urbanización Montealina, Tipología Levitt, modelo Encinar, de 310 m2 distribuidos en dos plantas y sobre una impecable y consolidada parcela de 2250m2 con pinos, encinas y una gran piscina Su distribución es la siguiente: Planta Principal: hall de acceso, aseo de cortesía, amplio salón de unos 80m2 con comedor independiente, dormitorio principal en suite, cocina con office reformada y dormitorio de servicio con baño. Como garaje cuenta con semicubierto para tres coches. Planta Alta: se llega a una gran espacio distribuidor que hace las veces de sala de estar o family room y por el que se accede a los cuatro dormitorios, dos baños, un estudio. Además una gran terraza solarium que comparten dos de las habitaciones. La prestigiosa urbanización de Montealina cuenta con seguridad 24 h y control de acceso.",False,good,False,7742.0,True,False,False,False,[],False,False,2400000.0,€,True,True,chalet,independantHouse,"Montealina, Pozuelo de Alarcón",Casa independiente,,,,,,,,,,
109162518,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/2b/b4/da/1366120398.webp,24,840000.0,flat,sale,98.0,3,1,paseo de San Francisco de Sales,Madrid,Madrid,Chamberí,es,Vallehermoso,40.4423613,-3.7144908,False,https://www.idealista.com/inmueble/109162518/,"¡Descubre tu nuevo hogar en el corazón de Chamberí!  Este fantástico piso, situado en el Paseo de San Francisco de Sales, la calle mas emblemática del barrio, cuenta con 98 m² construidos que ofrecen un espacio ideal para disfrutar de la vida en la ciudad. Ubicado en la 6ª planta, disfrutarás de unas vistas despejadas y una luminosidad excepcional.  El amplio salón, con acceso a una terraza, se convierte en el lugar perfecto para relajarte después de un largo día. La cocina totalmente independiente, es funcional y luminosa, lista para que prepares tus platos favoritos. Consta de tres habitaciones, equipadas con armarios empotrados y con espacio suficiente para toda la familia y un baño, con posibilidad de hacer otro.  ***En los próximos días tendremos terminado el plano arquitectónico. *** La orientación oeste garantiza luz natural durante todo el día, creando un ambiente cálido y acogedor. La calefacción individual de gas natural asegura tu confort en los meses más fríos. La finca cuenta con servicios como portero, video portero y un jardín privado de uso comunitario, ideal para disfrutar al aire libre. La ubicación es inmejorable: al lado de la estación de metro de Islas Filipinas, cerca de la estación de metro de Guzmán el Bueno y del intercambiador de Moncloa y con fácil acceso a diversas líneas de autobuses. En los alrededores encontrarás una amplia oferta de ocio, con el Teatro del Canal y zonas verdes como el Parque de Santander y el Parque del Oeste a pocos minutos. Además, la zona consta con una excelente oferta educativa y está próxima a importantes instalaciones hospitalarias como la Fundación Jiménez Díaz y el Hospital Clínico. No pierdas la oportunidad de vivir en este maravilloso piso que combina comodidad, luminosidad y una ubicación privilegiada. ¡Ven a visitarlo y enamórate de tu nuevo hogar!",False,good,False,8571.0,True,False,False,False,[],False,False,840000.0,€,,,flat,,"Vallehermoso, Madrid",Piso en paseo de San Francisco de Sales,DS001,6,True,True,,,,,,
106618571,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/b4/bf/dc/1323274733.webp,32,369500.0,flat,sale,88.0,1,1,Barrio Zona norte,Madrid,Pozuelo de Alarcón,Zona norte,es,Zona norte,40.4528672,-3.8106221,False,https://www.idealista.com/inmueble/106618571/,"LLAMA PARA CONSEGUIR TU HOGAR A TU MEDIDA  ¿Qué te parece tener el privilegio de poder vivir en una de las zonas mejor comunicadas de Pozuelo de Alarcón, con zonas amplias para aparcar y no tener que dar vuela al llegar de trabajar?  el edifico se encuentra entre las C/ Cerro de los Gamos y Avda. de las Bellas Artes, Situado en una de las áreas más codiciadas de Pozuelo de Alarcón, este encantador piso ofrece un estilo de vida inigualable en un entorno privilegiado. La propiedad cuenta con un diseño moderno y funcional, ideal para disfrutar de momentos de confort y tranquilidad. NECESITA HACER CAMBIO DE USO DE GERIATRICO A RESIDENCIAL, por parte del comprador en el Ayuntamiento de Pozuelo. ESTA PROPIEDAD ES ESPECIAL Con un espacio generoso, el apartamento destaca por su distribución optimizada, con amplia habitación que permiten una excelente entrada de luz natural. La finca cuenta con un garaje privado, lo que garantiza la comodidad y seguridad de tu vehículo. Además, dispone de zonas comunes como un gran Lobbie y recepción y comedor con terraza, lavandería y hasta una sala de GYM, es ideal para el concepto CO-LIVING ó SINGLE-HOME...podrás contar con los servicios de un conserje, quien se encargará del mantenimiento y la seguridad del edificio, añadiendo un valor adicional a tu hogar. El edificio, catalogado por su antigua dotación como antigua residencia de Ballesol, (*****) luxury, preserva la esencia del entorno mientras ofrece todas las comodidades propias de una construcción moderna, incluyendo dos líneas de ascensor y unas zonas en común en mármol ascensor para facilitar el acceso a todos los pisos. UBICACION Y ENTORNO: Este inmueble se encuentra en un entorno que favorece la vida familiar y social, con acceso a diversas opciones de ocio y servicios. La zona está rodeada de zonas verdes como el parque de Carcavas y una amplia oferta gastronómica que satisfará todos tus antojos a pocos min. que ofrece este estupendo municipio de Madrid, Para aquellos que valoran la educación, en sus alrededores hay una selección de colegios de prestigio que garantizan una formación de calidad para tus hijos. Tanto concertados como públicos, el área ofrece parques y espacios al aire libre, ideales para disfrutar de actividades en familia o practicar deportes. ES IMPORTANTE SABER QUE: En cuanto a los medios de transporte, la localización de este piso te ofrece una conexión excelente con el resto de la ciudad. Con paradas de autobús justo a la salida de la urbanización y el acceso a principales vías, desplazarte hacia Madrid o cualquier punto de interés será una tarea sencilla y cómoda. Las conexiones de transporte público permiten explorar la ciudad sin complicaciones, lo que convierte a esta vivienda en una opción ideal tanto para familias como para profesionales que buscan un hogar en una de las zonas más tranquilas y seguras de Pozuelo de Alarcón. No pierdas la oportunidad de visitar este espectacular piso, donde cada rincón ha sido diseñado para disfrutar de la vida en su máxima expresión. Un lugar que no solo se convierte en vivienda, sino en un verdadero hogar. ( El PVP indicado no incluye impuestos ni gastos de Escritura ).  PARA PROPIETARIOS:  ¿Necesitas vender para comprar? te ayudamos coordinándolo todo y con hipoteca cambio de casa. ¿Tienes prisa en vender? te ofrecemos una venta rápida con todas las garantías. ¿Necesitas una hipoteca? en donpiso la encuentras y en condiciones preferentes. ¿Herencias?, ¿Divorcios?, te ayudamos y coordinamos todo. Infórmate:.",False,good,False,4199.0,False,False,False,False,[],False,False,369500.0,€,,,flat,,"Zona norte, Pozuelo de Alarcón",Piso,289043,2,True,True,,,,,,
109164137,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/d7/de/4a/1366153932.webp,82,179000.0,flat,sale,50.0,1,1,avenida de Tenerife,Madrid,San Sebastián de los Reyes,Praderón,es,,40.5601702,-3.6274317,False,https://www.idealista.com/inmueble/109164137/,"LOFT AVENIDA DE TENERIFE PRIMERA PLANTA, GARAJE, DORMITORIO, COCINA EQUIPADA. RENTABILIDADES ENTORNO AL 6,5 %. JUNTO AL PARQUE DE LA MARINA Y EL HOSPITAL INFANTA SOFIA.   Pregúntanos porque aun nos queda alguno más de otros tamaños y precios. Desde 179.000 hasta 240.000 € Este en concreto es el loft número 26 de la planta primera. VER PLANO  IMPORTANTE, LA COMPRA VA GRAVADA CON EL 6% DE ITP, NO CON EL 21% DE IVA, lo que es un gran ahorro. HOOME SOLUCIONES INMOBILIARIAS te ofrece la posibilidad de invertir de la forma más novedosa, segura y rentable que hay actualmente. Ni bancos, ni fondos, ni el Tesoro Público te van a dar más por tu inversión. ¿Por qué es una inversión muy rentable? Porque no existe un producto igual en el Norte de Madrid, plaza de garaje, Porque los inmuebles similares con garaje mas baratos en alquiler en San Sebastian de los Reyes parten de los 750€. Porque el perfil de inquilino es fantástico, profesionales de audiovisuales, médicos, enfermeros, profesionales del retail.. .  TE HACEMOS LOS NÚMEROS:  950X12=11.400 €/ANUALES.  ESO ES UNA RENTABILIDAD BRUTA ANUAL DEL 6,5 %  Proyecto de REACONDICIONAMIENTO bajo declaración responsable y licencia de segregación. Finalización de la rehabilitación prevista segundo trimestre de 2026.  Condiciones de la operación: Reserva de 3.000 €. 20% del importe del Loft a la firma del contrato de arras. 20% a los 2 meses de la firma del contrato de arras. 60% a la finalización de la obra y escritura pública de compraventa ante Notario.  No dude en ponerse en contacto con nosotros para ampliar la información en el o en  *IMPUESTOS NO INCLUIDOS en el precio.  Las infografías y los planos son meramente orientativos, reservándose la Promotora la facultad de introducir aquellas modificaciones que, por razones técnicas o jurídicas, sean necesarias o convenientes para la correcta finalización de la reforma o que sean ordenadas por los organismos competentes.  Las imágenes de este anuncio son orientativas y no vinculantes a nivel contractual. Consúltenos mediante vía telefónica correo a o a través de nuestro formulario de contacto en hoome. com. es.",False,good,False,3580.0,True,False,False,False,[],False,False,179000.0,€,True,False,flat,,"Praderón, San Sebastián de los Reyes",Piso en avenida de Tenerife,2155,1,True,True,10000.0,,,,,
105916747,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/56/73/22/1266935428.webp,24,515000.0,chalet,sale,220.0,4,2,"SIERRA BONITA, 1",Madrid,El Boalo,,es,,40.7198031,-3.9196432,True,https://www.idealista.com/inmueble/105916747/,"Alfa El Duende Alcalde les ofrece chalet independiente en urbanización Sierra Bonita en El Boalo. Ubicación ideal para quiénes buscan vivir en plena naturaleza y tranquilidad, pero a la vez cerca del casco urbano. La casa consta de dos plantas, que se distribuyen en planta baja encontramos garaje, gran salón-bodega con zona de juegos, baño completo y trastero. En la primera planta encontramos 4 dormitorios con armarios empotrados, baño completo, salón-comedor, cocina con terraza, distribuidor y pequeño porche. Caldera independiente Gasoil. El inmueble se encuentra ubicado en parcela de 683 m2, con gran piscina, pérgola de madera, y amplias zonas de jardín con césped. El Boalo se encuentra ubicado a tan sólo 45 minutos en coche de Madrid.  Ideal para los aficionados de la naturaleza y actividades al aire libre al encontrarnos a tan sólo 10 minutos del Parque Regional de la Pedriza.",True,good,False,2341.0,True,False,False,False,[],False,False,515000.0,€,True,True,chalet,independantHouse,El Boalo,"Casa independiente en Sierra Bonita, 1",,,,,,,,,,
108592443,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/4e/d5/f0/1349388717.webp,60,975000.0,flat,sale,121.0,3,2,"CL FERNANDEZ DE LOS RIOS, 95",Madrid,Madrid,Chamberí,es,Gaztambide,40.4349844,-3.7174379,True,https://www.idealista.com/inmueble/108592443/,"¡Sin comisión de agencia! - PRECIO DE TASACIÓN OFICIAL. Mejora tu estilo de vida en este exquisito piso con TERRAZA ACRISTALADA Y VISTAS DESPEJADAS, AMPLIO SALÓN CON CHIMENEA, 3 DORMITORIOS Y 2 BAÑOS, GARAJE Y TRASTERO. Ubicado en el vibrante corazón de Madrid. Con 121m² construidos, cuidadosamente diseñado, esta casa ofrece el lienzo perfecto para tus aspiraciones.  Adéntrate en un mundo de elegancia contemporánea, donde cada detalle ha sido cuidadosamente seleccionado para tu comodidad y placer. La espaciosa sala de estar te da la bienvenida con sus cálidos suelos de madera y una elegante y moderna chimenea: el entorno ideal para veladas acogedoras o para recibir amigos. Los grandes ventanales inundan el espacio de luz natural, creando un ambiente amplio y acogedor. La elegante y bien equipada cocina es el sueño de cualquier entusiasta de la cocina, combinando a la perfección funcionalidad y estilo. Junto a la cocina, encontrarás un encantador comedor, perfecto para cenas íntimas o reuniones animadas. Para quienes teletrabajan, un espacio de oficina dedicado ofrece un remanso de paz para la productividad y la creatividad. Retírate al tranquilo dormitorio principal, un remanso de paz de 11m². Ambos dormitorios cuentan con amplios armarios. Los dos modernos baños cuentan con duchas con mampara de cristal, grifería elegante y líneas limpias, ofreciendo una experiencia de spa en la comodidad de su hogar. Este apartamento no solo ofrece comodidad interior: salga a su terraza acristalada, de vistas despejajas y respire la vibrante energía de Madrid. Es el lugar perfecto para tomar un café por la mañana o un aperitivo por la noche mientras observa cómo la ciudad cobra vida. Plaza de garaje en el mismo edificio, de fácil maniobra y con capacidad para coche grande. Olvidate de buscar parking horas y horas, disfruta de las comodidades que esta vivienda te ofrece. Y para los que siempre necesitan un extra, la vivienda cuenta con trastero, ideal para guardar todo aquello fuera de temporada.  En cuanto a las zonas comunes, disfruta de un amplio recibidor propio de edificios coloniales. Con servicio de conserjería de mañana y tarde de lunes a viernes, acceso con cámaras de vídeo vigilancia.  IBI vivienda: 815,00€ IBI garaje: 81,08€  COMUNIDAD vivienda: 344,00€ COMUNIDAD garaje: 25,00€ Con su ubicación privilegiada en la calle Fernández de los Ríos, está en el lugar perfecto para disfrutar de lo mejor de la cultura, la gastronomía y la vida nocturna de Madrid. Esta propiedad llave en mano es más que un hogar; es una invitación a abrazar el sofisticado estilo de vida urbano que siempre ha soñado. No pierda esta oportunidad de hacer realidad sus sueños madrileños.",True,good,False,8058.0,True,True,False,False,[],False,False,975000.0,€,True,False,flat,,"Gaztambide, Madrid","Piso en CL Fernandez De Los Rios, 95",MCM-0095D6,6,True,True,40000.0,1015000.0,40000.0,4.0,,
109093834,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/7e/35/30/1364178574.webp,27,899000.0,flat,sale,177.0,4,2,calle Suecia,Madrid,Pozuelo de Alarcón,Zona Avenida Europa,es,Zona Avenida Europa,40.435516,-3.7974039,False,https://www.idealista.com/inmueble/109093834/,"Inmejorable oportunidad de 4 habitaciones y 2 baños, en Pozuelo de Alarcón. 177 m2 construidos. 153 m2 útiles. Orientación Este. Terraza. Armarios empotrados, suelo de parquet, ventanas de aluminio y puertas de roble. Calefacción por hilo radiante y aire acondicionado. Dispone de una plaza de garaje. Trastero comunitario. Piscina comunitaria. Ascensor. NO PIERDA ESTA OPORTUNIDAD Y CONTACTE CON NOSOTROS PARA REALIZAR UNA VISITA. Daurum Estate ofrece conseguir la mejor financiación a su medida hasta el 100% del valor de compra venta sea nuestra la vivienda o no. INFORMACIÓN SIN COMPROMISO en el mismo número de teléfono del anuncio. Además, posibilidad de servicio de reformas para acomodar la vivienda a su gusto.",False,renew,False,5079.0,True,False,False,False,[],False,False,899000.0,€,True,True,flat,,"Zona Avenida Europa, Pozuelo de Alarcón",Piso en calle Suecia,76629,2,True,True,,,,,,
108568081,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/2d/33/73/1348686268.webp,17,2390000.0,penthouse,sale,205.0,4,2,Barrio Almagro,Madrid,Madrid,Chamberí,es,Almagro,40.4331108,-3.6979074,False,https://www.idealista.com/inmueble/108568081/,Ana Bareño de GV | ALMAGRO comercializa el siguiente inmueble: Atico de 205 metros cuadrados con terraza y orientación Sur en Almagro. En un precioso edificio clásico con portal señorial y ascensor de jaula situado en una de las calles más elegantes del barrio de Almagro encontramos esta estupenda vivienda lista para entrar a vivir aunque también tiene multiples posibilidades de actualización. Distribución: Hall de entrada. Salón. Comedor. Dos terrazas. Cuarto de estar. Cuarto de dormir con cuarto de baño en suite. Tres cuartos de dormir. Cuarto de baño. Cocina con entrada de servicio. Plaza de garaje Esta información no tiene Carácter contractual. Un porcentaje importante de nuestros inmuebles no aparecen publicados por expreso deseo de los propietarios. Para más información sobre más propiedades en esta zona entre en nuestra página web.,False,good,False,11659.0,False,False,False,False,[],False,False,2390000.0,€,True,True,flat,penthouse,"Almagro, Madrid",Ático,530180,7,True,True,,,,,,
106703268,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/67/21/fb/1291484451.webp,11,4500000.0,flat,sale,363.0,4,5,calle de Zurbano,Madrid,Madrid,Chamberí,es,Almagro,40.4313875,-3.6936786,False,https://www.idealista.com/inmueble/106703268/,"DIZA consultores les presenta esta fabulosa vivienda ubicada en la tercera planta de un edificio señorial.  Este luminoso piso, completamente reformado con calidades de lujo está listo para entrar a vivir. Su excelente distribución combina comodidad y estilo, con estancias amplias y bien iluminadas. La vivienda dispone de: 4 dormitorios, todos con baño en suite, diseñados con acabados de primera calidad. Zona de lavandería independiente. Un aseo de visitas. Una impresionante zona social con un diseño diáfano que integra la cocina de lujo con isla/península y el salón-comedor, creando un ambiente acogedor y funcional. Cada rincón de este hogar ha sido cuidadosamente diseñado para maximizar la luz natural, ofreciendo espacios cálidos y sofisticados que se adaptan perfectamente a un estilo de vida moderno y exclusivo. Convertimos Sueños en Hogares.",False,good,False,12397.0,False,False,False,False,[],False,False,4500000.0,€,,,flat,,"Almagro, Madrid",Piso en calle de Zurbano,DS-P22696B,3,True,False,,,,,,
108132540,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/41/62/29/1334834015.webp,43,250000.0,flat,sale,45.0,1,1,calle de las Maldonadas,Madrid,Madrid,Centro,es,Lavapiés-Embajadores,40.4118739,-3.7093353,False,https://www.idealista.com/inmueble/108132540/,"GALOTA INVERSIONES E INMOBILIARIA VENDE HERMOSO PISO EXTERIOR TIPO ÁTICO    Comunícate con nosotros escribiendo al WhatsApp 604_89_3314    Rentabilidad del 5%  Distribución:  1 Dormitorio 1 Baño Salón  Comedor  Cocina Independiente    Este piso dispone de 1 dormitorio amueblado  Area de salón y comedor acogedora La cocina se encuentra equipada con electrodomésticos, vitrocerámica eléctrica, frigorífico, campana extractora, lavadora, horno y muebles de cocina superior e inferior. Ubicado al lado del metro latina y el mercado la cebada    IBI 248 COMUNIDAD 70 Somos una inmobiliaria comprometida con los intereses de nuestros clientes, brindamos un servicio personalizado donde nos encargamos de todo el proceso para conseguir la máxima rentabilidad en la adquisición de cada propiedad. Tenemos por misión proporcionarles a nuestros clientes un asesoramiento integral y personalizado, cumpliendo con sus expectativa y necesidades al adquirir una propiedad.  Nuestra visión, está en convertirnos en la empresa de referencia del sector inmobiliario de Madrid, donde cada persona integrada en este mercado piense en nosotros como primera opción al momento de comprar, vender o alquilar una propiedad.  Nos regimos mediante los valores:  Transparencia- Profesionalidad - Ética - Honestidad -Responsabilidad    Valores que nos permite brindarle un asesoramiento idóneo a nuestros clientes, ahorrándoles tiempo y garantizándoles el mejor precio del mercado.  Galota inversiones e inmobiliaria te espera.",True,good,False,5556.0,True,False,False,False,[],False,False,250000.0,€,,,flat,,"Lavapiés-Embajadores, Madrid",Piso en calle de las Maldonadas,AG-MALDN250K,5,True,False,,,,,,
