propertyCode,thumbnail,externalReference,numPhotos,price,propertyType,operation,size,rooms,bathrooms,address,province,municipality,district,country,latitude,longitude,showAddress,url,description,hasVideo,status,newDevelopment,priceByArea,hasPlan,has3DTour,has360,hasStaging,notes,topNewDevelopment,topPlus,priceInfo.price.amount,priceInfo.price.currencySuffix,parkingSpace.hasParkingSpace,parkingSpace.isParkingSpaceIncludedInPrice,detailedType.typology,detailedType.subTypology,suggestedTexts.subtitle,suggestedTexts.title,floor,exterior,neighborhood,hasLift,parkingSpace.parkingSpacePrice,newDevelopmentFinished,priceInfo.price.priceDropInfo.formerPrice,priceInfo.price.priceDropInfo.priceDropValue,priceInfo.price.priceDropInfo.priceDropPercentage
107675972,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/9b/17/48/1332312933.webp,DG2507,45,679000.0,chalet,sale,363.0,4,3,CORREDERAS DE LAS s/n,Madrid,Galapagar,Casco Antiguo,es,40.5765326,-4.0057563,True,https://www.idealista.com/inmueble/107675972/,"Esta maravillosa propiedad es presentada por Clikasa, la inmobiliaria que te acompaña en cada paso hacia tu nuevo hogar. ¡Ven a explorar todo lo que este lugar tiene para ofrecerte! ¡COMPRA SIN HONORARIOS DE AGENCIA!  ¡Bienvenido a tu nuevo refugio en Galapagar! Imagina vivir en una espectacular casa/chalet independiente, donde el encanto rústico se encuentra con la modernidad. Construida en 1975 y con una sólida base de piedra que refleja su durabilidad, esta joya de 336 m² se alza majestuosamente sobre una generosa parcela de 1.327 m², garantizando la privacidad y la tranquilidad que mereces en un entorno sereno. Al cruzar el umbral de la planta principal, serás saludado por un amplio hall que invita a explorar. El luminoso salón, adornado con una acogedora chimenea, se convierte en el lugar perfecto para reuniones inolvidables y momentos familiares entrañables. La cocina, generosa en espacio y luz, ofrece vistas deslumbrantes al jardín, donde podrás disfrutar de una barbacoa exquisita y refrescarte en la piscina en los días soleados. Con cuatro acogedores dormitorios, dos baños y un aseo, esta casa está diseñada para el confort y la funcionalidad que tu familia requiere. Descubre el encantador salón-comedor en la planta inferior, una sala de ocio a dos alturas que se adapta perfectamente a tus actividades, ya sean relajantes o festivas. La calefacción por gasóleo asegura un ambiente cálido y acogedor en cada rincón durante todo el año, mientras que los armarios empotrados te ofrecen soluciones de almacenamiento ingeniosas para mantener el orden. No dejes pasar la oportunidad de convertir esta maravillosa propiedad en tu hogar ideal. ¡Ven a explorar todo lo que este lugar tiene para ofrecerte! Los datos específicos sobre la finca publicada, pueden ser aproximados, por ello no son vinculantes ni contractuales, se muestran a título informativo. Impuestos y gastos NO INCLUIDOS: ITP o IVA, notaría, registro, gestoría, tasación, etc.",True,good,False,1871.0,True,False,False,False,[],False,False,679000.0,€,True,True,chalet,independantHouse,"Casco Antiguo, Galapagar",Casa independiente en Correderas De Las s/n,,,,,,,,,
105443774,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/85/da/cd/1269252388.webp,EXP07683,26,999000.0,flat,sale,125.0,3,2,calle de Alcalá,Madrid,Madrid,Barrio de Salamanca,es,40.4278415,-3.6685326,False,https://www.idealista.com/inmueble/105443774/,"Descubre la joya inmobiliaria que estabas buscando en una de las zonas más codiciadas de Madrid. Ubicada al lado de la emblemática Plaza de Manuel Becerra, esta vivienda no solo goza de una localización inmejorable, sino que también está excelentemente comunicada, con acceso inmediato a transporte público y principales arterias de la ciudad. Características destacadas: - *Reforma integral de primeras calidades*: Cada detalle de esta vivienda ha sido cuidadosamente seleccionado para ofrecer el máximo confort y elegancia. - *Amueblada y equipada*: Se vende con mobiliario moderno y electrodomésticos de alta gama de las marcas Bosch y Balay, listos para que entres a vivir sin preocupaciones. - *Espacios abiertos y luminosos*: La cocina, abierta al salón comedor, crea un ambiente acogedor y funcional. Los cuatro grandes ventanales al exterior inundan el espacio de luz natural, creando una atmósfera cálida y acogedora. - *Confort en cada rincón*: La vivienda dispone de tres habitaciones con amplios armarios empotrados, diseñados para maximizar el espacio y la organización. La habitación principal, con baño en suite, es un oasis de privacidad y comodidad. - *Dos baños completos*: Modernos y elegantes, perfectos para satisfacer las necesidades de toda la familia. - *Climatización perfecta*: Disfruta de aire acondicionado central y calefacción por gas natural, garantizando una temperatura ideal en todas las estaciones del año. Esta vivienda es una oportunidad única para quienes buscan calidad, confort y una ubicación privilegiada. ¡No dejes pasar esta ocasión y contáctanos para más información o para concertar una visita!",True,good,False,7992.0,True,False,False,False,[],False,False,999000.0,€,,,flat,,"Goya, Madrid",Piso en calle de Alcalá,1,True,Goya,True,,,,,
99077660,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/4b/88/61/1032795757.webp,JJ2099,7,1830000.0,flat,sale,169.0,3,3,Barrio Recoletos,Madrid,Madrid,Barrio de Salamanca,es,40.422869,-3.6833776,False,https://www.idealista.com/inmueble/99077660/,"Fortuny Real Estate ofrece en venta inmueble de 169m2, situado en la 6ta planta de una finca en el Barrio de Salamanca, en Recoletos. Se trata de una propiedad con mucha luz natural, excelente ubicación, necesita una pequeña actualización. Se encuentra distribuida por un amplio salón comedor con acogedora terraza, es un inmueble interior a patio de manzana con mucha luz. La zona de descanso cuenta con 3 dormitorios, el principal de ellos en suite, habitación de servicio con cuarto de baño. La finca dispone de plaza de garaje y tratero. La gran mayoría de los inmuebles que tenemos en esta zona solo se encuentran en nuestra web. Visite nuestra página y descubra exclusivas viviendas. Fortuny Madrid Real Estate es una empresa joven y emprendedora, formada por un grupo de consultores inmobiliarios especializados en la zona Prime de Madrid, creada con el objetivo de satisfacer las necesidades de los clientes más exigentes.",False,good,False,10828.0,False,False,False,False,[],False,False,1830000.0,€,True,False,flat,,"Recoletos, Madrid",Piso,6,False,Recoletos,True,40000.0,,,,
108350361,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/22/6e/b9/1343544163.webp,431ba830-2cb0-421f-8436-231211ca6c78,9,1990000.0,chalet,sale,1000.0,9,7,avenida del Monte,Madrid,Santo Domingo,,es,40.6285621,-3.576739,False,https://www.idealista.com/inmueble/108350361/,"Propiedad con gran potencial en una de las zonas más exclusivas del norte de Madrid Se ofrece una finca singular con amplias posibilidades de transformación, ideal tanto para quienes desean crear una residencia exclusiva como para inversores que buscan una propiedad de alto valor estratégico. Con una parcela de 3.700 m², esta propiedad ofrece privacidad, amplitud y fácil conexión con el centro de Madrid. La construcción principal destaca por su gran tamaño y solidez estructural, acompañada de edificaciones independientes que pueden adaptarse como zonas de invitados, alojamiento para personal o unidades complementarias. En total, la finca cuenta con 10 habitaciones y 8 baños, lo que permite una gran versatilidad según las necesidades del comprador. Entre los extras incluidos se encuentran una piscina privada, cancha de tenis, y un garaje de gran capacidad, ideal para coleccionistas de vehículos o familias numerosas. Además, el terreno alberga jardines con gran potencial paisajístico, perfectos para diseñar espacios exteriores únicos. La propiedad requiere reforma, lo que representa una oportunidad única para personalizar cada rincón según el estilo y las preferencias del nuevo propietario. Es el lienzo perfecto para materializar una visión exclusiva. Características exteriores y zonas comunes: Piscina privada Cancha de tenis Jardines con potencial de diseño paisajístico Amplio garaje para varios vehículos Construcciones auxiliares independientes Gran privacidad en todo el perímetro Ubicación: Situada en Santo Domingo, Algete (Madrid), en una de las urbanizaciones más tranquilas y seguras del entorno madrileño. La finca se encuentra a solo 20 minutos del centro de Madrid y del aeropuerto, lo que garantiza un acceso cómodo tanto para la vida diaria como para desplazamientos frecuentes. La zona combina naturaleza, exclusividad y proximidad a todos los servicios esenciales.",False,renew,False,1990.0,False,False,False,False,[],False,False,1990000.0,€,True,True,chalet,independantHouse,Santo Domingo,Casa independiente en avenida del Monte,,,,,,,,,
108974650,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/54/88/2f/1360571054.webp,IDE-25-002,10,1099000.0,flat,sale,72.0,2,2,CL CONDE DE PEÑALVER,Madrid,Madrid,Barrio de Salamanca,es,40.4301075,-3.6761232,False,https://www.idealista.com/inmueble/108974650/,"Lista comparte la exclusividad propia del distrito Salamanca. Cerca se encuentra la Milla de Oro de Ortega y Gasset, con firmas de alta costura, joyerías de referencia y galerías que fijan la pauta del lujo en Madrid. La conexión es directa: diversas estaciones de metro como Lista, Núñez de Balboa o Diego de León se apoyan en varias líneas de autobús que recorren Conde de Peñalver y Príncipe de Vergara, así como en accesos rápidos a la M-30. Esta primera planta destaca por su distribución equilibrada, materiales nobles y una atmósfera sofisticada.  - 72m² Construidos - 62m² útiles - Dos dormitorios dobles - Dos baños completos - Amueblado - Cocina equipada - Ascensor - Portería Situado a escasos pasos del intercambiador de Diego de León, Lista y el Parque de El Retiro, ofrece una ubicación estratégica con potencial de revalorización en una de las zonas más demandadas y sólidas de Madrid.",True,good,False,15264.0,True,False,False,False,[],False,False,1099000.0,€,,,flat,,"Lista, Madrid",Piso en CL Conde De Peñalver,1,False,Lista,True,,,,,
107967277,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/6f/e0/1f/1329736416.webp,AHV066,33,223300.0,flat,sale,46.0,1,1,"calle de Santa Ana Baja, 21",Madrid,Madrid,Fuencarral,es,40.4958331,-3.6890475,True,https://www.idealista.com/inmueble/107967277/,"Acogedor Bajo con Patio en la Calle Santa Ana Baja, tu nuevo hogar te espera en Tres Olivos. ASÍ Hogar tiene el placer de presentar esta excelente oportunidad en la venta de un acogedor bajo ubicado en la tranquila y céntrica calle Santa Ana Baja, en Tres Olivos. Este piso de 50,82 metros cuadrados está perfectamente distribuido para aprovechar al máximo cada rincón, ofreciendo comodidad y funcionalidad. El espacio se distribuye en un pasillo, un dormitorio, un baño, una cocina independiente y un salón-comedor ideal para tus momentos de relajación y convivencia. Con una orientación Norte, la vivienda disfruta de una agradable frescura natural durante todo el día. Una de las joyas de esta propiedad es su patio privado de 40 metros cuadrados, un espacio exterior que no solo ofrece un lugar perfecto para disfrutar del aire libre, sino que también permite la entrada de luz natural, brindando luminosidad a toda la vivienda y creando una atmósfera cálida y acogedora. Oportunidad atractiva para inversores, la vivienda está actualmente alquilada, inquilino al corriente de pagos, posibilidad de revisar renta a la finalización del contrato. También es atractivo para compradores que no tengan prisa en instalarse en la vivienda, comprar a buen precio y obtener unas rentas hasta ese momento. ¡Consúltanos! Zonas y servicios cercanos: Esta propiedad se encuentra rodeada de una amplia variedad de servicios que harán tu día a día mucho más cómodo. En la zona podrás disfrutar de restaurantes como Casa Pedro o el Kebab Fuencarral para tus momentos de ocio. También contarás con varias farmacias cercanas como Farmacia Casero Carretero, Farmacia Vega y Farmacia Ramos Juárez Francisco. Para las familias, hay excelentes opciones educativas como el Centro Privado de Educación Infantil, Primaria y Colegio de Educación Especial Francisco del Pozo, Colegio concertado Sagrado Corazón, garantizando una gran oferta escolar a pocos pasos de tu nuevo hogar. En cuanto a supermercados y comercios de proximidad, podrás visitar El Obrador de Valentín Baena, Frutería Fuencarral o el Mini supermercado, todos a pocos minutos de la propiedad, para hacer tus compras diarias de forma fácil y rápida. Por si fuera poco, en cuanto a servicios médicos, tendrás a tu disposición el Hospital Universitario Ramón y Cajal, uno de los principales hospitales de la zona, para cualquier necesidad de salud. El transporte público es también una de las grandes ventajas de esta ubicación. Estarás muy cerca de paradas como Nuestra Señora de Valverde-Sumatra, Afueras a Valverde, y Nuestra Señora Valverde Manuel Villarta, facilitando tus desplazamientos a cualquier punto de la ciudad. En las estaciones cercanas a Santa Ana 21 y Tres Olivos, podrás tomar diversas líneas de autobuses, como el bus 154, bus 66 y bus 137 que conectan rápidamente con otras zonas de Madrid. También contarás con la cercanía de la estación de metro de Fuencarral y la estación de Renfe de Fuencarral, lo que te permitirá moverte de manera eficiente tanto dentro de la ciudad como hacia otras localidades. Si lo tuyo es disfrutar de la naturaleza, tendrás a tu disposición varios parques cercanos como el Parque Fuente Chica, el Parque de Santa Ana y el Parque Fuencarral, perfectos para paseos y actividades al aire libre. NOTA: Contamos con más propiedades disponibles además de las que ves en Idealista. Te invitamos a descubrirlas visitando nuestra página web. ATENCIÓN: La información incluida en esta propiedad, no es vinculante y no forma parte de ninguna oferta o contrato y puede estar sujetas a cualquier modificación que nos solicite los propietarios.",True,good,False,4854.0,True,False,False,False,[],False,False,223300.0,€,,,flat,,"Tres Olivos - Valverde, Madrid","Piso en calle de Santa Ana Baja, 21",bj,True,Tres Olivos - Valverde,False,,,,,
108123635,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/00/22/0f/1334556498.webp,KP2-1024,19,1250000.0,flat,sale,100.0,2,2,calle de Ayala,Madrid,Madrid,Barrio de Salamanca,es,40.426798,-3.676087,False,https://www.idealista.com/inmueble/108123635/,"En pleno corazón del Barrio de Salamanca, este piso de 100 m² destaca por su reforma integral de lujo y un diseño pensado al detalle: dos dormitorios (uno en suite), dos baños modernos, una cocina totalmente equipada con zona de office y un salón espectacular con dos balcones que inundan de luz natural todo el espacio. Acabados premium como armarios empotrados, puertas de suelo a techo, iluminación LED con sensor en rodapiés, ventanas con persianas motorizadas de seguridad, climatización por conductos y calefacción central lo convierten en un hogar cómodo, elegante y listo para entrar a vivir. El edificio cuenta con ascensor y portero. Ideal para quienes buscan estilo, confort y ubicación. Además cuenta con número para corta estancia.",True,good,False,12500.0,True,False,False,False,[],False,False,1250000.0,€,,,flat,,"Goya, Madrid",Piso en calle de Ayala,1,True,Goya,False,,,,,
108465257,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/e6/cc/ae/1349566243.webp,VIVEXROB019,23,85000.0,flat,sale,38.0,2,1,Robledo de Chavela,Madrid,Robledo de Chavela,,es,40.4976064,-4.2407434,False,https://www.idealista.com/inmueble/108465257/,"¡VENDE CON NOSOTROS DESDE SOLO EL 1,9%! ¡CONSEGUIMOS HASTA EL 100 % DE FINANCIACIÓN! � ¡ATENCIÓN INVERSORES! PISO RECIÉN REFORMADO EN EL CASCO URBANO DE ROBLEDO DE CHAVELA CON RENTABILIDAD INMEDIATA �� Inmobiliaria LOCATIVO te presenta una oportunidad única de inversión en uno de los municipios con mayor proyección de la Sierra Oeste de Madrid. Situado en pleno casco urbano de Robledo de Chavela, este coqueto piso ofrece rentabilidad desde el primer minuto con contrato de alquiler en vigor por 450€/mes (suministros aparte). Una opción perfecta si buscas ingresos estables y un inmueble de bajo mantenimiento, recién reformado, eficiente y con una excelente relación calidad-precio. ✨ CARACTERÍSTICAS PRINCIPALES: •�️ 2 dormitorios bien distribuidos, con buena iluminación natural. •�️ Salón acogedor, perfecto tanto para vivienda habitual como para alquiler continuo. •�️ Cocina independiente, moderna y funcional, equipada tras la reforma. •� Cuarto de baño completo, actualizado con acabados actuales y prácticos. •� Reforma integral reciente, lista para no tener que invertir más. •� Ventanas nuevas y aislamiento mejorado, que garantiza eficiencia energética y confort térmico/acústico durante todo el año. � UBICACIÓN INMEJORABLE PARA INQUILINOS Y RESIDENTES Situado en una zona tranquila y céntrica, con todos los servicios esenciales a menos de cinco minutos andando: supermercados, colegio, centro de salud, estación de tren Cercanías (línea C-3 a Madrid), farmacias, bares y comercios locales. � IDEAL PARA INVERSORES: • Contrato de alquiler activo por 450€/mes, rentabilidad asegurada desde el primer día. • Fácil mantenimiento y sin gastos adicionales por reforma. • Alta demanda de alquiler en la zona por su cercanía a Madrid, su entorno natural privilegiado y su red de transporte. � No dejes escapar esta oportunidad de inversión sólida, segura y rentable en uno de los enclaves más buscados de la Sierra de Madrid. Ponte en contacto con nosotros y descubre por qué Robledo de Chavela es mucho más que una buena inversión. LOCATIVO INMOBILIARIA – Rentabilidad con vistas.  AVDA. VILLANUEVA DE LA CAÑADA 35, LOCAL 1 QUIJORNA 28693 PARQUE EMPRESARIAL “LA FINCA” PASEO CLUB DEPORTIVO 1, EDIFICIO 4 POZUELO 28223 [IW].",True,good,False,2237.0,False,False,False,False,[],False,False,85000.0,€,,,flat,,Robledo de Chavela,Piso,1,True,,False,,,,,
107800181,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/f4/4a/2d/1324128227.webp,TIPO 1a-S 1b-S,19,470500.0,chalet,sale,163.0,4,3, Los Almendros s/n,Madrid,Cubas de la Sagra,,es,40.1956438,-3.8481286,True,https://www.idealista.com/obra-nueva/107800181/,"Una exclusiva promoción de 24 viviendas unifamiliares pareadas en amplias parcelas independientes, en la calle Los Almendros de Cubas de la Sagra. Tu verdadero hogar, disfruta de la amplitud y la comodidad, con distribuciones útiles y funcionales, y un diseño innovador y atractivo.  Una vivienda moderna y sostenible, con calificación energética “A”, respetuoso con el medio ambiente y energéticamente eficiente. Con la posibilidad de personalizar tu vivienda y adaptarla a tus necesidades específicas, para hacer realidad tu hogar ideal, único y exclusivo, con acabados de primera calidad a elegir.   En un entorno privilegiado, en una zona residencial tranquila, con todo lo que necesitas a tu alcance, y a tan solo 30 minutos de Madrid.",False,newdevelopment,True,2887.0,True,False,False,False,[],False,False,470500.0,€,True,True,chalet,semidetachedHouse,Cubas de la Sagra,Chalet pareado en Los Almendros s/n,,,,,,False,,,
108472834,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/6f/6e/ef/1357008295.webp,VIVEXVDQ001,44,177000.0,chalet,sale,186.0,3,1,Valdemaqueda,Madrid,Valdemaqueda,,es,40.5111672,-4.3002128,False,https://www.idealista.com/inmueble/108472834/,"¡VENDE CON NOSOTROS DESDE SOLO EL 1,9%! ¡CONSEGUIMOS HASTA EL 100 % DE FINANCIACIÓN! ¿Estás buscando un chalet independiente en plena naturaleza, a solo unos pasos del centro del Estás pueblo, con vistas que te dejen sin aliento y espacio para crear el hogar de tus sueños? ¡Esta es tu oportunidad! Inmobiliaria LOCATIVO presenta esta exclusiva vivienda en el encantador municipio de Valdemaqueda, una joya por descubrir en la Sierra Oeste de Madrid. A tan solo 5 minutos andando de la plaza principal, disfrutarás de todos los servicios (centro de salud, colegio, supermercado, restaurantes, transporte público, etc.) sin renunciar a la tranquilidad de vivir rodeado de monte y aire puro. ________________________________________ � CARACTERÍSTICAS PRINCIPALES: •� Chalet independiente de 100 m² construidos, todo en una sola planta para mayor comodidad. •� Espectacular terraza panorámica, con unas vistas inmejorables para disfrutar de amaneceres y atardeceres únicos cada día. •�️ 3 dormitorios con múltiples posibilidades de distribución. •� 1 baño completo. •� Cocina independiente. •�️ Salón comedor amplio, perfecto para reuniones familiares. •� Calefacción de gasoil ya instalada. •� Zona exterior con espacio de barbacoa, ideal para disfrutar con amigos y familia. •� Parcela de 192 m², con espacio suficiente para ajardinar, instalar pérgola o incluso pequeña piscina. •� Vivienda para reformar, con una sólida base y gran potencial para adaptarla a tu estilo. ________________________________________ ✨ POTENCIAL Y ACOMPAÑAMIENTO PERSONALIZADO: Esta propiedad es perfecta para quienes sueñan con diseñar su propio espacio en un entorno natural. Además, en LOCATIVO INMOBILIARIA te acompañamos durante todo el proceso de reforma: desde el proyecto hasta la ejecución, si así lo deseas. ¡Te ayudamos a transformar esta casa en tu nuevo hogar! ________________________________________ � UBICACIÓN PRIVILEGIADA: Valdemaqueda es un municipio tranquilo, rodeado de montañas, rutas de senderismo, río y zonas verdes protegidas, ideal para vivir todo el año o como segunda residencia. Con estación de tren y buena conexión con Madrid, combina naturaleza, calidad de vida y comodidad. ________________________________________ � Solicita tu visita ya y ven a descubrir las posibilidades que ofrece esta vivienda con alma, vistas de ensueño y mucho futuro. En LOCATIVO, te ayudamos a hacerlo realidad. CONSULTE NUESTRA PÁGINA WEB TENEMOS MÁS VIVIENDAS QUE NO ESTÁN EN LOS PORTALES. SÍGANOS EN NUESTRAS REDES SOCIALES PARA NO PERDERSE NADA: Instagram: @Locativoinmobiliariamadrid TikTok: @Locativoinmobiliaria Facebook: @Locativo Inmobiliaria AVDA. VILLANUEVA DE LA CAÑADA 35, LOCAL 1 QUIJORNA 28693 TELEFONO:  PARQUE EMPRESARIAL “LA FINCA” PASEO CLUB DEPORTIVO 1, EDIFICIO 4 POZUELO 28223 TELEFONO: [IW].",True,good,False,952.0,False,False,False,False,[],False,False,177000.0,€,True,True,chalet,independantHouse,Valdemaqueda,Casa independiente,,,,,,,,,
