propertyCode,thumbnail,externalReference,numPhotos,floor,price,propertyType,operation,size,exterior,rooms,bathrooms,address,province,municipality,district,country,neighborhood,latitude,longitude,showAddress,url,description,hasVideo,status,newDevelopment,hasLift,newDevelopmentFinished,priceByArea,hasPlan,has3DTour,has360,hasStaging,notes,topNewDevelopment,topPlus,priceInfo.price.amount,priceInfo.price.currencySuffix,parkingSpace.hasParkingSpace,parkingSpace.isParkingSpaceIncludedInPrice,detailedType.typology,detailedType.subTypology,suggestedTexts.subtitle,suggestedTexts.title,highlight.groupDescription,priceInfo.price.priceDropInfo.formerPrice,priceInfo.price.priceDropInfo.priceDropValue,priceInfo.price.priceDropInfo.priceDropPercentage,parkingSpace.parkingSpacePrice
106893158,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/39/be/d7/1296938576.webp,9-303,41,3,1723150.0,duplex,sale,190.0,True,2,3,"calle Javier Ferrero, 1",Madrid,Madrid,Chamartín,es,Ciudad Jardín,40.4482864,-3.6713983,True,https://www.idealista.com/obra-nueva/106893158/,"Caledonian Javier Ferrero es un nuevo y ambicioso proyecto en el centro de Madrid resultado de la colaboración de CALEDONIAN con el prestigioso arquitecto brasileño Marcio Kogan y su Studio MK27 Se trata de un proyecto innovador y contemporáneo, ubicado en la calle Javier Ferrero, que reconvertirá la zona actualmente industrial en una zona residencial con gran potencial de desarrollo. Como en la gran mayoría de proyectos de CALEDONIAN, los exteriores tendrán una gran importancia en la concepción del proyecto, así como las soluciones tecnológicas e infraestructurales para hacer más fácil la vida a sus propietarios. A esta máxima se sumará la última tecnología para facilitar la vida a sus propietarios, tales como huella dactilar para acceder a la casa, láminas inteligentes autorregulables para controlar mejor la entrada de luz, calefacción mediante suelo radiante y refrigeración mediante techo frío, control monitorizado de todas las luces, enchufes y otros equipamientos electrónicos de la casa. Además, el proyecto se realizará siguiendo las directrices de diseño del estándar Passivhaus mediante distribuciones inteligentes, prácticas y eficientes. La instalación de calefacción, refrigeración y agua caliente son además centralizadas para todo el edificio con la combinación de sistemas más eficientes y ecológicos del mercado: Sistema de bomba de calor con geotermia y Sistema fotovoltaico de generación de energía. El conjunto residencial se compone de tres edificios diferenciados por la fachada con ventanales de suelo a techo y ventanales con madera y aluminio. Se ubica en un recinto cerrado y vigilado 24 h con servicios de valor. La exclusiva urbanización ofrece diferentes tipologías de vivienda, de 1 a 4 dormitorios y para cada tipología diferentes opciones de tamaños. Incluye la comercialización de bajos en una y dos alturas con jardín, así como áticos con terraza. No faltarán tampoco las zonas comunes, especialmente equipadas con espacios dignos de las mejores urbanizaciones del extrarradio de la ciudad tales como gimnasio acristalado totalmente equipado, zonas verdes firmadas por Isabel Duprat, una de las mejores paisajistas del mundo con piscina exterior de 25m lineales, SPA dotado de sauna, piscina interior, hammam, caldarium, jacuzzi, sala de relajación con chimenea, sala de masajes, piscina de agua helada, circuito de duchas de sensaciones etc. Garaje y trastero incluidos en el precio.",False,newdevelopment,True,True,False,9069.0,True,False,False,False,[],False,False,1723150.0,€,True,True,flat,duplex,"Ciudad Jardín, Madrid","Dúplex en calle Javier Ferrero, 1",Top,,,,
107489312,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/43/ef/82/1239463508.webp,P1 4ºB,21,4,417900.0,flat,sale,87.0,True,2,2,"calle Provisional Berrocales Ochenta y Uno, 10",Madrid,Madrid,Vicálvaro,es,Los Berrocales,40.3723506,-3.5826795,True,https://www.idealista.com/obra-nueva/107489312/,"Obras iniciadas. En DOMUS hay viviendas disponibles de 1, 2 y 3 dormitorios en diferentes alturas, pero en este momento solo están a la venta las viviendas detalladas. Célere Domus está ubicado en el nuevo desarrollo urbanístico de los Berrocales, situado en el sureste de Madrid, entre Ensanche de Vallecas y Santa Eugenia. Esta promoción de obra nueva, es un conjunto residencial formado por 74 viviendas de 1, 2 y 3 dormitorios distribuidas en altura, bajos y áticos, repartidas en tres portales. Todas las viviendas cuentan con terraza, trastero y una o dos plazas de garaje. La urbanización contiene también un local comercial. La fecha de entrega está prevista para el último trimestre del 2026. El proyecto cuenta con una agradable piscina para adultos y otra para niños, zona de aseos, estancia para bicicletas, sala social-gourmet y zona exterior de calistenia en la última planta. Además, la promoción ha incluido una zona ajardinada y de juegos para niños, donde pueden disfrutar en un entorno protegido. Y como siempre pensamos en la seguridad, la urbanización es completamente privada, cerrada con control de accesos y conserjería. En Vía Célere apostamos por innovar e implantar sistemas cada vez más eficientes, consiguiendo edificios más sostenibles y comprometidos con el medio ambiente. El residencial Célere Domus dispone de calificación energética A, lo que supone un ahorro estimado del 83% disminuyendo las emisiones de CO2 y una reducción significativa de la demanda energética del complejo (refrigeración y agua caliente sanitaria). Célere Domus es un conjunto residencial equipado para cubrir todas tus necesidades en un espacio cómodo para ti y los tuyos, creando un lugar idóneo donde vivir con tu familia. *Las imágenes de la promoción son orientativas y no definitivas. ** Las viviendas anteriormente identificadas y sus condiciones económicas y comerciales están sujetas a disponibilidad y a variaciones por motivos administrativos o comerciales. Consulte con la oficina de ventas.",False,,True,True,False,4803.0,True,False,False,False,[],False,False,417900.0,€,True,True,flat,,"Los Berrocales, Madrid","Piso en calle Provisional Berrocales Ochenta y Uno, 10",Top,,,,
108317478,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/f2/e7/03/1336766963.webp,ch180,24,3,1325000.0,flat,sale,153.0,True,3,2,calle de Juan de Austria,Madrid,Madrid,Chamberí,es,Trafalgar,40.4341384,-3.6984456,False,https://www.idealista.com/inmueble/108317478/,"No cobramos honorarios al comprador! ¡Maravilloso piso en la codiciada calle Juan de Austria, Madrid! Te presentamos un confortable y luminoso piso, perfectamente ubicado en una de las zonas más emblemáticas y bien comunicadas de Madrid. La vivienda se distribuye en un amplio salón con dos balcones, cocina independiente equipada, tres habitaciones espaciosas y dos baños completos. Además, el edificio cuenta con ascensor, ofreciendo máxima comodidad en tu día a día. Características principales: - Salón luminoso y acogedor, ideal para disfrutar en familia o con amigos.  - Cocina independiente, práctica y funcional.  - Tres habitaciones amplias con excelente iluminación natural.  - Dos baños completos para tu comodidad.  - Ascensor en el edificio para mayor accesibilidad - Trastero de aproximadamente 5 M2 La calle Juan de Austria se encuentra en un barrio vibrante y lleno de vida, con acceso a todo tipo de servicios, comercios, restaurantes y zonas verdes. Perfectamente comunicado con el centro de Madrid y con múltiples opciones de transporte público a tu disposición, incluyendo varias líneas de metro y autobús. Además, en los alrededores podrás disfrutar de una gran oferta cultural, espacios para el ocio y actividades deportivas.  Vivir aquí significa disfrutar de la combinación perfecta entre tranquilidad residencial y la dinámica de una gran ciudad. No pierdas la oportunidad de vivir en un lugar que lo tiene todo. ¡Contacta con nosotros para más información o para concertar una visita!",False,good,False,True,,8660.0,True,False,True,False,[],False,False,1325000.0,€,,,flat,,"Trafalgar, Madrid",Piso en calle de Juan de Austria,Top,,,,
108765811,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/6a/e5/e9/1354495561.webp,MD3B01V22,26,bj,225000.0,flat,sale,30.0,False,2,1,calle de Francos Rodríguez,Madrid,Madrid,Tetuán,es,Bellas Vistas,40.4578635,-3.7075852,False,https://www.idealista.com/inmueble/108765811/,"Magnífica vivienda CON REFORMA A ESTRENAR, en la calle Francos Rodríguez, junto a la calle Pamplona y la calle Jerónima Llorente, planta baja, interior. 30 m2 construidos distribuidos en: salón, cocina independiente completamente amueblada y equipada y abierta al distribuidor, dormitorio principal doble y dormitorio individual con armario empotrado, cuarto de baño con plato de ducha y ventana de ventilación. Primeras calidades en la reforma, suelos de tarima flotante, paredes en liso, ventanas de aluminio lacado en blanco con cristal climalit, agua caliente y calefacción individuales por gas natural. Excepcional ubicación, en zona con todo tipo de comercios y servicios, muy bien comunicado por transporte público, a menos de cinco minutos de estación de Metro de Francos Rodríguez (L7) y de estación de Metro de Estrecho (L1) y varias líneas de autobús. No lo dude, contacte con nosotros y concierte una visita con nuestros asesores. VENETA Inmobiliaria es una agencia especializada en la venta de viviendas en los distritos de Tetuán y Chamberí con más de 25 años de experiencia en la intermediación de compra-venta de inmuebles y asesoramiento inmobiliario. Síguenos en las redes y entérate el primero de los pisos que salen a la venta: fb: Veneta Inmobiliaria ig: veneta_grupo_inmobiliario.",True,good,False,True,,7500.0,False,False,True,False,[],False,False,225000.0,€,,,flat,,"Bellas Vistas, Madrid",Piso en calle de Francos Rodríguez,Top,230000.0,5000.0,2.0,
106844072,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/eb/77/6d/1355179336.webp,,43,4,3700000.0,flat,sale,355.0,True,5,4,de José Abascal,Madrid,Madrid,Chamberí,es,Almagro,40.4398355,-3.6964787,False,https://www.idealista.com/inmueble/106844072/,"ESQUINAZO EN PLENO CHAMBERÍ! K&N ELITE te presenta este espectacular piso de lujo que redefine el concepto de elegancia y confort. Este impresionante hogar se encuentra en una ubicación privilegiada, con una fachada en esquina que cuenta con 6 amplios balcones a la calle que inundan los espacios de luz natural. La propiedad es totalmente exterior, lo que garantiza vistas panorámicas y una luminosidad excepcional. Las vidrieras originales aportan un toque de distinción y carácter a los espacios. La cocina, equipada con un práctico office, es ideal para disfrutar de momentos culinarios, mientras que el gran comedor tiene capacidad para más de 10 comensales, perfecto para recibir a amigos y familiares en celebraciones memorables. Los baños están revestidos con mármol griego, ofreciendo un ambiente de lujo y relajación. Con techos altos de mas de 3 metros, la sensación de amplitud es inigualable. Además, cuenta con un aseo, 4 baños completos y una puerta de servicio para mayor comodidad. La zona de lavadero añade funcionalidad a este maravilloso hogar. El piso también incluye 3 habitaciones más una destinada al servicio, asegurando espacio suficiente para todos. Un trastero que proporciona almacenamiento adicional. La finca cuenta con portero físico que reside en el edificio, ofreciendo seguridad y atención constante. Para disfrutar del aire libre, hay una terraza en la azotea comunitaria donde podrás relajarte y contemplar las vistas. El suelo de roble eslabonia complementa perfectamente el estilo clásico y atemporal del piso. Sin duda, esta propiedad es una joya en el mercado inmobiliario que combina lujo, confort y funcionalidad en cada rincón.",True,good,False,True,,10423.0,True,False,True,False,[],False,False,3700000.0,€,,,flat,,"Almagro, Madrid",Piso en de José Abascal,Top,,,,
107329086,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/56/1c/55/1309731873.webp,,26,1,2350000.0,flat,sale,201.0,True,4,4,"Avenida de Luis García Cereceda, 9",Madrid,Pozuelo de Alarcón,Zona Prado de Somosaguas - La Finca,es,La Finca,40.4056432,-3.7981778,True,https://www.idealista.com/obra-nueva/107329086/,"•PRIMERA PLANTA 4 DORMITORIOS SUPERFICIES 201 m2 +53 m2 de terrazas PRECIO: 2.350. 000 € Vivienda de 4 dormitorios ubicada en la planta primera.  Cuenta con el disfrute exclusivo de las terrazas situadas en fachada norte y sur, perfectas para estar en cualquier estación del año. ZONA DE DÍA Y DE NOCHE: Se accede a la vivienda a través del recibidor, en donde encontramos un aseo de cortesía y un cuarto de ropa, que a su vez, se comunica con el tendedero. Damos paso a un amplio salón-comedor orientado a sur, con salida a la terraza, en donde también se encuentra la cocina abierta al comedor. La zona de noche se compone por cuatro dormitorios, a los cuales se accede a través del distribuidor. El dormitorio principal, con terraza privada, cuenta con vestidor y un cómodo cuarto de baño con ducha, doble lavabo. Los dos dormitorios individuales comparten baño en suite. El otro dormitorio secundario cuenta con baño privado. Todos disponen de terraza en norte. La vivienda cuenta con 3 plazas de garaje y trastero.",False,newdevelopment,True,True,False,11692.0,True,False,False,False,[],False,False,2350000.0,€,True,True,flat,,"La Finca, Pozuelo de Alarcón","Piso en Avenida de Luis García Cereceda, 9",Top,,,,
108829101,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/a9/f6/68/1356345714.webp,P2 1ºD,15,1,469903.0,flat,sale,60.0,True,1,1,"calle Cantalejo, 19",Madrid,Madrid,Fuencarral,es,Peñagrande,40.4736193,-3.7352716,True,https://www.idealista.com/obra-nueva/108829101/,"NUEVO PROYECTO JUNTO A PUERTA DE HIERRO Residencial Zenith es un proyecto de 117 exclusivas viviendas de 1, 2 y 3 dormitorios con amplias y variadas zonas comunes. Precio desde 450.067€ con plaza de garaje y trastero incluido. ARQUITECTURA DE AUTOR El diseño arquitectónico de Zenith se caracteriza por un diseño escultórico y vanguardista, donde los volúmenes curvos aportan un dinamismo único. Sus líneas fluidas generan una sensación de movimiento constante, envolviendo el edificio con una elegancia orgánica que El diseño arquitectónico de Zenith se caracteriza por sus líneas rectas y depuradas, creando una estética moderna y sofisticada que se integra perfectamente con su entorno. ZENITH NO SOLO SON VIVIENDAS: EL ARTE DE VIVIR Disfrute de un oasis privado sin salir de casa. Zenith ha sido concebido para ofrecer una experiencia de vida inigualable. Las zonas comunes han sido cuidadosamente diseñadas para responder a los más altos estándares de confort, privacidad y estilo de vida. Podrá disfrutar de piscina desbordante y solárium que invitan al relax en los meses más calurosos. Además, Zenith ofrece un rooftop con terraza panorámica y gastroteca. En la planta baja la Sala Club ha sido diseñada como un espacio versátil para las celebraciones privadas. El Coworking está pensado para quienes combinan vida personal y profesional en el mismo entorno. Para los amantes del deporte, Zenith dispone de gimnasio tanto interior como exterior, sauna y aparcamiento para bicicletas. Los más pequeños disponen de un espacio exclusivo para el juego tanto exterior como interior. Podrá hacer uso de buzones de paquetería para la recepción de paquetes. Sostenibilidad y ahorro energético Las viviendas de ZENITH están preparadas para obtener una Calificación Energética A. Esto significa que tendrán un mínimo impacto sobre el medio ambiente, al igual que se reducirá el consumo de energía, afectando directamente al importe de las facturas de cada usuario. UBICACIÓN Zenith estará ubicado en una de las zonas más exclusivas de Madrid, Puerta de Hierro, concretamente en la calle Cantalejo. Caracterizada por su entorno privilegiado, esta ubicación ofrece tranquilidad, privacidad y naturaleza, sin renunciar a la proximidad con el centro de Madrid y sus principales servicios. Entorno verde y exclusivo: Situado en un enclave rodeado de naturaleza, cerca del Monte de El Pardo, garantizando aire puro y un ambiente relajado. Accesibilidad y conexiones: Excelentes conexiones con el centro de Madrid mediante la M-30, M-40 y A-6, así como transporte público cercano. Seguridad y privacidad: Urbanización de alto nivel con seguridad 24/7, perfecta para quienes buscan tranquilidad en un entorno privilegiado. Servicios de primer nivel: Cercanía a colegios internacionales, hospitales de prestigio, clubes deportivos como el Real Club de Puerta de Hierro y una amplia oferta gastronómica y comercial en zonas como Moncloa y La Vaguada. PERSONALIZACIÓN En Zenith se ofrece la posibilidad de personalizar cada rincón de su vivienda, desde la distribución hasta los acabados. Podrá elegir entre un amplio abanico de posibilidades en las calidades de su vivienda, cada vivienda será única. Nota: TODAS LAS VIVIENDAS LLEVAN INCLUIDAS 1 PLAZA DE GARAJE Y UN TRASTERO. EN EL CASO DE LAS DE 3 DORMITORIOS LLEVAN 2 PLAZAS DE GARAJE Y UN TRASTERO. Durante el desarrollo del proyecto, la Dirección Facultativa se reserva el derecho de efectuar modificaciones que viniesen motivadas por exigencias de orden técnico o jurídico por parte de las Administraciones competentes, así como aquellas que pudieran suponer cambios del proyecto o en la memoria de calidades que en ningún caso supondrán minoración de las calidades previstas.",False,newdevelopment,True,True,False,7832.0,True,False,False,False,[],False,False,469903.0,€,,,flat,,"Peñagrande, Madrid","Piso en calle Cantalejo, 19",Top,,,,
108770103,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/82/85/f3/1354612479.webp,MA20918,39,2,1200000.0,flat,sale,184.0,True,4,2,calle de Torrelaguna,Madrid,Madrid,Ciudad Lineal,es,San Juan Bautista,40.4521887,-3.6589265,False,https://www.idealista.com/inmueble/108770103/,"Colomba Boutique Inmobiliaria vende EN EXCLUSIVA, estupenda vivienda ubicada en la mejor zona de Arturo Soria, en el barrio de Colina, a escasos metros de la parada del metro Avda. de la Paz, (Linea 4) y con estupenda comunicación por autobuses (9, 72, 53 y la 120 menos de 300 m). La vivienda se encuentra ubicada en la segunda planta y cuenta con 4 habitaciones exteriores, siendo la principal en suite, y 3 otras habitaciones que comparten un baño.  Al entrar, desde el amplio hall de entrada (con armario gabanero), podemos acceder a la izquierda a la cocina o al bonito salon comedor (exterior) muy luminoso    La terraza se ha integrado al salon comedor para mayor amplitud Cocina equipada con office y área de lavandería. La vivienda tiene grandes posibilidades si desean reformarla.  La urbanización es estupenda. Cuenta con portero, piscina, zonas verdes, zona de juego infantil. Cuatro ascensores.  Además incluye trastero y plaza de garaje, lo que añade aún más valor a esta propiedad.  La zona cuenta con: - Transportes: Metro Av de la Paz a 50m, Parada de Autobus (Sorzano) a 150m, metro Arturo Soria a 500m, autobus 9, 72, 53 y la 120 menos de 300 m - Educación: Colegio De Educación Infantil Y Primaria San Juan Bautista - Calle de Sorzano a 200m, Escuela infantil El Osito a 500m, Liceo Francés a 1km, entre otros. - Salud: Hospital Nuevo Belen a 400m, Clinica dental a 600m, Veterinario a 700m - Comercios: Carrefour Express a 400m, Soria y Unide a 600m, Supercor, Sanchez Romero, Mercadona, Al campo a 800m. Solicite una visita.  Colomba Real Estate Agents immobiliers français et espagnols We speak English Falamos português Visite nuestra web: www colomba es.",False,good,False,True,,6522.0,True,False,True,False,[],False,False,1200000.0,€,True,True,flat,,"San Juan Bautista, Madrid",Piso en calle de Torrelaguna,Top,,,,
108429047,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/3e/22/16/1344604339.webp,RP1332025138671,48,2,475000.0,flat,sale,54.0,False,1,1,calle de Fuencarral,Madrid,Madrid,Centro,es,Chueca-Justicia,40.4248608,-3.7006999,False,https://www.idealista.com/inmueble/108429047/,"Elegante apartamento reformado en finca clásica de Calle Fuencarral, Madrid Ubicado en una de las calles más emblemáticas de Madrid, este luminoso apartamento combina el encanto de los elementos originales con una reforma moderna y funcional. La vivienda cuenta con un acogedor comedor integrado con una elegante cocina americana, perfecta para disfrutar de un espacio abierto y práctico. El dormitorio independiente dispone de amplios armarios empotrados, proporcionando una excelente capacidad de almacenamiento. Además, el cuarto de baño en suite añade un toque de privacidad y confort. Este apartamento destaca por sus altos techos, que aportan una sensación de amplitud y elegancia, así como por su suelo de pino melis, que conserva el carácter original de la vivienda. Elementos de mármol añaden un toque sofisticado, realzando su estilo clásico. Ubicado en una finca de estilo clásico, el edificio cuenta con ascensor, garantizando comodidad y accesibilidad. Su ubicación privilegiada en Calle Fuencarral te permitirá disfrutar de una vibrante oferta comercial, gastronómica y cultural, con excelentes conexiones de transporte público. ¡Una oportunidad única para vivir en el corazón de Madrid con el encanto de la arquitectura clásica! Para más información, puede contactar con nosotros en el teléfono a través de WhatsApp, o bien visitarnos en nuestras oficinas ubicadas en Calle Hortaleza 59, 28004 Madrid.",True,good,False,True,,8796.0,True,False,True,False,[],False,False,475000.0,€,,,flat,,"Chueca-Justicia, Madrid",Piso en calle de Fuencarral,Top,499000.0,24000.0,5.0,
108579024,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/ba/3b/44/1348999006.webp,13-P004,32,bj,1245000.0,duplex,sale,100.0,True,2,3,"calle Javier Ferrero, 1",Madrid,Madrid,Chamartín,es,Ciudad Jardín,40.448242,-3.671371,True,https://www.idealista.com/obra-nueva/108579024/,"Caledonian Javier Ferrero es un nuevo y ambicioso proyecto en el centro de Madrid resultado de la colaboración de CALEDONIAN con el prestigioso arquitecto brasileño Marcio Kogan y su Studio MK27 Se trata de un proyecto innovador y contemporáneo, ubicado en la calle Javier Ferrero, que reconvertirá la zona actualmente industrial en una zona residencial con gran potencial de desarrollo. Como en la gran mayoría de proyectos de CALEDONIAN, los exteriores tendrán una gran importancia en la concepción del proyecto, así como las soluciones tecnológicas e infraestructurales para hacer más fácil la vida a sus propietarios. A esta máxima se sumará la última tecnología para facilitar la vida a sus propietarios, tales como huella dactilar para acceder a la casa, láminas inteligentes autorregulables para controlar mejor la entrada de luz, calefacción mediante suelo radiante y refrigeración mediante techo frío, control monitorizado de todas las luces, enchufes y otros equipamientos electrónicos de la casa. Además, el proyecto se realizará siguiendo las directrices de diseño del estándar Passivhaus mediante distribuciones inteligentes, prácticas y eficientes. La instalación de calefacción, refrigeración y agua caliente son además centralizadas para todo el edificio con la combinación de sistemas más eficientes y ecológicos del mercado: Sistema de bomba de calor con geotermia y Sistema fotovoltaico de generación de energía. El conjunto residencial se compone de tres edificios diferenciados por la fachada con ventanales de suelo a techo y ventanales con madera y aluminio. Se ubica en un recinto cerrado y vigilado 24 h con servicios de valor. La exclusiva urbanización ofrece diferentes tipologías de vivienda, de 1 a 4 dormitorios y para cada tipología diferentes opciones de tamaños. Incluye la comercialización de bajos en una y dos alturas con jardín, así como áticos con terraza. No faltarán tampoco las zonas comunes, especialmente equipadas con espacios dignos de las mejores urbanizaciones del extrarradio de la ciudad tales como gimnasio acristalado totalmente equipado, zonas verdes firmadas por Isabel Duprat, una de las mejores paisajistas del mundo con piscina exterior de 25m lineales, SPA dotado de sauna, piscina interior, hammam, caldarium, jacuzzi, sala de relajación con chimenea, sala de masajes, piscina de agua helada, circuito de duchas de sensaciones etc. Garaje y trastero incluidos en el precio.",False,newdevelopment,True,True,False,12450.0,True,False,False,False,[],False,False,1245000.0,€,True,True,flat,duplex,"Ciudad Jardín, Madrid","Dúplex en calle Javier Ferrero, 1",Top,,,,
