propertyCode,thumbnail,externalReference,numPhotos,price,propertyType,operation,size,rooms,bathrooms,address,province,municipality,country,latitude,longitude,showAddress,url,description,hasVideo,status,newDevelopment,priceByArea,hasPlan,has3DTour,has360,hasStaging,notes,topNewDevelopment,topPlus,priceInfo.price.amount,priceInfo.price.currencySuffix,detailedType.typology,detailedType.subTypology,suggestedTexts.subtitle,suggestedTexts.title,floor,exterior,district,neighborhood,hasLift,parkingSpace.hasParkingSpace,parkingSpace.isParkingSpaceIncludedInPrice,parkingSpace.parkingSpacePrice,newDevelopmentFinished,priceInfo.price.priceDropInfo.formerPrice,priceInfo.price.priceDropInfo.priceDropValue,priceInfo.price.priceDropInfo.priceDropPercentage
108924119,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/15/a2/a1/1359148665.webp,VIVEXROB022,46,370000.0,chalet,sale,353.0,3,2,Robledo de Chavela,Madrid,Robledo de Chavela,es,40.501051,-4.2374306,False,https://www.idealista.com/inmueble/108924119/,"¡VENDE CON NOSOTROS DESDE SOLO EL 1,9 %! ¡CONSEGUIMOS HASTA EL 100% DE FINANCIACIÓN! � Chalet con encanto y amplitud en Robledo de Chavela � Una vivienda de ensueño con espacios interiores y exteriores para disfrutar todo el año Si buscas espacio, naturaleza y comodidad, esta propiedad lo tiene todo. Situada en una de las zonas más tranquilas de Robledo de Chavela, este chalet te ofrece 353 m² construidos sobre una parcela cuidada y privada, ideal como primera o segunda residencia. �✨ � 3 amplios dormitorios � 2 baños completos � Gran salón con chimenea que aporta calidez y ambiente acogedor � � Cocina equipada con todo lo necesario para entrar a vivir �️ � Jardín privado rodeado de tranquilidad y naturaleza � � Espaciosa terraza y porche cubierto, perfectos para reuniones o momentos de relax ☕ � Solárium con vistas despejadas al entorno natural � � Piscina privada, ideal para los días de verano �♀️ � Trastero para almacenamiento extra � Una vivienda lista para disfrutar, con una distribución cómoda y funcional, ideal para familias o para quienes buscan un entorno de paz a menos de una hora de Madrid. � � ¡No dejes pasar esta oportunidad! � Robledo de Chavela te espera con tu nuevo hogar. CONSULTE NUESTRA PÁGINA WEB TENEMOS MÁS VIVIENDAS QUE NO ESTÁN EN LOS PORTALES. SÍGANOS EN NUESTRAS REDES SOCIALES PARA NO PERDERSE NADA: Instagram: @Locativoinmobiliariamadrid TikTok: @Locativoinmobiliaria AVDA. VILLANUEVA DE LA CAÑADA 35, LOCAL 1 QUIJORNA 28693 TELÉFONO:  PARQUE EMPRESARIAL “LA FINCA” PASEO CLUB DEPORTIVO 1, EDIFICIO 4 POZUELO 28223 TELÉFONO: [IW].",False,good,False,1048.0,False,False,False,False,[],False,False,370000.0,€,chalet,independantHouse,Robledo de Chavela,Casa independiente,,,,,,,,,,,,
83067528,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/ca/e5/4b/610951271.webp,cen1,19,690000.0,flat,sale,80.0,2,2,Barrio Malasaña-Universidad,Madrid,Madrid,es,40.4211439,-3.7019712,False,https://www.idealista.com/inmueble/83067528/,"Fortuny Real Estate ofrece esta fantástica propiedad recién reformada con altas calidades metros cuadrados en una de las zonas más turística de Madrid. La vivienda está ubicada en un edificio clásico rehabilitado en el año 2003 en pleno centro de Madrid a un paso de la Gran Vía.  El piso consta de un gran espacio abierto donde confluyen un amplio recibidor, salón amplio con cocina americana totalmente equipada con electrodomésticos de alta gama. Suelo de auténtica madera color roble natural. Se distribuye en dos amplios dormitorios, el principal cuenta con cuarto de baño en suite, ambos con armarios empotrados de suelo a techo y grandes ventanas,  Calefacción y agua caliente individual por caldera de gas. Pre instalación de aire acondicionado. Patio con acceso para tender ropa y guardar utensilios de limpieza.  El apartamento está listo para entrar a vivir con licencia de explotación turística. "" IDEAL PARA INVERSORES  Fortuny Madrid Real Estate es una empresa joven y emprendedora, formada por un grupo de consultores inmobiliarios especializados en la zona Prime de Madrid, creada con el objetivo de satisfacer las necesidades de los clientes más exigentes.",False,good,False,8625.0,False,False,False,False,[],False,False,690000.0,€,flat,,"Malasaña-Universidad, Madrid",Piso,2,True,Centro,Malasaña-Universidad,True,True,False,30000.0,,,,
107829779,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/9f/a4/6c/1325591687.webp,1613,25,2259000.0,flat,sale,180.0,3,3,calle de Diego de León,Madrid,Madrid,es,40.433307,-3.6773459,False,https://www.idealista.com/inmueble/107829779/,"Esta excepcional vivienda en Diego de León 52, situada en el prestigioso barrio de Lista, Madrid, está disponible para aquellos que buscan el máximo confort y estilo de vida.  Este tercer piso interior, actualmente en obras, cuenta con 197 m² catastrales diseñados para ofrecer lujo y elegancia. La propiedad incluye tres habitaciones y tres baños, con una cocina totalmente equipada y un cuarto de lavado que añaden funcionalidad y comodidad.  Con aire acondicionado, calefacción y ascensor, esta vivienda garantiza un estilo de vida cómodo y moderno. Además, cuenta con balcón y terraza, proporcionando espacios exteriores ideales para relajarse. El barrio de Lista, en el distrito de Salamanca, es conocido por su exclusividad y elegancia. Vivir aquí significa estar cerca de lugares emblemáticos como el Parque de María Eva Duarte de Perón, que ofrece un entorno natural para el ocio y la recreación, y el Mercado de la Paz, un destino culinario de renombre.  La zona también cuenta con boutiques exclusivas, restaurantes gourmet y cafés de moda, proporcionando una experiencia de vida sofisticada.  La proximidad a importantes centros de transporte y las conexiones con el resto de la ciudad hacen de este barrio una ubicación ideal para quienes buscan comodidad y estilo en el corazón de Madrid.",False,good,False,12550.0,True,False,False,False,[],False,False,2259000.0,€,flat,,"Lista, Madrid",Piso en calle de Diego de León,3,True,Barrio de Salamanca,Lista,True,,,,,,,
109027205,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/dc/0d/8c/1362084489.webp,9093,28,400000.0,flat,sale,70.0,2,1,calle Elena Fortún,Madrid,Las Rozas de Madrid,es,40.5005703,-3.8832517,False,https://www.idealista.com/inmueble/109027205/,"Con Testa Homes no pagas comisión ni honorarios de intermediación por tu inmueble. ¿Te imaginas tu vivienda en propiedad en Las Rozas? ¡Testa lo hace posible! La vivienda y fotos publicadas corresponden a una vivienda tipo, para más información consulte a su gestor comercial. Vivienda sin amueblar con cocina totalmente amueblada y equipada con electrodomésticos de primeras marcas.  Baños con muebles y mamparas. Suelos de tarima y armarios empotrados. 2 Plazas de garaje y trastero incluidos en el precio. Urbanización cerrada con conserje, amplias zonas comunes ajardinadas, piscina exterior y parque infantil. Las Rozas es una zona residencial en pleno progreso con todo tipo de servicios a su disposición y muy cercana al centro de la ciudad de Madrid. Inmejorables accesos por transporte público por su cercanía a la estación de tren de Las Rozas, y por transporte privado como público, puesto que se encuentra cerca de la A-6, M-50 y M40. *En relación a los suministros de luz y agua, será necesario que el nuevo comprador realice el cambio de titularidad a su nombre. Con Testa Homes no pagas comisión ni honorarios de intermediación por tu inmueble.",False,good,False,5714.0,False,False,False,False,[],False,False,400000.0,€,flat,,"Montecillo, Las Rozas de Madrid",Piso en calle Elena Fortún,bj,True,Montecillo,Montecillo,True,True,True,,,,,
105291524,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/d4/78/56/1293053283.webp,ESC 2 BAJO B,9,306900.0,flat,sale,132.0,3,2,calle ALISO s/n,Madrid,Guadalix de la Sierra,es,40.7866284,-3.6962228,True,https://www.idealista.com/obra-nueva/105291524/,"Promoción exclusiva en Guadalix de la Sierra Ya en construcción ¡Últimas viviendas a la venta! Presentamos su nueva promoción Residencial Violeta. El proyecto está compuesto por 51 viviendas de 2, 3 y 4 dormitorios. Bajos con amplios jardín privado y primeras plantas con maravillosas terrazas y áticos de ensueño. Única vivienda de 4 dormitorios en 1ª planta, trastero incluido en el precio La urbanización cuenta con piscina, zona ajardinada, salón social y gimnasio. Las viviendas cuentan con trastero incluido en el precio y 51 Plazas de garaje. Plaza de garaje opcional por 15.990€ (la plaza de garaje nº 13: 18.000€) Las viviendas están equipadas con la última tecnología en sistemas de climatización, Aerotermia para el agua caliente y con suelo radiante caliente con sistema de caldera de gas central y contadores independientes. El diseño elegante y moderno de la urbanización, unido al desarrollo del proyecto en busca de la máxima eficiencia energética a través del equipamiento del edificio, hacen de Residencial Violeta sea la mejor elección para disfrutar de su nuevo hogar. Zona exclusiva por ubicación y tranquilidad con servicio de Autobuses, y su situación próxima a todos los supermercados, centro de salud y zona de ocio.",False,newdevelopment,True,2325.0,True,False,False,False,[],False,False,306900.0,€,flat,,Guadalix de la Sierra,Piso en calle Aliso s/n,bj,True,,,True,True,False,15990.0,False,,,
108581352,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/a9/ab/e7/1349066691.webp,2568,39,1675000.0,flat,sale,218.0,4,3,calle de Serrano,Madrid,Madrid,es,40.453855,-3.6766096,False,https://www.idealista.com/inmueble/108581352/,"� ESPECTACULAR PISO EXTERIOR REFORMADO EN CALLE DE SERRANO – BERNABÉU-HISPANOAMÉRICA � 1.675.000 € � 218 m² construidos | 200 m² útiles �️ 4 habitaciones | � 3 baños completos � Terraza exterior | �♂️ Piscina comunitaria | � Plaza de garaje incluida � 1ª planta exterior con ascensor � Vivienda sin amueblar ✨ UNA VIVIENDA ELEGANTE, FUNCIONAL Y DE ALTA CALIDAD   Descubre esta magnífica propiedad totalmente reformada en una de las zonas más exclusivas de Madrid: el barrio de Hispanoamérica, en plena Calle Serrano. Un enclave residencial de prestigio, rodeado de embajadas, colegios internacionales y parques, ideal tanto para familias como para inversores que buscan rentabilidad y valor seguro. � DISTRIBUCIÓN Y CARACTERÍSTICAS   - 4 dormitorios amplios, incluyendo una espectacular suite principal con vestidor y salida a una terraza interior privada. - 3 baños completos, diseñados con materiales de alta gama y acabados modernos. - Gran salón-comedor abierto, con salida directa a una terraza privada que ofrece un espacio exterior acogedor y luminoso. - Cocina con isla central, equipada con electrodomésticos de alta gama, perfecta para los amantes de la gastronomía y el diseño funcional. - Espacios sociales generosos, bien distribuidos para ofrecer privacidad sin renunciar a la amplitud. � CALIDADES Y EQUIPAMIENTO   - Vivienda completamente reformada a estrenar, con diseño contemporáneo y materiales de primer nivel. - Ventanas PVC Kommerling con rotura de puente térmico, que aseguran aislamiento térmico y acústico. - Sistema de climatización por conductos Fujitsu y calefacción por radiadores de diseño Zhender. - Suelo de tarima flotante de alta resistencia. - Cocina de diseño italiano con electrodomésticos integrados. - Armarios empotrados forrados y vestidos en todas las habitaciones. - Iluminación LED indirecta y cuidada distribución de luz natural. �️ EDIFICIO Y EXTRAS   - Edificio representativo, con ascensor y zonas comunes muy cuidadas. - Plaza de garaje incluida en el precio, con acceso directo desde el ascensor. - Piscina comunitaria ideal para los meses más cálidos. - Sin amueblar, perfecta para personalizar a tu gusto. � UBICACIÓN PRIVILEGIADA   Situado en el distrito de Chamartín, este piso está a pocos pasos del Estadio Santiago Bernabéu, el Paseo de la Habana y los mejores colegios internacionales de Madrid. Además, ofrece excelente conectividad con el transporte público: � Metro Colombia, Cuzco y Concha Espina a pocos minutos a pie. � Múltiples líneas de autobús conectan con toda la ciudad. � Fácil acceso a M-30 y A-2, ideal para moverse por Madrid o salir de la ciudad. � UNA OPORTUNIDAD ÚNICA   Esta propiedad es ideal tanto para quien busca una vivienda familiar sofisticada en una zona tranquila y de prestigio, como para quienes desean invertir en una propiedad con alta demanda, revalorización garantizada y posibilidad de alquiler premium. � Contáctanos y agenda tu visita. No dejes escapar esta joya en una de las calles más exclusivas de Madrid. Exclusividad y sofisticación en cada detalle. Descubre las propiedades más exclusivas de Madrid con un servicio a la altura de tus expectativas.",False,good,False,7683.0,True,False,False,False,[],False,False,1675000.0,€,flat,,"Bernabéu-Hispanoamérica, Madrid",Piso en calle de Serrano,1,True,Chamartín,Bernabéu-Hispanoamérica,True,True,True,,,,,
109091397,https://img4.idealista.com/blur/480_360_mq/90/id.pro.es.image.master/69/04/5d/1364432315.webp,BAS_PINTO,38,236000.0,flat,sale,83.0,2,1,CL PINTO,Madrid,Fuenlabrada,es,40.2820849,-3.7951883,False,https://www.idealista.com/inmueble/109091397/,"Bastia Inmobiliaria, vende magnifico piso en Fuenlabrada. El mismo se encuentro regulado por un convenio de Usufructo hasta el mes de Septiembre del 2027.  Descubre tu nuevo hogar en Fuenlabrada, una de las zonas que mas ha credido en los últimos años. Disfruta de la cercania al corredor Sur de Madrid y de la Capital, pero sin renunciar a la tranquilildad de una zona en constante desarrollo. Este magnífico piso de 83 m² construidos, con el disfrute en exclusiva de un amplio patio de mas de 30 m2, te ofrece todo lo que necesitas para vivir con comodidad y tranquilidad. La vivienda cuenta con 2 dormitorios, un baño con media bañera. La amplitud de la cocina permite darle un uso diario para multiples tareas, y el patio es un verdadero desahogo para momentos de maximo descanso. Asimismo cuenta con la comodidad de tener calefacción de gas natural.  La distribución con un amplio salon en la entrada, permite imaginar un sinfin de combinaciones posibles, a fin de optimizar los espacios. La doble orientación hacen de este inmueble un zona luminosa, ampliamente ventilada y proporciona una sensación de comodidad ideal para la vida en familia. La situación en cuanto a la zona y el transporte público es inmejorable: ubicado a poca distancia del Parque del Olivar, del Centro Comercial ""Plaza de la Estación"", de supermercados, farmacias y con el centro de Salud proximo. Se encuentra a menos de 5 minutos andando de la estación de la Linea 12 de metro ""Fuenlabrada Central"", como también de la estación de cercanías del mismo nombre. Además, disfrutarás de una excelente comunicación con las carreteras A-42, M-409 y M50. A solo 5 minutos de la parada de las lineas urbanas de Fuenlabrada 2, 4 y 6, y de las lineas interurbanas 4 98, N803 (Nocturno desde Atocha), desde donde podras conectar con puntos estratégicos como Pinto, Parla, Leganes, Mostoles o el Intercambiador de Aluche. No pierdas esta oportunidad única. Ofrecemos asesoramiento financiero gratuito y sin compromiso para que puedas hacer realidad el sueño de tener tu propio hogar. ¡Contáctanos y agenda tu visita hoy mismo!",False,good,False,2843.0,True,False,False,False,[],False,False,236000.0,€,flat,,"Centro, Fuenlabrada",Piso en CL Pinto,bj,True,Centro,,True,,,,,,,
109076425,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/4f/e5/89/1363693367.webp,10736,27,315000.0,flat,sale,69.0,2,1,avenida de Castilla y León,Madrid,Tres Cantos,es,40.6169352,-3.7257921,False,https://www.idealista.com/inmueble/109076425/,"Con Testa Homes no pagas comisión ni honorarios de intermediación por tu inmueble. ¿Te imaginas tu vivienda en propiedad en Tres Cantos? ¡Testa Homes lo hace posible! *La vivienda y fotos publicadas corresponden a una vivienda tipo, para más información consulte a su gestor comercial. Sólo para contratos firmados hasta el 30 de Junio. Vivienda sin amueblar, con un diseño moderno y funcional, ideal para quienes buscan crear su hogar a su medida. Con 69 m² construidos, esta propiedad ofrece 2 habitaciones y 1 baño. La cocina está completamente amueblada y equipada con electrodomésticos de primeras marcas, brindando un espacio perfecto para preparar tus mejores platos. Los baños cuentan con muebles y mamparas, lo que proporciona un ambiente ordenado y cómodo. El suelo de gres cerámica y los armarios empotrados optimizan el espacio, asegurando un hogar práctico y elegante. Además, la plaza de garaje y el trastero están incluidos en el precio, añadiendo valor y comodidad a tu día a día. Las zonas comunes han sido recién reformadas para ofrecerte lo mejor en confort y entretenimiento. Podrás disfrutar de una piscina para relajarte durante los días de calor, una zona de juegos para los más pequeños, una pista de pádel para los amantes del deporte, y un gimnasio totalmente equipado para cuidar tu bienestar. Todo ello rodeado de amplias zonas ajardinadas, creando un ambiente tranquilo y acogedor. La vivienda se encuentra en la zona del nuevo Tres Cantos, una zona tranquila con grandes avenidas y con fácil acceso a la M-607, autovía que conecta con Colmenar Viejo y la ciudad de Madrid en pocos minutos. Esta ubicación te ofrece una excelente conectividad, sin renunciar a la calma y comodidad de un entorno residencial.  Además, la propiedad es pet-friendly, permitiendo que tus mascotas disfruten de todo lo que este maravilloso hogar tiene para ofrecer. Horario de atención telefónica de lunes a viernes de 9:00 a 21:00 y sábados de 9:00 a 14:00 horas.  Consulte condiciones y disponibilidad.  *Imágenes orientativas sin carácter vinculante.  **Las imágenes corresponden a un apartamento tipo.  **Viviendas sujetas a disponibilidad y viviendas no amueblada. En Testa Homes, te acompañamos durante todo el proceso de compra de la vivienda y te contamos todo con la mayor transparencia. Además, te ponemos en contacto con un asesor financiero que te informará de las mejores condiciones disponibles. *En relación a los suministros de luz y agua, será necesario que el nuevo comprador realice el cambio de titularidad a su nombre. Con Testa Homes no pagas comisión ni honorarios de intermediación por tu inmueble.",False,good,False,4565.0,False,False,False,False,[],False,False,315000.0,€,flat,,"Primera Fase - Nuevo Tres Cantos, Tres Cantos",Piso en avenida de Castilla y León,1,True,Primera Fase - Nuevo Tres Cantos,,True,True,True,,,,,
107228020,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/99/af/5c/1318814555.webp,3387-08867,36,579000.0,flat,sale,89.0,2,2,calle de Américo Castro,Madrid,Madrid,es,40.4946081,-3.6539649,False,https://www.idealista.com/inmueble/107228020/,"Piso en Venta, Urbanización Privada en Sanchinarro. Descubre este espectacular piso de 89 m² ubicado en la cuarta planta de un moderno edificio construido en 2006. Con una distribución eficiente y un diseño contemporáneo, este hogar ofrece dos dormitorios con armarios empotrados perfectamente iluminados, ideales para maximizar el espacio. Los dos baños completos, con acabados en mármol travertino y grifería de diseño, añaden un toque de lujo y confort. El amplio y luminoso salón se convierte en el corazón del hogar, mientras que la cocina moderna, equipada con electrodomésticos Siemens. Los suelos de mármol y la carpintería interior en cerezo aportan elegancia a cada rincón. Además, cuenta con persianas eléctricas y aire acondicionado con bomba de frío/calor para garantizar el máximo confort durante todo el año. La propiedad se encuentra en una exclusiva urbanización privada que ofrece vigilancia 24/7, circuito cerrado de TV y portero físico. Disfruta de las dos piscinas (una exterior y otra climatizada), gimnasio, zonas ajardinadas y un área infantil. La plaza de garaje de 12 m² y el trastero de 8 m² son un gran plus para el almacenamiento adicional. Situado en una excelente ubicación, cerca de colegios, supermercados, centros comerciales y restaurantes, con rápido acceso a la M-40 y A-1, así como múltiples opciones de transporte público. Este piso es perfecto para quienes buscan comodidad y calidad de vida en un entorno seguro y bien comunicado.  ¡No pierdas la oportunidad de visitarlo! ¿Lo vemos? La información contenida en este anuncio está sujeta a posibles modificaciones. El precio no incluye impuestos ni gastos de compraventa (notaría, registro, gestoría, etc. ).",True,good,False,6506.0,True,True,False,False,[],False,False,579000.0,€,flat,,"Sanchinarro, Madrid",Piso en calle de Américo Castro,4,True,Hortaleza,Sanchinarro,True,True,True,,,,,
108427462,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/21/1f/ef/1344559091.webp,W-030DZE,6,4550000.0,flat,sale,310.0,6,3,calle de Ayala,Madrid,Madrid,es,40.4292294,-3.6758777,False,https://www.idealista.com/inmueble/108427462/,"Vivienda señorial en Goya. Engel & Volkers tiene el placer de presentarle esta maravillosa propiedad de 310 m² ubicada en una finca clásica de 1900 en la prestigiosa zona de Goya, en el distrito de Salamanca. Se trata de una vivienda señorial con techos altos, molduras originales y amplios ventanales que aportan gran luminosidad a todas las estancias. Conserva elementos arquitectónicos de época que le otorgan un carácter único, ideal para quienes buscan una propiedad con encanto y potencial. Su distribución versátil permite múltiples posibilidades de reforma tanto para uso residencial como profesional. Situada en una de las zonas más cotizadas de Madrid, rodeada de servicios, comercios, restaurantes y perfectamente comunicada por transporte público. La zona de Goya, situada en el prestigioso barrio de Salamanca, es una de las áreas más codiciadas de Madrid por su combinación de elegancia, servicios y excelente comunicación. Se caracteriza por sus amplias avenidas arboladas, arquitectura señorial y una oferta comercial de primer nivel, con tiendas exclusivas, grandes firmas, centros comerciales como El Corte Inglés y una variada propuesta gastronómica. Además, cuenta con todos los servicios necesarios para la vida diaria —colegios, centros de salud, instalaciones deportivas y espacios culturales— y una excelente conexión mediante varias líneas de metro (Goya, Lista, Velázquez) y autobuses. Su proximidad al parque del Retiro y a las principales arterias de la ciudad, como la calle Alcalá, la Milla de Oro o la plaza de Felipe II, la convierten en una ubicación privilegiada, ideal tanto para residir como para invertir.",False,good,False,14677.0,False,False,False,False,[],False,False,4550000.0,€,flat,,"Goya, Madrid",Piso en calle de Ayala,3,True,Barrio de Salamanca,Goya,True,,,,,,,
