propertyCode,thumbnail,externalReference,numPhotos,floor,price,propertyType,operation,size,exterior,rooms,bathrooms,address,province,municipality,district,country,neighborhood,latitude,longitude,showAddress,url,description,hasVideo,status,newDevelopment,hasLift,priceByArea,hasPlan,has3DTour,has360,hasStaging,notes,topNewDevelopment,topPlus,priceInfo.price.amount,priceInfo.price.currencySuffix,detailedType.typology,suggestedTexts.subtitle,suggestedTexts.title,newDevelopmentFinished,parkingSpace.hasParkingSpace,parkingSpace.isParkingSpaceIncludedInPrice,detailedType.subTypology,priceInfo.price.priceDropInfo.formerPrice,priceInfo.price.priceDropInfo.priceDropValue,priceInfo.price.priceDropInfo.priceDropPercentage,parkingSpace.parkingSpacePrice
102777765,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/86/3e/d3/1166970822.webp,HBAG-3013-009,18,2,390000.0,flat,sale,59.0,True,1,1,avenida Doctor Federico Rubio y Galí,Madrid,Madrid,Tetuán,es,Bellas Vistas,40.4529761,-3.7078283,False,https://www.idealista.com/inmueble/102777765/,"APARTAMENTO EN AVENIDA DOCTOR FEDERICO RUBIO Y GALÍ SEGUNDO EXTERIOR DERECHA HBAG-3013-009 HOME BOUTIQUE Real Estate vende precioso apartamento de 59 m² más una sobre altura en el bajo cubierta de unos 25 m², con estructura de madera vista. Una zona extra que usar como zona de descanso o trabajo, con luz natural a través del salón y dos ventanas tipo velux en la cubierta. El apartamento dispone de un dormitorio con ventana a la corrala, baño completo y un luminoso salón con cocina integrada. El salón se abre a la avenida a través de dos balcones con cerrajería. La cocina dispone de muebles bajos y altos con puertas en material laminados en una elegante combinación de blanco y gris, con frontal de encimera en gres porcelánico. Equipada con electrodomésticos marca Balay (placa de inducción, campana extractora, horno, microondas y frigorífico combi con congelador). Preinstalación para lavadora y/o secadora. Carpintería interior de puertas lisas lacadas en blanco. Armarios empotrados forrados interiormente con balda maletero y barra perchero. En cuanto al interior de los inmuebles destacan las pinturas lisas, los suelos de tarima flotante, y gres porcelánico en baños en combinación con el alicatado de suelo a techo en color blanco. Luminarias interiores con bombillas led de luz cálida. Ubicado en el centro del Distrito de Tetuán, a medio camino entre Cuatro Caminos y Plaza de Castilla, y muy cerca de Ciudad Universitaria. El edificio ha sido sometido a una rehabilitación integral, por lo que los inmuebles cuentan con las calidades y comodidades de la obra nueva y todo el encanto de un edificio de principios del siglo XX. Se ha conservado la fachada con su aire elegante, con ménsulas y escayolas con sobre relieves, cerrajería original, así como la tradicional corrala interior, que hace de distribuidor del acceso a las viviendas, dotando a las mismas de un aire chic renovado. Para más información, nuestro equipo está a tu disposición.",False,good,False,True,6610.0,True,True,False,False,[],False,False,390000.0,€,flat,"Bellas Vistas, Madrid",Piso en avenida Doctor Federico Rubio y Galí,,,,,,,,
103308525,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/d8/1e/6e/966353603.webp,at,3,3,407000.0,penthouse,sale,66.0,True,1,1,"calle Rafael Vega, 7, 9",Madrid,Madrid,Hortaleza,es,Canillas,40.4658748,-3.6342984,True,https://www.idealista.com/obra-nueva/103308525/,"Vivienda de obra nueva de 1 dormitorio con una superficie de 66,32 m² construidos (44,70m² útiles) y con una amplia terraza de 41,10m² con acceso desde la habitación y el salón. Las diferentes zonas tienen luz y ventilación natural.",False,newdevelopment,True,True,6167.0,True,False,False,False,[],False,False,407000.0,€,flat,"Canillas, Madrid","Ático en calle Rafael Vega, 7, 9",True,True,True,penthouse,,,,
108125826,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/ac/21/8c/1334624382.webp,BNJJ,18,bj,1160000.0,flat,sale,106.0,False,3,2,calle de Claudio Coello,Madrid,Madrid,Barrio de Salamanca,es,Castellana,40.4298468,-3.685832,False,https://www.idealista.com/inmueble/108125826/,"Belton Real Estate presenta este luminoso piso de 100 metros cuadrados, estratégicamente ubicado en una planta baja interior que ofrece serenidad en el vibrante corazón de la ciudad de Madrid. La propiedad inteligentemente distribuida consta de dos amplias habitaciones, además de una tercera estancia versátil que actualmente se disfruta como sala de estar, pero que se adapta fácilmente a un dormitorio adicional según sus necesidades. Los dos baños completos están equipados con grifería dorada de diseño y revestimientos cerámicos en tonos neutros que aportan calidez y elegancia. Una moderna cocina de concepto abierto se integra armoniosamente en un espacioso salón-comedor, inundado de luz natural gracias a sus grandes ventanales. El edificio cuenta con ascensor. Ubicado en la prestigiosa zona de Salamanca - Castellana, este inmueble goza de una ubicación privilegiada. Su entorno ofrece una excelente conectividad gracias a una extensa red de transporte público, con múltiples líneas de autobús y cercanas estaciones de metro. La zona brinda una completa gama de servicios, incluyendo supermercados de calidad, reconocidos colegios y agradables parques. Además, se encuentra a un paso de una selecta variedad de comercios de moda, restaurantes de alta cocina y emblemáticos puntos de interés cultural como museos.",False,good,False,True,10943.0,False,False,False,False,[],False,False,1160000.0,€,flat,"Castellana, Madrid",Piso en calle de Claudio Coello,,,,,,,,
109141316,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/70/94/62/1365550095.webp,FUENTE DEL BERRO 11,30,5,970000.0,flat,sale,123.0,True,2,2,"calle de la Fuente del Berro, 11",Madrid,Madrid,Barrio de Salamanca,es,Goya,40.4264161,-3.6703256,True,https://www.idealista.com/inmueble/109141316/,"Piso exterior luminoso y completamente reformado de 123 m² en Goya - Amueblado, Listo para entrar a vivir Zona: Goya, distrito Salamanca - a escasos metros del Corte Inglés de Goya Superficie construida: 123 m² Planta: 5ª con ascensor Estado: Reformado hace 6 años, impecable Características destacadas: -Exterior y luminoso: grandes ventanales en todas las estancias, orientación este, que garantiza luz natural y ambiente cálido todo el día. -Tranquilidad absoluta: el salón y la terraza dan a un hermoso patio vecinal peatonal, sin ruidos urbanos. Distribución: -2 dormitorios dobles:  o Dormitorio principal: cama matrimonio, armarios empotrados completamente vestidos, baño independiente en suite con ducha y lavabo doble.  o Segundo dormitorio: cama doble y armario. -2 baños completos (uno en suite) -Salón acogedor y decorado, con TV LED y aire acondicionado y con salida directa a una agradable terraza que invita al descanso. -Cocina abierta tipo americana unida al comedor, totalmente amueblada y equipada con electrodomésticos de alta gama y útiles completos. -Techos altos de 2,9 m, suelos de tarima preciosa, carpintería exterior con doble acristalamiento oscilobatiente. Servicios y extras -Edificio de 6 plantas con ascensor -Conserje de lunes a viernes Ubicación privilegiada -En una calle tranquila entre Alcalá y Hermosilla, protegida del bullicio urbano -A pocos metros de supermercados, restaurantes, colegios y hospitales (como el Hospital Gregorio Marañón a 10 min andando) -A solo minutos caminando del Parque del Retiro - perfecto para paseos y actividades al aire libre -Estación de metro Manuel Becerra a solo 150 m y Goya a 400 m -En el corazón del barrio de Goya, conocido por sus avenidas arboladas, boutiques de lujo y ambiente cosmopolita Una propiedad exclusiva por su diseño, ubicación y calidades ¡No dejes perder esta oportunidad! . Para más información o para concertar una visita, no dudes en contactarme. Trabajo de lunes a domingo. Estoy disponible todos los días para ti.",True,good,False,True,7886.0,True,False,False,False,[],False,False,970000.0,€,flat,"Goya, Madrid","Piso en calle de la Fuente del Berro, 11",,,,,,,,
108404271,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/57/6c/16/1343477983.webp,BAJO ,9,bj,238860.0,flat,sale,103.0,True,3,2,Fuentebella-San Felix-El Leguario,Madrid,Parla,Fuentebella-San Felix-El Leguario,es,,40.2245196,-3.7752397,False,https://www.idealista.com/obra-nueva/108404271/,"""Las Terrazas del Leguario"" son 23 viviendas de VPPL en régimen de Cooperativa en una de las zonas de mayor desarrollo de Parla.  Se encuentra ubicada en la zona del Leguario, situado en el este de Parla, una zona bien comunicada con la autovía A-42 así como con las líneas de tranvía y cercanías. El proyecto se compone de viviendas de VPPL de 3 dormitorios, terraza, plaza de garaje y trastero opcional. Se trata de viviendas de diseño moderno, muy luminosas, con ventilación cruzada y doble orientación, una distribución que optimiza al máximo el espacio y solamente 0,80 m² de pasillos. Consta de salón-comedor-cocina de 31m², terraza de 10m², tres dormitorios, dos baños, lavadero, climatización por aerotermia y piscina comunitaria. La Cooperativa trabaja con costes reales sin que haya beneficio de promotor, lo que se traduce en ahorro económico para los socios: mejores viviendas a menor coste.",False,newdevelopment,True,True,2319.0,True,False,False,False,[],False,False,238860.0,€,flat,"Fuentebella-San Felix-El Leguario, Parla",Piso,False,True,True,,,,,
108738639,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/23/8c/bc/1353705833.webp,28-02260,19,3,215000.0,flat,sale,68.0,True,3,1,calle Girasol,Madrid,Madrid,Carabanchel,es,Buena Vista,40.3686075,-3.7483513,False,https://www.idealista.com/inmueble/108738639/,"� ¡VENTA GARANTIZADA! Piso con contrato de alquiler vigente: Oportunidad de inversión con rentabilidad inmediata ¿Buscas una inversión segura? ¡Esta es tu oportunidad! Ponemos a la venta un luminoso piso todo exterior con inquilino y contrato vigente, ideal para obtener rentabilidad desde el primer día. � Ubicación privilegiada en Carabanchel Alto – Buena Vista, a solo 5 minutos a pie de la estación de metro Carabanchel Alto (Línea 11), con excelente conexión a la M-40, A-5 y el centro de Madrid. �️ Distribución del piso: 3 amplios dormitorios 1 baño completo con bañera Salón independiente con acceso a terraza exterior Cocina equipada con salida a una pequeña terraza Calefacción individual de gas natural Suelos de tarima flotante 3ª planta sin ascensor Muy luminoso y ventilado � A un paso del Centro Comercial Islazul y rodeado de todo tipo de servicios: colegios, supermercados, zonas verdes y más. � Excelente comunicación: Metro Línea 11 (Carabanchel Alto) EMT: Líneas 34, 35, 47, 139 Autobuses interurbanos Próxima ampliación de la Línea 11 con conexión directa a Atocha y Valdebebas � Financiación hasta el 100% + gastos (*sujeto a estudio financiero) � ¡Ven a visitarlo sin compromiso! Déjate sorprender por todo lo que este piso tiene para ofrecerte. Alquiler Protegido – Real Estate +15 años de experiencia | +13.000 propietarios | +24.000 inquilinos | +8.000 inmuebles gestionados  Confianza | Profesionalidad | Trato humano.",False,good,False,False,3162.0,False,False,False,False,[],False,False,215000.0,€,flat,"Buena Vista, Madrid",Piso en calle Girasol,,,,,,,,
109074728,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/6d/e0/8b/1364301152.webp,DS005192240,40,2,470000.0,flat,sale,153.0,True,3,2,calle Antonio Muñoz Molina,Madrid,Rivas-Vaciamadrid,Rivas Futura,es,,40.3457581,-3.5208554,False,https://www.idealista.com/inmueble/109074728/,"VIVIENDA DE 3 DORMITORIOS DISPONIBLE! Gran oportunidad en Rivas Futura. Vivienda de 3 dormitorios muy amplios con armarios empotrados, 2 baños (uno de ellos en suite con bañera de hidromasaje), salón, cocina con terraza tendedero, y recibidor con otro armario empotrado. Se entrega vacía de muebles y cocina con electrodomésticos. Preinstalación de aire acondicionado. Calefacción de gas natural individual. PLAZA DE GARAJE Y TRASTERO INCLUIDOS EN EL PRECIO, situados en el sótano del mismo edificio. Gastos de Comunidad/mes= 166 € IBI = 880 €/año TRU= 60 €/año Ubicado en una urbanización cerrada con cámaras de vigilancia y conserje de Lunes a Domingo.  Cuenta con zonas comunes como piscina comunitaria, zona de Juegos-Infantil, jardín, sala multiusos y pista de paddle. En la zona hay todo tipo de servicios, zonas verdes, escuelas infantiles, centros educativos, supermercados, restaurantes, etc.  Se encuentra a 5 minutos en coche del Hospital HM Rivas, del CC H2O y parque comercial (Leroy Merlin, Decathlon,... ) Comunicado por transporte público, como autobús prácticamente en la puerta, y Metro Rivas Futura (Línea 9) a 10 minutos caminando.  Mejor ver! No dude en contactar con nosotros para más información y visitas (a partir de mediados de Agosto). Disponemos de DEPARTAMENTO FINANCIERO que le puede asesorar en caso de necesitarlo, y así poder buscar las mejores condiciones del mercado financiero.",False,good,False,True,3072.0,True,False,True,False,[],False,False,470000.0,€,flat,"Rivas Futura, Rivas-Vaciamadrid",Piso en calle Antonio Muñoz Molina,,True,True,,,,,
108906955,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/5a/26/da/1358551788.webp,A-DUQUE28,45,1,745000.0,flat,sale,95.0,True,2,1,calle del Conde Duque,Madrid,Madrid,Centro,es,Malasaña-Universidad,40.4262766,-3.7110154,False,https://www.idealista.com/inmueble/108906955/,"ALMANOVA EVOLUCIÓN INMOBILIARIA “Nuestra alma renació para evolucionar el concepto de la gestión inmobiliaria a un modelo más eficiente"". Adecuando los precios a cada momento de mercado. ¡Evolucionamos el barrio desde el año 2004, junto a ti! Vive en la frontera de Universidad-Malasaña y Trafalgar-Chamberí. Muy cerca del Corte Ingles, ICAI e ICADE. Ofrecemos en esta ocasión esta estupenda vivienda exclusiva y única por su enclave, con el privilegio de buenos vecinos, enfrente del Centro Cultural Conde Duque, privacidad y una exposición de 4 balcones exteriores que lo convierten en un inmueble destacado. Azotea de uso compartido con vistas privilegiadas. Actualmente se encuentra para reformar. Aportamos proyecto e idea de arquitectura y diseño con renders.  La propuesta de reforma para este piso plantea una redistribución completa del espacio interior, con el objetivo de optimizar la funcionalidad y potenciar la luz natural en toda la vivienda. Se ha diseñado una zona de día abierta —salón, comedor y cocina— que ocupa la fachada principal, generando un ambiente amplio, luminoso y versátil. El programa se completa con dos dormitorios, dos baños (uno en suite) y un vestidor vinculado a la habitación principal. La selección de materiales y el diseño de iluminación refuerzan una atmósfera serena y contemporánea, basada en tonos neutros, madera natural y líneas puras. Esta intervención busca combinar calidez, eficiencia espacial y elegancia atemporal, adaptando la vivienda a las necesidades actuales sin perder su carácter. Ubicación privilegiada en el corazón de Madrid, en un barrio que combina historia, cultura y vida. A solo pasos de Malasaña y Plaza de España, es una zona tranquila pero vibrante, con excelente oferta cultural (Centro Conde Duque), cafés con encanto, restaurantes y parques cercanos.  Cumplimos 20 años en el barrio prestando un servicio sincero y eficaz a nuestros vecinos. Contamos con 2 oficinas a su disposición en las principales columnas vertebrales del barrio, Calle Atocha 28, ""la esquina"" (enfrente de la Parroquia de San Sebastián) y Calle Huertas 57, llegando al Paseo Del Prado. ¿QUIERES SABER CUÁNTO VALE TU INMUEBLE? NUESTRO PRINCIPAL VALOR ES LA CLARIDAD CON FUNDAMENTO. Solicita tu valoración profesional y gratuita. ¡Vende ahora, no pierdas el momento! ¡Somos la evolución inmobiliaria! Trabajamos precio justo, no nos equivocamos. Nuestro trabajo no es publicar inmuebles sino venderlos y en menos de 60 días. ¡Comprueba nuestra eficacia, demostrable! ¡Desde el año 2004 junto a ti! Confié en los que más tiempo llevan en el barrio.",False,renew,False,True,7842.0,True,False,False,False,[],False,False,745000.0,€,flat,"Malasaña-Universidad, Madrid",Piso en calle del Conde Duque,,,,,,,,
108839531,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/52/8c/4b/1356627301.webp,,40,3,720000.0,flat,sale,114.0,True,3,2,CL BUSTAMANTE,Madrid,Madrid,Arganzuela,es,Palos de la Frontera,40.4013904,-3.6861631,False,https://www.idealista.com/inmueble/108839531/,"¡Descubre tu nuevo hogar en el corazón de Madrid! Este espectacular piso de 114 m², situado junto a la estación de tren de Atocha, ofrece una ubicación inmejorable con acceso rápido a la estación de metro Delicias. La vivienda, completamente exterior y llena de luz natural, cuenta con 3 amplios dormitorios y 2 baños completos, ideal para disfrutar de la comodidad y el espacio que mereces. La distribución del piso es excelente, con un salón acogedor y una cocina independiente que se adapta a todas tus necesidades. La urbanización cerrada garantiza tu seguridad las 24 horas, mientras que la piscina comunitaria y los jardines son perfectos para relajarte y disfrutar del buen tiempo. Este piso se encuentra en un estado impecable, listo para entrar a vivir, ya que viene completamente amueblado y equipado con muebles del propietario. Incluye armarios empotrados, un trastero y una plaza de garaje privada, todo en el precio. Con calefacción de gas natural y aire acondicionado, estarás cómodo durante todo el año. No dejes pasar la oportunidad de vivir en un lugar donde la calidad de vida y la comodidad se unen. ¡Contáctanos para más información y ven a verlo!",False,good,False,True,6316.0,False,False,False,False,[],False,False,720000.0,€,flat,"Palos de la Frontera, Madrid",Piso en CL Bustamante,,True,True,,750000.0,30000.0,4.0,
109133596,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/49/62/58/1365336550.webp,11740,37,st,164000.0,flat,sale,30.0,False,1,1,calle de Argumosa,Madrid,Madrid,Centro,es,Lavapiés-Embajadores,40.4088038,-3.7017853,False,https://www.idealista.com/inmueble/109133596/,"Presentamos apartamento super tranquilo, situado en una de las calles más conocidas del efervescente y céntrico barrio de Lavapiés, la calle Argumosa, conocida por su diversidad de restaurantes y terracitas, ¡y con la parada de metro de Lavapiés en frente! ATENCION! EL PISO ESTA EN LA PLANTA SOTANO, AUNQUE TIENE LUZ Y VENTILACION NATURAL. EL ASCENSOR NO BAJA HASTA LA -1 -1, SE ACCEDE A TRAVES DE DOS PEQUEÑOS TRAMOS DE ESCALERAS INVERSION DE ALTA RENTABILIDAD. NO COBRAMOS HONORARIOS AL COMPRADOR! El apartamento esta recién reformado y se vende totalmente amueblado y con menaje del hogar con todo detalle (TV de 50"", sabanas, toallas, cafetera, tostadora, plancha etc), tiene cocina americana, un dormitorio, cuarto de baño con plato de ducha y un patio de uso privado que permiten la entrada de luz y ventilación natural, hay otro patio mas grande que se puede usar también compartido con el único vecino de la planta.  El inmueble está situado en una finca representativa de más de 100 años de historia, con ascensor, pero ATENCIÓN para acceder al inmueble hay que bajar dos tramos de escalera y solo 32 vecinos y acceso a una espectacular terraza comunitaria en la azotea donde disfrutar de los bonitos atardeceres de Madrid. Gracias a los grandes muros de la vivienda el aislamiento térmico y acústico está asegurado, manteniendo una temperatura estable durante todo el año que supone un gran ahorro en calefacción o aire acondicionado. El agua caliente funciona por termo acumulador eléctrico.  Lavapiés es barrio en tendencia. Es MadriZ, nuevos artistas, startups, tiendas de barrio de toda la vida, comidas internacionales, especialidades para veganos... panaderías de masa madre, tiendas de ropa de jóvenes diseñadores, arreglos de bicis, reciclaje de ropa... puedes tomar un aperitivo castizo de mollejas y torreznos, disfrutar de comida hindú o degustar croquetas de diseño o platos de cocina fusión y luego tomar algo en alguno de sus locales de ocio nocturno más renombrados de la ciudad.  Aunque la mezcla de culturas marcó su carácter iconoclasta durante los años 90 y 2000, ahora es un barrio moderno, con tiendas y negocios de todo tipo orientado hacia una convivencia vecinal y cosmopolita.  Es un barrio consolidado y muy bien comunicado por transporte público y privado, con salidas cercanas a la M.30, Paseo de la Castellana etc., con todo tipo de servicios esenciales, colegios, institutos y centros universitarios, centro de salud Lavapiés, Mercado de San Fernando, supermercados (Carrefour 24h, Mercadona, Ahorramas, Lidl), bancos, farmacia etc. y una oferta cultural impresionante, galerías de arte, cines Doré, la sala Equis para cine más indie, y los nuevos pequeños cines de embajadores. Y grandes centros culturales como la Casa Encendida, Tabacalera, Museo del Prado, Museo reina Sofía, museo Caixa Fórum, Teatro Circo Price, cerca de la casa de Cervantes….  Si nos gusta pasear por el Madrid más castizo, estamos muy cerca de la estación del Arte, Atocha, del Paseo del Prado o a 10 minutos de la Puerta del Sol, de La Latina o del mítico Rastro Madrileño, el gran Parque del Retiro, pulmón de la ciudad o Madrid Rio.  ¡No pierdas la oportunidad de poder vivir en un barrio con tanto encanto!",False,good,False,True,5467.0,True,False,True,False,[],False,False,164000.0,€,flat,"Lavapiés-Embajadores, Madrid",Piso en calle de Argumosa,,,,,,,,
