propertyCode,thumbnail,externalReference,numPhotos,floor,price,propertyType,operation,size,exterior,rooms,bathrooms,address,province,municipality,district,country,neighborhood,latitude,longitude,showAddress,url,description,hasVideo,status,newDevelopment,hasLift,priceByArea,hasPlan,has3DTour,has360,hasStaging,notes,topNewDevelopment,topPlus,priceInfo.price.amount,priceInfo.price.currencySuffix,priceInfo.price.priceDropInfo.formerPrice,priceInfo.price.priceDropInfo.priceDropValue,priceInfo.price.priceDropInfo.priceDropPercentage,parkingSpace.hasParkingSpace,parkingSpace.isParkingSpaceIncludedInPrice,parkingSpace.parkingSpacePrice,detailedType.typology,detailedType.subTypology,suggestedTexts.subtitle,suggestedTexts.title,highlight.groupDescription,newDevelopmentFinished
107671134,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/25/0e/ba/1319330870.webp,OH965,37,6,1990000.0,penthouse,sale,300.0,True,4,4,Barrio Bernabéu-Hispanoamérica,Madrid,Madrid,Chamartín,es,Bernabéu-Hispanoamérica,40.4567074,-3.6799702,False,https://www.idealista.com/inmueble/107671134/,"Oasis House les presenta esta exclusiva propiedad de unos 300 m² en el codiciado barrio de Hispanoamérica, muy próximo a El Viso. Se trata de un impresionante ático dúplex con terraza privada y vistas despejadas, ubicado en una finca con piscina, pista de pádel y garaje comunitario, donde cada detalle está pensado para disfrutar de un estilo de vida sofisticado y cómodo en el corazón de Madrid. Distribución perfecta, luz y espacios que enamoran En la planta principal, un amplio y luminoso salón-comedor con orientación norte se convierte en el centro de reuniones. La cocina, independiente y totalmente equipada con zona office, ofrece funcionalidad y confort. Este nivel se completa con tres dormitorios, uno de ellos en suite, y un baño completo adicional. La planta superior es un verdadero oasis de privacidad: un segundo salón ideal como family room, una espectacular suite con vestidor y acceso a un porche cubierto y climatizado, perfecto para disfrutar en cualquier época del año. Desde aquí se accede a una terraza privada en la azotea con vistas privilegiadas, ideal para desconectar o recibir invitados. Calidades y confort durante todo el año La vivienda cuenta con calefacción individual por gas y aire acondicionado, garantizando confort en todas las estaciones. La urbanización ofrece servicios exclusivos: piscina, pista de pádel y amplias plazas de aparcamiento disponibles en alquiler. Ubicación inmejorable Situado en la prestigiosa zona de Hispanoamérica, junto a El Viso, el inmueble goza de una excelente conexión por transporte público (líneas de autobús y metro Colombia a 5 minutos) y rápido acceso a la M-30. Rodeado de colegios, supermercados, centros de salud, farmacias, restaurantes y todo tipo de servicios, vivir aquí es sinónimo de comodidad y calidad de vida. Una oportunidad única para vivir en un ático de ensueño en una de las zonas más exclusivas de Madrid. En Oasis House sabemos que la compra venta de una vivienda es una de las mayores inversiones de su vida y para ello disponemos de: - asesoramiento financiero para su crédito hipotecario gracias a nuestros acuerdos con los principales bancos - servicio de reformas y de proyectos de interiorismo - profesionales inmobiliarios con formación superior, para encontrarle la vivienda que busca en la zona! - Certificados de eficiencia energética - Le acompañamos en todo el proceso de la compra venta, hasta el notario para que disfrute de la mayor tranquilidad - Experiencia, eficacia y seriedad Disponemos de un amplio catálogo de viviendas que no publicamos en los portales inmobiliarios por deseo expreso de los propietarios. Pueden verlos accediendo a nuestra web De igual forma, disponemos de un amplio catálogo de viviendas off market, no publicadas, contáctenos para mayor información.",True,good,False,True,6633.0,True,False,True,False,[],False,False,1990000.0,€,2095000.0,105000.0,5.0,True,False,130.0,flat,penthouse,"Bernabéu-Hispanoamérica, Madrid",Ático,Top,
109162546,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/11/61/8d/1366108608.webp,CLK00/5075,26,4,1850000.0,flat,sale,229.0,True,4,4,calle de Galileo,Madrid,Madrid,Chamberí,es,Vallehermoso,40.440214,-3.7111482,False,https://www.idealista.com/inmueble/109162546/,"¡SOMOS PROPIETARIOS! Disfruta de todas las ventajas de comprar directamente a la propiedad. Clikalia presenta este piso ubicado en el barrio de Vallehermoso, en Madrid. La vivienda está ubicada en la 4 planta exterior con ascensor. Dispone de una superficie total de 229 m², distribuidos en salón y comedor, cocina independiente, 4 dormitorios y 3 baños. Además, cuenta con ascensor, terraza, cocina amueblada, armarios empotrados, aire acondicionado, balcón, portero y accesibilidad para personas con movilidad reducida. Situado en el barrio de Vallehermoso, en la Calle Galileo, cuenta con una ubicación que te permitirá estar cerca de la Universidad Politécnica de Madrid y de varias paradas de metro como Moncloa (L3 y L6) y Quevedo (L2). Agenda tu visita, te acompañamos en todo el proceso. Llámanos de lunes a viernes de 9.00h a 20.00h.",True,good,False,True,8079.0,True,False,False,False,[],False,False,1850000.0,€,,,,,,,flat,,"Vallehermoso, Madrid",Piso en calle de Galileo,Top,
107886661,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/86/19/10/1347843897.webp,SG30 C,37,bj,229000.0,flat,sale,48.0,True,2,1,"calle de Sierra Gádor, 30",Madrid,Madrid,Villa de Vallecas,es,Casco Histórico de Vallecas,40.3808461,-3.6259291,True,https://www.idealista.com/inmueble/107886661/,"VENTA DIRECTA PROPIEDAD. Se vende magnifica vivienda, con posibilidad de uso turístico VUT, completamente a estrenar (se corresponde con la vivienda C en el plano). Cuenta con dos dormitorios, y baño espacioso con plato de ducha. Con espacioso salón - comedor diseñado para el aprovechamiento de luz natural al máximo. La vivienda cuenta con reforma de diseño, aislamiento tanto acústico como térmico, iluminación led. Armarios lacados, compartimentados e iluminados interiormente, además de cocina equipada con todos los electrodomésticos integrados y encimera de formica con canto de 4 cm.  Climatización y agua caliente mediante CIRQ HP- MIDEA (Multisistema con recuperación de calor) -La unidad Multisistema con recuperación de calor de MIDEA en combinación con el nuevo depósito de ACS permite el funcionamiento de un sistema todo en uno. Realizando la climatización de la sala a través de unidades interiores de expansión directa y la producción de ACS con el depósito. -La tecnología de recuperación permite la producción de frio y ACS simultáneamente, esto se consigue aprovechando el calor extraído durante la producción de frío para producir ACS de forma gratuita. A pocos minutos de transporte público como línea de metro, autobús y Renfe, comunicado con supermercados y servicios de primera necesidad como centro sanitario y escuelas.",False,good,False,True,4771.0,True,False,True,False,[],False,False,229000.0,€,,,,,,,flat,,"Casco Histórico de Vallecas, Madrid","Piso en calle de Sierra Gádor, 30",Top,
109184271,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/18/b7/14/1366756881.webp,CLK00/5057,25,7,1120000.0,flat,sale,146.0,True,3,3,paseo de la Reina Cristina,Madrid,Madrid,Retiro,es,Jerónimos,40.4088841,-3.6832642,False,https://www.idealista.com/inmueble/109184271/,"¡SOMOS PROPIETARIOS! Disfruta de todas las ventajas de comprar directamente a la propiedad. Clikalia presenta este piso ubicado en el barrio de Niño Jesús, en Madrid. La vivienda está ubicada en la 7 planta exterior con ascensor. Dispone de una superficie total de 146 m², distribuidos en salón y comedor, cocina abierta, 3 dormitorios y 3 baños. Además, cuenta con ascensor, cocina amueblada, armarios empotrados, aire acondicionado y portero. Situado en el barrio de Niño Jesús, en la Paseo Reina Cristina, cuenta con una ubicación que te permitirá estar cerca de todo lo que necesitas como el Centro Deportivo Municipal Daoiz y Velarde 1, el Parque de El Retiro y a estación de tren Madrid Puerta de Atocha-Almudena Grandes. A su vez, está próximo a supermercados, restaurantes, colegios, gimnasios, paradas de autobús y a la estación de metro Menéndez Pelayo (L1). Agenda tu visita, te acompañamos en todo el proceso. Llámanos de lunes a viernes de 9.00h a 20.00h.",True,good,False,True,7671.0,True,False,False,False,[],False,False,1120000.0,€,,,,,,,flat,,"Jerónimos, Madrid",Piso en paseo de la Reina Cristina,Top,
109165626,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/e7/eb/33/1366210600.webp,M20803V,38,4,2490000.0,flat,sale,185.0,True,4,3,calle de la Santísima Trinidad,Madrid,Madrid,Chamberí,es,Trafalgar,40.4363763,-3.7017211,False,https://www.idealista.com/inmueble/109165626/,"En Walter Haus le presentamos una vivienda de alto nivel ubicada en un edificio representativo, ideal para quienes buscan amplitud y funcionalidad. Este piso cuenta con una superficie construida de 185 m² y se orienta al Oeste, lo que garantiza una excelente entrada de luz natural durante gran parte del día. Su diseño moderno y bien estructurado hace de esta propiedad una opción cómoda y versátil tanto para familias como para profesionales que valoran el espacio y el confort. El inmueble dispone de cuatro habitaciones, una de ellas en suite con baño privado, tres baños en total, y una cocina integrada en un amplio salón comedor que favorece un ambiente abierto y acogedor. La zona de estudio, perfectamente delimitada, ofrece un espacio tranquilo ideal para teletrabajar o para actividades creativas. Dos terrazas completan la distribución, una de ellas lo suficientemente amplia para instalar una zona de estar exterior que se convierte en un rincón perfecto para disfrutar del aire libre. La propiedad se encuentra en una ubicación privilegiada, dentro de una zona bien comunicada y con todos los servicios necesarios en las inmediaciones. Su entorno combina tranquilidad residencial con acceso rápido a comercios, colegios y transporte público, lo que añade un valor significativo al estilo de vida que ofrece esta vivienda. Adquirir esta propiedad supone invertir en calidad, ubicación y funcionalidad. Cada detalle ha sido pensado para ofrecer una experiencia de vida cómoda, luminosa y práctica. Desde Walter Haus, estaremos encantados de asesorarle y acompañarle en cada paso del proceso. Contáctenos para más información y para concertar una visita personalizada. Walter Haus Real Estate es un grupo inmobiliario con sede en las principales capitales de España, en las principales ubicaciones de Madrid, Barcelona y Costa Brava. Contamos con una experiencia de más de 20 años, con un dinámico equipo de profesionales con experiencia en el asesoramiento personal en constante formación y con una especialización muy concreta en cada zona de actuación lo que nos permite encontrar soluciones a las necesidades de cada cliente.",False,good,False,True,13459.0,True,False,False,False,[],False,False,2490000.0,€,,,,True,True,,flat,,"Trafalgar, Madrid",Piso en calle de la Santísima Trinidad,Top,
109149458,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/ae/c6/dc/1365740704.webp,,16,bj,349900.0,flat,sale,136.0,False,2,2,"calle de Huelva, 92",Madrid,Arroyomolinos,Las Castañeras - Bulevar,es,,40.2840274,-3.9126874,True,https://www.idealista.com/inmueble/109149458/,"Agencia inmobiliaria en Arroyomolinos INMOBILIARIA HOGARES ARROYOMOLINOS VENDE ESPECTACULAR PISO EN ZONA BULEVAR una de las mejores zonas del municipio. Consta de 2 habitaciones, la principal con baño en suite y una secundaria con un gran tamaño  Un gran salón y una amplia y luminosa cocina la cual se encuentra en muy buen estado de conservación además de estar equipada con tendedero. Dispone de una espectacular terraza orientada al interior de la urbanización con amplios espacios para disfrutar en familia o darle cualquier tipo de uso  Incluidos en el precio dispone de 2 plazas de garaje con opción de adquirir una tercera (no incluida en el precio) y un cuarto trastero.  La vivienda se encuentra junto a todos los servicios, paradas de autobús, comercios, supermercados, y junto al nuevo ambulatorio. Además de estar cerca de zonas verdes y un mirador  No pierdas la oportunidad de vivir en este increíble piso en una de las mejores zonas de la ciudad. ¡Agenda una visita con nosotros hoy mismo! EL PRECIO INCLUYE DOS PLAZAS DE GARAJE Y TRASTERO. ¡NO DUDES Y VEN A VISITAR TU FUTURO HOGAR!",True,good,False,True,2573.0,True,True,False,False,[],False,False,349900.0,€,,,,True,True,,flat,,"Las Castañeras - Bulevar, Arroyomolinos","Piso en calle de Huelva, 92",Top,
109164668,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/d9/66/fc/1366174528.webp,39673,30,2,239900.0,flat,sale,55.0,True,2,1,calle de Etruria,Madrid,Madrid,San Blas,es,Canillejas,40.4354605,-3.6137313,False,https://www.idealista.com/inmueble/109164668/,"Piso exterior de 55m² con 2 dormitorios junto al Riyadh Air Metropolitano. Dispone de recibidor, salón-comedor, cocina amueblada y equipada, baño con plato de ducha y dos dormitorios. Cuenta con calefacción eléctrica, aire acondicionado y se encuentra en buen estado, con ascensor y listo para entrar a vivir. La vivienda está situada en una zona con múltiples comercios y servicios, cerca del Riyadh Air Metropolitano, la Biblioteca Pública y la Oficina de Atención a la Ciudadanía. Excelente comunicación por transporte público con la L5 de metro y fácil acceso a M21, M40 y A2.",False,good,False,True,4362.0,True,False,False,False,[],False,False,239900.0,€,,,,,,,flat,,"Canillejas, Madrid",Piso en calle de Etruria,Top,
109017120,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/bc/83/25/1361809794.webp,,59,,1269900.0,chalet,sale,656.0,,11,10,avenida de los Olivares s/n,Madrid,Villaviciosa de Odón,Castillo - Campodón,es,,40.3576462,-3.8855243,True,https://www.idealista.com/inmueble/109017120/,"Agencia inmobiliaria en Villaviciosa de Odón. HOGARES VILLAVICIOSA DE ODÓN vende en EXCLUSIVA, espectacular chalet independiente  ¡Descubre tu nuevo hogar en Castillo-Campodón, Villaviciosa de Odón!  Este impresionante chalet independiente de 656 m² se asienta sobre una generosa parcela de 1.872 m², ofreciendo un espacio ideal para disfrutar de la vida en familia.  Al entrar, te recibe un amplio hall que da paso a una cocina espaciosa, perfecta para los amantes de la gastronomía. El salón, luminoso y acogedor, cuenta con una chimenea que invita a relajarse en las noches de invierno. Con once amplísimas habitaciones y diez cuartos de baño, este chalet es perfecto para grandes familias o como inversión para alquiler.  Disponemos en los mas de 1800m2 de parcela, dos apartamentos independientes con cocina propia, y cuarto de baño con plato de ducha, ideales para recibir visitas o para el personal de servicio. Los jardines tranquilos y el amplio espacio exterior son perfectos para disfrutar del aire libre y organizar celebraciones inolvidables. La espectacular piscina de 83 m² se convierte en el centro de atención durante los días soleados,  Ubicado en un entorno privilegiado con comodidades cercanas, este chalet es una oportunidad única que no querrás dejar pasar. ¡Ven a visitarlo y déjate enamorar!",True,good,False,,1936.0,True,True,False,False,[],False,False,1269900.0,€,,,,True,True,,chalet,independantHouse,"Castillo - Campodón, Villaviciosa de Odón",Casa independiente en avenida de los Olivares s/n,Top,
107275236,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/f5/2e/c7/1308163991.webp, THSSESMAD0801,35,1,3900000.0,flat,sale,539.0,True,5,5,Barrio Bernabéu-Hispanoamérica,Madrid,Madrid,Chamartín,es,Bernabéu-Hispanoamérica,40.4541579,-3.6884909,False,https://www.idealista.com/inmueble/107275236/,"Exclusiva propiedad en Chamartín con terraza de ensueño Soberbia propiedad de 340 m² útiles en esquina, con una espectacular terraza de 100 m², completamente acristalada de suelo a techo, ideal para disfrutar de la luz natural durante todo el año. Reformada recientemente con materiales y acabados de altísima calidad, se ubica en una de las zonas más privilegiadas de Madrid, junto al exclusivo barrio de El Viso. Plaza de garaje en finca rotativa, trastero y servicio de portería. Distribución: Un majestuoso recibidor da paso a dos grandes salones y un comedor, todos con acceso directo a la terraza, orientada al este y sur, lo que garantiza luz natural durante todo el día. Cocina de diseño moderna y funcional, con una gran isla central, electrodomésticos de alta gama, office, despensa y zona de lavandería, separada del área social por elegantes cerramientos de cristal y madera. En el área de descanso encontramos una habitación principal en suite, con sala de estar, vestidor y baño. Dos suites adicionales con amplios armarios y una cuarta habitación con posibilidad de baño privado. La vivienda cuenta con zona de servicio completa con acceso independiente y aseo para invitados.  Localización:  Situada en Chamartín, junto a El Viso, una de las zonas más exclusivas y tranquilas de Madrid, esta propiedad ofrece un entorno privilegiado con abundante vegetación, parques y una excelente comunicación con el resto de la ciudad. Rodeada de servicios premium, colegios de prestigio, restaurantes de alta cocina y lugares emblemáticos como el Auditorio Nacional de Música o el Estadio Santiago Bernabéu. Orientación:  Gracias a sus amplios ventanales y su distribución en esquina, esta vivienda disfruta de una excepcional luminosidad natural durante todo el día. La zona de descanso, con los dormitorios principales, está orientada al este, recibiendo la luz suave de la mañana. El salón y la terraza, con orientación sur y este, se inundan de sol a lo largo del día, creando un ambiente cálido y acogedor. Por su parte, la cocina y la zona de servicio, orientadas al oeste, aprovechan la luz de la tarde, aportando un equilibrio perfecto entre claridad y confort en cada espacio. Singularidad: La imponente arquitectura en esquina, junto con su espectacular terraza ajardinada, convierten esta propiedad en una auténtica joya en uno de los barrios más elegantes de Madrid. Su exclusiva reforma, realizada con materiales y acabados de máxima calidad, se complementa con avanzados sistemas de domótica y un completo cine en casa, ofreciendo un nivel de confort y tecnología excepcional. Conservación:  La vivienda ha sido sometida a una ambiciosa reforma que amplía espacios y optimiza la circulación y la llegada de luminosidad cruzada a cada rincón. Actual y vanguardista, con calidades de máximo nivel e instalaciones nuevas, calefacción y agua caliente central, climatización oculta, aislamiento térmico y acústico, materiales nobles en toda la vivienda y cocina equipada con electrodomésticos de gama alta.  Rentabilidad:  Las viviendas en esquina con terraza en esta ubicación son auténticas joyas inmobiliarias, difíciles de encontrar en el mercado. Su singularidad, amplitud y altísima calidad la convierten en una opción ideal tanto para vivir como para una inversión segura y consolidada.",False,good,False,True,7236.0,True,False,True,False,[],False,False,3900000.0,€,,,,True,True,,flat,,"Bernabéu-Hispanoamérica, Madrid",Piso,Top,
109150191,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/18/5a/85/1365758855.webp,,25,,534900.0,chalet,sale,141.0,,3,2,"calle de Grecia, 45",Madrid,Arroyomolinos,Zona Europa,es,,40.2764677,-3.9289446,True,https://www.idealista.com/inmueble/109150191/,"Agencia inmobiliaria en Arroyomolinos INMOBILIARIA HOGARES ARROYOMOLINOS VENDE ESPECTACULAR CHALET PAREADO DE RENTA LIBRE EN UNA DE LAS MEJORES ZONAS DEL MUNICIPIO. Ubicado en la zona Europa, muy próximo a todos los servicios, colegios y supermercados. Muy buena comunicación: cerca de la autovía A-5 y paradas de autobús. La vivienda cuenta con una espectacular entrada. Garaje aéreo con un amplio espacio que da acceso a la vivienda y al patio trasero de la vivienda, el cual está equipado con una magnífica PISCINA de obra de buen tamaño equipada con cobertura para una mejor conservación. El chalet está distribuido en dos plantas: PLANTA PRINCIPAL: Por un lado encontramos el acceso al garaje cubierto, con capacidad para un vehículo y equipado con puertas automáticas tanto interior como exterior. El acceso a la vivienda cuenta con un amplio distribuidor principal que da acceso a una luminosa cocina con dos ventanas al exterior y espacio para una mesa de office, aseo en planta y magnifico salón con zona de ocio y comedor, equipado con aire acondicionado y salida directa al patio trasero, equipado con una estupenda pérgola y césped natural- PRIMERA PLANTA: Encontramos un amplio distribuidor el cual separa al dormitorio principal de los secundarios.  El dormitorio principal es de un excelente tamaño y está equipado con aire acondicionado, además cuenta con baño en suite y zona de vestidor. Los dormitorios secundarios son muy amplios, los dos cuentan con armarios empotrados y uno de ellos con un ventanal que aporta unas magníficas vistas. Ambas habitaciones están acompañadas de un baño secundario. ¡NO DUDES EN VENIR A VISITAR ESTA ESPECTACULAR VIVIENDA! FINANCIACIÓN 100%.",True,good,False,,3794.0,True,True,False,False,[],False,False,534900.0,€,,,,True,True,,chalet,semidetachedHouse,"Zona Europa, Arroyomolinos","Chalet pareado en calle de Grecia, 45",Top,
