propertyCode,thumbnail,externalReference,numPhotos,floor,price,propertyType,operation,size,exterior,rooms,bathrooms,address,province,municipality,district,country,neighborhood,latitude,longitude,showAddress,url,description,hasVideo,status,newDevelopment,hasLift,priceByArea,hasPlan,has3DTour,has360,hasStaging,notes,topNewDevelopment,topPlus,priceInfo.price.amount,priceInfo.price.currencySuffix,parkingSpace.hasParkingSpace,parkingSpace.isParkingSpaceIncludedInPrice,detailedType.typology,suggestedTexts.subtitle,suggestedTexts.title,priceInfo.price.priceDropInfo.formerPrice,priceInfo.price.priceDropInfo.priceDropValue,priceInfo.price.priceDropInfo.priceDropPercentage,detailedType.subTypology,newDevelopmentFinished,parkingSpace.parkingSpacePrice
108029625,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/eb/a8/1f/1331677190.webp,R10162,25,4,340000.0,flat,sale,83.0,True,2,2,calle de Puentedey,Madrid,Madrid,Villa de Vallecas,es,Ensanche de Vallecas - La Gavia,40.3682778,-3.6118802,False,https://www.idealista.com/inmueble/108029625/,"Con Testa Homes no pagas comisión ni honorarios de intermediación por tu inmueble. Oportunidad de inversión: inmueble en rentabilidad. Viviendas actualmente alquiladas. Consulte con nuestro Agente Comercial la información adicional sobre el inmueble y las condiciones especiales de compraventa. *No se admiten visitas a la vivienda Estupenda vivienda de dos dormitorios en perfecto estado de compra.  Cuenta con un amplio salón, una cocina totalmente amueblada y con electrodomésticos de excelente calidad, de 2 dormitorios con armarios empotrados y 2 baños amueblados y completamente equipados.  La vivienda dispone de calefacción individual en todas las estancias a través de conducto. Cuenta con suelo laminado, ventanas de aluminio en gris con Climalit; y baños con porcelánico y lavabo flotante. En sus zonas comunes dispone de una zona deportiva, parking comunitario, zona infantil, sala social, gimnasio, espacios ajardinados y piscina. Además, cuenta con servicio de portería y vigilancia 24h. ¡Todo a tu alcance con tu nuevo hogar! El inmueble está muy bien ubicado en el Ensanche de Vallecas, a pocos minutos del acceso a la M-45, y del C. C. La Gavia, también en la zona cuenta con distintas opciones de restauración, colegios, institutos, centros comerciales, hospitales etc. Además, dispone de fácil acceso a transporte público gracias a su cercanía a la estación de metro de La Gavia, al igual que una amplia multitud de líneas de autobuses a sus alrededores. *No se admiten visitas a la vivienda En Testa Homes, te acompañamos durante todo el proceso de compra de la vivienda y te contamos todo con la mayor transparencia. Además, te ponemos en contacto con un asesor financiero que te informará de las mejores condiciones disponibles.  *En relación a los suministros de luz y agua, será necesario que el nuevo comprador realice el cambio de titularidad a su nombre. Con Testa Homes no pagas comisión ni honorarios de intermediación por tu inmueble.",False,good,False,True,4096.0,False,False,False,False,[],False,False,340000.0,€,True,True,flat,"Ensanche de Vallecas - La Gavia, Madrid",Piso en calle de Puentedey,,,,,,
108278721,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/96/41/95/1339328698.webp,,32,ss,179900.0,flat,sale,56.0,True,1,1,calle del Molino de Viento,Madrid,Madrid,Centro,es,Malasaña-Universidad,40.4260119,-3.70322,False,https://www.idealista.com/inmueble/108278721/,"Agencia inmobiliaria de Madrid-Tecnocasa Consulting Estudio Tribunal Centro vende planta baja/semisótano en el corazón de Madrid, en el barrio de Malasaña-Universidad. La vivienda está distribuida en la parte de la entrada por un pasillo que nos conecta con el resto de estancias. Siguiendo por el pasillo nos encontramos con el baño, completo con plato de ducha y recientemente reformado.  Dispone de un dormitorio amplio sin amueblar, que nos ofrece muchas posibilidades.  Por último, nos encontramos con el salón- cocina, con el mobiliario a estrenar, con placa vitrocerámica pero no equipada de electrodomésticos. Dispone de una ventana hacia el exterior a la misma calle Molino de Viento Es una gran oportunidad de tener una vivienda en pleno centro de Madrid la cual puede ofrecer una gran rentabilidad. En cuanto a los servicios que nos ofrece el edificio, cabe destacar que es una de las zonas mas demandadas de la capital. Donde todas las calles y rincones tienen un toque especial que combina la historia del lugar, con la modernidad de una gran ciudad como Madrid. Esta vivienda ubicada en plena zona de Malasaña, situada en el corazón de Madrid, cercana a las calles Gran Vía, Fuencarral, San Bernardo, Carranza, es una zona con gran personalidad que ha sabido reinventarse sin perder su alma. Es el lugar indicado para ir de tapas, descubrir comercios alternativos, iniciar una noche de fiesta o tomar una cerveza al sol en alguna de sus agradables terrazas. Comunicado por las estaciones de TRIBUNAL (L1 y L10), GRAN VÍA (L1 y L5) y CALLAO (L3 y 5), BILBAO (L4 Y L1) SAN BERNARDO (L2 y L4) y con todos los servicios próximos a la vivienda como líneas de autobús, bancos, comercios etc. Es sin duda, una oportunidad única de vivir en una de las mejores zonas del centro de Madrid. Para más información del inmueble no dude en contactarnos.",True,good,False,False,3213.0,True,False,True,False,[],False,False,179900.0,€,,,flat,"Malasaña-Universidad, Madrid",Piso en calle del Molino de Viento,,,,,,
108012846,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/3e/4b/54/1331176561.webp,R10154,29,2,600000.0,flat,sale,142.0,False,3,2,calle Mercedes Formica,Madrid,Las Rozas de Madrid,Montecillo,es,Montecillo,40.5022305,-3.8860745,False,https://www.idealista.com/inmueble/108012846/,"Con Testa Homes no pagas comisión ni honorarios de intermediación por tu inmueble. Oportunidad de inversión: inmueble en rentabilidad. Viviendas actualmente alquiladas. Consulte con nuestro Agente Comercial la información adicional sobre el inmueble y las condiciones especiales de compraventa. *No se admiten visitas a la vivienda Distribuida en un hall de acceso, con armario empotrado, que da paso al salón-comedor muy luminoso gracias a sus amplios ventanales que dan acceso a una amplia terraza ajardinada. Disfruta de tu cocina desde el primer momento, equipada con electrodomésticos de excelentes calidades y terraza. La vivienda dispone de 3 dormitorios, el principal con baño en suite, con bañera. Ambos baños de la vivienda se encuentran amueblados y cuenta con plato de ducha en el aseo secundario. La vivienda dispone de calefacción y climatización a través de conductos. Cuenta con suelo de tarima, ventanas de aluminio en gris con Climalit y persianas automáticas en el salón; los baños disponen de revestidura porcelánica. El inmueble está muy bien ubicado en Las Rozas, a pocos minutos del acceso a la M-50 y la A-6; la vivienda se encuentra rodeada por diversos parques y distintas opciones de restauración, colegios, institutos, hospitales etc. Además, dispone de fácil acceso a transporte público gracias a su cercanía a la estación de cercanías de Las Rozas (C7-C10), al igual que varias líneas de autobuses interurbanos a sus alrededores. *No se admiten visitas a la vivienda En Testa Homes, te acompañamos durante todo el proceso de compra de la vivienda y te contamos todo con la mayor transparencia. Además, te ponemos en contacto con un asesor financiero que te informará de las mejores condiciones disponibles. *En relación a los suministros de luz y agua, será necesario que el nuevo comprador realice el cambio de titularidad a su nombre. Con Testa Homes no pagas comisión ni honorarios de intermediación por tu inmueble.",False,good,False,True,4225.0,False,False,False,False,[],False,False,600000.0,€,True,True,flat,"Montecillo, Las Rozas de Madrid",Piso en calle Mercedes Formica,,,,,,
109043278,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/73/d3/77/1365102570.webp,,16,1,240000.0,flat,sale,76.0,True,3,1,calle Fernán Caballero,Madrid,Madrid,Carabanchel,es,Comillas,40.3941974,-3.711862,False,https://www.idealista.com/inmueble/109043278/,"Ático A Inmobiliaria presenta en exclusiva este magnífico piso de más de 75 m², diseñado para maximizar la comodidad y habitabilidad. La propiedad cuenta actualmente con entrada, salón, cocina con acceso a patio comunitario con otro vecino y derecho de uso, tres dormitorios y un baño completo. La zona es inmejorable, totalmente consolidada, dispone de un centro de salud a pocos minutos, varias estaciones de metro, la mas próxima es Marques de Vadillo apenas 10 minutos caminando y por supuesto en los alrededores dispones de colegios, institutos, supermercados y una amplia oferta de hostelería incluyendo las principales franquicias y un centro comercial, etc. Fernando, encargado de la venta, está disponible para resolver cualquier consulta o coordinar una visita.",False,renew,False,True,3158.0,True,False,False,False,[],False,False,240000.0,€,,,flat,"Comillas, Madrid",Piso en calle Fernán Caballero,250000.0,10000.0,4.0,,,
108693094,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/ba/ec/21/1352324341.webp,FAR-ESCRIBANOS,18,bj,197000.0,flat,sale,62.0,True,2,1,calle Escribanos,Madrid,Madrid,Villaverde,es,Villaverde Alto,40.344386,-3.7115246,False,https://www.idealista.com/inmueble/108693094/,"¡Descubre con Estudio Inmofar tu nuevo hogar en este acogedor piso en Villaverde Alto! Situado a solo 5 minutos a pie de la estación de metro y Renfe, este inmueble es perfecto para quienes buscan comodidad y accesibilidad. La vivienda, en muy buen estado de conservación, cuenta con una distribución práctica que maximiza el espacio. Con 62 m² construidos, incluye dos amplios dormitorios y un salón comedor de 20 m², ideal para disfrutar de momentos en familia o con amigos. La cocina y el baño, ambos exteriores y con ventana, aportan luminosidad y ventilación natural. Además, el piso está equipado con calefacción de gas natural y aire acondicionado, garantizando tu confort durante todo el año. La cercanía a comercios, supermercados, colegios y farmacias añade un valor extra a esta propiedad, convirtiéndola en una opción ideal tanto para vivienda habitual como para inversión. Si buscas rentabilidad, esta vivienda ofrece la posibilidad de reconvertirla en hasta cuatro dormitorios, adaptándose a tus necesidades. Con armarios empotrados, este piso es una oportunidad que no querrás dejar escapar. ¡Ven a visitarlo y enamórate de tu nuevo hogar!",True,good,False,False,3177.0,True,False,False,False,[],False,False,197000.0,€,,,flat,"Villaverde Alto, Madrid",Piso en calle Escribanos,,,,,,
109098115,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/a8/b9/42/1364292498.webp,ANT_COLM,16,2,220000.0,flat,sale,50.0,True,2,1,calle de Antonio Torres,Madrid,Colmenar Viejo,Centro,es,,40.6606763,-3.7699188,False,https://www.idealista.com/inmueble/109098115/,"My Ideal Home ofrece en Exclusiva precioso piso abuhardillado para entrar a vivir, perfecto para tu primera vivienda o para compra para invertir y luego alquilar, ubicado en el centro de Colmenar Viejo. Esta vivienda destaca por su luz natural y detalles que marcan la diferencia. Distribución perfecta para disfrutar al máximo: Luminoso Salón - Comedor, cocina amueblada y equipada, 2 habitaciones y baño completo con plato de ducha. Aire acondicionado bomba frio calor, en el salón y la pasillo para mejor distribución. Orientación Este. 2ª planta sin ascensor. Calefacción y agua caliente individual eléctrica. La vivienda se encuentra ubicada en el centro de Colmenar viejo, a pocos metros del Centro de Salud Colmenar viejo Norte, Ayuntamiento de Colmenar Viejo, y Mercadona, rodeada de comercios como bancos, fruterías, farmacias bares, cafeterías y restaurantes. ¿Buscas un piso luminoso, espacioso y en una ubicación privilegiada? ¡Esta es tu oportunidad! Llámanos y concretamos una visita.",True,good,False,False,4400.0,True,True,False,False,[],False,False,220000.0,€,,,flat,"Centro, Colmenar Viejo",Piso en calle de Antonio Torres,,,,,,
107718270,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/a6/68/64/1320744061.webp,Apartamento a Estrenar..,26,bj,199000.0,flat,sale,54.0,True,1,1,"calle Carolina Coronado, 44",Madrid,Madrid,Ciudad Lineal,es,Pueblo Nuevo,40.4307466,-3.6433249,True,https://www.idealista.com/inmueble/107718270/,"Piso a estrenar en Quintana, Oportunidad única, muy próximo a la calle Alcalá. Descubre este espectacular piso completamente a estrenar en la demandada zona de Quintana. La vivienda está ubicada en la calle Carolina Coronado, situado en planta baja, este inmueble exterior ofrece una entrada directa desde el portal, brindando comodidad y accesibilidad.  Con una superficie construida de 54 m² y 45 m² útiles, el amplio salón comedor destaca por su ventanal de suelo a techo que inunda el espacio de luz natural, ideal para disfrutar de las tardes soleadas gracias a su orientación oeste. La cocina americana integrada está equipada con electrodomésticos nuevos y cuenta con una práctica isla que sirve como mesa y espacio de almacenamiento. El amplio dormitorio ofrece un refugio perfecto para el descanso, mientras que el moderno cuarto de baño, con plato de ducha y mampara, añade un toque de elegancia al hogar. Además, un pequeño lavadero con lavadora y termo complementa la funcionalidad del espacio. Este piso también incluye un vestidor/trastero de 7 m², ideal para mantener todo en orden.  Con un diseño eficiente y acogedor, este inmueble es perfecto como primera vivienda o como inversión.  No dejes pasar la oportunidad de vivir en un espacio que combina modernidad y comodidad en una ubicación privilegiada. ¡Contáctanos para más información y ven a verlo! Honorarios de Mediación Inmobiliaria no incluidos, se cobran aparte.",True,good,False,False,3685.0,True,False,False,False,[],False,False,199000.0,€,,,flat,"Pueblo Nuevo, Madrid","Piso en calle Carolina Coronado, 44",,,,,,
108877710,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/ef/51/10/1357700638.webp,10613,19,1,390000.0,flat,sale,70.0,,2,1,calle Elena Fortún,Madrid,Las Rozas de Madrid,Montecillo,es,Montecillo,40.4986769,-3.8842767,False,https://www.idealista.com/inmueble/108877710/,"Con Testa Homes no pagas comisión ni honorarios de intermediación por tu inmueble. ¿Te imaginas tu vivienda en propiedad en Las Rozas? ¡Testa Homes lo hace posible! *La vivienda y fotos publicadas corresponden a una vivienda tipo, para más información consulte a su gestor comercial. Te damos la bienvenida a esta espectacular vivienda sin amueblar de 70 m² construidos, ubicada en una de las zonas residenciales con mayor proyección y calidad de vida del noroeste de Madrid. La propiedad cuenta con 2 amplios dormitorios y 1 baño completo, ideal para quienes buscan comodidad, diseño moderno y un entorno tranquilo, sin renunciar a las ventajas de vivir cerca de la capital. El interior de la vivienda está diseñado con suelos de tarima, armarios empotrados y materiales de primera calidad. La cocina está completamente amueblada y equipada con electrodomésticos de primeras marcas, perfecta para los amantes de la gastronomía. El baño cuenta con ducha y mampara, además de mobiliario funcional que completa un espacio práctico y elegante. Y para que no tengas que preocuparte por el aparcamiento ni el almacenamiento, esta vivienda incluye 2 plazas de garaje y trastero, todo incluido en el precio. La vivienda forma parte de una urbanización cerrada que ofrece conserjería, zonas comunes ajardinadas, piscina exterior y parque infantil, todo diseñado para el disfrute y bienestar de toda la familia. Un espacio seguro, privado y rodeado de naturaleza, ideal para desconectar del ritmo urbano. Situada en Las Rozas, una zona joven, en constante expansión y con acceso a todo tipo de servicios: centros educativos, comercios, zonas deportivas y espacios verdes. A nivel de movilidad, la ubicación es inmejorable: está próxima a la estación de tren de Las Rozas y muy bien comunicada por carretera gracias a su cercanía a la A-6, M-50 y M-40. Además, esta vivienda admite mascotas, porque sabemos que tu hogar también es su hogar. Horario de atención telefónica de lunes a viernes de 9:00 a 21:00 y sábados de 9:00 a 14:00 horas.  Consulte condiciones y disponibilidad.  *Imágenes orientativas sin carácter vinculante.  **Viviendas sujetas a disponibilidad y viviendas no amueblada. *En relación a los suministros de luz y agua, será necesario que el nuevo comprador realice el cambio de titularidad a su nombre. Con Testa Homes no pagas comisión ni honorarios de intermediación por tu inmueble.",False,good,False,True,5571.0,False,False,True,False,[],False,False,390000.0,€,True,True,flat,"Montecillo, Las Rozas de Madrid",Piso en calle Elena Fortún,,,,,,
105947490,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/ab/d7/cc/1270162959.webp,ALS2417,35,2,170000.0,flat,sale,57.0,True,2,1,"calle de la Joyería, 1",Madrid,Madrid,San Blas,es,Amposta,40.4255036,-3.6245847,True,https://www.idealista.com/inmueble/105947490/,"PISO ALQUILADO CON SEGURO DE IMPAGOS DE ALQUILER. Se vende piso en el barrio de San Blas. La vivienda esta distribuida en un salón, dos dormitorios, baño con ducha y cocina americana en el salón que da hacia el exterior. RENTA DE 655 € AL MES. IBI 190 € AL AÑO. COMUNIDAD 35 € AL MES. RENTABILIDAD 4,5% HASTA EL 1 DE MARZO DEL 2028. Se le realizó una reforma hace aproximadamente 10 años a la vivienda, pasando a tener dos dormitorios, salón, cocina separada con cristal y cuarto de baño con ventana. Es una casa muy luminosa, con el salón y los dormitorios dando a la avenida de Hellín orientados al sur. La terraza esta cerrada hacia el salón. La finca no tiene ascensor. El salón está dotado de calefacción individual por electricidad, termo programable para el agua caliente, aire acondicionado, carpintería de aluminio y puertas de sapelly. Se encuentra a 300 metros andando de la parada de metro San Blas (L7) y a escasos minutos del Parque del Paraíso. Además hay numerosos servicios como supermercados, tiendas y restaurantes.  PISO ALQUILADO CON SEGURO DE IMPAGOS DE ALQUILER. Se vende piso en el barrio de San Blas. La vivienda esta distribuida en un salón, dos dormitorios, baño con ducha y cocina americana en el salón que da hacia el exterior. RENTA DE 655 € AL MES. IBI 190 € AL AÑO. COMUNIDAD 35 € AL MES. RENTABILIDAD 4,5% HASTA EL 1 DE MARZO DEL 2028.",False,good,False,False,2982.0,True,False,False,False,[],False,False,170000.0,€,,,flat,"Amposta, Madrid","Piso en calle de la Joyería, 1",,,,,,
109029083,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/a2/1a/5d/1362140632.webp,,22,3,199000.0,flat,sale,74.0,True,3,2,calle de los Barros,Madrid,Madrid,Puente de Vallecas,es,Entrevías,40.378171,-3.6686214,False,https://www.idealista.com/inmueble/109029083/,"Nueva Lega Servicios Inmobiliarios les ofrece en exclusiva este fabuloso piso en venta en calle de los Barros, por distrito Puente de Vallecas, por donde el Asamblea de Madrid.   Se encuentra en la 3ºplanta, arriba del todo, sin ascensor, cuenta con 74m2 de superficie construida y 69m2 del piso. Orientación Noreste y Suroeste. Suelo de madera en el salón y en las habitaciones, gres en la cocina y baño, ventanas de aluminio Consta de: - Salón comedor amplio. - Tres dormitorios. - Dos baños, uno es un aseo. - Cocina completamente amueblada y con todos los electrodomésticos. - Terraza acristalada, que conecta la cocina y el salón.  Ubicación zona residencial, en calles amplias, también con todo tipo de tiendas y comercios alrededor, colegios, campo deportivo,  A 700m de la estación Asamblea de Madrid-Entrevías, varias líneas de autobuses como: 102, 103, y le búho N11. No lo dejes pasar, ven a conocerlo.  Cuota de Comunidad: 50€ Cuota de IBI: 190€ aprox. Próxima ITE: 2028.",True,good,False,False,2689.0,True,False,False,False,[],False,False,199000.0,€,,,flat,"Entrevías, Madrid",Piso en calle de los Barros,,,,,,
