propertyCode,thumbnail,externalReference,numPhotos,price,propertyType,operation,size,rooms,bathrooms,address,province,municipality,district,country,latitude,longitude,showAddress,url,description,hasVideo,status,newDevelopment,priceByArea,hasPlan,has3DTour,has360,hasStaging,notes,topNewDevelopment,topPlus,priceInfo.price.amount,priceInfo.price.currencySuffix,parkingSpace.hasParkingSpace,parkingSpace.isParkingSpaceIncludedInPrice,detailedType.typology,detailedType.subTypology,suggestedTexts.subtitle,suggestedTexts.title,floor,exterior,neighborhood,hasLift,newDevelopmentFinished,priceInfo.price.priceDropInfo.formerPrice,priceInfo.price.priceDropInfo.priceDropValue,priceInfo.price.priceDropInfo.priceDropPercentage,parkingSpace.parkingSpacePrice
108167502,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/99/97/c9/1335873852.webp,BHJJ119,42,649000.0,chalet,sale,260.0,4,5,Pino Alto - Navarredonda,Madrid,Valdemorillo,Pino Alto - Navarredonda,es,40.5087578,-4.0496792,False,https://www.idealista.com/inmueble/108167502/,"***B-HOME VILLANUEVA DE LA CAÑADA OFRECE EXCLUSIVO CHALET ADOSADO EN VALDEMORILLO*** ¡Descubre este encantador chalet! , ubicado en una zona privilegiada. Su excelente ubicación te ofrece una gran comodidad, con varias líneas de autobuses que facilitan el acceso a cualquier punto de la ciudad. Este chalet cuenta con un hermoso jardín consolidado, donde podrás disfrutar de la naturaleza con árboles frutales, un agradable cenador y una fantástica barbacoa, ideal para reuniones familiares y con amigos. Además, cuenta con una piscina que, aunque necesita mantenimiento, promete ser el lugar perfecto para refrescarte en los días calurosos. En la planta baja, encontrarás un garaje con capacidad para dos coches y un espacio de salón-cocina pensado para el verano, con acceso directo al jardín y un baño, lo que añade comodidad y funcionalidad a la vivienda. La propiedad tiene aproximadamente 190 m² útiles, distribuidos de manera funcional y acogedora. Toda la vivienda se vende completamente amueblada y en buen estado, con armarios empotrados en todos los dormitorios. Además, cuenta con una agradable terraza en el salón, así como otros balcones en los dormitorios y la cocina, lo que permite disfrutar del aire libre. Muy soleado durante todo el día, el chalet tiene orientación este y oeste, asegurando luz natural en todos los espacios. No dejes pasar la oportunidad de adquirir este chalet que combina comodidad, espacio y una ubicación inmejorable. ¡Contáctanos para más información y para concertar una visita!",False,good,False,2496.0,True,False,False,False,[],False,False,649000.0,€,True,True,chalet,terracedHouse,"Pino Alto - Navarredonda, Valdemorillo",Chalet adosado,,,,,,,,,
107741848,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/c9/c2/78/1322125541.webp,PHPDL,25,2259000.0,flat,sale,197.0,3,4,calle de Diego de León s/n,Madrid,Madrid,Barrio de Salamanca,es,40.4348106,-3.680724,True,https://www.idealista.com/inmueble/107741848/,"PRIVEE Homes comercializa esta exclusiva vivienda de lujo recién reformada a estrenar en el corazón del barrio de Salamanca ¡Descubre el lujo en el corazón del prestigioso barrio de Salamanca! en una finca representativa en una de las calles más emblemáticas de Madrid. en la Calle Diego de Leon, ofrece unos 197 m2, ubicada en una tercera planta de un edificio con ascensor, el piso ofrece una vista a un amplio patio de manzana, la vivienda ha sido completamente reformada con calidades de primer nivel, ofreciendo una combinación perfecta entre elegancia, confort y funcionalidad. Su cuidada distribución incluye tres amplios dormitorios y tres baños completos, además de una cocina de diseño totalmente equipada y un práctico cuarto de lavado. La propiedad cuenta con climatización por aire acondicionado y calefacción individua a gasl, así como portero físico y ascensor en la finca. Además, dispone de una acogedora terraza de 7 m2 con orientación sur, ideal para disfrutar de momentos de calma en pleno centro urbano. Situada en uno de los más prestigiosos barrios del distrito de Salamanca, esta propiedad representa el estilo de vida más exclusivo de Madrid. Rodeada de boutiques de lujo, restaurantes de alta gastronomía y encantadores cafés, vivir aquí es sinónimo de distinción. A escasos pasos de lugares emblemáticos como el Parque de Eva Duarte y el tradicional Mercado de la Paz. Una vivienda única, diseñada para quienes valoran el diseño, la comodidad y la ubicación en una de las zonas más sofisticadas de la capital. No pierdas la oportunidad de convertir este piso en tu nuevo hogar en Madrid. ¡Ven a visitarlo y enamórate de todo lo que tiene para ofrecer! Para coordinar una visita contacta con nosotros estaremos encantados de poder agendar una visita.",False,good,False,11467.0,True,False,False,False,[],False,False,2259000.0,€,,,flat,,"Castellana, Madrid",Piso en calle de Diego de León s/n,3,True,Castellana,True,,,,,
106499767,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/05/5c/a9/1284681926.webp,POZ54809,37,1750000.0,chalet,sale,1278.0,13,14,Raya del Palancar - Guadamonte,Madrid,Villanueva de la Cañada,Raya del Palancar - Guadamonte,es,40.4177965,-3.9662526,False,https://www.idealista.com/inmueble/106499767/,"Lucas Fox se enorgullece en presentar esta preciosa casa con una exclusiva parcela privada en Guadamonte, en Villanueva de la Cañada. Guadamonte destaca por su estratégica ubicación entre Boadilla y Villanueva de la Cañada. Brinda una impecable seguridad 24/7 con controles de acceso, barreras y guardas de seguridad.  Esta espectacular vivienda se distribuye en varias plantas, con espacios amplios, funcionales y con abundante luz natural.  Al acceder por la entrada principal, un acogedor vestíbulo de gran amplitud nos da la bienvenida y nos da paso a los distintos espacios de la planta. En primer lugar, se dispone el gran salón, con chimenea y ventanales que aportan gran luminosidad. A continuación, se dispone un comedor formal, perfecto para ocasiones especiales. Este comedor nos conduce directamente a la espaciosa cocina con office. Más adelante, se ofrecen dos despachos para trabajar desde casa. En esta planta encontramos dos aseos de cortesía y un amplio garaje con foso para trabajos de mecánica, con capacidad para seis coches y doble salida a la parcela.  En la primera planta, se dispone una biblioteca de estilo clásico, así como un despacho adicional y una sala de informática. Esta planta alberga también seis cómodos dormitorios, acompañados de siete baños en total.  La segunda planta es ideal para alojar huéspedes o para otros usos. Aquí se encuentran ocho dormitorios adicionales, todos amplios y luminosos, junto con dos baños completos. Además, un impresionante torreón corona la planta, con vistas panorámicas inigualables.  En la planta semisótano, se ofrece una gran sala multidisciplinar con salida al jardín y a la piscina, que puede configurarse como sala de ocio, deporte o eventos sociales, según se necesite. También encontramos almacenes de generoso tamaño.  Esta vivienda con diseño exclusivo se ubica en Guadamonte y es ideal para quienes busquen una vivienda amplia en un entorno privilegiado.  Póngase en contacto con Lucas Fox hoy mismo por teléfono o correo electrónico para organizar una visita. Trabajamos los siete días a la semana para adaptarnos a las necesidades de nuestros clientes. También puede visitarnos en nuestro acogedor Lounge de Lucas Fox en la avenida de Europa 38 de Pozuelo de Alarcón. Así podremos analizar sus necesidades con más detalle y ayudarle a encontrar la casa o la inversión perfecta.",False,good,False,1369.0,False,False,False,False,[],False,False,1750000.0,€,True,True,chalet,,"Raya del Palancar - Guadamonte, Villanueva de la Cañada",Chalet,,,,,,,,,
107173800,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/6b/81/07/1305169859.webp,NRE-V14,24,329000.0,flat,sale,101.0,3,1,avenida del Mar Mediterráneo s/n,Madrid,Valdemoro,Restón i - Restón Ii,es,40.1802156,-3.6847676,True,https://www.idealista.com/inmueble/107173800/,"NAVARRO REAL ESTATE vende piso en Valdemoro - Restón. Desde NAVARRO REAL ESTATE, tenemos el placer de presentaros en EXCLUSIVA este maravilloso piso de tres dormitorios y un baño. Vivienda totalmente reformada con materiales de primera calidad, de manera integral hace menos de 4 años, por lo que se encuentra en perfectas condiciones y lista para entrar a vivir. La vivienda cuenta con tres amplios dormitorios dobles todos ellos equipados con armarios empotrados, cocina con office reformada totalmente y con acceso a tendedero cerrado, baño completo adaptado con plato de ducha y ventana. La vivienda se vende amueblada. Cuenta con aire acondicionado por conductos y caldera de gas con calefacción en todos las estancias. Calidades de la vivienda: paredes y techos alisados, suelo de tarima flotante, carpintería maciza lacada en blanco, ventanas Climalit con puente térmico, baño reformado integralmente con plato de ducha, cocina totalmente equipada con muebles a medida y electrodomésticos, aire acondicionado por conductos, iluminación led, armarios empotrados forrados y vestidos. Este inmueble tiene una ubicación excelente ya que se encuentra en la avenida principal del Restón, zona que cuenta con una gran variedad de servicios y comercios como farmacias, bancos, peluquerías, restaurantes, centro comercial…y con una muy buena comunicación con diversas paradas de autobús y a 5 minutos de la carretera M-404. No dude en llamarnos para concertar una cita para poder visitar el piso. Disponemos de departamento financiero para asesorarle y si lo necesita, conseguir las mejores condiciones para su hipoteca.",True,good,False,3257.0,True,False,False,False,[],False,False,329000.0,€,True,True,flat,,"Restón i - Restón Ii, Valdemoro",Piso en avenida del Mar Mediterráneo s/n,4,True,,True,,,,,
108839829,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/6f/7a/26/1356638670.webp,,45,630000.0,flat,sale,105.0,2,2,"AV ISABEL DE VALOIS, 82",Madrid,Madrid,Hortaleza,es,40.5006461,-3.6557463,True,https://www.idealista.com/inmueble/108839829/,"¡Descubre tu nuevo hogar en Sanchinarro, Madrid! Este espectacular piso de 105 m² construidos es el refugio perfecto para quienes buscan comodidad y estilo. Con un gran salón luminoso que invita a disfrutar de momentos inolvidables, este espacio se complementa con dos acogedores dormitorios y dos baños modernos. La cocina, completamente equipada y con tendedero, es ideal para los amantes de la gastronomía. La urbanización ofrece un entorno excepcional, con amplias zonas ajardinadas, un parque infantil y una zona de juegos que harán las delicias de los más pequeños. Además, podrás refrescarte en la piscina, mantenerte activo en el gimnasio o jugar al squash en la cancha habilitada. La seguridad está garantizada con vigilancia 24 horas, brindando tranquilidad a ti y a tu familia. El piso cuenta con aire acondicionado, armarios empotrados y calefacción por gas natural, asegurando un ambiente confortable durante todo el año. Situado en la tercera planta, este inmueble exterior goza de una excelente orientación este, lo que permite disfrutar de la luz natural desde primera hora de la mañana. Incluye también una plaza de garaje y un trastero, lo que añade un plus de comodidad a tu día a día. Con acceso adaptado para personas con movilidad reducida y ascensor, este piso se adapta a todas las necesidades. No dejes pasar la oportunidad de vivir en este maravilloso hogar en Sanchinarro. ¡Contáctanos para más información y ven a verlo!",True,good,False,6000.0,True,False,False,False,[],False,False,630000.0,€,True,True,flat,,"Sanchinarro, Madrid","Piso en Av Isabel De Valois, 82",3,True,Sanchinarro,True,,,,,
109042632,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/0d/0e/d6/1362490170.webp,Alma4 A-0392,34,1100000.0,chalet,sale,978.0,7,6,calle de Caravaca,Madrid,Torrelodones,Las Marías,es,40.5726801,-3.9423411,False,https://www.idealista.com/inmueble/109042632/,"Maravilloso y exclusivo CHALET INDEPENDIENTE, de 745 m2, con una parcela de 2.523 m2 y casa independiente de 176 m2. Dos garajes independientes (capacidad 6 coches). Pozo y Aljibe. PISCINA exterior con una zona de bar/barbacoa y un maravilloso jardín con vegetación originaria de la zona, en unas de las mejores urbanizaciones de Torrelodones, Las Marías. Debido a la ubicación de la casa, situada en el centro de la parcela, puede disfrutarse de un precioso jardín desde todas sus ventanas. El jardín tiene preciosos árboles centenarios, lo que le confiere una sensación de paz y tranquilidad. Tiene un pozo en funcionamiento y un aljibe cuyo agua se utiliza para el riego (automático) así como el llenado de la piscina.  La vivienda principal está construida en una única planta, por lo cual resulta muy cómoda. En total la casa dispone de 7 dormitorios y 6 cuartos de baños. DISTRIBUCION PLANTA PRINCIPAL: Espacioso Hall distribuidor. Gran salón y comedor independientes, ambos con chimenea. Amplia cocina con office que incluye además una zona de comedor de diario. También en la cocina nos encontramos con la zona de servicio que tiene un dormitorio y un cuarto de baño. Una gran despensa con mucho almacenamiento, cuarto de calderas y acceso a un semisótano/trastero. Zona de dormitorios: Dormitorio principal con vestidor y cuarto de baño en suite. Además, hay otros tres dormitorios que comparten un baño y un despacho. DISTRIBUCION PLANTA SEMISOTANO: Semi sótano de gran tamaño al que se accede a través de unas escaleras o directamente desde el jardín. Amplio salón con chimenea, barra de bar, bodega, cuarto de baño y dormitorio. Toda la segunda planta es muy luminosa gracias a los grandes ventanales en todas las estancias. Gran capacidad de almacenaje en toda la casa debido a los numerosos armarios empotrados y trasteros. Orientación principal: sur-oeste, aunque por su localización goza de todas las orientaciones. Garaje para dos coches CASA INDEPENDIENTE de 176 m2. Localizada en un lateral del jardín. Dispone de entrada propia. Se distribuye en cocina, dormitorio cuarto de baño abuardillada (constuida en origen como casa de muñecas) y una gran terraza. En la planta baja hay un baño adicional, cuarto de bombas del aljibe, trastero, y un garaje adicional para 4 coches. Magnífica ubicación. Próxima a casco urbano, zona comercial y de ocio y a todos los servicios de Torrelodones Colonia. Conexión a dos minutos con la A-6 (A Coruña) y estación de RENFE a menos de 5 minutos en coche. El municipio cuenta con colegios internacionales, hospitales, Casa de Cultura (con numerosos eventos) y centros de salud. A dos minutos andando de la parada de autobús que comunica directamente con Madrid capital.",False,renew,False,1125.0,True,False,False,False,[],False,False,1100000.0,€,True,True,chalet,independantHouse,"Las Marías, Torrelodones",Casa independiente en calle de Caravaca,,,,,,,,,
109163140,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/39/fb/f0/1366131390.webp,PZS18-25,12,830000.0,flat,sale,140.0,4,3,avenida de Europa,Madrid,Pozuelo de Alarcón,Zona Avenida Europa,es,40.4450172,-3.7909059,False,https://www.idealista.com/inmueble/109163140/,"HOGARES POZUELO tiene el placer de presentar en exclusiva esta magnífica vivienda situada en una de las zonas más demandadas de Pozuelo de Alarcón: la Avenida de Europa. Este piso no es solo una vivienda, es una oportunidad única de estilo de vida. Con una distribución práctica y espacios amplios, es perfecto tanto para familias como para quienes buscan invertir en una de las mejores zonas residenciales del noroeste de Madrid. Características de la vivienda: *140 m² construidos, distribuidos de forma funcional para aprovechar cada rincón. *4 dormitorios amplios y luminosos, ideales para familias grandes o para adaptar como despacho. *Cocina independiente con acceso a tendedero cubierto, práctica y con gran capacidad de almacenaje. *Salón-comedor con salida directa a la terraza, un espacio perfecto para relajarte, leer, cenar al aire libre o incluso teletrabajar con vistas. *Dormitorio principal en suite, con baño privado y armarios empotrados. Aseo de cortesía, cómodo y elegante para tus invitados. Plaza de garaje. Un entorno privilegiado: Ubicado en una cuidada urbanización privada con piscina, zonas verdes y servicio de conserjería, este piso te ofrece la tranquilidad de un entorno residencial sin renunciar a todas las comodidades urbanas: Metro ligero. Supermercados, farmacias, restaurantes y zonas verdes. Colegios de prestigio y centros de salud. Todo al alcance de tu día a día. Ideal para: Familias que valoran el espacio, la luz natural y una ubicación segura y bien comunicada. Profesionales que buscan un hogar cómodo donde combinar vida personal y teletrabajo. Inversores que apuestan por zonas con alta demanda y excelente rentabilidad. Tu nuevo hogar, sin complicaciones. En HOGARES POZUELO te acompañamos en cada paso del proceso: Desde la búsqueda de financiación (incluso hasta el 100%) hasta la firma notarial. Nos ocupamos de la documentación, hipoteca, coordinación de plazos, contratos y asesoramiento personalizado. Tú imagina tu nueva vida. Nosotros nos encargamos de hacerla realidad. Contáctanos sin compromiso y agenda tu visita.  Este piso no estará disponible por mucho tiempo… ¡No dejes que se te escape!",False,good,False,5929.0,False,False,False,False,[],False,False,830000.0,€,True,True,flat,,"Zona Avenida Europa, Pozuelo de Alarcón",Piso en avenida de Europa,bj,True,Zona Avenida Europa,True,,,,,
106838414,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/66/d2/73/1295476507.webp,,21,1490000.0,flat,sale,158.0,3,3,"calle Islas Filipinas, 16",Madrid,Madrid,Chamberí,es,40.4397454,-3.7105569,True,https://www.idealista.com/inmueble/106838414/,"Excepcional vivienda a estrenar en Chamberí - Islas Filipinas Ubicada en un sexto piso con vistas espectaculares, esta vivienda ha sido reformada íntegramente con materiales de alta calidad y acabados de lujo. El inmueble cuenta con aerotermia, suelo radiante-refrescante, aire acondicionado por conductos y un sistema de domótica que incluye apertura mediante huella dactilar. Distribución: Superficie: 158 m² Salón: Amplísimo salón muy luminoso con terraza y cocina semiabierta. Dormitorios: Dos dormitorios dobles con baño en suite y un tercer dormitorio con baño. Lavandería: Zona de lavandería independiente. Cada detalle de la reforma ha sido cuidadosamente considerado para crear ambientes únicos. La vivienda dispone de numerosos armarios empotrados tanto en los dormitorios como en las zonas de acceso. Las vistas desde el sexto piso son especialmente atractivas, especialmente por la noche. Edificio construido en los años 50 y muy bien conservado, cuenta con conserje, está adaptado y sin barreras arquitectónicas. Dispone de dos ascensores, trastero incluido y existe la posibilidad de adquirir una plaza de garaje en edificios aledaños.  No pierdas la oportunidad de adquirir esta excepcional vivienda en una de las mejores zonas de Madrid. Para más información y concertar una visita, por favor contacta con nosotros.",False,good,False,9430.0,True,False,False,False,[],False,False,1490000.0,€,,,flat,,"Vallehermoso, Madrid","Piso en calle Islas Filipinas, 16",6,True,Vallehermoso,True,,,,,
108002525,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/fd/8a/bb/1350821742.webp,IE-VJVA,39,620000.0,chalet,sale,180.0,4,4,calle Jávea,Madrid,Las Rozas de Madrid,El Burgo,es,40.4887447,-3.888411,False,https://www.idealista.com/inmueble/108002525/,"INMOBILIARIAS ENCUENTRO vende en Exclusiva Chalet adosado con jardín ubicado en El Burgo, Las Rozas de Madrid. Es un inmueble de 180 m2 construidos en tres plantas que se distribuyen en un salón, cuatro habitaciones, una cocina independiente, dos baños y dos aseos. Nos recibe un acogedor zaguán acristalado, en esta planta encontramos un luminoso salón con chimenea que tiene salida directa al agradable jardín, la cocina reformada independiente con un gran ventanal y un aseo de cortesía. En la primera planta están los dormitorios, el principal con baño en suite y plato de ducha y los otros dos comparten otro baño completo. Ambos han sido reformados recientemente. En la planta sótano hay una cuarta habitación y un aseo. Desde la calle accedemos al garaje para un coche grande.  Entre sus calidades destacan el suelo de Tarima, puerta blindada, calefacción por acumuladores, agua caliente por termo eléctrico y ventanas. CERTIFICACIÓN ENERGÉTICA: Calificación de Consumo – E / Emisiones – E. El inmueble se encuentra en una tranquila urbanización con piscina y parque infantil. Destaca su privilegiada ubicación en una tranquila calle al lado de todos los servicios necesarios para el día a día. Además de estar perfectamente comunicada tanto por transporte público como privado. ¡Financiación a tu medida! Con Finmo tendrás los mejores tipos de interés y hasta el 100% de financiación. ¡Consulta nuestras condiciones! Si necesita vender su inmueble para adquirir este u otro inmueble publicado, contacte con nosotros, disponemos del servicio: ""CAMBIA Y DESCANSA"". La solución perfecta para cuadrar los plazos de venta de su vivienda y entrega del nuevo inmueble En iEncuentro. es intentamos mejorar cada día, simplificando los trámites relacionados con la compra de tu nueva vivienda. Ya puedes reservar cualquiera de nuestros inmuebles a través de la web, de una manera rápida y sencilla, mediante un proceso totalmente seguro y transparente. Entra en nuestra web y reserva este piso en tan sólo dos minutos con nuestro servicio iReserva.",True,good,False,3444.0,True,False,False,False,[],False,False,620000.0,€,True,True,chalet,terracedHouse,"El Burgo, Las Rozas de Madrid",Chalet adosado en calle Jávea,,,El Burgo,,,,,,
108444911,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/a1/dd/02/1345076172.webp,1277,37,3600000.0,penthouse,sale,319.0,3,4,calle del General Pardiñas,Madrid,Madrid,Barrio de Salamanca,es,40.4353175,-3.6788155,False,https://www.idealista.com/inmueble/108444911/,"HOMECOLLECTION presenta este amplio ático reformado y amueblado en el barrio de Salamanca de 319 m². Con 2 terrazas, 3 dormitorios, 3 baños, aseo y un salón luminoso. Además, incluye plaza de garaje, 2 trasteros, aire acondicionado y portero físico. La vivienda se encuentra completamente reformada, decorada y amueblada ¡lista para entrar a vivir! Este inmueble, situado en la 7ª planta de un edificio clásico en la calle General Pardiñas, en el exclusivo barrio de Salamanca, ofrece 2 amplias terrazas de 25 m². Una está orientada al sur, ideal para disfrutar del sol durante todo el día, y la otra al oeste, perfecta para contemplar hermosos atardeceres.  La vivienda cuenta con 3 dormitorios, 3 baños, un aseo, un salón-comedor luminoso con acceso a una de las terrazas y una cocina moderna. El edificio, construido en 1946 y en perfecto estado, cuenta con un portal amplio, ascensor y portero físico. La vivienda está equipada con calefacción central de gas, aire acondicionado y un sistema domótico que optimiza la eficiencia energética. Además, incluye una plaza de garaje y 2 trasteros con acceso directo desde el ascensor. Para más información y concertar una visita, no dude en contactar con HOMECOLLECTION.",False,good,False,11285.0,True,False,False,False,[],False,False,3600000.0,€,True,True,flat,penthouse,"Lista, Madrid",Ático en calle del General Pardiñas,7,True,Lista,True,,,,,
