propertyCode,thumbnail,externalReference,numPhotos,floor,price,propertyType,operation,size,exterior,rooms,bathrooms,address,province,municipality,district,country,latitude,longitude,showAddress,url,description,hasVideo,status,newDevelopment,hasLift,priceByArea,hasPlan,has3DTour,has360,hasStaging,notes,topNewDevelopment,topPlus,priceInfo.price.amount,priceInfo.price.currencySuffix,detailedType.typology,suggestedTexts.subtitle,suggestedTexts.title,parkingSpace.hasParkingSpace,parkingSpace.isParkingSpaceIncludedInPrice,neighborhood,priceInfo.price.priceDropInfo.formerPrice,priceInfo.price.priceDropInfo.priceDropValue,priceInfo.price.priceDropInfo.priceDropPercentage,detailedType.subTypology,newDevelopmentFinished
109175731,https://img4.idealista.com/blur/480_360_mq/90/id.pro.es.image.master/37/8e/dc/1366508473.webp,Manuel,29,bj,215000.0,flat,sale,74.0,True,2,1,calle de Andorra,Madrid,Fuenlabrada,Fuenlabrada II - El Molino,es,40.2854664,-3.8084516,False,https://www.idealista.com/inmueble/109175731/,"TECNOCASA FUENLABRADA zona Fuenlabrada II - Parque de la Solidaridad - Cerro del Molino - Fuenlabrada Central VENDE Piso en CALLE ANDORRA, reformado y listo para entrar a vivir. Compuesto de 2 dormitorios (Antes 3 dormitorios), salón, cocina, gran baño y vestidor. La luminosa y amplia vivienda dispone de suelo de gress en color gris, ventanas de aluminio climalit, puertas en sapely y radiadores de gas. Además la fachada esta rehabilitada. Piso completamente exterior. Ubicada en una de las mejores zonas de Fuenlabrada, próxima a todos los servicios necesarios como hospital, colegios, supermercados, centro de salud, centro de día para mayores, zonas verdes y a escasos minutos de Renfe y Metro Fuenlabrada Central. A 5 MINUTOS DE LA PARADA DE METRO PARQUE EUROPA. A 7 MINUTOS de FUENLABRADA CENTRAL ( AYUNTAMIENTO, JUZGADOS Y CENTRO COMERCIAL PLAZA DE LA ESTACION ). A 10 MINUTOS A PIE DEL HOSPITAL DE FUENLABRADA. A 3 MINUTOS A PIE DEL PARQUE DE LA SOLIDARIDAD. A 1 MINUTO DE LA BIBLIOTECA FERNANDO DE LOS RIOS. Fácil acceso a la carretera M 506 comunicando con M 50, A 42, R 5, A 5 Zona con todos los servicios AVISO LEGAL: Recordamos a nuestros Señores clientes que la información facilitada no constituye una auténtica oferta vinculante ni contractual. Este anuncio publicitario es provisional, y las fotografías y datos en él incluidos están sujetos a posibles modificaciones, consecuencia de exigencias comerciales, jurídicas, técnicas o por mandato expreso de la propiedad. La información aquí contenida procura reflejar una orientación sobre los inmuebles a la fecha de su publicación. La totalidad del contenido que aparece tiene carácter meramente informativo y aproximado, no teniendo, en modo alguno, carácter contractual. Tanto los datos, como las imágenes y planos pueden estar sujetos a cambios, por lo que le invitamos a que, si precisa una información más exacta y detallada, contacte con nosotros y le atenderemos a la mayor brevedad posible. Los contenidos tienen únicamente finalidad informativa y bajo ninguna circunstancia deben usarse ni considerarse como oferta de venta o financiación, solicitud de una oferta de compra o financiación, ni recomendación para realizar cualquier otra transacción, salvo que así se indique expresamente. La información y documentación a ofrecer de acuerdo con lo dispuesto en el Real Decreto 515/1989 (de 21 de abril, relativa a la protección de los consumidores en cuanto a la información a suministrar en la compraventa y arrendamiento de viviendas), será puesta a disposición de los potenciales compradores en las respectivas delegaciones territoriales gestoras del inmueble.",False,good,False,True,2905.0,False,False,False,False,[],False,False,215000.0,€,flat,"Fuenlabrada II - El Molino, Fuenlabrada",Piso en calle de Andorra,,,,,,,,
108613285,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/8e/02/e5/1349969620.webp,,59,1,239000.0,flat,sale,92.0,True,1,1,calle Luis Sauquillo,Madrid,Fuenlabrada,El Arroyo - La Fuente,es,40.2761754,-3.8045607,False,https://www.idealista.com/inmueble/108613285/,"Nueva Lega Servicios Inmobiliarios les ofrece este fantástico apartamento en venta en Calle Luis Sauquillo, en Fuenlabrada, en perfecto estado y para entrar a vivir,     Se encuentra en una tranquila y segura urbanización cerrada, con todas las instalaciones de calidad, piscinas, pista deportiva doble, amplia zona verde privada, parque infantil.    Está en la 1º planta, cuenta con 92 m2 de superficie construida, (48m2 del piso), de UN dormitorio. Es de orientación al sureste, es muy luminoso, cuenta con doble ascensor, que llegan directamente al garaje y a la planta del trastero. Suelo de tarima flotante, paredes en liso, ventanas de climalit, doble unidad del aire acondicionado, doble armario empotrado, consta de: - Salón amplio. - Cocina americana, totalmente amueblada y con todos los electrodomésticos. - Un dormitorio amplio, con la puerta corredera de separación con el salón. - Baño con plato de ducha. - Un cuarto de trastero, con techo alto en la planta -1. - Una plaza de garaje, INCLUIDA en el precio, en la planta -2.  A 12min de la estación Renfe Fuenlabrada Central, diversas líneas de autobuses como: 468, 471, N807.   En frente están todo tipo de comercios para el día a día, como supermercados, restaurante, gasolinera, talleres etc.  No lo dejes pasar, ven a conocerlo.  Cuota de Comunidad: 60€  Cuota de IBI. 280€ aprox.  Próxima ITE: a los 30 años del edificio.",True,good,False,True,2598.0,True,False,False,False,[],False,False,239000.0,€,flat,"El Arroyo - La Fuente, Fuenlabrada",Piso en calle Luis Sauquillo,True,True,,,,,,
108889306,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/28/0f/56/1358032593.webp,,17,3,268900.0,flat,sale,85.0,False,2,1,avenida de las Vascongadas s/n,Madrid,Getafe,Juan de la Cierva,es,40.3114006,-3.7143542,True,https://www.idealista.com/inmueble/108889306/,"BONEO DREAM HOMES - VENDEMOS ESTE ESPECTACULAR INMUEBLE EN LA ZONA DE GETAFE. ¡Tu nuevo hogar te espera en Getafe! ¿Buscas un piso listo para entrar a vivir, bien ubicado y con mucha luz? ¡Lo acabas de encontrar! Te presentamos esta preciosa vivienda de 85 m², situada en una zona tranquila y con todos los servicios a mano. Tiene 2 habitaciones, 1 baño completo, un salón muy acogedor con exterior de la urbanizacion ideal para relajarte, y una cocina independiente con tendedero. El piso está reformado, cuidado con mimo, y destaca por su luz natural durante todo el día. ¡Es interior y muy alegre! El edificio cuenta con ascensor y plaza de garaje, el vecindario es tranquilo y familiar. Y lo mejor… ¡estás a solo 10 minutos andando de Casar! Allí tienes MetroSur y Cercanías Renfe, perfectos para moverte cómodamente por toda la zona y conectar con Madrid sin complicaciones. Una casa ideal para empezar una nueva etapa, invertir o simplemente vivir a gusto desde el primer día. ¿Te animas a conocerla? ¡Se puede visitar ya! Contáctanos y ven a verla. ¡Te va a encantar!",True,good,False,True,3164.0,True,False,False,False,[],False,False,268900.0,€,flat,"Juan de la Cierva, Getafe",Piso en avenida de las Vascongadas s/n,True,True,,,,,,
108966995,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/a8/f8/56/1366890871.webp,AC/166-V,19,1,218000.0,flat,sale,122.0,True,3,2,"CL VALLE DEL BOI, 1",Madrid,Aranjuez,La Montaña-El Cortijo,es,40.0672294,-3.5994934,True,https://www.idealista.com/inmueble/108966995/,"Si estás buscando un hogar que combine la tranquilidad de la naturaleza con la cercanía a Madrid, aquí te presentamos una oportunidad única en la ciudad de Aranjuez, en el Pau de la Montaña, una ubicación privilegiada. AC Team pone a la venta un piso de 3 dormitorios (2 dobles y 1 individual) y 2 cuartos de baño, (1 con bañera y 1 con plato de ducha), 1 plaza de garaje y 1 trastero incluidos en el precio. Su amplio salón se convierte en el corazón de la casa, donde podrás disfrutar de momentos inolvidables con familiares y amigos. La cocina, funcional y bien distribuida, ofrece un ambiente cómodo y organizado, perfecto para dar rienda suelta a tu creatividad culinaria. El piso está equipado con calefacción a gas natural y preinstalación de aire acondicionado por conducto. El edificio cuenta con ascensor, brindando mayor comodidad en tu día a día. Gracias a su orientación, la luz natural inunda cada estancia, creando un ambiente cálido y acogedor.  Tendrás fácil acceso por carreteras M305 y la a A-4, además de excelente comunicación por transporte público, (Renfe C3 Y C5, Autobuses de las líneas 4, 19, 59, 423 y 429), con la parada de autobús más cercana, Av. Amazonas Central - Gta. Valle del Loira, a menos de 5 minutos andando.  No dejes pasar esta oportunidad de adquirir un hogar confortable y bien ubicado, en un entorno envidiable. Ven a conocer tu nuevo piso, donde cada día podrá ser una experiencia única estar rodeado de naturaleza y con todas las comodidades al alcance de tu mano. Llámanos sin compromiso y programaremos una visita. ¡TE ESPERAMOS!",True,good,False,True,1787.0,True,False,False,False,[],False,False,218000.0,€,flat,"La Montaña-El Cortijo, Aranjuez","Piso en CL Valle Del Boi, 1",True,True,,,,,,
95931711,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/a4/14/cd/1206164105.webp,28-327-1161,26,bj,270000.0,flat,sale,160.0,True,6,2,Alcobendas Centro,Madrid,Alcobendas,Alcobendas Centro,es,40.5457843,-3.6381269,False,https://www.idealista.com/inmueble/95931711/,"Vuestra agencia de confianza APINORTE presenta conjunto mixto de vivienda (65 m²) y local adaptado a vivienda (95 m²) en el centro de Alcobendas, zona Ayuntamiento Nuevo, fuera del casco antiguo; recién reformado. Dispone de un salón principal con cocina americana, dormitorio principal que da acceso a un altillo (de 14 m²) con ventana y persiana eléctrica. Ventanas oscilobatientes con rotura de puente térmico y acústica, puerta acorazada, suelos de gres, paredes lisas, ideal para como inversión y alquiler por habitaciones, con acceso directo desde la calle y desde el portal. La vivienda destaca por su proximidad a Renfe Av. de España, Centro Comercial Gran Manzana, colegios, centros médicos y Ayuntamiento, etc. La vivienda también cuenta con fácil y rápida salida a carretera (A-1, A-6, M-30, M-40, M-11, Carretera a Barrajas). *ASESORAMIENTO PERSONAL GRATUITO Y SIN COMPROMISO.",True,good,False,False,1688.0,True,False,False,False,[],False,False,270000.0,€,flat,"Alcobendas Centro, Alcobendas",Piso,,,,,,,,
104888666,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/e4/ba/2a/1313446202.webp,Z2-00079-0004,10,,127000.0,flat,sale,46.0,,1,1,calle de Ramón Luján,Madrid,Madrid,Usera,es,40.3875136,-3.7059298,False,https://www.idealista.com/inmueble/104888666/,"Piso de 46 m² en venta situado en Madrid. Construido en 2009, este piso dispone de una superficie de 46 m² y se distribuye en salón-comedor, cocina amueblada con armarios altos y bajos, 1 dormitorio, 1 baño y terraza. Incluye un trastero de 6 m² situado en la planta cubierta. Buenas comunicaciones, con paradas de autobús próximas con las líneas 47, 247 y N15, próxima a la estación de metro Usera y mediante el acceso viario A-42. La zona dispone de equipamiento variado, restaurantes, farmacia, instituto, estadio, etc. Con nuestros servicios podrá encontrar la vivienda que necesita. Empiece ahora mismo pidiendo más información. Un responsable cercano a usted le atenderá personalmente. - El inmueble ha sido adquirido a través de un procedimiento judicial (concursal o hipotecario) por el vendedor, el cual no ha tomado todavía posesión del mismo. El Inmueble se transmite sin conocerse por parte del Vendedor el estado de conservación actual, ni su situación ocupacional, arrendaticia, de servicios y de suministros. El Inmueble se transmitirá: (i) como cuerpo cierto y a tanto alzado (ii) como un todo, inseparable (iii) en el estado registral y catastral en el que se encuentre (iv) en el estado físico, calidades, jurídico, urbanístico, administrativo, de licencias, de protección, de conservación y limpieza en el que se encuentre (v) al corriente de gastos e impuestos que por Ley corresponda al Vendedor y (vi) sin dotación de servicios y suministros.El Adquirente asumirá: (i) la situación física y estado de conservación (ii) la situación urbanística (iii) las discrepancias entre la realidad física y la realidad registral y catastral o en la cabida del Inmueble (iv) la adecuación registral y catastral del Inmueble y (v) los tramites que conlleven la obtención de la Posesión Judicial del Inmueble.La Propiedad no responderá de/l: (i) estado de conservación (ii) los vicios vistos y aparentes (iii) la regularización registral o catastral (iv) las discrepancias de cabida, que pudieran existir (v) responsabilidad alguna en la obtención de la cédula de habitabilidad del Inmueble, salvo que en la Comunidad Autónoma donde se ubique el Inmueble sea obligatoria su entrega y (vi) cualesquiera costes, gastos, honorarios, aranceles o tributos que se deriven de lo anterior.El estado de ocupación y/o los impedimentos para que el inmueble pueda ser visitado libremente por los técnicos impedirían: i) su tasación oficial conforme exige la Orden ECO/805/2003, de 27 de marzo, por lo que el inmueble, mientras perdure la situación ocupacional, no podría ser hipotecado, en consecuencia, no podría constituirse financiación hipotecaria sobre este tipo de fincas, cuya adquisición requerirá el otorgamiento de otro tipo de garantías en caso de solicitarse financiación y ii) la obtención por parte de la propiedad del certificado de eficiencia energética.El precio de venta de este Inmueble se ha determinado en base a las anteriores circunstancias, que han supuesto un menor valor del mismo, y que deberán ser expresamente aceptadas por el adquirente en la formalización de la transmisión del Inmueble. Se recomienda que el comprador obtenga asesoramiento profesional y legal antes de adoptar la decisión de compra.",False,good,False,False,2761.0,False,False,False,False,[],False,False,127000.0,€,flat,"Moscardó, Madrid",Piso en calle de Ramón Luján,,,Moscardó,129000.0,2000.0,2.0,,
104286936,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/28/14/15/1327901648.webp,EP2214,52,,240000.0,chalet,sale,48.0,,1,1,calle Principal,Madrid,Serracines,,es,40.6234009,-3.4025959,False,https://www.idealista.com/inmueble/104286936/,"NO COBRAMOS HONORARIOS A LA PARTE COMPRADORA Se vende bonita parcela con piscina en el Jardín de Serracines. La finca está muy bien ubicada en una zona con mucha privacidad y bonitas vistas. Dispone de varias zonas diferenciadas, zona ajardinada con barbacoa, zona de huerto y árboles frutales, zona de piscina con ducha solar y solárium, y una bonita construcción con un amplio porche acristalado, pequeña cocina amueblada con electrodomésticos (frigorífico, lavadora, lavavajillas, fuegos de gas y termo de agua) cuarto de baño completo con ducha. A esta estancia también se le puede dar el uso de garaje. La parcela cuenta con una casa de madera junto a la piscina que puede servir para almacenaje, o como habitación adicional, ya que dispone de agua y luz. Tiene un total de 2.215 m² de parcela y la superficie total construida es de aproximadamente 48 m².  No pierda la oportunidad de visitar esta finca aprovechar las ventajas de una vivienda en el campo a tan solo treinta minutos de Madrid capital. En los precios de venta no están incluidos impuestos legales ni gastos de escrituración.",True,good,False,,5000.0,False,False,False,False,[],False,False,240000.0,€,chalet,Serracines,Casa independiente en calle Principal,True,True,,,,,independantHouse,
107467905,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/4c/c2/c5/1313634891.webp,,30,,2400000.0,chalet,sale,450.0,,6,4,avenida de Montealina,Madrid,Pozuelo de Alarcón,Urbanizaciones,es,40.432424,-3.8484068,False,https://www.idealista.com/inmueble/107467905/,"LAVIN REALS tiene el gran honor de presentarles esta casa Levitt reformada hace 10 años en Montealina, una de las urbanizaciones más bonitas y seguras! La casa se divide en dos plantas; Planta baja y Primera. Según entramos por la puerta principal nos encontramos con un hall recibidor que a mano derecha comunica con un gran salón de 100m2 televisión, terraza-salón que da al jardín, comedor y llegamos a la amplísima cocina, que atravesándola, nos encontramos con un mini-apartamento para el servicio, y terminando de dar la vuelta esta la habitación principal con vestidor y baño en suite. Volviendo al Hall de entrada, subimos las escaleras para llegar a la primera planta, donde los encontramos con techos altos abuhardillados y un gran distribuidor que nos comunica con 5 habitaciones, 2 baños, un salón y un despacho. Como es de esperar en Montealina, el jardín esta muy consolidado y es maravilloso. Tiene arboles como Encinas, Abetos, Magnolios, Pinos etc.. . que son preciosos y que en su dia fueron ubicados con atención, de forma que ni estorban ni obstruyen la luz de la casa y piscina que también tiene su zona de barbacoa, chill-out y baño. Para cualquier consulta no duden en contactar con nosotros 24/7.",False,good,False,,5333.0,True,False,False,False,[],False,False,2400000.0,€,chalet,"Montealina, Pozuelo de Alarcón",Casa independiente en avenida de Montealina,True,True,Montealina,,,,independantHouse,
107621262,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/70/15/cf/1321202319.webp,VPIS_4102,22,1,620000.0,flat,sale,67.0,True,2,2,calle de Ilustración,Madrid,Madrid,Moncloa,es,40.4214802,-3.718135,False,https://www.idealista.com/inmueble/107621262/,"Home Select vende acogedor apartamento en un edificio señorial en la zona de Palacio, ofreciendo una combinación perfecta de comodidad y ubicación privilegiada. Rodeada de una atmósfera vibrante y diversa como Plaza España ofrece una variedad de opciones de ocio y gastronomía. Se situa entre Gran Vía, con sus teatros y restaurantes, y la calle Princesa; un emplazamiento único, donde predominan diferentes opciones gastronómicas, cafeterías y tiendas. Además, la proximidad al Palacio Real y al Templo de Debod permite a los visitantes sumergirse en la rica historia y cultura de la capital española. La vivienda se distribuye en 67m2 de la siguiente manera: la zona de día está compuesta por un salón-comedor amplio y luminoso, con acceso a un balcón que aporta un extra de luz natural. La cocina, completamente equipada, cuenta con una distribución práctica y moderna. La zona de noche se distribuye en dos habitaciones, una de ellas con baño en suite, y un segundo baño adicional, el espacio está diseñado para brindar confort y funcionalidad. Gracias a su cercanía al transporte público y su ubicación a solo diez minutos de Plaza de España, este piso es una excelente opción para quienes buscan un hogar céntrico y bien comunicado.  ref: VPIS_4102.",False,good,False,True,9254.0,False,False,False,False,[],False,False,620000.0,€,flat,"Argüelles, Madrid",Piso en calle de Ilustración,,,Argüelles,,,,,
107018412,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/a6/cb/b7/1300581486.webp,CHA0005,67,,1100000.0,chalet,sale,430.0,,6,8,Castillo - Campodón,Madrid,Villaviciosa de Odón,Castillo - Campodón,es,40.3680756,-3.8830204,False,https://www.idealista.com/inmueble/107018412/,"ATENEA inmobiliaria vende chalet independiente de lujo a estrenar en Urbanización Campodón, Villaviciosa de Odón ¡Descubre tu nuevo hogar de ensueño en la exclusiva Urbanización Campodón de Villaviciosa de Odón! Este increíble chalet de lujo ha sido completamente reformado de punta a punta, ofreciendo un estilo de vida excepcional. Con una superficie construida de más de 400 m2, este impresionante chalet cuenta con: - 6 amplias habitaciones con baño propio - Un total de 8 modernos cuartos de baño - 2 espaciosos salones - 2 grandes porches con vistas al jardín - Garaje para varios coches - Piscina privada - Jardín de más de 1.100 m2 Equipado con aire acondicionado en el salón y preinstalación en todas las estancias, así como placas solares para una mayor eficiencia energética, este chalet de lujo ofrece un máximo confort y comodidad. Ubicado en la exclusiva Urbanización Campodón, disfrutarás de total privacidad y tranquilidad, sin renunciar a las mejores comunicaciones y servicios. ¡No dejes escapar esta oportunidad única de vivir en un hogar de lujo a estrenar en Villaviciosa de Odón! Contacta con nosotros para concertar una visita personalizada. [IW].",False,good,False,,2558.0,True,False,False,False,[],False,False,1100000.0,€,chalet,"Castillo - Campodón, Villaviciosa de Odón",Casa independiente,,,,1350000.0,250000.0,19.0,independantHouse,
