propertyCode,thumbnail,externalReference,numPhotos,floor,price,propertyType,operation,size,exterior,rooms,bathrooms,address,province,municipality,district,country,neighborhood,latitude,longitude,showAddress,url,description,hasVideo,status,newDevelopment,hasLift,priceByArea,hasPlan,has3DTour,has360,hasStaging,notes,topNewDevelopment,topPlus,priceInfo.price.amount,priceInfo.price.currencySuffix,priceInfo.price.priceDropInfo.formerPrice,priceInfo.price.priceDropInfo.priceDropValue,priceInfo.price.priceDropInfo.priceDropPercentage,detailedType.typology,suggestedTexts.subtitle,suggestedTexts.title,parkingSpace.hasParkingSpace,parkingSpace.isParkingSpaceIncludedInPrice,detailedType.subTypology,parkingSpace.parkingSpacePrice
108261327,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/1d/de/82/1364139300.webp,angela,12,bj,122500.0,flat,sale,26.0,True,1,1,calle del Congosto,Madrid,Madrid,Villa de Vallecas,es,Casco Histórico de Vallecas,40.3772363,-3.6210585,False,https://www.idealista.com/inmueble/108261327/,"""Inmobiliaria en Madrid zona Congosto VENDE: Consta de una estancia adaptada estilo salón con cocina americana, otra estancia adaptada estilo dormitorio y un cuarto de baño. Tiene aire acondicionado y calefacción individual por gas natural. Se vende sin amueblar con cocina equipada. Se reformó hace 1 año. Estimamos que se puede alquilar por una renta mensual de 700-800 € mensuales. PARA MAS INFORMACIÓN ESTAMOS EN LA CALLE CONGOSTO Nº25 L-10. O si lo desea, puede ponerse en contacto con nosotros vía teléfono para ir programando visitas. El local tiene una ubicación envidiable cercano al metro de la estación de metro Congosto. La comunicación por autobuses seria en las lineas 54, 142 y N9. La comunicación en coche seria: A3, M45, M50 Y M40. Muy cercano a todos los servicios ( Farmacias, colegios, supermercados, etc ). n.",True,good,False,False,4712.0,True,False,False,False,[],False,False,122500.0,€,127499.0,4999.0,4.0,flat,"Casco Histórico de Vallecas, Madrid",Piso en calle del Congosto,,,,
108962805,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/4a/eb/b9/1360214404.webp,3a3ddb09-291c-4073-8835-38f793b3a4c3-0,6,3,1500000.0,flat,sale,115.0,True,2,3,Barrio Goya,Madrid,Madrid,Barrio de Salamanca,es,Goya,40.4223961,-3.6715112,False,https://www.idealista.com/inmueble/108962805/,"¡Descubre tu nuevo hogar en el corazón de Madrid! Este exclusivo piso reformado se encuentra en la tercera planta, en el prestigioso barrio de Ibiza. Con dos dormitorios en suite que cuentan con baño privado, este hogar es perfecto para disfrutar de la comodidad y la privacidad. Además, dispone de un aseo de cortesía ideal para recibir a tus invitados. El amplio salón-comedor, bañado de luz natural gracias a sus grandes ventanales, se convierte en el lugar perfecto para relajarse o compartir momentos inolvidables. La cocina independiente está equipada con electrodomésticos de alta gama, lista para que des rienda suelta a tu creatividad culinaria. Este piso se encuentra en una zona residencial consolidada, conocida por su amplia oferta gastronómica, cultural y comercial. Las excelentes conexiones de transporte público te permitirán moverte con facilidad por toda la ciudad. No pierdas la oportunidad de vivir en un lugar que combina estilo, confort y una ubicación inmejorable. ¡Ven a visitarlo y déjate enamorar!",False,good,False,True,13043.0,False,False,False,False,[],False,False,1500000.0,€,,,,flat,"Goya, Madrid",Piso,,,,
108969020,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/28/3e/5a/1360388888.webp,,21,5,1300000.0,flat,sale,193.0,True,3,3,"calle Mayor, 84",Madrid,Madrid,Centro,es,Palacio,40.4153398,-3.7123217,True,https://www.idealista.com/inmueble/108969020/,"** VENTA DIRECTA CON LA PROPIEDAD **  Particular vende amplia quinta planta exterior de 193m2 con 6 balcones en esquina, y unas impresionantes vistas totalmente únicas del histórico Madrid. Nada más acceder al hogar, nos recibe un agradable hall que distribuye la zona de día en tres generosos ambientes: cocina, salón y comedor. Amplitud de espacios, luz natural y sensación de paz, pueden ser algunos de los adjetivos que se nos vengan a la cabeza.  Desde esta parte del hogar podemos disfrutar de 4 de los maravillosos balcones en esquina al exterior, que, sumado a las impresionantes vistas al histórico Madrid, hacen de esta vivienda un producto único en la zona. Seguimos avanzando, y accedemos a la zona de noche dando paso a los tres dormitorios: silenciosos, cómodos y con capacidad de almacenaje. Además, esta zona del hogar dispone de dos baños completos, un aseo de cortesía y una práctica zona de lavandería. Finalmente, como anexo, la vivienda incorpora incluida en el precio, un cuarto trastero en el propio edificio. Merece mención especial la ubicación en el noble e histórico barrio de Palacio: esta vivienda está situada a escasos metros del Palacio Real y la Catedral de la Almudena, a un sinfín de agradables y pintorescas plazas como la de La Cruz Verde, la Plaza de la Villa, de Plaza de la Paja, la Plaza de Oriente o la Plaza de Santiago; a innumerables ofertas de restauración y servicios, haciendo de este lugar uno de los puntos más demandados y con mayor reconocimiento de la capital española.  Sin duda una propiedad con unas vistas únicas, en altura, y de calidad, que nos ofrece sensación de luz espacio, dentro de en una de las ubicaciones más demandadas de España. Venta particular.  No agencias, gracias.",False,renew,False,True,6736.0,True,False,False,False,[],False,False,1300000.0,€,,,,flat,"Palacio, Madrid","Piso en calle Mayor, 84",,,,
107898058,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/cc/9a/61/1327692186.webp,GN-GRZ2,30,bj,370000.0,flat,sale,96.0,True,4,2,calle Granadilla,Madrid,Madrid,Ciudad Lineal,es,Pueblo Nuevo,40.4292725,-3.6304413,False,https://www.idealista.com/inmueble/107898058/,"TECNOCASA Inmobiliaria García Noblejas-Barrio Bilbao vende piso REFORMADO, distribuido en hall de entrada, 4 DORMITORIOS, recibidor, salón amplio con GRAN ILUMINACIÓN, cocina de gas y eléctrica INGLESA e INDEPENDIENTE con muebles nuevos con riñoneras en los cajones, equipado con lavavajillas, lavadora y caldera, suelo y encimera de granito, un baño completo de mármol romano con ventana y un aseo. Fontanería y sistema eléctrico cambiado. Aire acondicionado bomba de frio y calor, 3 splits. Ventanas climalit. y paredes de piedra. El piso es completamente EXTERIOR en todas sus estancias. Orientación NOROESTE-SURESTE.   Zona inmejorable equipada con todos los servicios; Mercadona a escasos metros, supermercados, comercios, cafeterías, colegios, gimnasios, Centros Comerciales y Zonas verdes. Línea 2 (La Almudena y Alsacia) y Línea 7 (García Noblejas). Bus directo 70 a Plaza de Castilla - Alsacia, N7 Plaza de Cibeles – Vicálvaro y 106 Manuel Becerra Vicálvaro. ¡OPORTUNIDAD! Con KÌRON y sus agentes de intermediación financiera podrás encontrar la hipoteca que mejor se adapte a tus necesidades de financiación, para que puedas beneficiarte de los convenios que tiene el grupo Tecnocasa con diferentes entidades bancarias. Con la posibilidad de financiación hasta 100%, asesórate gratis y sin compromiso.",False,good,False,False,3854.0,True,False,True,False,[],False,False,370000.0,€,,,,flat,"Pueblo Nuevo, Madrid",Piso en calle Granadilla,,,,
109072366,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/ec/54/78/1363556360.webp,,56,,990000.0,chalet,sale,448.0,,8,6,carretera de Villanueva del Pardillo,Madrid,Colmenarejo,,es,,40.5570653,-4.0143924,False,https://www.idealista.com/inmueble/109072366/,"SOMOS HOME PRESENTA OPORTUNIDAD ÚNICA EN COLMENAREJO. *ASESORAMIENTO Y ESTUDIO FINANCIERO GRATUITOS Y SIN COMPROMISO*  Se trata de una construcción independiente del año 2008 que reúne dos amplios chalets en una misma finca, ideales para grandes familias, inversión o como vivienda con opción de alquiler. Cada vivienda cuenta con 3 plantas: sótano, planta principal y segunda planta con accesos independientes tanto por la planta principal, como por el sótano. A su vez, ambas cuentan con su propia zona ajardinada. Al ser muy similares, describimos una de ellas: En la planta principal, un acogedor hall nos da la bienvenida y paso a las distintas estancias de esta planta. A mano derecha encontramos un salón–comedor muy luminoso, con espacio para una amplia mesa y zona de descanso.  A la izquierda, cocina independiente totalmente equipada y con espacio para comer a diario. La cocina cuenta con salida directa a las zonas exteriores de la vivienda.  En esta planta también hay un dormitorio doble con armario empotrado y un baño completo con ducha y ventana. Primera planta, enfocada principalmente como zona de descanso, encontramos un total de 3 dormitorios, dos dormitorios dobles, ambos con armarios empotrados. Un dormitorio principal, muy amplio y bien equipado: cuenta con un funcional vestidor y con baño en suite con ventana y plato de ducha. Además, un baño adicional da servicio al resto de habitaciones. Por último, en el sótano con una espectacular bodega con barra de bar, amplia zona multiusos y un garaje con capacidad para dos coches.  En el exterior, la parcela de 1.350 m² ofrece todo lo necesario para disfrutar en familia o con amigos: piscina, dos barbacoas de obra, zona de césped natural y un amplio espacio trasero perfecto para celebraciones y eventos. Su emplazamiento le otorga la comodidad de tener, en un radio muy reducido, todas las comunicaciones y los servicios esenciales como pudieran ser: La Universidad Carlos III de Madrid, ambulatorio médico, farmacia, comercio, ocio y restauración, complejos deportivos, servicio regular de tren y autobús... Con la ventaja añadida de vivir en la una de las mejores y más importantes localidades de la Sierra de Madrid. Así mismo, su enclave sirve como núcleo de inter-conexión tanto con las principales localidades del área Noroeste de Madrid, tales como: Galapagar, Collado Villalba, Las Rozas..., como con la propia Capital a través de la A-6. ¿A qué esperas? CONTÁCTANOS PARA CONCERTAR UNA VISITA O RESOLVER TUS DUDAS.",True,good,False,,2210.0,True,True,False,False,[],False,False,990000.0,€,,,,chalet,Colmenarejo,Casa independiente en carretera de Villanueva del Pardillo,True,True,independantHouse,
108980942,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/3a/95/3d/1360772714.webp,4310,46,bj,335000.0,flat,sale,55.0,True,1,1,calle de Santiago de Compostela,Madrid,Madrid,Fuencarral,es,Peñagrande,40.4799349,-3.7196,False,https://www.idealista.com/inmueble/108980942/,"ALTOR PRESENTA MARAVILLOSA Vivienda reformada con encanto en urbanización privada – Barrio del Pilar Descubre esta preciosa vivienda recién reformada, situada en la calle Santiago de Compostela 90, en pleno corazón del Barrio del Pilar, una zona residencial consolidada, tranquila y muy bien comunicada. La propiedad, ubicada en una cuidada urbanización cerrada, destaca por su comodidad, funcionalidad y estilo contemporáneo. Cuenta con una habitación amplia, un baño completo y una cocina totalmente equipada, lista para entrar a vivir. Disfruta de una excelente luminosidad y sensación de amplitud gracias a sus techos altos, que aportan carácter y elegancia a cada estancia. Además, está equipada con aire acondicionado, lo que garantiza confort durante todo el año. La urbanización se encuentra en excelente estado de conservación y ofrece zonas comunes ajardinadas, piscina comunitaria y la seguridad de contar con conserje 24 horas, todos los días de la semana. Ubicada a solo 10 minutos a pie del metro y con fácil acceso a la M-30, la zona ofrece una amplia variedad de servicios, comercios, colegios, zonas verdes y centros comerciales como La Vaguada, todo a un paso. HONORARIOS APARTE Una oportunidad ideal tanto para vivir como para invertir, en una de las zonas con mayor proyección del norte de Madrid.",True,good,False,True,6091.0,False,False,True,False,[],False,False,335000.0,€,,,,flat,"Peñagrande, Madrid",Piso en calle de Santiago de Compostela,,,,
109154215,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/43/eb/9b/1365892861.webp,,31,2,260000.0,flat,sale,100.0,True,3,1,Urbanización el Soto,Madrid,Collado Villalba,Dehesa - El Soto,es,,40.6545994,-3.9985502,False,https://www.idealista.com/inmueble/109154215/,"SOMOS HOME PRESENTA ESPECTACULAR VIVIENDA EN URBANIZACIÓN “EL SOTO”, COLLADO VILLALBA PUEBLO. *ASESORAMIENTO Y ESTUDIO FINANCIERO GRATUITOS Y SIN COMPROMISO* Se trata de un bonito piso de 86 metros cuadrados situado en una de las urbanizaciones más tranquilas de Collado Villalba, y se distribuye de la siguiente manera: Accedemos por el hall-recibidor que nos da paso a mano izquierda a la cocina, un espacio amplio y muy luminoso. La cocina cuenta con sala-tendedero.  De frente por el hall-recibidor, el salón-comedor, una estancia amplia pero muy confortable al mismo tiempo. Cuenta con chimenea y es el punto de acceso a la terraza de la vivienda, orientada al este para un óptimo aprovechamiento de luz y temperatura. A través del salón-comedor accedemos al pasillo-distribuidor que nos conduce por el resto de estancias: tres amplios dormitorios, todos ellos con cabida para cama doble; y un cuarto de baño completo con bañera. Incluido en el precio de venta, la vivienda cuenta con un trastero de unos 8 metros cuadrados. La vivienda se sitúa en una urbanización residencial en la que se respira una tranquilidad inigualable, y cuenta con una amplia extensión de zonas verdes, parque infantil, 2 piscinas, pista de tenis, pista polideportiva, club social y zona de aparcamiento. Su emplazamiento le otorga la comodidad de tener, en un radio muy reducido, todas las comunicaciones y los servicios esenciales como pudieran ser: hospital, ambulatorio médico, farmacia, educación, comercio, ocio y restauración, complejos deportivos, servicio regular de tren y autobús.. . Con la ventaja añadida de vivir en la una de las mejores y más importantes localidades de la Sierra de Madrid. Así mismo, su enclave sirve como núcleo de inter-conexión tanto con las principales localidades del área noroeste de Madrid, tales como: Moralzarzal, Alpedrete, El Escorial, Las Rozas.. . como con la propia Capital a través de la A-6. ¿A qué esperas? CONTÁCTANOS PARA CONCERTAR UNA VISITA O RESOLVER TUS DUDAS.",True,good,False,False,2600.0,True,True,False,False,[],False,False,260000.0,€,,,,flat,"Dehesa - El Soto, Collado Villalba",Piso en Urbanización el Soto,,,,
108693671,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/49/f2/de/1352371868.webp,Veracruz,20,2,179000.0,duplex,sale,60.0,True,2,2,calle Veracruz,Madrid,Galapagar,Casco Antiguo,es,,40.5758959,-4.0038846,False,https://www.idealista.com/inmueble/108693671/,"POSIBILIDAD DE FINANCIACIÓN AL 100% DE SU PRÉSTAMO HIPOTECARIO. Agencia inmobiliaria: TECNOCASA GALAPAGAR VENDE EN EXCLUSIVA: Piso DÚPLEX ALQUILADO de 2 dormitorios, distribuido de la siguiente manera:  En la planta baja: Cuenta con luminoso salón comedor con cocina americana y un aseo. En la planta alta: cuenta con dos dormitorios con armarios, así como también un baño completo con bañera. La finca cuenta ascensor y con plaza de garaje incluida en el precio. Gastos de comunidad: 80€ Gastos de IBI anual: 250€ Actualmente se encuentra alquilado con una renta mensual de 750€. Se encuentra en una de las mejores zonas de Galapagar, cercana a servicios como, farmacias, colegios, polideportivo municipal, transporte publico, supermercados y pequeños comercios locales; así como restaurantes y terrazas. POSIBILIDAD DE FINANCIACIÓN AL 100% DE SU HIPOTECA.",False,renew,False,True,2983.0,True,False,False,False,[],False,False,179000.0,€,,,,flat,"Casco Antiguo, Galapagar",Dúplex en calle Veracruz,True,True,duplex,
108839707,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/8a/1f/5e/1356636419.webp,,20,4,1550000.0,flat,sale,160.0,True,3,4,calle de Blasco de Garay,Madrid,Madrid,Chamberí,es,Gaztambide,40.4366421,-3.7103772,False,https://www.idealista.com/inmueble/108839707/,"Descubre esta magnífica vivienda de 160 m² completamente reformada, amueblada y equipada, situada en la cuarta planta de un edificio en perfecto estado en el codiciado barrio de Chamberí. La propiedad se distribuye en tres amplios dormitorios con armarios empotrados, uno de ellos con acceso a terraza, tres baños completos, un aseo de cortesía, y un luminoso salón-comedor, además de sala de estar. La cocina, moderna y funcional, está totalmente equipada con electrodomésticos de alta gama. Entre sus numerosas comodidades, la vivienda cuenta con dos terrazas, trastero, aire acondicionado, calefacción central y un avanzado sistema domótico que permite gestionar de forma eficiente la climatización, iluminación y otros elementos del hogar, garantizando confort y eficiencia energética. El edificio, construido en 1980, dispone de ascensor y portero físico. Ubicada en una de las zonas más demandadas de Chamberí, esta propiedad se encuentra rodeada de una excelente oferta de restaurantes, tiendas, bares y servicios. La conectividad con transporte público es inmejorable: a solo 5-10 minutos a pie de las estaciones de metro Islas Filipinas (L7) y Moncloa (L3 y L6), además de la cercanía de la línea de autobús 44, que conecta con diversos puntos clave de la ciudad. Una oportunidad única para disfrutar de una vivienda de alto nivel, en una de las mejores zonas residenciales de Madrid. ¡Lista para entrar a vivir!",True,good,False,True,9688.0,True,False,False,False,[],False,False,1550000.0,€,,,,flat,"Gaztambide, Madrid",Piso en calle de Blasco de Garay,,,,
108926343,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/ee/22/8f/1365045240.webp,VENE5080,61,bj,210000.0,flat,sale,43.0,False,2,1,calle de Elfo,Madrid,Madrid,Ciudad Lineal,es,Concepción,40.4336683,-3.6574877,False,https://www.idealista.com/inmueble/108926343/,"VENE5080 CONKSA INMOBILIARIA ofrece un encantador piso de 33m² situado en una zona excepcional en el corazón de lo que será el proyecto parque ventas, lo que convierte a este inmueble en una excelente opción de inversión en rentabilidad o en un acogedor espacio para vivir, cercano a todo. El inmueble se encuentra en un edificio de corrala con su ite vigente hasta 2032 en perfecto estado. Se distribuye en salón, cocina, baño con ducha y dos dormitorios, todo en muy buen estado, permitiendo, si se desea, entrar a vivir de inmediato. Las puertas son macizas de color haya, la puerta exterior es blindada, las ventanas son de aluminio lacado blanco con climalit, y las paredes de los dormitorios tienen revestimiento plástico. El agua caliente se obtiene mediante un termo eléctrico, y la calefacción y el aire acondicionado funcionan con bomba de frío y calor. Los suelos son de gres. Está a pocos metros de la entrada del mercado de ventas y junto a la calle Alcalá. Está dotado de una amplia gama de servicios de todo tipo, comerciales, educativos, médicos, zonas verdes, y está muy bien comunicado con varias líneas de autobuses en las cercanías, así como con las estaciones de metro de El Carmen y Ventas. El acceso a la M30 se encuentra en sus inmediaciones. Todo esto convierte a este inmueble en una excelente opción de rentabilidad superior al 6%. No dejes de visitar virtualmente este fantástico inmueble haciendo clic en el enlace al final del anuncio.",True,good,False,False,4884.0,True,False,False,False,[],False,False,210000.0,€,,,,flat,"Concepción, Madrid",Piso en calle de Elfo,,,,
