propertyCode,thumbnail,numPhotos,floor,price,propertyType,operation,size,exterior,rooms,bathrooms,address,province,municipality,district,country,neighborhood,latitude,longitude,showAddress,url,description,hasVideo,status,newDevelopment,hasLift,priceByArea,hasPlan,has3DTour,has360,hasStaging,notes,topNewDevelopment,topPlus,priceInfo.price.amount,priceInfo.price.currencySuffix,detailedType.typology,suggestedTexts.subtitle,suggestedTexts.title,detailedType.subTypology,externalReference,parkingSpace.hasParkingSpace,parkingSpace.isParkingSpaceIncludedInPrice,priceInfo.price.priceDropInfo.formerPrice,priceInfo.price.priceDropInfo.priceDropValue,priceInfo.price.priceDropInfo.priceDropPercentage,parkingSpace.parkingSpacePrice
109185174,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/17/01/f2/1366790922.webp,18,1,185000.0,flat,sale,53.0,True,2,1,CL PEDRO ESCUDERO,Madrid,Madrid,Puente de Vallecas,es,Palomeras Bajas,40.387701,-3.6543622,False,https://www.idealista.com/inmueble/109185174/,"Piso en venta de 2 habitaciones en calle Pedro Escudero, en Palomeras Bajas.  El inmueble se distribuye en: - 2 habitaciones luminosas con armarios empotrados. - 1 baño completo con plato de ducha.  -Cocina americana, salón - comedor. Además, cuenta con un cuarto trastero de 8 metros que se encuentra en la planta -1.    Las ventanas son de climalit, los suelos son de gres, la calefacción es eléctrica.    Se encuentra en una calle tranquila, piso luminoso ya que todas las habitaciones son exteriores.  Con paradas de autobús y metro (línea 1 en Buenos Aires y Portazgo) a escasos metros, parques alrededor, comercios, farmacia, centro de salud.   No deje pasar esta oportunidad!",False,good,False,False,3491.0,False,False,False,False,[],False,False,185000.0,€,flat,"Palomeras Bajas, Madrid",Piso en CL Pedro Escudero,,,,,,,,
109190698,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/b1/80/6d/1366971104.webp,11,bj,170000.0,studio,sale,45.0,True,0,1,paseo Gregorio Marañón,Madrid,San Sebastián de los Reyes,Dehesa Vieja-Puente Cultural,es,,40.5638603,-3.6106795,False,https://www.idealista.com/inmueble/109190698/,"**Estudio en Venta - Dehesa Vieja** ¡Descubre este espectacular loft de 39 metros cuadrados listo para estrenar! Ubicado en una zona privilegiada, este estudio es perfecto para quienes buscan un espacio luminoso y acogedor. Con una distribución inteligente, cuenta con una zona de dormitorio, un baño moderno y una cocina americana completamente equipada y amueblada, ideal para disfrutar de la comodidad en tu día a día. El inmueble está diseñado con acabados y materiales de primera calidad, asegurando un ambiente elegante y funcional. Además, cuenta con aire acondicionado y calefacción individual mediante bomba de frío/calor, garantizando el confort en cualquier época del año. Las ventanas climalit y la puerta blindada ofrecen seguridad y eficiencia energética. Este loft se entrega nuevo a estrenar en un plazo de 6 meses, lo que lo convierte en una excelente oportunidad para inversores. Con una expectativa de rentabilidad por encima del 7%, es la opción perfecta tanto para habitar como para alquilar. No dejes pasar la oportunidad de adquirir este inmueble en un edificio con ascensor y en un estado impecable. ¡Contáctanos para más información y asegura tu futuro hoy mismo!",False,good,False,False,3778.0,True,False,False,False,[],False,False,170000.0,€,flat,"Dehesa Vieja-Puente Cultural, San Sebastián de los Reyes",Estudio en paseo Gregorio Marañón,studio,,,,,,,
107910786,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/b7/1c/bc/1338295469.webp,60,,1150000.0,chalet,sale,353.0,,4,3,calle Castillo de Játiva,Madrid,Villanueva de la Cañada,Villafranca del Castillo,es,,40.4701631,-3.9490777,False,https://www.idealista.com/inmueble/107910786/,"EXCLUSIVO CHALET INDEPENDIENTE EN VILLAFRANCA DEL CASTILLO  Vistas únicas, privacidad total y una ubicación privilegiada Diamond Home Property te presenta una oportunidad irrepetible: un chalet independiente en una de las urbanizaciones más prestigiosas del noroeste de Madrid, rodeado de naturaleza, privacidad y con espectaculares vistas a la Cuenca del Medio Jarama. Lo más destacado - Parcela de 2.639 m² con jardín privado y fachada renovada recientemente - 353 m² construidos distribuidos en 3 plantas - Vivienda en buen estado general, lista para entrar a vivir, aunque ofrece gran potencial para personalizar y actualizar ciertos espacios a tu gusto pintura lisa, suelos de alta calidad, cocina equipada, sistema de alarma conectado a vigilancia privada Distribución cómoda y funcional con 4 dormitorios + espacios polivalentes - Dormitorio principal con baño en suite, vestidor y salida a terraza con espectaculares vistas. - Salón multiusos bajo cubierta ideal para ocio, cine o gimnasio - Garaje cubierto, lavandería, trastero y despensa - Urbanización con seguridad 24h y vigilancia privada - Espacios amplios, luminosos y funcionales Distribución Planta baja: Vestíbulo de entrada Aseo de cortesía Luminoso salón-comedor con acceso al jardín Cocina equipada con zona office Lavandería Habitación (despacho o dormitorio en planta) Garaje cubierto para dos vehículos Primera planta: Dormitorio principal con baño en suite, vestidor y salida a terraza con fantásticas vistas. Dos amplios dormitorios adicionales Baño completo Zona de despacho abierto Buhardilla: Salón multiusos ideal como sala de juegos, zona de ocio o gimnasio o incluso dormitorio  Entorno y ubicación inmejorables Villafranca del Castillo es sinónimo de bienestar, naturaleza y exclusividad. Esta vivienda se sitúa cerca de prestigiosos colegios internacionales (SEK, Zola, St. George's), centros comerciales (Heron City, Zoco Monte Rozas) y cuenta con excelentes conexiones: - Accesos rápidos a A6 y M-50  - Líneas de autobús directas - Zona tranquila, ideal para familias Ideal para quienes buscan:  - Tranquilidad sin aislarse - Vivienda con buena base y posibilidad de mejoras estéticas o funcionales - Privacidad sin renunciar a servicios - Un entorno natural con vistas despejadas y servicios a mano - Calidad de vida, espacios amplios y luz natural - Un hogar familiar, amplio luminoso con jardín y con todo lo necesario para disfrutar desde el primer día ¿Te imaginas viviendo aquí? ¡Ven a conocer tu nuevo hogar! No dejes pasar esta gran oportunidad. Contáctanos para concertar una visita. Te asesoramos y acompañamos en cada paso con un servicio profesional, discreto y cercano, para que tu compra sea segura y satisfactoria.  Diamond Home Property  Tu hogar, nuestra misión.",True,good,False,,3258.0,True,False,False,False,[],False,False,1150000.0,€,chalet,"Villafranca del Castillo, Villanueva de la Cañada",Casa independiente en calle Castillo de Játiva,independantHouse,DHV-1318,True,True,,,,
108631488,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/01/be/7e/1350820799.webp,22,1,650000.0,flat,sale,112.0,False,1,1,Barrio Huertas-Cortes,Madrid,Madrid,Centro,es,Huertas-Cortes,40.4157278,-3.7003832,False,https://www.idealista.com/inmueble/108631488/,"En esta vivienda el protagonismo lo tiene la altura de techo: casi 5 metros que permiten volar la imaginación.  Además, reúne dos singularidades: el edificio donde se aloja, rehabilitado con encanto y respeto a los elementos originales, y la superficie del salón de 29 m2. El resto de las habitaciones, cocina, dormitorio, despacho/comedor y baño, deambulan alrededor de dos patios a los que se abren con grandes ventanas. de casi 3m de altura. Se tata de un piso de 105 m2 útiles, en el que hay que valorar el volumen, no solo la superficie. La planta ofrece muchas posibilidades de división interior.  Su enclave, entre el barrio de Las Letras y Cortes es otro valor añadido que aporta vitalidad y acceso a las ofertas de la ciudad. Desde esta vivienda se cumple el dicho madrileño de que todo está ""a 15 minutos""...",True,renew,False,False,5804.0,True,False,False,False,[],False,False,650000.0,€,flat,"Huertas-Cortes, Madrid",Piso,,AR03174,,,,,,
108679270,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/44/f9/3d/1361226973.webp,47,8,1449000.0,flat,sale,190.0,True,5,4,calle del Doctor Esquerdo,Madrid,Madrid,Retiro,es,Niño Jesús,40.4080559,-3.6700377,False,https://www.idealista.com/inmueble/108679270/,"En una de las zonas más codiciadas de Madrid, el barrio de Niño Jesús —junto al icónico Parque del Retiro— se encuentra este magnífico ático reformado, una propiedad pensada para quienes valoran el diseño contemporáneo, los espacios amplios y la calidad de vida. Situado en una finca representativa construida en 1987, con ITE favorable y todos los servicios, este inmueble combina ubicación, prestaciones y confort en un equilibrio perfecto. La vivienda ofrece 190 m² construidos, completamente reformados con materiales de alta gama y una distribución que aprovecha al máximo la luz natural. Sus cinco dormitorios ofrecen múltiples opciones: dormitorios familiares, espacios de trabajo o zonas de descanso personalizadas. Los cuatro baños, modernos y funcionales, han sido diseñados con elegancia y atención al detalle. Uno de sus grandes atractivos es la terraza privada de 40 m², un espacio al aire libre para disfrutar en cualquier momento del día. Está equipada con armarios de almacenaje, lo que permite mantener el orden sin renunciar al disfrute. Una extensión del salón, ideal para reuniones, momentos de relax o incluso para montar tu pequeño jardín urbano. El ático incluye además plaza de garaje con cargador eléctrico, anticipándose al presente y futuro de la movilidad sostenible y otra plaza opcional no incluida en precio. Y como valor añadido, la comunidad ofrece servicios pensados para el bienestar de todos sus residentes: piscina comunitaria, gimnasio completamente equipado, sauna, portero físico y dos ascensores que facilitan el acceso en todo momento. Vivir aquí significa tenerlo todo al alcance de la mano. Estás a un paso del Parque del Retiro, uno de los pulmones verdes de la capital, perfecto para practicar deporte, dar paseos o simplemente desconectar sin salir del barrio. Además, la zona cuenta con excelente conexión por transporte público (líneas de autobús y metro) y acceso inmediato a la M-30, lo que garantiza una movilidad fluida tanto dentro como fuera de Madrid. A nivel de servicios, el entorno ofrece colegios, supermercados, zonas comerciales, farmacias, centros médicos y una atractiva oferta de restauración, lo que convierte a esta vivienda en una opción ideal tanto para familias como para profesionales que buscan calidad de vida sin renunciar a la conectividad urbana. Esta es una de esas oportunidades que no se presentan todos los días. Si estás buscando un hogar que combine espacio, estilo, ubicación y sostenibilidad, este ático puede ser lo que llevas tiempo esperando. Solicita más información o agenda tu visita hoy mismo. ""Encuentra el hogar de tus sueños, ¡tu nueva vida empieza aquí"".",False,good,False,True,7626.0,True,False,True,False,[],False,False,1449000.0,€,flat,"Niño Jesús, Madrid",Piso en calle del Doctor Esquerdo,,1396,True,True,,,,
108103192,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/f5/41/70/1333915418.webp,44,,440000.0,chalet,sale,184.0,,3,2,Venturada,Madrid,Venturada,,es,,40.7972532,-3.6226304,False,https://www.idealista.com/inmueble/108103192/,"NO COBRAMOS COMISIÓN DE INTERMEDIACIÓN AL COMPRADOR Excelente oportunidad de adquirir en propiedad esta vivienda residencial con una superficie de 183m² muy bien distribuidos, ubicada en la localidad de Venturada, provincia de Madrid.  Este ideal para quienes buscan un hogar confortable en un entorno natural y acogedor. Cuenta con un luminoso salón-comedor, perfecto para disfrutar de momentos en familia y reuniones con amigos. Decorado con gusto y con materiales de alta calidad, ofrece una experiencia de vida inmejorable. Una amplia cocina amueblada, gran cantidad de espacio con múltiples dormitorios, planta superior abuhardillada. Cuenta con baños en todas sus plantas y dispone de terraza con vistas a la naturaleza. Situado en una zona residencial tranquila, esta casa disfruta de una ubicación estratégica. A poca distancia, encontrarás supermercados, colegios, centros de salud y una variada oferta de tiendas y restaurantes. Además, la excelente conexión con las principales vías de acceso te permitirá llegar rápidamente a otras áreas de interés. Venturada es una localidad y municipio de la Comunidad de Madrid, situada al norte de la capital, en la Sierra Norte. Se encuentra a unos 45 km de Madrid, y forma parte del entorno natural de la Sierra de Guadarrama. Está bien conectada por la autovía A-1 (Madrid-Burgos), lo que facilita el acceso desde la ciudad. Hipoges es una plataforma inmobiliaria donde podrás acceder a miles de activos inmobiliarios de diferentes tipos como viviendas, locales comerciales, terrenos, nueva obra, tanto a nivel particular como para inversores. Hipoges cuenta con una amplia cartera de activos inmuebles tanto en España como en Portugal y Grecia. ¿Necesitas financiación? Te ofrecemos la posibilidad de financiaciones de hasta el 100% para la compra de este inmueble. Entra en Finanwin. com, haz tu simulación y obtén la mejor oferta para tu Hipoteca de la manera más ágil y sencilla.",True,good,False,,2391.0,True,False,True,False,[],False,False,440000.0,€,chalet,Venturada,Casa independiente,independantHouse,LIRE-02671,True,True,,,,
108924651,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/17/33/1d/1359106687.webp,29,bj,130000.0,flat,sale,74.0,True,2,1,calle Ezequiel Peñalver,Madrid,Madrid,Barajas,es,Aeropuerto,40.4488843,-3.5529376,False,https://www.idealista.com/inmueble/108924651/,"¡MAGNÍFICA OPORTUNIDAD PARA INVERSORES! Vivienda en buen estado de conservación, próxima al Aeropuerto de Barajas y polígonos industriales de la A-2, en la calle Ezequiel Peñalver, planta baja, exterior. ***VIVIENDA NO FINANCIABLE POR LA MAYORÍA DE LOS BANCOS POR ITE DESFAVORABLE*** 74 m2 construidos distribuidos en: amplio salón, cocina independiente amueblada, dos dormitorios espaciosos, y cuarto de baño con plato de ducha y ventana de ventilación.  No lo dude, contacte con nosotros y concierte una visita con nuestros asesores. VENETA Inmobiliaria es una agencia especializada en la venta de viviendas con más de 25 años de experiencia en la intermediación de compra-venta de inmuebles y asesoramiento inmobiliario.  Síguenos en las redes y entérate el primero de los pisos que salen a la venta: fb: Veneta Inmobiliaria ig: veneta_grupo_inmobiliario.",True,good,False,False,1757.0,False,False,False,False,[],False,False,130000.0,€,flat,"Aeropuerto, Madrid",Piso en calle Ezequiel Peñalver,,MD3D01V03,,,,,,
108567235,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/ab/fd/37/1348667190.webp,25,1,550000.0,flat,sale,140.0,True,3,2,ronda CL,Madrid,Boadilla del Monte,Sector S,es,,40.4026297,-3.884915,False,https://www.idealista.com/inmueble/108567235/,"**Piso en Venta en Boadilla - ¡Tu nuevo hogar te espera! ** Descubre este precioso piso en Boadilla, un lugar ideal para vivir y disfrutar de la comodidad. Con 140 m² construidos y 120 m² útiles, esta vivienda completamente reformada cuenta con tres amplios dormitorios y dos modernos baños, uno de ellos en suite. La carpintería blanca y los suelos de madera clara aportan un toque elegante y acogedor a cada rincón.  Ubicado en una urbanización cerrada con seguridad 24 horas, podrás relajarte sabiendo que tu hogar está protegido. Además, la propiedad incluye un garaje y un trastero, perfectos para mantener el orden. Disfruta de los días soleados en la piscina o juega al pádel con amigos. La ubicación es inmejorable: con una parada de autobús en la puerta, acceso a un tren eléctrico cercano y todos los servicios a pie de calle, como farmacias, restaurantes y supermercados. La zona está completamente consolidada y cuenta con colegios y un ambulatorio municipal justo enfrente. Este piso es apto para personas con movilidad reducida y dispone de calefacción por bomba de frío/calor, asegurando tu confort durante todo el año. ¡No dejes pasar esta oportunidad! Ven a visitarlo y enamórate de tu nuevo hogar.",True,good,False,True,3929.0,True,False,False,False,[],False,False,550000.0,€,flat,"Sector S, Boadilla del Monte",Piso en ronda CL,,BOAD020,True,True,,,,
108433177,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/f0/94/f9/1344717351.webp,31,3,290000.0,flat,sale,100.0,True,3,2,avenida de Pablo Neruda,Madrid,Madrid,Puente de Vallecas,es,Palomeras sureste,40.3924032,-3.6418534,False,https://www.idealista.com/inmueble/108433177/,"¡Luminoso piso en venta en excelente finca junto a Moratalaz! Se vende amplio y luminoso piso ubicado en una finca en muy buen estado, equipada con dos ascensores y montacargas, lo que aporta comodidad y accesibilidad a todos los residentes. Situado en una buena zona de Vallecas, a un paso de Moratalaz —separados únicamente por un puente—, disfrutarás de una ubicación estratégica con excelente comunicación en transporte público y fácil acceso a principales vías, comercios, colegios y servicios. La vivienda cuenta con 3 habitaciones, siendo la principal tipo suite con baño incorporado y armario empotrado. Todas las habitaciones tienen salida directa a una gran terraza cerrada, perfecta para disfrutar del espacio exterior durante todo el año. Además, el salón también tiene acceso directo a la terraza, lo que aporta gran luminosidad al ambiente. Dispone de 2 baños completos con bañera, una cocina espaciosa con gran potencial y múltiples posibilidades de actualización para adaptarla a tu gusto. El piso está actualmente alquilado, ideal tanto para inversión como para vivienda habitual tras reforma. Para más información o concertar una visita, no dudes en contactarnos. ¡Una gran oportunidad que no puedes dejar pasar!",True,renew,False,True,2900.0,True,False,False,False,[],False,False,290000.0,€,flat,"Palomeras sureste, Madrid",Piso en avenida de Pablo Neruda,,pl. avenida de pablo neruda,,,,,,
107073485,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/0f/d4/e7/1302153388.webp,22,3,138000.0,flat,sale,71.0,True,2,1,calle de Peironcely,Madrid,Madrid,Puente de Vallecas,es,Entrevías,40.3839627,-3.6704712,False,https://www.idealista.com/inmueble/107073485/,"Oportunidad inversores inmueble sin posesión, no se puede visitar, ni dispone de financiación, a un precio inmejorable. Disponemos de una amplia cartera de inmuebles alquilados, ocupados, deuda, y locales en rentabilidad. Madrid es un municipio y una ciudad de españa. La localidad, con categoría histórica de villa, es la capital del estado y de la comunidad de madrid. En su término municipal, el más poblado de españa, su población es de 3 416 771 habitantes (ine 2024), constituyéndose como la segunda ciudad más poblada de la unión europea, así como su área metropolitana, con 6 779 888 habitantes empadronados.",False,good,False,True,1944.0,True,False,False,False,[],False,False,138000.0,€,flat,"Entrevías, Madrid",Piso en calle de Peironcely,,GTRE-02383,,,,,,
