propertyCode,thumbnail,externalReference,numPhotos,floor,price,propertyType,operation,size,exterior,rooms,bathrooms,address,province,municipality,district,country,neighborhood,latitude,longitude,showAddress,url,description,hasVideo,status,newDevelopment,hasLift,priceByArea,hasPlan,has3DTour,has360,hasStaging,notes,topNewDevelopment,topPlus,priceInfo.price.amount,priceInfo.price.currencySuffix,parkingSpace.hasParkingSpace,parkingSpace.isParkingSpaceIncludedInPrice,detailedType.typology,suggestedTexts.subtitle,suggestedTexts.title,detailedType.subTypology,parkingSpace.parkingSpacePrice,priceInfo.price.priceDropInfo.formerPrice,priceInfo.price.priceDropInfo.priceDropValue,priceInfo.price.priceDropInfo.priceDropPercentage
109168574,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/cd/8d/8a/1366299083.webp,*17,42,4,350000.0,flat,sale,75.0,True,2,2,calle Fuente Cisneros,Madrid,Alcorcón,Parque oeste - Fuente Cisneros,es,Parque oeste - Fuente Cisneros,40.3347431,-3.8539293,False,https://www.idealista.com/inmueble/109168574/,"Agencia inmobiliaria de ALCORCÓN - zona POLVORANCA - Oficina Tecnocasa de ALCORCÓN, Vende PISO EN FUENTE CISNEROS EN VENTA: FANTASTICO PISO CON TRASTERO Y PLAZA DE GARAJE EN URBANIZACIÓN PRIVADA CON PISCINA, JARDIN, PISTA DE PADEL, PORTERO FISICO Y PARQUE INFANTIL. La vivienda esta compuesta de recibidor, cocina independiente con tendedero, amplio salón independiente con terraza abierta, 2 dormitorios con armarios empotrados, 2 baños completos, Cuenta con puertas de roble macizas, suelos de tarima, ventanas dobles de climalit con mosquiteras, calefacción, pintura en liso y aire acondicionado por conducto. En cuanto a las comunicaciones, Cuenta con una excelente conectividad gracias a la cercanía de los autobuses. Asimismo, ofrece un fácil acceso a la M-50 y la A-5, lo que garantiza una movilidad ágil por toda la ciudad y sus alrededores. Además, la zona está perfectamente equipada con servicios esenciales como colegios, un centro de salud, un hospital, supermercados y una amplia variedad de comercios. Todo lo que necesitas está al alcance de tu mano.",False,good,False,True,4667.0,False,False,False,False,[],False,False,350000.0,€,True,True,flat,"Parque oeste - Fuente Cisneros, Alcorcón",Piso en calle Fuente Cisneros,,,,,
103782295,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/25/e8/9e/1199962337.webp,OMD1,32,5,1290000.0,flat,sale,130.0,True,3,2,Barrio Goya,Madrid,Madrid,Barrio de Salamanca,es,Goya,40.4200941,-3.6799551,False,https://www.idealista.com/inmueble/103782295/,"Belton Real Estate ofrece encantador piso ubicado en una de las zonas más pintorescas de la ciudad, este encantador piso ofrece una oportunidad única para crear el hogar de tus sueños. Su potencial es evidente desde el momento en que cruzas la puerta. El piso tiene una superficie de 130 metros cuadrados con una buena distribución, dispone de tres amplios dormitorios y dos baños lo que permite que el piso pueda ser habitado por una familia numerosa así como una persona que busque varias habitaciones. El piso destaca por grandes ventanales que permiten la entrada de luz natural, creando un ambiente cálido y acogedor, desde algunas habitaciones, se pueden disfrutar de vistas panorámicas que enriquecen la experiencia de vivir en el centro urbano. Se vende completamente reformado el piso. El piso cuenta con trastero lo que permite al propietario tener un espacio para el almacenamiento, también dispone de ascensor muy necesario ya que el piso se encuentra en una quinta planta. Techos altos, suelos de madera y detalles arquitectónicos que reflejan la elegancia de la época. Ubicada en el prestigioso distrito de Salamanca, la zona de Goya en Madrid es una joya que combina elegancia, comodidad y un estilo de vida vibrante. Conocida por su arquitectura clásica, boutiques exclusivas y una amplia oferta cultural, Goya se presenta como una de las ubicaciones más codiciadas de la capital. A pocos pasos, se encuentran varios teatros, cines y galerías de arte. La oferta cultural diversa garantiza entretenimiento para todos los gustos, desde eventos en vivo hasta exposiciones de arte contemporáneo. Goya cuenta con excelentes conexiones de transporte público, facilitando el desplazamiento por la ciudad. Estaciones de metro cercanas y varias líneas de autobús hacen que moverse por Madrid sea rápido y conveniente. Residir en Goya significa disfrutar de un estilo de vida cosmopolita sin sacrificar la tranquilidad. Las calles arboladas y la arquitectura clásica crean un ambiente refinado y acogedor, ideal para aquellos que buscan la combinación perfecta entre lujo y comodidad. Aproximadamente un 30 % de los inmuebles que tenemos en esta zona solo están anunciados en nuestra web por expreso deseo de los propietarios. Para verlos pinche por favor en el enlace adicional ubicado en la parte final del anuncio y encuentra el piso que estás buscando.",False,good,False,True,9923.0,False,False,False,False,[],False,False,1290000.0,€,,,flat,"Goya, Madrid",Piso,,,,,
108425350,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/76/27/51/1351515007.webp,AR03121,19,8,1190000.0,flat,sale,161.0,True,4,3,Barrio Vallehermoso,Madrid,Madrid,Chamberí,es,Vallehermoso,40.4416377,-3.7162365,False,https://www.idealista.com/inmueble/108425350/,"Piso en venta de 161 m², muy luminoso, en el barrio de Vallehermoso, dentro del distrito de Chamberí. Esta zona es conocida por su ambiente residencial y su excelente conectividad con el resto de la ciudad. La vivienda se encuentra en una octava planta exterior. Dispone de ascensor, zonas verdes, portero físico y garaje. El piso tiene muchísimas posibilidades de reforma y una magnifica terraza de unos 7m² con unas vistas despejadas debido a su altura y su orientación sur. Consta de: 4 dormitorios y 3 baños, cocina independiente con puerta de servicio.",False,renew,False,True,7391.0,True,False,False,False,[],False,False,1190000.0,€,True,True,flat,"Vallehermoso, Madrid",Piso,,,,,
108504734,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/1c/51/81/1346877012.webp,1642,16,4,2019000.0,flat,sale,158.0,False,3,3,calle de Padilla,Madrid,Madrid,Barrio de Salamanca,es,Lista,40.4306405,-3.6739919,False,https://www.idealista.com/inmueble/108504734/,"Ubicada en el prestigioso barrio de Salamanca - Lista, esta vivienda en Padilla 80 ofrece un equilibrio entre amplitud y comodidad. Con 158 m² construidos, cuenta con tres dormitorios y tres baños, además de un aseo adicional, proporcionando un espacio funcional y bien distribuido. Situada en la cuarta planta de un edificio con ascensor, garantiza privacidad y tranquilidad. El barrio Salamanca - Lista es conocido por su elegancia y su excelente calidad de vida. Rodeado de comercios exclusivos, restaurantes de alta gastronomía y con una excelente conectividad, es una de las zonas más cotizadas de Madrid. La cercanía a áreas emblemáticas de la ciudad la convierte en una ubicación privilegiada para vivir o invertir. Con calefacción individual de gas y aire acondicionado, esta propiedad combina confort y eficiencia en un entorno inmejorable. Su diseño y características la hacen una opción atractiva para quienes buscan un hogar en una de las mejores zonas de la capital.",False,good,False,True,12778.0,True,False,False,False,[],False,False,2019000.0,€,,,flat,"Lista, Madrid",Piso en calle de Padilla,,,,,
108072450,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/c6/16/23/1332963779.webp,,25,3,396000.0,flat,sale,61.0,True,1,1,calle de Dulce Chacón,Madrid,Madrid,Hortaleza,es,Virgen del Cortijo - Manoteras,40.4873126,-3.6709503,False,https://www.idealista.com/inmueble/108072450/,"**Piso en Venta en la Prestigiosa Isla de Chamartín** Descubre este luminoso apartamento de 61 m², ubicado en una de las zonas más exclusivas de Madrid. Con orientación este, el sol ilumina el acogedor salón-comedor, ideal para disfrutar de momentos inolvidables. La cocina está completamente equipada con todos los electrodomésticos necesarios para hacer de tus comidas un verdadero placer. La habitación independiente es cómoda y luminosa, con armarios empotrados que ofrecen un amplio espacio de almacenamiento. Este edificio moderno, construido en 2006, cuenta con cinco ascensores y amplias zonas comunes que incluyen jardines, una zona infantil con columpios y una refrescante piscina. Además, podrás disfrutar de pistas de pádel y un gimnasio para mantenerte activo. La sala de comunidad es perfecta para celebrar fiestas y eventos familiares, creando un ambiente de convivencia y diversión. La ubicación es inmejorable, cerca del Parque Isla de Chamartín, ideal para paseos y ejercicio al aire libre. Con fácil acceso a la M11, estarás conectado con el recinto ferial de Ifema, el aeropuerto y el centro de la ciudad. El transporte público es excelente, con estaciones de Cercanías y Metro Ligero a pocos minutos. En los alrededores, encontrarás una variada oferta de servicios, como el centro comercial Manoteras, restaurantes, cines y hospitales privados como Sanitas La Moraleja y HM Sanchinarro. Este piso es apto para personas con movilidad reducida, cuenta con calefacción por bomba de frío/calor y aire acondicionado para tu comodidad. Además, incluye una plaza de garaje y un trastero en el precio. No pierdas la oportunidad de vivir en un lugar que combina confort, seguridad y una ubicación privilegiada. ¡Ven a visitarlo y enamórate de tu nuevo hogar!",False,good,False,True,6492.0,True,False,False,False,[],False,False,396000.0,€,True,True,flat,"Virgen del Cortijo - Manoteras, Madrid",Piso en calle de Dulce Chacón,,,,,
107978252,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/99/b7/9c/1330052929.webp,nn2022,31,4,2100000.0,flat,sale,278.0,True,5,4,avenida de los Arces,Madrid,Madrid,Hortaleza,es,Palomas,40.4538937,-3.6201236,False,https://www.idealista.com/inmueble/107978252/,"By Plazas Inmobiliaria les presenta esta extraordinaria propiedad situado en la prestigiosa zona de Palomas -Piovera en el corazón de uno de los barrios más exclusivos de Madrid. Esta elegante vivienda de 278 metros cuadrados construidos combina amplitud, diseño moderno y el confort de una urbanización de lujo pensada para quienes buscan calidad de vida, tranquilidad y una ubicación estratégica. ✨ Una vivienda diseñada para el máximo confort La propiedad cuenta con una distribución muy funcional, pensada para satisfacer las necesidades de familias exigentes: 5 amplios dormitorios, dos tipo suite, el principal con vestidor. 3 baños completos 1 aseo de invitados Salón-comedor de grandes dimensiones, muy luminoso y con salida a zona de relax Cocina independiente equipada, con office y zona de lavandería Todo ello gestionado por un avanzado sistema de domótica que permite controlar de forma eficiente la iluminación, climatización, persianas y otros elementos del hogar desde su smartphone o panel central. Tecnología al servicio de la comodidad y la eficiencia energética.  Urbanización privada con zonas comunes premium Vivir aquí es disfrutar del lujo sin salir de casa: Piscina exterior y piscina cubierta climatizada Gimnasio completo de uso comunitario, dos saunas ( seca y húmeda), rayos UVA y solárium. Zonas ajardinadas ideales para el descanso o el juego infantil Vigilancia 24 horas, con control de accesos y seguridad Garaje y trastero incluidos en el precio  Palomas – Piovera: Prestigio, tranquilidad y servicios Situado en un enclave residencial de alto nivel, con acceso directo a la M-40, M-30, A-2 y M-12, esta vivienda se encuentra cerca del centro de Madrid y del aeropuerto. Su excelente ubicación lo convierte en una opción perfecta tanto para familias como para profesionales que buscan calidad de vida y movilidad. En su entorno encontrará: Colegios de primer nivel, nacionales e internacionales (Lycée Français, Numont, Maristas, Colegio Bristol…) Escuelas de negocios como ESIC   La prestigiosa Clínica Navarra Centros comerciales: El Corte Inglés Campo de las Naciones, Plenilunio, Arturo Soria Plaza Parques emblemáticos: Juan Carlos I, El Capricho, Quinta de los Molinos Instalaciones deportivas y de ocio: Club de Golf Olivar de la Hinojosa, AQA Los Prunos  Excelentes conexiones Fácil acceso en coche a M-40, M-30, M-12 y Radiales Estaciones de metro cercanas: Campo de las Naciones (L8) y Canillejas (L5) Varias líneas de autobús: 104, 112, 122, 153  Un estilo de vida elevado. Este inmueble no es solo una vivienda, es una forma de vivir. Comodidad, tecnología, exclusividad y naturaleza se combinan en una propiedad ideal para quienes lo quieren todo.  Contáctenos para concertar una visita privada. By Plazas Inmobiliaria – Donde el lujo encuentra su hogar.",False,good,False,True,7554.0,True,False,False,False,[],False,False,2100000.0,€,True,True,flat,"Palomas, Madrid",Piso en avenida de los Arces,,,,,
108318123,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/c9/5d/9b/1340529605.webp,,31,10,925000.0,flat,sale,84.0,True,2,2,paseo de la Castellana,Madrid,Madrid,Tetuán,es,Cuzco-Castillejos,40.4646388,-3.689867,False,https://www.idealista.com/inmueble/108318123/,"Magnífico piso con piscina, a estrenar y muy luminoso, en Pso. De la Castellana, planta décima 84m² totalmente reformado y amueblado. Consta de 2 dormitorios, 2 baños, uno de ellos en suite y armarios empotrados, vestidos con baldas y cajoneras. Salón comedor, con cocina equipada con todos los electrodomésticos. Aire acondicionado por conductos. Ventanas de PVC oscilobatientes con climalit, persianas motorizadas en toda la casa. Portal representativo y portero 24 horas. 6.37. 571 11.8.",True,good,False,True,11012.0,True,False,False,False,[],False,False,925000.0,€,,,flat,"Cuzco-Castillejos, Madrid",Piso en paseo de la Castellana,,,,,
107125500,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/20/a0/d8/1303761484.webp,BNPM4,44,,1950000.0,chalet,sale,510.0,,5,5,Ciudalcampo,Madrid,Ciudalcampo,,es,,40.6238875,-3.6042178,False,https://www.idealista.com/inmueble/107125500/,"Exclusivo chalet en Ciudalcampo junto al campo de golf del RACE Belton Real Estate presenta esta espectacular vivienda de 510 m² construidos sobre una parcela de 2.800 m². Reformada en 2012 y en perfecto estado de conservación, esta casa destaca por su luminosidad, privacidad y ubicación privilegiada, a solo 50 metros del club social del golf y ubicada entre tres hoyos del prestigioso campo de golf. En la planta principal, la vivienda recibe con un amplio hall de entrada de doble altura, que da acceso a varias zonas de salón y comedor, perfectas para reuniones familiares o con amigos. También dispone de una elegante biblioteca y un elegante porche cerrado con amplias ventanas con vistas impresionantes al jardín. La cocina, completamente independiente junto con la zona de office, combinan funcionalidad y estilo, ideal para el día a día. Además, esta planta incluye aseo, gabanero y zona de servicio que cuenta con habitación, baño, despensa y cuarto de lavadora. En la planta superior un amplio distribuidor nos lleva a cinco habitaciones muy espaciosas. La principal cuenta con amplio baño ensuite y vestidor y las otras cuatro cuentan con dos baños completos y etodas con spectaculares vistas. Desde esta planta se accede al ático, un amplio espacio que brinda múltiples posibilidades de uso,  El exterior de la propiedad está diseñado para disfrutar del entorno natural en total privacidad. Cuenta un amplio garaje con capacidad para varios vehículos, una piscina con vestuarios y zona de sofás con pérgola, una terraza con cenador y un amplio y cuidado jardín ideal para disfrutar del clima y organizar reuniones al aire libre. Ubicada en la exclusiva urbanización de Ciudalcampo, esta vivienda ofrece una combinación única de lujo, tranquilidad y proximidad a servicios únicos como el campo de golf o complejo deportivo del RACE. Su situación privilegiada, entre tres hoyos del campo de golf y a escasos metros del club social, la convierte en una opción única para familias, amantes del golf y quienes buscan un entorno exclusivo y estilo de vida rodeado de naturaleza y buen gusto.",False,good,False,,3824.0,False,False,False,False,[],False,False,1950000.0,€,True,True,chalet,Ciudalcampo,Casa independiente,independantHouse,,,,
108302369,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/a2/95/f7/1356218816.webp,79688,32,4,3735000.0,flat,sale,253.0,True,4,5,Barrio Recoletos,Madrid,Madrid,Barrio de Salamanca,es,Recoletos,40.4272165,-3.6809665,False,https://www.idealista.com/inmueble/108302369/,"Álvora Capital Properties presenta esta magnífica propiedad, totalmente reformada de lujo, en pleno Recoletos. La propiedad consta de 253m2 construidos, ubicada en la 4ª planta exterior. Disfruta de una interesante distribución, de amplia zona de recibo de gran salón comedor con cocina integrada, (posibilidad de independizarla), tipo isla, que se entrega totalmente amueblada y equipada con todos los electrodomésticos de primeras marcas, zona de lavandería, aseo de cortesía y 4 dormitorios amplios en suite. El principal con vestidor y terraza privada. Una vivienda en el corazón del Barrio de Salamanca.",False,good,False,False,14763.0,False,False,False,False,[],False,False,3735000.0,€,True,False,flat,"Recoletos, Madrid",Piso,,,,,
108672670,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/d6/3a/86/1353815684.webp,,45,bj,1550000.0,flat,sale,251.0,True,4,3,calle de Jesús de Polanco,Madrid,Madrid,Fuencarral,es,Peñagrande,40.4744684,-3.734939,False,https://www.idealista.com/inmueble/108672670/,"Exclusivo bajo con jardín en la urbanización de lujo The Collection diseñada por Joaquín Torres, una de las promociones más valoradas y modernas de Madrid por su eficiencia, diseño y confort. Esta magnífica vivienda de 182 m² cuenta con cuatro dormitorios, tres baños y un jardín privado de 123 m². Sus calidades y acabados son excepcionales. Dispone de domótica integrada para  controlar iluminación y climatización, calefacción por suelo radiante, aire acondicionado por conductos, triple acristalamiento y un sistema de calefacción basado en geotermia y aerotermia que se traduce en un importante ahorro en el consumo de energía, así como un mayor confort durante todo el año. El jardín privado es un verdadero oasis urbano, perfecto para disfrutar de reuniones al aire libre, relajarse al sol o crear un espacio verde propio en plena ciudad con total intimidad The Collection ofrece zonas comunes de alto standing que incluyen: * Piscina exterior * Piscina climatizada * Spa * Gimnasio totalmente equipado * Sala comunitaria con cocina * Zonas ajardinadas * Seguridad 24h Este singular bajo con jardín también cuenta con trastero y dos plazas de garaje La vivienda se encuentra en un enclave privilegiado, porque permite disfrutar de la tranquilidad y de un entorno natural, pero con la comodidad de residir a pocos minutos del centro de Madrid. Además, está perfectamente conectada por transporte público y vías principales de acceso, como M-30 y M-40.  Sin duda un hogar para quienes valoran la calidad, el diseño y la eficiencia sin renunciar a una excelente ubicación. Vivir en The Collection es sinónimo de exclusividad, diseño y calidad de vida.",True,good,False,True,6175.0,True,False,True,False,[],False,False,1550000.0,€,True,True,flat,"Peñagrande, Madrid",Piso en calle de Jesús de Polanco,,,,,
