propertyCode,thumbnail,numPhotos,floor,price,propertyType,operation,size,exterior,rooms,bathrooms,address,province,municipality,district,country,neighborhood,latitude,longitude,showAddress,url,description,hasVideo,status,newDevelopment,hasLift,priceByArea,hasPlan,has3DTour,has360,hasStaging,notes,topNewDevelopment,topPlus,priceInfo.price.amount,priceInfo.price.currencySuffix,detailedType.typology,suggestedTexts.subtitle,suggestedTexts.title,externalReference,parkingSpace.hasParkingSpace,parkingSpace.isParkingSpaceIncludedInPrice,highlight.groupDescription,priceInfo.price.priceDropInfo.formerPrice,priceInfo.price.priceDropInfo.priceDropValue,priceInfo.price.priceDropInfo.priceDropPercentage,detailedType.subTypology
108925800,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/14/bf/f8/974787982.webp,74,6,1700000.0,flat,sale,170.0,True,3,2,"calle de Zurbano, 5",Madrid,Madrid,Chamberí,es,Almagro,40.4276825,-3.6939817,True,https://www.idealista.com/inmueble/108925800/,"Vive en una de las calles más exclusivas de Chamberí PYR Solutions presenta en exclusiva este elegante piso reformado, listo para entrar a vivir, ubicado en la prestigiosa calle Zurbano. Una oportunidad única para disfrutar de la vida madrileña en un entorno residencial de alto nivel, rodeado de historia, gastronomía y excelentes conexiones. La vivienda, luminosa y exterior, ofrece una distribución impecable: 3 amplios dormitorios con espacio para cama doble y armarios empotrados de gran capacidad. 2 baños completos de generosas dimensiones, con acabados modernos. Salón-comedor espacioso y lleno de luz natural, ideal para compartir momentos en familia o con amigos. Cocina nueva, equipada con todos los electrodomésticos necesarios: frigorífico, microondas y más. Pasillo con iluminación LED que aporta un toque contemporáneo. Su ubicación es inmejorable: a pocos pasos de Alonso Martínez y rodeado de cafeterías, restaurantes, boutiques, gimnasios y todo tipo de servicios. Con excelentes conexiones a cualquier punto de Madrid, vivir aquí es disfrutar de comodidad, estilo y calidad de vida. Tu nuevo hogar en Chamberí te está esperando. Contacta con PYR Solutions y agenda tu visita.",False,good,False,True,10000.0,False,False,False,False,[],False,False,1700000.0,€,flat,"Almagro, Madrid","Piso en calle de Zurbano, 5",,,,,,,,
108947294,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/b1/ee/39/1359740053.webp,19,bj,390000.0,flat,sale,55.0,False,2,1,calle de Hermosilla,Madrid,Madrid,Barrio de Salamanca,es,Goya,40.4252455,-3.6787923,False,https://www.idealista.com/inmueble/108947294/,"Excelente piso para reformar con patio de uso y disfrute situado en una buena finca, en la mejor calle de la zona del distrito Goya, Barrio de Salamanca posibilidad de plaza de garaje en la zona Para visitarlo, contacte con nosotros, estaremos encantados de atenderle, en Hermosilla nº 72, tlf  Trabajamos los sábados. Exclusive World Home by inmomar es una empresa joven y con experiencia, caracterizada principalmente por su transparencia, respeto, por un servicio personalizado, atento y exclusivo, con la finalidad de que nuestros clientes, compradores y vendedores, tengan un punto de encuentro donde puedan ver realizadas sus aspiraciones con las máximas garantías. EWH, es una inmobiliaria especializada principalmente en los distritos del Barrio de Salamanca, Retiro, Chamberí y Chamartín, con un objetivo claro, seguir mejorando en la calidad de nuestros servicios.",False,renew,False,True,7091.0,False,False,False,False,[],False,False,390000.0,€,flat,"Goya, Madrid",Piso en calle de Hermosilla,,,,,,,,
108355705,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/dd/c2/9a/1341652583.webp,18,bj,190000.0,flat,sale,68.0,True,2,1,"calle de José María Pemán, 7",Madrid,Madrid,Carabanchel,es,San Isidro,40.3945262,-3.7340273,True,https://www.idealista.com/inmueble/108355705/,"Acogedora vivienda en planta baja, ubicada en excelente zona Se vende vivienda en planta baja, ubicada en una zona residencial muy valorada por su tranquilidad y excelente conexión con todos los servicios: transporte público, supermercados, centros educativos y espacios verdes. La propiedad dispone de dos habitaciones, un baño completo, y una amplia galería que ofrece gran funcionalidad como zona de lavandería, trastero o espacio adicional adaptable a tus necesidades. El salón es amplio y cómodo, ideal para disfrutar de momentos en familia o con amigos, con buena iluminación natural y una distribución que permite múltiples posibilidades de decoración. La cocina, moderna y muy cómoda, está diseñada para quienes disfrutan cocinar en un espacio práctico, estéticamente agradable y perfectamente equipado. Aunque el edificio no cuenta con ascensor, la vivienda al estar ubicada en un bajo, ofrece un acceso fácil y sin escaleras, lo que la hace ideal para personas mayores, familias con niños o quienes buscan comodidad en el día a día. Una opción ideal como primera vivienda o inversión segura en una zona con alta demanda.",False,good,False,False,2794.0,False,False,False,False,[],False,False,190000.0,€,flat,"San Isidro, Madrid","Piso en calle de José María Pemán, 7",P-25-033,,,,,,,
108590637,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/39/14/32/1349334410.webp,39,4,875000.0,flat,sale,137.0,True,4,2,calle de los Fundadores,Madrid,Madrid,Barrio de Salamanca,es,Fuente del Berro,40.4258089,-3.6649597,False,https://www.idealista.com/inmueble/108590637/,"PISO COMPLETAMENTE EXTERIOR ""FANTÁSTICO PISO EN VENTA ubicado en el BARRIO de Salamanca: al lado de FUENTE DEL BERRO, a 9 minutos de la boca del metro de O'Donnell y paradas de autobús y a 5 minutos de Quinta de la Fuente del Berro. Su ubicación lo hace contar con una tranquilidad inigualable. Zona totalmente residencial ideal para familias. EN UNO DE LOS MEJORES BARRIOS DE MADRID, CONECTADO CON TODAS LAS ZONAS. El inmueble cuenta con plaza de garaje no aneja al piso. Tiene dos terrazas: una en el salón bastante amplia y otra en la cocina que da hacia un patio interior. Tiene 137m2, distribuidos en: - 4 dormitorios: Inicialmente el inmueble contaba con 4 dormitorios, actualmente tiene tres bastante amplios y todos con armarios empotrados. Asimismo, tienen muchísima entrada de luz. - Cocina independiente amplia - Calefacción CENTRAL individualizada - 1 baño y un aseo, este último con posibilidad de hacerlo baño completo - 2 terrazas: salón y y cocina. Disponibilidad inmediata El inmueble se encuentra bien ubicado Siempre a tu disposición, cuenta con nosotros para cualquier tema relacionado con inmobiliaria, ITE, cambio de domiciliación de servicios, valoraciones totalmente gratuitas, reformas y todo lo que necesites. "" Precio 920.000€/mes Características básicas: 137m2 construidos 129 m2 útiles 4 dormitorios 2 baños.",True,good,False,True,6387.0,True,False,False,False,[],False,False,875000.0,€,flat,"Fuente del Berro, Madrid",Piso en calle de los Fundadores,wcm0104,True,True,,,,,
108336832,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/8a/f4/9c/1341100694.webp,35,2,445000.0,flat,sale,87.0,True,2,2,calle Veronica,Madrid,Las Rozas de Madrid,El Cantizal,es,El Cantizal,40.5186979,-3.9247969,False,https://www.idealista.com/inmueble/108336832/,"Descubre este encantador piso en Las Rozas de Madrid, una oportunidad única que no querrás dejar escapar. Con una superficie de 68 m², este hogar cuenta con 2 acogedores dormitorios y 2 baños, perfectos para disfrutar de la comodidad y el espacio que necesitas. Construido en 2006, el piso se encuentra en un estado impecable, listo para entrar a vivir. Su diseño exterior permite que la luz natural inunde cada rincón, creando un ambiente cálido y acogedor. Además, cuenta con aire acondicionado y calefacción individual de gas natural central, garantizando tu confort durante todo el año. La cocina está completamente amueblada y equipada, ideal para los amantes de la gastronomía. Los armarios empotrados ofrecen un amplio espacio de almacenamiento, manteniendo tu hogar ordenado y funcional. La propiedad se sitúa en una urbanización privada que incluye una serie de comodidades excepcionales: un gimnasio para mantenerte en forma, un jardín comunitario donde relajarte y disfrutar del aire libre, y una piscina comunitaria perfecta para los días calurosos de verano. Además, tendrás acceso a un parking privado y una plaza de garaje incluida, lo que añade un extra de comodidad a tu día a día. El edificio cuenta con ascensor y servicio de conserje, asegurando una experiencia de vida sin preocupaciones. Y para esos momentos de relax, podrás disfrutar de un balcón y una terraza donde desconectar y disfrutar de las vistas. No pierdas la oportunidad de vivir en este maravilloso piso en una de las zonas más demandadas de Las Rozas. ¡Contáctanos para más información y para concertar una visita! Disponemos de videollamada para enseñar el inmuebles con un tour virtual, ver los planos, enseñar la zona con street view y google maps. Pisos en Madrid |Chalet en Madrid|Pisos en Castellón |Chalet en Castellón |Creando Valor | BM Inversiones |Boutique Inmobiliaria.",True,good,False,True,5115.0,True,False,True,False,[],False,False,445000.0,€,flat,"El Cantizal, Las Rozas de Madrid",Piso en calle Veronica,BMREI-648 ,,,,,,,
108925143,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/fb/f0/2f/1359123021.webp,34,7,279000.0,flat,sale,65.0,True,1,1,"calle Trole, 9",Madrid,Madrid,Puente de Vallecas,es,Palomeras sureste,40.3809849,-3.6338531,True,https://www.idealista.com/inmueble/108925143/,"**Piso en Venta en el Ensanche de Vallecas - ¡Tu nuevo hogar te espera! ** Descubre este luminoso piso de 1 dormitorio y 1 baño, ideal para disfrutar de la comodidad y la tranquilidad en una urbanización cerrada. Con una superficie de 65 m² útiles, este acogedor espacio cuenta con un salón que se llena de luz natural, perfecto para relajarte después de un largo día. La cocina está semi-equipada y lista para que prepares tus recetas favoritas. Además, el inmueble incluye armarios empotrados que optimizan el espacio. La urbanización ofrece una variedad de servicios que hacen de este lugar un sitio excepcional para vivir. Disfruta de la piscina en los días soleados, mantente en forma en el gimnasio y socializa en la sala comunitaria. La seguridad es primordial, por lo que contarás con vigilancia 24 horas. También tendrás acceso a una plaza de garaje y un trastero, lo que añade comodidad a tu día a día. Ubicado en el vibrante Ensanche de Vallecas, estarás cerca de la nueva ciudad deportiva del Rayo Vallecano y del Pueblo de Vallecas. La proximidad al Ecobulevar y al centro comercial La Gavia te permitirá disfrutar de una amplia oferta comercial y de ocio. Además, la zona cuenta con numerosos colegios públicos y concertados, lo que la convierte en un lugar ideal para familias. No dejes pasar esta oportunidad única de adquirir un hogar en una zona con todos los servicios y comodidades que necesitas. ¡Contacta ahora y ven a verlo!",False,good,False,True,4292.0,False,False,False,False,[],False,False,279000.0,€,flat,"Palomeras sureste, Madrid","Piso en calle Trole, 9",,True,True,Destacado,,,,
108520596,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/15/68/72/1347363674.webp,16,3,440000.0,flat,sale,87.0,True,2,1,"calle Garmur, 8",Madrid,Madrid,Ciudad Lineal,es,Quintana,40.4369331,-3.6417355,True,https://www.idealista.com/inmueble/108520596/,"Desde Lasabia Living, te presentamos nuestra nueva promoción residencial situada en el barrio de Quintana, junto a la parada de metro de Pueblo Nuevo y a escasos metros de la calle Arturo Soria y la calle Alcalá. Una excelente ubicación que te permitirá conectar con el centro de la ciudad por coche o transporte público en escasos minutos. ¿Qué te espera en tu nueva vivienda? Cocina completamente equipada con electrodomésticos nuevos. Vivienda sin amueblar, ideal para decorarla a tu estilo. Espacios llenos de luz natural, gracias a su amplia terraza y balcón. Piscina comunitaria, perfecta para relajarte. Sistema de climatización de última generación mediante aerotermia para la producción de agua caliente sanitaria y tecnología VRV para calefacción y refrigeración, garantizando el máximo confort en todo momento. Certificación EDGE, que garantiza una vivienda sostenible y eficiente. City Lockers, para que recibas tus paquetes con total comodidad. Horario de atención: Estamos disponibles de lunes a viernes, de 10:00 a 20:00 horas, para resolver todas tus dudas.",False,good,False,True,5057.0,True,False,False,False,[],False,False,440000.0,€,flat,"Quintana, Madrid","Piso en calle Garmur, 8",,,,,,,,
108614568,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/a9/79/17/1349994786.webp,15,1,369000.0,flat,sale,81.0,True,3,2,calle de Vicente Espinel,Madrid,Madrid,Ciudad Lineal,es,Pueblo Nuevo,40.4349545,-3.6420532,False,https://www.idealista.com/inmueble/108614568/,"Amplio y luminoso piso de 3 habitaciones dobles exteriores y 2 baños completos a estrenar. Se trata de un piso con muy buena distribución, al entrar encontramos la primera habitación doble, seguida de la segunda habitación doble. Después encontramos la gran zona de cocina-comedor-salón que cuenta con al menos 4 grandes ventanales, todos oscilobatientes. Al fondo encontramos la habitación doble con baño en suite. El piso cuenta con aire acondicionado en todas las estancias que a su vez funciona como bomba de calor. Se trata de un primero que por su altura garantiza total privacidad. El piso hace esquina, con lo que le entra luz por todas las estancias a distintas horas. La reforma se ha hecho con muy buen gusto y materiales de alta calidad que garantizan el confort. Comunidad 67€ mensuales.",True,good,False,False,4556.0,False,False,False,False,[],False,False,369000.0,€,flat,"Pueblo Nuevo, Madrid",Piso en calle de Vicente Espinel,AR03169,,,,379000.0,10000.0,3.0,
108763942,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/a9/6c/2f/1356789793.webp,14,3,196900.0,flat,sale,53.0,True,2,1,calle Solana,Madrid,San Fernando de Henares,Centro,es,,40.4236993,-3.5346926,False,https://www.idealista.com/inmueble/108763942/,"Inmobiliaria Corredor del Henares te ofrece en exclusiva este encantador piso reformado de 53 m² en San Fernando de Henares, ideal para quienes buscan comodidad. Completamente amueblado, cuenta con dos acogedoras habitaciones que ofrecen el espacio perfecto para descansar. El salón es luminoso y acogedor, ideal para disfrutar de momentos en familia o con amigos. La cocina, equipada y amueblada, hará que cocinar sea un placer. Además, el baño ha sido renovado el plato de ducha para brindarte la funcionalidad que necesitas. Disfruta de la comodidad de una terraza práctica, perfecta para relajarte al aire libre. Las ventanas de climalit garantizan un excelente aislamiento, mientras que el suelo de tarima aporta calidez a cada rincón. La calefacción de gas natural y el aire acondicionado en el salón aseguran un ambiente agradable durante todo el año. La ubicación es inmejorable, cerca de hospitales, comercios, colegios y zonas deportivas, además de contar con una parada de autobús a pocos pasos. Este piso en la tercera planta, con ascensor, es una oportunidad única en el mercado. No dejes pasar la ocasión de vivir en un lugar donde cada detalle ha sido pensado para tu bienestar. ¡Ven a verlo y enamórate! Si tienes problemas con la financiación, disponemos de departamento financiero propio que te ayudará a conseguir las mejores condiciones hipotecarias para ti.",False,good,False,False,3715.0,True,False,False,False,[],False,False,196900.0,€,flat,"Centro, San Fernando de Henares",Piso en calle Solana,ECDH25SOL,,,,,,,
105874696,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/4f/df/2b/1265630457.webp,12,2,1789000.0,flat,sale,152.0,False,2,2,calle de Núñez de Balboa,Madrid,Madrid,Barrio de Salamanca,es,Recoletos,40.425635,-3.6826783,False,https://www.idealista.com/inmueble/105874696/,"Magnífica vivienda en la calle Núñez de Balboa. A escasos metros del Parque del Retiro. 2º Planta. Exterior. Terracita. Muy Luminosa. Reforma de diseño a estrenar con materiales de primeras marcas. Buena Finca y Portal Señorial. Plaza de Garaje en finca. Junto a los principales comercios de la zona. Muy bien comunicada. Ref. 2915. ""AP de Propiedades, somos un grupo inmobiliario que opera en todos los campos del sector desde hace más de 20 años. Nuestra actividad se ha centrado fundamentalmente en Madrid capital, en donde hemos desarrollado diferentes promociones de obra nueva y de rehabilitación de edificios singulares, sin olvidar la prestación del servicio de intermediación inmobiliaria tanto en la compra como en la venta de inmuebles, con el único fin de ofrecer a nuestros clientes todo lo necesario para su completa satisfacción que también ha sido y será la nuestra. Nuestras oficinas se encuentran en la calle Castelló, 23 - 3ºIzq. Madrid”.",False,good,False,True,11770.0,True,False,False,False,[],False,False,1789000.0,€,flat,"Recoletos, Madrid",Piso en calle de Núñez de Balboa,2915,True,True,,,,,
