propertyCode,thumbnail,externalReference,numPhotos,floor,price,propertyType,operation,size,exterior,rooms,bathrooms,address,province,municipality,district,country,neighborhood,latitude,longitude,showAddress,url,description,hasVideo,status,newDevelopment,hasLift,priceByArea,hasPlan,has3DTour,has360,hasStaging,notes,topNewDevelopment,topPlus,priceInfo.price.amount,priceInfo.price.currencySuffix,detailedType.typology,suggestedTexts.subtitle,suggestedTexts.title,detailedType.subTypology,parkingSpace.hasParkingSpace,parkingSpace.isParkingSpaceIncludedInPrice,parkingSpace.parkingSpacePrice,priceInfo.price.priceDropInfo.formerPrice,priceInfo.price.priceDropInfo.priceDropValue,priceInfo.price.priceDropInfo.priceDropPercentage
107879853,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/c2/6c/44/1327083146.webp,P-25-009,17,2,147500.0,flat,sale,63.0,True,3,1,calle San Moisés s/n,Madrid,Madrid,Puente de Vallecas,es,San Diego,40.3825326,-3.6652233,True,https://www.idealista.com/inmueble/107879853/,"¡Una oportunidad perfecta para invertir con retorno asegurado! Ubicado en una zona tranquila y bien comunicada, este luminoso piso de 3 habitaciones es ideal para quienes buscan un hogar cómodo y funcional. La propiedad cuenta con un espacioso salón que se abre a un balcón, perfecto para disfrutar del aire fresco y la luz natural. La cocina, independiente y bien distribuida, ofrece espacio suficiente para su uso diario. Las tres habitaciones son amplias, están diseñadas para proporcionar tranquilidad y privacidad. El baño, completo y bien equipado, los acabados son modernos y funcionales. El piso, en general, cuenta con una excelente ubicación, cercana a comercios, colegios y paradas de transporte público. Ideal para familias o aquellos que deseen vivir en una zona tranquila sin perder la proximidad a servicios y conexiones urbanas. Se vende con inquilinos, lo que garantiza una renta mensual desde el primer día. Inquilinos actuales con contrato en vigor y buen historial de pago.",False,good,False,False,2341.0,False,False,False,False,[],False,False,147500.0,€,flat,"San Diego, Madrid",Piso en calle San Moisés s/n,,,,,,,
107744350,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/d8/4c/d4/1322011786.webp,,29,6,3300000.0,penthouse,sale,480.0,True,4,4,calle de Leganitos,Madrid,Madrid,Centro,es,Palacio,40.4208151,-3.7112742,False,https://www.idealista.com/inmueble/107744350/,"Espectacular ático, con piscina Privada en un espacio de 330 m"" donde el horizonte de Madrid se convierte en tu paisaje privado. Este hogar es una obra de arte que combina elegancia y diseño de vanguardia. Cada espacio está pensado para maximizar la luz natural y las impresionantes vistas. Los salones y la amplia terraza han sido diseñados para crear un ambiente único, perfecto para cualquier ocasión. Al caer la noche, las luces de la ciudad se convierten en el telón de fondo de tu piscina privada y zona chill-out, creando un ambiente de ensueño. En el interior, el diseño no se queda atrás. La cocina gourmet está completamente equipada, y el salón de doble altura con ventanales de suelo a techo crea una sensación de amplitud y luminosidad. La iluminación inteligente te permite personalizar cada rincón de este espacio.",True,good,False,True,6875.0,True,False,False,False,[],False,False,3300000.0,€,flat,"Palacio, Madrid",Ático en calle de Leganitos,penthouse,,,,,,
109202996,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/8e/7a/cf/1367364898.webp,IE07-CHOMACA9,16,2,260000.0,flat,sale,75.0,True,3,1,calle Dolores Coca,Madrid,Madrid,Carabanchel,es,Vista Alegre,40.3855858,-3.7432861,False,https://www.idealista.com/inmueble/109202996/,"Inmobiliarias Encuentro vende piso en el barrio de Vista Alegre, situado en una segunda planta dentro de una finca con ascensor. La vivienda cuenta con 75 m² construidos y se encuentra para reformar, lo que permite adaptarla y diseñarla según las necesidades y gustos del nuevo propietario. La distribución actual incluye dos habitaciones simples y una habitación doble, un salón luminoso, cocina independiente y un baño completo. La planta ofrece múltiples posibilidades de redistribución, convirtiéndose en una oportunidad interesante tanto para vivienda habitual como para inversión. En cuanto a las calidades, dispone de suelos de parquet, que aportan calidez y confort, así como ventanas de climalit, que mejoran el aislamiento térmico y acústico. La finca se encuentra en buen estado de conservación y está equipada con ascensor, lo que facilita la accesibilidad y añade valor a la propiedad. La ubicación es otro de sus puntos fuertes: el piso se encuentra en Vista Alegre, un barrio consolidado, tranquilo y con todos los servicios a su alrededor, como supermercados, colegios, centros de salud, zonas verdes y una variada oferta comercial. Las comunicaciones son excelentes. Dispone de paradas de metro y autobús a pocos minutos, que permiten un rápido acceso al centro de Madrid y a los barrios colindantes. Además, cuenta con una buena conexión por carretera mediante la M-30 y la A-42, lo que facilita los desplazamientos en vehículo privado. En resumen, una vivienda con gran potencial en una zona residencial muy demandada y bien comunicada. Si necesita vender su inmueble para adquirir este u otro inmueble publicado contacte con nosotros disponemos del servicio //""CAMBIA DESCANSA""// la solución perfecta para cuadrar los plazos de venta de su vivienda y entrega del nuevo inmueble. Financiación a tu medida con FINMOO tendrás los mejores tipos de interés y hasta el cien por cien de financiación. Consulta nuestras condiciones.",False,renew,False,True,3467.0,False,False,False,False,[],False,False,260000.0,€,flat,"Vista Alegre, Madrid",Piso en calle Dolores Coca,,,,,,,
108794245,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/cd/d4/a5/1355319300.webp,5341,21,4,4300000.0,flat,sale,234.0,True,3,2,calle del Almirante,Madrid,Madrid,Centro,es,Chueca-Justicia,40.4221639,-3.6936679,False,https://www.idealista.com/inmueble/108794245/,"Piso en buen estado en Justicia, en el Centro de Madrid. Esquina con el Paseo de Recoletos.   Se ubica en la cuarta planta exterior de un edificio clásico de principios del siglo XX. Cuenta con ascensor y orientación este.   Tiene una superficie de 234 m2, distribuidos en dos salones con dos balcones y un mirador a la calle, una zona de comedor, despacho y cocina independiente con despensa. La zona de noche cuenta con tres dormitorios y dos baños completos.   La vivienda es una joya inmobiliaria, y se encuentra en una ubicación inmejorable.  .",False,good,False,True,18376.0,False,False,False,False,[],False,False,4300000.0,€,flat,"Chueca-Justicia, Madrid",Piso en calle del Almirante,,,,,,,
108290671,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/26/08/24/1339683499.webp,,49,,1190000.0,chalet,sale,537.0,,5,5,calle Duero,Madrid,Villaviciosa de Odón,El Bosque,es,,40.3995397,-3.9249398,False,https://www.idealista.com/inmueble/108290671/,"Conar pone a la venta Exclusivo chalet independiente reformado con parcela de 2.035 m² en El Bosque, Villaviciosa de Odón Descubre esta espectacular vivienda unifamiliar ubicada en una de las zonas más exclusivas y tranquilas de Villaviciosa de Odón, en la urbanización El Bosque, muy próxima a Boadilla del Monte. Una casa funcional, acogedora y lista para entrar a vivir, ideal para quienes buscan privacidad, espacio y calidad de vida. Con una parcela privada de más de 2.000 m² rodeada de zonas verdes y arboledas, esta propiedad ofrece 537 m² construidos distribuidos en tres cómodas plantas: Planta principal Al entrar, nos recibe un elegante hall distribuidor que da paso a un amplio salón-comedor con chimenea de aproximadamente 50 m², con salida directa a un porche con vistas despejadas a la piscina y al jardín. La cocina, totalmente reformada, cuenta con zona office y acceso independiente. En esta planta también encontramos tres dormitorios, un baño completo, un aseo de cortesía y un cuarto de lavado, todo pensado para una vida diaria cómoda y funcional. Primera planta La zona de descanso se completa con dos amplios dormitorios tipo suite, ambos con baño privado. El dormitorio principal dispone además de un elegante vestidor y acceso a una bonita terraza con vistas privilegiadas a la parcela y la piscina. Planta sótano Un espacio perfecto para el ocio y el bienestar. Dispone de una gran bodega acondicionada para celebraciones, un baño completo, gimnasio, zona de spa con jacuzzi y sauna, además de una habitación de servicio, zona de almacenaje y garaje con capacidad para tres vehículos. Otros detalles de interés •Vivienda completamente reformada hace dos años (baños, cocina, instalaciones) •Piscina privada rodeada de jardín consolidado •Acabados de calidad y espacios amplios y luminosos •Chimenea  •Zona residencial con vigilancia, muy bien comunicada con servicios, colegios y accesos principales.",True,good,False,,2216.0,True,False,False,False,[],False,False,1190000.0,€,chalet,"El Bosque, Villaviciosa de Odón",Casa independiente en calle Duero,independantHouse,True,True,,,,
109192844,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/77/f0/d2/1367027755.webp,PIS0466,15,1,161000.0,flat,sale,78.0,True,2,2,calle San Isidro,Madrid,Campo Real,,es,,40.3380738,-3.3825192,False,https://www.idealista.com/inmueble/109192844/,"Se vende amplio piso de 78 m² en primera planta, ubicado en un edificio en buen estado en Campo Real, rodeado de todos los servicios y comodidades necesarios. Distribución y estancias: 2 dormitorios con armarios empotrados 2 baños completos Salón-comedor con salida a terraza acristalada Cocina equipada Suelos combinados de tarima y gres Equipamiento y confort: Calefacción y agua caliente eléctricos Aire acondicionado con bomba de frío y calor Ventanas de aluminio abatibles con contraventanas Puerta de seguridad Edificio: Construcción cuidada y en buen estado Comunidad tranquila Una vivienda cómoda, luminosa y bien distribuida, ideal como hogar familiar o inversión. [IW].",False,good,False,False,2064.0,False,False,False,False,[],False,False,161000.0,€,flat,Campo Real,Piso en calle San Isidro,,,,,,,
108947294,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/b1/ee/39/1359740053.webp,,19,bj,390000.0,flat,sale,55.0,False,2,1,calle de Hermosilla,Madrid,Madrid,Barrio de Salamanca,es,Goya,40.4252455,-3.6787923,False,https://www.idealista.com/inmueble/108947294/,"Excelente piso para reformar con patio de uso y disfrute situado en una buena finca, en la mejor calle de la zona del distrito Goya, Barrio de Salamanca posibilidad de plaza de garaje en la zona Para visitarlo, contacte con nosotros, estaremos encantados de atenderle, en Hermosilla nº 72, tlf  Trabajamos los sábados. Exclusive World Home by inmomar es una empresa joven y con experiencia, caracterizada principalmente por su transparencia, respeto, por un servicio personalizado, atento y exclusivo, con la finalidad de que nuestros clientes, compradores y vendedores, tengan un punto de encuentro donde puedan ver realizadas sus aspiraciones con las máximas garantías. EWH, es una inmobiliaria especializada principalmente en los distritos del Barrio de Salamanca, Retiro, Chamberí y Chamartín, con un objetivo claro, seguir mejorando en la calidad de nuestros servicios.",False,renew,False,True,7091.0,False,False,False,False,[],False,False,390000.0,€,flat,"Goya, Madrid",Piso en calle de Hermosilla,,,,,,,
108250253,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/28/fe/6e/1338463430.webp,A-CLREY,13,1,393000.0,flat,sale,83.0,True,3,1,calle de Clara del Rey,Madrid,Madrid,Chamartín,es,Prosperidad,40.4443173,-3.6692411,False,https://www.idealista.com/inmueble/108250253/,"PISO EXCLUSIVO SOLO PARA INVERSORES. POR FAVOR, ANTES DE LLAMAR LEER EL ANUNCIO  ""ALMANOVA EVOLUCIÓN INMOBILIARIA “Nuestra alma renació para evolucionar el concepto de la gestión inmobiliaria a un modelo más eficiente"" Adecuando los precios a cada momento de mercado. ¡Evolucionamos el barrio desde el año 2004, junto a ti! Ofrecemos en esta ocasión piso en primera planta con ascensor y servicio de conserjería. Calefacción central. Vestíbulo, salón, 3 dormitorios, cocina, baño y terraza exterior.  Superficie: 83 m2. ESTADO: HABITADO CON INQUILINA (edad 77 años) de renta vitalicia pagando 800€ al mes.  El precio de mercado sin carga estaría entorno a 500.000€, lo que convierte a esta compra en una oportunidad para inversores. La vivienda destaca por su buena distribución y su agradable luz natural. Se encuentra a 4 minutos del Metro Prosperidad (línea 4). Ubicada en el barrio Prosperidad, conocido por su ambiente tranquilo y familiar, con una amplia oferta de servicios y comercios. Cerca encontrarás supermercados, comercios, centros de salud como el Centro de Salud Santa Hortensia. Cumplimos 20 años en el barrio prestando un servicio sincero y eficaz a nuestros vecinos. Contamos con 2 oficinas a su disposición en las principales columnas vertebrales del barrio, Calle Atocha 28, \""la esquina\"" (enfrente de la Parroquia de San Sebastián) y Calle Huertas 57, llegando al Paseo Del Prado. ¿QUIERES SABER CUÁNTO VALE TU INMUEBLE? NUESTRO PRINCIPAL VALOR ES LA CLARIDAD CON FUNDAMENTO. Solicita tu valoración profesional y gratuita. ¡Vende ahora, no pierdas el momento! ¡Somos la evolución inmobiliaria! Trabajamos precio justo, no nos equivocamos. Nuestro trabajo no es publicar inmuebles sino venderlos y en menos de 60 días. ¡Comprueba nuestra eficacia, demostrable! Desde el año 2004 junto a ti! Confíe en los que más tiempo llevan en el barrio.",False,good,False,True,4735.0,True,False,False,False,[],False,False,393000.0,€,flat,"Prosperidad, Madrid",Piso en calle de Clara del Rey,,,,,,,
108492148,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/2a/99/5d/1346513920.webp,,12,4,649000.0,flat,sale,62.0,True,2,1,"CL HERMOSILLA, 132",Madrid,Madrid,Barrio de Salamanca,es,Fuente del Berro,40.4253888,-3.6672147,True,https://www.idealista.com/inmueble/108492148/,"En pleno corazón del barrio de Salamanca, se encuentra este exclusivo piso situado en la calle Hermosilla, una de las zonas más prestigiosas y cotizadas de Madrid. Una vivienda elegante, moderna y luminosa, ideal para quienes buscan confort y estilo en una ubicación inmejorable. El piso ha sido reformado con materiales de alta calidad y se presenta con un diseño actual, donde cada detalle ha sido cuidadosamente pensado para ofrecer una experiencia de hogar sofisticada y funcional. Dispone de un encantador balcón, perfecto para disfrutar del aire libre sin salir de casa. La distribución es cómoda y equilibrada, con estancias amplias y bien aprovechadas. La decoración combina tonos neutros y acabados contemporáneos que aportan calidez, elegancia y un ambiente acogedor. Además, su ubicación es insuperable: rodeado de tiendas exclusivas, restaurantes, supermercados y con muy buena conexión por transporte público. Una oportunidad única para vivir con estilo en una de las mejores calles de Madrid.",False,good,False,True,10468.0,False,False,False,False,[],False,False,649000.0,€,flat,"Fuente del Berro, Madrid","Piso en CL Hermosilla, 132",,,,,,,
109005390,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/84/21/55/1361465478.webp,,25,1,249990.0,flat,sale,100.0,True,4,2,travesía de Pablo Picasso,Madrid,Mejorada del Campo,,es,,40.3986947,-3.4873234,False,https://www.idealista.com/inmueble/109005390/,"INMOVELILLA, presenta esta nueva oportunidad. Se trata de un inmueble situado en una primera, con una superficie construida de 100 metros cuadrados, en pleno corazón de Mejorada de Campo. Dicha vivienda cuenta con una distribución muy buena, amplio recibidor, cuatro dormitorios, salón con terraza, cocina con tendedero, 2 baños. La localidad se encuentra muy cerca de la zona céntrica de la capital, a tan sólo 20 km. Se accede a la misma a través de transporte púbico, con varias líneas de autobús, que unen Mejorada con las poblaciones aledañas o con la zona centro. 280(Hospital del Henares) 282(Avda. américa) 284(Loeches) 285(Arganda del Rey) 340(Torrejón de Ardoz) 341(Conde Casal) En cuanto a carreteras, que dan acceso a la misma, nos encontramos con ramal de R-3, M-50, M-40, M-45. Cuenta con centro de salud, y centro de urgencias además de diferentes clínicas de sanidad privada. También dispone de 5 colegios, y 2 institutos. Diferentes guarderías, centro de Mayores, biblioteca municipal.. . La oferta deportiva es bastante amplia, haciendo que día a día sea más llevadero. HONORARIOS DE INMOBILIARIA E IMPUESTOS DE VIVIENDA FUERA DEL PRECIO DE PUBLICACIÓN. En caso de necesitar financiación para la adquisición del inmueble, se encuentra a su disposición el departamento financiero. Nos encontramos en Calle Beatriz 3, Mejorada del Campo, ó en Calle mayor 3 Velilla de San Antonio.",True,good,False,False,2500.0,False,False,False,False,[],False,False,249990.0,€,flat,Mejorada del Campo,Piso en travesía de Pablo Picasso,,,,,,,
