propertyCode,thumbnail,externalReference,numPhotos,floor,price,propertyType,operation,size,exterior,rooms,bathrooms,address,province,municipality,district,country,neighborhood,latitude,longitude,showAddress,url,description,hasVideo,status,newDevelopment,hasLift,priceByArea,hasPlan,has3DTour,has360,hasStaging,notes,topNewDevelopment,topPlus,priceInfo.price.amount,priceInfo.price.currencySuffix,detailedType.typology,suggestedTexts.subtitle,suggestedTexts.title,priceInfo.price.priceDropInfo.formerPrice,priceInfo.price.priceDropInfo.priceDropValue,priceInfo.price.priceDropInfo.priceDropPercentage,parkingSpace.hasParkingSpace,parkingSpace.isParkingSpaceIncludedInPrice,detailedType.subTypology,parkingSpace.parkingSpacePrice
107887444,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/8b/53/6e/1327332116.webp,P-25-015,21,1,160500.0,flat,sale,54.0,True,3,1,calle de los Marineros s/n,Madrid,Madrid,San Blas,es,Hellín,40.4311081,-3.6168751,True,https://www.idealista.com/inmueble/107887444/,"¡Oportunidad de inversión! Piso en venta con inquilinos – Rentabilidad desde el primer día Se vende piso con inquilinos en situación regularizada, ideal para inversores que buscan rentabilidad inmediata. La vivienda cuenta con 3 habitaciones amplias, 1 baño completo, salón luminoso y cocina independiente. El inmueble se encuentra en buen estado de conservación, con buena distribución y ventilación natural en todas las estancias. Ubicado en una zona bien comunicada, con acceso a transporte público, comercios, colegios y todos los servicios necesarios a pocos minutos. Características destacadas: 3 dormitorios 1 baño Inquilinos con contrato vigente Rentabilidad demostrable Una excelente opción para quienes buscan una inversión segura en una zona con alta demanda de alquiler.",False,good,False,False,2972.0,False,False,False,False,[],False,False,160500.0,€,flat,"Hellín, Madrid",Piso en calle de los Marineros s/n,,,,,,,
108913974,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/41/c9/74/1367133088.webp,1254,31,2,249000.0,flat,sale,45.0,False,1,1,Barrio Lavapiés-Embajadores,Madrid,Madrid,Centro,es,Lavapiés-Embajadores,40.4087106,-3.7086081,False,https://www.idealista.com/inmueble/108913974/,"Ari Home te ofrece en exclusiva este maravilloso inmueble en el corazón mas castizo de Madrid, edifico histórico tipo corrala. Oportunidad para bohemios que les encanta la esencia de la capital, OPORTUNIDAD INVERSORES A POCOS METROS DE LA UNIVERSIDAD DE PUERTA DE TOLEDO, Oportunidad para primera vivienda. El piso tiene una ubicación inmejorable a pocos minutos del metro de Puerta de Toledo. La vivienda tiene la siguiente distribución: - Acceso a la vivienda desde la corrala. - Salón comedor con ventana. - Cocina amueblada y equipada.   - Dormitorio principal espacioso con ventana de aluminio climalit y vestidor. - Baño completo con ventilación y plato de ducha. El piso tiene una reforma integral directo para entrar a vivir, ventanas de climalit, paredes lisa, tuberias y electricidad actualizados, suelos de tarima, pintura lisa, etc. Su distribucion tiene totalmente aprovechados los espacios. El céntico barrio de La Latina es de los más viejos y carismáticos de Madrid y colinda con otras zonas de gran interés turístico como Austrias, Sol-Gran Vía, Lavapiés y Madrid Río. Sus calles, de origen medieval, tienen en su mayoría trazados, irregulares, estrechos y sinuosos que dan a parar a plazas. La puerta de Toledo era una de las puertas de acceso a la ciudad de Madrid. [1] Existieron con anterioridad otras tres puertas denominadas de Toledo en las cercanías, la actual data del primer tercio del siglo xix y fue diseñada por el arquitecto español Antonio Aguado, que se encuentra ubicada en la mitad de la Glorieta de la Puerta de Toledo haciendo de rotonda. Fue erigida a modo de arco triunfal en honor del rey Fernando VII como conmemoración de la guerra de la independencia española tras la ocupación francesa. La universidad Carlos III de Puerta de Toledo esta situada en octava posición a nivel nacional en el THE Young University Rankings 2024. Entre las 10 mejores instituciones españolas y en el puesto 119 entre las universidades europeas según el nuevo QS Europe University Rankings 2025. Si quieres que organicemos una visita personalizada, no dudes en contactarnos.",False,good,False,False,5533.0,True,False,False,False,[],False,False,249000.0,€,flat,"Lavapiés-Embajadores, Madrid",Piso,260000.0,11000.0,4.0,,,,
108784152,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/a7/f6/cc/1355015696.webp,108784152,18,1,130000.0,flat,sale,67.0,True,3,1,CL CONDOR,Madrid,Madrid,Carabanchel,es,Vista Alegre,40.3898525,-3.7376249,False,https://www.idealista.com/inmueble/108784152/,"OPORTUNIDAD INMUEBLE SIN POSESIÓN, NO SE PUEDE VISITAR. PROPIO PARA INVERSORES O VECINOS QUE CONOZCAN EL INMUEBLE. En venta espléndido piso en Vista Alegre, Carabanchel. El inmueble cuenta con 67 m2 construidos, de los cuales 62 m2 son útiles, los cuales se distribuyen en las siguientes dependencias: dispone de un salón-comedor, una cocina independiente, 3 habitaciones y 1 cuarto de baño. Sito en Vista Alegre, barrio perteneciente al distrito madrileño de Carabanchel, que cuenta con todo tipo de servicios básicos disponibles. Goza de buenas comunicaciones gracias a su cercanía a diversas paradas de autobús, la estación de Metro de Vista Alegre, y la M-30. ¡Llámenos, estaremos encantados de atenderle!",False,renew,False,False,1940.0,False,False,False,False,[],False,False,130000.0,€,flat,"Vista Alegre, Madrid",Piso en CL Condor,,,,,,,
108653139,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/11/57/7b/1352085036.webp,HD-132,30,2,850000.0,flat,sale,132.0,True,5,2,calle de Esteban Terradas,Madrid,Madrid,Chamartín,es,Castilla,40.4675494,-3.6848764,False,https://www.idealista.com/inmueble/108653139/,"HIPODREAMS SERVICIOS FINANCIEROS VENDE Estupendo y amplio piso en una de las mejores zonas de Madrid (Estación de Chamartín) La vivienda se distribuye en su totalidad en una sola planta con 5 amplios dormitorios con armarios empotrados, cocina y un amplio salón independiente con acceso a una terraza tendedero. Además de un baño completo y un aseo. Es decir, todo lo necesario para que tu día a día sea lo mas cómodo posible. La finca cuenta además con portero físico y automático, ascensor y un amplio hall de entrada al edificio de aspecto señorial. La vivienda cuenta además con un amplio trastero. Garaje en la finca con posibilidad de alquilar plazas en el futuro. A/C en el salón. Calefacción gas natural. A 5 minutos andando de la Estación de Chamartín. A escasos metros de centro de salud Nuñez Morgado. Varios supermercados a menos de 300 metros (Carrefour, Mercadona, supercor) Paradas de autobús cercanas (Agustín de Foxa, Mateo inurria. ) Estación de Metro de Duque de Pastrana (Linea 1) Colegios y institutos cercanos (IES Pablo Neruda; C. P Jeronima Llorente; Colegio concertado Nuestra Señora del Recuerdo) Te encontramos la FINANCIACIÓN PARA TU VIVIENDA CON LAS MEJORES CONDICIONES busques lo que busques Y EN TODO EL TERRITORIO NACIONAL. En HIPODREAMS te ayudaremos a conseguir las mejores condiciones para tu nueva hipoteca. INFÓRMATE SIN COMPROMISO.",False,good,False,True,6439.0,False,False,False,True,[],False,False,850000.0,€,flat,"Castilla, Madrid",Piso en calle de Esteban Terradas,,,,,,,
108820096,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/65/94/a4/1356335738.webp,1773,33,bj,170000.0,flat,sale,50.0,True,2,1,calle de Carabelos,Madrid,Madrid,Usera,es,San Fermín,40.3735855,-3.6923128,False,https://www.idealista.com/inmueble/108820096/,"Contamos con departamento financiero para poder sacar las mejores condiciones. Posibilidad FINANCIACION 100X100 SEGUN PERFIL.  SIN COMISIONES AÑADIDAS AL COMPRADOR. Consta de salon independiente posibilidad de hacer cocina americana  50 m² 2 hab. Bajo Consta de salon independiente posibilidad de hacer cocina americana  Hay un patio exclusivo para los bajos por si quieren tender. Acogedor piso en venta en Madrid, Usera, ideal para inversores o parejas jóvenes que buscan un proyecto de reforma a su medida. Con 2 dormitorios, 1 baño y una cocina amueblada con electrodomésticos, este luminoso piso de segunda mano ofrece 45m2 útiles y una excelente ubicación en una zona tranquila y bien comunicada. A pesar de necesitar reformas, su potencial es indudable y su precio atractivo lo convierte en una oportunidad única en el mercado inmobiliario. ¡No dejes pasar la oportunidad de convertir este piso en tu hogar ideal en Madrid! Se encuentra ubicado en San Fermin, Usera (Sureste de Madrid). Cuenta con fácil acceso a través de las principales carreteras y buenas comunicaciones por transporte público. La parada de metro más cercana es Doce de Octubre. En su entorno existen viviendas plurifamiliares de similares características. La zona cuenta con todo tipo de servicios básicos, centro de salud más cercano se, el hospital 12 de Octubre. La zona cuenta con una amplia oferta de entretenimiento   La vivienda tiene un fácil acceso por carretera y está bien comunicado a través de la M-40, Glorieta de Malaga y la Calle de Embajadores.",False,renew,False,False,3400.0,False,False,False,True,[],False,False,170000.0,€,flat,"San Fermín, Madrid",Piso en calle de Carabelos,,,,,,,
107904270,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/62/9d/31/1327897955.webp,,58,,975000.0,chalet,sale,495.0,,6,5,calle Júcar,Madrid,Villaviciosa de Odón,El Bosque,es,,40.390971,-3.9256702,False,https://www.idealista.com/inmueble/107904270/,"Chalet independiente de 495 metros en parcela de 1.570 metros con piscina. Planta principal: salón independiente con chimenea – cocina independiente amueblada + oficee y zona lavado - 3 dormitorios 1 tipo suite con baño completo + 1 aseo. Planta 1º: 3 dormitorios de matrimonio muy grandes + 2 baños completos.  Planta sótano: garaje para 2 coches + salón + 1 dormitorio+ 1 baño. Memoria de calidades: puerta blindada, puertas de roble, suelos de parquet y gres, armarios empotrados en roble, ventanas de madera con cristal de climalit, aire acondicionado frío y calor, calefacción de gas natural por suelo radiante. Parcela impresionante ajardinada, arbolada y preciosa piscina.",False,good,False,,1970.0,False,False,False,True,[],False,False,975000.0,€,chalet,"El Bosque, Villaviciosa de Odón",Casa independiente en calle Júcar,,,,True,True,independantHouse,
109112274,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/16/c7/d4/1364702822.webp,1746,20,3,239000.0,flat,sale,63.0,True,3,1,calle Carballino,Madrid,Madrid,Latina,es,Campamento,40.3961319,-3.770337,False,https://www.idealista.com/inmueble/109112274/,"Gentile Home Remax presenta amplio piso de 3 habitaciones en el barrio de Campamento con mucha luz natural y vistas a zonas verdes.  El baño ha sido reformado y ampliado, con un moderno plato de ducha.  La cocina y el suelo también han sido renovados.  El piso cuenta con microondas, lavadora y frigorífico de poco uso.  Además, dispone de una instalación eléctrica y fontanería actualizadas, así como de una zona de videovigilancia en la comunidad de propietarios. Las tres habitaciones son espaciosas, dos de ellas con espacio para cama de matrimonio y una para cama individual.  El amplio salón y el balcón completan este atractivo piso.  La ubicación es inmejorable, con una excelente comunicación, a solo 5 minutos a pie del metro Colonia Jardín y a 1 minuto de la Casa de Campo.  No pierdas la oportunidad de vivir en este acogedor y bien ubicado piso en Campamento. Descripción del Lugar Adéntrate en el encantador barrio de Campamento, donde la vida diaria se entrelaza con la historia y la vitalidad. Con un total de 42 opciones de abastecimiento en un radio de 15 minutos, incluyendo la tienda de frutas y verduras Torijano a solo 1 minuto de distancia, y la conveniencia de la Frutería y Charcutería a solo 2 minutos, tendrás todo lo que necesitas al alcance de la mano. Además, con 6 escuelas en las cercanías, como la Escuela Infantil Privada Monseñor Alves Bras a solo 2 minutos, y el Colegio de Educación Infantil y Primaria Hermanos Pinzon a 4 minutos, la educación de tus hijos estará garantizada.  Sumérgete en la diversidad gastronómica con 17 establecimientos de comida y bebida a menos de 15 minutos, como el acogedor restaurante La Casa Feliz a solo 2 minutos de distancia. Y para tus necesidades de movilidad, encontrarás 49 puntos de transporte cercanos, como la parada de autobús en Campamento a solo 3 minutos, brindándote acceso rápido y conveniente a toda la ciudad.  Para aquellos que buscan un respiro en la naturaleza, existen 4 puntos de interés en un radio de 12 minutos, incluyendo la Plaza Patricio Martínez a solo 3 minutos, ideal para relajarse al aire libre. Y con 4 farmacias a menos de 15 minutos, como la Farmacia Castillo Fernández a solo 3 minutos, tendrás acceso rápido a servicios de salud cuando los necesites. Campamento te ofrece una combinación única de comodidad, servicios y naturaleza, todo a tu alcance. ¡Explora este vibrante vecindario y descubre todo lo que tiene para ofrecer!",False,good,False,False,3794.0,False,False,False,False,[],False,False,239000.0,€,flat,"Campamento, Madrid",Piso en calle Carballino,,,,,,,
108519952,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/8d/f7/4e/1347344506.webp,3489-02932,34,en,379000.0,flat,sale,85.0,True,3,1,"avenida de Navarrondán, 11",Madrid,San Sebastián de los Reyes,Praderón,es,,40.5540153,-3.628628,True,https://www.idealista.com/inmueble/108519952/,"Vendemos en exclusiva este magnífico piso en una de las mejores áreas para vivir en la zona norte de Madrid. La distribución se compone de salón de buen tamaño muy luminoso gracias a su orientación, cocina con terraza tendedero, 3 dormitorios de buenas dimensiones quedan amueblados, pasillo distribuidor y 1 baño.  El salón comedor es amplio tiene paredes revestidas con madera, muebles hecho a la medida que se quedan y vistas al jardin interior de uso exclusivo de la comunidad. La cocina independiente incluye tendedero cubierto, ideal para mantener el orden y aprovechar el espacio de manera eficiente. El piso se encuentra en la zona centro, en una de las zonas más tranquilas de la ciudad. La ubicación es inmejorable, con una rápida incorporación a la A-1 y todos los servicios en las proximidades: líneas de autobús, paradas de metro cercana Baunatal, farmacias, centros deportivos, centros educativos, parques públicos, parque infantil, supermercados, etc. Es sin duda una oportunidad única de inversión en una de las áreas residenciales más demandadas con una alta proyección en las proximidades de Madrid. Si necesitas financiación consulta nuestras condiciones hipotecarias del Grupo Seneas.",False,good,False,True,4459.0,False,False,False,False,[],False,False,379000.0,€,flat,"Praderón, San Sebastián de los Reyes","Piso en avenida de Navarrondán, 11",,,,,,,
108711282,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/9a/73/c4/1352859369.webp,MC25/25,26,2,565000.0,flat,sale,103.0,True,2,2,calle Isaac Albéniz,Madrid,Majadahonda,Golf - El Carralero,es,,40.4457988,-3.8602003,False,https://www.idealista.com/inmueble/108711282/,"HOGARES MAJADAHONDA VENDE EN EXCLUSIVA PISO DE DOS DORMITORIOS EN URBANIZACIÓN CON PISCINA. Una de mejores zonas de Majadahonda, con todos los servicios cercanos, rodeado de amplias zonas verdes. Te presentamos esta vivienda, ubicada en una de las zonas más tranquilas y prácticas de Majadahonda. Al entrar nos encontramos un hall de bienvenida, desde el cual se distribuye la entrada a la zona de estar, cocina y zona de descanso. El amplio salón comedor aporta calidez y luminosidad a la vivienda, debido a su acertada orientación sur, contando además con salida directa a una terraza con espectaculares vistas al monte, que aportan paz y descanso. Al entrar en la zona de descanso encontramos dos dormitorios equipados con sus correspondientes armarios empotrados. Además, contamos con cuarto de baño para dar servicio a los dormitorios y un aseo adicional. Incluye además un amplio trastero, La finca cuenta con ascensor, amplias zonas verdes, piscina, zona multideporte y zona de vestuarios. En cuanto a la zona, estás rodeado de todos los servicios. Hay colegios, supermercados, parques, centros deportivos y transporte público. También contamos con buena conexión por con la M-50 y la M-503, lo que facilita la comunicación con Madrid. ¡ No dude en venir a visitarlo! ¡ POSIBILIDAD DE HIPOTECA AL 100%!",False,good,False,True,5485.0,False,False,False,False,[],False,False,565000.0,€,flat,"Golf - El Carralero, Majadahonda",Piso en calle Isaac Albéniz,,,,,,,
109192739,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/aa/67/20/1367021848.webp,,20,4,330000.0,flat,sale,90.0,True,3,2,calle Perú,Madrid,Móstoles,Sur,es,,40.3178986,-3.857084,False,https://www.idealista.com/inmueble/109192739/,"¡Descubre tu nuevo hogar con la oportunidad de financiación hasta el 100%! Piso totalmente REFORMADO (ELECTRICIDAD Y FONTANERÍA) hace meses con ASCENSOR de 90M2 esta distribuido de 3 amplias habitaciones con armarios empotrados, con 2 baños uno de ellos en suite reformados con extractor espejos con iluminación y plato de ducha. Con aire acondicionado MITSUBISHI en todas la habitaciones y salón con bomba de frio y de calor, con piso de tarima, muy luminoso, puerta blindada, ventanas de Climalit PVC dando un toque moderno y dando un excelente aislamiento térmico y acústico, durabilidad, bajo mantenimiento y eficiencia energética.  Con 1 gran y maravillosa terraza con toldo y trastero, perfecta para pasar momentos inolvidables con amigos y familiares con gran iluminación. Cocina totalmente equipada con lavavajillas, nevera, horno empotrado, lavadora.. . etc.. . todo lo que necesitas en un solo lugar. Piso para entrar a vivir no esperes mas y ven a visitarlo, no esperes que te lo quieten y llama YA¡ Este piso es una oportunidad única para convertirlo en el hogar de tus sueños. Con la experiencia de más de 11 años en SOLUCIONES INMOBILIARIAS, nuestro equipo de profesionales está listo para ofrecerte el mejor asesoramiento personal. Además, contamos con un departamento jurídico y financiero para facilitar todo el proceso de compra. No pierdas la oportunidad de vivir en un lugar que lo tiene todo: comodidad, ubicación y potencial. ¡Contáctanos hoy mismo y ven a visitarlo!",False,good,False,True,3667.0,False,False,False,False,[],False,False,330000.0,€,flat,"Sur, Móstoles",Piso en calle Perú,,,,,,,
