propertyCode,thumbnail,externalReference,numPhotos,floor,price,propertyType,operation,size,exterior,rooms,bathrooms,address,province,municipality,district,country,latitude,longitude,showAddress,url,description,hasVideo,status,newDevelopment,hasLift,priceByArea,hasPlan,has3DTour,has360,hasStaging,notes,topNewDevelopment,topPlus,priceInfo.price.amount,priceInfo.price.currencySuffix,detailedType.typology,suggestedTexts.subtitle,suggestedTexts.title,parkingSpace.hasParkingSpace,parkingSpace.isParkingSpaceIncludedInPrice,neighborhood,priceInfo.price.priceDropInfo.formerPrice,priceInfo.price.priceDropInfo.priceDropValue,priceInfo.price.priceDropInfo.priceDropPercentage,detailedType.subTypology,parkingSpace.parkingSpacePrice
109201214,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/4b/76/21/1367307227.webp,IEM-PLR.ROCIO,13,4,121000.0,flat,sale,92.0,True,3,1,Centro,Madrid,Móstoles,Centro,es,40.3234328,-3.8686117,False,https://www.idealista.com/inmueble/109201214/,"Inmobiliaria EDUARDO MOLET Vende EN EXCLUSIVA la NUDA PROPIEDAD der esta estupenda vivienda en la zona centro de Mostoles. La acual propietaria de 89 años, conservara¡ el USUFRUCTO VITALICIO de la misma. El comprador de la NUDA PROPIEDAD podrá hacer uso de la vivienda a la extinción del usufructo  Amplia vivienda de 92 m2 construidos, 84 m² de vivienda segun catastro y 70 m² útiles según escrituras, ubicada en una zona tranquila y bien comunicada del centro de Móstoles, con todos los servicios a mano: colegios, comercios, transporte público y zonas verdes. La vivienda cuenta con tres dormitorios dobles, salón independiente con acceso a terraza y cocina igualmente independiente con salida a terraza tendero, lo que aporta gran comodidad y ventilación cruzada. Dispone de un cuarto de baño completo. Se trata de una cuarta planta, sin ascensor. Muy luminosa, con doble orientación que permite disfrutar de luz natural durante todo el día. Una excelente oportunidad para quienes buscan un hogar espacioso y bien ubicado en Móstoles. Ideal tanto si quieres vivir a futuro o para alquilar.  Los gastos se repartirán de la siguiente manera   - EL NUDO PROPIETARIO: Ibi anual, derramas extraordinarias si se producen y parte del seguro de la viviena que se refiere a el continente   - EL USUFRUCTUARIO: Comunidad, consumos, tasa de basuras y parte del seguro de la vivienda que se refiere a el contenido  Si buscas una propiedad en una zona tranquila, bien comunicada y con una excelente distribución, esta es la opción perfecta. No dudes en contactarnos para más información! En el precio de la vivienda no están incluidos los siguientes gastos:   Impuesto de transmisiones patrimoniales ( 6%)  Notaria ( entre 0,2 y 0,5%)  Registro de la propiedad ( entre 0,1% y 0,3%) Estos costes se pagan aparte y deben tener en cuenta al calcular el gasto total de la compra.",False,good,False,False,1315.0,False,False,False,False,[],False,False,121000.0,€,flat,"Centro, Móstoles",Piso,,,,,,,,
109198826,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/23/02/8a/1367222019.webp,,33,2,367500.0,flat,sale,85.0,True,3,2,El Puerto,Madrid,Coslada,El Puerto,es,40.420234,-3.5660824,False,https://www.idealista.com/inmueble/109198826/,"HABICASA GESTIONA LA VENTA EN EXCLUSIVA DE ESTA MAGNÍFICA VIVIENDA EN LA ZONA DE Bº DEL PUERTO. Situado en una 2ª planta con ascensor. En urbanización privada con zonas ajardinadas. Garaje de acceso directo por ascensor incluido en el precio. DISTRIBUCIÓN Y DETALLES: Vivienda con una superficie de 65m² útiles distribuidos en gran entrada, amplio salón comedor independiente con Wall Window, cocina totalmente amueblada con electrodomésticos y salida a tendedero, 3 habitaciones amplias con armarios empotrados y 2 baños completos, uno con plato de ducha y otro con bañera. Tiene suelos de tarima y gres, ventanas de aluminio climalit oscilobatientes, puertas de roble, pintura gotelet, calefacción gas natural y puerta de entrada blindada. UBICACIÓN Y SERVICIOS: Ubicado en zona residencial con grandes paseos y zonas ajardinadas. Con todo tipo de servicios para compras y ocio, parques, colegios, institutos, centro de salud y hospital, farmacias, bancos, y comunicaciones de transporte público con autobuses, metro Barrio del Puerto y buen acceso a M-40, M-45, M-21, A-2 quedando muy cerca del aeropuerto internacional Adolfo Suarez. HABICASA COSLADA con más de 30 años de experiencia en el sector inmobiliario y financiero. Nos destacamos por la profesionalidad, transparencia y eficacia. Nuestro equipo de asesores profesionales te acompaña durante todo el proceso para asesorarte y solucionar tus dudas para que el proceso de compra venta de su vivienda sea de la manera más rápida, sencilla y eficaz.",True,good,False,True,4324.0,False,False,False,False,[],False,False,367500.0,€,flat,"El Puerto, Coslada",Piso,True,True,,,,,,
105950163,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/52/55/40/1267936507.webp,KELM596,11,4,1329000.0,flat,sale,126.0,False,2,2,calle de Castelló,Madrid,Madrid,Barrio de Salamanca,es,40.4363874,-3.6820983,False,https://www.idealista.com/inmueble/105950163/,"Kensington International presenta este espectacular piso completamente reformado, ubicado en la 4ª planta de un edificio en la calle de Castelló, en el prestigioso Barrio de Salamanca, Madrid. Este inmueble de 126 m² ha sido renovado por un reconocido estudio de arquitectura, y se ha concebido para ofrecer un espacio luminoso, acogedor y funcional, listo La vivienda cuenta con dos amplios dormitorios y dos baños. La cocina, moderna y totalmente equipada, está integrada con el salón, creando un espacio abierto y lleno de luz natural, ideal para disfrutar del día a día. Además, el piso tiene orientación hacia un amplio patio de manzana, lo que asegura tranquilidad. El sistema de climatización incluye calefacción por gas natural y aire acondicionado en toda la casa, garantizando confort en cualquier época del año. La ubicación es inmejorable, con excelente comunicación mediante transporte público y fácil acceso a la M30. Además, en Kensington International ofrecemos asesoramiento personalizado para conseguir las mejores condiciones de financiación. No pierdas la oportunidad de vivir en una de las zonas más exclusivas de Madrid.",True,good,False,True,10548.0,True,False,False,False,[],False,False,1329000.0,€,flat,"Castellana, Madrid",Piso en calle de Castelló,,,Castellana,,,,,
108389012,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/72/df/5f/1361294151.webp,Loft,17,bj,185000.0,flat,sale,37.0,True,1,1,plaza Tejar,Madrid,San Sebastián de los Reyes,Centro Urbano,es,40.5482381,-3.6232046,False,https://www.idealista.com/inmueble/108389012/,"Loft de 36 m² útiles, 1 habitación, 1 baño completo, cocina amueblada y con electrodomésticos nuevos. Climatización de aire acondicionado y bomba de calor. Ventanas de PVC con rotura de puente térmico. Ideal para uso como vivienda habitual o como oficina. Igualmente, debido a su ubicación, en el centro de San Sebastián de los Reyes, es perfecto para el alquiler, con una rentabilidad anual mayor del 5% Las imágenes mostradas son fotografías reales, no están realizadas por ordenador. Comprando este Loft solo pagarás el 6% del impuesto de ITP y no el 21% de IVA de las nuevas promociones. SIN HONORARIOS DE AGENCIA INMOBILIARIA.",False,good,False,True,5000.0,True,False,False,False,[],False,False,185000.0,€,flat,"Centro Urbano, San Sebastián de los Reyes",Piso en plaza Tejar,,,,,,,,
109188475,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/27/41/93/1366900347.webp,ALC,21,5,450000.0,flat,sale,63.0,True,2,1,calle Alcalde López Casero,Madrid,Madrid,Ciudad Lineal,es,40.4340334,-3.6574579,False,https://www.idealista.com/inmueble/109188475/,"GESTORIA ARCAS VENDE estupendo piso en una quinta planta exterior, muy luminoso con orientación sur, distribuido en: salón comedor con salida al balcón/terraza, cocina individual que da a un patio de manzana, dos dormitorios de buen tamaño con armarios empotrados y amplio baño reformado con cabina de ducha. Aire acondicionado en el salón y en el dormitorio principal, suelo de parqué, ventanas PVC, calefacción y agua caliente central, edificio y portal representativos con servicio de conserjería.  Dispone de una plaza de garaje de concesión en un parking a pocos metros. Inmejorable zona con todo tipo de comercios y servicios, buena comunicación en transporte público, con varias líneas de autobuses y metro El Carmen (L5) en la puerta.",False,good,False,True,7143.0,False,False,False,False,[],False,False,450000.0,€,flat,"Concepción, Madrid",Piso en calle Alcalde López Casero,True,True,Concepción,,,,,
109046732,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/4d/f4/bb/1363798028.webp,2613,38,4,215000.0,flat,sale,86.0,True,2,1,UR PARQUE SIERRA,Madrid,Collado Villalba,Los Negrales,es,40.6305934,-4.0098887,False,https://www.idealista.com/inmueble/109046732/,"Royal House OFRECE EN VENTA, Piso totalmente reformado de 2 dormitorios, ¡listo para que empieces una nueva etapa sin preocuparte de nada!  Este piso fue de 3 dormitorios, pero se transformó en 2 espaciosas habitaciones para ganar amplitud y comodidad. El salón, amplio y luminoso, se abre a una terraza en esquina con preciosas vistas a los jardines y a las montañas, perfecta para relajarte al final del día. Cuenta con un baño, moderno y funcional, con plato de ducha. La cocina ampliada y equipada con electrodomésticos en buen estado invita a cocinar en compañía. Originales suelos de tarima, ventanas de PVC oscilobatientes color madera y paredes con pintura lisa. Orientación oeste, muy luminoso y agradable durante la tarde. Además cuenta con un montacargas de hasta 180kg. , ideal para facilitar la subida de compras, cochecitos o maletas, haciendo tu día a día mucho más cómodo. Situado en una urbanización cerrada, con ambiente familiar, que cuenta con zona de aparcamiento para propietarios, además de excelentes zonas comunes: - Piscinas para adultos e infantil - Pistas de tenis, pádel y baloncesto - Parque infantil Gastos de comunidad: 100 €/mes, agua incluida. Ubicación excelente, con transporte público a Madrid (autobuses y Renfe), y todos los servicios cercanos. A tan solo 200 metros de colegio público bilingüe, supermercados, bares y restaurantes cercanos, que permiten ir andando a disfrutar de las opciones de ocio que ofrece la población de Collado Villalba. En Royal House NO COBRAMOS honorarios AL CLIENTE COMPRADOR, nos tienes a tu lado durante el proceso de venta y te ayudamos a conseguir la mejor financiación. Gestión integral de alquileres, con todas las garantías para propietarios e inquilinos, contrato de alquiler, seguro de impagos, depósito de fianza, cambio de suministros. Nuestro equipo destaca por su amplia experiencia, compromiso y dedicación, cercanía y profesionalidad. Trabajando con el objetivo de asegurar un proceso de compra-venta eficaz. Royal House, a tu lado desde 1992.",False,good,False,False,2500.0,False,False,False,False,[],False,False,215000.0,€,flat,"Los Negrales, Collado Villalba",Piso en Ur Parque Sierra,,,,,,,,
108206149,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/3b/6e/0c/1337076717.webp,GPA-19133-2,23,,90000.0,chalet,sale,66.0,,4,1,Estremera,Madrid,Estremera,,es,40.1566075,-3.095421,False,https://www.idealista.com/inmueble/108206149/,"GPA-19133- Imagina una acogedora segunda residencia a tan solo 45 minutos de Madrid en el Alto Tajo zona Los Villares Estremeras. ¡IMPORTANTE! es tener en cuenta que esta vivienda NO SE PUEDE FINANCIAR, ya que el terreno no es urbanizable. Ideal para disfrutar con la familia los fines de semana. Esta encantadora casa de 80 metros cuadrados se encuentra en un extenso terreno de 1500 metros, ofreciendo un amplio espacio para el aparcamiento y la relajación. Descripción de la Casa: Habitaciones: Cuenta con 4 acogedoras habitaciones, perfectas para acomodar a toda la familia o amigos. Despensa para almacenaje. Cocina: Una cocina funcional, equipada para preparar deliciosas comidas para disfrutar al aire libre. Salon + salita de estar Baño: Con ducha Espacios Exteriores: Piscina: Disfruta de días soleados en una refrescante piscina, con un temporizador para la depuradora que asegura su mantenimiento sin complicaciones. Jardín: Rodeada de árboles y naturaleza, la propiedad ofrece una amplia zona para relajarse, jugar y disfrutar del verano. Área de Descanso: Perfecta para organizar barbacoas, juegos familiares o simplemente relajarse bajo el sol. Mejoras Recientes: Cambio de Electricidad: La casa ha sido actualizada con un nuevo sistema eléctrico, asegurando seguridad y eficiencia. Iluminación: Se han instalado focos en todas las estancias Ubicación: A solo 45 minutos de Madrid, es el refugio perfecto para escapar del bullicio de la ciudad y conectar con la naturaleza, ideal para crear recuerdos familiares inolvidables. Con todas estas características, esta segunda residencia se convierte en un lugar ideal para disfrutar de escapadas relajantes durante todo el año. El pueblo de Estremera esta ha solo 3 minutos en coche para realizar tus compras del dia ya que cuenta con supermercados. Cuenta con todos los servicios de farmacias, centro medico, colegios y zona deportivas GEPPCO es una Inmobiliaria que ofrece tanto al propietario como al comprador todos los servicios necesarios para que pueda convertir su sueño en una realidad y para ello en todo el proceso contarás con asesoramiento y gestión de alto nivel con una amplia experiencia de más de 25 años y todo un equipo multidisciplinar en el sector: Financiero, Inmobiliario y Jurídico. Para más información, visítenos en PVP CON HONORARIOS INCLUIDOS (No están incluidos los gastos notariales ni registrales) Los gastos de la operación son asumidos por el comprador.",False,good,False,,1364.0,False,False,False,False,[],False,False,90000.0,€,chalet,Estremera,Casa independiente,,,,99000.0,9000.0,9.0,independantHouse,
109198115,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/8c/9f/25/1367197231.webp,,21,3,309000.0,flat,sale,80.0,True,3,1,calle de Fray José Cerdeiriña,Madrid,Madrid,Latina,es,40.3858726,-3.7789531,False,https://www.idealista.com/inmueble/109198115/,"Agencia inmobiliaria de MADRID zona AVIACION ESPAÑOLA CUATRO VIENTOS Oficina TECNOCASA vende PISO DE ESQUINA TOTALMENTE REFORMADO en CALLE FRAY JOSE DE CERDEIRIÑA. PISO UBICADO EN UNA TERCERA PLANTA CON ASCENSOR: - Entrada / Recibidor. - 3 habitaciones. - 1 cuarto de baño con plato de ducha. - Salón muy luminoso. - Cocina amplia y totalmente equipada con todos los electrodomésticos. - Ventanas de PVC CLIMALIT en todas las estancias. - Puertas de madera maciza y puerta de entrada blindada. - Calefacción individual a gas. - Aire acondicionado en el salón y las tres habitaciones. - Suelos de tarima flotante. - Electricidad y fontanería cambiada. El inmueble se encuentra muy cerca del futuro PASEO VERDE DEL SUROESTE que llegará hasta la M40, actualmente está en construcción, oportunidad de compra con vistas a REVALORIZACION de la zona dado al soterramiento de la CARRETERA A5 - PASEO DE EXTREMADURA. La vivienda se encuentra muy bien comunicada con todo tipo de transporte público, zona de fácil aparcamiento y estaciones de BiciMad alrededores. Se comunica fácilmente con la carretera A5 y con la M40. A 3 minutos andando de la estación de Metro AVIACION ESPAÑOLA (L10) y a 5 minutos andando de la estación de Cercanías LAS AGUILAS (C5), paradas de autobús EMT cercanas 39, 139, 17 y 34. La zona cuenta con todos los servicios, centro comercial, colegios, parroquia, etc. Para más información contacta con nosotros sin ningún tipo de compromiso donde podrá informarte uno de nuestros asesores financieros de Kiron. ** PIDE MAS INFORMACION - Avenida de las Aguilas 86, Local, 28044 **.",False,good,False,True,3863.0,False,False,False,False,[],False,False,309000.0,€,flat,"Águilas, Madrid",Piso en calle de Fray José Cerdeiriña,,,Águilas,,,,,
107140926,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/1e/b2/e8/1367447109.webp,RV-10,24,,380000.0,chalet,sale,150.0,,3,3,calle Juan de Austria,Madrid,Cubas de la Sagra,,es,40.1981762,-3.8554294,False,https://www.idealista.com/inmueble/107140926/,"INMOROSALES, Agencia Inmobiliaria de Madrid promociona la venta en exclusiva de este chalet adosado con piscina de obra en Cubas de La Sagra. La vivienda consta con tres plantas: Planta baja: Compuesta por salón, con salida al patio, cocina (también con salida al patio), aseo y las escaleras de acceso a la planta superior. -Planta primera: es donde se ubican los 3 dormitorios. 1 de ellos matrimonial, con baño en suite y 2 individuales. Y un baño completo. -Buhardilla REFORMADA, con un espacio de 45 metros, distribuidos en sala y una habitación más pequeña (posibilidad de hacer baño) en la planta más alta. Las características de la vivienda son las siguientes: -Edificación del año 2000. -Ventanas climalit. -Suelo de gress. -Tuberias y electricidad de origen. -Puerta de garaje acceso a la parcela manual. -Pintura gotelé. -Calefacción a gas. -Cocina y baños en buen estado. Posibilidad de sacar 100% de financiación, ASESORAMIENTO FINANCIERO GRATUITO.",False,good,False,,2533.0,False,False,False,False,[],False,False,380000.0,€,chalet,Cubas de la Sagra,Casa independiente en calle Juan de Austria,True,True,,,,,independantHouse,
108980503,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/3c/94/27/1360759616.webp,,21,3,3359000.0,flat,sale,293.0,True,5,6,calle de Diego de León,Madrid,Madrid,Barrio de Salamanca,es,40.4341955,-3.681339,False,https://www.idealista.com/inmueble/108980503/,"EXTERIOR LUJO Fantastico piso actualmente terminando la obra( podemos visitar) se entrega totalmente amueblado y decorado por el famoso equipo de arquitectura Arctempus, el piso se compone de 5 dormitorios en suite más aseo de invitados, además de 2 terrazas una en el salón exterior a la calle Diego de Leon y otra en el dormitorio principal a patio de manzana. Este piso es ideal para familias numerosas ya que es muy difícil encontrar pisos en Madrid y sobre todo en barrio Salamanca con tantos dormitorio. Disponemos también de un trastero. Calefacción central, aire acondicionado, y servicio de portería.  NO SE COBRA HONORARIOS AL CLMPRADOR.",False,good,False,True,11464.0,True,False,False,False,[],False,False,3359000.0,€,flat,"Castellana, Madrid",Piso en calle de Diego de León,,,Castellana,,,,,
