propertyCode,thumbnail,externalReference,numPhotos,floor,price,propertyType,operation,size,exterior,rooms,bathrooms,address,province,municipality,district,country,neighborhood,latitude,longitude,showAddress,url,description,hasVideo,status,newDevelopment,hasLift,priceByArea,hasPlan,has3DTour,has360,hasStaging,notes,topNewDevelopment,topPlus,priceInfo.price.amount,priceInfo.price.currencySuffix,parkingSpace.hasParkingSpace,parkingSpace.isParkingSpaceIncludedInPrice,parkingSpace.parkingSpacePrice,detailedType.typology,suggestedTexts.subtitle,suggestedTexts.title,detailedType.subTypology,priceInfo.price.priceDropInfo.formerPrice,priceInfo.price.priceDropInfo.priceDropValue,priceInfo.price.priceDropInfo.priceDropPercentage,newDevelopmentFinished
107713193,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/47/b2/f0/1320660004.webp,4790,7,5,2200000.0,flat,sale,135.0,True,3,3,Barrio Recoletos,Madrid,Madrid,Barrio de Salamanca,es,Recoletos,40.4258131,-3.6853583,False,https://www.idealista.com/inmueble/107713193/,"Exclusiva vivienda reformada en edificio clásico en Recoletos Ubicada en una de las zonas más prestigiosas de Madrid, esta elegante propiedad se encuentra en una finca señorial clásica, con fachada representativa y portería. El piso ha sido completamente reformado con acabados de lujo que combinan diseño contemporáneo y respeto por los elementos originales del edificio. Con una superficie distribuida de forma funcional, la vivienda cuenta con dos balcones a la calle, que aportan luminosidad y carácter al amplio salón-comedor, donde se integra una moderna cocina americana equipada con electrodomésticos de alta gama. Dispone de tres habitaciones en suite, todas con baño privado y armarios empotrados de diseño, ofreciendo máxima privacidad y confort. Un piso elegante, de diseño con una espectacular reforma realizada por un prestigioso arquitecto. Una propiedad única para quienes buscan una combinación perfecta entre clásico y moderno, en pleno corazón del barrio de Recoletos. Fortuny Madrid Real Estate es una empresa joven y emprendedora, formada por un grupo de consultores inmobiliarios especializados en la zona Prime de Madrid, creada con el objetivo de satisfacer las necesidades de los clientes más exigentes.",False,good,False,True,16296.0,False,False,False,False,[],False,False,2200000.0,€,True,False,50000.0,flat,"Recoletos, Madrid",Piso,,,,,
102624775,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/4d/2c/cb/1161720195.webp,7009,22,,440000.0,chalet,sale,312.0,,3,4,La Alhóndiga,Madrid,Getafe,La Alhóndiga,es,,40.3081127,-3.738016,False,https://www.idealista.com/inmueble/102624775/,"Oh! Key Servicios Inmobiliarios VENDE esta gran oportunidad de inversión en Getafe, zona de La Alhóndiga: CASA DE 2 PLANTAS, de 312 m2 con Local comercial y Vivienda en la planta 1ª. El Local en planta baja, tiene aprox. 160 m2 y está con licencia en vigor para hostelería. Distribuido en entrada al exterior, zona de barra, cocina, 2 aseos y comedor amplio para unas 10 mesas. La Vivienda, en 1ª Planta ofrece 3 dormitorios y cada una de ella con baño en suite. El recibidor cuenta con otro baño completo de cortesía muy práctico para esos días de reunión con familia y amigos, y un amplio salón (25 m2) con terraza abierta. La cocina también amplia, tiene salida a un pequeño patio abierto como tendedero.   Su ubicación estratégica es otra ventaja a tener en cuenta, a un paso de transporte público (Bus, MetroSur y RENFE Getafe Central )  para que puedas desplazarte con comodidad y rapidez dentro y fuera del municipio.   En Resumen, es una propiedad que ofrece infinitas posibilidades para adaptarse a diferentes proyectos, incluso desarrollar una pequeña promoción inmobiliaria ya que cuenta con la opción de levantar más plantas. Llama al y no pierdas la oportunidad de visitarla. Un asesor pondrá su experiencia a tu servicio para que encuentres la mejor forma de inversión. Ref. 7009  .",False,good,False,,1410.0,True,False,False,False,[],False,False,440000.0,€,,,,chalet,"La Alhóndiga, Getafe",Chalet adosado,terracedHouse,,,,
108126658,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/4f/f3/2e/1334650276.webp,00668,67,,890000.0,chalet,sale,416.0,,5,5,Cobeña,Madrid,Cobeña,,es,,40.5677156,-3.5009911,False,https://www.idealista.com/inmueble/108126658/,"En Cobeña presentada por MILLENIUM Servicios Inmobiliarios y Financieros: ¡Cobeña en un lugar muy conveniente y agradable para vivir! Al ser una población cercana a Madrid, cuenta con una variedad de servicios esenciales como colegios, restaurantes y centros comerciales. Además, su proximidad al aeropuerto de Madrid hace que viajar sea más fácil, y las buenas conexiones de transporte aseguran que puedas moverte por la región con facilidad. *Superficie y Distribución:* - Parcela de *573 m²* - Construcción total de *416 m²* distribuidos en *cuatro plantas* *Planta Semisótano (112 m²):* - Garaje para *dos o tres coches* - Zona de gimnasio - Sala de plancha - Baño - Cuarto de instalaciones *Planta Baja (97 m²):* - Recibidor amplio decorado con pintura de estuco y suelos de gres - Salón independiente con mucha luz - Habitación que actualmente es un despacho para teletrabajar - Baño completo - Cocina actualizada con salida directa a la parte trasera del chalet (zona destinada al disfrute de toda la familia) - Construida en *2012*, muy actualizada *Primera Planta:* - Tres habitaciones - Dos baños - Habitación principal muy amplia con baño completo y vestidor de *9 m²*, ideal para sentirse como un rey *Planta Ático:* - Estancia diáfana con una habitación y baño *Características Adicionales:* - Pintura lisa - Armarios empotrados - Ventanas de PVC con climalit - Persianas de seguridad - Alarma y puertas de seguridad - Acceso directo desde la calle al garaje - Jardines perfectamente cuidados rodeando toda la casa - *Educación:* Cuenta con colegios de calidad. - *Restauración:* Una amplia oferta de restaurantes y bares. - *Compras:* Variados centros comerciales para todas tus necesidades. - *Transporte:* Excelentes conexiones a través de la M45 y M50, y fácil acceso al aeropuerto de Madrid. - *Ubicación:* Situado cerca del corredor del Henares y San Sebastián de los Reyes. Es un lugar perfecto para aquellos que buscan comodidad y accesibilidad sin alejarse demasiado de la capital. ¡Eso suena maravilloso! El Jardín Botánico de Cobeña seguramente añade un encanto especial a la localidad. Los jardines botánicos son espacios perfectos para relajarse, disfrutar de la naturaleza y aprender sobre diversas especies de plantas y flores.  Además de ser un lugar ideal para paseos familiares y actividades al aire libre, también pueden ser un punto de encuentro para eventos comunitarios y educativos.  EN EL CORREDOR DEL HENARES MILLENIUM SERVICIOS INMOBILIARIOS Y FINANCIEROS MARCA LA DIFERENCIA DESDE 1996.",False,good,False,,2139.0,True,False,False,False,[],False,False,890000.0,€,True,True,,chalet,Cobeña,Casa independiente,independantHouse,,,,
109148279,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/89/99/76/1366443868.webp,1257V700,28,2,720000.0,flat,sale,103.0,False,3,2,calle de Sánchez Barcáiztegui,Madrid,Madrid,Retiro,es,Pacífico,40.4057602,-3.6743717,False,https://www.idealista.com/inmueble/109148279/,"� Síguenos en Instagram @servifincasmadrid o en TikTok @servifincas y conoce todo los nuevos ingresos de venta y alquiler antes que se suban a los portales. Estupendo piso de 103 m2 según catastro, a reformar en Sánchez Barcáiztegui. �� Interior y muy luminoso, orientación Este, su precioso salón tiene vistas al patio de manzana donde se ven las zonas comunas y la piscina de la finca. Muy tranquilo y con la terraza con enormes ventas dejan pasar muchísima luz durante todo el día. Amplia cocina, 1 dormitorio doble y 2 sencillos. Armarios empotrados, trastero y plaza de garaje. La finca cuenta con portero las 24hs. La ubicación es inmejorable con acceso a las principales arterias de Madrid, buses, metro (L1 y L6) y entrte Atocha y Médez Álvaro. ¿Quieres agendar una visita? ¡Escríbenos hoy!",False,renew,False,True,6990.0,False,False,False,False,[],False,False,720000.0,€,True,True,,flat,"Pacífico, Madrid",Piso en calle de Sánchez Barcáiztegui,,,,,
104493785,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/ea/71/05/1222347252.webp,coello,57,,999000.0,chalet,sale,112.0,,2,2,calle de Claudio Coello,Madrid,Madrid,Barrio de Salamanca,es,Castellana,40.4343422,-3.6870246,False,https://www.idealista.com/inmueble/104493785/,"¡Descubre tu nuevo hogar en el corazón de Madrid! Esta impresionante casa adosada de 3 plantas, completamente reformada por un prestigioso estudio de arquitectos, te ofrece un estilo de vida moderno y cómodo. Con 112 m² construidos, cada rincón de esta vivienda ha sido diseñado para maximizar la luz natural y el espacio. En la planta calle, encontrarás una cocina de diseño totalmente equipada, ideal para los amantes de la gastronomía, y un salón amueblado que se conecta con una acogedora zona de comedor. Accede a la planta baja mediante una elegante escalera de caracol o un ascensor reformado, donde te espera un espectacular dormitorio con baño integrado, perfecto para disfrutar de la privacidad. En la planta primera, el dormitorio principal cuenta con un baño en suite único y acceso a una encantadora terraza, donde podrás relajarte y disfrutar de las vistas.  Con 2 dormitorios y 2 baños, esta casa es ideal para parejas o pequeñas familias que buscan un hogar en una ubicación privilegiada. Además, cuenta con armarios empotrados y está en excelente estado, lista para entrar a vivir. La orientación norte, sur, este y oeste garantiza luz durante todo el día. No pierdas la oportunidad de vivir en una de las mejores zonas de Madrid. ¡Tu nuevo hogar te espera!",False,good,False,,8920.0,False,False,False,False,[],False,False,999000.0,€,,,,chalet,"Castellana, Madrid",Chalet adosado en calle de Claudio Coello,terracedHouse,1050000.0,51000.0,5.0,
109080367,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/82/1c/4a/1363802218.webp,BERCIAL-105,35,5,559000.0,flat,sale,129.0,True,3,3,El Bercial,Madrid,Getafe,El Bercial,es,,40.3281718,-3.731413,False,https://www.idealista.com/inmueble/109080367/,"Agencia inmobiliaria Tecnocasa de Getafe - zona El Bercial - vende piso de 100 METROS ÚTILES con TERRAZA ABIERTA en urbanización cerrada del AÑO 2016 con parque infantil y PISCINA COMUNITARIA. Cuenta con plaza de GARAJE y TRASTERO incluidos en el precio. La vivienda se distribuye en salón independiente de 25m2 con salida a terraza abierta, cocina de 13m2 con zona office y tendedero anexo cerrado, tres amplios dormitorios, dos cuartos de baño completos equipados con plato de ducha de pared a pared y un aseo. Suelos en tarima, pintura lisa y ventanas oscilobatientes. Calefacción por gas natural y AIRE ACONDICIONADO POR CONDUCTOS con bomba frío/calor. La vivienda cuenta con armarios empotrados en el pasillo y los tres dormitorios. En la zona encontrarás todo tipo de servicios, colegios e institutos, transporte público (línea 12 de MetroSur, línea C-4 de Cercanías Renfe y líneas de autobús 446, L3 A y B y 488), centro médico y Hospital Universitario de Getafe, zonas comerciales, fácil acceso a carreteras A-42 y M-45.",False,good,False,True,4333.0,True,False,False,False,[],False,False,559000.0,€,True,True,,flat,"El Bercial, Getafe",Piso,,,,,
108566084,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/74/b0/71/1348634225.webp,,4,1,95000.0,flat,sale,64.0,True,3,1,calle de Godella s/n,Madrid,Madrid,Villaverde,es,San Cristóbal,40.3423272,-3.6880107,True,https://www.idealista.com/inmueble/108566084/,"PISO OCUPADO POR PERSONA SIN JUSTO TÍTULO ESTE INMUEBLE DEBIDO A SU ESTADO OCUPACIONAL NO ADMITE VISITAS IDEAL PARA INVERSORES LA LOCALIZACIÓN DEL INMUEBLE ES APROXIMADA Vivienda de 64 m², según Catastro, y 4 m² de elementos comunes a la venta en el distrito de Villaverde, Madrid. La vivienda está distribuida en salón-comedor, tres dormitorios, cocina, cuarto de baño y recibidor. (La distribución de la vivienda es orientativa y no ha podido ser comprobada). Es una 1ª Planta en un bloque residencial sin ascensor. Muy bien comunicado por carretera (M-45) y transporte público, a menos de cinco minutos andando de la parada de autobús de la calle Rocafort. Próximo a todo tipo de servicios e infraestructuras como centros educativos (IES San Cristóbal de los Ángeles), comercios, supermercados, farmacias, zonas verdes.. . SIN COMISIÓN La localización del activo es aproximada-TA.",False,good,False,False,1484.0,False,False,False,False,[],False,False,95000.0,€,,,,flat,"San Cristóbal, Madrid",Piso en calle de Godella s/n,,,,,
108786021,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/64/c0/b0/1355071555.webp,IEM-EMBJ.ROCIO,14,2,224000.0,flat,sale,82.0,True,1,1,Barrio Delicias,Madrid,Madrid,Arganzuela,es,Delicias,40.3928146,-3.6922485,False,https://www.idealista.com/inmueble/108786021/,"Inmobiliaria EDUARDO MOLET. vende EN EXCLUSIVA la NUDA PROPIEDAD de esta estupenda vivienda, con garaje, trastero y piscina; en la zona de Chopera. Ideal como inversión a futuro  La actual USUFRUCTUARIA es una mujer de 63 años. El comprador de la NUDA PROPIEDAD podrá hacer uso de la viviena a la EXTINCIÓN DEL USUFRUCTO VITALICIO  A escasos 10 minutos de la zona de Matadero, se encuantra esta fantástica vivienda de 82.86 m2 construidos según escrituras.  Se distribuye en Hall de entrada, cocina independiente con una terraza tendero acristalda que proporciona un desahogo a la hora de almacenaje y colada. Salón independiente con un estupendo mirardor, un cuarto de baño completo y un dormitorio de gran tamaño al que se le ha incorporado unba teraza pando una gran amplitud y luninosidad a la estacia La vivienda se ecuentra dentro de una comunidad que cuenta con jardines y piscina, lo que la convierten en una opicion muy acertada tanto para vivir como alquilar a futuro  Cuenta además con un trastero de 7.32 m2 de superficie construida y plaza de garaje para mayor comodidad  Zona muy consolidada y en continuo crecimiento económico. Perfectamente comunicada tanto con distintas lineas de autobuses, como las paradas de metro de Legazpi y Delicias. A 10 minutos en transporte de la estación de Atocha y 5 minutos caminando de la zona de Matadero, junto a Madrid Rio.  Supermercados, hosteleria, comercios así como colegios y centros médicos a pocos metros  MAGNIFICA OPORTUNIDAD DE INVERSIÓN  NO SON POSIBLES LAS VISTAS PARA ESTA VIVIENDA  La usufructuaria se hará cargo de los conumos de la vivienda, comunidad e IBI  En el precio de la vivienda no están incluidos los siguientes gastos:   Impuesto de transmisiones patrimoniales ( 6%)  Notaria ( entre 0,2 y 0,5%)  Registro de la propiedad ( entre 0,1% y 0,3%) Estos costes se pagan aparte y deben tener en cuenta al calcular el gasto total de la compra.",False,good,False,True,2732.0,False,False,False,False,[],False,False,224000.0,€,True,True,,flat,"Delicias, Madrid",Piso,,235000.0,11000.0,5.0,
89914059,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/f0/67/b7/779207244.webp,F550,4,4,4500000.0,flat,sale,401.0,True,5,6,Barrio Almagro,Madrid,Madrid,Chamberí,es,Almagro,40.427444,-3.6929817,False,https://www.idealista.com/inmueble/89914059/,"Espectacular inmueble ubicado en un edificio clásico en el corazón de Almagro. Esta vivienda de 401 m² con reforma y diseño llevada a cabo por interiorista cuenta con un hall de entrada con acceso a un amplio salón con chimenea dividido en diferentes ambientes con comedor independiente y cuatro balcones con vidrios de seguridad e insonorizados a la calle. La cocina de diseño cuenta con una maravillosa isla central, diseño espacial de Silestone Calacata, con mesa incorporada y con electrodomésticos de alta gama. Dispone de una biblioteca o sala polivalente y un aseo de cortesía. La zona de descanso se compone de cuatro dormitorios y cuatro baños. Especial mención al dormitorio principal de 34,30 m² con chimenea, vestidor de 17,44 m² y un gran baño de 10,11 m² así como al segundo dormitorio en suite con un amplio vestidor y baño. Zona de servicio con lavandería independiente amueblada y equipada con lavadora y secadora, al lado del dormitorio y baño de servicio. Cabe destacar la calidad de los acabados que se han utilizado en la reforma así como que toda la vivienda consta de sistema de domótica, hay 2 home cinemas con equipos completos, en la biblioteca y el dormitorio principal. La domótica controla la iluminación, el aire acondicionado, sistema anti-inundaciones, diferentes escenas de luz… Las diferentes estancias cuentan con sistema de sonido. Único piso por planta gozando de una autentica tranquilidad y luminosidad. Portero físico. Fortuny Madrid Real Estate es una empresa joven y emprendedora, formada por un grupo de consultores inmobiliarios especializados en la zona Prime de Madrid, creada con el objetivo de satisfacer las necesidades de los clientes más exigentes.",False,good,False,True,11222.0,False,False,False,False,[],False,False,4500000.0,€,True,False,40000.0,flat,"Almagro, Madrid",Piso,,,,,
108884563,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/7c/ba/15/1357899489.webp,NP2107251636,23,,296000.0,chalet,sale,132.0,,4,2,calle del Arrabal del Hoyo,Madrid,Coslada,Valleaguado - La Cañada,es,,40.4268536,-3.5389269,False,https://www.idealista.com/inmueble/108884563/,"NEO Patrimonial ofrece casa adosada, semi reformada en Coslada. Una excelente oportunidad para inversión o para vivir.  El inmueble consta de 132m² de superficie construida según catastro.  Consta de dos plantas.  En la primera planta reformada en 2018 encontramos salón-comedor muy amplio y luminoso, cocina independiente totalmente amueblada con acceso al patio, 1 habitación con armario empotrado y 1 baño.  En la segunda otro salón-comedor muy amplio y luminoso y con acceso al balcón, una segunda cocina, 3 habitaciones y 1 cuarto de baño completo. La segunda planta, no ha sido reformada, se encuentra en buen estado, aunque sería interesante, para alcanzar todo su potencial, realizarle una pequeña obra de actualización, especialmente en cocina y baño.  Detalles de las calidades: Carpintería exterior de doble acristalamiento tipo climalit en la primera planta y de aluminio en la segunda, carpintería interior de madera y lacada en blanco y suelos de baldosa y terrazo. Agua caliente y calefacción gestionados por caldera de gas natural. Aire acondicionado con bomba de frio y calor. Trastero, incluido en el precio.  Detalles de la zona y puntos de interés:  Zona residencial, con todos los servicios de primera necesidad al alcance: Colegios, Centros de Salud, Farmacias, Supermercados, Pequeño Comercio, etc. y excelentes comunicaciones, con dos estaciones de tren de cercanías a pocos minutos de la vivienda, diferentes líneas de autobús regular y metro.  *Impuestos ITP o IVA y gastos, notaría, registro, gestoría etc. no incluidos. NEO Patrimonial le ofrece la posibilidad de hacer cualquier tipo de reforma de esta vivienda al mejor precio.",False,renew,False,,2242.0,False,False,False,False,[],False,False,296000.0,€,,,,chalet,"Valleaguado - La Cañada, Coslada",Chalet adosado en calle del Arrabal del Hoyo,terracedHouse,,,,
