propertyCode,thumbnail,numPhotos,price,propertyType,operation,size,rooms,bathrooms,address,province,municipality,country,latitude,longitude,showAddress,url,description,hasVideo,status,newDevelopment,priceByArea,hasPlan,has3DTour,has360,hasStaging,notes,topNewDevelopment,topPlus,priceInfo.price.amount,priceInfo.price.currencySuffix,parkingSpace.hasParkingSpace,parkingSpace.isParkingSpaceIncludedInPrice,detailedType.typology,detailedType.subTypology,suggestedTexts.subtitle,suggestedTexts.title,floor,exterior,district,neighborhood,hasLift,externalReference,newDevelopmentFinished,priceInfo.price.priceDropInfo.formerPrice,priceInfo.price.priceDropInfo.priceDropValue,priceInfo.price.priceDropInfo.priceDropPercentage,parkingSpace.parkingSpacePrice
107593370,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/36/58/0b/1317054219.webp,81,1299000.0,chalet,sale,650.0,6,5,calle de la Rosa s/n,Madrid,Griñón,es,40.2145742,-3.8569771,True,https://www.idealista.com/inmueble/107593370/,"¡Boaz Inmoboutique vende vivienda en Calle de la Rosa, Griñón! Se vende vivienda completa distribuida en planta calle, planta alta y planta sótano, sobre una parcela de 1321,50 m² y 650 m2 construidos. La distribución es la siguiente: Planta Calle: - Salón comedor con salida a porches posteriores. - 1º dormitorio/despacho con cuarto de baño completo en zona de entrada y salida a porches posteriores. - 2º dormitorios con armarios empotrados. - 3º dormitorio con baño completo y vestidor. - 4º dormitorio con baño completo y armario empotrado. - 5º dormitorio premium con baño completo, jacuzzi y amplio vestidor independiente. Planta Alta: - Salón abierto zona ocio y amplio despacho. Planta Sótano: - Garaje de 80 m² para 4 coches. - Almacén independiente. - Dormitorio doble con armario empotrado doble. - Baño completo. - Salón de eventos con cocina integrada y chimenea. - Cuarto de instalaciones y herramientas. - Zona Exterior: Exterior: - Piscina cubierta y climatizada de 4x10 m. - Puertas de garaje automáticas. - Porche trasero perimetral con zona de ocio. - Sala de máquinas, caseta de almacenamiento y salón exterior. - Huerto urbano delimitado. En cuanto a seguridad, contamos con alarma, rejas, puerta acorazada, canalones en toda la vivienda, persianas automáticas y video portero en todas las plantas. La vivienda esta construida con suelos de gres, puertas de roble macizo natural, pared lisa y ventanas PVC color madera. Rampa de acceso para minusválidos o personas con capacidad reducida en toda la parcela. ¡Para más información, contáctenos!",True,good,False,1998.0,False,False,False,False,[],False,False,1299000.0,€,True,True,chalet,independantHouse,Griñón,Casa independiente en calle de la Rosa s/n,,,,,,,,,,,
107122648,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/eb/99/c8/1304565344.webp,23,299000.0,flat,sale,111.0,3,2,calle de Salvador Martínez,Madrid,Madrid,es,40.3689095,-3.6991308,False,https://www.idealista.com/inmueble/107122648/,"¡Descubre tu nuevo hogar en este espectacular piso completamente reformado!  Este amplio y luminoso espacio de 111 m² construidos (100 m² útiles) ofrece todo lo que necesitas para vivir cómodamente. Con 3 habitaciones y 2 baños, disfrutarás de modernas lámparas LED regulables en el salón, ideales para crear el ambiente perfecto. Las puertas interiores abatibles aportan un toque de elegancia y funcionalidad. La terraza cerrada es un rincón perfecto para relajarte, mientras que la orientación norte-sur garantiza luz natural durante todo el día.  Situado en la planta 4 (última planta) de un edificio con ascensor, este piso cuenta con calefacción de gas natural y aire acondicionado, asegurando confort en cualquier estación.  La ubicación es inmejorable: a solo 8 minutos andando del metro San Fermín y a 2 minutos de Cercanías.  Con una comunidad de 93€ mensuales e IBI de 300€, este piso es una oportunidad única que no puedes dejar pasar. ¡Ven a verlo y enamórate!",False,good,False,2694.0,False,False,False,False,[],False,False,299000.0,€,,,flat,,"12 de Octubre-Orcasur, Madrid",Piso en calle de Salvador Martínez,4,True,Usera,12 de Octubre-Orcasur,True,,,,,,
109185549,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/0b/9b/7b/1366801388.webp,22,320000.0,countryHouse,sale,90.0,3,1,calle Julio Antonio,Madrid,Madrid,es,40.3823441,-3.7315583,False,https://www.idealista.com/inmueble/109185549/,"IJ INMOBILIARIA, vende casa de dos plantas en Carabanchel. Dispone de dos plantas. Tiene tres habitaciones con armarios, un baño completo, salon comedor y cocina. Calefacción individual de gas natural. Reformada. Posibilidad de subir otra planta. Mejor ver. INFORMATE SIN COMPROMISO.",False,good,False,3556.0,False,False,False,False,[],False,False,320000.0,€,,,countryHouse,casaDePueblo,"Puerta Bonita, Madrid",Casa de pueblo en calle Julio Antonio,,,Carabanchel,Puerta Bonita,,IJINMO 3166,,,,,
101481728,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/04/a9/b6/1123432892.webp,10,2990000.0,flat,sale,250.0,3,3,Barrio Recoletos,Madrid,Madrid,es,40.4216034,-3.6852285,False,https://www.idealista.com/inmueble/101481728/,"Fortuny Real Estate presenta en venta fantástica vivienda de 250m2 de superficie ubicada en una finca de fachada clásica en el prestigioso Barrio de Salamanca en Recoletos. Se trata de una propiedad situada en una 4ta planta exterior, con mucha luz natural, a estrenar con techos altos conformada por un amplio salón comedor de vistas a la calle, cocina abierta estilo americano completamente amueblada y equipada con electrodomésticos de primeras marcas. Tres dormitorios amplios en suite conforman la zona de descanso con múltiples armario empotrados de suelo a techo. Este piso espectacular en venta es una verdadera joya en la codiciada zona de Salamanca Totalmente reformado de alta calidad en todos los detalles. La ubicación de este piso es inmejorable, en la zona de Salamanca Recoletos, una de las zonas más exclusivas y elegantes de Madrid. Cuenta con una gran variedad de tiendas, restaurantes y bares a pocos pasos de distancia, lo que permite disfrutar de la vida urbana al máximo. La gran mayoría de los inmuebles que tenemos en esta zona solo se encuentran en nuestra web. Visite nuestra página y descubra exclusivas viviendas. Fortuny Madrid Real Estate es una empresa joven y emprendedora, formada por un grupo de consultores inmobiliarios especializados en la zona Prime de Madrid, creada con el objetivo de satisfacer las necesidades de los clientes más exigentes.",False,good,False,11960.0,False,False,False,False,[],False,False,2990000.0,€,,,flat,,"Recoletos, Madrid",Piso,4,True,Barrio de Salamanca,Recoletos,True,FPR1925,,,,,
109164359,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/79/13/0a/1366166260.webp,10,650000.0,flat,sale,71.0,2,2,"calle de Maudes, 58",Madrid,Madrid,es,40.4448884,-3.6966282,True,https://www.idealista.com/inmueble/109164359/,"¡Descubre tu nuevo hogar en el prestigioso Barrio de Ríos Rosas! Este espectacular piso a estrenar de 71 m² es la opción perfecta para quienes buscan un ambiente tranquilo y elegante. Con una distribución de 2 habitaciones dobles, la habitación principal cuenta con baño en suite y vestidor, ofreciendo un espacio privado y cómodo. La altura de los techos, de 3 metros, permite que la luz natural inunde cada rincón, creando un ambiente cálido y acogedor. Ubicado en una zona privilegiada, disfrutarás de la cercanía a embajadas y palacetes señoriales, así como de la famosa ruta gastronómica de Ponzano, reconocida en toda Europa. Además, pequeños teatros y centros de arte contemporáneo están a solo unos pasos, brindando una oferta cultural inigualable. La zona también cuenta con boutiques exclusivas y cafeterías de diseño que harán las delicias de los más exigentes. Este hogar no solo es estéticamente atractivo, sino que también está equipado con electrodomésticos de alta gama marca BOSCH y cuenta con domótica que facilitará tu día a día. Con calefacción eléctrica y aire acondicionado, tendrás el máximo confort durante todo el año. No pierdas la oportunidad de vivir en un lugar que combina elegancia, cultura y comodidad. ¡Ven a visitarlo y enamórate de tu nuevo hogar!",False,good,False,9155.0,False,False,False,False,[],False,False,650000.0,€,,,flat,,"Nuevos Ministerios-Ríos Rosas, Madrid","Piso en calle de Maudes, 58",3,False,Chamberí,Nuevos Ministerios-Ríos Rosas,True,,,,,,
109104885,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/6f/ca/80/1364488555.webp,17,225000.0,flat,sale,75.0,2,1,Valdemorillo pueblo,Madrid,Valdemorillo,es,40.5015699,-4.0683688,False,https://www.idealista.com/inmueble/109104885/,"¡Descubre tu nuevo hogar en este espectacular piso de 2 dormitorios dobles! Totalmente reformado a estrenar, este inmueble ofrece un diseño moderno y funcional, perfecto para disfrutar de cada rincón. Con armarios empotrados en los dormitorios, tendrás espacio de sobra para organizar tu ropa y accesorios. El salón es amplio y luminoso, ideal para relajarte o recibir visitas. La cocina, completamente amueblada, se convierte en el corazón del hogar, donde podrás preparar deliciosas comidas. Además, cuenta con un baño completo que añade comodidad a tu día a día. Pero lo mejor de todo es el jardín privado: un oasis donde disfrutar de momentos al aire libre. Situado en una excelente ubicación, este piso está cerca de paradas de bus, facilitando tus desplazamientos. La vivienda es apta para personas con movilidad reducida y cuenta con calefacción mediante bomba de frío/calor, asegurando el confort en cualquier estación del año. Con 75 m² construidos y orientación sur, este bajo exterior te ofrece luz natural durante todo el día. No pierdas la oportunidad de vivir en un lugar impecable y lleno de comodidades. ¡Ven a visitarlo y enamórate de tu futuro hogar!",False,good,False,3000.0,False,False,False,False,[],False,False,225000.0,€,,,flat,,"Valdemorillo pueblo, Valdemorillo",Piso,bj,True,Valdemorillo pueblo,,False,,,,,,
108853924,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/43/40/e7/1357058912.webp,16,1539000.0,flat,sale,99.0,3,3,calle Velázquez,Madrid,Madrid,es,40.4348312,-3.6822021,False,https://www.idealista.com/inmueble/108853924/,"BARRIO DE SALAMANCA / CASTELLANA Espectacular vivienda en el prestigioso Barrio de Salamanca puede ser justo lo que necesitas. Con un total de 99 m² construidos y 81 m² útiles, tendrás suficiente espacio para vivir cómodamente y disfrutar de todas las comodidades que este inmueble tiene para ofrecer. La propiedad cuenta con tres habitaciones, perfectas para una familia, para convertir alguna en tu oficina o simplemente para tener el espacio que siempre has deseado. Además, con tres baños, nunca tendrás que esperar tu turno por la mañana. Cada rincón del ábaco se ha diseñado para optimizar el espacio y brindarte la funcionalidad que buscas en un hogar. La cocina está completamente amueblada y equipada. Terraza de 7 m², ideal para relajarte con un café por la mañana o para organizar cenas al aire libre con amigos. Además, el aire acondicionado y la calefacción central  La propiedad también cuenta con armarios empotrados. Ubicado en el Barrio de Salamanca, uno de los barrios más emblemáticos y pintorescos de Madrid, podrás disfrutar de una amplia oferta cultural, gastronómica y comercial. Desde boutiques de lujo hasta restaurantes de renombre, la zona ofrece un estilo de vida vibrante y dinámico. Además, contarás con acceso fácil al transporte público, lo que hace que moverte por la ciudad sea un verdadero placer. Este espacio no solo es un hogar, sino también una oportunidad de inversión en una de las zonas más cotizadas de la capital. Su ubicación, combinada con todas las características del inmueble, lo convierten en una excelente elección para aquellas personas que buscan calidad y comodidad. En el precio están excluidos el impuesto sobre transmisiones patrimoniales y los gastos sobre notaria y registro de la propiedad.",False,good,False,15545.0,True,False,False,False,[],False,False,1539000.0,€,,,flat,,"Castellana, Madrid",Piso en calle Velázquez,3,False,Barrio de Salamanca,Castellana,True,15952,,,,,
108639935,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/b2/07/a9/1350727270.webp,4,278876.0,flat,sale,112.0,3,2,Loeches,Madrid,Loeches,es,40.3827997,-3.4072294,False,https://www.idealista.com/obra-nueva/108639935/,"Edificio ente medianeras que consta de planta sótano, planta baja, 1ª planta y bajo cubierta. La edificación cuenta con piscina y zonas comunes. Consta de pisos y dúplex, plazas de aparcamiento y trasteros.",False,newdevelopment,True,2490.0,True,False,False,False,[],False,False,278876.0,€,True,True,flat,,Loeches,Piso,,True,,,True,Vivienda 10,False,,,,
108159403,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/97/72/77/1362443442.webp,25,172000.0,flat,sale,74.0,1,1,calle Frailes Viejos,Madrid,Ciempozuelos,es,40.163279,-3.6218775,False,https://www.idealista.com/inmueble/108159403/,"NEO Patrimonial vende bajo en Ciempozuelos. Bajo exterior sin ascensor. Consta de 74m² de superficie construida según catastro, 65m² pertenecen a la vivienda y 9m² a elementos comunes. Se distribuye en; Gran salón-Comedor, cocina independiente completamente amueblada y con salida al patio, 1 dormitorio doble y un cuarto de baño completo. Gracias a su excelente orientación sureste, esta bonita casa, disfruta de luz natural todo el año.  Detalles de las calidades:  Carpintería exterior de aluminio-climalit, carpintería interior de madera y suelos de tarima en toda la vivienda y porcelánicos en cocina y baño. Calefacción y agua caliente individual de Gas Natural, armarios empotrados y patio. Zona y puntos de interés:  Zona residencial, bien consolidada y con todos los servicios de primera necesidad al alcance: Colegios, farmacias, supermercados, centros de salud. centros de ocio y restauración a su alrededor: restaurantes, complejos deportivos, rodeado de zonas verdes muy próximas. Bien comunicado a través de tren de cercanías a 10 minutos andando, diferentes líneas de autobús interurbano y a escasos minutos de la A4. *Impuestos ITP o IVA y gastos, notaría, registro, gestoría etc. no incluidos. NEO Patrimonial le ofrece la posibilidad de hacer cualquier tipo de reforma de esta vivienda al mejor precio.",False,good,False,2324.0,False,False,False,False,[],False,False,172000.0,€,,,flat,,"Casco Antiguo norte, Ciempozuelos",Piso en calle Frailes Viejos,bj,True,Casco Antiguo norte,,False,NP0605251510,,,,,
101754304,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/6c/c2/c7/1165311767.webp,5,1850000.0,flat,sale,180.0,3,3,Barrio Recoletos,Madrid,Madrid,es,40.4188195,-3.692186,False,https://www.idealista.com/inmueble/101754304/,"Fortuny Real Estate ofrece en venta fantástica propiedad de 1801m2 con ubicación privilegiada Junto a la Puerta de Alcalá y el emblemático parque del Retiro. Se trata de una vivienda rehabilitada integralmente, amueblada y lista para entrar a vivir. Ideal para disfrutar de Madrid. Amplio salón-comedor. La cocina amueblada y equipada con iluminación y ventilación propia. La zona de noche dispone de 3 dormitorios, 2 cuartos de baño completos y aseo de cortesía. Las habitaciones cuentan todas con vestidor propio y la principal con baño en suite. Edificio del siglo XIX, de fachada clásica. En pleno Barrio de Salamanca, Distrito de Recoletos. Esta zona acoge algunos de los edificios de mayor belleza y representatividad de Madrid; es uno de los barrios más emblemáticos de Europa. La gran mayoría de los inmuebles que tenemos en esta zona solo se encuentran en nuestra web. Visite nuestra página y descubra exclusivas viviendas. Fortuny Madrid Real Estate es una empresa joven y emprendedora, formada por un grupo de consultores inmobiliarios especializados en la zona Prime de Madrid, creada con el objetivo de satisfacer las necesidades de los clientes más exigentes.",False,good,False,10278.0,False,False,False,False,[],False,False,1850000.0,€,,,flat,,"Recoletos, Madrid",Piso,3,True,Barrio de Salamanca,Recoletos,True,PIS108,,,,,
