propertyCode,thumbnail,externalReference,numPhotos,floor,price,propertyType,operation,size,exterior,rooms,bathrooms,address,province,municipality,district,country,neighborhood,latitude,longitude,showAddress,url,description,hasVideo,status,newDevelopment,hasLift,priceByArea,hasPlan,has3DTour,has360,hasStaging,notes,topNewDevelopment,topPlus,priceInfo.price.amount,priceInfo.price.currencySuffix,detailedType.typology,suggestedTexts.subtitle,suggestedTexts.title,highlight.groupDescription,detailedType.subTypology,parkingSpace.hasParkingSpace,parkingSpace.isParkingSpaceIncludedInPrice,priceInfo.price.priceDropInfo.formerPrice,priceInfo.price.priceDropInfo.priceDropValue,priceInfo.price.priceDropInfo.priceDropPercentage,newDevelopmentFinished
109083815,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/fa/cb/fa/1364486772.webp,10008601,39,1,185000.0,flat,sale,64.0,True,2,1,calle de Sepúlveda,Madrid,Madrid,Latina,es,Los Cármenes,40.4037824,-3.7405816,False,https://www.idealista.com/inmueble/109083815/,"Se vende la NUDA PROPIEDAD"" en exclusiva - VIVIENDA2 te ofrece en exclusiva esta amplia vivienda ubicada en una de las zonas con mayor crecimiento y revalorización de Madrid. Características de la vivienda: Superficie 64 metros cuadrados con 2 dormitorios y un baño, sala de estar muy amplia y fresca con amplios ventanales que conecta a la terraza, lo que hace a la vivienda también luminosa, cuenta además con un patio propio y un trastero. Finca en buen estado, cuenta con ascensor.  Ubicación: La vivienda se encuentra en el distrito Latina - Lucero, una zona con buena proyección debido al soterramiento de la M 30 y a la reforma de la línea 6, por lo que cuenta con buenas conexiones a través de las líneas 6 y 10 ( boca de metro Laguna ) y varias líneas de autobús cercanas ( 138-158 y N-6) así como Renfe Cercanías ( C-5 ), además se encuentra rodeada de espacios verdes como el Parque de la cuña verde, Casa de campo y Batán y mejor aún a pocos minuto del parque de San Isidro. Así como también contar con los Supermercados, escuelas, centros de salud y polideportivos a pocos minutos.  Excelente oportunidad de garantizar una inversión rentable a futuro, en una de las zonas de más rápido crecimiento de Madrid, para más información o visitas contacta con nosotros  ¡No dejes pasar esta ocasión única!",True,renew,False,True,2891.0,True,False,True,False,[],False,False,185000.0,€,flat,"Los Cármenes, Madrid",Piso en calle de Sepúlveda,Top,,,,,,,
104775951,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/54/fc/75/1231263887.webp,DS-P22648,29,6,855000.0,penthouse,sale,75.0,True,1,1,calle de Alonso Cano,Madrid,Madrid,Chamberí,es,Nuevos Ministerios-Ríos Rosas,40.4390501,-3.699544,False,https://www.idealista.com/inmueble/104775951/,"DIZA consultores les presenta ático de lujo en pleno Chamberí.  Bienvenido a tu propio oasis de lujo en el corazón de Chamberí. Este ático reformado con diseño exquisito te ofrece una experiencia de vida única, fusionando elegancia contemporánea con comodidades de primer nivel. Al entrar, serás recibido por una sensación de amplitud y luminosidad, gracias a los cuidadosamente seleccionados acabados y la abundante luz natural que inunda cada rincón de los 55 metros cuadrados mas 20 metros de terraza ático. La pieza central de esta residencia es su espacioso salón comedor. Aquí, podrás disfrutar de cenas íntimas o recibir a tus invitados en un ambiente acogedor. La cocina integrada, de diseño espectacular, está equipada con los últimos electrodomésticos de alta gama. Habitación independiente y un baño completo reformado con las mejores calidades. Sin embargo, la verdadera joya de esta propiedad es su magnífica terraza de 20 metros cuadrados, desde donde podrás contemplar las vistas únicas. Ya sea disfrutando de un café por la mañana o brindando al atardecer, esta terraza se convertirá en tu refugio al aire libre. Con una ubicación privilegiada en una de las zonas más exclusivas de Madrid, este ático te ofrece lo mejor de ambos mundos: la tranquilidad de un hogar privado y la proximidad a una amplia gama de restaurantes, tiendas de lujo y lugares de interés cultural. Convertimos Sueños en Hogares.",False,good,False,True,11400.0,False,False,False,True,[],False,False,855000.0,€,flat,"Nuevos Ministerios-Ríos Rosas, Madrid",Ático en calle de Alonso Cano,Top,penthouse,,,,,,
106788536,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/63/bd/b0/1294034629.webp,DS-P66023,21,3,820000.0,flat,sale,83.0,True,3,2,avenida de Filipinas,Madrid,Madrid,Chamberí,es,Vallehermoso,40.4404712,-3.7104462,False,https://www.idealista.com/inmueble/106788536/,"DIZA Consultores les presenta este magnifico piso para reformar ubicado en el prestigioso barrio de Chamberí. Este espacioso inmueble de 83m2 con iluminación y ventilación natural esta compuesto de tres habitaciones y dos baños.  El piso es exterior y cuenta con 7 huecos a la calle.  Ubicada en el distrito de Chamberí ofrece una oportunidad única de inversión en una de las zonas más codiciadas de Madrid. Con una ubicación estratégica, los residentes disfrutan de fácil acceso a transporte público, servicios esenciales y una vibrante oferta cultural y arquitectónica, asegurando una alta demanda y potencial de revalorización. Actualmente se encuentra alquilado hasta febrero de 2026 con una renta de 2.400€ mensuales. DIZA Consultores Inmobiliarios. Inmobiliaria de lujo en Madrid especializada en comprar, vender y alquilar pisos en las zonas premium de Madrid: Barrio de Salamanca, Almagro, Chamartín, Retiro, Pozuelo, Aravaca, Boadilla… Convertimos Sueños en Hogares.",False,good,False,False,9880.0,False,False,False,True,[],False,False,820000.0,€,flat,"Vallehermoso, Madrid",Piso en avenida de Filipinas,Top,,,,,,,
106662742,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/f1/d3/1a/1290213067.webp,DS-P66022,28,5,1150000.0,penthouse,sale,92.0,True,2,1,glorieta de Ruiz Giménez,Madrid,Madrid,Centro,es,Malasaña-Universidad,40.4298921,-3.7074739,False,https://www.idealista.com/inmueble/106662742/,"DIZA consultores les presenta ático de lujo en Ruiz Giménez. Bienvenido a tu propio oasis de lujo en el corazón de glorieta de Ruiz Giménez. Este ático te ofrece una experiencia de vida única, fusionando elegancia contemporánea con comodidades de primer nivel. Al entrar, serás recibido por una sensación de luminosidad y dos trasteros en la parte lateral. La pieza central de esta residencia es su salón, aquí, podrás disfrutar de cenas íntimas o recibir a tus invitados en un ambiente acogedor. La cocina se encuentra independiente totalmente equipada. Los dormitorios son independientes y compartirían un baño completo. Sin embargo, la verdadera joya de esta propiedad es su magnífica terraza, desde donde podrás contemplar las vistas únicas. Ya sea disfrutando de un café por la mañana o brindando al atardecer, esta terraza se convertirá en tu refugio al aire libre. Con una ubicación privilegiada en una de las zonas más exclusivas de Madrid, este ático te ofrece lo mejor de ambos mundos: la tranquilidad de un hogar privado y la proximidad a una amplia gama de restaurantes, tiendas de lujo y lugares de interés cultural. Estaremos encantados de atenderle. DIZA Consultores Inmobiliarios. Inmobiliaria de lujo en Madrid especializada en comprar, vender y alquilar pisos en las zonas premium de Madrid: Barrio de Salamanca, Almagro, Chamartín, Retiro, Pozuelo, Aravaca, Boadilla… Convertimos Sueños en Hogares.",False,good,False,True,12500.0,False,False,False,True,[],False,False,1150000.0,€,flat,"Malasaña-Universidad, Madrid",Ático en glorieta de Ruiz Giménez,Top,penthouse,,,,,,
102704752,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/30/86/fa/1345553959.webp,85995493,49,2,5960000.0,flat,sale,280.0,True,4,4,calle de Alcalá,Madrid,Madrid,Barrio de Salamanca,es,Recoletos,40.4218374,-3.6808075,False,https://www.idealista.com/inmueble/102704752/,"BARNES Madrid presenta esta espectacular vivienda en esquina, completamente reformada y amueblada con piezas de diseño de autor, incluyendo mobiliario Roche Bobois. Ubicada en la prestigiosa Calle de Alcalá, frente al Parque del Retiro, esta propiedad es una verdadera joya dentro del Barrio de Salamanca. En un edificio señorial de principios del siglo XX, con portal representativo, servicio de conserjería y ascensor, se encuentra este piso de 271 m², íntegramente exterior. Cuenta con ocho balcones y un impresionante mirador con vistas abiertas al Retiro. Gracias a su orientación este y oeste, la luz natural baña todos los espacios a lo largo del día, realzando aún más sus acabados de lujo. Desde el amplio hall de entrada, destaca la altura de techos de 3,20 metros, decorados con molduras originales y sistema de iluminación indirecta que permite crear distintos ambientes. El salón, orientado al sur, se abre a dos balcones, mientras que el comedor se inunda de luz a través del mirador. La cocina, equipada con electrodomésticos de alta gama y una gran isla, se integra con estilo y funcionalidad al espacio. La zona de descanso se compone de cuatro dormitorios, tres de ellos con baño en suite. El dormitorio principal incluye un amplio vestidor. Además, dispone de una práctica zona de lavandería independiente, equipada con lavadora y secadora, y un aseo de cortesía. La propiedad cuenta con calefacción por suelo radiante, aire acondicionado central por conductos y un sistema de domótica intuitivo que permite controlar climatización, iluminación y otros elementos clave del hogar. Una vivienda de autor, luminosa, elegante y funcional, en el corazón de la Milla de Oro madrileña, rodeada de boutiques de lujo, restaurantes de alta cocina y todo el encanto del Parque del Retiro. Le invitamos a visitarla y descubrir más propiedades únicas en BARNES Madrid.",True,good,False,True,21286.0,True,False,False,False,[],False,False,5960000.0,€,flat,"Recoletos, Madrid",Piso en calle de Alcalá,Top,,,,,,,
107020358,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/8b/02/2a/1327917854.webp,85571074,53,2,2500000.0,flat,sale,262.0,True,3,4,calle de Campoamor,Madrid,Madrid,Centro,es,Chueca-Justicia,40.4243488,-3.6943835,False,https://www.idealista.com/inmueble/107020358/,"BARNES presenta una joya inmobiliaria sin igual en el corazón del prestigioso distrito de Justicia en Madrid. Con una extensión impresionante de 262 metros cuadrados, esta propiedad encapsula la esencia de un estilo de vida urbano y sofisticado. Ubicada en el segundo piso de un edificio histórico de principios del siglo XX, esta vivienda ofrece una exquisita combinación de encanto clásico y lujo moderno. Disfruta de la comodidad de estar a pasos de boutiques de alta gama, restaurantes gourmet y vibrantes atracciones culturales. Disfruta de un amplio salón comedor con dos balcones y un luminoso mirador, ideal para disfrutar del skyline de Madrid. Una cocina americana totalmente equipada con electrodomésticos de primera y materiales de alta calidad satisface a los amantes de la cocina. Tres dormitorios, cada uno con su propio baño en suite, ofrecen privacidad y lujo, más un aseo adicional para mayor comodidad. La propiedad fusiona magistralmente elementos tradicionales, como el ladrillo visto, con lujo contemporáneo, ofreciendo un espacio de vida tanto atemporal como actual. Esta propiedad no es solo un lugar para vivir; es una inversión en un estilo de vida donde el lujo se encuentra con la herencia en uno de los barrios más codiciados de Madrid. Justicia es conocido por su ambiente lujoso y bohemio, rodeado de lo mejor que Madrid ofrece en cultura, gastronomía y moda. Experimenta la fusión de la rica historia de Madrid con comodidades modernas en este entorno exclusivo. Descubre esta magnífica propiedad y otras similares visitando el portal de BARNES Madrid. Ya sea que busques una residencia principal o una inversión lucrativa, esta lista promete una experiencia de vida sin igual en el lujoso distrito de Justicia de Madrid. Las imágenes presentadas han sido creadas por BARNES Interiors mediante home staging virtual para ilustrar el potencial de la vivienda. Es importante destacar que el inmueble se vende sin amueblar. BARNES Interiors también ofrece servicios de interiorismo para esta propiedad por un coste adicional.",True,good,False,True,9542.0,True,False,False,False,[],False,False,2500000.0,€,flat,"Chueca-Justicia, Madrid",Piso en calle de Campoamor,Top,,,,,,,
108927956,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/68/f2/58/1359437995.webp,,25,2,459000.0,flat,sale,167.0,True,3,2,calle Magallanes s/n,Madrid,Colmenar Viejo,Las Vegas - El Pozanco - Adelfillas,es,,40.6716999,-3.7643983,True,https://www.idealista.com/inmueble/108927956/,"VENTA EN EXCLUSIVA CON INMOBILIARIA HOGARES COLMENAR VIEJO Espacioso y luminoso piso ideal para familias, con vistas espectaculares sin problemas de construcción cercanas. Presentamos esta encantadora vivienda pensada para el confort y bienestar de toda la familia. Se trata de un piso muy acogedor y funcional, con tres amplios dormitorios, perfectos para padres, hijos o incluso para destinar uno de ellos a despacho o sala de juegos. Cuenta con dos cuartos de baño completos, uno de ellos en suite dentro del dormitorio principal, lo que proporciona mayor privacidad y comodidad. El corazón de la vivienda es un gran salón-comedor, muy luminoso gracias a sus amplios ventanales, que ofrece espacio más que suficiente para reuniones familiares, juegos o momentos de relax. Desde el salón se accede directamente a una preciosa terraza con cristales lumón y toldos, desde la cual se puede disfrutar de unas vistas despejadas y maravillosas, ideales para desayunos al aire libre, tardes de lectura o simplemente relajarse al final del día. Es una vivienda con una distribución muy práctica y cómoda, ideal para el día a día de una familia, con estancias bien aprovechadas, mucha luz natural y un ambiente muy hogareño. la vivienda tiene dos plazas e garaje y un trastero incluidos en el precio. Si estás buscando un hogar amplio, bien distribuido y con una energía especial, este piso puede ser el lugar perfecto para ti y los tuyos. HIPOTECAS AL 100%.",True,good,False,True,2749.0,True,True,False,False,[],False,False,459000.0,€,flat,"Las Vegas - El Pozanco - Adelfillas, Colmenar Viejo",Piso en calle Magallanes s/n,Top,,True,True,,,,
109188254,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/1e/41/13/1366890569.webp,LCM38506,50,bj,526500.0,flat,sale,81.0,True,1,1,calle de Manzanares,Madrid,Madrid,Arganzuela,es,Imperial,40.4117754,-3.7185344,False,https://www.idealista.com/inmueble/109188254/,"Vivienda reformada con acceso independiente y patio privativo en calle Manzanares. La Agency presenta esta magnífica vivienda reformada en planta baja, ubicada en la tranquila calle Manzanares, con la comodidad de disponer de acceso independiente a la finca directamente desde la calle. Una ubicación privilegiada que combina calma residencial con excelentes comunicaciones, rodeada de zonas verdes, comercios, colegios y transporte público. El inmueble ofrece 81 m² construidos y se distribuye en un dormitorio con armario empotrado, un salón-comedor con cocina integrada en concepto abierto, que maximiza la amplitud y la luz, con salida directa a un patio privativo ideal para uso personal o de ocio, además de un baño completo con plato de ducha. Se vende con el mobiliario y todos los electrodomésticos. Entre sus calidades destacan el suelo de tarima, las ventanas Climalit, la calefacción individual y un baño con termo eléctrico, garantizando confort y practicidad en el día a día. Gracias a sus características, la vivienda puede destinarse tanto a alquiler de larga duración (LAU) como a alquiler de temporada, ya que dispone de licencia con código único (NRA) para uso de alquiler temporal.  Esto la convierte en una excelente oportunidad para quienes buscan alta rentabilidad o un producto ideal para inversión. Ofrece una rentabilidad bruta del 6,3% y rentabilidad neta del 4,8%.",True,good,False,False,6500.0,True,False,True,False,[],False,False,526500.0,€,flat,"Imperial, Madrid",Piso en calle de Manzanares,Top,,,,,,,
109180966,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/ab/4b/cc/1366670160.webp,LCM38463,54,1,660000.0,flat,sale,137.0,True,5,2,paseo de la Virgen del Puerto,Madrid,Madrid,Arganzuela,es,Imperial,40.4118274,-3.7203984,False,https://www.idealista.com/inmueble/109180966/,"¡Tu Futuro Hogar en Imperial, Arganzuela! La Casa Agency tiene el placer de presentarte un inmueble con gran potencial en el codiciado Paseo Virgen del Puerto, una ubicación privilegiada junto a Madrid Río y a pocos minutos del centro de la ciudad. Esta propiedad ofrece múltiples posibilidades de reforma para que diseñes la vivienda de tus sueños. Actualmente cuenta con 5 dormitorios y 2 baños, lo que brinda una distribución muy versátil. Además, incluye un trastero, un extra muy valorado en la zona. La altura de techos de 2,97 metros aporta sensación de amplitud y luminosidad en cada espacio. Este piso es ideal tanto para familias que buscan personalizar su residencia en una zona consolidada, como para inversores que deseen revalorizar un inmueble en una de las áreas más demandadas de Madrid. Características Destacadas: •Ubicación estratégica en Imperial, uno de los barrios más solicitados de Arganzuela. •Entorno residencial y tranquilo, con acceso directo a Casa de Campo, Madrid Río, Parque de Atenas y a monumentos emblemáticos como la Catedral de la Almudena o el Palacio Real. •Gran amplitud y techos altos que ofrecen infinitas opciones de reforma. Características de la Finca: •Edificio construido en 1961, bien conservado y con doble ascensor. •Accesibilidad para personas con movilidad reducida. •Entrada principal renovada con diseño actual. •Dispone de trastero y prohibición de uso turístico en la comunidad, lo que asegura un ambiente residencial. Potencial de Reforma: La vivienda se sitúa en una primera planta, tanto registral como catastralmente, con orientación OESTE, lo que garantiza luminosidad natural y ventilación cruzada. Gracias a su distribución amplia con 5 dormitorios, podrás reorganizar los espacios para crear un salón diáfano, integrar vestidores o diseñar una cocina abierta adaptada a tus necesidades. Imagina un proyecto de reforma integral que transforme este piso en una residencia moderna y funcional, aprovechando al máximo cada metro cuadrado. Una propiedad para transformar y revalorizar en una de las mejores zonas de Madrid. ¡No pierdas la oportunidad de visitarla y descubrir todo su potencial!",True,renew,False,True,4818.0,True,False,True,False,[],False,False,660000.0,€,flat,"Imperial, Madrid",Piso en paseo de la Virgen del Puerto,Top,,,,,,,
109181823,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/65/bf/71/1366695060.webp,LCM38512,50,2,420000.0,flat,sale,75.0,True,3,1,paseo de la Ermita del Santo,Madrid,Madrid,Latina,es,Los Cármenes,40.4037115,-3.7241371,False,https://www.idealista.com/inmueble/109181823/,"La Casa Agency te invita a descubrir este magnífico piso en el Paseo de la Ermita del Santo, una ubicación privilegiada que combina la tranquilidad de una zona residencial con la cercanía al corazón de Madrid. La vivienda ha sido objeto de una reforma integral, con fontanería y electricidad totalmente renovadas, lo que garantiza seguridad, eficiencia y comodidad a largo plazo. Dispone de 3 habitaciones, un baño completo, y una luminosa cocina americana integrada al salón, que aporta amplitud y modernidad a la estancia principal. Se ha cuidado cada detalle para ofrecer el máximo confort. Cuenta con dos aires acondicionados (uno en el salón y otro en la habitación principal), ventiladores de techo en las 3 habitaciones, ventanas de aluminio con mosquiteras y mobiliario actual con antigüedad máxima de 2020. Además, dispone de calefacción central de gas natural, ascensor en la finca y un trastero que aporta un espacio extra muy práctico. El entorno es otro de sus grandes atractivos: a pocos pasos se encuentra el Parque de la Ermita del Santo y el Río Manzanares, perfectos para pasear, practicar deporte o disfrutar de la naturaleza sin salir de la ciudad. La conexión con el resto de Madrid es inmejorable. En pocos minutos se llega a Príncipe Pío, uno de los grandes nodos de transporte de la capital, con metro, cercanías y múltiples líneas de autobús, además de su amplia oferta comercial, de ocio y restauración. Asimismo, la Puerta del Sol y el centro histórico están a corta distancia, lo que permite disfrutar de la vida madrileña con total facilidad. Se trata de un barrio tranquilo, seguro y residencial, que al mismo tiempo está experimentando una transformación urbanística de gran relevancia. La construcción de nuevos edificios en la zona de la Ermita del Santo traerá consigo modernas viviendas, amplias zonas verdes y el nacimiento de nuevos servicios, lo que convertirá esta área en uno de los enclaves más codiciados de Madrid en los próximos años. En definitiva, una vivienda que no solo ofrece comodidad y calidad de vida hoy, sino que asegura un enorme potencial de revalorización mañana. Una oportunidad excepcional tanto para quienes buscan un hogar en una de las áreas más prometedoras de la capital, como para quienes piensan en una inversión inteligente.",True,good,False,True,5600.0,True,False,False,False,[],False,False,420000.0,€,flat,"Los Cármenes, Madrid",Piso en paseo de la Ermita del Santo,Top,,,,,,,
102116112,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/49/14/cb/1217699520.webp,83035567,45,7,1339000.0,penthouse,sale,160.0,True,3,1,calle de Alustante,Madrid,Madrid,Chamartín,es,Prosperidad,40.4415614,-3.6692656,False,https://www.idealista.com/inmueble/102116112/,"Barnes Madrid presenta vivienda señorial de 160 m² construidos, con 3 habitaciones, una de ellas tipo despacho, y 1 cuarto de baño completo. DISTRIBUCIÓN DE LA VIVIENDA La finca tiene acceso por la puerta principal con dos ascensores a su disposición. El piso es único debido a su excelente distribución y reforma en 2021, manteniendo el estilo retro-vintage con un toque moderno, y conservando el suelo de parquet original combinándolo con algunas paredes en piedra natural. La entrada al piso comunica desde un pequeño vestíbulo a un salón-comedor espacioso junto a la cocina office, totalmente equipada y amueblada, la cual está revestida con baldosas cerámicas de acabado brillante, silente y llena de luz natural por su neta orientación noroeste. Sus excelentes vistas despejadas, su terraza llena de encanto y su característico estilo le hacen muy singular. Es de resaltar en su reciente reforma, el jacuzzi en la terraza con su excelente barbacoa argentina, la ampliación del salón-comedor con cocina office y tres amplios ventanales retractiles de PVC dobles que aportan una gran luminosidad al comedor, con instalación de nebulización en toda la zona de la terraza para refrescar el ambiente y poder disfrutar de la misma durante todo el año. Continuando por el pasillo se accede a la zona de dormitorios. La reestructuración supuso el sacrificio de un dormitorio por un pequeño despacho para teletrabajar o para espacio funcional, pero también supuso ganar más espacio y luminosidad.  El dormitorio principal goza de vistas a la terraza, y está revestido con la misma pared de piedra natural que el comedor. El segundo dormitorio, es un poco más amplio que el principal y tiene vistas al patio interior. LOS ALREDEDORES El piso cuenta con una excelente ubicación, justo en la zona de corazón de María (Prosperidad) muy próximo al centro de la capital.  En su entorno predomina la tranquilidad, la seguridad y la naturaleza, y se encuentra cerca de todos los servicios; como supermercados, bancos, colegios, tiendas y de estación de metro.",False,good,False,True,8369.0,True,False,True,False,[],False,False,1339000.0,€,flat,"Prosperidad, Madrid",Ático en calle de Alustante,Top,penthouse,,,,,,
107934601,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/bd/d0/55/1328782528.webp,85645201,48,1,2100000.0,flat,sale,274.0,True,6,3,calle de Covarrubias,Madrid,Madrid,Chamberí,es,Trafalgar,40.4319678,-3.6984056,False,https://www.idealista.com/inmueble/107934601/,"Piso Exterior en Trafalgar Le invitamos a descubrir esta vivienda de lujo, un exquisito piso que se despliega en todo su esplendor en una de las calles más prestigiosas de Chamberí. Este maravilloso espacio, completamente exterior, ha sido diseñado con un enfoque meticuloso en la distribución, logrando un ambiente no solo funcional, sino también lleno de encanto y sofisticación. Con siete amplios ventanales que se asoman a la calle, cada rincón de esta propiedad está impregnado de luz natural, creando una atmósfera cálida y acogedora que invita a disfrutar de cada momento pasado en su interior. Al ingresar, se esconde un elegante hall de entrada que da la bienvenida y conecta armoniosamente con un salón espacioso y un despacho ideal, perfecto para quienes buscan trabajar desde la comodidad de su hogar. Un pasillo, amplio y cómodo, nos guía hacia cuatro dormitorios, uno de ellos destinado al servicio, y tres baños completos que han sido diseñados con un estilo contemporáneo y funcional. La cocina, por su parte, se presenta como una joya completamente equipada, que incluye un encantador office y una despensa, garantizando así que cuente con todo lo necesario para disfrutar de la máxima comodidad y funcionalidad en el día a día. Este magnífico hogar también cuenta con la comodidad de una plaza de garaje y acceso a aparcamiento para residentes, un auténtico lujo en esta deseada zona. Situado en una de las áreas más cotizadas de Chamberí, esta propiedad combina la tranquilidad y la exclusividad con la proximidad a servicios de primera calidad, boutiques de lujo, restaurantes gourmet y excelentes conexiones de transporte público. Con un total de 274 m² construidos, esta vivienda ofrece no solo amplitud, sino también un estilo de vida inigualable. Con cuatro dormitorios, tres baños, armarios empotrados y en un estado impecable, este piso representa una oportunidad única para aquellos que buscan un hogar que refleje elegancia y confort en una de las mejores localizaciones de la ciudad. Las imágenes presentadas han sido creadas por BARNES Interiors mediante home staging virtual para ilustrar el potencial de la vivienda. Es importante destacar que el inmueble se vende sin amueblar. BARNES Interiors también ofrece servicios de interiorismo para esta propiedad por un coste adicional.",True,good,False,True,7664.0,True,False,False,False,[],False,False,2100000.0,€,flat,"Trafalgar, Madrid",Piso en calle de Covarrubias,Top,,,,,,,
109173250,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/f0/80/fa/1366429819.webp,LCM38390,48,4,615000.0,flat,sale,95.0,True,3,2,calle de Lope de Vega,Madrid,Madrid,Centro,es,Huertas-Cortes,40.4149131,-3.6949827,False,https://www.idealista.com/inmueble/109173250/,"Presentamos una vivienda única en pleno corazón del Barrio de Huertas-Cortes, a pocos metros del Paseo del Prado y de la Fuente de Neptuno, una de las zonas más representativas y demandadas de Madrid. Ubicada en una finca señorial y muy tranquila, ha sido recientemente rehabilitada por completo (tejado, zonas comunes e instalaciones medianeras). Este hogar fusiona la elegancia de la arquitectura clásica con la comodidad del estilo de vida actual. Situada en una cuarta planta exterior sin ascensor, la propiedad se llena de luz natural gracias a la ventilación cruzada y a sus dos balcones con vistas despejadas, perfectos para disfrutar del dinamismo del barrio desde la serenidad del hogar.  La distribución actual comprende salón independiente, cocina, tres dormitorios y dos baños completos, con la flexibilidad necesaria para adaptarse a distintos estilos de vida. Cada rincón irradia amplitud, carácter y personalidad, haciendo de este piso una oportunidad ideal tanto para entrar a vivir como para invertir en un inmueble con gran proyección. Vivir en el Barrio de las Letras es disfrutar a diario de la historia y la cultura que definen Madrid: pasear junto a museos como el Prado, el Reina Sofía y el Thyssen; perderse en el Real Jardín Botánico; y saborear la oferta gastronómica, de ocio y los comercios locales que dan vida a sus calles. Todo ello, acompañado de una excelente conexión de metro, autobuses y Cercanías que permiten moverse con rapidez por la ciudad. Una propiedad con alma y una ubicación privilegiada, en una de las zonas más emblemáticas de Madrid.",True,good,False,False,6474.0,True,False,False,False,[],False,False,615000.0,€,flat,"Huertas-Cortes, Madrid",Piso en calle de Lope de Vega,Top,,,,,,,
