propertyCode,thumbnail,externalReference,numPhotos,floor,price,propertyType,operation,size,exterior,rooms,bathrooms,address,province,municipality,district,country,neighborhood,latitude,longitude,showAddress,url,description,hasVideo,status,newDevelopment,hasLift,priceByArea,hasPlan,has3DTour,has360,hasStaging,notes,topNewDevelopment,topPlus,priceInfo.price.amount,priceInfo.price.currencySuffix,detailedType.typology,suggestedTexts.subtitle,suggestedTexts.title,highlight.groupDescription,priceInfo.price.priceDropInfo.formerPrice,priceInfo.price.priceDropInfo.priceDropValue,priceInfo.price.priceDropInfo.priceDropPercentage,parkingSpace.hasParkingSpace,parkingSpace.isParkingSpaceIncludedInPrice,detailedType.subTypology
109151096,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/fb/45/17/1365797100.webp,2150,24,6,499000.0,flat,sale,45.0,True,1,1,calle de Núñez de Balboa,Madrid,Madrid,Barrio de Salamanca,es,Castellana,40.4378899,-3.6832934,False,https://www.idealista.com/inmueble/109151096/,"Piso en venta en Madrid, con 463 ft², 2 habitaciones y 1 baño, ascensor y aire acondicionado.",False,good,False,True,11089.0,True,False,False,False,[],False,False,499000.0,€,flat,"Castellana, Madrid",Piso en calle de Núñez de Balboa,Top,,,,,,
109150703,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/ba/d1/67/1365783961.webp,1301873,4,1,255000.0,flat,sale,105.0,True,3,1,plaza Martinez Olmedilla,Madrid,Madrid,Villa de Vallecas,es,Santa Eugenia,40.3800056,-3.6114251,False,https://www.idealista.com/inmueble/109150703/,"Inmobiliaria Santa Eugenia VOhome VENDE Vivienda en el barrio de Santa Eugenia con orientación oeste, ascensor y calefacción individual a gas. Se compone de 3 dormitorios, amplio salón y acceso a terraza cubierta.  Cocina con tendedero. Baño con plato de ducha y panel de hidromasaje. La vivienda se encuentra en buen estado con suelos cerámicos y ventanas con mosquitero. Esta vivienda se encuentra Situada en el barrio de Santa Eugenia, el cual fue concebido en sus orígenes como una urbanización privada llamada ciudad residencial Santa Eugenia, de ahí que esté rodeado de infinidad de zonas verdes tanto dentro como en sus alrededores, cuenta con un mínimo de 113 especies de árboles y más de 100 especies de arbustos catalogados, esto ha dado lugar a que se haya aprobado el proyecto JARDÍN BOTÁNICO URBANO. Dotado de guarderías y buenos centros educativos tanto de enseñanza primaria como secundaria y posterior, galerías de alimentación de las de toda la vida, comercios de barrio, centro de salud, etc.. . A escasos 10 minutos en coche encontramos El Centro Comercial ""La Gavia. Allí se pueden encontrar más de 60.000 m2 destinados a comercios y restauración, 10.000 para el supermercado Carrefour, 20.000 para Ikea y más de 5.000 plazas de garaje de aparcamiento gratuito. Por su ubicación tiene una excelente comunicación con paradas de autobuses urbanos: Línea 58 - Puente de Vallecas. Línea 145 - Conde Casal / Ensanche de Vallecas (C. C. La Gavia a 10 min). Línea 63 - Felipe II (Goya). La estación de Renfe Santa Eugenia está situada a 6 minutos caminando de la vivienda (líneas C2, C7 y C8), Atocha y Sol en 15 min y acceso inmediato a la A3. Financiación hasta 100% (según condiciones). Servicio de asesoramiento gratuito. Visítenos sin compromiso. Calle Castrillo de Aza, 14, LOCAL 7, 28031 Madrid Telf. : *En el precio de venta no están incluidos los gastos de compra (Impuestos de transmisiones patrimoniales / Notaría - Gestoría / Registro / Intermediación inmobiliaria y / o Financiera).",False,good,False,True,2429.0,False,False,False,False,[],False,False,255000.0,€,flat,"Santa Eugenia, Madrid",Piso en plaza Martinez Olmedilla,Top,,,,,,
100012123,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/0c/58/6d/1064944185.webp,ALC350,33,7,589000.0,duplex,sale,150.0,True,4,2,calle Timanfaya,Madrid,Alcorcón,Parque Lisboa - La Paz,es,Parque Lisboa - La Paz,40.3497218,-3.8124225,False,https://www.idealista.com/inmueble/100012123/,"GLOBALPISO VENDE: (el inmueble se encuentra justo al lado de la inmobiliaria) Exclusivo ático dúplex en una de las mejores urbanizaciones de Alcorcón, en plena calle Timanfaya (con acceso también desde la Avenida de la Libertad), junto a las estaciones de Metro de Joaquín Vilumbrales y Puerta del Sur (líneas 10 y 12).  La vivienda consta de 3 dormitorios (además de área en la zona ático-buhardilla que también se podría habilitar como dormitorio si se necesitase).  Cuenta con un amplísimo salón con salida a una terraza de unos 5 m2, cocina ampliada y con mobiliario nuevo, baño de invitados completo con bañera, y baño en suite en el dormitorio principal (con plato de ducha y columna de hidromasaje).  La subida a la planta ático se realiza a través de escalera de obra de mármol (no caracol), y con acceso desde el distribuidor.  Desde la buhardilla se accede a una gran terraza (una parte de ella con cerramiento acristalado y calefactado), disponiendo la parte externa de un amplio espacio de descanso y ocio, además de disfrutar de unas excelentes vistas.  La calefacción es individual de gas natural con la caldera cambiada hace poco tiempo. El precio incluye plaza de garaje y trastero.  La urbanización dispone de conserje 24h, piscina con zonas verdes, pistas de pádel y zonas recreativas. ***FINANCIACIÓN 100% A TRAVÉS DEL DEPARTAMENTO FINANCIERO DE GLOBALPISO (H2B HIPOTECAS)*** - La obtención de la financiación está sujeta a las condiciones de la entidad financiera y tendrá en cuenta el perfil y solvencia del cliente.  No dude en llamarnos para ampliar cualquier información.",False,good,False,True,3927.0,False,False,False,False,[],False,False,589000.0,€,flat,"Parque Lisboa - La Paz, Alcorcón",Dúplex en calle Timanfaya,Top,599000.0,10000.0,2.0,True,True,duplex
108463322,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/95/aa/39/1346106729.webp,1301859,16,1,390000.0,flat,sale,127.0,True,3,2,calle de Puentelarra,Madrid,Madrid,Villa de Vallecas,es,Santa Eugenia,40.3802721,-3.610102,False,https://www.idealista.com/inmueble/108463322/,"Inmobiliaria Santa Eugenia VOhome Vende Vivienda con orientación noroeste en el barrio de Santa Eugenia, compuesta de 3 dormitorios cada uno cuenta con armario empotrado, salón con acceso a terraza exterior, cocina amueblada y equipada, tendedero cubierto y 2 baños. Cuenta con aire acondicionado en salón y pasillo. La plaza de garaje tiene acceso directo desde la finca. Situada en urbanización cerrada con portero 24 horas, 2 pistas de pádel, cancha de baloncesto, piscina, zona infantil, local comunitario. El barrio está dotado de guarderías y buenos centros educativos tanto de enseñanza primaria como secundaria y posterior, galerías de alimentación de las de toda la vida, comercios de barrio, centro de salud, etc.. . A escasos 6 minutos en coche encontramos El Centro Comercial ""La Gavia. Allí se pueden encontrar más de 60.000 m2 destinados a comercios y restauración, 10.000 para el supermercado Carrefour, 20.000 para Ikea y más de 5.000 plazas de garaje de aparcamiento gratuito. Por su ubicación tiene una excelente comunicación con paradas de autobuses urbanos: Línea 58 - Puente de Vallecas. Línea 145 - Conde Casal / Ensanche de Vallecas (C. C. La Gavia a 6 min). Línea 63 - Felipe II (Goya). La estación de Renfe Santa Eugenia está situada a 12 minutos caminando de la vivienda (líneas C2, C7 y C8), Atocha y Sol en 15 min y acceso inmediato a la A3. Financiación hasta 100% (según condiciones). Servicio de asesoramiento gratuito. Visítenos sin compromiso. Calle Castrillo de Aza, 14, LOCAL 7, 28031 Madrid Telf. : *En el precio de venta no están incluidos los gastos de compra (Impuestos de transmisiones patrimoniales / Notaría - Gestoría / Registro / Intermediación inmobiliaria y / o Financiera).",False,good,False,True,3071.0,False,False,False,False,[],False,False,390000.0,€,flat,"Santa Eugenia, Madrid",Piso en calle de Puentelarra,Top,,,,True,True,
108370829,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/ab/82/e2/1344027948.webp,,5,1,1245000.0,flat,sale,171.0,True,4,2,calle de Andrés Mellado,Madrid,Madrid,Chamberí,es,Vallehermoso,40.4423807,-3.7139537,False,https://www.idealista.com/inmueble/108370829/,"Piso en Chamberí, barrio Vallehermoso, 171 m² construidos, 145 m² útiles, 4 dormitorios dobles, mas, 2 baños completos, orientación Este y Sur. La finca es de 1962, sin barreras arquitectónicas desde la calle a planta, próxima ITE/IEE 2026. La calefacción y ACS es central con consumos individualizados. El inmueble esta totalmente reformado con excelente calidades. La distribución actual es: Amplio hall de entrada que distribuye el acceso a zona de servicio zonas sociales y zonas de descanso. Gran cocina amplia y luminosa. Salón comedor con dos ambientes bien diferenciados con dos amplios ventanales, razón por la que esta estancia tiene una gran luminosidad. Cuatro dormitorios dobles, Los dormitorios también disponen de armarios empotrados. Respecto a cuartos de baños, el piso dispone de 2 baños completos con mampara de cristal en pasillo. En la misma finca en el sótano tiene un amplio trastero de 10 m². Hay posibilidad de alquiler una plaza de garaje. Magnifica ubicación en una de las principales calles del distrito de Chamberí, metro Islas Filipinas Ln7 e Intercambiador de Moncloa con metro Ln3 y Ln6 y servicio de autobuses EMT. En la misma puerta, paradas de autobús con gran variedad de posibilidades para comunicar este punto con el resto de la ciudad. La finca se encuentra situada muy cerca del parque del Oeste, Hospital Fundación Jiménez Díaz y Hospital Clínico, ciudad universitaria, colegios y todo tipo de comercios servicios de ocio y restauración. PARA PROPIETARIOS: 1. ¿Necesitas vender para comprar? donpiso puede comprar tu casa entregándote el 10% en 48 horas y el resto ante Notario. 2. ¿Problemas económicos? Te ayudamos entregándote una cantidad pactada cada mes mientras vendemos tu casa. Sin gastos de ningún tipo. 3. ¿Vendes un piso con hipoteca? mientras gestionamos la venta, te adelantamos la cuota mensual. 4. ¿Reformas? al mejor precio y te las financiamos dentro de la hipoteca. 5. ¿La mejor hipoteca? en donpiso la encuentras y con condiciones preferentes. 6. ¿Herencias y divorcios? te ayudamos y coordinamos todo. Infórmate:.",False,good,False,True,7281.0,True,False,False,False,[],False,False,1245000.0,€,flat,"Vallehermoso, Madrid",Piso en calle de Andrés Mellado,Top,,,,,,
108268821,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/34/73/45/1339058607.webp,V14480.1,9,,1265000.0,chalet,sale,298.0,,4,6,Barrio Marazuela- El Torreón,Madrid,Las Rozas de Madrid,Marazuela- El Torreón,es,Marazuela- El Torreón,40.4917152,-3.8640525,False,https://www.idealista.com/inmueble/108268821/,"LAS ROZAS DE MADRID, MARAZUELA - EL TORREÓN- OBRA NUEVA ESPECTACULAR CHALET ADOSADO EXCLUSIVO DE DISEÑO DE ESQUINA con 298 m² construidos divididos en 3 plantas sobre una parcela de 274 m2. Accedemos a la vivienda por la planta de acceso a través de un precioso jardín delantero. Al entrar nos encontramos con un amplio recibidor, 1 dormitorio con armarios empotrados vestidos, 1 baño completo, cocina con concepto abierto a un gran salón-comedor, por los que se accede a una espectacular terraza exterior con acceso a un jardín trasero y piscina privada. A la planta superior accedemos por las escaleras desde el recibidor, que dan a un amplio distribuidor, por el cual se accede a 4 dormitorios con armarios empotrados vestidos, todos con baño en suite, el dormitorio principal con zona de vestidor y 1 terraza exterior. La planta sótano consta de un garaje con capacidad para 3 vehículos, 1 amplio lavadero independiente, 1 baño completo y 1 trastero grande. La vivienda cuenta con acabados de lujo de primeras calidades. La calefacción cuenta con lo más novedoso en energías renovables, ya que ésta va por aerotermia y paneles fotovoltaicos. Se trata de un chalet único disponible de este tipo en construcción en una de las mejores zonas de Las Rozas. Excelente ubicación, próximo a la estación de Renfe a 3 min. caminando.",False,good,False,,4245.0,True,False,False,False,[],False,False,1265000.0,€,chalet,"Marazuela- El Torreón, Las Rozas de Madrid",Chalet adosado,Top,,,,True,True,terracedHouse
108268829,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/4c/6c/f9/1339058560.webp,V14481.1,8,,1115000.0,chalet,sale,287.0,,3,5,Barrio Marazuela- El Torreón,Madrid,Las Rozas de Madrid,Marazuela- El Torreón,es,Marazuela- El Torreón,40.4921535,-3.8668926,False,https://www.idealista.com/inmueble/108268829/,"LAS ROZAS DE MADRID, MARAZUELA - EL TORREÓN- OBRA NUEVA ESPECTACULAR CHALET ADOSADO EXCLUSIVO DE DISEÑO con 287 m² construidos divididos en 3 plantas sobre una parcela de 261 m2. Accedemos a la vivienda por la planta de acceso a través de un precioso jardín delantero. Al entrar nos encontramos con un amplio recibidor, 1 dormitorio con armarios empotrados vestidos, 1 baño completo, cocina independiente, gran salón-comedor independiente con acceso a un jardín trasero, a una estupenda terraza exterior y espectacular piscina privada. A la planta superior accedemos por las escaleras desde el recibidor, que dan a un distribuidor, por el cual se accede al dormitorio principal, en suite con zona de vestidor integrada y 2 dormitorios adicionales con armarios empotrados vestidos, todos en suite, con 1 baño completo incorporado y ambos con 1 terraza exterior con salida independiente. La planta sótano consta de un garaje con capacidad para 3 vehículos, 1 amplio lavadero independiente, 1 baño completo y 2 trasteros. La vivienda cuenta con acabados de lujo de primeras calidades. La calefacción cuenta con lo más novedoso en energías renovables, ya que ésta va por aerotermia y paneles fotovoltaicos. Se trata de un chalet único disponible de este tipo en construcción en una de las mejores zonas de Las Rozas. Excelente ubicación, próximo a la estación de Renfe a 3 min. caminando.",False,good,False,,3885.0,True,False,False,False,[],False,False,1115000.0,€,chalet,"Marazuela- El Torreón, Las Rozas de Madrid",Chalet adosado,Top,,,,True,True,terracedHouse
108960587,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/3d/51/85/1360148866.webp,QUIN1200025,15,4,335000.0,flat,sale,71.0,True,3,1,calle de Emilio Ferrari,Madrid,Madrid,Ciudad Lineal,es,Pueblo Nuevo,40.4315682,-3.6414778,False,https://www.idealista.com/inmueble/108960587/,"VOhome Quintana, vende piso en cuarta planta de 71m2, en calle Emilio Ferrari, zona de Pueblo Nuevo, distrito de Ciudad Lineal. Piso muy soleado, luminoso con amplias estancias, de orientación oeste, distribuido en hall de entrada, pasillo distribuidor, tres dormitorios con terraza incorporada en dos de ellos, amplio salón con terraza cerrada, cocina independiente y baño completo con plato de ducha.  Dispone de calefacción individual de gas natural, suelo parqué. Instalacion del ascensor en la finca aprobado a la espera del comienzo de la obra, el pago de esta derrama quedaría liquidado antes de la entrega de la vivienda en la compraventa ante notario. Excelente ubicación en zona comercial con todos los servicios cerca, a cinco minutos andando de la calle Alcalá, buena comunicación de transporte tanto metro líneas 5 y 7 Pueblo Nuevo, y paradas de autobús. ""Te financiamos tu vivienda hasta el 100% del valor de compraventa. Tipo de interés fijo: desde 2.25 % Tipo de interés variable: desde Er+0.25 % Para más información, llamar al teléfono gratuito "" Contacto Oficina calle Alcalá 339, Plaza Quintana frente a Docamar Tlno. fijo / móvil /.",False,good,False,False,4718.0,False,False,False,False,[],False,False,335000.0,€,flat,"Pueblo Nuevo, Madrid",Piso en calle de Emilio Ferrari,Top,,,,,,
107412377,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/5a/73/7e/1311968777.webp,CANR43710,15,7,13500000.0,flat,sale,569.0,True,3,4,Barrio El Viso,Madrid,Madrid,Chamartín,es,El Viso,40.4388915,-3.6882991,False,https://www.idealista.com/inmueble/107412377/,"Noble Ubicación para un Emblemático Proyecto. Modernidad, vanguardia, estética minimalista y materiales de gran calidad. El residencial aúna un diseño vanguardista con líneas arquitectónicas minimalistas, empleando materiales de la máxima calidad. Se ha creado un concepto muy exclusivo con interiores abiertos y cálidos con los que se pretende conseguir confort y calidad de vida para aquellos que puedan disfrutarlo. La joya de esta vivienda es su amplia terraza con vistas a la arteria principal de la ciudad de Madrid; El Paseo de la Castellana. Comodidades: Vestíbulo, salón, comedor y cocina integrada con salida a la terraza privada. Aseo de cortesía. Lavadero independiente. Cuatro dormitorios en suite. Zonas Comunes: Gran Lobby de acceso al edificio en el que se ubica: - Recepción con control de entrada y acceso al garaje, donde se encontrará el/la recepcionista y asistente. - Gran salón para la recepción de visitas con iluminación natural a través de grandes ventanales que ofrecen unas magníficas vistas a un exquisito patio inglés. - Espaciosa sala de co-living y de coworking equipadas para la celebración de Work meetings o fiestas. - Valet parking. - Sport zone que cuenta con un exclusivo gimnasio equipado, sala para clases con personal trainer y sala de masaje. - Spa Center. - Gourmet Experience Space para la celebración momentos especiales.",False,good,False,True,23726.0,True,False,False,False,[],False,False,13500000.0,€,flat,"El Viso, Madrid",Piso,Top,,,,True,True,
108658643,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/62/dc/71/1351346689.webp,PSO710,19,5,300000.0,flat,sale,98.0,True,4,1,calle Daoíz y Velarde,Madrid,Alcalá de Henares,San Isidro - Los Almendros,es,,40.4866113,-3.3695033,False,https://www.idealista.com/inmueble/108658643/,"Piso y plaza de garaje que se encuentran ubicados en una de las zonas más privilegiadas de Alcalá, justo al lado del parque O'Donnell. Con un diseño luminoso y funcional, la propiedad cuenta con cuatro dormitorios que ofrecen el espacio ideal para toda la familia. El salón independiente proporciona un ambiente cómodo y agradable para disfrutar momentos en compañía, mientras que la luminosa cocina amueblada está lista para satisfacer todas sus necesidades culinarias. Además, dispone de un baño equipado con plato de ducha y tres terrazas donde podrá relajarse o compartir agradables veladas al aire libre. El estado general del inmueble es bueno porque ha sido cuidadosamente mantenido lo que garantiza su confort desde el primer día. Entre los servicios adicionales destacan ascensor accesible a todos los pisos y unas vistas despejadas que permiten apreciar la belleza urbana circundante. La ubicación estratégica ofrece fácil acceso al centro de Alcalá sin renunciar a espacios verdes; todo ello sumado a contar con plaza propia en garaje facilita notablemente su vida diaria. Una oportunidad única tanto si busca residencia permanente o como inversión inmobiliaria.",False,good,False,True,3061.0,False,False,True,False,[],False,False,300000.0,€,flat,"San Isidro - Los Almendros, Alcalá de Henares",Piso en calle Daoíz y Velarde,Top,,,,True,True,
