propertyCode,thumbnail,numPhotos,price,propertyType,operation,size,rooms,bathrooms,address,province,municipality,district,country,latitude,longitude,showAddress,url,description,hasVideo,status,newDevelopment,priceByArea,hasPlan,has3DTour,has360,hasStaging,notes,topNewDevelopment,topPlus,priceInfo.price.amount,priceInfo.price.currencySuffix,priceInfo.price.priceDropInfo.formerPrice,priceInfo.price.priceDropInfo.priceDropValue,priceInfo.price.priceDropInfo.priceDropPercentage,parkingSpace.hasParkingSpace,parkingSpace.isParkingSpaceIncludedInPrice,detailedType.typology,detailedType.subTypology,suggestedTexts.subtitle,suggestedTexts.title,highlight.groupDescription,externalReference,floor,exterior,hasLift,neighborhood,parkingSpace.parkingSpacePrice
108095136,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/63/2c/b1/1334339714.webp,54,1299900.0,chalet,sale,480.0,7,4,paseo del Pago del Águila,Madrid,Paracuellos de Jarama,Berrocales de Jarama,es,40.4693308,-3.5071678,False,https://www.idealista.com/inmueble/108095136/,"Diseñada por arquitectos miembros de la familia, esta casa combina elegancia y funcionalidad en cada rincón, donde se ha pensado hasta en el más mínimo detalle. Todas el programa principal de la vivienda se distribuye en una sola planta, disponiendo de amplio garaje interior y estancias auxiliares en la planta inferior.  Disfruta de un maravilloso jardín diseñado y construido por un experto y reconocido paisajista, con gran variedad de especies vegetales que aportan frescor y color en todas las estaciones del año. La vivienda dispone de suelo radiante-refrescante unido recientemente instalado sistema de aerotermia y 12 paneles solares fotovoltaicos en el tejado que permiten reducir los gastos de luz y agua caliente considerablemente. La vivienda se construyó con materiales sostenibles (cerramiento de fachada con bloques de termoarcilla y aislamiento de corcho) y sus ventanas son de PVC Kommerling con vidrios tipo Climalit. Tiene contraventanas exteriores para oscurecimiento y protección solar. Disfrutarás de un hogar eficiente y sostenible, con un Certificado energético de clase B. Entramos en la propiedad y lo primero que encontramos es un impresionante hall recibidor que hace de distribuidor hacia todas las estancias de la casa. A mano izquierda accedemos al imponente salón comedor, una estancia con tres ambientes diferentes: zona de comedor, zona de lectura y zona de televisión armonizada por una magnifica chimenea. Además, unos grandes ventanales permiten la entrada de luz prácticamente a todas las horas del día ya que tiene fachada a 3 orientaciones y con salida directa a los dos porches y jardines de la vivienda. Se comunica directamente con una cocina de gran tamaño, la cual está completamente equipada y presidida por dos ventanales que ofrecen vistas hacia el fantástico jardín y zona de piscina, y con una isla en medio que hace que esta estancia sea especial. La cocina tiene dos opciones de preparar los alimentos en el fuego, mediante gas o por vitrocerámica, así como un horno de gran tamaño. Tiene un espacio contiguo que se utiliza como alacena y cuarto de lavandería.  A mano derecha del vestíbulo de acceso se dispone del área más privada de la vivienda, donde se ubican los dormitorios y baños principales. Esta zona de descanso se compone de cuatro habitaciones dobles con armarios empotrados y grandes ventanales hacia el exterior de la vivienda, con vistas al jardín que rodea la vivienda. A estas habitaciones dan servicio dos amplios cuartos de baño completos. La máster suite es totalmente independiente del resto de las habitaciones de esta planta. Esta estancia dispone de vestidor, cuarto de baño en suite con Jacuzzi- ducha y una habitación muy espaciosa con doble orientación en esquina.  En la planta inferior tenemos dos habitaciones dobles con iluminación y ventilación natural, bodega, trastero, baño completo y un espacio polivalente que se adapta a tus necesidades para montar un gimnasio, cine o un segundo salón que es como está utilizado en la actualidad.  El garaje tiene espacio para hasta cuatro coches sin hacer mucha maniobra, con una puerta de tipo seccionable accionada por mando a distancia. En esta zona tenemos cuarto de instalaciones y dos habitaciones. La parcela tiene unos 1850 m2 compuestos por dos preciosos jardines situados en la parte delantera y trasera de la parcela. Todas las zonas verdes disponen de riego por goteo con programador semanal y diario, así como iluminación nocturna. Si accedemos desde la cocina o el salón encontramos una zona cubierta para poder comer, protegida del sol estival, y una zona abierta de sofás para poder relajarse y disfrutar de la fabulosa piscina en el medio. Hay mucho espacio de césped alrededor de la misma y las vistas hacia el majestuoso jardín hace que permanecer es este espacio sea algo único.  La ubicación de la vivienda es de las mejores dentro de la urbanización pues está cercana al control de seguridad en el que",True,good,False,2708.0,True,True,False,False,[],False,False,1299900.0,€,1350000.0,50100.0,4.0,True,True,chalet,independantHouse,"Berrocales de Jarama, Paracuellos de Jarama",Casa independiente en paseo del Pago del Águila,Destacado,,,,,,
108993822,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/13/7c/60/1362109825.webp,30,288000.0,duplex,sale,95.0,3,2,calle Cinco,Madrid,El Escorial,Navalquejigo - Los Arroyos,es,40.6012514,-4.0601613,False,https://www.idealista.com/inmueble/108993822/,"En el corazón de la emblemática urbanización Los Arroyos, en El Escorial, se encuentra este exclusivo dúplex de 95 metros construidos, diseñado para ofrecer confort, estilo y funcionalidad en cada rincón. Con una orientación que garantiza luminosidad durante todo el día, esta vivienda en altura se distingue por sus acabados de calidad, su distribución inteligente y su ubicación privilegiada. Construido en 1992, el inmueble se encuentra en perfecto estado de conservación, listo para convertirse en el hogar ideal. El dúplex cuenta con tres dormitorios y dos baños completos, diseñados para satisfacer las necesidades de cualquier familia. Su salón francés, con suelos de tarima, proporciona un espacio acogedor y elegante para reuniones familiares o momentos de relajación. Además, dispone de armarios empotrados que maximizan el almacenamiento y una puerta blindada que refuerza la seguridad del hogar. Para mayor comodidad, el edificio está equipado con ascensor y un portero automático. El garaje privado incluido es un valor añadido que garantiza practicidad y seguridad para tu vehículo. La urbanización Los Arroyos es conocida por su tranquilidad y sus servicios de primera calidad. Rodeada de naturaleza y con acceso a todos los servicios necesarios, esta zona ofrece un equilibrio perfecto entre la vida urbana y el entorno rural. A menos de 10 kilómetros, se encuentra el Colegio SEK-El Castillo, una institución educativa de prestigio internacional. Para tus compras y ocio, el Centro Comercial Planetocio está a poca distancia, ofreciendo una gran variedad de tiendas, restaurantes y actividades. En cuanto al transporte público, las líneas de autobuses 661 y 664 conectan la zona con el centro de Madrid y localidades cercanas. La estación de cercanías más próxima es El Escorial, de la línea C3, mientras que el metro más cercano está en Moncloa, accesible en autobús. El Escorial, una de las zonas más exclusivas del noroeste de Madrid, combina historia, naturaleza y servicios modernos. Con su famoso Monasterio y su entorno natural protegido, vivir aquí significa disfrutar de una calidad de vida única. Además, la cercanía a la Sierra de Guadarrama ofrece múltiples actividades al aire libre, como senderismo, ciclismo y paseos relajantes. Desde 1983, GILMAR se ha dedicado a ayudar a sus clientes a encontrar la casa de sus sueños. Con un equipo de expertos en el sector inmobiliario, nuestra misión es ofrecer un servicio integral y personalizado, garantizando la satisfacción en cada operación. Si deseas más información sobre esta propiedad, por favor, facilita la referencia **212425** y contacta con nuestro equipo. Visítanos en nuestra oficina en C/ Rincón de las Heras 3 (Centro Comercial Los Valles) o llámanos al También puedes escribirnos a. ¡Estamos aquí para ayudarte!",True,good,False,3032.0,True,True,False,False,[],False,False,288000.0,€,298000.0,10000.0,3.0,True,True,flat,duplex,"Navalquejigo - Los Arroyos, El Escorial",Dúplex en calle Cinco,Destacado,FP212425,2,True,True,,
107173583,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/c6/27/b5/1311933123.webp,179,1100000.0,chalet,sale,990.0,6,8,vereda de los Sastres,Madrid,Cobeña,,es,40.5713413,-3.5049374,False,https://www.idealista.com/inmueble/107173583/,"¡IMPRESIONANTE VILLA INDEPENDIENTE EN COBEÑA! Tenemos el placer de enseñaros, este señorial inmueble situado en la zona “Pilotos” PARA REFORMAR. Una vivienda de auténtico lujo, con todo tipo de detalles que os describimos a continuación y sin dejar de mencionar, la luminosidad del mismo. : Con sus 990 m² construidos, sobre una parcela de 1.870 m², repartidos en tres plantas de la siguiente manera en la actualidad, pero con infinidad de redistribuciones para adaptarlas a vuestras necesidades y gustos. En la planta principal, encontramos un gran salón comedor con salida al porche techado, perfectamente diferenciado en dos ambientes y junto a la biblioteca. Una amplísima cocina con lavadero. Aseo para dar servicio a las estancias de esta planta y armario empotrado en el hall de entrada. Y como no, ascensor que comunica las tres plantas. En la superior, cuatro dormitorios. Todos con baño de diseño en suite y grandes armarios empotrados. El dormitorio principal, seguramente, la estancia más llamativa de todas, cuenta con dos amplios vestidores, y un baño de ensueño. Este, con bañera exenta y ducha de obra. ¡Hasta gran sala de cine! , digna de este tipo de viviendas. La planta sótano, con un total de 347 m² y salida a la piscina privada, podemos contemplar desde garaje de gran capacidad, dos dormitorios con baño en suite, vestuarios con baños incorporados, sala de calderas y trastero. Desde varias de las estancias de la vivienda, tenéis salida directa al jardín que rodea la casa. ¿increíble verdad? Cobeña se encuentra muy bien comunicada con Madrid con varias líneas de autobuses interurbanos. La principal vía de acceso son la A-1 y también la vía de circunvalación M-50. Está situada muy cerca de La Moraleja, Las Tablas, la Ciudad de Telefónica y del BBVA. Es un municipio muy tranquilo junto a un entorno natural único -La Dehesa de Cobeña- y con todos los servicios al alcance de su mano: colegios, parques, polideportivo, servicios médicos y amplia zona de tiendas, comercios y restaurantes….",True,renew,False,1111.0,True,True,False,True,[],False,False,1100000.0,€,,,,True,True,chalet,independantHouse,Cobeña,Casa independiente en vereda de los Sastres,Destacado,4565,,,,,
106654673,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/f9/b0/84/1290656201.webp,50,1680000.0,chalet,sale,720.0,7,7,Barrio Monte Rozas,Madrid,Las Rozas de Madrid,Monte Rozas,es,40.5247882,-3.9160602,False,https://www.idealista.com/inmueble/106654673/,"En el exclusivo barrio de Las Rozas, se encuentra este impresionante chalet independiente de lujo. Con una construcción de alta calidad y un diseño elegante, esta propiedad es perfecta para aquellos que buscan vivir en un entorno exclusivo y sofisticado. Con una superficie construida de 720 metros cuadrados, esta propiedad ofrece amplios espacios y una distribución funcional. Cuenta con un precioso despacho con chimenea en planta calle, aseo, zona de comedor, salón de 45m2 y una amplia cocina con office. En plata primera tenemos una zona de salón de estar, dos dormitorios que comparten un baño, un gran dormitorio principal con vestidor y baño y otro dormitorio en suite. En la zona de la buhardilla disfrutaremos de unas preciosas vistas con un gran salón con varios ambientes, dormitorio y una chimenea, haciendo una zona muy agradable todos ellos muy luminosos y con armarios empotrados.  En la zona de la bodega se encuentra un gran salón que usos múltiples haciéndole una zona de ocio muy familiar y una bonita bodega. Uno de los puntos destacados de esta propiedad es su precioso jardín con vistas panorámicas con piscina y una preciosa casa de invitados totalmente equipada con vistas al interior de la piscina. Con una parcela de 2390 metros cuadrados, los residentes podrán disfrutar de una gran variedad de espacios al aire libre, perfectos para relajarse o disfrutar de momentos en familia. También cuenta con una piscina privada y tres plazas de garaje. En cuanto a la ubicación, esta propiedad se encuentra en una zona privilegiada de Las Rozas. A menos de diez kilómetros, se encuentra el prestigioso colegio ""Colegio Internacional SEK El Castillo"", lo que la convierte en una opción ideal para familias con niños en edad escolar. Además, está cerca del centro comercial Zoco de Monte Rozas, donde se pueden encontrar una amplia variedad de tiendas, restaurantes y servicios. En cuanto a las conexiones de transporte, esta propiedad está cerca de varias estaciones de metro, como la estación de Las Matas y la estación de Pinar de las Rozas. También está cerca de las líneas de cercanías C-3 y C-8, lo que facilita el acceso al centro de Madrid y a otras áreas de la región. Además, hay varias líneas de autobuses que pasan cerca de la propiedad, lo que permite una fácil conexión con otras partes de la ciudad. El barrio de Las Rozas es conocido por su tranquilidad y su ambiente exclusivo. Está rodeado de zonas verdes y ofrece una gran calidad de vida. Además, cuenta con una amplia oferta de servicios, como supermercados, restaurantes y centros deportivos. También está cerca del Parque Regional de la Cuenca Alta del Manzanares, un lugar perfecto para disfrutar de actividades al aire libre. En resumen, este chalet independiente en Las Rozas es una verdadera joya. Con sus amplios espacios, su precioso jardín con vistas y sus acabados de alta calidad, es el hogar perfecto para aquellos que buscan una vida de lujo y elegancia. Si estás interesado en obtener más información sobre esta propiedad, no dudes en contactarnos y proporcionarnos la referencia del inmueble. Gilmar es una compañía con más de 35 años de experiencia en el mercado inmobiliario. Desde 1983, hemos estado ayudando a nuestros clientes a encontrar la casa de sus sueños. Nuestro equipo de expertos en marketing inmobiliario se dedica a ofrecer un servicio personalizado y profesional, asegurándonos de que cada cliente encuentre la propiedad perfecta para ellos. Si estás buscando una propiedad de lujo en Las Rozas o en cualquier otra parte de Madrid, no dudes en contactarnos. Estaremos encantados de ayudarte a encontrar tu hogar ideal. Puedes encontrarnos en nuestra oficina en Avda. Atenas 75, en el Centro Comercial Zoco de Monte Rozas, o llamarnos al ¡Esperamos poder ayudarte pronto!",True,good,False,2333.0,True,True,False,True,[],False,False,1680000.0,€,,,,True,True,chalet,independantHouse,"Monte Rozas, Las Rozas de Madrid",Casa independiente,Destacado,DP198731,,,,Monte Rozas,
102608307,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/d8/a2/9a/1345886174.webp,17,919000.0,flat,sale,112.0,3,3,calle de la Montera,Madrid,Madrid,Centro,es,40.4185134,-3.7037234,False,https://www.idealista.com/inmueble/102608307/,"Espaciosa propiedad junto a Gran Vía Engel & Völkers presenta esta espaciosa propiedad en el corazón de Centro. Se encuentra en un edificio clásico de 1905, en el que destaca el cuidado trabajo de forja de los balcones que presiden su fachada.  Ha sido íntegramente reformada con calidades de lujo y se ofrece completamente amueblada con muebles de diseño hechos a medida y totalmente equipada con electrodomésticos de alta gama. Traspasando el umbral, accedemos a la zona que ocupan la cocina y el comedor abierto a ella. Un espacio diáfano separado sólo visualmente por una práctica barra de desayunos, del área destinada a salón, un agradable ambiente que recibe la luz natural de dos ventanas que se abren a un luminoso patio interior.   Nuestro recorrido continúa por el pasillo distribuidor, en cuyo arranque encontramos el dormitorio de invitados y a continuación, el segundo dormitorio, con baño en suite. Ambos están dotados de espaciosos armarios de suelo a techo.  A continuación nos encontramos el baño de invitados, con ducha incluida. El dormitorio principal con baño en suite, en el que destaca una bañera exenta, además de un amplio vestidor, completan esta magnífica propiedad en la que destacan las tonalidades cálidas que encontramos no sólo en los revestimientos, sino el la mayoría de los materiales empleados en su diseño. El inmueble cuenta con calefacción individual de gas natural, aire acondicionado y una excelente iluminación mediante luces LED. Una propiedad tremendamente atractiva por sus altas calidades y su excelente ubicación, tanto para inversores como para quienes quieran vivir en la zona prime del centro de Madrid, y disfrutar de algunos de los principales centros de interés de la capital a tan sólo unos minutos. La propiedad se encuentra ubicada en una zona prime del centro de Madrid, al situarse equidistante de lugares emblemáticos de la ciudad, como la Puerta del Sol o de la Plaza de Cibeles, y muy próxima a algunas de las arterias principales de la ciudad, como la Gran Vía o la calle Alcalá. El barrio cuenta con una amplísima dotación de todo tipo de servicios. Culturalmente, nos encontramos con la Real Academia de Bellas Artes de San Fernando, el Ateneo de Madrid, el Teatro Español y el Teatro Reina Victoria, entre otros centros de interés. A nivel comercial, la oferta es inmejorable, ya que incluye desde grandes almacenes a establecimientos centenarios, sin olvidar las sucursales de la mayoría de las marcas de moda nacionales e internacionales. Todo ello sin olvidar el nuevo epicentro del lujo en la capital, el Centro Canalejas, muy próximo al inmueble. La selección de alojamientos, es igualmente amplia y comprende tanto hoteles gran lujo como alternativas más modestas. De la misma forma, la propuesta gastronómica es de lo más variada e internacional. Precisamente, aunando todos ellos, el mencionado Centro Canalejas, se encuentra a escasos metros. En materia de comunicaciones, dispone de numerosas líneas de autobuses y varias estaciones de la red de metro y de Cercanías, además de varias paradas de taxi. En definitiva, una propiedad excepcional en el centro de Madrid, para disfrutar de un lujo relajado.",True,good,False,8205.0,True,True,False,False,[],False,False,919000.0,€,,,,,,flat,,"Sol, Madrid",Piso en calle de la Montera,Destacado,W-02TEOS,3,True,True,Sol,
106125723,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/21/d1/39/1280442791.webp,52,790000.0,chalet,sale,430.0,5,5,Fontenebro - Altavista,Madrid,Collado Villalba,Fontenebro - Altavista,es,40.6532814,-3.9582841,False,https://www.idealista.com/inmueble/106125723/,"CASA INDEPENDIENTE REFORMADA CON PISCINA Y JARDIN EN FONTENEBRO Este impresionante chalet, completamente y cuidadosamente reformado en 2023, ofrece unas vistas inigualables a la sierra de Madrid y se encuentra en la exclusiva urbanización Dominio de Fuentenebro, conocida por su tranquilidad, seguridad y la cercanía a la naturaleza. Con una parcela de 4.700 m², esta propiedad se distingue por su diseño moderno, alta calidad en todos los materiales y su armonía con el entorno natural. Distribuida en dos plantas más un semisótano, la vivienda ha sido meticulosamente renovada para proporcionar el máximo confort. En la planta principal, se accede a un luminoso hall que da paso a un amplio salón de 65 m², equipado con chimenea y grandes ventanales que permiten disfrutar de las impresionantes vistas panorámicas. La cocina, completamente equipada, dispone de una zona de office y amplios armarios. Esta planta también cuenta con un despacho convertible en dormitorio, un amplio aseo de cortesía y un porche desde el que se sigue disfrutando del paisaje. En la planta superior, se encuentran tres amplios dormitorios, un baño completo, un amplio aseo adicional y el dormitorio principal con un vestidor abierto y baño en suite. Además, desde esta planta se accede a una terraza donde nos volvemos a encontrar con estas vistas espectaculares. El semisótano ofrece un espacio de entretenimiento único con una sala de billar, ideal para compartir momentos de ocio con amigos, además de un aseo de cortesía, cuarto de calderas, y un garaje con capacidad para dos coches. También dispone de un garaje interior a pie de calle, proporcionando acceso directo a la vivienda. El jardín es un verdadero oasis de tranquilidad con una variada selección de árboles como hayas, arces, robles americanos, pinos piñoneros y más. La piscina de agua salinizada y cubierta, permite disfrutar de un baño relajante durante todo el año. El sistema de riego automático, la calefacción por caldera Domusa y la instalación de fibra óptica aseguran el confort y la eficiencia en todo momento. Esta propiedad combina la tranquilidad de un entorno natural con la cercanía a la capital. La urbanización ofrece seguridad privada 24 horas, un club social con piscina y pista de tenis, así como acceso a rutas de senderismo, ciclismo y otras actividades al aire libre. En resumen, este chalet es una oportunidad única para disfrutar de una vida de lujo, confort y naturaleza, con todas las comodidades modernas y espectaculares vistas que lo hacen realmente especial. ¿Te imaginas vivir aquí?      Contacte con nosotros para ver más inmuebles similares.",True,good,False,1837.0,True,True,False,False,[],False,False,790000.0,€,840000.0,50000.0,6.0,True,True,chalet,,"Fontenebro - Altavista, Collado Villalba",Chalet,Destacado,VMO2409028,,,,,
106024601,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/76/4a/e6/1298246471.webp,35,575000.0,flat,sale,170.0,3,2,Barrio Palacio,Madrid,Madrid,Centro,es,40.4097894,-3.7130737,False,https://www.idealista.com/inmueble/106024601/,"GILMAR Consulting Inmobiliario pone a su disposición magnífica vivienda en altura, situada en el exclusivo y céntrico barrio de Palacio, en el distrito Centro de Madrid. Con entrada independiente desde la calle, esta espaciosa y elegante propiedad ofrece todas las comodidades y características que se esperan de un piso de lujo en una de las zonas más prestigiosas de la ciudad. Construido en el año 1900, este apartamento de 170 metros cuadrados cuenta con tres dormitorios principales, todos ellos con armarios empotrados, y dos baños completos. El diseño interior es moderno y sofisticado, con suelos de tarima y una luminosidad excepcional gracias a su orientación exterior. La vivienda está equipada con aire acondicionado y puerta blindada, garantizando la máxima seguridad y confort para sus residentes. Además, cuenta con la ventaja de tener entrada de servicio, lo que facilita el acceso y la comodidad en el día a día. El barrio de Palacio es conocido por su rica historia y su arquitectura impresionante. A pocos minutos a pie se encuentra el emblemático Palacio Real de Madrid, así como la Catedral de la Almudena y la Plaza Mayor. Además, la zona ofrece una amplia variedad de restaurantes, tiendas y servicios, lo que hace que sea un lugar ideal para aquellos que buscan disfrutar de la vida urbana en su máxima expresión. En cuanto a la oferta educativa, el inmueble se encuentra a poca distancia de varios colegios de renombre, entre ellos destaca el Colegio San Ildefonso. También cuenta con excelentes conexiones de transporte, con varias líneas de metro, cercanías y autobuses cercanas. El centro comercial más cercano es el Centro Comercial Príncipe Pío, que ofrece una amplia gama de tiendas, restaurantes y cines. En resumen, esta vivienda en altura en el barrio de Palacio es una oportunidad única para aquellos que buscan un hogar de lujo en una ubicación privilegiada en el corazón de Madrid. No pierdas la oportunidad de vivir en una de las zonas más exclusivas de la ciudad. Gilmar es una reconocida compañía inmobiliaria que lleva desde 1983 ayudando a sus clientes a encontrar la casa de sus sueños. Con una amplia experiencia en el mercado inmobiliario, Gilmar se enorgullece de ofrecer un servicio personalizado y de calidad a sus clientes. Si deseas obtener más información sobre esta propiedad, no dudes en contactar con nuestro equipo en la oficina de Gilmar en la Plaza de Herradores, 4. Puedes llamarnos al o enviarnos un correo electrónico a. Recuerda facilitarnos la referencia de la propiedad (200970) para que podamos proporcionarte toda la información que necesitas. Estaremos encantados de ayudarte a encontrar tu nuevo hogar.",True,good,False,3382.0,True,True,False,False,[],False,False,575000.0,€,,,,,,flat,,"Palacio, Madrid",Piso,Destacado,JL200970,bj,True,False,Palacio,
108248824,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/dd/f6/0d/1345693533.webp,37,2998000.0,flat,sale,400.0,6,5,calle de la Dalia,Madrid,La Moraleja,El Soto de la Moraleja,es,40.5186581,-3.6463932,False,https://www.idealista.com/inmueble/108248824/,"Magnífica vivienda en la urbanización más prestigiosas y selecta de La Moraleja, con seguridad 24 horas y una parcela preciosa, ajardinada, de casi una hectárea con 3 piscinas.   Es una propiedad representativa, de 400 m2 construidos, lo que ya de entrada la hace excepcional porque hay muy pocos pisos de esta dimensión en la Moraleja. Se distribuye en salón de 130 m2, con diversos ambientes y una sala de estar climatizada con preciosas vistas al jardín y sol de mañana. La terraza está acristalada con vidrios sin carpintería, lo que hace que sea completamente transparente, fácilmente plegable y desmontable, pudiéndola disfrutar tanto en verano como en invierno. Cuenta con un comedor independiente situado entre el salón y la cocina, también exterior y con una terraza con la barbacoa de obra del proyecto original. Tiene un amplio despacho con librería a medida que podría ser dormitorio con salida a la terraza. Hay, además, otros tres dormitorios, el principal en suite con un cuarto de baño con bañera de hidromasaje, una ducha independiente y dos cabinas para los inodoros. Todos tienen terraza. La zona de vestidor cuenta con numerosísimos armarios completamente vestidos. Junto a la cocina se encuentra el cuarto de servicio con su baño, la zona de lavado y la despensa (con dos vinotecas). El aseo de cortesía tiene acceso desde el vestíbulo. Está orientada al sureste y al noroeste.  La calefacción es comunitaria por suelo radiante en toda la casa. Además, cuenta con una instalación individual e independiente de la comunidad, para refrigeración y calefacción mediante bomba frío-calor. Cada estancia se puede regular independientemente. Las persianas son motorizadas, blindadas, con magnéticos y volumétricos. Son anejos a la vivienda un bungalow, de unos 30 m2, climatizado, y que tiene dos ventanas y las instalaciones para poder incluir un cuarto de baño completo y ser un cuarto de invitados o de servicio (sería el 6º dormitorio y el 5º baño, aunque actualmente se utiliza como cuarto de armarios). Y tres plazas de garaje cada una con armarios para almacenaje. La urbanización cuenta con seguridad 24 horas, tiene un elegante portal representativo, con materiales nobles como la piedra, la madera y el bronce, sin un solo escalón (por lo que es ideal para carritos y movilidad reducida). Son solo 13 vecinos lo que la convierte en todavía más exclusiva y privada. Con dos ascensores para acceso principal con un ascensor y de servicios con el montacargas. El jardín es espectacular, con árboles centenarios, lilas, camelias, palmeras y las piscinas.  Es un remanso de paz donde sólo se escuchan los pájaros, ideal para familias que buscan privacidad, amplitud, tranquilidad y exclusividad.",True,good,False,7495.0,True,True,False,False,[],False,False,2998000.0,€,,,,True,True,flat,,"El Soto de la Moraleja, La Moraleja",Piso en calle de la Dalia,Destacado,3248-24775,3,True,True,,
105953428,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/ce/9a/b2/1269296227.webp,24,315000.0,flat,sale,61.0,2,1,calle de los Tres Peces,Madrid,Madrid,Centro,es,40.4087307,-3.699208,False,https://www.idealista.com/inmueble/105953428/,"Gilmar Consulting Inmobiliario presenta para sus clientes de distrito centro de Madrid una gran oportunidad para vivir o invertir en Lavapies. Te presentamos una oportunidad única de inversión: este luminoso piso exterior, listo para entrar a vivir, está generando altas rentabilidades y es perfecto para quienes buscan una inversión rentable y segura. Con 61 m², y situado en la planta baja del edificio, este inmueble bien distribuido cuenta con dos dormitorios y un baño completo, ideal para inquilinos que buscan un hogar cómodo y funcional. La luz natural llena cada rincón de la vivienda gracias a su orientación exterior, creando un ambiente cálido y agradable. La propiedad está ubicada en una zona estratégica, con acceso fácil a todos los servicios esenciales y conexiones de transporte, lo que la convierte en una opción muy atractiva para los arrendatarios. Además, al estar listo para entrar a vivir, no requiere ningún tipo de reforma ni inversión adicional, lo que te permite empezar a generar ingresos desde el primer día. Esta es una gran oportunidad tanto para inversores como para quienes buscan su nuevo hogar, ya que combina comodidad, luminosidad y una excelente rentabilidad. ¡No esperes más! Llámanos ahora mismo y sé el primero en descubrir esta increíble oportunidad en el centro de Madrid. Gilmar Consulting Inmobiliario está aquí para hacer realidad tus deseos de tener el hogar ideal. Trabajamos para ofrecer a nuestros clientes los mejores inmuebles desde hace 40 años. Cubrimos todas las necesidades inmobiliarias: viviendas, oficinas, locales comerciales, solares, fincas rústicas, terrenos para construir. Disponemos de más de 30 equipos especializados en distintas zonas al servicio de más de 90.000 clientes nacionales e internacionales, que cuentan con asesoramiento necesario para garantizar su seguridad, eficacia jurídica y la mejor rentabilidad financiero-fiscal. -Arganzuela (Acacias, Delicias, Legazpi, Palos de Moguer, Chopera, Imperial). - Centro (Lavapiés).",True,good,False,5164.0,True,True,False,False,[],False,False,315000.0,€,,,,,,flat,,"Lavapiés-Embajadores, Madrid",Piso en calle de los Tres Peces,Destacado,VP200983,bj,True,False,Lavapiés-Embajadores,
108454900,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/ab/52/7b/1348692462.webp,48,640000.0,chalet,sale,253.0,5,2,calle Sauce,Madrid,Navalafuente,,es,40.820801,-3.6557392,False,https://www.idealista.com/inmueble/108454900/,"GILMAR Zona Norte presenta, EN EXCLUSIVA, un precioso chalet con piscina, barbacoa y orientación sur en la mejor urbanización de Navalafuente, El Chaparral. El chalet se asienta en un terreno de 2.800 m2 que puede segregarse en 2 PARCELAS independientes.  Además cuenta con LICENCIA DE USO TURÍSTICO.  La vivienda ha sido reformada en 2025 cambiando instalaciones, reforzando paramentos y dejándola prácticamente a estrenar. Además dispone de conexión a internet de alta velocidad a través de FIBRA óptica. El chalet mantiene la esencia de lo tradicional mezclado con lo moderno configurando una vivienda con mucho encanto perfecta para disfrutarla los fines de semana o como residencia habitual en el marco de la naturaleza en el estado más puro. La vivienda dispone de un precioso salón con chimenea, un despacho también con chimenea, cocina abierta al salón, cinco dormitorios y dos cuartos de baño. La calefacción es a través de caldera de pellets lo que se traduce en un bajísimo coste.  El Chaparral es un urbanización cerrada, con videovigilancia y control de accesos, dotada de zonas deportivas (campo de fútbol, cancha basket/tenis) y amplias zonas verdes desde las que planificar senderismo o rutas en bici hasta La Cabrera, Guadalix de la Sierra o Bustarviejo, entre otras. Hay un autobús a Madrid en la entrada de la urbanización. Navalafuente es un municipio situado al norte de Madrid, al pie del Alto del Pendón, ubicado en la ladera sur de las estribaciones de la Sierra de Guadarrama. En Navalafuente prestan servicio dos líneas de autobús. Una de ellas, tiene como inicio de línea el intercambiador de Plaza de Castilla. Dispone de una escuela infantil pública y además hay un colegio de una línea de educación primaria. También dispone de un polideportivo municipal. En Gilmar trabajamos para ofrecer a nuestros clientes las mejores propiedades, con equipos especializados en cada zona para proporcionarles la mejor respuesta a su necesidad de vivienda o inversión, cuidando al máximo los detalles y logrando la excelencia.",True,good,False,2530.0,True,True,False,False,[],False,False,640000.0,€,,,,,,chalet,independantHouse,Navalafuente,Casa independiente en calle Sauce,Destacado,CG210904,,,,,
