propertyCode,thumbnail,numPhotos,floor,price,propertyType,operation,size,exterior,rooms,bathrooms,address,province,municipality,country,latitude,longitude,showAddress,url,description,hasVideo,status,newDevelopment,hasLift,priceByArea,hasPlan,has3DTour,has360,hasStaging,notes,topNewDevelopment,topPlus,priceInfo.price.amount,priceInfo.price.currencySuffix,detailedType.typology,suggestedTexts.subtitle,suggestedTexts.title,highlight.groupDescription,externalReference,parkingSpace.hasParkingSpace,parkingSpace.isParkingSpaceIncludedInPrice,detailedType.subTypology,district,neighborhood,priceInfo.price.priceDropInfo.formerPrice,priceInfo.price.priceDropInfo.priceDropValue,priceInfo.price.priceDropInfo.priceDropPercentage
108515721,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/33/47/85/1347214763.webp,19,1,189000.0,flat,sale,71.0,True,2,1,"calle Las Fraguas, 110",Madrid,Guadarrama,es,40.6745045,-4.0886653,True,https://www.idealista.com/inmueble/108515721/,"Agencia inmobiliaria de GUADARRAMA zona GUADARRAMA Oficina HOGARES GUADARRAMA: EN VENTA: ESPECTACULAR PISO EN EL CENTRO DEL PUEBLO, cercano a zonas verdes, colegios, parada de autobús, etc… Se vende excelente piso en primera planta, ubicado en el casco urbano de Guadarrama, a un paso de todos los servicios y junto al parking municipal donde se instala el conocido mercadillo semanal. La vivienda fue totalmente reformada hace 3 años y se encuentra en perfecto estado, lista para entrar a vivir. Distribución: 2 dormitorios con armarios empotrados 1 baño completo Cocina amplia y muy cómoda Salón comedor amplio y muy luminoso  Reforma integral reciente: suelos, cocina, baño e instalaciones actualizadas. Ubicación inmejorable: céntrica, con fácil aparcamiento y todos los servicios al alcance. Orientación luminosa y entorno tranquilo. Ideal como vivienda habitual o inversión, con alta demanda de alquiler en la zona. La vivienda cuenta con TRASTERO incluido en el precio. Nuestra trayectoria en el sector nos hace ser LIDERES en el municipio de Guadarrama, por lo que anticípese y no pierda esta oportunidad, no durara mucho a la venta! No duden en ponerse en contacto con nosotros para poder ver la vivienda. No se quedes sin ella! ""JUNTOS HACEMOS HORAGES"" Posdata: NO se olvide de consultar por nuestras condiciones de FINANCIACIÓN hasta el 100%, por nuestro departamento FinanHogar! déjese asesorar por los profesionales. Este anuncio no es vinculante, puede contener errores. Se muestra a título informativo y no contractual.",True,good,False,False,2662.0,True,False,True,False,[],False,False,189000.0,€,flat,Guadarrama,"Piso en calle Las Fraguas, 110",Destacado,,,,,,,,,
108984476,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/95/04/ff/1360881975.webp,21,1,319900.0,duplex,sale,105.0,True,3,2,"calle Marqués de Santillana, 144",Madrid,Guadarrama,es,40.6729951,-4.0847009,True,https://www.idealista.com/inmueble/108984476/,"EN VENTA: ESPECTACULAR PISO DÚPLEX EN GUADARRAMA, cercano a zonas verdes, colegios, parada de autobús, etc… Ponemos a tu disposición este magnífico piso tipo dúplex situado en una de las zonas más cotizadas de Guadarrama, ideal para quienes buscan confort, amplitud y una ubicación estratégica. Rodeado de todos los servicios esenciales, supermercados, colegios, comercios, zonas verdes y excelente comunicación con transporte público, este hogar combina tranquilidad con funcionalidad. La vivienda se encuentra en perfecto estado de conservación, completamente lista para entrar a vivir. Se distribuye en dos plantas, con una organización muy cómoda y práctica: Planta principal: Salón-comedor amplio y luminoso, perfecto para crear un espacio acogedor de convivencia y descanso. Cocina independiente, y espacio de almacenamiento más que suficiente. Aseo, moderno y funcional. Planta superior: Tres dormitorios, todos con armarios empotrados y buena iluminación. Segundo baño completo, muy cómodo para uso independiente. La vivienda dispone de plaza de GARAJE y TRASTERO incluida en el precio, lo que aporta un valor añadido importante en la zona. Todo ello en una urbanización tranquila, con vecinos estables y buen ambiente residencial. Una vivienda ideal tanto para familias como para profesionales que quieran disfrutar del entorno natural de Guadarrama sin renunciar a la comodidad del día a día. Este anuncio no es vinculante, puede contener errores. Se muestra a título informativo y no contractual.",True,good,False,False,3047.0,True,False,True,False,[],False,False,319900.0,€,flat,Guadarrama,"Dúplex en calle Marqués de Santillana, 144",Destacado,MARQUES,True,True,duplex,,,,,
108616358,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/52/af/e5/1350267574.webp,49,,599000.0,chalet,sale,231.0,,4,4,calle del Licenciado Vidriera,Madrid,Alpedrete,es,40.6480113,-4.0291814,False,https://www.idealista.com/inmueble/108616358/,"CAPITAL HOME ALPEDRETE VENDE CHALET PAREADO EN LA URBANIZACIÓN LOS LLANOS, EN CONCRETO, EN EL RESIDENCIAL LONDRES.  Nos encontramos en la urbanización Los Llanos, concretamente, en una promoción más reciente llamada residencial Londres. La vivienda, del año 2005, cuenta con una superficie de parcela de 502m2; sobre la misma se ha edificado una construcción de 231m2, compuesta por hall recibidor, cocina completa, un gran salón, garaje, aseo de cortesía, tres dormitorios en planta baja, dos baños completos, uno de ellos en suite, y en la planta superior, una habitación, un baño completo con bañera y un salón con salida directa a una terraza. la vivienda cuenta con orientación este, oeste y sur.  Se distribuye de la siguiente manera; Accedemos por la entrada peatonal, encontramos un espacio de jardín delantero y lateral con orientación sur-oeste, ideal para disponer cualquier actividad de ocio o relax. Seguidamente, accedemos al interior a través del hall recibidor, amplio, con armario empotrado, que da acceso en primer lugar a la cocina, simétrica, con mucho espacio de almacenamiento y zona de trabajo, permite disponer de un comedor de diario ideal para el día a día.  A continuación, accedemos al salón-comedor, con techos muy altos, con dos espacios bien diferenciados, de ocio y de descanso, éste último con salida directa al jardín, con orientación sur-este, ideal para eventos en familia o con amigos, se puede disponer una piscina sin problema y con un potencial excelente.  Seguidamente, retrocediendo al hall de entrada, ubicamos el área de descanso, compuesta por dos dormitorios dobles, a los cuales les complementa un baño completo con bañera, y la suite principal con baño incorporado con plato de ducha. En la planta superior, la cual es muy versátil y con muchas posibilidades, se distribuye en una habitación, baño completo y un salón, ideal como área de ocio o trabajo con salida directa a la terraza. Todas las habitaciones cuentan con armarios empotrados.  En cuanto a características de la vivienda; Año de construcción 2005, 231m2 construidos en dos plantas, calefacción individual de gas natural con caldera cambiada hace 6 años, bombas de frio-calor en ambos salones y dormitorio principal, carpintería exterior de PVC vinilada en madera, carpintería interior de madera de pino, suelos de madera laminada en planta baja y porcelánicos en cocina, baños y planta primera, pintura en gotelé, orientación sur-este y sur-oeste, fachada de monocapa y chapado de piedra. Por ultimo, en cuanto a servicios cercanos podemos ubicar a menos de 2km un Mercadona, Supermercados Día, BM y comercios del municipio, además de todos los servicios escolares como el Peralejo, Santa Quiteria, Clara Campoamor, IES Alpedrete y el Montessory School. Servicios de transporte encontramos el Cercanías Renfe de Alpedrete a 2km líneas C8 y en la entrada de la misma urbanización la parada de autobús con las líneas 681, 683 y 685.",True,good,False,,2593.0,True,False,True,False,[],False,False,599000.0,€,chalet,Alpedrete,Chalet pareado en calle del Licenciado Vidriera,Destacado,,True,True,semidetachedHouse,,,,,
108745486,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/96/21/01/1353874296.webp,38,1,289900.0,flat,sale,215.0,True,5,2,calle de Antón,Madrid,Moralzarzal,es,40.6804166,-3.9668166,False,https://www.idealista.com/inmueble/108745486/,"¡INMOBILIARIA HOGARES TIENE EL PLACER DE PRESENTAR EN EXCLUISVA ESTUPENDO PISO EN EL CORAZON DE MORALZARZAL! La vivienda se encuentra en pleno centro del municipio, teniendo así a su alcance todo tipo de servicios, como, supermercados, farmacias, centro de salud, transporte público, pequeños comercios, colegios e institutos, centros de ocio, bares y restaurantes, fácil acceso a las carreteras principales… El inmueble cuenta con una gran terraza perfecta para disfrutar del buen tiempo al aire libre.  Una vez en el interior del mismo, a mano izquierda, encontramos el amplio y luminoso salón-comedor con chimenea. Continuando por el pasillo distribuidor, a mano izquierda, veremos la cocina, con espacio de almacenaje, zona de comedor y acceso directo a la terraza trasera. Una vez nos adentramos en la zona de los dormitorios Amplio Piso en el Corazón de Moralzarzal Este piso de 215 m² es una excelente oportunidad en el centro de Moralzarzal, Madrid. Con un luminoso salón de 50 m² con chimenea, una amplia cocina de 35m², 5 amplias habitaciones y 2 baños, es ideal para familias o aquellos que buscan espacio y comodidad. Características destacadas: Terrazas privadas: Disfruta del aire libre en las dos terrazas, perfectas para relajarte o compartir momentos con amigos y familia.  Ubicación céntrica: Rodeado de servicios, tiendas y transporte público, vivir aquí es sinónimo de comodidad. No pierdas la ocasión de adquirir este piso en Moralzarzal. Para más detalles o concertar una visita, ¡contáctanos hoy mismo! ¡FINANCIACIÓN AL 100% Y ESTUDIO FINANCIERO GRATUITO SIN COMPROMISO!",True,good,False,False,1348.0,True,False,True,False,[],False,False,289900.0,€,flat,"Zona Iglesia - Estación, Moralzarzal",Piso en calle de Antón,Destacado,,,,,Zona Iglesia - Estación,,,,
108921297,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/ff/06/71/1358989793.webp,19,bj,229900.0,flat,sale,88.0,True,3,2,"calle Monteleón, 11",Madrid,Guadarrama,es,40.6767703,-4.0861278,True,https://www.idealista.com/inmueble/108921297/,"EN VENTA: ESPECTACULAR PISO BAJO EN URBANIZACION MONTELEON, cercano a zonas verdes, colegios, parada de autobús, etc… Espectacular Piso en planta Baja semi reformado con terraza, se distribuye de la siguiente forma: Entrada recibidor dando paso a la cocina y caldera de gas natural nueva, dando paso al salón comedor, con chimenea totalmente reformada con cassette con salidas de difusión del calor, acceso a la bonita terraza acristalada y bonitas vistas a los jardines.  Desde el mismo salón podemos acceder a la zona de habitaciones con tres amplias habitaciones y dos cuartos de baños, ambos con plato de ducha. Cuanta además con una reforma en la que se cambiaron suelos, electricidad y fontanería de la vivienda. La Urbanización Monteleón una de las mejores y la mas demandada por su cercanía al centro del municipio, sin tener que mover los vehículo, con preciosos jardines muy cuidados para disfrutar en familia y piscinas. CONSULTE TAMBIEN LAS CONDICIONES de FINANCIACIÓN 100%. No dudes en ponerte en contacto con nosotros para poder visitar la vivienda, sin compromiso adaptándonos a sus necesidades ""JUNTOS CREAMOS HOGARES"". Este anuncio no es vinculante, puede contener errores. Se muestra a título informativo y no contractual.",True,good,False,True,2613.0,True,False,True,False,[],False,False,229900.0,€,flat,Guadarrama,"Piso en calle Monteleón, 11",Destacado,monteleon,,,,,,,,
109113497,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/f7/1c/b0/1364738881.webp,53,,790000.0,chalet,sale,276.0,,5,4,avenida Sombra de la Torre,Madrid,Paracuellos de Jarama,es,40.5097672,-3.5186131,False,https://www.idealista.com/inmueble/109113497/,"Tu nuevo hogar en la zona más valorada de Miramadrid te está esperando Te presentamos este maravilloso chalet pareado en el que el espacio, la luz y la tranquilidad se combinan a la perfección. Con una superficie construida de 276 m² y situado en una parcela de 398 m², es mucho más que una vivienda: es el escenario ideal para tu nueva vida. Comenzamos por la planta baja pensada para compartir, con un luminoso salón, cocina de concepto abierto completamente equipada, comedor, aseo y despensa. Esta planta cuenta con suelo de microcemento. La primera planta cuenta con 4 amplias habitaciones: el dormitorio principal con baño privado, dos dormitorios y una cuarta habitación que actualmente hace las funciones de cuarto de lavandería y planchado desde el que se tiene acceso a una estupenda terraza. Así mismo en esta planta se encuentra un segundo baño que da servicio al resto de habitaciones. En la planta bajo cubierta disponemos de un gran dormitorio con vestidor, un amplio baño dotado de jacuzzi y plato de ducha y un espacio extra ideal como trastero o vestidor. Además, la vivienda cuenta con garaje cubierto junto con un práctico trastero. La amplitud y privacidad del jardín harán que lo conviertas en el espacio perfecto de la casa. Situado en una de las zonas más valoradas de Paracuellos, donde la tranquilidad convive con la cercanía a todos servicios como zona comercial, espacios verdes, áreas infantiles, instalaciones deportivas, carril bici… además de contar con unas preciosas vistas de Madrid. Este chalet no es solo una casa. Es el lugar donde crearás recuerdos, celebrarás momentos y disfrutarás de la vida como siempre soñaste. Con unas comunicaciones excelentes. En transporte privado también posee diferentes posibilidades (M-40, M-11, A-2, M-50, A-1) y una conexión directa a Barajas. ¡No pierdas la oportunidad de visitarlo! En los precios de venta no están incluidos impuestos legales ni gastos de escrituración.",True,good,False,,2862.0,True,False,True,False,[],False,False,790000.0,€,chalet,"Miramadrid, Paracuellos de Jarama",Chalet pareado en avenida Sombra de la Torre,Destacado,EP2272,True,True,semidetachedHouse,Miramadrid,,,,
109093300,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/ed/20/d1/1364161538.webp,26,5,490000.0,flat,sale,112.0,True,4,2,Barrio San Pascual,Madrid,Madrid,es,40.4421591,-3.65679,False,https://www.idealista.com/inmueble/109093300/,"Magnifica vivienda muy confortable y luminosa en 5ª planta, esquina a tres fachadas Norte - Este - Sur, con mucha entrada de luz natural durante todo el día, muy bien situada en el barrio de San Pascual frente a NOVOTEL M30, entre el Parque de las Avenidas y la calle de Arturo Soria.  Vivienda de 112m² / 102m² construida en 1981, admite una reforma integral, para personalizar según sus necesidades.  Actualmente esta distribuida en un luminoso salón de 22m² orientado a la Avda. de Badajoz, cocina amueblada de 10m ² con salida directa a terraza / tendero - 4m² con caldera individual de gas natural para agua caliente y calefacción, cuarto de estar independiente de 6m² con salida a terraza, cuatro dormitorios exteriores y 2 cuartos de baño completos.  Dispone de una plaza de aparcamiento en superficie, en el aparcamiento exclusivo de la comunidad de vecinos. Zona muy consolidada con todos los servicios necesarios cercanos, colegios públicos y privados como Liceo francés, San José del Parque, Ramon y Cajal, etc. , parques y jardines Parque de las Avenidas, Parque Calero, centro comercial Arturo Soria Plaza, centros de salud San Pascual, VITHAS Nuestra Sra. de América, clínica Belén, etc. y próximo al Polideportivo de La Concepción.  Muy bien situada con por transporte publico y privado, linea 7 Metro Barrio de La Concepción y Parque de las Avenidas, y numerosas paradas de autobuses urbanos y muy rápidos accesos a la M30, a nacional A-2 y a la Avenida de América. En definitiva una magnifica inversión en calidad de vida.",True,renew,False,True,4375.0,True,False,True,False,[],False,False,490000.0,€,flat,"San Pascual, Madrid",Piso,Destacado,PR99559518,True,True,,Ciudad Lineal,San Pascual,,,
108657007,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/df/15/37/1351291688.webp,33,1,319000.0,flat,sale,89.0,True,3,1,Urbanizacion Los Valles,Madrid,Collado Villalba,es,40.639083,-4.0113739,False,https://www.idealista.com/inmueble/108657007/,"¡INMOBILIARIA HOGARES TIENE EL PLACER DE PRESENTAR EN EXCLUSIVA ESTUPENDO PISO DE TRES DORMITORIOS EN VILLALBA PUEBLO! Piso completamente reformado, listo para entrar a vivir, ubicado en una urbanización con amplias zonas comunes. La vivienda cuenta con 3 habitaciones, todas con buena iluminación natural, una cocina moderna y totalmente equipada, un baño funcional y elegante, renovado con materiales de alta calidad y terraza. Entre sus atractivos principales destacan las completas instalaciones comunitarias: piscina, pista de tenis y pádel, restaurante dentro de la urbanización, y extensas zonas verdes ideales para pasear o relajarse al aire libre. Preinstalación de aire acondicionado  ¡NO ESPERE MÁS Y CONVIERTA ESTA VIVIENDA EN SU NUEVO HOGAR! Para obtener más información o programar una visita, contáctenos o visite nuestra página web. Nuestro equipo estará encantado de ayudarle y mostrarle todas las ventajas y comodidades que esta propiedad tiene para ofrecer. ¡FINANCIACIÓN AL 100% Y ESTUDIO FINANCIERO GRATUITO Y SIN COMPROMISO!",True,good,False,True,3584.0,True,False,True,False,[],False,False,319000.0,€,flat,"Los Valles, Collado Villalba",Piso en Urbanizacion Los Valles,Destacado,,,,,Los Valles,,,,
108942493,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/b2/bd/19/1359613064.webp,65,2,670000.0,flat,sale,162.0,True,3,2,avenida de los Quiñones,Madrid,San Sebastián de los Reyes,es,40.5648794,-3.6132328,False,https://www.idealista.com/inmueble/108942493/,"PRIMER NIVEL INMOBILIARIA ofrece en exclusiva maravillosa vivienda en una exclusiva urbanización de San Sebastián de los Reyes.  Se distribuye en: salón con terraza descubierta de unos 12 metros aproximadamente, hall distribuidor, cocina, equipada con office y terraza tendedero cubierta y 3 dormitorios, incluyendo un dormitorio principal con vestidor y baño en suite.  Esta dotada de primeras calidades en suelos y baños, con alicatados en mármol, puertas de roble, paredes lisas, calefacción suelo radiante en toda la casa, caldera de condensación de apenas 6 meses de uso y control domótico, ventanas dobles PVC climalit oscilobatientes y aire acondicionado por conductos en toda la vivienda. Tiene plaza de garaje y trastero incluidos en el precio.  La urbanización cuenta con conserje 24h, piscina de verano, piscina de invierno cubierta, baño turco, pista de pádel, parque infantil y gimnasio. Magnifica comunicación con servicios, colegios, supermercados, restaurantes, Factory Outlet, Hospital Infanta Sofia, metro, autobuses, comunicación con la nacional A-1, entre otros. Si necesitas financiación, contacta con nosotros y nuestro equipo financiero te asesorará sin compromiso. ¡Más de 20 años nos avalan consiguiendo las mejores condiciones hipotecarias del mercado!",True,good,False,True,4136.0,True,False,True,False,[],False,False,670000.0,€,flat,"Dehesa Vieja-Puente Cultural, San Sebastián de los Reyes",Piso en avenida de los Quiñones,Destacado,25-046,True,True,,Dehesa Vieja-Puente Cultural,,,,
108632368,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/61/6d/b6/1350518948.webp,18,1,325000.0,flat,sale,128.0,True,2,2,CL CONCHA NUÑEZ,Madrid,El Escorial,es,40.5953462,-4.1287791,False,https://www.idealista.com/inmueble/108632368/,"¡Descubre tu nuevo hogar! Este espectacular piso de 128 m², ubicado en una zona privilegiada, ofrece un estilo de vida cómodo y moderno. Con 2 amplios dormitorios y 2 baños, este espacio es ideal para familias o para aquellos que buscan un lugar con espacio adicional. La cocina con office es perfecta para disfrutar de momentos culinarios, mientras que la pequeña terraza te permitirá relajarte al aire libre. El piso se encuentra en excelente estado y se puede vender con o sin muebles, adaptándose a tus necesidades. Además, cuenta con armarios empotrados, trastero y plaza de garaje, lo que añade un gran valor a la propiedad. La luminosidad es uno de sus puntos fuertes, gracias a su orientación Norte y Este. Imagina disfrutar de los días de verano en la piscina o pasear por el jardín. La ubicación es inmejorable, a solo 1 minuto de un centro comercial y paradas de autobús, y a 10 minutos de la estación de Renfe. Este edificio, construido en 2005, tiene acceso adaptado para personas con movilidad reducida y cuenta con ascensor. ¡No dejes pasar esta oportunidad y ven a visitarlo!",True,good,False,True,2539.0,True,False,True,False,[],False,False,325000.0,€,flat,"Jardín de los Reyes - Parque Real, El Escorial",Piso en CL Concha Nuñez,Destacado,06530,True,True,,Jardín de los Reyes - Parque Real,,,,
