propertyCode,thumbnail,numPhotos,floor,price,propertyType,operation,size,exterior,rooms,bathrooms,address,province,municipality,district,country,neighborhood,latitude,longitude,showAddress,url,description,hasVideo,status,newDevelopment,hasLift,priceByArea,hasPlan,has3DTour,has360,hasStaging,notes,topNewDevelopment,topPlus,priceInfo.price.amount,priceInfo.price.currencySuffix,detailedType.typology,detailedType.subTypology,suggestedTexts.subtitle,suggestedTexts.title,highlight.groupDescription,externalReference,priceInfo.price.priceDropInfo.formerPrice,priceInfo.price.priceDropInfo.priceDropValue,priceInfo.price.priceDropInfo.priceDropPercentage,parkingSpace.hasParkingSpace,parkingSpace.isParkingSpaceIncludedInPrice,parkingSpace.parkingSpacePrice,newDevelopmentFinished
107696256,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/82/16/19/1324521168.webp,41,5,410000.0,penthouse,sale,45.0,True,1,1,calle de Pizarro,Madrid,Madrid,Centro,es,Malasaña-Universidad,40.4236083,-3.704905,False,https://www.idealista.com/inmueble/107696256/,"Ático tríplex exclusivo en Malasaña con terraza y vistas espectaculares a todo el centro de Madrid. Ubicado en la emblemática Calle Pizarro, en pleno corazón del vibrante barrio de Malasaña, este ático de 1 dormitorio es una joya que combina comodidad, estilo y una ubicación privilegiada. Perfecto para quienes buscan un hogar en uno de los barrios más bohemios y dinámicos de Madrid. Características principales: Dormitorio con armario empotrado: Espacioso y funcional, ideal para mantener todo organizado. Aseo y ducha independientes: Diseñados para ofrecer confort y privacidad. Terraza privada: disfruta de unas vistas panorámicas únicas de Madrid, perfectas para relajarte o recibir invitados. La orientación de la terraza es sur. Espacios acogedores: El diseño del ático maximiza la luz natural, creando un ambiente cálido y agradable en cada una de las estancias. Beneficios de vivir en Malasaña: Malasaña es mucho más que un barrio; es un estilo de vida. Conocido por su ambiente bohemio y creativo, ofrece una mezcla perfecta de historia, modernidad y cultura. Vivir aquí significa estar rodeado de calles llenas de vida, arte urbano, tiendas vintage, cafeterías únicas y una oferta gastronómica inigualable. Además, su excelente conexión con el transporte público te permite moverte fácilmente por toda la ciudad. La Calle Pizarro goza de una ubicación estratégica dentro del barrio. A pocos pasos encontrarás lugares icónicos como la Plaza Dos de Mayo o la Gran Vía, además de supermercados, mercados locales y espacios culturales. Todo esto hace que este ático sea ideal tanto para jóvenes profesionales como para parejas que deseen disfrutar del encanto madrileño desde un lugar privilegiado. No pierdas esta oportunidad única. ¡Contáctanos para más información o para programar una visita! Mimaison, amor por las casas desde 1995.",True,good,False,True,9111.0,True,False,True,False,[],False,False,410000.0,€,flat,penthouse,"Malasaña-Universidad, Madrid",Ático en calle de Pizarro,Destacado,,,,,,,,
107932852,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/a1/58/c6/1335106452.webp,26,6,945700.0,flat,sale,135.0,False,2,2,paseo de la Castellana,Madrid,Madrid,Tetuán,es,Cuzco-Castillejos,40.4573609,-3.6893784,False,https://www.idealista.com/inmueble/107932852/,"¡Descubre tu nuevo hogar en el corazón de Madrid! Este espectacular piso de 135 m² construidos y 123 m² útiles te ofrece todo lo que necesitas para disfrutar de una vida cómoda y moderna. Con dos amplias habitaciones y dos baños, es perfecto tanto para parejas como para familias que buscan un espacio acogedor y funcional. La cocina, completamente equipada, se convierte en el lugar ideal para preparar deliciosas comidas y compartir momentos inolvidables. Ubicado en uno de los mejores barrios de la capital, este inmueble te brinda un emplazamiento inmejorable. Imagina despertar cada mañana en un entorno vibrante y lleno de vida, con todos los servicios a tu alcance. La orientación este garantiza que disfrutes de luz natural durante la mayor parte del día, creando un ambiente cálido y acogedor en cada rincón de tu nuevo hogar. Situado en la sexta planta de un edificio con ascensor, este piso de segunda mano se encuentra en buen estado, listo para que lo personalices a tu gusto. No pierdas la oportunidad de vivir en una de las zonas más deseadas de Madrid. ¡Ven a visitarlo y enamórate de tu futuro hogar!",False,good,False,True,7005.0,True,False,True,False,[],False,False,945700.0,€,flat,,"Cuzco-Castillejos, Madrid",Piso en paseo de la Castellana,Destacado,3454-07127,,,,,,,
107755113,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/12/f8/a4/1322373782.webp,26,bj,549900.0,flat,sale,89.0,False,3,1,calle de Fernán González,Madrid,Madrid,Retiro,es,Ibiza,40.4186281,-3.6769936,False,https://www.idealista.com/inmueble/107755113/,"Redpiso Retiro ofrece este magnífico piso reformado, Cuenta con 89 m², 3 dormitorios, 1 baño amplio, cocina independiente, salón - comedor, Patio amplio y recibe luz natural durante el día, creando un ambiente cálido y acogedor.  El edificio cuenta con servicio de portería física y está estratégicamente ubicado a pocos metros del Parque del Retiro, así como de hospitales como el Gregorio Marañón y el Niño Jesús.  conexiones de transporte público, estación de metro Ibiza, y rodeada de todos los servicios necesarios.  Oportunidad ideal para disfrutar de uno de los mejores barrios de Madrid.  Contáctanos para más información o para programar una visita.",True,good,False,True,6179.0,True,False,True,False,[],False,False,549900.0,€,flat,,"Ibiza, Madrid",Piso en calle de Fernán González,Destacado,RP962025136215,575000.0,25100.0,4.0,,,,
109217604,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/6d/60/80/1367762536.webp,72,5,990000.0,flat,sale,162.0,True,3,3,calle del Eucalipto,Madrid,Madrid,Chamartín,es,Bernabéu-Hispanoamérica,40.4529748,-3.6633614,False,https://www.idealista.com/inmueble/109217604/,"Descubre este fantástico piso ubicado en la codiciada colonia Alfonso XIII, un lugar ideal para vivir. Este amplio inmueble cuenta con tres dormitorios, de los cuales el principal dispone de baño en suite y dos cuartos adicionales que comparten otro cuarto de baño y un aseo de cortesía independiente. El gran salón-comedor es perfecto para disfrutar momentos familiares o recibir visitas, mientras que la cocina está equipada con una galería funcional. Desde su terraza podrás contemplar espléndidas vistas a jardines bien cuidados que incluyen zonas recreativas como parque infantil. La propiedad tiene calefacción individual y aire acondicionado centralizado (bomba frío/calor) para tu comodidad durante todo el año. La urbanización ofrece lujosas comodidades: piscina infinita para adultos situada en la azotea junto a dos piscinas infantiles ideales para familias; todas estas áreas cuentan con tumbonas y espacios chill-out donde relajarse bajo el sol, además de contar también con dos soláriums privados. Incluye trastero así como plaza de garaje dentro del precio anunciado; existe opción adicional por otra plaza si lo necesitas. Su ubicación permite acceder fácilmente a diversos comercios locales, restaurantes variados e instituciones educativas cercanas; las comunicaciones son inmejorables tanto por carretera privada como transporte público (metro/bus). No pierdas esta oportunidad única.",True,good,False,False,6111.0,True,False,False,False,[],False,False,990000.0,€,flat,,"Bernabéu-Hispanoamérica, Madrid",Piso en calle del Eucalipto,Destacado,EXP11191,,,,True,True,,
109097262,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/0a/60/d4/1364277039.webp,25,1,375000.0,flat,sale,65.0,False,2,1,"paseo de las Delicias, 15",Madrid,Madrid,Arganzuela,es,Palos de la Frontera,40.4055228,-3.693189,True,https://www.idealista.com/inmueble/109097262/,"**Piso en Venta en Paseo de las Delicias - Una Oportunidad Única** Descubre este encantador piso en primera planta, ubicado en el vibrante Paseo de las Delicias. Con una superficie de 65 m², esta vivienda cuenta con dos acogedores dormitorios, un amplio salón donde disfrutar de momentos inolvidables y una cocina funcional lista para adaptarse a tus necesidades. El cuarto de baño completo ofrece comodidad y practicidad. La excelente iluminación natural inunda cada rincón, creando un ambiente cálido y acogedor. Este inmueble, construido en 1925, se encuentra en buen estado de conservación y ofrece la posibilidad de actualizarlo al gusto del comprador. Además, cuenta con calefacción individual por gas natural, lo que garantiza un confort óptimo durante todo el año. La plaza de garaje por 25.000€, especialmente en una zona tan concurrida. La ubicación es inmejorable; a pocos pasos de las estaciones de metro Atocha y Palos de la Frontera, así como rodeado de servicios, comercios y zonas verdes. Este piso es ideal tanto para residencia permanente como para inversión. ¡No pierdas la oportunidad de hacer de este lugar tu nuevo hogar! Somos un equipo especializado particularmente en satisfacer las necesidades de nuestros clientes, de una manera seria, rápida, sencilla y eficaz. Estamos conformados por un equipo altamente profesional, con prestigio para ser totalmente de su confianza. Si no contestamos al fijo envíanos un email o contactanos a José Antonio 6 3 4 2 4 5 2 2 0 o al whatsapp "".",False,good,False,True,5769.0,True,False,True,False,[],False,False,375000.0,€,flat,,"Palos de la Frontera, Madrid","Piso en paseo de las Delicias, 15",Destacado,07/ja723,,,,True,False,25000.0,
108180422,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/11/f7/cb/1336280297.webp,21,4,169900.0,flat,sale,70.0,True,3,1,calle de Andalucía,Madrid,Fuenlabrada,Centro,es,,40.2882084,-3.7978038,False,https://www.idealista.com/inmueble/108180422/,"PISO EXTERIOR Y CON FINANCIACIÓN HASTA EL 100%! La agencia inmobiliaria HOGARES FUENLABRADA VENDE EN EXCLUSIVA piso EXTERIOR de 70m compuesto por 3 amplios dormitorios, salón de paso con acceso a terraza acristalada, 1 baño completo con bañera y cocina independiente. La vivienda dispone de suelos de suelos de parquet, ventanas de aluminio, y cocina equipada! Ubicado en edificio próximo a todos los servicios: colegios, supermercados, zonas verdes y deportivas, centro de salud y a poco más de 10 minutos de Metro Parque Europa! VISÍTALO SIN COMPROMISO, CONSULTA CONDICIONES, TE CONSEGUIMOS LA MEJOR HIPOTECA DEL MERCADO!",True,renew,False,False,2427.0,True,False,True,False,[],False,False,169900.0,€,flat,,"Centro, Fuenlabrada",Piso en calle de Andalucía,Destacado,SRN-01,,,,,,,
109217719,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/84/69/33/1367767818.webp,63,,595000.0,chalet,sale,225.0,,4,3,avenida de los Voluntarios,Madrid,Galapagar,Casa Amarilla,es,,40.5758432,-3.9973809,False,https://www.idealista.com/inmueble/109217719/,"INCREÍBLE CHALET INDEPENDIENTE TOTALMENTE REFORMADO EN GALAPAGAR Espectacular chalet independiente de 225 m² construido sobre una amplia parcela de 1.142 m², completamente reformado con un diseño moderno y funcional que combina luminosidad, amplitud y confort en cada rincón. La vivienda se distribuye en dos plantas. En la planta baja destaca un impresionante salón comedor a dos alturas que aporta una gran sensación de amplitud y elegancia. La cocina, amplia y práctica, cuenta con una zona de desayuno e isla central, pensada para disfrutar en familia y con amigos. Además, dispone de un increíble porche cerrado con aire acondicionado, que se convierte en un espacio ideal tanto en verano como en invierno. En esta misma planta encontramos también un dormitorio con armario empotrado y un baño completo, perfecto para invitados o para quienes buscan comodidad sin necesidad de subir escaleras. En la planta superior se ubican tres dormitorios, entre los que sobresale la suite principal con un gran vestidor, diseñada para ofrecer el máximo confort y privacidad. Los baños son modernos y de excelente calidad, ofreciendo funcionalidad y estilo. El exterior de la propiedad es otro de sus grandes atractivos: un jardín de generosas dimensiones con múltiples posibilidades, donde se puede construir una piscina, crear zonas de ocio o disfrutar de la tranquilidad del entorno natural. La vivienda se encuentra en Galapagar, un municipio de la Sierra Noroeste de Madrid que combina a la perfección el encanto de la naturaleza con todos los servicios de una gran población. La zona cuenta con colegios, centros deportivos, zonas comerciales y una amplia oferta gastronómica. Además, dispone de excelentes comunicaciones tanto por carretera como en transporte público, con fácil acceso a la A-6 y conexión mediante autobuses y cercanías a Madrid capital. Todo ello convierte a Galapagar en un lugar ideal para vivir con calidad de vida, rodeado de naturaleza pero sin renunciar a la comodidad. Una propiedad única, lista para entrar a vivir, que ofrece amplitud, privacidad y un entorno privilegiado. Este anuncio no es vinculante y puede contener errores. Se muestra a título informativo y no es contractual.",True,good,False,,2644.0,False,False,True,False,[],False,False,595000.0,€,chalet,independantHouse,"Casa Amarilla, Galapagar",Casa independiente en avenida de los Voluntarios,Destacado,PR99559547,,,,True,True,,
109102252,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/24/2f/15/1364403744.webp,24,bj,260000.0,flat,sale,59.0,True,2,1,Barrio Los Cármenes,Madrid,Madrid,Latina,es,Los Cármenes,40.4028254,-3.745035,False,https://www.idealista.com/inmueble/109102252/,"Dicen que la mejor inversión de tu vida no se mide en números, sino en recuerdos. Y justo aquí, en el barrio de Lucero, se esconde un piso que podría ser el escenario de los tuyos. Imagina abrir la puerta y encontrarte con un salón rectangular, amplio y luminoso, perfecto para esas tardes de peli y manta o para recibir amigos sin que falte espacio. La cocina, práctica y con salida directa a un patio privado, te invita a desayunar al aire libre o a improvisar una cena bajo las estrellas en verano. Cuenta con dos dormitorios acogedores: el principal, con armario empotrado para tener todo en orden, y otro perfecto para invitados, tu futuro despacho o incluso la habitación del peque. Además, un baño completo en buen estado para que solo tengas que preocuparte de poner tus toallas favoritas. No te preocupes si te falta espacio, porque dispones de un trastero para todo lo que no necesites a diario. Lo mejor: está en planta baja, en una zona con vida de barrio, cerca de todo lo que necesitas y con la tranquilidad de saber que Lucero es una apuesta segura en Madrid, tanto si buscas tu primer hogar como si quieres invertir y rentabilizarlo desde el primer día. Ya lo ves: más que un piso, es el comienzo de una nueva etapa. ¿Lo descubrimos juntos antes de que alguien más se enamore de él? Contacta con nosotros cuanto antes.",True,good,False,False,4407.0,True,False,False,False,[],False,False,260000.0,€,flat,,"Los Cármenes, Madrid",Piso,Destacado,MVMG049,,,,,,,
106216416,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/21/af/de/1351432378.webp,75,4,395000.0,penthouse,sale,110.0,True,3,2,calle Juncal,Madrid,Torrejón de Ardoz,Noreste,es,,40.4607348,-3.4596563,False,https://www.idealista.com/inmueble/106216416/,"*SEÑALIZADO* Expertos en Cambio de casa, en esta operación hay plazos de entrega que requieren de flexibilidad por parte del comprador. No cobramos ningún coste al comprador, ayudando a gestionar su hipoteca sin coste adicional.  -Somos Expertos en Torrejón de Ardoz, Asesoramiento Altamente Cualificado- ZONA JUNCAL - Ático Dúplex de 110 m2 de superficie aproximada y 45 m2 de terraza. En planta baja; salón, cocina independiente con tendedero, 2 habitaciones y baño. En 1º Planta, habitación principal con baño en suite, terraza con 2 parte cerradas. La vivienda está para entrar a vivir, suelo de tarima, puertas de Roble, ventanas de Climalit, Armarios empotrados, aires acondicionados, calefacción de Gas natural, Ascensor. Bicicletero, La vivienda tiene garaje incluido en el precio.    La zona se encuentra Rodeada de numerosos servicios: autobuses, centros comerciales, centros médicos, colegios, hospitales, parques, supermercados, tren, zonas infantiles, etc. ¡No dude en visitarlo! . 395.000 €  expertos en conseguirte el mejor piso al mejor precio.",True,good,False,True,3591.0,True,False,True,True,[],False,False,395000.0,€,flat,penthouse,"Noreste, Torrejón de Ardoz",Ático en calle Juncal,Destacado,47364239,,,,True,True,,
107989719,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/80/14/5a/1331605204.webp,45,bj,206000.0,flat,sale,83.0,True,3,1,calle de Carlos Solé,Madrid,Madrid,Puente de Vallecas,es,Portazgo,40.3931955,-3.651768,False,https://www.idealista.com/inmueble/107989719/,"Hminmobiliaria tiene Tú PISO en la zona de ""Buenos Aires"", 3 dormitorios! 100% FINANCIACIÓN! SIN ENTRADA! SIN COMISIONES! ¡TÚ PROPIEDAD por MENOS de un ALQUILER! COMPRA tú PISO y OLVIDATE del ALQUILER! VER VIDEO! Buena opción como PRIMERA VIVIENDA o como INVERSION! Solo con tus INGRESOS y los gastos de escrituras! NADA mas! 8374 - 3 dormitorios, salón-comedor, cocina con tendedero el cual su puede utilizar de office, baño con bañera, bajo muy lumino! en muy buen estado de conservación, ventanas oscilobatientes,.. . y 100% FINANCIACIÓN! SIN ENTRADA! La ubicación es magnífica con todos los servicios de comercios, colegios, institutos, farmacia, a muy poca distancia  Muy bien comunicado con transporte público  ¡ NO te COBRAMOS COMISIÓN, NI por la VENTA de la VIVIENDA NI por la TRAMITACIÓN del PRÉSTAMO! Solo tienes que disponer de los gastos de escritura y el resto te lo financia el banco hasta el 100% del valor de la compra. Cada cliente es ÚNICO, cada Compra es ÚNICA, cada Vivienda es ÚNICA. ¡En proceso de PUJA! 100%! FINANCIACIóN! SIN ENTRADA! Sin COMISIONES, NI por la VENTA, NI por la TRAMITACION de la venta NI del préstamo! Solo con TUS INGRESOS y los gastos de escrituras! NADA mas! HMInmobiliaria convirtiendo desde 1.989 los SueÑoS en HoGaReS!",True,good,False,True,2482.0,True,False,True,True,[],False,False,206000.0,€,flat,,"Portazgo, Madrid",Piso en calle de Carlos Solé,Destacado,8374,,,,,,,
