propertyCode,thumbnail,externalReference,numPhotos,floor,price,propertyType,operation,size,exterior,rooms,bathrooms,address,province,municipality,district,country,neighborhood,latitude,longitude,showAddress,url,description,hasVideo,status,newDevelopment,hasLift,newDevelopmentFinished,priceByArea,hasPlan,has3DTour,has360,hasStaging,notes,topNewDevelopment,topPlus,priceInfo.price.amount,priceInfo.price.currencySuffix,parkingSpace.hasParkingSpace,parkingSpace.isParkingSpaceIncludedInPrice,detailedType.typology,suggestedTexts.subtitle,suggestedTexts.title,highlight.groupDescription,priceInfo.price.priceDropInfo.formerPrice,priceInfo.price.priceDropInfo.priceDropValue,priceInfo.price.priceDropInfo.priceDropPercentage,detailedType.subTypology
107354760,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/f4/83/f2/1359554587.webp,5D,32,5,1710000.0,flat,sale,125.0,True,2,2,Barrio El Viso,Madrid,Madrid,Chamartín,es,El Viso,40.4399699,-3.6889806,False,https://www.idealista.com/obra-nueva/107354760/,"Olisson Club presenta un exclusivo proyecto de obra nueva en La Castellana, una de las zonas más distinguidas de Madrid, reconocida por su vibrante entorno empresarial, comercial y gastronómico, así como por su excelente conectividad. Este exclusivo proyecto cuenta con 30 viviendas de diferentes tipologías, diseñadas para redefinir el concepto de lujo y elevar la calidad de vida de sus residentes. Cada vivienda ha sido concebida con un diseño arquitectónico de vanguardia, distribuciones eficientes y materiales de la más alta calidad, asegurando espacios luminosos, amplios y sofisticados. El proyecto destaca por su extraordinaria oferta de amenities, que incluye áreas de coliving y coworking ideales para encuentros profesionales y sociales, el exclusivo Gourmet Experience Space, y un Spa Center equipado con sauna y sala de masajes. Además, cuenta con una moderna Sport Zone, con un gimnasio de última generación y una sala para entrenamientos personalizados con profesionales del sector. La finca ha sido completamente renovada y cuenta con servicio de portería 24 horas, un avanzado sistema de videovigilancia, valet parking y un innovador garaje robotizado con puntos de recarga para vehículos eléctricos. Ubicado en una de las zonas más codiciadas de Madrid, este proyecto representa una oportunidad inmejorable para quienes buscan exclusividad, confort y una inversión sólida en el corazón de la ciudad.",False,newdevelopment,True,True,False,13680.0,True,False,False,False,[],False,True,1710000.0,€,True,True,flat,"El Viso, Madrid",Piso,Top+,,,,
107425145,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/c9/3c/f9/1365075371.webp,CLK00/4504,23,3,490000.0,flat,sale,118.0,True,4,2,calle de Emilio Ferrari,Madrid,Madrid,Ciudad Lineal,es,Pueblo Nuevo,40.4296165,-3.6406514,False,https://www.idealista.com/inmueble/107425145/,"¡SOMOS PROPIETARIOS! Disfruta de todas las ventajas de comprar directamente a la propiedad. Clikalia presenta este piso ubicado en el barrio de Pueblo Nuevo, en Madrid. La vivienda está ubicada en la 3 planta exterior con ascensor. Dispone de una superficie total de 118 m², distribuidos en salón y comedor, cocina abierta equipada, 4 dormitorios y 2 baños. Además, cuenta con ascensor, cocina amueblada, armarios empotrados y aire acondicionado. Situado en el barrio de Pueblo Nuevo, en la Calle Emilio Ferrari, cuenta con una ubicación que te permitirá estar cerca de todo lo que necesitas como el Centro Comercial Alcalá Norte y del Centro Deportivo Municipal de Pueblo Nuevo. A su vez, está próximo a supermercados, restaurantes, colegios, gimnasios, paradas de autobús y a la estación de metro Ascao (L7). Agenda tu visita, te acompañamos en todo el proceso. Llámanos de lunes a viernes de 9.00h a 20.00h.",False,good,False,True,,4153.0,True,False,False,False,[],False,True,490000.0,€,,,flat,"Pueblo Nuevo, Madrid",Piso en calle de Emilio Ferrari,Top+,500000.0,10000.0,2.0,
107323508,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/f3/e7/d2/1309558103.webp,FR204269,24,,1550000.0,chalet,sale,348.0,,4,5,calle Severo María Agustín,Madrid,Pozuelo de Alarcón,Zona Estación,es,Zona Estación,40.4460919,-3.8038672,False,https://www.idealista.com/inmueble/107323508/,"Gilmar presenta en exclusiva, una promoción de Obra Nueva de dos pareados en pleno corazón de Pozuelo. Este lujoso chalet pareado se encuentra en la última fase de la construcción, con una superficie total construida de 348,9 m2 distribuidos en tres plantas y sobre una parcela de 328 m2, esta propiedad es perfecta para aquellos que buscan un hogar espacioso, eficiente, moderno y elegante. La planta baja dispone de un recibidor, amplio espacio salón/comedor/cocina, un despacho (posible 4º dormitorio), baño con ducha, en la planta superior tiene 3 habitaciones dobles en suite y una zona de descanso. La vivienda cuenta con dos patios Ingleses que permiten una buena iluminación y ventilación de una planta sótano con un amplio espacio de más de 70m2 con multiples posibilidades de división en función de los gustos y necesidades del futuro propietario, además cuenta con un baño con ducha y un cuarto de lavado. La orientación sur de la vivienda permite disfrutar de una excelente iluminación natural durante todo el día, creando un ambiente cálido y acogedor. Además, cuenta con dos plazas de aparcamiento dentro de la parcela, lo que proporciona comodidad y seguridad para los vehículos de la familia. Este chalet se caracteriza por sus acabados de alta calidad. La carpintería interior es de madera lacada, lo que le da un toque de elegancia y sofisticación. La carpintería exterior es de aluminio con rotura de puente térmico y vidrios con control solar, lo que garantiza un buen aislamiento térmico y acústico. Además, cuenta con suelo radiante y refrigerante, lo que proporciona una temperatura agradable durante todo el año. El sistema de climatización incluye aerotermia lo que permite ajustar la temperatura a las necesidades de cada estación de una forma confortable y eficiente con calificación energética A tanto en consumos como en emisiones. En cuanto a las características exteriores, esta propiedad cuenta con una piscina privada, perfecta para disfrutar de los días soleados y refrescarse en verano. Además, el jardín ofrece un espacio tranquilo y relajante, ideal para disfrutar de momentos al aire libre en familia o con amigos. El barrio de Pozuelo de Alarcón es conocido por ser una zona residencial tranquila y segura. Además, cuenta con una gran variedad de servicios y comodidades, como colegios de prestigio, centros comerciales y zonas verdes. En un radio de 1 kilómetro, se encuentra los prestigiosos colegios San Luis de los Franceses, Liceo Sorolla, Escolapios, Kensington, San José de Cluny, etc, que ofrecen una educación de calidad a sus alumnos. En cuanto a las conexiones de transporte, la propiedad se encuentra cerca de la estación de RENFE Cercanías (líneas C-7 y C-10), dispone de numerosas líneas de autobuses (3, 560, 563, 650A, 656, N906), esto facilita el acceso a otras zonas de Madrid y proporciona una excelente comunicación con el resto de la ciudad. En resumen, este chalet pareado en Pozuelo de Alarcón es una oportunidad única para aquellos que buscan un hogar de lujo y elegancia. Con sus amplios espacios, acabados de alta calidad y excelentes características, esta propiedad es perfecta para aquellos que desean disfrutar de una vida cómoda y sofisticada. GILMAR es una reconocida compañía inmobiliaria que lleva desde 1983 ayudando a sus clientes a encontrar la casa de sus sueños. Con una amplia experiencia en el mercado inmobiliario, GILMAR se ha convertido en un referente en el sector, ofreciendo un servicio personalizado y de alta calidad. Si deseas más información sobre esta propiedad, no dudes en contactar con nuestro equipo en la oficina de Pozuelo de Alarcón, ubicada en la Avenida de Europa 14. Puedes llamarnos al o enviarnos un correo electrónico a. Recuerda proporcionarnos la referencia del inmueble (204269) para facilitar la gestión de tu consulta. Estaremos encantados de ayudarte a encontrar el hogar de tus sueños.",True,good,False,,,4454.0,True,False,False,False,[],False,True,1550000.0,€,True,True,chalet,"Zona Estación, Pozuelo de Alarcón",Chalet pareado en calle Severo María Agustín,Top+,,,,semidetachedHouse
108662688,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/e8/28/59/1351454978.webp,DS-P33104,22,5,2250000.0,flat,sale,174.0,True,3,3,calle de Claudio Coello,Madrid,Madrid,Barrio de Salamanca,es,Castellana,40.4370384,-3.6851756,False,https://www.idealista.com/inmueble/108662688/,"DIZA Consultores les presenta formidable piso de lujo con terraza y plaza de garaje en Claudio Coello. En la quinta planta de un edificio construido a mediados del siglo XX, encontramos este piso de 174 metros cuadrados. Se distribuye en recibidor, salón-comedor exterior muy luminoso con cocina integrada y terraza, tres dormitorios, dos con cuarto de baño en suite, siendo el principal exterior, y cuenta con otro cuarto de baño completo y zona de lavandería. La finca es señorial y dispone de portero físico, calefacción central y plaza de garaje grande. El barrio Salamanca se trata de una de las zonas más lujosas y con mejor calidad de vida de Europa. Gracias a la amplia oferta gastronómica, cultural y comercial, se trata de una formidable zona donde vivir e invertir. Estaremos encantados de atenderle. DIZA Consultores Inmobiliarios Inmobiliaria de lujo en Madrid especializada en comprar, vender y alquilar pisos en las zonas premium de Madrid: Barrio de Salamanca, Almagro, Chamartín, Retiro, Pozuelo, Aravaca, Boadilla. Convertimos Sueños en Hogares.",True,good,False,True,,12931.0,True,False,False,False,[],False,True,2250000.0,€,True,True,flat,"Castellana, Madrid",Piso en calle de Claudio Coello,Top+,,,,
108708138,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/e0/c4/ba/1352765614.webp,DS-P77767,34,3,950000.0,flat,sale,80.0,True,2,2,calle de Ayala,Madrid,Madrid,Barrio de Salamanca,es,Goya,40.4255856,-3.6682289,False,https://www.idealista.com/inmueble/108708138/,"DIZA Consultores les presenta piso de diseño reformado de lujo con dos dormitorios junto a Alcalá, en una de las zonas más tranquilas del Barrio Salamanca. En la tercera planta de un edificio construido a principios de los años XX, se encuentra este luminoso piso de diseño, de 80 metros cuadrados. Se trata de un piso donde se han cuidado todos los detalles, convirtiéndolo en un trofeo en la mejor zona de Madrid. El salón es la zona protagonista de la vivienda. Se trata de una estancia diáfana, muy luminosa, con la cocina integrada con electrodomésticos de alta gama. El piso consta de dos dormitorios, el principal con baño en suite y otro baño completo que sirve para dar servicio al segundo dormitorio y a las visitas. La reforma se ha llevado a cabo pensando en optimizar todos los espacios para vivir de forma continua en familia. Se han incorporado una gran cantidad de armarios, con materiales nobles.  El piso cuenta con calefacción individual y aire acondicionado por conductos. El barrio Salamanca se trata de una de las zonas más lujosas y con mejor calidad de vida de Europa. Gracias a la amplia oferta gastronómica, cultural y comercial, se trata de una formidable zona donde vivir e invertir. Estaremos encantados de atenderle. DIZA Consultores Inmobiliarios Inmobiliaria de lujo en Madrid especializada en comprar, vender y alquilar pisos en las zonas premium de Madrid: Barrio de Salamanca, Almagro, Chamartín, Retiro, Pozuelo, Aravaca, Boadilla. Convertimos Sueños en Hogares.",True,good,False,True,,11875.0,True,False,False,False,[],False,True,950000.0,€,,,flat,"Goya, Madrid",Piso en calle de Ayala,Top+,,,,
107639072,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/be/ba/00/1318425941.webp,DS-P88025,16,ss,790000.0,flat,sale,91.0,True,2,2,calle de Castelló,Madrid,Madrid,Barrio de Salamanca,es,Recoletos,40.4245737,-3.6834948,False,https://www.idealista.com/inmueble/107639072/,"DIZA Consultores les presenta este magnífico inmueble totalmente reformado en la mejor zona de Recoletos. Se encuentra ubicado junto a la Puerta de Alcalá y el Parque del Retiro, donde la alta demanda de turistas durante todo el año hace que sea la zona mas rentable de toda la capital.  El piso se encuentra en un edificio de principios del siglo XX, con fachada representativa. Tiene 91 metros cuadrados, los cuales se distribuyen en estancias amplias y confortables. La zona social se compone de salón, desde el que tenemos acceso a un patio de uso privativo; cocina con electrodomésticos de primeras marcas, encimeras de material porcelánico de alta durabilidad con anti ralladuras y luz indirecta. Además, contamos con un espacio polivalente que puede servir de despacho, family room, o zona de juegos.  La zona de descanso se compone de dos amplios dormitorios dobles con armarios totalmente fabricados a medida. El principal cuenta con baño en suite y hay un segundo baño que da servicio al dormitorio secundario.  Las calidades de construcción son excelentes, con calefacción por suelo radiante y refrescante y cerramientos con aislamiento térmico y acústico.  El edificio tiene portal representativo y cuenta con conserje.  El Barrio Salamanca y en concreto la zona de Recoletos es una de las zonas más lujosas y con mejor calidad de vida de Europa. Gracias a la amplia oferta gastronómica, cultural y comercial, se trata de una formidable zona donde vivir e invertir. Inmobiliaria de lujo en Madrid especializada en comprar, vender y alquilar pisos en las zonas premium de Madrid: Barrio de Salamanca, Almagro, Chamartín, Retiro, Pozuelo, Aravaca, Boadilla. Convertimos Sueños en Hogares.",True,good,False,False,,8681.0,True,False,False,False,[],False,True,790000.0,€,,,flat,"Recoletos, Madrid",Piso en calle de Castelló,Top+,,,,
107520669,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/06/b2/cc/1314897047.webp,DS-P94024,21,3,1600000.0,flat,sale,113.0,True,2,3,calle de O'Donnell,Madrid,Madrid,Barrio de Salamanca,es,Goya,40.4206031,-3.6771514,False,https://www.idealista.com/inmueble/107520669/,"DIZA Consultores les presenta piso muy luminoso en Goya, a dos manzanas del Parque del Retiro. En la tercera planta de un edificio construido en 1930, encontramos este luminoso piso de techos altos y 113 metros cuadrados, con tres huecos a la calle. La zona social se compone de salón, comedor con un gran ventanal y mirador con orientación de mañana y vistas despejadas al ser una calle ancha. La zona de descanso está compuesta por tres dormitorios dobles, el principal exterior a la calle, dos cuartos de baño y una estancia que se utiliza como vestidor y lavandería. La ubicación del inmueble es inmejorable, se encuentra a los pies de los mejores restaurantes de la capital y a un paso del Parque del Retiro. El barrio Salamanca se trata de una de las zonas más lujosas y con mejor calidad de vida de Europa. Gracias a la amplia oferta gastronómica, cultural y comercial, se trata de una formidable zona donde vivir e invertir. Inmobiliaria de lujo en Madrid especializada en comprar, vender y alquilar pisos en las zonas premium de Madrid: Barrio de Salamanca, Almagro, Chamartín, Retiro, Pozuelo, Aravaca, Boadilla. Convertimos Sueños en Hogares.",True,good,False,True,,14159.0,True,False,False,False,[],False,True,1600000.0,€,,,flat,"Goya, Madrid",Piso en calle de O'Donnell,Top+,,,,
109024348,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/8d/4d/c1/1361996999.webp,DS-P33113,25,1,3139000.0,flat,sale,315.0,True,5,5,calle del Príncipe de Vergara,Madrid,Madrid,Chamartín,es,El Viso,40.439258,-3.6803375,False,https://www.idealista.com/inmueble/109024348/,"DIZA Consultores les presenta este elegante piso de 5 dormitorios con garaje y terraza en Castellana. En la primera planta de un edificio de finales del siglo XX, encontramos este señorial piso de techos altos y 315 metros cuadrados. La zona noble goza de muchísima luz durante todo el día gracias a sus ventanas y orientación este. Esta se compone de un amplio salón comedor distribuido en tres ambientes, dando a la terraza. Cuenta con una cocina de diseño y totalmente equipada, zona de lavandería independiente, habitación de servicio y aseo de cortesía. El edificio cuenta con calefacción central y portero. Contamos tambien con plaza de garaje incluida y trastero. La ubicación del inmueble es inmejorable, a un paso de los mejores restaurantes y tiendas de la ciudad. El Barrio Salamanca se trata de una de las zonas más lujosas y con mejor calidad de vida de Europa. Gracias a la amplia oferta gastronómica, cultural y comercial, se trata de una formidable zona donde vivir e invertir. Inmobiliaria de lujo en Madrid especializada en comprar, vender y alquilar pisos en las zonas premium de Madrid: Barrio de Salamanca, Almagro, Chamartín, Retiro, Pozuelo, Aravaca, Boadilla. Convertimos Sueños en Hogares.",False,good,False,True,,9965.0,True,False,False,False,[],False,True,3139000.0,€,True,True,flat,"El Viso, Madrid",Piso en calle del Príncipe de Vergara,Top+,,,,
109152827,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/ff/1e/09/1365846844.webp,DS-P55008,39,4,1850000.0,duplex,sale,228.0,True,4,5,calle de Atocha,Madrid,Madrid,Centro,es,Huertas-Cortes,40.4142196,-3.7016093,False,https://www.idealista.com/inmueble/109152827/,"DIZA Consultores les presenta este magnífico ático dúplex en una finca moderna de 2018, que destaca por su amplitud, luz natural y diseño contemporáneo. Con una superficie de 160 m2 y 68 m2 de terraza, esta vivienda ofrece el equilibrio perfecto entre elegancia, funcionalidad y comodidad. Distribuido en dos plantas, el piso cuenta con cuatro dormitorios en suite, cada uno con su propio baño, lo que garantiza privacidad y confort para todos los miembros de la familia o invitados. Además, dispone de un aseo de cortesía, ideal para el uso diario o para visitas. El salón-comedor, amplio y luminoso, se abre a una encantadora terraza privada, perfecta para disfrutar de momentos al aire libre durante todo el año. La cocina, moderna y equipada con materiales de alta calidad, está pensada para integrarse con el día a día y facilitar el uso cotidiano. La propiedad incluye plaza de garaje en la misma finca, con acceso directo desde el ascensor, un valor añadido que aporta comodidad y seguridad. Una vivienda única en un edificio de reciente construcción, con acabados actuales y todas las comodidades que buscas. Ideal para quienes valoran el espacio, la luz y una distribución pensada para el confort. Inmobiliaria de lujo en Madrid especializada en comprar, vender y alquilar pisos en las zonas premium de Madrid: Barrio de Salamanca, Almagro, Chamartín, Retiro, Pozuelo, Aravaca, Boadilla. Convertimos Sueños en Hogares.",True,good,False,True,,8114.0,True,False,False,False,[],False,True,1850000.0,€,True,True,flat,"Huertas-Cortes, Madrid",Dúplex en calle de Atocha,Top+,,,,duplex
109132197,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/c4/6d/10/1365287719.webp,DS-P55009,30,3,1880000.0,flat,sale,114.0,True,2,2,calle del Barquillo,Madrid,Madrid,Centro,es,Chueca-Justicia,40.4233087,-3.6964837,False,https://www.idealista.com/inmueble/109132197/,"DIZA Consultores les presenta un piso con 6 balcones haciendo esquina en una de las fincas más representativas de Justicia.  En la tercera planta de un edificio construido a principios del siglo XX, se encuentra este piso de 114 metros cuadrados. Su amplia y luminosa zona social tiene un gran salón con balcones haciendo esquina por los que entra mucha luz. La zona de descanso se compone de dos dormitorios amplios, todos exteriores, el principal en suite.  El barrio Justicia es una de las zonas más cosmopolitas y chic de Madrid. Gracias a la amplia oferta cultural y comercial, junto a las cuidadas fachadas de sus edificios, recuerda a sus vecinos a la sensación de estar en un barrio parisino.  Estaremos encantados de atenderle. DIZA Consultores Inmobiliarios Inmobiliaria de lujo en Madrid especializada en comprar, vender y alquilar pisos en las zonas premium de Madrid: Barrio de Salamanca, Almagro, Chamartín, Retiro, Pozuelo, Aravaca, Boadilla.  Convertimos Sueños en Hogares.",True,good,False,True,,16491.0,True,False,False,False,[],False,True,1880000.0,€,,,flat,"Chueca-Justicia, Madrid",Piso en calle del Barquillo,Top+,,,,
