propertyCode,thumbnail,externalReference,numPhotos,floor,price,propertyType,operation,size,exterior,rooms,bathrooms,address,province,municipality,district,country,neighborhood,latitude,longitude,showAddress,url,description,hasVideo,status,newDevelopment,hasLift,priceByArea,hasPlan,has3DTour,has360,hasStaging,notes,topNewDevelopment,topPlus,priceInfo.price.amount,priceInfo.price.currencySuffix,priceInfo.price.priceDropInfo.formerPrice,priceInfo.price.priceDropInfo.priceDropValue,priceInfo.price.priceDropInfo.priceDropPercentage,detailedType.typology,suggestedTexts.subtitle,suggestedTexts.title,highlight.groupDescription,detailedType.subTypology,newDevelopmentFinished,parkingSpace.hasParkingSpace,parkingSpace.isParkingSpaceIncludedInPrice
108456281,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/e3/4b/72/1345447189.webp,10008534,30,10,390000.0,flat,sale,65.0,True,2,1,avenida Donostiarra,Madrid,Madrid,Ciudad Lineal,es,Concepción,40.4356318,-3.6563353,False,https://www.idealista.com/inmueble/108456281/,"Vivienda2 tiene el placer de presentar este magnífico piso en rentabilidad en Avenida Donostiarra, una de las zonas residenciales más cotizadas y con mayor proyección de Madrid. La vivienda se encuentra alquilada actualmente, por lo que el comprador empezará a obtener rendimiento desde el primer día, sin necesidad de buscar inquilino ni realizar reformas. Una inversión segura, estable y con todos los ingredientes para generar rentabilidad a corto y largo plazo. El piso está ubicado en una finca cuidada, con portero físico y todos los servicios, en una calle arbolada, amplia y muy bien conectada. La Avenida Donostiarra es una zona que destaca por su ambiente familiar y tranquilo, rodeada de comercios tradicionales, supermercados, cafeterías, colegios, parques y centros de salud. Además, cuenta con una comunicación excelente con el resto de la ciudad: varias líneas de metro y autobús a pocos minutos a pie, y fácil acceso a las principales vías de salida de Madrid. Todo esto hace que la demanda de alquiler en esta zona sea constante, tanto por familias como por profesionales que buscan calidad de vida sin alejarse del centro. La vivienda, en muy buen estado, ha sido cuidada y mantenida, lo que elimina preocupaciones adicionales para el nuevo propietario. No se trata de una inversión especulativa que dependa de reformas futuras o cambios legislativos: aquí hablamos de un inmueble con rendimiento activo, ubicado en una zona consolidada y con alta previsión de revalorización gracias a la mejora urbana que se está produciendo en el entorno. Además, la finca es de las más completas de la zona, con servicio de portería, ascensor y vecinos de largo recorrido, lo que aporta un plus de tranquilidad y seguridad al entorno. La estabilidad del edificio y del vecindario refuerza aún más el perfil de esta inversión como una apuesta a largo plazo. A diferencia de otras zonas de Madrid donde la rentabilidad viene acompañada de alta rotación o incertidumbre, en Avenida Donostiarra el equilibrio entre seguridad, rentabilidad y futuro es una de sus grandes fortalezas. Es ideal tanto para quien busca consolidar una cartera inmobiliaria con activos de calidad, como para aquellos que desean hacer una primera inversión sin riesgos ni complicaciones. El piso se vende con contrato de alquiler en vigor. Es una excelente oportunidad para adquirir un activo ya productivo en una de las zonas con mayor estabilidad y proyección de Madrid por su revalorización a corto plazo. Si estás buscando una inversión inmobiliaria sólida, con retorno inmediato y gran potencial de crecimiento, esta puede ser la oportunidad que estabas esperando. Solicita más información y concertamos una visita. Activos así no suelen estar mucho tiempo en el mercado.",True,good,False,True,6000.0,True,False,True,False,[],False,False,390000.0,€,420000.0,30000.0,7.0,flat,"Concepción, Madrid",Piso en avenida Donostiarra,Destacado,,,,
108777652,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/c8/42/a1/1354832342.webp,W-030RU7,26,3,855000.0,flat,sale,153.0,True,3,2,Barrio Pacífico,Madrid,Madrid,Retiro,es,Pacífico,40.4059271,-3.6824767,False,https://www.idealista.com/inmueble/108777652/,"Excelente oportunidad a pasos del Retiro Bienvenido a un excelente apartamento a reformar en el barrio de Retiro. Este espacioso hogar, construido en 1970, cuenta con tres habitaciones y dos baños, proporcionando un lienzo perfecto para aquellos que buscan crear un refugio de lujo en una de las zonas mas priviligiedas de Madrid. Aunque el apartamento requiere rehabilitación, su estructura sólida y distribución generosa ofrecen una oportunidad única para diseñar un espacio que refleje su estilo personal y necesidades. La presencia de portero fisico y ascensores garantizan comodidad y seguridad. Este apartamento cuenta con salon comedor, tres dormitorios y dos baños. La terraza se ha incorporado a la vivienda para crear un salon mas amplio y funcional, ideal para disfrutar de durante el día.  La ubicación privilegiada en Madrid ofrece acceso inmediato a una rica oferta cultural, gastronómica y de entretenimiento, convirtiendo cada día en una nueva aventura.  En resumen, este apartamento es una oportunidad excepcional para aquellos que desean invertir en una de las capitales más dinámicas del mundo.  Convierta este lugar en su hogar y experimente el lujo de vivir en el corazón de Madrid, donde cada detalle puede ser personalizado para satisfacer sus más altos estándares de vida. Ubicado en el prestigioso distrito de Retiro, el barrio de Pacífico se ha consolidado como una de las zonas más atractivas y codiciadas para vivir en Madrid. Su excelente equilibrio entre vida urbana y espacios verdes lo convierte en un lugar ideal tanto para familias como para profesionales. A tan solo unos pasos del emblemático Parque del Retiro, Pacífico ofrece un respiro natural en plena ciudad. Es el lugar perfecto para salir a correr, pasear en familia o disfrutar de un rato de desconexión bajo los árboles, lejos del bullicio pero sin salir del centro. La proximidad a la estación de Atocha no solo asegura una conexión directa con el resto de Madrid, sino también con destinos nacionales e internacionales. El barrio está perfectamente comunicado por varias líneas de metro, autobuses y acceso directo a las principales arterias de la capital, lo que facilita una movilidad cómoda y rápida. Pacífico dispone de una completa red de servicios: supermercados, mercados tradicionales, colegios, centros de salud, farmacias y una variada oferta gastronómica con cafeterías con encanto y restaurantes para todos los gustos. Vivir aquí es tener todo lo que necesitas... y más. Rodeado de algunos de los grandes iconos culturales de la ciudad —como el Museo del Prado, el Reina Sofía o el CaixaForum—, Pacífico es ideal para quienes valoran el arte, la historia y la vida cultural activa sin renunciar a la tranquilidad residencial. Con calles arboladas, arquitectura clásica y una comunidad acogedora, Pacífico combina la esencia del Madrid tradicional con la comodidad moderna. Es un barrio lleno de vida, pero sereno, donde cada día puede empezar con un café al sol y terminar con un paseo relajante por el Retiro. Pacífico no es solo un lugar para vivir, es un lugar para disfrutar.",True,renew,False,True,5588.0,True,False,True,False,[],False,False,855000.0,€,,,,flat,"Pacífico, Madrid",Piso,Destacado,,,,
107405724,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/20/c7/28/1315391323.webp,W-02WF4Y,19,1,575000.0,flat,sale,71.0,True,1,1,Barrio Malasaña-Universidad,Madrid,Madrid,Centro,es,Malasaña-Universidad,40.4256948,-3.7000981,False,https://www.idealista.com/inmueble/107405724/,"Exclusivo apartamento de 1 habitación en Tribunal Engel & Völkers tiene el placer de comercializar este magnífico apartamento de 1 habitación en el corazón de Madrid. Se encuentra situado en un lujoso edificio con piscina en su azotea. Cuenta con cocina abierta al salón y con una habitación independiente. Ambas estancias con amplios ventanales.  En el capítulo de climatización encontramos que cuenta con geotérmia para la calefacción y aerotermina para la refrigeración. El edificio en el que se emplaza cuenta con servicio de conserjería, 2 ascensores y amplias zonas sociales comunitarias que incluyen una piscina. El inmueble se encuentra en la Calle Fuencarral a la altura del metro Tribunal, zona icónica de la capital que se caracteriza por su vibrante actividad, sus tiendas de segunda mano, barberías y por contar con algunos de los bares y cafeterías más vanguardistas, en los que podremos disfrutar de un café bio cultivado en los lugares más recónditos del planeta, por poner un ejemplo.",True,good,False,True,8099.0,True,False,True,False,[],False,False,575000.0,€,,,,flat,"Malasaña-Universidad, Madrid",Piso,Destacado,,,,
107956357,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/db/90/22/1329439098.webp,,31,,550000.0,chalet,sale,130.0,,2,2,calle de Blanes,Madrid,Madrid,Barajas,es,Campo de las Naciones-Corralejos,40.46656,-3.5856396,False,https://www.idealista.com/inmueble/107956357/,"Chalet pareado muy luminoso con 30 metros de patios y una pequeña piscina con caño de agua. Dos habitaciones grandes y una buhardilla en la segunda planta. Salón integrado con cocina de obra y amplio espacio de almacenamiento camuflado como armarios para mantener la estética del salón. Cuenta con una gatera con salida al patio también válida para perro pequeño y con caseta amplia para tu mascota. Vigas vistas de hierro integradas con la escalera también de hierro, muy ligera para mantener la amplitud de espacio del salón-cocina. Cuenta con aseo en la planta baja, baño completo en la segunda planta y bañera antigua y lavabo en el amplio dormitorio principal. Armarios empotrados de cinco puertas en el dormitorio principal, cuatro puertas en el segundo dormitorio y gran espacio de almacenamiento en la buhardilla. Chimenea frente al sofá y lavadero en el patio que también se usa como trastero. Materiales de calidad, con cristales blindados en la primera planta y contraventanas de hierro con barras de acero en toda la casa. Aire acondicionado en las 3 plantas. Localizado en los Coronales-Parque de las Naciones, con buenas comunicaciones. SOLO PARTICULARES, ABSTENERSE AGENCIA E INTERMEDIARIOS.",False,good,False,,4231.0,False,False,True,False,[],False,False,550000.0,€,,,,chalet,"Campo de las Naciones-Corralejos, Madrid",Chalet pareado en calle de Blanes,Destacado,semidetachedHouse,,,
108378378,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/1e/3a/6a/1342333252.webp,99979,12,5,600000.0,flat,sale,148.0,True,3,2,"Galicia, 50",Madrid,Tres Cantos,Primera Fase - Nuevo Tres Cantos,es,,40.61677,-3.72028,True,https://www.idealista.com/obra-nueva/108378378/,"Descubre Pireo Residencial, una promoción conformada por pisos de obra nueva de 2, 3 y 4 dormitorios, en un residencial con magníficas zonas comunes, con piscina, zonas verdes, pista de pádel, zona de juegos infantiles y sala comunitaria. En el interior, destaca la calidad de sus materiales, la amplitud y óptima distribución de sus estancias. ¡Todos los pisos disponen de amplias terrazas desde las que disfrutar de vistas espectaculares al aire libre, 2 plazas de parking y trastero!  Se Encuentra en la zona de Nuevo Tres Cantos, localidad destacada por su modernidad, seguridad y excelente conexión con el centro de Madrid. Al vivir en un piso de obra nueva en Nuevo Tres Cantos, experimentarás una vida única con las ventajas de vivir en una ciudad planificada y moderna, con todos los servicios que necesitas, sin renunciar a los beneficios de un ambiente tranquilo y natural. ¡Ven a descubrirlo en nuestra oficina de ventas! Estaremos encantados de asesorarte.",False,newdevelopment,True,True,4054.0,True,False,False,False,[],False,False,600000.0,€,,,,flat,"Primera Fase - Nuevo Tres Cantos, Tres Cantos","Piso en Galicia, 50",Destacado,,False,True,True
108915246,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/03/a0/5d/1358814942.webp,BFU-V1932,38,,399500.0,flat,sale,149.0,,2,2,calle de Berrocal,Madrid,Madrid,Villaverde,es,Butarque,40.3409597,-3.6745959,False,https://www.idealista.com/inmueble/108915246/,"CONTACTAR CON EXTENSIÓN Nº1 Descubre esta excelente oportunidad de inversión:  Vivienda dúplex, dividida en dos apartamentos, ideal para recibir una buena rentabilidad anual al estar ya arrendados, en quinta planta, con ascensor, situado en una de las arterias principales de Villaverde-Butarque, una de las zonas más demandadas de Madrid. La vivienda cuenta con 149 metros cuadrados construidos, de los cuales104 m2 son útiles, dando lugar a dos viviendas de 52 m2, cada una de estas viviendas tiene un dormitorio amplio, un cuarto de baño y un gran salón con cocina americana, todos con buena iluminación natural al ser una quinta planta  La construcción data del año 2002, no ha pasado ni siquiera a la primera ITE, que será en 2032, igualmente la vivienda y zonas comunes de la urbanización están en muy buen estado de conservación La vivienda cuenta con plaza de garaje y trastero incluidos en el precio La plaza de garaje es muy amplia, caben coche y moto El trastero cuenta con 6 m2 La vivienda está equipada con ventanas de climalit, que ofrecen buen aislamiento térmico y acústico, y también con aire acondicionado, lo que proporciona confort durante todo el año. Se encuentra en muy buen estado, sin necesidad de reformas. Ubicación excelente, muy bien comunicada con transporte público (autobuses y cercanías), y rodeada de todos los servicios: supermercados, colegios, restaurantes, centros de salud y zonas comerciales. Una opción ideal tanto como residencia habitual como para inversión con alta demanda de alquiler.  (Este anuncio no es vinculante, puede contener errores, se muestra a título informativo y no contractual. ) > Oferta sujeta a condiciones de compra. Consulte los términos y condiciones aplicables.",True,good,False,True,2681.0,True,True,False,False,[],False,False,399500.0,€,,,,flat,"Butarque, Madrid",Piso en calle de Berrocal,Destacado,,,True,True
107012807,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/cc/96/e2/1300376599.webp,BFCA-V175,18,5,245000.0,flat,sale,47.0,True,1,1,calle de Belfast,Madrid,Madrid,San Blas,es,Rejas,40.4485472,-3.5780334,False,https://www.idealista.com/inmueble/107012807/,"CONTACTAR CON LA EXTENSIÓN Nº 4 ¡OPORTUNIDAD DE INVERSIÓN, PISO TURÍSTICO!  (Piso turístico implica que no puede empadronarse en el piso como su vivienda habitual) Piso turístico con licencia y gestión profesional en San Blas Descubre este acogedor piso de 47 m², ideal para inversión, con licencia de piso turístico y actualmente gestionado por una empresa privada especializada. Un activo listo para generar ingresos desde el primer día. Distribución funcional: 1 habitación independiente Cocina independiente completamente equipada Baño completo Salón luminoso Comodidad extra: Incluye una plaza de garaje, un valor añadido para ti o tus huéspedes. Ubicación inmejorable: Ubicado en la zona de San Blas, a pocos pasos del Centro Comercial Plenilunio y a muy poca distancia del aeropuerto. Una ubicación estratégica para viajeros y turistas, con todos los servicios y ocio a mano. No dejes pasar esta oportunidad. Contacta para más información o concertar una visita.  (Este anuncio no es vinculante, puede contener errores, se muestra a título informativo y no contractual. )  Oferta sujeta a condiciones de compra. Consulte los términos y condiciones aplicables.",False,good,False,True,5213.0,True,False,False,False,[],False,False,245000.0,€,,,,flat,"Rejas, Madrid",Piso en calle de Belfast,Destacado,,,True,True
108536754,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/3f/44/f7/1347809963.webp,W-02ZI7W,33,1,980000.0,flat,sale,179.0,True,3,2,Barrio Zona Avenida Europa,Madrid,Pozuelo de Alarcón,Zona Avenida Europa,es,Zona Avenida Europa,40.4371614,-3.7957676,False,https://www.idealista.com/inmueble/108536754/,"Magnifico y luminoso piso en Avenida de Europa Engel & Völkers presenta este magnífico piso, situado en la zona con más demanda de Avenida de Europa, destacando por su luminosidad y distribución. Un espacioso hall, da la bienvenida, marcando el tono elegante del inmueble. La vivienda cuenta con tres habitaciones de buen tamaño, amplios armarios y luz natural, el dormitorio principal dispone de baño en suite, ofreciendo privacidad y confort. Además, el piso cuenta con un segundo baño completo para dar servicio al resto de las estancias.  Aire acondicionado en la habitación principal y en el salón. Gas natural. El gran salón disfruta de una conexión con una terraza perfecta para momentos de relax. La cocina perfectamente equipada con espacio para poder disfrutar de comidas/cenas a diario, cuenta con zona de lavandería independiente. Cuenta con 1 plaza de garaje, trastero. Piso ideal gracias a su amplitud, comodidad y distribución. Situada en la prestigiosa Avenida de Europa, una de las zonas más exclusivas y cómodas de Pozuelo de Alarcón, con una ubicación inmejorable residencial, a tan solo unos metros de la iglesia Santa María de Caná, Ocio, gastronomía, cafeterías y un sin fin de alternativas. Colegios internacionales de prestigio como American School, varias alternativas en cuanto a centros educativos, campus universitarios, hospitales, centros de salud, clínicas privadas, guarderías y centros de educación infantil en las inmediaciones.  Fácil acceso a las principales vías como la M-40 Y A-6 y M-503, lo que asegura desplazamientos rápidos hacia el centro de Madrid y otras áreas. Excelentes conexiones mediante transporte público: líneas de autobuses y la estación de Metro Ligero de Avenida de Europa. Vivir en la Avenida de Europa significa disfrutar de un entorno residencial tranquilo, seguro, con la ventaja de tener servicios premium, zonas verdes y transporte envidiable a escasa distancia. Es un lugar perfecto para quien busca calidad de vida.",True,good,False,True,5475.0,True,False,True,False,[],False,False,980000.0,€,,,,flat,"Zona Avenida Europa, Pozuelo de Alarcón",Piso,Destacado,,,,
109132957,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/61/c1/57/1334147167.webp,5,17,,598000.0,chalet,sale,312.0,,4,3,"avenida de Madrid, 34",Madrid,San Agustin de Guadalix,,es,,40.6921623,-3.6100763,True,https://www.idealista.com/obra-nueva/109132957/,"Terraza 21,60 m² ENTREGA INMEDIATA  Amplios chalets de 4 dormitorios en urbanización privada con completas zonas comunes.  Chalets de más de 240m2 útiles que te permitirán disfrutar de espacios generosos donde cada rincón te brinda la amplitud necesaria para cubrir las necesidades de toda tu familia.  Los chalets unifamiliares, todos de 4 dormitorios, cuentan con estancias amplias y luminosas con cocinas amuebladas y equipadas, calefacción por suelo radiante, preinstalación de aire acondicionado, chimenea y punto de carga de coches eléctricos.  La promoción se encuentra en una urbanización privada con piscinas, solárium, barbacoa y zona ajardinada.  Compra viviendas de obra nueva en Madrid en San Agustín del Guadalix.  A solo 10 minutos caminando del centro urbano de San Agustín de Guadalix y todos los servicios comerciales, asistenciales, educativos, deportivos, restauración, etc. , que ofrece el municipio.  En un entorno medioambiental privilegiado, muy cerca de San Sebastián de los Reyes y Alcobendas y a un paso de Madrid.  *Algunas viviendas pueden llevar vinculada una tercera plaza de garaje no incluida en el precio y sujeta al IVA del 21%.  Tu chalet nuevo en San Agustín del Guadalix, todo lo que necesitas.",True,newdevelopment,True,,1917.0,True,False,False,False,[],False,False,598000.0,€,,,,chalet,San Agustin de Guadalix,"Chalet adosado en avenida de Madrid, 34",Destacado,terracedHouse,True,True,True
108463268,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/21/42/d1/1345671515.webp,W-030AL4,32,5,1995000.0,flat,sale,221.0,True,4,3,Barrio Vallehermoso,Madrid,Madrid,Chamberí,es,Vallehermoso,40.4387882,-3.7096004,False,https://www.idealista.com/inmueble/108463268/,"Espectacular vivienda muy luminosa con vistas despejadas en Vallehermoso Engel & Völkers tiene el placer de presentarles esta propiedad en Exclusiva situada en el prestigioso Barrio de Vallehermoso, en Chamberí, con vistas despejadas hacia el Parque Santander. Según entramos en el edificio, nos encontramos un amplio portal construido con materiales nobles por el cual accedemos al ascensor. Llegamos a la quinta planta, nos encontramos un descansillo, con luz natural con dos viviendas por planta, finca muy tranquila. Accedemos a la vivienda por un amplio recibidor llegando a la zona social de la casa, totalmente exterior y compuesta actualmente por tres ambientes, dos zonas de salón, y un amplio comedor. A la derecha del recibidor encontramos una amplia cocina, con gran office para comer y con acceso a una terraza que da a un amplio patio interior y a la puerta de servicio. En la zona de noche encontramos tres amplios dormitorios exteriores, de los cuales, uno de ellos tiene baño en Suite y otra habitación como cuarto de estar unida al mismo. Todos los baños tienen ventana. El edificio tiene portero. Tiene trastero en finca. Los propietarios disponen de una plaza de garaje PAR. Sin duda, una casa ideal para cualquier tipo de familias o inversores que busquen un hogar, por la amplitud, luz, techos altos, vistas, portal señorial en una zona inmejorable de Vallehermoso rodeada de zonas deportivas y parques. La vivienda está situada en el distrito de Chamberí, en una de las calles más privilegiadas del barrio de Vallehermoso, disponiendo de una importante variedad de comercios y servicios: red de transporte público y autobuses, destacando la estación de metro de Canal permitiéndonos así acceder de forma rápida y eficaz a todo el centro de la capital. Vallehermoso destaca dentro de Chamberí por sus zonas verdes Parque de Enrique Herreros, parque de Bravo Murillo y el Parque del Canal de Isabel II que cuenta además de con zonas verdes, pistas de pádel y pistas de fútbol. También nos encontramos con un gran centro deportivo, Go fit, el Estadio de Atletismo de Vallehermoso, el centro deportivo del Canal y la nueva apertura del centro deportivo del parque Móvil. El barrio cuenta con zonas comerciales e importantes hospitales como El Clínico San Carlos, La Fundación Jiménez Díaz, La Luz y La Paloma. Las comunicaciones son excelentes, tanto en dotaciones de transporte público, líneas de autobús (2, 3, 12, 37, 149 y N29) y Metro Canal con las lineas 2-7, como en conexiones a la M-30, A6 y otras vías principales. En breves minutos podemos incorporarnos desde la carretera de La Coruña N-VI. Muy próxima a la Ciudad Universitaria y Moncloa.",True,good,False,True,9027.0,True,False,True,False,[],False,False,1995000.0,€,,,,flat,"Vallehermoso, Madrid",Piso,Destacado,,,,
