propertyCode,thumbnail,externalReference,numPhotos,price,propertyType,operation,size,rooms,bathrooms,address,province,municipality,district,country,latitude,longitude,showAddress,url,description,hasVideo,status,newDevelopment,priceByArea,hasPlan,has3DTour,has360,hasStaging,notes,topNewDevelopment,topPlus,priceInfo.price.amount,priceInfo.price.currencySuffix,priceInfo.price.priceDropInfo.formerPrice,priceInfo.price.priceDropInfo.priceDropValue,priceInfo.price.priceDropInfo.priceDropPercentage,parkingSpace.hasParkingSpace,parkingSpace.isParkingSpaceIncludedInPrice,detailedType.typology,detailedType.subTypology,suggestedTexts.subtitle,suggestedTexts.title,highlight.groupDescription,floor,exterior,hasLift,neighborhood,newDevelopmentFinished
105179088,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/bf/03/c7/1244237046.webp,OFIVENT 482,51,430000.0,chalet,sale,254.0,5,3,calle de las Moreras,Madrid,Aranjuez,Foso-Moreras,es,40.0335268,-3.5851148,False,https://www.idealista.com/inmueble/105179088/,"¡Bienvenido a tu nuevo hogar en Aranjuez! Presentamos este espectacular chalet adosado ubicado en una exclusiva urbanización privada, ideal para quienes buscan comodidad, modernidad y una excelente ubicación. Con 254 m² construidos, esta vivienda ofrece un salón luminoso con acceso directo a un jardín privado de 100 m², perfecto para disfrutar de momentos al aire libre. La cocina está totalmente equipada, lista para que prepares tus mejores recetas. La casa cuenta con cuatro habitaciones amplias, todas con armarios empotrados, y tres baños completos, uno de ellos adicional para mayor comodidad. El sótano multiusos es un espacio versátil que puedes adaptar a tus necesidades, ya sea como sala de juegos, gimnasio o despacho. Además, el garaje tiene capacidad para dos coches y existe la posibilidad de habilitar una cuarta planta en la zona abuhardillada, ampliando aún más el espacio habitable. La urbanización ofrece una variedad de servicios comunitarios que incluyen jardines, piscina, pista de tenis y parking común. Construida en 2002 y en excelente estado de conservación, esta vivienda se encuentra en un ambiente tranquilo y exclusivo con solo 28 vecinos. Equipada con aire acondicionado y calefacción por gas natural, garantiza confort durante todo el año. No pierdas la oportunidad de vivir en este entorno privilegiado. ¡Contacta con nosotros para más información y ven a conocer tu futura casa en Aranjuez!",False,good,False,1693.0,True,False,False,False,[],False,False,430000.0,€,450000.0,20000.0,4.0,True,True,chalet,terracedHouse,"Foso-Moreras, Aranjuez",Chalet adosado en calle de las Moreras,Destacado,,,,,
108683492,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/82/8d/45/1352039804.webp,,17,340000.0,flat,sale,76.0,2,1,Sector de los Escultores,Madrid,Tres Cantos,Primera Fase - Nuevo Tres Cantos,es,40.6106893,-3.7121086,False,https://www.idealista.com/inmueble/108683492/,"""Grupo Hogares"" vende en exclusiva magnífica vivienda, en una de las mejores zonas de Tres Cantos, en la Avda. de Colmenar de la Primera Fase. Amplia vivienda que se distribuye en dos dormitorios, de los cuales el dormitorio principal cuenta con una zona vestidor y armario empotrado, un baño completo y gran salón con la cocina incorporada para dar mayor sensación de amplitud. El salón tiene acceso directo a una fantástica terraza con vistas despejadas. Se completa el inmueble con una cómoda plaza de GARAJE y TRASTERO. Este piso cuenta con una distribución lógica y equilibrada, con formas geométricas sobrias que facilitan su amueblado. Además, es una vivienda exterior, con doble orientación. El piso se encuentra en una de las zonas más demandadas de la ciudad. La ubicación es inmejorable, con una rápida incorporación a la carretera M-607, y todos los servicios en las proximidades: líneas de autobús, farmacias, centros deportivos, centros educativos, parques públicos, supermercados, etc. Nuestro departamento financiero ""FinanHogar"" puede conseguir hasta el 100% de financiación. Pregunte para hacer un estudio financiero sin compromiso. ¡NO PIERDA LA OPORTUNIDAD DE VISITAR ESTA EXCLUSIVA VIVIENDA!",True,good,False,4474.0,True,True,False,False,[],False,False,340000.0,€,,,,True,True,flat,,"Primera Fase - Nuevo Tres Cantos, Tres Cantos",Piso en Sector de los Escultores,Destacado,1,True,True,,
108581482,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/bb/c4/30/1349069837.webp,10008548,22,255000.0,flat,sale,70.0,3,1,calle de Cipriano Sancho,Madrid,Madrid,Ciudad Lineal,es,40.432812,-3.6560688,False,https://www.idealista.com/inmueble/108581482/,"¡Oportunidad única! Se vende vivienda en una de las zonas con mayor proyección de Madrid, a escasos metros del Metro El Carmen y la calle Alcalá, junto al futuro gran parque sobre la M-30. Una oportunidad única tanto para vivir como para invertir. Vivienda2 tiene el placer de presentar una oportunidad excepcional en el mercado, para quienes buscan una inversión con alta rentabilidad y un potencial de revalorización inmediata y la posibilidad de poder convertirlo en tu nuevo hogar en poco tiempo. Se trata de una vivienda muy luminosa, orientada a una calle tranquila y sin apenas ruido, lo que garantiza una gran calidad de vida en una de las zonas más céntricas y mejor comunicadas de la ciudad. La luz natural que entra durante todo el día realza sus espacios y proporciona una sensación de amplitud y bienestar. La vivienda cuenta con tres dormitorios y un baño, distribuidos de forma funcional, lo que la hace ideal tanto para familias como para quienes buscan rentabilizarla como inversión en alquiler. Actualmente se encuentra alquilada, generando una alta rentabilidad desde el primer momento, y existe la posibilidad de adquirir otros inmuebles dentro de la misma finca, lo que abre la puerta a una inversión más amplia con una gestión centralizada. Además, el edificio tiene pocos vecinos, lo que se traduce en un ambiente tranquilo y sin aglomeraciones. La cocina moderna y funcional con todos los electrodomésticos y un mantenimiento al día, garantizando que toda la vivienda se encuentra en un estado impecable. Pero si hay algo que realmente diferencia esta vivienda del resto, es su ubicación estratégica. Está situada a muy pocos metros de la parada de Metro El Carmen, y a tan solo unos minutos caminando de la estación de Ventas. Además, cuenta con numerosas líneas de autobús que conectan rápidamente con el centro de Madrid y otras zonas de la ciudad, lo que permite una movilidad excelente sin necesidad de vehículo propio. La vivienda se encuentra justo al lado del futuro gran parque que se va a construir sobre la M-30, una ambiciosa intervención urbana que transformará completamente el entorno. Este proyecto unirá la zona con el parque de Fuente del Berro, creando un gran pulmón verde en una zona históricamente fragmentada por la autopista. La mejora ambiental, paisajística y de calidad urbana será enorme, lo que implicará una inmediata revalorización de todos los inmuebles del entorno, tanto por el atractivo residencial como por el potencial de inversión. Además, el barrio dispone de todos los servicios necesarios a pie de calle: supermercados, comercios de barrio, colegios, centros médicos, farmacias, zonas de ocio y restauración... Todo lo que necesitas para el día a día está al alcance de la mano, pero con la ventaja de estar ubicado en una calle tranquila, donde se puede disfrutar del descanso sin renunciar a ninguna comodidad. En resumen, esta es una oportunidad perfecta para quienes buscan una vivienda luminosa, bien comunicada y con una rentabilidad inmediata, en una zona que está a punto de experimentar una transformación urbana sin precedentes en Madrid. Ya sea para vivir o para invertir, esta propiedad reúne todos los requisitos para convertirse en una apuesta segura. No dejes pasar esta ocasión. La combinación de ubicación, rentabilidad y potencial de revalorización hacen de esta vivienda una oportunidad única en el mercado actual.",True,good,False,3643.0,True,False,False,False,[],False,False,255000.0,€,,,,,,flat,,"Ventas, Madrid",Piso en calle de Cipriano Sancho,Destacado,,True,False,Ventas,
105598320,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/26/63/2c/1257243125.webp,10008236,27,424500.0,flat,sale,50.0,2,1,calle de la Magdalena,Madrid,Madrid,Centro,es,40.4124959,-3.7023263,False,https://www.idealista.com/inmueble/105598320/,"Vivienda² pone a la venta este piso, en 7º planta, ""con vistas a jardines "", junto a la c/ Atocha y la Plza de Antón Martín y aun paseíto de la Pza Mayor, y muy cerquita de la emblemática Plza de Santa Ana, en pleno Distrito de Centro. . -Se trata de un piso de un piso listo para entrar a vivir, con buena distribucion: Hall, salón con 2 ventanas a ese precioso jardín y cocina integrada en el salón, y 2 dormitorios con vistas tambien al jardín + un Wc con ventana al mismo jardín, reformado recientemente. -Ubicado en una zona privilegiada de la "" almendra central "" de Madrid, cerca de la zona cultural ( Museos e EL Prado, y Reina Sofía,. - Casa Encendida,. - Caixa Forum ), teatros como: Teatro Español,. - el Ateneo de Madrid, cerca tambien del Pº Prado, de la Estación de Atocha o estación del Arte y Atocha AVE,. - del Real Jardín Botánico. . -Barrio dotado de buen transporte público, en bus tienes: La líneas ( 002- M1 y M3 ) y muy cerquita a unos 50 metros la boca de la estación de metro de: Antón Martín ( L-1 ) La zona tiene todo lo necesario para no tener que utilizar ningún tipo de transporte, hoteles, museos, colegios como: Real Colegio de Santa Isabel la Asunción, tiendas de ropa, de tatuajes, zapaterias, bares, restaurantes, fruterias, el mercado de abastos de Antón Martín donde encontrar todo tipo de producto fresco, gimnasios, pizzerías etc.",False,good,False,8490.0,True,False,False,False,[],False,False,424500.0,€,,,,,,flat,,"Lavapiés-Embajadores, Madrid",Piso en calle de la Magdalena,Destacado,6,False,True,Lavapiés-Embajadores,
109022409,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/a4/c8/57/1362094369.webp,c9e324af-9143-47c9-a4e4-3e69ad41e0ac,49,380000.0,penthouse,sale,140.0,2,2,avenida 1º de Mayo,Madrid,Rivas-Vaciamadrid,Casco Histórico,es,40.3399297,-3.5167865,False,https://www.idealista.com/inmueble/109022409/,"Descubre tu nuevo hogar en Rivas-Vaciamadrid, donde la comodidad y la conveniencia se encuentran. Este ático en venta ofrece una oportunidad única para establecerse en una de las áreas más buscadas de la región. Dispone de una terraza de 114m2 y de una superficie interior útil de 75m2. La propiedad está diseñada para adaptarse a tus necesidades, brindando un espacio acogedor y funcional. Dispone de 2 plazas de garaje y trastero.  La urbanización dispone de zona y piscina comunitaria. Este ático promete ser una inversión atractiva para quienes buscan un lugar especial para llamar hogar.  Contacta hoy mismo para obtener más información y concertar una visita.  ¡No dejes pasar esta oportunidad de ser parte de la vibrante comunidad de Rivas-Vaciamadrid! Honorarios inmobiliarios no incluidos.",False,renew,False,2714.0,False,False,False,False,[],False,False,380000.0,€,,,,True,True,flat,penthouse,"Casco Histórico, Rivas-Vaciamadrid",Ático en avenida 1º de Mayo,Destacado,4,True,True,,
109149962,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/07/d7/04/1365753601.webp,EUROPA107,27,429900.0,chalet,sale,199.0,4,3,avenida Europa,Madrid,Valdemoro,Altos del Olivar - El Caracol,es,40.1800109,-3.6721531,False,https://www.idealista.com/inmueble/109149962/,"Se vende estupendo chalet adosado en la tranquila y familiar zona de El Caracol, en Valdemoro. Una ubicación privilegiada, en una zona muy tranquila con todos los servicios necesarios para el día a día, como colegios, supermercados, centros médicos, transporte público y amplias zonas verdes. Ideal para quienes buscan comodidad, seguridad y calidad de vida. La vivienda se distribuye en tres plantas y cuenta con 4 habitaciones, perfectas para familias o para quienes necesitan espacio adicional para despacho, gimnasio o invitados. Dispone de 2 baños completos y 1 aseo, además de un salón amplio y muy luminoso con salida directa al patio trasero de grandes dimensiones, perfecto para disfrutar al aire libre o montar una zona de ocio. Entre sus características destacan las placas solares, que permiten un importante ahorro energético, el aire acondicionado instalado en varias estancias y las persianas automáticas, que aportan mayor confort y seguridad en el día a día. La vivienda está en buen estado, lista para entrar a vivir. Una excelente oportunidad para adquirir una casa amplia, funcional y sostenible en una de las zonas más demandadas de Valdemoro. Para más información o concertar una visita, no dudes en ponerte en contacto. Este anuncio no es vinculante, puede contener errores y se muestra a título informativo y no contractual. *.",True,good,False,2160.0,True,True,False,False,[],False,False,429900.0,€,,,,True,True,chalet,terracedHouse,"Altos del Olivar - El Caracol, Valdemoro",Chalet adosado en avenida Europa,Destacado,,,,,
108246265,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/b1/c2/1d/1338326097.webp,,18,539900.0,flat,sale,115.0,3,2,calle del Fuego,Madrid,Tres Cantos,Primera Fase - Nuevo Tres Cantos,es,40.6124785,-3.7176468,False,https://www.idealista.com/inmueble/108246265/,"""Grupo Hogares"" vende, en exclusiva, esta excepcional vivienda en una de las ubicaciones más privilegiadas de Tres Cantos.  Este piso, en óptimas condiciones, combina una distribución inteligente con una dotación completa de comodidades y servicios, ideal para quienes buscan calidad de vida. La propiedad se distribuye en tres amplios dormitorios, incluyendo uno con baño en suite, además de un segundo baño completo. La cocina es independiente y el salón, espacioso y luminoso, ofrece vistas despejadas, creando un ambiente de bienestar y confort. Pensando en su comodidad, el inmueble está equipado con aire acondicionado, ventanas de climalit, baños reformados. , paredes lisas y toldos en todas las estancias, asegurando una habitabilidad superior. Todos los dormitorios cuentan con armarios empotrados, optimizando cada metro cuadrado. La comunidad ofrece un estilo de vida inigualable con portero físico, extensas zonas ajardinadas, parque infantil, pista de fútbol y multideporte, y una fantástica piscina. La oferta se completa con dos plazas de garaje y un trastero, añadiendo valor y funcionalidad a esta magnífica propiedad. Ubicado en la Primera Fase de Tres Cantos, esta zona se caracteriza por su tranquilidad y excelente comunicación. Disfrutará de un acceso rápido a la M-607 y de la cercanía a todos los servicios esenciales: transporte público, farmacias, centros educativos, parques y supermercados. Además, a través de nuestro departamento financiero FinanHogar, podemos gestionar hasta el 100% de financiación, con un estudio financiero sin compromiso. No deje pasar la oportunidad de visitar esta exclusiva vivienda y descubrir el hogar que siempre ha deseado en Tres Cantos.",True,good,False,4695.0,True,True,False,False,[],False,False,539900.0,€,,,,True,True,flat,,"Primera Fase - Nuevo Tres Cantos, Tres Cantos",Piso en calle del Fuego,Destacado,5,True,True,,
109214641,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/e6/20/92/1367668933.webp,RP2312025141339,4,215000.0,flat,sale,77.0,3,1,Juan de Austria,Madrid,Alcalá de Henares,Juan de Austria,es,40.4836394,-3.3598072,False,https://www.idealista.com/inmueble/109214641/,"Redpiso vende excelente OPORTUNIDAD de vivienda en Juan de Austria (pegado al Casco Histórico de Alcalá de Henares. )  Situado en finca muy tranquila.  Dispone de 3 dormitorios, salón, terraza, cocina y baño completo.  Rodeado de todo tipo de servicios y a escasos minutos de estación de Renfe cercanías, líneas de autobuses (urbanas e interurbanas) y casco histórico.  Disponemos de asesoramiento financiero gratuito con nuestro departamento Dcredit.  ¡Consulta sin compromiso!",False,good,False,2792.0,False,False,False,False,[],False,False,215000.0,€,,,,,,flat,,"Juan de Austria, Alcalá de Henares",Piso,Destacado,2,False,False,,
107857661,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/8a/7e/ac/1326402097.webp,10008245,33,289900.0,flat,sale,48.0,1,1,calle de Benito Gutiérrez,Madrid,Madrid,Moncloa,es,40.433343,-3.7188107,False,https://www.idealista.com/inmueble/107857661/,"Exclusiva Vivienda en Venta en la Calle Benito Gutiérrez Vivienda2 pone en exclusiva la venta de un fantástico piso en la calle Benito Gutiérrez. Perfectamente ubicado entre las mejores calles de Argüelles, este piso se sitúa en una finca atípica y elegante construida en 1932, destacando por su singularidad y encanto. El inmueble cuenta con un amplio dormitorio, totalmente exterior, ideal para una pareja que desee vivir en una de las zonas más codiciadas de Madrid. La habitación ofrece abundante luz natural y se complementa con un pequeño patio de uso y disfrute exclusivo, perfecto para relajarse al aire libre. La propiedad fue completamente reformada en 2015, combinando diseño moderno con toques clásicos que respetan la esencia del edificio. Además, el piso actualmente se encuentra en rentabilidad hasta ENERO DE 2026, lo que lo convierte en una excelente inversión tanto para vivir como para obtener ingresos pasivos. La ubicación es inmejorable, con acceso cercano a múltiples servicios, tiendas, restaurantes y transporte público, brindando comodidad y calidad de vida. No dejes pasar esta oportunidad única de adquirir una propiedad con excelente ubicación, condiciones inmejorables y gran potencial de rentabilidad. ¡Contáctanos para más información y para concertar una visita!",True,good,False,6040.0,True,False,True,False,[],False,False,289900.0,€,,,,,,flat,,"Argüelles, Madrid",Piso en calle de Benito Gutiérrez,Destacado,,True,False,Argüelles,
108280978,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/98/16/fd/1339400026.webp,W-02ZTHL,21,520000.0,flat,sale,88.0,2,2,Barrio Ventilla-Almenara,Madrid,Madrid,Tetuán,es,40.4653514,-3.6893476,False,https://www.idealista.com/inmueble/108280978/,"Excelente oportunidad junto a Plaza Castilla Engel & Völkers inmobiliaria de lujo comercializa esta vivienda en plena Plaza Castilla. Situada en entreplanta de nivel de vía y calzada. El piso de 88 m2, se encuentra dividido estructuralmente en dos viviendas, ambas con entradas y uso independientes. Una gran ventaja es que la Finca tiene autorizado un proyecto de reforma integral de modernización total, incluida la fachada.  Estará comprando en un edificio prácticamente nuevo. El piso esta para reformar. La propiedad es una excelente opción para reformar a su gusto, o como inversión para alquiler de alto standing con excelentes rendimientos de manera inmediata. La propiedad tiene una ubicación ideal a pocos pasos del eje formado por las Torres KIO y Plaza Castilla, la cual reúne varias líneas de Metro, así como el terminal de autobuses y la terminal ALSA. Muy cerca se encuentran la estación de trenes de Chamartín y el estadio Santiago Bernabéu. Los alrededores inmediatos ofrecen una excelente oferta de restaurantes, comercios, colegios y universidades, hospitales, parques, museos, instalaciones deportivas, hoteles y centros comerciales. A muy corta distancia se encuentran el complejo de las Cinco Torres Business Área, el centro empresarial de Madrid donde tienen sus oficinas diversas empresas nacionales e internacionales, así como embajadas o consulados y donde se concentran miles de alumnos de todo el mundo que vienen a estudiar en el Instituto de Empresa (IE). Todo esto dentro del perímetro del proyecto urbanístico Madrid Norte.",False,renew,False,5909.0,True,False,False,False,[],False,False,520000.0,€,,,,,,flat,,"Ventilla-Almenara, Madrid",Piso,Destacado,,True,True,Ventilla-Almenara,
