propertyCode,thumbnail,externalReference,numPhotos,floor,price,propertyType,operation,size,exterior,rooms,bathrooms,address,province,municipality,district,country,neighborhood,latitude,longitude,showAddress,url,description,hasVideo,status,newDevelopment,hasLift,priceByArea,hasPlan,has3DTour,has360,hasStaging,notes,topNewDevelopment,topPlus,priceInfo.price.amount,priceInfo.price.currencySuffix,detailedType.typology,detailedType.subTypology,suggestedTexts.subtitle,suggestedTexts.title,highlight.groupDescription,parkingSpace.hasParkingSpace,parkingSpace.isParkingSpaceIncludedInPrice,priceInfo.price.priceDropInfo.formerPrice,priceInfo.price.priceDropInfo.priceDropValue,priceInfo.price.priceDropInfo.priceDropPercentage,newDevelopmentFinished
108499497,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/04/15/d6/1354456243.webp,3e4dcb66-4a68-4909-8c46-8635c6d8f08f,19,5,990000.0,penthouse,sale,120.0,True,3,2,calle de la Buganvilla,Madrid,Madrid,Chamartín,es,Castilla,40.4722731,-3.6758523,False,https://www.idealista.com/inmueble/108499497/,"Te presentamos este exclusivo ático de 120 m² ubicado en el barrio de Castilla, dentro del prestigioso distrito de Chamartín, Madrid. Una vivienda única que destaca por su amplitud, luminosidad y por ofrecer todas las comodidades necesarias para una vida moderna y confortable en una de las zonas más valoradas de la capital. La propiedad se encuentra actualmente en proceso de reforma, en su fase final, lo que permitirá a los futuros propietarios estrenar un hogar completamente renovado, con acabados actuales y de alta calidad. Cuenta con tres dormitorios bien distribuidos y dos baños completos, pensados para satisfacer las necesidades tanto de familias como de quienes buscan espacio adicional para teletrabajar o recibir invitados. Entre sus características destaca una amplia terraza privada de más de 20 m², perfecta para disfrutar del aire libre, relajarse o compartir momentos especiales. El ático está equipado con aire acondicionado, calefacción individual a gas, armarios empotrados, una cocina totalmente equipada y un práctico cuarto de lavado, optimizando cada metro de la vivienda para brindar funcionalidad sin renunciar al diseño. El edificio en el que se ubica la vivienda ofrece servicios de gran valor añadido como conserjería, ascensor, piscina comunitaria y accesibilidad para personas con movilidad reducida. Además, existe la opción de adquirir una plaza de garaje en la misma finca con acceso directo, por un precio adicional de 20.000 €, lo que representa un plus en una zona donde el aparcamiento es muy demandado. Ubicación Situado en el barrio de Castilla, dentro del distrito de Chamartín, este ático goza de una ubicación excelente. Se trata de una zona residencial consolidada, conocida por su tranquilidad, amplias avenidas, cercanía a zonas verdes y excelente dotación de servicios. En sus inmediaciones encontrarás colegios, centros de salud, supermercados, comercios locales y una completa oferta de ocio y restauración. Además, la zona está muy bien comunicada mediante transporte público (metro, autobuses y Cercanías), y cuenta con acceso rápido a las principales vías de salida y entrada a Madrid. Una oportunidad excepcional para vivir en una de las áreas más cotizadas de la ciudad, en un ático moderno y listo para disfrutar desde el primer día. ¡Contáctanos para más información y agenda tu visita!",False,renew,False,True,8250.0,False,False,False,False,[],False,False,990000.0,€,flat,penthouse,"Castilla, Madrid",Ático en calle de la Buganvilla,Destacado,,,,,,
108961048,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/df/da/b3/1360772150.webp,59d0ebcc-6c7d-4010-a979-f06e7a4144c0,49,7,249900.0,flat,sale,106.0,True,3,2,calle de Belzunegui,Madrid,Madrid,Carabanchel,es,Puerta Bonita,40.3775377,-3.7379822,False,https://www.idealista.com/inmueble/108961048/,"Descubre este espacioso piso de 106 m² en el corazón de Puerta Bonita.  Con 3 dormitorios y 2 baños, esta vivienda es ideal para familias que buscan personalizar su hogar. Aunque requiere reforma, ofrece un potencial increíble con una terraza exterior y armarios empotrados que añaden funcionalidad. La cocina está equipada, lista para tus aventuras culinarias. El sistema de calefacción a gas promete calidez en los meses fríos. Situado en un edificio con ascensor, el acceso es cómodo y sin esfuerzo.  Perfectamente conectado y con vistas exteriores, este piso es una oportunidad para crear el hogar de tus sueños. Con todo tipo de trasporte público metro San Francisco a 2 minutos y Autobuses a Madrid 47, 108, 118, 121, 131, 155 y Autobús interurbano 485.",True,renew,False,True,2358.0,False,False,False,False,[],False,False,249900.0,€,flat,,"Puerta Bonita, Madrid",Piso en calle de Belzunegui,Destacado,,,,,,
109135407,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/a5/ab/43/1365738935.webp,VENTA-COSLADA,50,1,235000.0,flat,sale,91.0,True,3,1,avenida de Madrid,Madrid,Coslada,Ciudad 70,es,,40.4200783,-3.5414788,False,https://www.idealista.com/inmueble/109135407/,"SERVICHECK VENDE PRECIOSO Y AMPLIO PISO DE TRES HABITACIONES EN COSLADA, MADRID. -Visitas presenciales: MEJOR VER, PARA MAS INFORMACION CONTACTAR CON EMILIANO CORREA AL 602_25_02_83 ( MEJOR POR WHATSAPP). -Horario de atención: Lunes a viernes de 09:30 a 14:00 y de 17:00 a 20:00. -Tour 3D disponible para una experiencia visual completa. Oportunidad en Coslada – Piso de 3 dormitorios con terraza en zona céntrica Se pone a la venta esta luminosa vivienda situada en una primera planta exterior, en el corazón de Coslada (Madrid), rodeada de todos los servicios y comodidades. El piso cuenta con una distribución práctica y confortable: Tres dormitorios amplios, uno de ellos con ventanas climalit y los otros dos con doble ventanal, lo que garantiza un excelente aislamiento térmico y acústico, favoreciendo el confort y la eficiencia energética. Salón-comedor espacioso, muy luminoso, con salida directa a una terraza exterior perfecta para disfrutar del aire libre. Cocina americana integrada, práctica y funcional, que aporta amplitud al espacio de día. Baño completo con plato de ducha, moderno y cómodo. La vivienda destaca por su orientación sureste, que asegura luz natural durante gran parte del día, y por contar con calefacción individual de gas natural. El inmueble dispone de un amplio trastero, ideal para almacenamiento. En cuanto a ubicación, es inmejorable: una zona muy céntrica de Coslada, a escasos metros de paradas de autobús (esos mismos comunican a 10 minutos con la estación de Renfe de Coslada y Metro), supermercados, parques, colegios, hospital, todo tipo de comercios y servicios, lo que hace que esta vivienda sea ideal tanto para familias como para quienes buscan comodidad y buena conexión. Una excelente oportunidad para entrar a vivir en una zona consolidada y con gran proyección. MEJOR VER, PARA MAS INFORMACION CONTACTAR CON EMILIANO CORREA AL 602_25_02_83 ( TAMBIEN SE ATIENDE POR WHATSAPP).",True,good,False,False,2582.0,True,False,True,True,[],False,False,235000.0,€,flat,,"Ciudad 70, Coslada",Piso en avenida de Madrid,Destacado,,,,,,
109184257,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/09/5a/7e/1366756644.webp,LCM38512,44,2,420000.0,flat,sale,75.0,True,3,1,paseo de la Ermita del Santo,Madrid,Madrid,Latina,es,Los Cármenes,40.4051658,-3.7263788,False,https://www.idealista.com/inmueble/109184257/,"PISO REFORMADO CON ENCANTO EN EL PASEO DE LA ERMITA DEL SANTO En el Paseo de la Ermita del Santo te espera un piso único que combina lo mejor de dos mundos: la calma de una zona residencial junto al río Manzanares y la vibrante vida del centro de Madrid a solo unos minutos. La vivienda ha sido totalmente reformada con instalaciones de fontanería y electricidad renovadas, ofreciendo la seguridad y eficiencia de un hogar moderno. Sus tres habitaciones, un baño completo y una cocina americana integrada al salón crean un espacio amplio, luminoso y perfecto para disfrutar de la vida en familia o con amigos. Cada detalle ha sido cuidado para ofrecer confort y estilo. Cuenta con dos aires acondicionados, ventiladores de techo en todas las habitaciones, ventanas de aluminio con mosquiteras, mobiliario actual de reciente instalación y calefacción central de gas natural. El edificio dispone de ascensor y la propiedad añade un práctico trastero, un extra muy valorado en la zona. Aquí encontrarás un hogar preparado para entrar a vivir y disfrutar desde el primer día, sin preocupaciones ni reformas pendientes. El entorno es simplemente inspirador: a pocos pasos se abre el Parque de la Ermita del Santo, ideal para pasear, hacer deporte o relajarse junto al río. En pocos minutos llegarás a Príncipe Pío, uno de los grandes nodos de transporte de la ciudad, con metro, cercanías y autobuses, además de una variada oferta comercial y de ocio. La cercanía a la Puerta del Sol y al centro histórico hace que la vida madrileña esté siempre a tu alcance. Además, la zona está en plena transformación urbanística, con nuevos edificios, servicios y espacios verdes que revalorizarán aún más este enclave, convirtiéndolo en uno de los puntos más atractivos y prometedores de Madrid. No pierdas la oportunidad de vivir en este maravilloso piso. ¡Contáctanos hoy mismo para programar una visita! NOTA: este anuncio no es vinculante; puede contener errores y se muestra a título informativo, no contractual.",False,good,False,True,5600.0,True,False,False,False,[],False,False,420000.0,€,flat,,"Los Cármenes, Madrid",Piso en paseo de la Ermita del Santo,Destacado,,,,,,
109195747,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/13/ae/a3/1367108926.webp,LCM38512,47,2,420000.0,flat,sale,75.0,True,3,1,paseo de la Ermita del Santo,Madrid,Madrid,Latina,es,Los Cármenes,40.4071735,-3.724351,False,https://www.idealista.com/inmueble/109195747/,"PRECIOSO PISO EN VENTA EN PASEO DE LA ERMITA DEL SANTO. Descubre este espectacular piso en una ubicación privilegiada en el Paseo de la Ermita del Santo, donde la modernidad se encuentra con la tranquilidad. Este inmueble ha sido sometido a una reforma integral reciente, lo que garantiza un espacio fresco y acogedor. Con 75 m² construidos, cuenta con tres habitaciones luminosas, un baño completo y una cocina americana integrada al salón, perfecta para disfrutar de momentos en familia o con amigos. El piso está equipado con dos aires acondicionados, uno en el salón y otro en la habitación principal, así como ventiladores de techo en todas las habitaciones, asegurando el máximo confort durante todo el año. Las ventanas de aluminio con mosquiteras permiten disfrutar de la brisa sin preocuparse por los insectos. Además, el mobiliario actual tiene una antigüedad máxima de 2020, lo que significa que podrás mudarte sin necesidad de realizar inversiones adicionales. La calefacción central de gas natural y la presencia de un ascensor en la finca añaden comodidad a la vida diaria. También incluye un trastero adicional, ideal para almacenar lo que necesites. La cercanía al Parque de la Ermita del Santo y al Río Manzanares te permitirá disfrutar de espacios verdes y actividades al aire libre. Este barrio tranquilo y seguro es perfecto para vivir o como inversión inteligente, especialmente considerando la transformación urbanística que está experimentando la zona. Con excelente conexión al resto de Madrid a través de Príncipe Pío, metro, cercanías y autobuses, no hay mejor oportunidad para adquirir un hogar con potencial de revalorización futura. ¡No dejes pasar esta oportunidad única!",False,good,False,True,5600.0,True,False,False,False,[],False,False,420000.0,€,flat,,"Los Cármenes, Madrid",Piso en paseo de la Ermita del Santo,Destacado,,,,,,
109028158,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/76/7c/48/1363296244.webp,,22,1,150000.0,studio,sale,59.0,True,0,1,calle Charco de la Peña,Madrid,Collado Villalba,Fontenebro - Altavista,es,,40.6451211,-3.9816912,False,https://www.idealista.com/inmueble/109028158/,"¡INMOBILIARIA HOGARES PRENSENTA EN EXCLUSIVA ESTUPENDO DESPACHO! Desarrolla tu inversión en una urbanización con piscina y parque infantil. Despacho profesional adaptado como estudio o vivienda a estrenar, en primera planta con ascensor y orientación noreste. Cuenta con garaje y trastero, además de una piscina para disfrutar en familia y zonas comunes con parque infantil. Ideal para inversores: posibilidad de alquiler estimado de 850€/mes. Detalles destacados: Videoportero para mayor seguridad Persianas eléctricas y suich eléctricos para mayor confort Bomba de frío y calor para climatización eficiente A estrenar: listo para entrar a vivir o adaptar a tu negocio Aire acondicionado para clima agradable todo el año Orientación noreste: luz natural y ventilación optimizadas Ubicación en urbanización con servicios y acceso cómodo ¡NO ESPERE MÁS Y CONVIERTA ESTA VIVIENDA EN SU NUEVO HOGAR! Para obtener más información o programar una visita, contáctenos o visite nuestra página web. Nuestro equipo estará encantado de ayudarle y mostrarle todas las ventajas y comodidades que esta propiedad tiene para ofrecer. ¡FINANCIACIÓN Y ESTUDIO FINANCIERO GRATUITO Y SIN COMPROMISO!",True,good,False,True,2542.0,True,True,False,False,[],False,False,150000.0,€,flat,studio,"Fontenebro - Altavista, Collado Villalba",Estudio en calle Charco de la Peña,Destacado,True,True,,,,
109185601,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/03/30/84/1366802900.webp,,25,bj,410000.0,flat,sale,67.0,True,2,1,calle de Antonio Machado,Madrid,Madrid,Moncloa,es,Valdezarza,40.464181,-3.7191154,False,https://www.idealista.com/inmueble/109185601/,"ESTUDIO ANTONIO MACHADO S. L. VENDE PISO EN URBANIZACIÓN CERRADA Y FINCA REPRESENTATIVA COMPLETAMENTE EXTERIOR Consta de 2 dormitorios, 1 cuarto de baño, salón, cocina y despensa. La urbanización cuenta con servicios como piscina, jardines privados, campo de fútbol, salón de eventos, farmacia, fisioterapia, peluquería. Con todos los servicios; colegios, supermercados, bancos, farmacias, centro de salud y rodeado de zonas verdes a muy pocos metros. Muy bien ubicado, se accede a A6 y M30 en 1 minuto. Autobuses: 42, 126, 127, 132, 137, N20, N21 y N2 que comunican la zona con toda la capital. Línea 7 de metro (Antonio Machado, Valdezarza y Peñagrande) ¡OPORTUNIDAD! Con KÌRON y sus agentes de intermediación financiera podrás encontrar la hipoteca que mejor se adapte a tus necesidades de financiación, para que puedas beneficiarte de los convenios que tiene el grupo Tecnocasa con diferentes entidades bancarias. Con la posibilidad de financiación hasta 100%, asesórate gratis y sin compromiso. Reserva tu visita. ¡MÁS DE 25 AÑOS NOS AVALAN EN EL BARRIO!",False,good,False,True,6119.0,True,False,False,False,[],False,False,410000.0,€,flat,,"Valdezarza, Madrid",Piso en calle de Antonio Machado,Destacado,,,,,,
109198994,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/2a/6b/09/1367232828.webp,OFICIOS,27,6,458000.0,flat,sale,134.0,True,3,2,Sector Oficios,Madrid,Tres Cantos,Primera Fase - Nuevo Tres Cantos,es,,40.6027577,-3.7149075,False,https://www.idealista.com/inmueble/109198994/,"JJS HOMES vende EXCELENTE vivienda de 3 dormitorios en Sector Oficios (Tres Cantos) CUENTA CON PLAZA DE GARAJE Y TRASTERO INCLUIDOS EN EL PRECIO. Posibilidad de financiación hasta el 100% El inmueble consta de 134 m2 distribuidos de la siguiente manera: - Amplio HALL recibidor. - SALÓN INDEPENDIENTE muy amplio que cuenta con una gran luminosidad gracias a su inmejorable orientación y con salida en SUITE a la impresionante TERRAZA. - TRES HABITACIONES, todas con armarios empotrados y de buen tamaño. - DOS CUARTOS DE BAÑO. - COCINA INDEPENDIENTE muy amplia y con tendedero. La calefacción es individual de gas natural El suelo de la vivienda es de parquet se conserva en excelente estado. Amplias zonas verdes y jardines colindantes al edificio, zona muy tranquila y familiar Vivienda muy amplia con muy buena distribución y gran luminosidad. Se encuentra ubicada cerca de todos los servicios como parada de autobuses urbanos e interurbanos, supermercados, colegios, parques y al lado de la piscina municipal y gimnasios, inmejorable ubicación. La vivienda está en un entorno inmejorable con dotaciones como los colegios públicos Carmen Hernández Guarch, el CP. Ciudad de Columbia y la Escuela Infantil Cantinela en sus proximidades y el Polideportivo Alfonso Cadiñanos. Bancos, farmacias, comercios y servicios de todo tipo en la misma calle y en la cercana Avenida de Colmenar Viejo. Muy buena comunicación con Madrid y Colmenar Viejo mediante autobuses con paradas frente al edificio y 713, L4 y L5 y otras como las 712, L2 y N701, en sus proximidades. Fácil acceso en automóvil desde la salida 24 de la autovía de Colmenar Viejo M-607.",False,good,False,True,3418.0,True,False,False,False,[],False,False,458000.0,€,flat,,"Primera Fase - Nuevo Tres Cantos, Tres Cantos",Piso en Sector Oficios,Destacado,True,True,,,,
109196400,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/8a/9f/e8/1367305020.webp,P-3037,57,3,599000.0,duplex,sale,156.0,True,5,2,calle de Vicente Espinel,Madrid,Madrid,Ciudad Lineal,es,Pueblo Nuevo,40.4340284,-3.6403447,False,https://www.idealista.com/inmueble/109196400/,"LINKCASA PASEO EXTREMADURA VENDE un dúplex de 156 m² construidos en la calle Vicente Espinel (barrio de Pueblo Nuevo), a escasos metros de la arteria principal y comercial de la zona como es la calle Alcalá. La vivienda se distribuye en 2 plantas:  *Primera: consta de 1 habitación, un amplio salón, comedor, una cocina espaciosa, baño completo con bañera y terraza descubierta.  *Segunda: dispone de 4 habitaciones (3 de ellas doble), baño completo con bañera, trastero y terraza descubierta. El inmueble es exterior, muy luminoso, se trata de una tercera planta, está para entrar a vivir y dispone de calefacción individual de gas natural, bomba de calor y aire acondicionado. La propiedad se encuentra a 5 minutos de los metros Pueblo Nuevo (L-5 y L-7) y Ascao (L-7) y de varias líneas de autobuses de la EMT (38, 109, 113 y N5). La finca tiene la ITE favorable (año 2015). La vivienda se encuentra ubicada en una zona muy tranquila y bien comunicada, con todo tipo de servicios y comodidades a su alrededor (supermercados, restaurantes, entidades bancarias, farmacias, colegios, instalaciones deportivas, zonas verdes.. . etc), lo que hace de la compra del inmueble una buena oportunidad. Para más información, visítanos en nuestra web: linkcasa. es. No dejes de visitarlo.",False,good,False,False,3840.0,True,False,True,False,[],False,False,599000.0,€,flat,duplex,"Pueblo Nuevo, Madrid",Dúplex en calle de Vicente Espinel,Destacado,,,,,,
108069095,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/0d/1b/be/1344700447.webp,3248-24721,71,10,1490000.0,flat,sale,194.0,True,5,3,paseo de San Francisco de Sales,Madrid,Madrid,Chamberí,es,Vallehermoso,40.4396154,-3.7155371,False,https://www.idealista.com/inmueble/108069095/,"Magnifica vivienda exterior en venta en el Paseo San Francisco de Sales, ubicación privilegiada, en pleno corazón del emblemático barrio de Vallehermoso, uno de los más consolidados y prestigiosos de Chamberí y de todo Madrid. Con una superficie construida de 194 metros cuadrados, destaca su luminosidad, una décima planta exterior, con espectaculares vistas a  Madrid y a la Sierra. También destaca su tranquilidad, sin apenas ruido gracias a su orientación a un amplio jardín que forma parte de la finca, y a la Calle Doménico Scarlatti, la cual no tiene viviendas enfrente. Todo esto le confiere un valor añadido a esta exclusiva vivienda, sin duda una joya en una de las zonas más codiciadas de la capital. Consta de hall de entrada con armario gabanero, una estupenda cocina con office, tendedero cubierto, entrada y zona de servicio con dormitorio y baño completo, un maravilloso salón  comedor de casi 50 metros cuadrados, con una agradable terraza, 4 dormitorios más, en dos de los cuales se incorporaron las terrazas, dos cuartos de baño completos, muy espaciosos, uno de ellos en suite con el dormitorio principal, que dispone de vestidor. Todas las estancias son amplias y muy luminosas gracias a la altura de la casa y a los grandes ventanales que recorren toda la fachada. Se encuentra en buen estado de conservación, los baños y la cocina han sido reformados recientemente. Suelos de parquet, aire acondicionado en el salón, armarios empotrados en todas las estancias, así como en el pasillo. Gran capacidad de almacenaje. Calefacción central con repartidores de consumo. Agua caliente individual. Esta finca, exclusiva y muy cuidada, en urbanización cerrada con magnífico jardín comunitario, cuenta con un amplio portal señorial y conserje, sin barreras arquitectónicas, dos ascensores y dos montacargas de servicio por los que se accede al garaje de la finca, el cual también cuenta con su propio conserje.  Se puede acceder al portal tanto por San Francisco de Sales como por su calle paralela, Doménico Scarlatti. Su ubicación y comunicaciones son inmejorables, muy próxima a la plaza de Cristo Rey, con salida directa a la A-6, y rápido acceso a la M-30, a un paso de las estaciones de Metro de Moncloa, Argüelles, Guzmán el Bueno, Canal, Vicente Aleixandre e Islas Filipinas, así como del intercambiador de Moncloa, a lo que se añaden numerosas líneas de autobús. Muy cerca del Hospital Universitario Fundación Jiménez Diaz y el Hospital Clínico San Carlos. Rodeada de todo tipo de servicios, comercios, ocio, ofertas culturales, centros educativos y restauración. Cercana también a todo el entorno de la Ciudad Universitaria. Muy próximo a El Corte Inglés de Princesa y de todos los establecimientos de grandes cadenas, así como de tiendas de todo tipo. A pocos minutos del Parque del Oeste, de las zonas verdes del Parque Santander y Virgen Blanca, perfectos para pasear, disfrutar de la naturaleza o practicar deportes, instalaciones deportivas del Canal, gimnasio GoFit, etc. Todo un lujo en Madrid. La vivienda forma parte de una mancomunidad propietaria de varios locales, con lo que se generan ingresos por el alquiler de los mismos, lo cual hace que haya meses que no se devenguen gastos de comunidad. Plaza de garaje en el mismo edificio incluida en el precio. Además, existe la posibilidad de adquirir una segunda plaza que tienen los propietarios situada en el parking de residentes cercano. No deje pasar esta oportunidad y llámenos sin compromiso, estaremos encantados de atenderle. No cobramos honorarios al comprador.",False,good,False,True,7680.0,False,False,False,False,[],False,False,1490000.0,€,flat,,"Vallehermoso, Madrid",Piso en paseo de San Francisco de Sales,Destacado,True,True,,,,
