propertyCode,thumbnail,externalReference,numPhotos,floor,price,propertyType,operation,size,exterior,rooms,bathrooms,address,province,municipality,district,country,neighborhood,latitude,longitude,showAddress,url,description,hasVideo,status,newDevelopment,hasLift,priceByArea,hasPlan,has3DTour,has360,hasStaging,notes,topNewDevelopment,topPlus,priceInfo.price.amount,priceInfo.price.currencySuffix,parkingSpace.hasParkingSpace,parkingSpace.isParkingSpaceIncludedInPrice,detailedType.typology,suggestedTexts.subtitle,suggestedTexts.title,highlight.groupDescription,priceInfo.price.priceDropInfo.formerPrice,priceInfo.price.priceDropInfo.priceDropValue,priceInfo.price.priceDropInfo.priceDropPercentage,detailedType.subTypology
106979854,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/c0/8a/d2/1311097305.webp,jer137IT,33,2,4170000.0,flat,sale,355.0,True,4,5,Barrio Jerónimos,Madrid,Madrid,Retiro,es,Jerónimos,40.4153319,-3.6885688,False,https://www.idealista.com/inmueble/106979854/,"Olisson Club presents this spectacular, brand new renovated home with a large terrace and views of the Retiro Park in the Jerónimos neighbourhood. Located on the second floor and with 355 m2, this property with high quality finishes has a simple layout that goes as follows: upon entering we find a small hall that leads to a spacious open-plan living room, where there are two very well differentiated rooms. One area is for the living room and the other is for the dining room. From the living room, there is access to a wonderful 115 m2 terrace, fully furnished with tropical wood and plants, from where you can enjoy impressive views of the Retiro Park, also providing a fabulous natural light to the entire apartment. In the living-dining room, we find a wonderful kitchen with a marble island with space for three diners and high-end appliances. In the same area, we also have a guest toilet for the convenience of our guests. Moving into the more private area of the house, we find four spacious en-suite bedrooms, three of which have direct access to the terrace. Each bedroom has floor-to-ceiling and wall-to-wall built-in wardrobes, with plenty of storage space. This exclusive property is completed by a garage space in the same building, a spacious storage room and a porter service, providing even more value and comfort. A property that stands out not only for its premium finishes and exceptional design, but also for its location. Located in the prestigious neighbourhood of Los Jerónimos, just a four-minute walk from the renowned Prado Museum and the majestic Monastery of San Jerónimo el Real, the Botanical Garden, Puerta de Alcalá and others. Surrounded by the most elegant cafés and restaurants in the area, this unique opportunity offers you the chance to acquire a residence in a privileged location, in one of the most sought-after neighbourhoods in Madrid, where your investment is sure to increase in value over time. [IW].",True,good,False,True,11746.0,True,False,False,False,[],False,True,4170000.0,€,True,True,flat,"Jerónimos, Madrid",Piso,Top+,,,,
108979126,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/4d/49/30/1360714326.webp,VM2508011,24,6,940000.0,flat,sale,98.0,True,2,2,calle del Conde de Peñalver,Madrid,Madrid,Barrio de Salamanca,es,Goya,40.4280369,-3.6739615,False,https://www.idealista.com/inmueble/108979126/,"PISO DE 2 DORMITORIOS CON MUCHÍSIMA LUZ EN EL BARRIO DE SALAMANCA Aproperties presenta estupendo piso de 98 m2 según catastro en el barrio de Goya – Salamanca, a dos pasos de El Corte Inglés de Goya.   La vivienda consta de una espaciosa zona de día con cocina, zona de comedor y zona de salón. Tiene dos dormitorios y dos cuartos de baño (uno de ellos en suite).   La vivienda se encuentra en buen estado. Disfruta de calefacción individual, así como de aire acondicionado.   Está ubicada en una última planta con muchísima luz natural y con vistas muy abiertas y agradables a un patio de manzana ajardinado.   La finca es clásica, muy cuidada, sin ninguna barrera arquitectónica y con servicio de portería.    Nos encontramos ante una estupenda vivienda, ideal tanto como inversión como para vivienda habitual situada en una de las zonas más demandadas de Madrid.   ¿Te imaginas vivir aquí?      Contacte con nosotros para ver más inmuebles similares.",True,good,False,True,9592.0,False,False,False,False,[],False,True,940000.0,€,,,flat,"Goya, Madrid",Piso en calle del Conde de Peñalver,Top+,,,,
109048850,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/9e/36/e8/1362704263.webp,VM2508017,40,5,1875000.0,flat,sale,197.0,True,5,3,calle del Conde Duque,Madrid,Madrid,Centro,es,Malasaña-Universidad,40.4296755,-3.7104361,False,https://www.idealista.com/inmueble/109048850/,"PISO A REFORMAR DE CINCO HABITACIONES EN CONDE DUQUE Magnífico piso luminoso y situado en una zona tranquila y bien comunicado.   Actualmente, se encuentra en rentabilidad. La vivienda de 197m² de catastro, completamente exterior y con unas vistas inmejorables está situado en una 5ª planta de un edificio señorial. El gran hall de entrada y distribuidor, da paso a un amplio salón con ventanales calefacción central. Cuenta con 4 habitaciones con armarios empotrados y 2 baños, terraza que comparten dos de las habitaciones, además de una habitación de servicio con cuarto de baño. Amplia cocina equipada con electrodomésticos y terraza que da salida al ascensor de servicio. Admite muchas posibilidades de reforma gracias a la inmejorable orientación, totalmente exterior y distribución de los espacios.   Una vivienda ideal tanto como residencia habitual como producto para inversor. ¿Te imaginas vivir aquí?        Contacte con nosotros para ver más inmuebles similares.",True,renew,False,True,9518.0,False,False,False,False,[],False,True,1875000.0,€,,,flat,"Malasaña-Universidad, Madrid",Piso en calle del Conde Duque,Top+,,,,
108767532,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/7b/15/61/1354547811.webp,BFP-V1435,36,,1400000.0,flat,sale,91.0,True,3,4,Barrio Niño Jesús,Madrid,Madrid,Retiro,es,Niño Jesús,40.4059466,-3.6747481,False,https://www.idealista.com/inmueble/108767532/,"CONTACTAR CON EXTENSIÓN Nº3 Exclusiva vivienda reformada con terraza en propiedad de 280 m² en Niño Jesús. Ofrecemos en exclusiva ésta espectacular vivienda situada en el codiciado barrio de Niño Jesús, junto al Parque del Retiro. un auténtico lujo urbano único por su impresionante terraza en propiedad de 280 m², perfecta para disfrutar del aire libre, organizar reuniones o crear un espacio chill out en pleno corazón de Madrid. La vivienda, completamente reformada con excelentes calidades, tiene 91 m² construidos y ha sido diseñada con un estilo moderno y funcional, cuidando cada detalle. Se distribuye en: 3 dormitorios amplios, todos con baño en suite y armarios empotrados. Aseo de cortesía independiente para mayor comodidad de invitados. Cocina moderna totalmente amueblada y equipada con electrodomésticos de alta gama. Ventanas climalit con doble acristalamiento, rotura de puente térmico y cierres de seguridad, que garantizan confort térmico y aislamiento acústico. Excelentes acabados y distribución que aprovechan al máximo la luz natura Una propiedad perfecta tanto para vivir como para invertir, en una de las zonas residenciales más tranquilas y exclusivas de Madrid, con todos los servicios, colegios, hospitales y transporte público a pocos minutos. Ubicación privilegiada: Situada en el barrio Niño Jesús, distrito de Retiro, esta zona se caracteriza por su ambiente residencial, tranquilo y familiar, a escasos pasos del pulmón verde de Madrid: el Parque del Retiro. Servicios y entorno: Supermercados cercanos: Mercadona, Carrefour Market, Lidl y pequeños comercios de barrio. Colegios de prestigio a pocos minutos: Colegio Retiro, Colegio Santa María del Pilar, Colegio Montserrat y CEIP Calvo Sotelo. Centro de salud y hospitales cercanos, como el Hospital Niño Jesús y Hospital Universitario Gregorio Marañón. Amplia oferta de restaurantes, cafeterías y pastelerías tradicionales. Próximo a zonas comerciales y al eje de la Avenida del Mediterráneo. Excelentes comunicaciones: a pocos minutos de las estaciones de metro Sainz de Baranda y Conde de Casal, varias líneas de autobús, y fácil acceso a la M-30. Una vivienda única para quienes buscan una propiedad especial en una zona tranquila, bien comunicada y con todos los servicios al alcance.  (Este anuncio no es vinculante, puede contener errores, se muestra a título informativo y no contractual. ) > Oferta sujeta a condiciones de compra. Consulte los términos y condiciones aplicables.",True,good,False,True,15385.0,True,True,False,False,[],False,True,1400000.0,€,,,flat,"Niño Jesús, Madrid",Piso,Top+,,,,
106790745,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/28/e2/2a/1294101395.webp,DS-P66021,38,2,790000.0,flat,sale,73.0,True,2,2,calle de Santa Engracia,Madrid,Madrid,Chamberí,es,Trafalgar,40.4367452,-3.7003759,False,https://www.idealista.com/inmueble/106790745/,"DIZA Consultores les presenta este encantador piso de 73 metros con dos balcones a la calle. Perfectamente diseñado para ofrecerte comodidad y estilo, este espacio cuenta con 2 acogedores dormitorios y 2 modernos baños. Ubicado en una de las mejores zonas de Madrid. La distribución de los espacios maximiza la luz natural, creando un ambiente cálido y acogedor. La vivienda se distribuye en salón-comedor con cocina abierta. Dos amplias habitaciones, una de ellas con baño en suite.  El distrito de Chamberí, se trata de una de las zonas más lujosas y con mejor calidad de vida de Europa. Gracias a la amplia oferta gastronómica, cultural y comercial, se trata de una formidable zona donde vivir e invertir. No pierdas la oportunidad de visitar este piso que combina confort, funcionalidad y una ubicación inmejorable. ¡Contáctanos hoy mismo para programar una visita y dar el primer paso hacia tu nuevo hogar! Convertimos Sueños en Hogares.",False,good,False,True,10822.0,False,False,False,False,[],False,True,790000.0,€,,,flat,"Trafalgar, Madrid",Piso en calle de Santa Engracia,Top+,,,,
109025685,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/49/62/c3/1362040348.webp,86167204,12,5,985000.0,flat,sale,131.0,True,2,3,calle de Cavanilles,Madrid,Madrid,Retiro,es,Pacífico,40.4069569,-3.6728736,False,https://www.idealista.com/inmueble/109025685/,"BARNES Madrid presenta esta exclusiva vivienda de 131 m² construidos, íntegramente reformada con un proyecto de diseño contemporáneo que combina funcionalidad, estilo y confort. Situada en una de las zonas más codiciadas de la capital, a pocos pasos del emblemático Parque del Retiro, ofrece una experiencia de vida única en un entorno urbano privilegiado. El corazón de la casa es una amplia zona social de concepto abierto que integra salón, comedor y cocina con isla, equipada con electrodomésticos de alta gama y acabados en madera natural. La luz fluye de manera natural gracias a grandes ventanales que conectan con una terraza privada, perfecta para disfrutar del aire libre con privacidad. La zona de descanso cuenta con dos dormitorios en suite, ambos con baño propio y armarios empotrados, y la posibilidad de habilitar un tercer dormitorio o despacho. Un tercer baño completo da servicio a invitados y a la zona de día. La reforma, realizada con materiales de primera calidad, incluye iluminación cálida, climatización por aire acondicionado y calefacción central. Ubicada en finca cuidada, rodeada de comercios, restaurantes, colegios y perfectamente comunicada por metro y autobús, esta propiedad es ideal tanto para residencia habitual como inversión. La zona destaca por su ambiente tranquilo, proximidad a zonas verdes y excelente oferta cultural y gastronómica.",False,good,False,True,7519.0,True,False,False,False,[],False,True,985000.0,€,,,flat,"Pacífico, Madrid",Piso en calle de Cavanilles,Top+,,,,
109154661,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/23/ef/73/1365902724.webp,MAD61796,39,8,5900000.0,flat,sale,334.0,True,2,4,Barrio Goya,Madrid,Madrid,Barrio de Salamanca,es,Goya,40.4195656,-3.6731892,False,https://www.idealista.com/inmueble/109154661/,"Lucas Fox presenta esta exclusiva vivienda de lujo con espectaculares vistas a Madrid Presentamos esta magnífica propiedad completamente reformada, concebida con un diseño contemporáneo y acabados de la más alta calidad. Distribuida en dos ambientes diferenciados a la perfección.   En la planta principal, el recibidor da paso a un amplio y luminoso salón comedor, enmarcado por unos ventanales que ofrecen vistas panorámicas de la ciudad. Una zona multifuncional, ideal como espacio de ejercicio o sala de lectura, aprovecha al máximo la abundante luz natural. La planta se completa con un aseo de cortesía, zona de lavandería y dos amplias habitaciones en suite. Además, la suite principal cuenta con un vestidor de generosas dimensiones. En la planta superior, encontramos una espectacular terraza de 188 m², concebida para disfrutar en compañía de familiares y amigos. Este espacio privilegiado dispone de una elegante cocina de diseño cerrada, comedor, aseo,  amplia zona chill out y piscina, todo ello acompañado de unas impresionantes vistas despejadas al skyline madrileño. Para mayor comodidad, la propiedad dispone de plaza de garaje en finca.   Una residencia única para quienes buscan exclusividad, diseño y una ubicación privilegiada en Madrid.  Un alto porcentaje de los inmuebles que tenemos en esta zona solo están publicados en nuestra web. Para ver toda nuestra cartera, visite nuestra web.",False,good,False,True,17665.0,True,False,False,False,[],False,True,5900000.0,€,True,True,flat,"Goya, Madrid",Piso,Top+,,,,
109062154,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/f4/81/5d/1363264832.webp,CBUQ982,70,7,1350000.0,flat,sale,138.0,True,2,3,calle de Santa Engracia,Madrid,Madrid,Chamberí,es,Trafalgar,40.4341996,-3.7004504,False,https://www.idealista.com/inmueble/109062154/,"Coldwell Banker Unique presenta una excelente oportunidad de inversión en el prestigioso barrio de Trafalgar, en Chamberí, en plena Plaza de Iglesia. Se trata de una propiedad singular, ubicada en la séptima planta de un edificio de esquina, que ha sido reformada íntegramente con acabados de primera calidad y dividida en dos viviendas independientes de 70 m² y 68 m² respectivamente, ambas con espectaculares vistas despejadas a la Plaza Joaquín Sorolla. La finca, construida en los años 70 y recientemente actualizada, dispone de portero, zonas comunes cuidadas, acceso adaptado a personas con movilidad reducida, varios ascensores y una elegante portería renovada. La vivienda en su conjunto suma casi 140 m² y se entrega totalmente reformada y equipada, lista para rentabilizar desde el primer día. Cada apartamento ha sido diseñado con un concepto moderno, abierto y luminoso, gracias a los ventanales de suelo a techo que inundan de luz natural todas las estancias, además de ofrecer un excelente aislamiento acústico y térmico. Ambos inmuebles cuentan con calefacción y agua caliente central, aire acondicionado por conductos, cocina de diseño vanguardista totalmente equipada con electrodomésticos de alta gama, amplios baños con encimeras de granito y mobiliario a medida, armarios lacados, estores motorizados de la firma Bandalux y un completo equipamiento de mobiliario y menaje, incluyendo ropa de cama y toallas. Uno de los apartamentos dispone, además, de aseo de cortesía. Actualmente, las dos viviendas generan una rentabilidad superior al 3%.  Se trata de una propiedad con una sola referencia catastral, pero con la posibilidad de mantenerla dividida en dos unidades para inversión o de unificarlas en el futuro sin dificultad, convirtiéndola en una única y amplia vivienda. La ubicación es inmejorable, en la calle Santa Engracia esquina con la Plaza Sorolla, en el corazón de Chamberí, a un paso de Alonso Martínez, Almagro y Justicia, rodeada de edificios singulares de finales del siglo XIX y principios del XX, en un entorno con una amplia oferta cultural, gastronómica y de servicios educativos y sanitarios de primer nivel. Una propiedad única, lista para seguir generando rentabilidad inmediata y con un enorme potencial de revalorización en una de las zonas más codiciadas de Madrid.",True,good,False,True,9783.0,True,False,False,False,[],False,True,1350000.0,€,,,flat,"Trafalgar, Madrid",Piso en calle de Santa Engracia,Top+,,,,
108632081,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/98/b7/8b/1350507215.webp,mor076JG,36,1,1480000.0,flat,sale,322.0,True,4,4,La Moraleja urbanización,Madrid,La Moraleja,La Moraleja urbanización,es,,40.5057531,-3.6087764,False,https://www.idealista.com/inmueble/108632081/,"Olisson Club pone a su disposición este magnífico piso a estrenar en una de las urbanizaciones más exclusivas de La Moraleja, con las mejores instalaciones y jardines. Los acabados y materiales son de alta calidad. La distribución diáfana es muy cómoda. Entramos en la vivienda y respiramos paz y amplitud. Su salón y cocina integrados, con agradable isla office son de lo más destacable de la propiedad. Se puede separar de forma sencilla con cristalera o puerta corredera si se requiere. La cocina está equipada con electrodomésticos de alta gama y pequeña vinoteca. Desde el salón y cocina accedemos cómodamente a una gran terraza con vistas a los jardines comunes. Cuenta con zona de lavado y planchado separada con ventilación natural. Completan la zona social un aseo de cortesía. La zona de descanso se compone por una habitación con baño en suite, dos habitaciones que comparten un baño y una suite principal con vestidor y baño en suite. Todas ellas comparten acceso a una agradable terraza. La vivienda cuenta con suelo radiante frío/calor y aire acondicionado. Cerramientos con gran aislamiento térmico y sonoro. La urbanización dispone de 4 piscinas descubiertas, un spa acristalado con sauna, un gimnasio acristalado con amplia zona para sesiones en grupo, kids club acristalado, sala de coworking acristalado, zona infantil, extensos y cuidados jardines y conserje 24h.  Dispone de ascensor, trastero y dos plazas de parking con instalación eléctrica, justo al lado del acceso para mayor comodidad. La zona es muy tranquila y ubicada cerca de colegios de prestigio tanto nacionales como internacionales, restaurantes de calidad, centros comerciales, parques, centros deportivos y a sólo quince minutos de Madrid y a diez del Aeropuerto Adolfo Suárez. Gran oportunidad de vivir en una urbanización de lujo en una zona privilegiada. [IW].",False,good,False,True,4596.0,True,False,False,False,[],False,True,1480000.0,€,True,True,flat,"La Moraleja urbanización, La Moraleja",Piso,Top+,,,,
108840839,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/70/e9/b3/1356668547.webp,VM2507069,54,8,2195000.0,flat,sale,195.0,True,3,3,calle de Alberto Aguilera,Madrid,Madrid,Centro,es,Malasaña-Universidad,40.4292831,-3.7107913,False,https://www.idealista.com/inmueble/108840839/,"PISO REFORMADO LUMININOSO Y EXCLUSIVO DE TRES DORMITORIOS EN CONDE DUQUE Espectacular Piso Reformado en Conde Duque  Presentamos este exclusivo y luminoso piso ubicado en un emblemático edificio de Alberto Aguilera, diseñado por el arquitecto Gutiérrez Soto, en la octava planta. La propiedad ha sido recientemente reformada con materiales de altísima calidad, ofreciendo una vivienda moderna y sofisticada en una de las mejores zonas de Madrid, Conde Duque. Con una superficie de 195 m² de vivienda más 7 m² de trastero, este piso exterior destaca por su amplitud, luminosidad y vistas espectaculares a la Sierra de Madrid y al Palacio de Oriente. Se distribuye en tres dormitorios de generosas dimensiones, dos de ellos con baño en suite, proporcionando total privacidad y confort. Un baño completo adicional para el resto de la vivienda. Cocina independiente de diseño, equipada con electrodomésticos de alta gama Neff (los más altos de la marca) y mobiliario de Santos, un espacio de ensueño que se integra al salón mediante una elegante cristalera. Lavandería anexa a la cocina para mayor comodidad. El salón es amplio y cuenta con ventanales de gran tamaño, permitiendo disfrutar de unas vistas inigualables y aportando una gran luminosidad a todo el ambiente. Características adicionales: Puerta principal y de servicio con acceso a ascensor y montacargas. Portero que reside en la finca, lo que aporta seguridad y comodidad. Aire acondicionado y calefacción central con consumo individual. La finca cuenta con un trastero adicional de 7 m². El inmueble se encuentra en una ubicación inmejorable, con fácil acceso a todas las comodidades del barrio de Conde Duque, incluyendo centros culturales, restaurantes, tiendas y una excelente conexión al transporte público. Una oportunidad única para adquirir una propiedad con historia y elegancia, totalmente reformada y lista para entrar a vivir. ¿Te imaginas vivir aquí?  Contacte con nosotros para ver más inmuebles similares.",True,good,False,True,11256.0,False,False,False,False,[],False,True,2195000.0,€,,,flat,"Malasaña-Universidad, Madrid",Piso en calle de Alberto Aguilera,Top+,,,,
