propertyCode,thumbnail,externalReference,numPhotos,floor,price,propertyType,operation,size,exterior,rooms,bathrooms,address,province,municipality,district,country,neighborhood,latitude,longitude,showAddress,url,description,hasVideo,status,newDevelopment,hasLift,priceByArea,hasPlan,has3DTour,has360,hasStaging,notes,topNewDevelopment,topPlus,priceInfo.price.amount,priceInfo.price.currencySuffix,priceInfo.price.priceDropInfo.formerPrice,priceInfo.price.priceDropInfo.priceDropValue,priceInfo.price.priceDropInfo.priceDropPercentage,detailedType.typology,suggestedTexts.subtitle,suggestedTexts.title,highlight.groupDescription,parkingSpace.hasParkingSpace,parkingSpace.isParkingSpaceIncludedInPrice,detailedType.subTypology
107964810,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/ce/2e/b5/996317224.webp,4394,17,4,184000.0,flat,sale,70.0,True,3,1,calle Francisco García,Madrid,Madrid,Carabanchel,es,Vista Alegre,40.3865684,-3.7365362,False,https://www.idealista.com/inmueble/107964810/,"INMUEBLE ALQUILADO - NO SE PUEDE VISITAR ** Actualmente no es posible realizar visitas al interior del inmueble ** ** Las fotografías pueden no reflejar el estado actual de la propiedad **  ** Fecha de fin de contrato: 07/2029 **  La vivienda esta distribuida en 3 dormitorios ( el principal con salida a terraza), salón, cocina y baño.  En sus alrededores encontramos todo tipo de servicios y centros sanitarios y educativos. Cerca del metro de Oporto y Vista Alegre.",False,good,False,False,2629.0,False,False,False,False,[],False,False,184000.0,€,192500.0,8500.0,4.0,flat,"Vista Alegre, Madrid",Piso en calle Francisco García,Destacado,,,
108357900,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/61/c6/d4/1341711987.webp,ros175IV,30,10,1500000.0,flat,sale,201.0,True,4,4,Barrio Nuevos Ministerios-Ríos Rosas,Madrid,Madrid,Chamberí,es,Nuevos Ministerios-Ríos Rosas,40.4449825,-3.6953874,False,https://www.idealista.com/inmueble/108357900/,"Olisson Club ofrece este estupendo piso, completamente exterior con cuatro terrazas y vistas 360º situado en una de las mejores calles de barrio Chamberí, una excelente ubicación por estar a escasos metros del Paseo de la Castellana. Se trata de una vivienda de 200 m2 de superficie construida, situada en una decima planta en el edificio representativo de años 50, única y muy especial por su distribución, cuatro terrazas con vistas únicas y todas las orientaciones. Amplias y luminosas estancias caracterizan esta exclusiva propiedad con numerosas posibilidades de reforma. Actualmente la vivienda tiene perfectamente divididas las zonas de día, de descanso y de servicio. La zona de día esta distribuida en un espectacular recibidor de gran tamaño comunicado con amplio salón-comedor cual disfruta de muchísima luz, gracias a su orientación con grandes ventanales y terraza, comunicado con despacho que también tiene salida a otra terraza. La cocina de gran tamaño es independiente, cuenta con terraza y zona de servicio, distribuida en dormitorio de servicio con su cuarto de baño, zona de lavandería y entrada de servicio. La zona de noche cuenta con cuatro dormitorios de gran tamaño y dos baños completos, todos son exteriores y con mucha luz natural. La vivienda cuenta con servicios de calefacción y agua centrales, portero físico y dos ascensores.  Situado en una ubicación excelente, muy próximo al Paseo de la Castellana, este piso se presenta como una excelente oportunidad de inversión para tener una casa familiar y renovarla según sus necesidades. Rodeado de variedad de locales comerciales y terrazas, también de estaciones de metro, paradas de autobuses y taxis.  Situado en el distrito de Chamberí, este barrio es uno de los más conocidos de la capital. Se encuentra en la manzana delimitada por el Paseo de la Castellana, las calles Raimundo Fernández Villaverde, Agustín de Betancourt y la plaza de San Juan de la Cruz. En la actualidad acoge la sede de los Ministerios de Fomento, Empleo y Seguridad Social y una sección del Ministerio de Agricultura y Medio Ambiente. Se halla plenamente integrado en el conjunto de la Castellana y del complejo de AZCA, uno de los centros de negocios y oficinas más importantes de la ciudad. [IW].",False,renew,False,True,7463.0,False,False,False,False,[],False,False,1500000.0,€,,,,flat,"Nuevos Ministerios-Ríos Rosas, Madrid",Piso,Destacado,,,
108829321,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/6e/8c/45/1356348685.webp,21722,18,3,263000.0,flat,sale,98.0,True,3,1,Barrio San Diego,Madrid,Madrid,Puente de Vallecas,es,San Diego,40.3903697,-3.670119,False,https://www.idealista.com/inmueble/108829321/,"Inmobiliaria Kronox vende en exclusiva un estupendo piso de 98m² construidos y 81m² útiles, muy luminoso en la zona de Nueva Numancia.  Distribuido en 3 dormitorios, cocina con salida a amplia terraza, 1 baño con plato de ducha y salón espacioso independiente.  Características: Tercera planta exterior, paredes en gotelé, suelos en gress, puertas interiores de sapelly y principal blindada, ventanas de aluminio, aire acondicionado y calefacción eléctrica.  Ubicación excepcional muy tranquila, con zonas verdes donde poder pasear y relajarse, con todo tipo de comercios y servicios: farmacias, supermercados, centro de salud, colegios, bares y restaurantes.  Muy bien comunicado en transporte público, a tan solo 10 minutos andando de la línea 1 de metro (Nueva Numancia o Puente de Vallecas) y 13 minutos andando de la línea 6 de metro (Méndez Álvaro). Autobuses (líneas 10, 102, 111, 24 y la nocturna N11). Y en transporte privado con salida directa a M30, A3 y M40.  No se lo piense más y solicite una visita sin compromiso a nuestros asesores, llamando al y si necesita información sobre financiación también podemos ayudarle con nuestro departamento financiero.  El precio de este inmueble no incluye los impuestos y gastos de compraventa.  ¡Contáctenos ahora y venga a verlo!",False,good,False,False,2684.0,True,False,False,False,[],False,False,263000.0,€,268000.0,5000.0,2.0,flat,"San Diego, Madrid",Piso,Destacado,,,
109011075,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/5e/2e/1b/1361632877.webp,,39,,489900.0,chalet,sale,185.0,,4,3,calle Cachanas s/n,Madrid,Brunete,,es,,40.4080895,-4.0020132,True,https://www.idealista.com/inmueble/109011075/,"""CAPITAL HOME BRUNETE VENDE EN EXCLUSIVA CHALET PAREADO EN EL CENTRO DE BRUNETE"" Este maravilloso inmueble dispone de 185 m² construidos y 305 m² de parcela en una de las zonas más tranquilas de Brunete. Se distribuye de la siguiente manera: En la planta principal, encontrarás un hall recibidor con un armario empotrado a modo de trastero aprovechando el hueco de la escalera, el cual conecta con el salón con chimenea y que tiene acceso a una muy amplia terraza, la cocina con zona de comedor con posibilidad de convertir habitación en planta y un baño completo. También en la planta principal cuenta con una zona de garaje apta para un vehículo de grandes dimensiones. La planta superior, cuenta con 4 habitaciones con armarios empotrados y 2 baños completos además de un gran cerramiento es uno de los dormitorios. La zona exterior dispone de 305 m² de superficie gráfica con zonas ajardinadas y porche para los vehículos. La vivienda se encuentra de origen con algunas actualizaciones como incorporación de una doble ventana de aluminio, cerramiento en un dormitorio y caldera de gasoil. La casa perfecta para los amantes de la naturaleza y tranquilidad. PARA MÁS INFORMACIÓN Y FOTOGRAFÍAS CONTACTEN CON NOSOTROS. DEPARTAMENTO DE FINANCIACIÓN, ASESORAMIENTO PERSONALIZADO GRATUITO.",False,good,False,,2648.0,False,False,False,False,[],False,False,489900.0,€,,,,chalet,Brunete,Chalet pareado en calle Cachanas s/n,Destacado,True,True,semidetachedHouse
108970528,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/dd/a3/57/1360443708.webp,,27,3,1195000.0,flat,sale,100.0,True,3,3,calle del Duque de Sesto,Madrid,Madrid,Barrio de Salamanca,es,Goya,40.42127,-3.6736474,False,https://www.idealista.com/inmueble/108970528/,"- PISO A ESTRENAR DE CATEGORÍA  - A 5 MINUTOS DEL PARQUE DEL RETIRO - 3 HABITACIONES (MÁSTER SUITE EXTERIOR CON MUCHA LUZ NATURAL) - 3 BAÑOS COMPLETOS  - SALÓN COMEDOR SÚPER LUMINOSO EXTERIOR - COCINA DE DISEÑO ITALIANO CON ELECTRODOMÉSTICOS TOP MARCA BOSCH  - AIRE ACONDICIONADO POR CONDUCTO EN TODAS LAS ESTANCIAS  - ZONA DE LAVANDERÍA  - PORTERO FÍSICO - ORIENTACIÓN SUR  Piso con reforma integral de lujo en zona Prime. En una de las calles mas tranquilas y mas bonitas de la zona de Goya. Sin agencias / sin comisiones inmobiliarias. Directo con la propiedad. Detalle de calidades: electrodomésticos: bosch cocina: - porcelánico, “ascale” 12 mm. - color lauren black - resiste al calor y al rayado. -Suelos y azulejos Peronda - Muebles de baño kyrya a medida de diseño, con encimeras sólid surface. calefacción y climatización: - aire acondicionado por conducto ¨ - radiadores: radiadores de diseño horizontal negro  carpinteria exterior: - kömmerling barrio de salamanca  este distinguido barrio residencial se ha convertido en una de las más importantes zonas comerciales de la ciudad y uno de los barrios de mayor nivel de vida de europa con la mayor zona de compras de lujo de madrid.  muy cerca de todo.  *************ven a conocerlo************* a la hora de nuestras obras, reformas y decoraciones pensamos como ustedes en vivir en un lugar agradable, moderno, cómodo y con muchas calidades. Nuestro concepto es que nos vuelvas a elegir. Contamos con otros pisos en venta y en obra de reforma en diferentes barrios de madrid. No dude en consultarnos contacto  martin wapp- 6 0 3 8 5 6 9 0 2 capital home 10G S. L.",True,good,False,True,11950.0,True,False,False,False,[],False,False,1195000.0,€,,,,flat,"Goya, Madrid",Piso en calle del Duque de Sesto,Destacado,,,
108751569,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/73/15/88/1354060591.webp,RP1212025139450,25,2,205000.0,flat,sale,62.0,True,2,1,calle de Ramón Azorín,Madrid,Madrid,Latina,es,Los Cármenes,40.4015202,-3.7422276,False,https://www.idealista.com/inmueble/108751569/,"Si estás pensando en comprar en la zona de Lucero, en el distrito de Latina (Madrid), te presentamos esta interesante propiedad ubicada en una segunda planta, en la calle Ramón Azorín. La vivienda cuenta con una superficie construida de 62 m² y una distribución funcional que aprovecha muy bien los espacios. Dispone de un salón acogedor, dos dormitorios siendo el principal de generosas dimensiones, una cocina independiente con buen tamaño y un baño reformado, equipado con plato de ducha. La distribución combina estancias interiores y exteriores, lo que favorece la ventilación cruzada y una agradable luminosidad en todas las estancias. Se encuentra en buen estado, lista para entrar a vivir, aunque también ofrece un gran potencial de actualización y personalización, ideal para quienes buscan adaptar el espacio a su estilo y necesidades. Los suelos son de tarima, lo que aporta calidez y confort. Una excelente opción tanto como primera vivienda como inversión en una zona consolidada, bien comunicada y con todos los servicios a mano. La comunicación en transporte público es excelente. A solo unos minutos a pie se encuentran estaciones de metro como Lucero, Laguna y Alto de Extremadura, todas pertenecientes a la línea 6. También está próxima la estación de Cercanías Laguna, con conexión directa mediante la línea C5. Además, hay varias líneas de autobús EMT como la 138 y la 31 que conectan fácilmente con otros puntos de la ciudad. En cuanto al entorno, la vivienda se encuentra cerca del parque de la Cuña Verde, un espacio ideal para pasear, hacer deporte o disfrutar del aire libre. La zona destaca por su tranquilidad y su alta proyección urbana, especialmente gracias al proyecto de soterramiento de la A5, que mejorará la movilidad, reducirá el tráfico en superficie y aumentará la calidad del entorno. Una oportunidad perfecta para vivir o invertir en una de las áreas con mayor potencial de Madrid. ¡CONTACTA CON NOSOTROS Y VISÍTALO SIN COMPROMISO! Puedes ver más inmuebles en precios ofertados no comprenden los tributos (Impuesto de Transmisiones Patrimoniales), ni los gastos notariales y registrales relativos a la compraventa, ni la comisión de intermediación que satisface el comprador. La información contenida en este anuncio tiene carácter meramente informativo y no constituye un compromiso contractual.",False,good,False,False,3306.0,True,False,True,False,[],False,False,205000.0,€,220000.0,15000.0,7.0,flat,"Los Cármenes, Madrid",Piso en calle de Ramón Azorín,Destacado,,,
108856297,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/52/e8/9e/1357712588.webp,pio084IT,33,,3500000.0,chalet,sale,847.0,,9,8,Barrio Conde Orgaz-Piovera,Madrid,Madrid,Hortaleza,es,Conde Orgaz-Piovera,40.4525439,-3.6359233,False,https://www.idealista.com/inmueble/108856297/,"Olisson Club presenta este exclusivo chalet independiente ubicado en la urbanización Parque Conde de Orgaz. Se encuentra en una de las zonas más prestigiosas de Madrid, este impresionante chalet ofrece múltiples posibilidades de reforma. Con 849 m² construidos sobre una parcela de 1.552 m², la propiedad fue construida en los años 70 con materiales de primera calidad, combinando elegancia, diseño contemporáneo y confort. Actualmente se encuentra en muy buen estado de conservación. La vivienda destaca por su luminosidad y amplios espacios distribuidos en tres plantas.  PLANTA BAJA - Salón-comedor amplio y luminoso - Despacho ideal para teletrabajo o estudio - Cocina con zona de servicio integrada, que incluye dormitorio y baño - Aseo de invitados - Sala de estar acogedora para momentos de relax - Tres dormitorios secundarios y dos baños completos - Dormitorio principal en suite con baño incorporado PLANTA INFERIOR: - Amplia zona de ocio ideal para sala de juegos, cine en casa o gimnasio - Garaje con capacidad para dos vehículos - Varias zonas de almacenaje - Sala de calderas - Zona Vestuarios piscina con aseo incorporado  - Vivienda independiente para guardeses o personal de servicio, que incluye cocina, dormitorio y baño PLANTA SUPERIOR - Tres dormitorios, ideales para familia o invitados - Dos baños completos, uno de ellos integrado en uno de los dormitorios tipo suite. - Amplia zona de juegos o estar, perfecta como área recreativa o de descanso adicional Situado a pocos metros del Club Deportivo de la urbanización y del Liceo Francés y en un entorno residencial tranquilo, este chalet goza de excelentes comunicaciones: rápido acceso a la M-30 y M-40, a solo 10 minutos del centro de Madrid y del aeropuerto. La zona ofrece una amplia gama de servicios de alta gama: colegios internacionales, centros comerciales, instalaciones deportivas, parques y el recinto ferial IFEMA. Una propiedad excepcional que combina privacidad, espacio y calidad de vida, ideal para familias que buscan vivir en una de las mejores zonas de la capital. [IW].",False,good,False,,4132.0,False,False,False,False,[],False,False,3500000.0,€,,,,chalet,"Conde Orgaz-Piovera, Madrid",Casa independiente,Destacado,True,True,independantHouse
105295329,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/f1/e6/17/1247778321.webp,1511,29,,2450000.0,chalet,sale,1160.0,,8,6,Fuente del Fresno,Madrid,Fuente del Fresno,,es,,40.5871557,-3.6006987,False,https://www.idealista.com/inmueble/105295329/,"Factor Norte presenta este Exclusivo chalet independiente en la prestigiosa urbanización Fuente del Fresno. Esta vivienda se caracteriza, tanto por su detallada construcción como por sus extraordinarias vistas de 180 grados. La vivienda está ubicada en una amplia parcela plana de 4.043 m2 (dos unidades) con una edificación total de 1.253 m2. Entre sus detalles arquitectónicos cabe resaltar que toda la construcción está realizada en hormigón blanco con carpintería en abeto de Oregón y con una gran terraza de 200 metros que bordea todo el perímetro del chalet, con 60 jardineras integradas al diseño principal de construcción igualmente en hormigón blanco con cubierta inclinada a dos agua en teja roja. El chalet consta de dos plantas más la planta sótano: El chalet consta de 8 dormitorios, 6 cuartos de baño, cocina con tres estancias, bodega-sótano habitable con chimenea y zona de comedor y de estar, piscina exterior, gimnasio y sauna, garaje interior para 2 vehículos y exterior para 6 vehículos.  La vivienda se completa con un cuarto trastero, almacén, una bodega y barbacoa con horno de Perihuela en el jardín. El diseño exclusivo de la vivienda es obra de los arquitectos de renombre D. Javier de Mesones y D. Antonio Miro (Doctores arquitectos). Un proyecto muy innovador para su época de construcción, con grandes espacios y mucha luminosidad prevaleciendo la simetría en su diseño. La escalera principal de acceso al chalet es izable automáticamente, el arquitecto incorpora al chalet esta construcción, característica de las antiguas fortalezas. Dispone de una impresionantes vistas despejadas. El jardín, con un diseño cuidado y vegetación consolidada, cuenta con una magnífica piscina y en la parcela hay instalado un hórreo centenario. La vivienda dispone de un perfecto diseño de iluminación en toda la vivienda con luz cálida y luz natural en los pasillos, luz que proporcionan los ventanales a la terraza que rodea la vivienda, y de diseño del jardín, con grandes espacios y agradable vegetación, con arbolado consolidado. La propiedad se encuentra dentro de la urbanización Fuente del Fresno, zona norte de Madrid, con una cómoda salida a la autovía A-1 y a la vez muy tranquila; con unas zonas zonas comunes deportivas y parque infantil, así como de seguridad 24 horas y control de acceso, y próxima a colegios.",False,good,False,,2112.0,True,False,False,False,[],False,False,2450000.0,€,,,,chalet,Fuente del Fresno,Casa independiente,Destacado,True,True,independantHouse
107023485,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/a8/04/53/1300690175.webp,,42,1,2750000.0,flat,sale,265.0,True,9,5,calle Mayor,Madrid,Madrid,Centro,es,Sol,40.4176027,-3.7063625,False,https://www.idealista.com/inmueble/107023485/,"Magnífica vivienda de 265 m2 en Calle Mayor recién reformada, sin comisión a compradores. Espectacular vivienda reformada en Calle Mayor, Madrid. Descubre esta exclusiva propiedad ubicada en pleno corazón de Madrid, en la emblemática Calle Mayor. Con 265 m² de espacio recién reformado, esta vivienda combina elegancia, amplitud y comodidad, ideal tanto para grandes familias como para inversores que buscan un inmueble único. Distribución excepcional: - 4 salones, perfectos para reuniones y para relajarse. - 9 habitaciones luminosas. - 5 baños modernos, diseñados para garantizar funcionalidad y estilo. - 4 cocinas totalmente equipadas, ideales para uso personal o como inversión en alquileres individuales. - 3 balcones privados, con vistas encantadoras a la calle más emblemática de Madrid. Características adicionales: - Vivienda completamente reformada, lista para entrar a vivir o para poner en rentabilidad. - Ubicación privilegiada, con acceso a servicios céntricos, transporte público, restaurantes y zonas culturales. Si buscas un hogar espacioso o una oportunidad de inversión excepcional, esta propiedad es para ti. ¡No dejes pasar esta oportunidad única! ¡Contáctanos ahora para más información o para concertar una visita!",True,good,False,True,10377.0,True,True,False,False,[],False,False,2750000.0,€,,,,flat,"Sol, Madrid",Piso en calle Mayor,Destacado,,,
108144486,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/cf/02/b2/1345135737.webp,REF_33962,41,,397000.0,chalet,sale,154.0,,3,2,carretera de Colmenar,Madrid,San Agustin de Guadalix,,es,,40.6800076,-3.6423329,False,https://www.idealista.com/inmueble/108144486/,"Casa de campo sobre finca rústica, más de 10.000m2.  Disfruta de la alberca, frontón y del campo sobre finca de más de 10.000 m2, a tan sólo 30 minutos de Madrid por la A-1  La casa consta de una planta con 3 habitaciones y 2 baños, un luminoso comedor con chimenea de leña y una cocina totalmente equipada. La casa tiene calefacción individual de gasoil y suministro de agua del canal de Isabel II, además de un pozo autorizado y escriturado.  En el terreno podrás disfrutar de una cancha de frontón y de una alberca. ¡Esta finca rústica podría ser para ti! Si eres amante de la naturaleza, podrás disfrutar de este paraje todo el año, dónde también podrás estar acompañado de tus animales si hacen parte de tu vida e incluso tener un huerto ecológico.",True,good,False,,2578.0,True,False,True,False,[],False,False,397000.0,€,,,,chalet,San Agustin de Guadalix,Casa independiente en carretera de Colmenar,Destacado,True,True,independantHouse
